"ple0160","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1999","lower secondary degree","higher education","121","0.994167030988526","0.980654313760421","1.00767974821663"
"No","1999","secondary school degree","in school","","","",""
"No","1999","secondary school degree","inadequately","","","",""
"No","1999","secondary school degree","general elemantary","487","0.918516365439905","0.895312726018933","0.941720004860878"
"No","1999","secondary school degree","middle vocational","2303","0.93190576217753","0.921967357114162","0.941844167240898"
"No","1999","secondary school degree","vocational + Abi","5","","",""
"No","1999","secondary school degree","higher vocational","343","0.944693460646145","0.921211676255768","0.968175245036523"
"No","1999","secondary school degree","higher education","465","0.948743227084929","0.929237716675308","0.968248737494549"
"No","1999","college entrance qualification","in school","","","",""
"No","1999","college entrance qualification","inadequately","","","",""
"No","1999","college entrance qualification","general elemantary","","","",""
"No","1999","college entrance qualification","middle vocational","372","0.903986492503287","0.875709891627917","0.932263093378657"
"No","1999","college entrance qualification","vocational + Abi","366","0.905311336608793","0.876831791599531","0.933790881618056"
"No","1999","college entrance qualification","higher vocational","148","0.911991140389023","0.868229493301305","0.955752787476741"
"No","1999","college entrance qualification","higher education","1155","0.937923800063504","0.924525940856338","0.95132165927067"
"No","1999","Other degree","in school","","","",""
"No","1999","Other degree","inadequately","31","0.934856344953745","0.851906203009011","1.01780648689848"
"No","1999","Other degree","general elemantary","360","0.991606052569087","0.982233667873733","1.00097843726444"
"No","1999","Other degree","middle vocational","349","0.977116663204249","0.961583640462311","0.992649685946187"
"No","1999","Other degree","vocational + Abi","84","0.991839589815297","0.972825498306487","1.01085368132411"
"No","1999","Other degree","higher vocational","5","","",""
"No","1999","Other degree","higher education","79","0.956320906055933","0.912614300010416","1.00002751210145"
"No","1999","no degree/no degree yet","in school","309","0.979655553367343","0.964163378421264","0.995147728313423"
"No","1999","no degree/no degree yet","inadequately","381","0.98507915692661","0.97301590286128","0.99714241099194"
"No","1999","no degree/no degree yet","general elemantary","","","",""
"No","1999","no degree/no degree yet","middle vocational","68","0.964714881688336","0.921493927655946","1.00793583572072"
"No","1999","no degree/no degree yet","vocational + Abi","","","",""
"No","1999","no degree/no degree yet","higher vocational","2","","",""
"No","1999","no degree/no degree yet","higher education","","","",""
"Yes","2000","lower secondary degree","in school","","","",""
"Yes","2000","lower secondary degree","inadequately","","","",""
"Yes","2000","lower secondary degree","general elemantary","68","0.0226643355286668","0.0166469542719561","0.0286817167853774"
"Yes","2000","lower secondary degree","middle vocational","238","0.0345602543363306","0.0302123067904321","0.0389082018822292"
"Yes","2000","lower secondary degree","vocational + Abi","","","",""
"Yes","2000","lower secondary degree","higher vocational","20","","",""
"Yes","2000","lower secondary degree","higher education","4","","",""
"Yes","2000","secondary school degree","in school","","","",""
"Yes","2000","secondary school degree","inadequately","","","",""
"Yes","2000","secondary school degree","general elemantary","70","0.0841547589974449","0.0640295782577419","0.104279939737148"
"Yes","2000","secondary school degree","middle vocational","402","0.0811265137418363","0.0733390799651395","0.0889139475185331"
"Yes","2000","secondary school degree","vocational + Abi","","","",""
"Yes","2000","secondary school degree","higher vocational","66","0.0749812071161697","0.0569444842639138","0.0930179299684256"
"Yes","2000","secondary school degree","higher education","39","0.0549856077069321","0.0377891129899163","0.0721821024239478"
"Yes","2000","college entrance qualification","in school","","","",""
"Yes","2000","college entrance qualification","inadequately","","","",""
"Yes","2000","college entrance qualification","general elemantary","","","",""
"Yes","2000","college entrance qualification","middle vocational","84","0.109176112811752","0.0866457116530253","0.131706513970478"
"Yes","2000","college entrance qualification","vocational + Abi","100","0.11388235769486","0.0930238537673401","0.13474086162238"
"Yes","2000","college entrance qualification","higher vocational","24","","",""
"Yes","2000","college entrance qualification","higher education","243","0.0893900932026584","0.0786897398010832","0.100090446604234"
"Yes","2000","Other degree","in school","","","",""
"Yes","2000","Other degree","inadequately","2","","",""
"Yes","2000","Other degree","general elemantary","9","","",""
"Yes","2000","Other degree","middle vocational","21","","",""
"Yes","2000","Other degree","vocational + Abi","14","","",""
"Yes","2000","Other degree","higher vocational","7","","",""
"Yes","2000","Other degree","higher education","16","","",""
"Yes","2000","no degree/no degree yet","in school","20","","",""
"Yes","2000","no degree/no degree yet","inadequately","7","","",""
"Yes","2000","no degree/no degree yet","general elemantary","","","",""
"Yes","2000","no degree/no degree yet","middle vocational","2","","",""
"Yes","2000","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2000","no degree/no degree yet","higher vocational","","","",""
"Yes","2000","no degree/no degree yet","higher education","","","",""
"No","2000","lower secondary degree","in school","","","",""
"No","2000","lower secondary degree","inadequately","","","",""
"No","2000","lower secondary degree","general elemantary","2282","0.977335664471333","0.971318283214622","0.983353045728044"
"No","2000","lower secondary degree","middle vocational","6542","0.965439745663669","0.961091798117771","0.969787693209568"
"No","2000","lower secondary degree","vocational + Abi","34","1","1","1"
"No","2000","lower secondary degree","higher vocational","573","0.96518214908279","0.950427585591224","0.979936712574356"
"No","2000","lower secondary degree","higher education","204","0.987301667560925","0.972085169846315","1.00251816527553"
"No","2000","secondary school degree","in school","","","",""
"No","2000","secondary school degree","inadequately","","","",""
"No","2000","secondary school degree","general elemantary","661","0.915845241002555","0.895720060262852","0.935970421742258"
"No","2000","secondary school degree","middle vocational","4320","0.918873486258164","0.911086052481467","0.926660920034861"
"No","2000","secondary school degree","vocational + Abi","41","1","1","1"
"No","2000","secondary school degree","higher vocational","753","0.92501879288383","0.906982070031574","0.943055515736086"
"No","2000","secondary school degree","higher education","636","0.945014392293068","0.927817897576052","0.962210887010084"
"No","2000","college entrance qualification","in school","","","",""
"No","2000","college entrance qualification","inadequately","","","",""
"No","2000","college entrance qualification","general elemantary","","","",""
"No","2000","college entrance qualification","middle vocational","652","0.890823887188248","0.868293486029522","0.913354288346975"
"No","2000","college entrance qualification","vocational + Abi","791","0.88611764230514","0.86525913837762","0.90697614623266"
"No","2000","college entrance qualification","higher vocational","360","0.9400447017683","0.916299792433993","0.963789611102608"
"No","2000","college entrance qualification","higher education","2488","0.910609906797342","0.899909553395766","0.921310260198917"
"No","2000","Other degree","in school","","","",""
"No","2000","Other degree","inadequately","45","0.973917583220835","0.928352288824524","1.01948287761715"
"No","2000","Other degree","general elemantary","478","0.974967929204331","0.96109311536928","0.988842743039381"
"No","2000","Other degree","middle vocational","527","0.96240469580139","0.94647881429651","0.97833057730627"
"No","2000","Other degree","vocational + Abi","147","0.913135489717695","0.869632014444385","0.956638964991006"
"No","2000","Other degree","higher vocational","77","0.904952909526138","0.842235104329936","0.967670714722339"
"No","2000","Other degree","higher education","200","0.919646990931018","0.883394916333187","0.955899065528849"
"No","2000","no degree/no degree yet","in school","475","0.962144114009567","0.945331615349349","0.978956612669785"
"No","2000","no degree/no degree yet","inadequately","349","0.979531605437713","0.964822908192051","0.994240302683376"
"No","2000","no degree/no degree yet","general elemantary","","","",""
"No","2000","no degree/no degree yet","middle vocational","57","0.980784635744578","0.94575519345185","1.01581407803731"
"No","2000","no degree/no degree yet","vocational + Abi","","","",""
"No","2000","no degree/no degree yet","higher vocational","8","","",""
"No","2000","no degree/no degree yet","higher education","1","","",""
"Yes","2001","lower secondary degree","in school","","","",""
"Yes","2001","lower secondary degree","inadequately","","","",""
"Yes","2001","lower secondary degree","general elemantary","67","0.0305121123237441","0.0230099360793359","0.0380142885681522"
"Yes","2001","lower secondary degree","middle vocational","211","0.0348110685727943","0.0301741575413839","0.0394479796042046"
"Yes","2001","lower secondary degree","vocational + Abi","2","","",""
"Yes","2001","lower secondary degree","higher vocational","17","","",""
"Yes","2001","lower secondary degree","higher education","7","","",""
"Yes","2001","secondary school degree","in school","","","",""
"Yes","2001","secondary school degree","inadequately","","","",""
"Yes","2001","secondary school degree","general elemantary","57","0.0734066087232254","0.0534490070289765","0.0933642104174743"
"Yes","2001","secondary school degree","middle vocational","355","0.0743043892300286","0.0665374059120658","0.0820713725479914"
"Yes","2001","secondary school degree","vocational + Abi","1","","",""
"Yes","2001","secondary school degree","higher vocational","60","0.0752492926136523","0.0561914941141572","0.0943070911131474"
"Yes","2001","secondary school degree","higher education","44","0.0676080090770507","0.0479870103780735","0.087229007776028"
"Yes","2001","college entrance qualification","in school","","","",""
"Yes","2001","college entrance qualification","inadequately","","","",""
"Yes","2001","college entrance qualification","general elemantary","","","",""
"Yes","2001","college entrance qualification","middle vocational","106","0.134539803698086","0.10927953148676","0.159800075909413"
"Yes","2001","college entrance qualification","vocational + Abi","90","0.0956034869853904","0.0758474597151755","0.115359514255605"
"Yes","2001","college entrance qualification","higher vocational","18","","",""
"Yes","2001","college entrance qualification","higher education","210","0.0889820703926087","0.0779356269987429","0.100028513786474"
"Yes","2001","Other degree","in school","","","",""
"Yes","2001","Other degree","inadequately","1","","",""
"Yes","2001","Other degree","general elemantary","10","","",""
"Yes","2001","Other degree","middle vocational","17","","",""
"Yes","2001","Other degree","vocational + Abi","9","","",""
"Yes","2001","Other degree","higher vocational","4","","",""
"Yes","2001","Other degree","higher education","14","","",""
"Yes","2001","no degree/no degree yet","in school","22","","",""
"Yes","2001","no degree/no degree yet","inadequately","8","","",""
"Yes","2001","no degree/no degree yet","general elemantary","","","",""
"Yes","2001","no degree/no degree yet","middle vocational","1","","",""
"Yes","2001","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2001","no degree/no degree yet","higher vocational","","","",""
"Yes","2001","no degree/no degree yet","higher education","","","",""
"No","2001","lower secondary degree","in school","","","",""
"No","2001","lower secondary degree","inadequately","","","",""
"No","2001","lower secondary degree","general elemantary","1952","0.969487887676256","0.961985711431848","0.976990063920664"
"No","2001","lower secondary degree","middle vocational","5792","0.965188931427206","0.960552020395795","0.969825842458616"
"No","2001","lower secondary degree","vocational + Abi","30","0.907641038974435","0.807325159871806","1.00795691807706"
"No","2001","lower secondary degree","higher vocational","503","0.958623477154317","0.941505696968119","0.975741257340514"
"No","2001","lower secondary degree","higher education","182","0.938866904644925","0.904711660261731","0.973022149028119"
"No","2001","secondary school degree","in school","","","",""
"No","2001","secondary school degree","inadequately","","","",""
"No","2001","secondary school degree","general elemantary","599","0.926593391276775","0.906635789582526","0.946550992971024"
"No","2001","secondary school degree","middle vocational","4025","0.925695610769971","0.917928627452009","0.933462594087934"
"No","2001","secondary school degree","vocational + Abi","37","0.985639841349331","0.947813439081224","1.02346624361744"
"No","2001","secondary school degree","higher vocational","676","0.924750707386348","0.905692908886853","0.943808505885843"
"No","2001","secondary school degree","higher education","585","0.932391990922949","0.912770992223972","0.952012989621926"
"No","2001","college entrance qualification","in school","","","",""
"No","2001","college entrance qualification","inadequately","","","",""
"No","2001","college entrance qualification","general elemantary","","","",""
"No","2001","college entrance qualification","middle vocational","595","0.865460196301914","0.840199924090587","0.89072046851324"
"No","2001","college entrance qualification","vocational + Abi","761","0.90439651301461","0.884640485744395","0.924152540284824"
"No","2001","college entrance qualification","higher vocational","328","0.95146382043719","0.92882055928997","0.974107081584409"
"No","2001","college entrance qualification","higher education","2342","0.911017929607391","0.899971486213526","0.922064373001257"
"No","2001","Other degree","in school","","","",""
"No","2001","Other degree","inadequately","36","0.904927329816269","0.810416423677058","0.999438235955479"
"No","2001","Other degree","general elemantary","429","0.975086703221901","0.960506853461033","0.989666552982769"
"No","2001","Other degree","middle vocational","471","0.963781947754293","0.947205551527032","0.980358343981554"
"No","2001","Other degree","vocational + Abi","147","0.929602395651002","0.889459069948057","0.969745721353947"
"No","2001","Other degree","higher vocational","60","0.974791283421635","0.936386148929214","1.01319641791406"
"No","2001","Other degree","higher education","174","0.907135987304883","0.86564735794838","0.948624616661387"
"No","2001","no degree/no degree yet","in school","524","0.96523983249182","0.949875619546199","0.980604045437442"
"No","2001","no degree/no degree yet","inadequately","266","0.968875160635858","0.948313400909374","0.989436920362343"
"No","2001","no degree/no degree yet","general elemantary","","","",""
"No","2001","no degree/no degree yet","middle vocational","42","0.995643127185852","0.975957323292219","1.01532893107949"
"No","2001","no degree/no degree yet","vocational + Abi","","","",""
"No","2001","no degree/no degree yet","higher vocational","5","","",""
"No","2001","no degree/no degree yet","higher education","1","","",""
"Yes","2002","lower secondary degree","in school","","","",""
"Yes","2002","lower secondary degree","inadequately","","","",""
"Yes","2002","lower secondary degree","general elemantary","43","0.0245074708657847","0.0173083833418313","0.0317065583897381"
"Yes","2002","lower secondary degree","middle vocational","161","0.0267090792960573","0.0223761271698319","0.0310420314222827"
"Yes","2002","lower secondary degree","vocational + Abi","5","","",""
"Yes","2002","lower secondary degree","higher vocational","15","","",""
"Yes","2002","lower secondary degree","higher education","4","","",""
"Yes","2002","secondary school degree","in school","","","",""
"Yes","2002","secondary school degree","inadequately","","","",""
"Yes","2002","secondary school degree","general elemantary","55","0.066757090423719","0.0467014904984159","0.0868126903490221"
"Yes","2002","secondary school degree","middle vocational","242","0.0612027408002406","0.0537511179347606","0.0686543636657205"
"Yes","2002","secondary school degree","vocational + Abi","1","","",""
"Yes","2002","secondary school degree","higher vocational","36","0.0508532623190948","0.0343526285912467","0.0673538960469428"
"Yes","2002","secondary school degree","higher education","26","","",""
"Yes","2002","college entrance qualification","in school","","","",""
"Yes","2002","college entrance qualification","inadequately","","","",""
"Yes","2002","college entrance qualification","general elemantary","","","",""
"Yes","2002","college entrance qualification","middle vocational","62","0.100124299589663","0.0767409219342457","0.123507677245081"
"Yes","2002","college entrance qualification","vocational + Abi","71","0.0797399280142696","0.0613990851089307","0.0980807709196085"
"Yes","2002","college entrance qualification","higher vocational","16","","",""
"Yes","2002","college entrance qualification","higher education","106","0.0464574877674849","0.037170338215721","0.0557446373192488"
"Yes","2002","Other degree","in school","","","",""
"Yes","2002","Other degree","inadequately","1","","",""
"Yes","2002","Other degree","general elemantary","12","","",""
"Yes","2002","Other degree","middle vocational","17","","",""
"Yes","2002","Other degree","vocational + Abi","2","","",""
"Yes","2002","Other degree","higher vocational","3","","",""
"Yes","2002","Other degree","higher education","7","","",""
"Yes","2002","no degree/no degree yet","in school","19","","",""
"Yes","2002","no degree/no degree yet","inadequately","4","","",""
"Yes","2002","no degree/no degree yet","general elemantary","","","",""
"Yes","2002","no degree/no degree yet","middle vocational","1","","",""
"Yes","2002","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2002","no degree/no degree yet","higher vocational","","","",""
"Yes","2002","no degree/no degree yet","higher education","","","",""
"No","2002","lower secondary degree","in school","","","",""
"No","2002","lower secondary degree","inadequately","","","",""
"No","2002","lower secondary degree","general elemantary","1729","0.975492529134215","0.968293441610262","0.982691616658169"
"No","2002","lower secondary degree","middle vocational","5158","0.973290920703943","0.968957968577717","0.977623872830168"
"No","2002","lower secondary degree","vocational + Abi","24","","",""
"No","2002","lower secondary degree","higher vocational","454","0.978994421453569","0.966016082809957","0.99197276009718"
"No","2002","lower secondary degree","higher education","171","0.965106121263687","0.937917247050082","0.992294995477291"
"No","2002","secondary school degree","in school","","","",""
"No","2002","secondary school degree","inadequately","","","",""
"No","2002","secondary school degree","general elemantary","540","0.933242909576281","0.913187309650978","0.953298509501584"
"No","2002","secondary school degree","middle vocational","3733","0.93879725919976","0.93134563633428","0.946248882065239"
"No","2002","secondary school degree","vocational + Abi","32","0.993624576012626","0.966469137549798","1.02078001447545"
"No","2002","secondary school degree","higher vocational","645","0.949146737680905","0.932646103953057","0.965647371408753"
"No","2002","secondary school degree","higher education","533","0.95340740750786","0.935935517539109","0.970879297476611"
"No","2002","college entrance qualification","in school","","","",""
"No","2002","college entrance qualification","inadequately","","","",""
"No","2002","college entrance qualification","general elemantary","","","",""
"No","2002","college entrance qualification","middle vocational","571","0.899875700410336","0.876492322754919","0.923259078065754"
"No","2002","college entrance qualification","vocational + Abi","767","0.92026007198573","0.901919229080392","0.938600914891069"
"No","2002","college entrance qualification","higher vocational","234","0.937219363962915","0.907150877433499","0.967287850492332"
"No","2002","college entrance qualification","higher education","1867","0.953542512232515","0.944255362680751","0.962829661784279"
"No","2002","Other degree","in school","","","",""
"No","2002","Other degree","inadequately","35","0.947979955246188","0.87543924915188","1.0205206613405"
"No","2002","Other degree","general elemantary","373","0.966426969430034","0.948434220506157","0.984419718353911"
"No","2002","Other degree","middle vocational","426","0.968079988440828","0.951710565521226","0.984449411360431"
"No","2002","Other degree","vocational + Abi","134","0.988238004891265","0.970118350497318","1.00635765928521"
"No","2002","Other degree","higher vocational","61","0.96163795114319","0.914581973771665","1.00869392851471"
"No","2002","Other degree","higher education","151","0.960980511856085","0.93078672243707","0.991174301275101"
"No","2002","no degree/no degree yet","in school","463","0.951122584413388","0.931874082430628","0.970371086396149"
"No","2002","no degree/no degree yet","inadequately","232","0.985570356554567","0.970355645614319","1.00078506749482"
"No","2002","no degree/no degree yet","general elemantary","","","",""
"No","2002","no degree/no degree yet","middle vocational","40","0.979024094665354","0.935159591970415","1.02288859736029"
"No","2002","no degree/no degree yet","vocational + Abi","","","",""
"No","2002","no degree/no degree yet","higher vocational","4","","",""
"No","2002","no degree/no degree yet","higher education","","","",""
"Yes","2003","lower secondary degree","in school","","","",""
"Yes","2003","lower secondary degree","inadequately","","","",""
"Yes","2003","lower secondary degree","general elemantary","52","0.0237857966484017","0.0165186373844075","0.0310529559123959"
"Yes","2003","lower secondary degree","middle vocational","182","0.0305094243114567","0.0257809660157125","0.0352378826072009"
"Yes","2003","lower secondary degree","vocational + Abi","2","","",""
"Yes","2003","lower secondary degree","higher vocational","14","","",""
"Yes","2003","lower secondary degree","higher education","6","","",""
"Yes","2003","secondary school degree","in school","","","",""
"Yes","2003","secondary school degree","inadequately","","","",""
"Yes","2003","secondary school degree","general elemantary","49","0.0957229610439361","0.0719020648268892","0.119543857260983"
"Yes","2003","secondary school degree","middle vocational","312","0.0781209086556205","0.0696252059409127","0.0866166113703282"
"Yes","2003","secondary school degree","vocational + Abi","","","",""
"Yes","2003","secondary school degree","higher vocational","43","0.0640892145782011","0.0455444898851826","0.0826339392712196"
"Yes","2003","secondary school degree","higher education","48","0.0724008733292083","0.0503795028772389","0.0944222437811777"
"Yes","2003","college entrance qualification","in school","","","",""
"Yes","2003","college entrance qualification","inadequately","","","",""
"Yes","2003","college entrance qualification","general elemantary","","","",""
"Yes","2003","college entrance qualification","middle vocational","60","0.0896844419659845","0.0670285052125986","0.11234037871937"
"Yes","2003","college entrance qualification","vocational + Abi","74","0.0689269636629235","0.0517954831467115","0.0860584441791355"
"Yes","2003","college entrance qualification","higher vocational","18","","",""
"Yes","2003","college entrance qualification","higher education","136","0.0749057170743297","0.0630848024013894","0.08672663174727"
"Yes","2003","Other degree","in school","","","",""
"Yes","2003","Other degree","inadequately","1","","",""
"Yes","2003","Other degree","general elemantary","3","","",""
"Yes","2003","Other degree","middle vocational","14","","",""
"Yes","2003","Other degree","vocational + Abi","4","","",""
"Yes","2003","Other degree","higher vocational","4","","",""
"Yes","2003","Other degree","higher education","12","","",""
"Yes","2003","no degree/no degree yet","in school","41","0.0777787129447","0.0541612869052796","0.10139613898412"
"Yes","2003","no degree/no degree yet","inadequately","5","","",""
"Yes","2003","no degree/no degree yet","general elemantary","","","",""
"Yes","2003","no degree/no degree yet","middle vocational","","","",""
"Yes","2003","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2003","no degree/no degree yet","higher vocational","","","",""
"Yes","2003","no degree/no degree yet","higher education","","","",""
"No","2003","lower secondary degree","in school","","","",""
"No","2003","lower secondary degree","inadequately","","","",""
"No","2003","lower secondary degree","general elemantary","1637","0.976214203351598","0.968947044087604","0.983481362615592"
"No","2003","lower secondary degree","middle vocational","4900","0.969490575688543","0.964762117392799","0.974219033984287"
"No","2003","lower secondary degree","vocational + Abi","26","","",""
"No","2003","lower secondary degree","higher vocational","422","0.979260659918759","0.96588388354264","0.992637436294877"
"No","2003","lower secondary degree","higher education","165","0.952495162914103","0.920612811689247","0.984377514138959"
"No","2003","secondary school degree","in school","","","",""
"No","2003","secondary school degree","inadequately","","","",""
"No","2003","secondary school degree","general elemantary","537","0.904277038956064","0.880456142739017","0.928097935173111"
"No","2003","secondary school degree","middle vocational","3521","0.92187909134438","0.913383388629672","0.930374794059087"
"No","2003","secondary school degree","vocational + Abi","32","1","1","1"
"No","2003","secondary school degree","higher vocational","627","0.935910785421799","0.91736606072878","0.954455510114817"
"No","2003","secondary school degree","higher education","484","0.927599126670792","0.905577756218822","0.949620497122761"
"No","2003","college entrance qualification","in school","","","",""
"No","2003","college entrance qualification","inadequately","","","",""
"No","2003","college entrance qualification","general elemantary","","","",""
"No","2003","college entrance qualification","middle vocational","551","0.910315558034016","0.88765962128063","0.932971494787401"
"No","2003","college entrance qualification","vocational + Abi","766","0.931073036337076","0.913941555820864","0.948204516853289"
"No","2003","college entrance qualification","higher vocational","238","0.944317940491792","0.916228384543272","0.972407496440311"
"No","2003","college entrance qualification","higher education","1769","0.92509428292567","0.91327336825273","0.936915197598611"
"No","2003","Other degree","in school","","","",""
"No","2003","Other degree","inadequately","33","0.994724644780025","0.970375375886031","1.01907391367402"
"No","2003","Other degree","general elemantary","361","0.989393736078885","0.978870163702587","0.999917308455183"
"No","2003","Other degree","middle vocational","403","0.963505371450039","0.945507480857986","0.981503262042093"
"No","2003","Other degree","vocational + Abi","121","0.965231589793584","0.933117082421705","0.997346097165464"
"No","2003","Other degree","higher vocational","54","0.934824483053331","0.871299965486201","0.998349000620461"
"No","2003","Other degree","higher education","144","0.929107160913507","0.888833613978438","0.969380707848576"
"No","2003","no degree/no degree yet","in school","453","0.9222212870553","0.89860386101588","0.94583871309472"
"No","2003","no degree/no degree yet","inadequately","214","0.972300819322138","0.950565810489051","0.994035828155226"
"No","2003","no degree/no degree yet","general elemantary","","","",""
"No","2003","no degree/no degree yet","middle vocational","41","1","1","1"
"No","2003","no degree/no degree yet","vocational + Abi","","","",""
"No","2003","no degree/no degree yet","higher vocational","3","","",""
"No","2003","no degree/no degree yet","higher education","1","","",""
"Yes","2004","lower secondary degree","in school","","","",""
"Yes","2004","lower secondary degree","inadequately","","","",""
"Yes","2004","lower secondary degree","general elemantary","45","0.0269912992190854","0.0191216059482885","0.0348609924898823"
"Yes","2004","lower secondary degree","middle vocational","223","0.0400620524903202","0.0347518379236097","0.0453722670570306"
"Yes","2004","lower secondary degree","vocational + Abi","3","","",""
"Yes","2004","lower secondary degree","higher vocational","19","","",""
"Yes","2004","lower secondary degree","higher education","3","","",""
"Yes","2004","secondary school degree","in school","","","",""
"Yes","2004","secondary school degree","inadequately","","","",""
"Yes","2004","secondary school degree","general elemantary","66","0.0918972595341472","0.0688590674418221","0.114935451626472"
"Yes","2004","secondary school degree","middle vocational","347","0.0772753457747939","0.0692416210930026","0.0853090704565852"
"Yes","2004","secondary school degree","vocational + Abi","2","","",""
"Yes","2004","secondary school degree","higher vocational","56","0.0775750761473995","0.0581833699598556","0.0969667823349434"
"Yes","2004","secondary school degree","higher education","50","0.0570000755515658","0.03910795653756","0.0748921945655716"
"Yes","2004","college entrance qualification","in school","","","",""
"Yes","2004","college entrance qualification","inadequately","","","",""
"Yes","2004","college entrance qualification","general elemantary","","","",""
"Yes","2004","college entrance qualification","middle vocational","62","0.0765130808088154","0.0577500012212642","0.0952761603963667"
"Yes","2004","college entrance qualification","vocational + Abi","91","0.0942845589315355","0.075894700045883","0.112674417817188"
"Yes","2004","college entrance qualification","higher vocational","27","","",""
"Yes","2004","college entrance qualification","higher education","222","0.0628147718592988","0.0544757246349085","0.071153819083689"
"Yes","2004","Other degree","in school","","","",""
"Yes","2004","Other degree","inadequately","","","",""
"Yes","2004","Other degree","general elemantary","12","","",""
"Yes","2004","Other degree","middle vocational","16","","",""
"Yes","2004","Other degree","vocational + Abi","9","","",""
"Yes","2004","Other degree","higher vocational","4","","",""
"Yes","2004","Other degree","higher education","8","","",""
"Yes","2004","no degree/no degree yet","in school","37","0.0515093955490745","0.0342358093447656","0.0687829817533834"
"Yes","2004","no degree/no degree yet","inadequately","12","","",""
"Yes","2004","no degree/no degree yet","general elemantary","","","",""
"Yes","2004","no degree/no degree yet","middle vocational","","","",""
"Yes","2004","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2004","no degree/no degree yet","higher vocational","","","",""
"Yes","2004","no degree/no degree yet","higher education","","","",""
"No","2004","lower secondary degree","in school","","","",""
"No","2004","lower secondary degree","inadequately","","","",""
"No","2004","lower secondary degree","general elemantary","1584","0.973008700780915","0.965139007510118","0.980878394051711"
"No","2004","lower secondary degree","middle vocational","5016","0.95993794750968","0.954627732942969","0.96524816207639"
"No","2004","lower secondary degree","vocational + Abi","24","","",""
"No","2004","lower secondary degree","higher vocational","455","0.957346619718136","0.939155046797442","0.97553819263883"
"No","2004","lower secondary degree","higher education","186","0.992355367522361","0.979938012273497","1.00477272277123"
"No","2004","secondary school degree","in school","","","",""
"No","2004","secondary school degree","inadequately","","","",""
"No","2004","secondary school degree","general elemantary","538","0.908102740465853","0.885064548373528","0.931140932558178"
"No","2004","secondary school degree","middle vocational","3897","0.922724654225206","0.914690929543415","0.930758378906997"
"No","2004","secondary school degree","vocational + Abi","37","0.895715152276261","0.79979467000422","0.991635634548301"
"No","2004","secondary school degree","higher vocational","675","0.922424923852601","0.903033217665057","0.941816630040144"
