"ple0160","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1999","Couple + C. LE 16 ","(2c_gen) general maturity certificate","62","0.954271166644419","0.904251401138122","1.00429093215072"
"No","1999","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","203","0.892081039842609","0.851628583113408","0.932533496571809"
"No","1999","Couple + C. LE 16 ","(3a) lower tertiary education","214","0.915224340745459","0.879381413776245","0.951067267714673"
"No","1999","Couple + C. LE 16 ","(3b) higher tertiary education","251","0.947606087576559","0.920929207900298","0.97428296725282"
"No","1999","Couple + C. GT 16 ","(0) in school","139","0.974981227368694","0.949560075983139","1.00040237875425"
"No","1999","Couple + C. GT 16 ","(1a) inadequately completed","134","0.995628776092248","0.984500408741677","1.00675714344282"
"No","1999","Couple + C. GT 16 ","(1b) general elementary school","347","0.976810345693143","0.961241617758315","0.992379073627971"
"No","1999","Couple + C. GT 16 ","(1c) basic vocational qualification","625","0.963518591328368","0.949105495905087","0.977931686751649"
"No","1999","Couple + C. GT 16 ","(2b) intermediate general qualification","136","0.873787694001777","0.820819711641476","0.926755676362079"
"No","1999","Couple + C. GT 16 ","(2a) intermediate vocational","410","0.944793516045159","0.923306964358138","0.96628006773218"
"No","1999","Couple + C. GT 16 ","(2c_gen) general maturity certificate","140","0.910805813917091","0.86578960671925","0.955822021114933"
"No","1999","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","75","0.954033331266465","0.908144564439049","0.99992209809388"
"No","1999","Couple + C. GT 16 ","(3a) lower tertiary education","140","0.953705347902166","0.919737976099668","0.987672719704665"
"No","1999","Couple + C. GT 16 ","(3b) higher tertiary education","155","0.978364519792875","0.955821000430064","1.00090803915569"
"No","1999","Couple + C. LE and GT 16","(0) in school","126","0.985642531604584","0.96503425103233","1.00625081217684"
"No","1999","Couple + C. LE and GT 16","(1a) inadequately completed","52","0.991471456774534","0.966715045345764","1.0162278682033"
"No","1999","Couple + C. LE and GT 16","(1b) general elementary school","151","0.981312641467582","0.959993981743375","1.00263130119179"
"No","1999","Couple + C. LE and GT 16","(1c) basic vocational qualification","221","0.963486270312849","0.939193266793576","0.987779273832122"
"No","1999","Couple + C. LE and GT 16","(2b) intermediate general qualification","90","0.898665087484709","0.839812455824953","0.957517719144465"
"No","1999","Couple + C. LE and GT 16","(2a) intermediate vocational","214","0.947226883351368","0.918205771514059","0.976247995188677"
"No","1999","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","49","0.937291993439863","0.872629840229176","1.00195414665055"
"No","1999","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","34","0.780373525124024","0.646978129918773","0.913768920329274"
"No","1999","Couple + C. LE and GT 16","(3a) lower tertiary education","68","0.959378599033496","0.913779705482255","1.00497749258474"
"No","1999","Couple + C. LE and GT 16","(3b) higher tertiary education","59","0.902247968798333","0.829489432151567","0.975006505445099"
"Yes","2000","1-pers.-HH","(0) in school","","","",""
"Yes","2000","1-pers.-HH","(1a) inadequately completed","2","","",""
"Yes","2000","1-pers.-HH","(1b) general elementary school","3","","",""
"Yes","2000","1-pers.-HH","(1c) basic vocational qualification","38","0.0347772166622369","0.0237890899879458","0.0457653433365281"
"Yes","2000","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"Yes","2000","1-pers.-HH","(2a) intermediate vocational","52","0.0620066895078607","0.0444275308592558","0.0795858481564655"
"Yes","2000","1-pers.-HH","(2c_gen) general maturity certificate","10","","",""
"Yes","2000","1-pers.-HH","(2c_voc) vocational maturity certificate","28","","",""
"Yes","2000","1-pers.-HH","(3a) lower tertiary education","21","","",""
"Yes","2000","1-pers.-HH","(3b) higher tertiary education","39","0.100839479116009","0.0677440175024571","0.13393494072956"
"Yes","2000","(Married) couple without C. ","(0) in school","","","",""
"Yes","2000","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Yes","2000","(Married) couple without C. ","(1b) general elementary school","12","","",""
"Yes","2000","(Married) couple without C. ","(1c) basic vocational qualification","91","0.0288707696069688","0.02307740414181","0.0346641350721276"
"Yes","2000","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"Yes","2000","(Married) couple without C. ","(2a) intermediate vocational","120","0.0807936097078048","0.0667376819020069","0.0948495375136027"
"Yes","2000","(Married) couple without C. ","(2c_gen) general maturity certificate","14","","",""
"Yes","2000","(Married) couple without C. ","(2c_voc) vocational maturity certificate","46","0.105494434616308","0.0765603037902908","0.134428565442325"
"Yes","2000","(Married) couple without C. ","(3a) lower tertiary education","26","","",""
"Yes","2000","(Married) couple without C. ","(3b) higher tertiary education","54","0.0796817349697111","0.0593876977903694","0.0999757721490528"
"Yes","2000","Single parent ","(0) in school","1","","",""
"Yes","2000","Single parent ","(1a) inadequately completed","","","",""
"Yes","2000","Single parent ","(1b) general elementary school","4","","",""
"Yes","2000","Single parent ","(1c) basic vocational qualification","9","","",""
"Yes","2000","Single parent ","(2b) intermediate general qualification","6","","",""
"Yes","2000","Single parent ","(2a) intermediate vocational","25","","",""
"Yes","2000","Single parent ","(2c_gen) general maturity certificate","5","","",""
"Yes","2000","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2000","Single parent ","(3a) lower tertiary education","3","","",""
"Yes","2000","Single parent ","(3b) higher tertiary education","7","","",""
"Yes","2000","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2000","Couple + C. LE 16 ","(1a) inadequately completed","3","","",""
"Yes","2000","Couple + C. LE 16 ","(1b) general elementary school","15","","",""
"Yes","2000","Couple + C. LE 16 ","(1c) basic vocational qualification","75","0.04821370314795","0.0371185947203627","0.0593088115755372"
"Yes","2000","Couple + C. LE 16 ","(2b) intermediate general qualification","9","","",""
"Yes","2000","Couple + C. LE 16 ","(2a) intermediate vocational","158","0.0953419020112584","0.0815027594612895","0.109181044561227"
"Yes","2000","Couple + C. LE 16 ","(2c_gen) general maturity certificate","3","","",""
"Yes","2000","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","41","0.0866298338470042","0.0617236492465388","0.11153601844747"
"Yes","2000","Couple + C. LE 16 ","(3a) lower tertiary education","33","0.0741545755416044","0.0489451899173027","0.0993639611659062"
"Yes","2000","Couple + C. LE 16 ","(3b) higher tertiary education","53","0.0987093329443055","0.0744350930435158","0.122983572845095"
"Yes","2000","Couple + C. GT 16 ","(0) in school","12","","",""
"Yes","2000","Couple + C. GT 16 ","(1a) inadequately completed","1","","",""
"Yes","2000","Couple + C. GT 16 ","(1b) general elementary school","18","","",""
"Yes","2000","Couple + C. GT 16 ","(1c) basic vocational qualification","33","0.0351869142107435","0.0242083222433454","0.0461655061781416"
"Yes","2000","Couple + C. GT 16 ","(2b) intermediate general qualification","26","","",""
"Yes","2000","Couple + C. GT 16 ","(2a) intermediate vocational","67","0.0720592400179154","0.0546754850127777","0.0894429950230531"
"Yes","2000","Couple + C. GT 16 ","(2c_gen) general maturity certificate","36","0.13292905667686","0.0931635653216477","0.172694548032072"
"Yes","2000","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","14","","",""
"Yes","2000","Couple + C. GT 16 ","(3a) lower tertiary education","21","","",""
"Yes","2000","Couple + C. GT 16 ","(3b) higher tertiary education","22","","",""
"Yes","2000","Couple + C. LE and GT 16","(0) in school","6","","",""
"Yes","2000","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2000","Couple + C. LE and GT 16","(1b) general elementary school","19","","",""
"Yes","2000","Couple + C. LE and GT 16","(1c) basic vocational qualification","17","","",""
"Yes","2000","Couple + C. LE and GT 16","(2b) intermediate general qualification","17","","",""
"Yes","2000","Couple + C. LE and GT 16","(2a) intermediate vocational","35","0.0769854852799709","0.0514614244697278","0.102509546090214"
"Yes","2000","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","14","","",""
"Yes","2000","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","7","","",""
"Yes","2000","Couple + C. LE and GT 16","(3a) lower tertiary education","5","","",""
"Yes","2000","Couple + C. LE and GT 16","(3b) higher tertiary education","11","","",""
"No","2000","1-pers.-HH","(0) in school","5","","",""
"No","2000","1-pers.-HH","(1a) inadequately completed","40","0.962984350094986","0.905885711966263","1.02008298822371"
"No","2000","1-pers.-HH","(1b) general elementary school","505","0.996525791962989","0.991409110076101","1.00164247384988"
"No","2000","1-pers.-HH","(1c) basic vocational qualification","1030","0.965222783337763","0.954234656663472","0.976210910012054"
"No","2000","1-pers.-HH","(2b) intermediate general qualification","54","0.957382617050491","0.904944532361956","1.00982070173903"
"No","2000","1-pers.-HH","(2a) intermediate vocational","671","0.937993310492139","0.920414151843535","0.955572469140744"
"No","2000","1-pers.-HH","(2c_gen) general maturity certificate","140","0.92416945464821","0.881805123288885","0.966533786007534"
"No","2000","1-pers.-HH","(2c_voc) vocational maturity certificate","237","0.899315982295682","0.863086545853938","0.935545418737426"
"No","2000","1-pers.-HH","(3a) lower tertiary education","205","0.901571386735402","0.862733587295366","0.940409186175437"
"No","2000","1-pers.-HH","(3b) higher tertiary education","279","0.899160520883991","0.86606505927044","0.932255982497543"
"No","2000","(Married) couple without C. ","(0) in school","5","","",""
"No","2000","(Married) couple without C. ","(1a) inadequately completed","106","0.981196508781159","0.955696984108055","1.00669603345426"
"No","2000","(Married) couple without C. ","(1b) general elementary school","871","0.98586583997961","0.978079889261016","0.993651790698205"
"No","2000","(Married) couple without C. ","(1c) basic vocational qualification","3118","0.971129230393031","0.965335864927872","0.97692259585819"
"No","2000","(Married) couple without C. ","(2b) intermediate general qualification","85","0.932487397767991","0.88093589801776","0.984038897518222"
"No","2000","(Married) couple without C. ","(2a) intermediate vocational","1324","0.919206390292195","0.905150462486397","0.933262318097993"
"No","2000","(Married) couple without C. ","(2c_gen) general maturity certificate","80","0.90475656179237","0.845413825558089","0.964099298026652"
"No","2000","(Married) couple without C. ","(2c_voc) vocational maturity certificate","387","0.894505565383692","0.865571434557675","0.923439696209709"
"No","2000","(Married) couple without C. ","(3a) lower tertiary education","581","0.950206076592465","0.932901904695643","0.967510248489287"
"No","2000","(Married) couple without C. ","(3b) higher tertiary education","630","0.920318265030289","0.900024227850947","0.940612302209631"
"No","2000","Single parent ","(0) in school","63","0.978673866408199","0.943279579868028","1.01406815294837"
"No","2000","Single parent ","(1a) inadequately completed","20","","",""
"No","2000","Single parent ","(1b) general elementary school","187","0.989355588807","0.974802055820068","1.00390912179393"
"No","2000","Single parent ","(1c) basic vocational qualification","309","0.975863978414089","0.95899603958028","0.992731917247898"
"No","2000","Single parent ","(2b) intermediate general qualification","68","0.945581697714751","0.893897919481127","0.997265475948375"
"No","2000","Single parent ","(2a) intermediate vocational","250","0.911996144788365","0.878512780007018","0.945479509569712"
"No","2000","Single parent ","(2c_gen) general maturity certificate","54","0.887703231233856","0.807139491909357","0.968266970558355"
"No","2000","Single parent ","(2c_voc) vocational maturity certificate","60","0.959634175803854","0.911034028942633","1.00823432266507"
"No","2000","Single parent ","(3a) lower tertiary education","52","0.964170659125264","0.915050121522577","1.01329119672795"
"No","2000","Single parent ","(3b) higher tertiary education","78","0.930293966502749","0.876158246700012","0.984429686305485"
"No","2000","Couple + C. LE 16 ","(0) in school","3","","",""
"No","2000","Couple + C. LE 16 ","(1a) inadequately completed","71","0.958595439281843","0.913203995048858","1.00398688351483"
"No","2000","Couple + C. LE 16 ","(1b) general elementary school","353","0.946166502848933","0.923107832384768","0.969225173313098"
"No","2000","Couple + C. LE 16 ","(1c) basic vocational qualification","1357","0.95178629685205","0.940691188424463","0.962881405279637"
"No","2000","Couple + C. LE 16 ","(2b) intermediate general qualification","57","0.899882783477136","0.827468626666167","0.972296940288105"
"No","2000","Couple + C. LE 16 ","(2a) intermediate vocational","1572","0.904658097988742","0.890818955438773","0.918497240538711"
"No","2000","Couple + C. LE 16 ","(2c_gen) general maturity certificate","79","0.91133737078111","0.84981245080412","0.9728622907581"
"No","2000","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","449","0.913370166152996","0.88846398155253","0.938276350753461"
"No","2000","Couple + C. LE 16 ","(3a) lower tertiary education","382","0.925845424458396","0.900636038834094","0.951054810082697"
"No","2000","Couple + C. LE 16 ","(3b) higher tertiary education","527","0.901290667055695","0.877016427154905","0.925564906956484"
"No","2000","Couple + C. GT 16 ","(0) in school","196","0.956042555105475","0.928183187388378","0.983901922822571"
"No","2000","Couple + C. GT 16 ","(1a) inadequately completed","95","0.994657653852155","0.980075714054334","1.00923959364998"
"No","2000","Couple + C. GT 16 ","(1b) general elementary school","464","0.964307106729819","0.94774471194804","0.980869501511599"
"No","2000","Couple + C. GT 16 ","(1c) basic vocational qualification","1049","0.964813085789257","0.953834493821858","0.975791677756655"
"No","2000","Couple + C. GT 16 ","(2b) intermediate general qualification","209","0.894996044833249","0.855801326584718","0.934190763081779"
"No","2000","Couple + C. GT 16 ","(2a) intermediate vocational","783","0.927940759982085","0.910557004976947","0.945324514987222"
"No","2000","Couple + C. GT 16 ","(2c_gen) general maturity certificate","244","0.86707094332314","0.827305451967928","0.906836434678352"
"No","2000","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","187","0.924679022035546","0.888194930225218","0.961163113845874"
"No","2000","Couple + C. GT 16 ","(3a) lower tertiary education","216","0.917067036142038","0.881956452176808","0.952177620107268"
"No","2000","Couple + C. GT 16 ","(3b) higher tertiary education","255","0.927865200367524","0.897398665322106","0.958331735412943"
"No","2000","Couple + C. LE and GT 16","(0) in school","190","0.967684597911832","0.942927955043618","0.992441240780047"
"No","2000","Couple + C. LE and GT 16","(1a) inadequately completed","36","1","1","1"
"No","2000","Couple + C. LE and GT 16","(1b) general elementary school","238","0.933029490409819","0.902468247237138","0.9635907335825"
"No","2000","Couple + C. LE and GT 16","(1c) basic vocational qualification","384","0.9525871470525","0.931786525727306","0.973387768377694"
"No","2000","Couple + C. LE and GT 16","(2b) intermediate general qualification","165","0.903902740069878","0.861084506115674","0.946720974024082"
"No","2000","Couple + C. LE and GT 16","(2a) intermediate vocational","384","0.923014514720029","0.897490453909786","0.948538575530272"
"No","2000","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","105","0.908826285048558","0.857107314074866","0.960545256022249"
"No","2000","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","73","0.932305423872592","0.877255193650044","0.98735565409514"
"No","2000","Couple + C. LE and GT 16","(3a) lower tertiary education","108","0.97164044094101","0.941034101006276","1.00224678087574"
"No","2000","Couple + C. LE and GT 16","(3b) higher tertiary education","117","0.923860605910627","0.877914253550572","0.969806958270683"
"Yes","2001","1-pers.-HH","(0) in school","","","",""
"Yes","2001","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","2001","1-pers.-HH","(1b) general elementary school","4","","",""
"Yes","2001","1-pers.-HH","(1c) basic vocational qualification","33","0.0302036752938024","0.0194938163566416","0.0409135342309632"
"Yes","2001","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"Yes","2001","1-pers.-HH","(2a) intermediate vocational","48","0.0564957752896516","0.0388951834272592","0.074096367152044"
"Yes","2001","1-pers.-HH","(2c_gen) general maturity certificate","18","","",""
"Yes","2001","1-pers.-HH","(2c_voc) vocational maturity certificate","24","","",""
"Yes","2001","1-pers.-HH","(3a) lower tertiary education","12","","",""
"Yes","2001","1-pers.-HH","(3b) higher tertiary education","29","","",""
"Yes","2001","(Married) couple without C. ","(0) in school","","","",""
"Yes","2001","(Married) couple without C. ","(1a) inadequately completed","2","","",""
"Yes","2001","(Married) couple without C. ","(1b) general elementary school","14","","",""
"Yes","2001","(Married) couple without C. ","(1c) basic vocational qualification","71","0.0279256322510053","0.0218489434217196","0.0340023210802909"
"Yes","2001","(Married) couple without C. ","(2b) intermediate general qualification","4","","",""
"Yes","2001","(Married) couple without C. ","(2a) intermediate vocational","106","0.0697413490698823","0.0562092222522154","0.0832734758875493"
"Yes","2001","(Married) couple without C. ","(2c_gen) general maturity certificate","14","","",""
"Yes","2001","(Married) couple without C. ","(2c_voc) vocational maturity certificate","36","0.0893351771677001","0.0617935233602379","0.116876830975162"
"Yes","2001","(Married) couple without C. ","(3a) lower tertiary education","29","","",""
"Yes","2001","(Married) couple without C. ","(3b) higher tertiary education","57","0.103052102140086","0.0796436539590678","0.126460550321104"
"Yes","2001","Single parent ","(0) in school","","","",""
"Yes","2001","Single parent ","(1a) inadequately completed","2","","",""
"Yes","2001","Single parent ","(1b) general elementary school","8","","",""
"Yes","2001","Single parent ","(1c) basic vocational qualification","11","","",""
"Yes","2001","Single parent ","(2b) intermediate general qualification","8","","",""
"Yes","2001","Single parent ","(2a) intermediate vocational","16","","",""
"Yes","2001","Single parent ","(2c_gen) general maturity certificate","5","","",""
"Yes","2001","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2001","Single parent ","(3a) lower tertiary education","7","","",""
"Yes","2001","Single parent ","(3b) higher tertiary education","5","","",""
"Yes","2001","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2001","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"Yes","2001","Couple + C. LE 16 ","(1b) general elementary school","19","","",""
"Yes","2001","Couple + C. LE 16 ","(1c) basic vocational qualification","73","0.0647936229876676","0.0512392433431439","0.0783480026321913"
"Yes","2001","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"Yes","2001","Couple + C. LE 16 ","(2a) intermediate vocational","150","0.0968071580944627","0.0821991935528186","0.111415122636107"
"Yes","2001","Couple + C. LE 16 ","(2c_gen) general maturity certificate","6","","",""
"Yes","2001","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","37","0.0797507790396145","0.055388299774267","0.104113258304962"
"Yes","2001","Couple + C. LE 16 ","(3a) lower tertiary education","39","0.110254889379505","0.0790094833472369","0.141500295411774"
"Yes","2001","Couple + C. LE 16 ","(3b) higher tertiary education","36","0.0717627065920977","0.0495794485679516","0.0939459646162438"
"Yes","2001","Couple + C. GT 16 ","(0) in school","10","","",""
"Yes","2001","Couple + C. GT 16 ","(1a) inadequately completed","2","","",""
"Yes","2001","Couple + C. GT 16 ","(1b) general elementary school","15","","",""
"Yes","2001","Couple + C. GT 16 ","(1c) basic vocational qualification","27","","",""
"Yes","2001","Couple + C. GT 16 ","(2b) intermediate general qualification","24","","",""
"Yes","2001","Couple + C. GT 16 ","(2a) intermediate vocational","61","0.067591073688359","0.0499959388883255","0.0851862084883925"
"Yes","2001","Couple + C. GT 16 ","(2c_gen) general maturity certificate","50","0.193886663740094","0.146990341054492","0.240782986425696"
"Yes","2001","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","15","","",""
"Yes","2001","Couple + C. GT 16 ","(3a) lower tertiary education","15","","",""
"Yes","2001","Couple + C. GT 16 ","(3b) higher tertiary education","24","","",""
"Yes","2001","Couple + C. LE and GT 16","(0) in school","10","","",""
"Yes","2001","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Yes","2001","Couple + C. LE and GT 16","(1b) general elementary school","16","","",""
"Yes","2001","Couple + C. LE and GT 16","(1c) basic vocational qualification","17","","",""
"Yes","2001","Couple + C. LE and GT 16","(2b) intermediate general qualification","12","","",""
"Yes","2001","Couple + C. LE and GT 16","(2a) intermediate vocational","30","0.0874732168699928","0.0593973192865966","0.115549114453389"
"Yes","2001","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","13","","",""
"Yes","2001","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","8","","",""
"Yes","2001","Couple + C. LE and GT 16","(3a) lower tertiary education","4","","",""
