"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2002","Westdeutschland, alte Bundeslaender","6.95","7","10823","4","6","8","10","6.91","6.99","8","8"
"2003","Ostdeutschland, neue Bundeslaender","6.48","7","3033","3","5","8","9","6.4","6.56","7","7"
"2003","Westdeutschland, alte Bundeslaender","6.94","7","10232","4","6","8","9","6.9","6.98","8","8"
"2004","Ostdeutschland, neue Bundeslaender","6.38","7","2951","3","5","8","9","6.3","6.46","7","7"
"2004","Westdeutschland, alte Bundeslaender","6.83","7","9841","4","6","8","9","6.79","6.87","7","8"
"2005","Ostdeutschland, neue Bundeslaender","6.37","7","2812","3","5","8","9","6.28","6.46","7","7"
"2005","Westdeutschland, alte Bundeslaender","6.77","7","9336","4","5","8","9","6.73","6.81","7","8"
"2006","Ostdeutschland, neue Bundeslaender","6.55","7","2906","3","5","8","9","6.47","6.63","7","7"
"2006","Westdeutschland, alte Bundeslaender","6.79","7","9782","4","5","8","9","6.75","6.83","7","7"
"2007","Ostdeutschland, neue Bundeslaender","6.5","7","2822","3","5","8","9","6.42","6.58","7","7"
"2007","Westdeutschland, alte Bundeslaender","6.81","7","9267","4","5","8","9","6.77","6.85","7","7"
"2008","Ostdeutschland, neue Bundeslaender","6.67","7","2685","3","5","8","9","6.59","6.75","7","7"
"2008","Westdeutschland, alte Bundeslaender","6.81","7","8791","4","5","8","9","6.77","6.85","7","7"
"2009","Ostdeutschland, neue Bundeslaender","6.6","7","2579","3","5","8","9","6.51","6.69","7","7"
"2009","Westdeutschland, alte Bundeslaender","6.71","7","8232","3","5","8","9","6.66","6.76","7","7"
"2010","Ostdeutschland, neue Bundeslaender","6.65","7","3199","3","5","8","9","6.57","6.73","7","7"
"2010","Westdeutschland, alte Bundeslaender","6.85","7","11266","4","6","8","9","6.81","6.89","8","8"
"2011","Ostdeutschland, neue Bundeslaender","6.58","7","3539","3","5","8","9","6.5","6.66","7","7"
"2011","Westdeutschland, alte Bundeslaender","6.97","8","12755","4","6","8","9","6.93","7.01","8","8"
"2012","Ostdeutschland, neue Bundeslaender","6.83","7","3537","4","6","8","9","6.76","6.9","7","8"
"2012","Westdeutschland, alte Bundeslaender","7.06","8","12943","4","6","8","9","7.02","7.1","8","8"
"2013","Ostdeutschland, neue Bundeslaender","6.9","7","3659","4","6","8","9","6.83","6.97","7","8"
"2013","Westdeutschland, alte Bundeslaender","7.07","8","15593","4","6","8","9","7.04","7.1","8","8"
"2014","Ostdeutschland, neue Bundeslaender","6.89","7","3320","4","6","8","9","6.82","6.96","7","8"
"2014","Westdeutschland, alte Bundeslaender","7.07","8","13835","4","6","8","9","7.04","7.1","8","8"
"2015","Ostdeutschland, neue Bundeslaender","6.91","7","3095","4","6","8","9","6.84","6.98","7","8"
"2015","Westdeutschland, alte Bundeslaender","7.13","8","12586","5","6","8","9","7.09","7.17","8","8"
"2016","Ostdeutschland, neue Bundeslaender","6.98","7","2979","4","6","8","9","6.91","7.05","7","8"
"2016","Westdeutschland, alte Bundeslaender","7.14","8","12244","5","6","8","9","7.11","7.17","8","8"
"2017","Ostdeutschland, neue Bundeslaender","6.91","7","3385","4","6","8","9","6.84","6.98","7","8"
"2017","Westdeutschland, alte Bundeslaender","7.17","8","13580","4","6","9","10","7.14","7.2","8","8"
"2018","Ostdeutschland, neue Bundeslaender","6.87","7","3326","4","6","8","9","6.8","6.94","7","7"
"2018","Westdeutschland, alte Bundeslaender","7.13","8","13168","5","6","8","9","7.1","7.16","8","8"
"2019","Ostdeutschland, neue Bundeslaender","7.23","8","3413","5","6","8","9","7.17","7.29","8","8"
"2019","Westdeutschland, alte Bundeslaender","7.22","8","13296","5","6","9","9","7.19","7.25","8","8"
