"ple0021","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2011","Lower Saxony","in school","30","0.997698118505636","0.980828381914183","1.01456785509709"
"No","2011","Lower Saxony","inadequately","13","","",""
"No","2011","Lower Saxony","general elemantary","173","0.727969568428574","0.670952416509861","0.784986720347287"
"No","2011","Lower Saxony","middle vocational","837","0.798329034643784","0.773872187314711","0.822785881972857"
"No","2011","Lower Saxony","vocational + Abi","90","0.78455911339651","0.707377875185576","0.861740351607443"
"No","2011","Lower Saxony","higher vocational","95","0.840715497030774","0.772638891843015","0.908792102218533"
"No","2011","Lower Saxony","higher education","302","0.883825603502038","0.850110705091627","0.917540501912448"
"No","2011","Bremen","in school","3","","",""
"No","2011","Bremen","inadequately","1","","",""
"No","2011","Bremen","general elemantary","7","","",""
"No","2011","Bremen","middle vocational","53","0.787818046145739","0.686048126697803","0.889587965593674"
"No","2011","Bremen","vocational + Abi","6","","",""
"No","2011","Bremen","higher vocational","3","","",""
"No","2011","Bremen","higher education","29","","",""
"No","2011","North Rhine-Westphalia","in school","85","1","1","1"
"No","2011","North Rhine-Westphalia","inadequately","59","0.702271143379064","0.600795067112974","0.803747219645153"
"No","2011","North Rhine-Westphalia","general elemantary","362","0.726662974466454","0.686958344000994","0.766367604931913"
"No","2011","North Rhine-Westphalia","middle vocational","1575","0.768420738037234","0.74997451336749","0.786866962706979"
"No","2011","North Rhine-Westphalia","vocational + Abi","277","0.819211055458566","0.777241857790717","0.861180253126414"
"No","2011","North Rhine-Westphalia","higher vocational","205","0.823029722000907","0.776002886382227","0.870056557619587"
"No","2011","North Rhine-Westphalia","higher education","700","0.841431742863207","0.816671065313079","0.866192420413335"
"No","2011","Hesse","in school","33","0.949181913264987","0.875358773086141","1.02300505344383"
"No","2011","Hesse","inadequately","11","","",""
"No","2011","Hesse","general elemantary","103","0.643381940629987","0.56748251752082","0.719281363739154"
"No","2011","Hesse","middle vocational","483","0.772855333971156","0.739901749081599","0.805808918860714"
"No","2011","Hesse","vocational + Abi","94","0.862843865729637","0.798262300283301","0.927425431175974"
"No","2011","Hesse","higher vocational","68","0.766906187759274","0.676490260340323","0.857322115178225"
"No","2011","Hesse","higher education","333","0.906694165405291","0.877333747871746","0.936054582938836"
"No","2011","Rhineland-Palatinate,Saarland","in school","16","","",""
"No","2011","Rhineland-Palatinate,Saarland","inadequately","12","","",""
"No","2011","Rhineland-Palatinate,Saarland","general elemantary","153","0.763526697067144","0.704637414239666","0.822415979894623"
"No","2011","Rhineland-Palatinate,Saarland","middle vocational","488","0.783581852098076","0.751245346230722","0.815918357965429"
"No","2011","Rhineland-Palatinate,Saarland","vocational + Abi","53","0.943973062068207","0.884787968505975","1.00315815563044"
"No","2011","Rhineland-Palatinate,Saarland","higher vocational","72","0.730953525732572","0.639334562803594","0.82257248866155"
"No","2011","Rhineland-Palatinate,Saarland","higher education","147","0.782165218304602","0.722523239821251","0.841807196787953"
"No","2011","Baden-Württemberg","in school","40","1","1","1"
"No","2011","Baden-Württemberg","inadequately","24","","",""
"No","2011","Baden-Württemberg","general elemantary","242","0.684002420910198","0.634512251659606","0.73349259016079"
"No","2011","Baden-Württemberg","middle vocational","918","0.764365066328291","0.740252420690897","0.788477711965685"
"No","2011","Baden-Württemberg","vocational + Abi","139","0.872525180591167","0.821169111897708","0.923881249284625"
"No","2011","Baden-Württemberg","higher vocational","144","0.793524106488747","0.734226615880446","0.852821597097047"
"No","2011","Baden-Württemberg","higher education","443","0.819400420313031","0.786619079437432","0.852181761188629"
"No","2011","Bavaria","in school","38","0.993701448606594","0.968872170802238","1.01853072641095"
"No","2011","Bavaria","inadequately","19","","",""
"No","2011","Bavaria","general elemantary","244","0.673223002616556","0.624084798383565","0.722361206849548"
"No","2011","Bavaria","middle vocational","1339","0.781073428987051","0.761404785088161","0.80074207288594"
"No","2011","Bavaria","vocational + Abi","141","0.861002115920074","0.808216897511087","0.913787334329061"
"No","2011","Bavaria","higher vocational","182","0.834274141612758","0.785903183211087","0.882645100014429"
"No","2011","Bavaria","higher education","569","0.887705117674735","0.86343310687398","0.911977128475491"
"No","2011","Berlin","in school","13","","",""
"No","2011","Berlin","inadequately","7","","",""
"No","2011","Berlin","general elemantary","40","0.764675204719545","0.647094668173263","0.882255741265827"
"No","2011","Berlin","middle vocational","236","0.738543441733848","0.689861968217796","0.7872249152499"
"No","2011","Berlin","vocational + Abi","29","","",""
"No","2011","Berlin","higher vocational","37","0.665526132811353","0.547127462250909","0.783924803371796"
"No","2011","Berlin","higher education","249","0.872895987084843","0.835014174950529","0.910777799219158"
"No","2011","Brandenburg","in school","13","","",""
"No","2011","Brandenburg","inadequately","3","","",""
"No","2011","Brandenburg","general elemantary","59","0.818309802178155","0.73162041747111","0.9049991868852"
"No","2011","Brandenburg","middle vocational","345","0.811830376264123","0.775393229388247","0.84826752314"
"No","2011","Brandenburg","vocational + Abi","34","0.942340503037621","0.867232436454513","1.01744856962073"
"No","2011","Brandenburg","higher vocational","53","0.733003397180962","0.624619699011305","0.841387095350618"
"No","2011","Brandenburg","higher education","192","0.742730604145449","0.688216442526709","0.79724476576419"
"No","2011","Mecklenburg-Western Pomerania","in school","6","","",""
"No","2011","Mecklenburg-Western Pomerania","inadequately","6","","",""
"No","2011","Mecklenburg-Western Pomerania","general elemantary","20","","",""
"No","2011","Mecklenburg-Western Pomerania","middle vocational","211","0.771234469559124","0.720470131662774","0.821998807455473"
"No","2011","Mecklenburg-Western Pomerania","vocational + Abi","12","","",""
"No","2011","Mecklenburg-Western Pomerania","higher vocational","35","0.640703179450588","0.506363230899236","0.775043128001939"
"No","2011","Mecklenburg-Western Pomerania","higher education","115","0.785628379198754","0.718599945311128","0.85265681308638"
"No","2011","Saxony","in school","8","","",""
"No","2011","Saxony","inadequately","1","","",""
"No","2011","Saxony","general elemantary","50","0.68403421183537","0.577387958341741","0.790680465328998"
"No","2011","Saxony","middle vocational","624","0.792968885352142","0.764643051622766","0.821294719081518"
"No","2011","Saxony","vocational + Abi","54","0.86791165726022","0.781515964443735","0.954307350076705"
"No","2011","Saxony","higher vocational","86","0.723416714247774","0.643715921517123","0.803117506978425"
"No","2011","Saxony","higher education","290","0.781036187916511","0.737895954625892","0.82417642120713"
"No","2011","Saxony-Anhalt","in school","3","","",""
"No","2011","Saxony-Anhalt","inadequately","8","","",""
"No","2011","Saxony-Anhalt","general elemantary","47","0.761150439107303","0.653263234493135","0.869037643721472"
"No","2011","Saxony-Anhalt","middle vocational","374","0.814215400487528","0.778864854473152","0.849565946501903"
"No","2011","Saxony-Anhalt","vocational + Abi","27","","",""
"No","2011","Saxony-Anhalt","higher vocational","51","0.694542188314325","0.588150726431852","0.800933650196797"
"No","2011","Saxony-Anhalt","higher education","169","0.744259643526326","0.686740313003622","0.801778974049031"
"No","2011","Thuringia","in school","3","","",""
"No","2011","Thuringia","inadequately","5","","",""
"No","2011","Thuringia","general elemantary","28","","",""
"No","2011","Thuringia","middle vocational","430","0.813121636951439","0.780394568159545","0.845848705743333"
"No","2011","Thuringia","vocational + Abi","26","","",""
"No","2011","Thuringia","higher vocational","52","0.836190365955585","0.748863907925045","0.923516823986124"
"No","2011","Thuringia","higher education","161","0.807592499878098","0.751244785648646","0.863940214107551"
"Yes","2012","Schleswig-Holstein","in school","","","",""
"Yes","2012","Schleswig-Holstein","inadequately","","","",""
"Yes","2012","Schleswig-Holstein","general elemantary","","","",""
"Yes","2012","Schleswig-Holstein","middle vocational","","","",""
"Yes","2012","Schleswig-Holstein","vocational + Abi","","","",""
"Yes","2012","Schleswig-Holstein","higher vocational","","","",""
"Yes","2012","Schleswig-Holstein","higher education","","","",""
"Yes","2012","Hamburg","in school","","","",""
"Yes","2012","Hamburg","inadequately","","","",""
"Yes","2012","Hamburg","general elemantary","","","",""
"Yes","2012","Hamburg","middle vocational","","","",""
"Yes","2012","Hamburg","vocational + Abi","","","",""
"Yes","2012","Hamburg","higher vocational","","","",""
"Yes","2012","Hamburg","higher education","","","",""
"Yes","2012","Lower Saxony","in school","","","",""
"Yes","2012","Lower Saxony","inadequately","","","",""
"Yes","2012","Lower Saxony","general elemantary","","","",""
"Yes","2012","Lower Saxony","middle vocational","","","",""
"Yes","2012","Lower Saxony","vocational + Abi","","","",""
"Yes","2012","Lower Saxony","higher vocational","","","",""
"Yes","2012","Lower Saxony","higher education","","","",""
"Yes","2012","Bremen","in school","","","",""
"Yes","2012","Bremen","inadequately","","","",""
"Yes","2012","Bremen","general elemantary","","","",""
"Yes","2012","Bremen","middle vocational","","","",""
"Yes","2012","Bremen","vocational + Abi","","","",""
"Yes","2012","Bremen","higher vocational","","","",""
"Yes","2012","Bremen","higher education","","","",""
"Yes","2012","North Rhine-Westphalia","in school","","","",""
"Yes","2012","North Rhine-Westphalia","inadequately","","","",""
"Yes","2012","North Rhine-Westphalia","general elemantary","","","",""
"Yes","2012","North Rhine-Westphalia","middle vocational","","","",""
"Yes","2012","North Rhine-Westphalia","vocational + Abi","","","",""
"Yes","2012","North Rhine-Westphalia","higher vocational","","","",""
"Yes","2012","North Rhine-Westphalia","higher education","","","",""
"Yes","2012","Hesse","in school","","","",""
"Yes","2012","Hesse","inadequately","","","",""
"Yes","2012","Hesse","general elemantary","","","",""
"Yes","2012","Hesse","middle vocational","","","",""
"Yes","2012","Hesse","vocational + Abi","","","",""
"Yes","2012","Hesse","higher vocational","","","",""
"Yes","2012","Hesse","higher education","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","general elemantary","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","middle vocational","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","higher education","","","",""
"Yes","2012","Baden-Württemberg","in school","","","",""
"Yes","2012","Baden-Württemberg","inadequately","","","",""
"Yes","2012","Baden-Württemberg","general elemantary","","","",""
"Yes","2012","Baden-Württemberg","middle vocational","","","",""
"Yes","2012","Baden-Württemberg","vocational + Abi","","","",""
"Yes","2012","Baden-Württemberg","higher vocational","","","",""
"Yes","2012","Baden-Württemberg","higher education","","","",""
"Yes","2012","Bavaria","in school","","","",""
"Yes","2012","Bavaria","inadequately","","","",""
"Yes","2012","Bavaria","general elemantary","","","",""
"Yes","2012","Bavaria","middle vocational","","","",""
"Yes","2012","Bavaria","vocational + Abi","","","",""
"Yes","2012","Bavaria","higher vocational","","","",""
"Yes","2012","Bavaria","higher education","","","",""
"Yes","2012","Berlin","in school","","","",""
"Yes","2012","Berlin","inadequately","","","",""
"Yes","2012","Berlin","general elemantary","","","",""
"Yes","2012","Berlin","middle vocational","","","",""
"Yes","2012","Berlin","vocational + Abi","","","",""
"Yes","2012","Berlin","higher vocational","","","",""
"Yes","2012","Berlin","higher education","","","",""
"Yes","2012","Brandenburg","in school","","","",""
"Yes","2012","Brandenburg","inadequately","","","",""
"Yes","2012","Brandenburg","general elemantary","","","",""
"Yes","2012","Brandenburg","middle vocational","","","",""
"Yes","2012","Brandenburg","vocational + Abi","","","",""
"Yes","2012","Brandenburg","higher vocational","","","",""
"Yes","2012","Brandenburg","higher education","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","middle vocational","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","higher education","","","",""
"Yes","2012","Saxony","in school","","","",""
"Yes","2012","Saxony","inadequately","","","",""
"Yes","2012","Saxony","general elemantary","","","",""
"Yes","2012","Saxony","middle vocational","","","",""
"Yes","2012","Saxony","vocational + Abi","","","",""
"Yes","2012","Saxony","higher vocational","","","",""
"Yes","2012","Saxony","higher education","","","",""
"Yes","2012","Saxony-Anhalt","in school","","","",""
"Yes","2012","Saxony-Anhalt","inadequately","","","",""
"Yes","2012","Saxony-Anhalt","general elemantary","","","",""
"Yes","2012","Saxony-Anhalt","middle vocational","","","",""
"Yes","2012","Saxony-Anhalt","vocational + Abi","","","",""
"Yes","2012","Saxony-Anhalt","higher vocational","","","",""
"Yes","2012","Saxony-Anhalt","higher education","","","",""
"Yes","2012","Thuringia","in school","","","",""
"Yes","2012","Thuringia","inadequately","","","",""
"Yes","2012","Thuringia","general elemantary","","","",""
"Yes","2012","Thuringia","middle vocational","","","",""
"Yes","2012","Thuringia","vocational + Abi","","","",""
"Yes","2012","Thuringia","higher vocational","","","",""
"Yes","2012","Thuringia","higher education","","","",""
"No","2012","Schleswig-Holstein","in school","","","",""
"No","2012","Schleswig-Holstein","inadequately","","","",""
"No","2012","Schleswig-Holstein","general elemantary","","","",""
"No","2012","Schleswig-Holstein","middle vocational","","","",""
"No","2012","Schleswig-Holstein","vocational + Abi","","","",""
"No","2012","Schleswig-Holstein","higher vocational","","","",""
"No","2012","Schleswig-Holstein","higher education","","","",""
"No","2012","Hamburg","in school","","","",""
"No","2012","Hamburg","inadequately","","","",""
"No","2012","Hamburg","general elemantary","","","",""
"No","2012","Hamburg","middle vocational","","","",""
"No","2012","Hamburg","vocational + Abi","","","",""
"No","2012","Hamburg","higher vocational","","","",""
"No","2012","Hamburg","higher education","","","",""
"No","2012","Lower Saxony","in school","","","",""
"No","2012","Lower Saxony","inadequately","","","",""
"No","2012","Lower Saxony","general elemantary","","","",""
"No","2012","Lower Saxony","middle vocational","","","",""
"No","2012","Lower Saxony","vocational + Abi","","","",""
"No","2012","Lower Saxony","higher vocational","","","",""
"No","2012","Lower Saxony","higher education","","","",""
"No","2012","Bremen","in school","","","",""
"No","2012","Bremen","inadequately","","","",""
"No","2012","Bremen","general elemantary","","","",""
"No","2012","Bremen","middle vocational","","","",""
"No","2012","Bremen","vocational + Abi","","","",""
"No","2012","Bremen","higher vocational","","","",""
"No","2012","Bremen","higher education","","","",""
"No","2012","North Rhine-Westphalia","in school","","","",""
"No","2012","North Rhine-Westphalia","inadequately","","","",""
"No","2012","North Rhine-Westphalia","general elemantary","","","",""
"No","2012","North Rhine-Westphalia","middle vocational","","","",""
"No","2012","North Rhine-Westphalia","vocational + Abi","","","",""
"No","2012","North Rhine-Westphalia","higher vocational","","","",""
"No","2012","North Rhine-Westphalia","higher education","","","",""
"No","2012","Hesse","in school","","","",""
"No","2012","Hesse","inadequately","","","",""
"No","2012","Hesse","general elemantary","","","",""
"No","2012","Hesse","middle vocational","","","",""
"No","2012","Hesse","vocational + Abi","","","",""
"No","2012","Hesse","higher vocational","","","",""
"No","2012","Hesse","higher education","","","",""
"No","2012","Rhineland-Palatinate,Saarland","in school","","","",""
"No","2012","Rhineland-Palatinate,Saarland","inadequately","","","",""
"No","2012","Rhineland-Palatinate,Saarland","general elemantary","","","",""
"No","2012","Rhineland-Palatinate,Saarland","middle vocational","","","",""
"No","2012","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"No","2012","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"No","2012","Rhineland-Palatinate,Saarland","higher education","","","",""
"No","2012","Baden-Württemberg","in school","","","",""
"No","2012","Baden-Württemberg","inadequately","","","",""
"No","2012","Baden-Württemberg","general elemantary","","","",""
"No","2012","Baden-Württemberg","middle vocational","","","",""
"No","2012","Baden-Württemberg","vocational + Abi","","","",""
"No","2012","Baden-Württemberg","higher vocational","","","",""
"No","2012","Baden-Württemberg","higher education","","","",""
"No","2012","Bavaria","in school","","","",""
"No","2012","Bavaria","inadequately","","","",""
"No","2012","Bavaria","general elemantary","","","",""
"No","2012","Bavaria","middle vocational","","","",""
"No","2012","Bavaria","vocational + Abi","","","",""
"No","2012","Bavaria","higher vocational","","","",""
"No","2012","Bavaria","higher education","","","",""
"No","2012","Berlin","in school","","","",""
"No","2012","Berlin","inadequately","","","",""
"No","2012","Berlin","general elemantary","","","",""
"No","2012","Berlin","middle vocational","","","",""
"No","2012","Berlin","vocational + Abi","","","",""
"No","2012","Berlin","higher vocational","","","",""
"No","2012","Berlin","higher education","","","",""
"No","2012","Brandenburg","in school","","","",""
"No","2012","Brandenburg","inadequately","","","",""
"No","2012","Brandenburg","general elemantary","","","",""
"No","2012","Brandenburg","middle vocational","","","",""
"No","2012","Brandenburg","vocational + Abi","","","",""
"No","2012","Brandenburg","higher vocational","","","",""
"No","2012","Brandenburg","higher education","","","",""
"No","2012","Mecklenburg-Western Pomerania","in school","","","",""
"No","2012","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2012","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","2012","Mecklenburg-Western Pomerania","middle vocational","","","",""
"No","2012","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","2012","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","2012","Mecklenburg-Western Pomerania","higher education","","","",""
"No","2012","Saxony","in school","","","",""
"No","2012","Saxony","inadequately","","","",""
"No","2012","Saxony","general elemantary","","","",""
"No","2012","Saxony","middle vocational","","","",""
"No","2012","Saxony","vocational + Abi","","","",""
"No","2012","Saxony","higher vocational","","","",""
"No","2012","Saxony","higher education","","","",""
"No","2012","Saxony-Anhalt","in school","","","",""
"No","2012","Saxony-Anhalt","inadequately","","","",""
"No","2012","Saxony-Anhalt","general elemantary","","","",""
"No","2012","Saxony-Anhalt","middle vocational","","","",""
"No","2012","Saxony-Anhalt","vocational + Abi","","","",""
"No","2012","Saxony-Anhalt","higher vocational","","","",""
"No","2012","Saxony-Anhalt","higher education","","","",""
"No","2012","Thuringia","in school","","","",""
"No","2012","Thuringia","inadequately","","","",""
"No","2012","Thuringia","general elemantary","","","",""
"No","2012","Thuringia","middle vocational","","","",""
"No","2012","Thuringia","vocational + Abi","","","",""
"No","2012","Thuringia","higher vocational","","","",""
"No","2012","Thuringia","higher education","","","",""
"Yes","2013","Schleswig-Holstein","in school","","","",""
"Yes","2013","Schleswig-Holstein","inadequately","1","","",""
"Yes","2013","Schleswig-Holstein","general elemantary","14","","",""
"Yes","2013","Schleswig-Holstein","middle vocational","72","0.239162938346462","0.19341541076046","0.284910465932463"
"Yes","2013","Schleswig-Holstein","vocational + Abi","8","","",""
"Yes","2013","Schleswig-Holstein","higher vocational","2","","",""
"Yes","2013","Schleswig-Holstein","higher education","19","","",""
"Yes","2013","Hamburg","in school","1","","",""
"Yes","2013","Hamburg","inadequately","1","","",""
"Yes","2013","Hamburg","general elemantary","4","","",""
"Yes","2013","Hamburg","middle vocational","31","0.284007479679496","0.206787163619517","0.361227795739476"
"Yes","2013","Hamburg","vocational + Abi","3","","",""
"Yes","2013","Hamburg","higher vocational","5","","",""
"Yes","2013","Hamburg","higher education","11","","",""
"Yes","2013","Lower Saxony","in school","","","",""
"Yes","2013","Lower Saxony","inadequately","6","","",""
"Yes","2013","Lower Saxony","general elemantary","62","0.31758332289973","0.254468901083891","0.380697744715568"
"Yes","2013","Lower Saxony","middle vocational","195","0.214907129751333","0.188662575076895","0.241151684425771"
"Yes","2013","Lower Saxony","vocational + Abi","17","","",""
