"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","(1c) basic vocational qualification","West Germany","3.54","3","239","2","2","5","6","9","3.33","3.75","1","10","3","4"
"1992","(2a) intermediate vocational","East Germany","3.16","3","124","1","2","4","5","8","2.87","3.45","1","8","3","3"
"1992","(2a) intermediate vocational","West Germany","3.28","3","148","2","2","4","5","9","3.01","3.55","1","10","3","3"
"1992","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1992","(2b) intermediate general qualification","West Germany","2.97","3","36","1","2","4","5","7","2.51","3.43","1","7","2","3"
"1992","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1992","(2c_gen) general maturity certificate","West Germany","3.15","2","44","1","2","3","9","9","2.59","3.71","1","9","2","3"
"1992","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1992","(2c_voc) vocational maturity certificate","West Germany","3.18","3","55","2","2","4","5","8","2.76","3.6","1","8","2","4"
"1992","(3a) lower tertiary education","East Germany","3.04","3","45","2","2","4","4","8","2.58","3.5","1","8","3","4"
"1992","(3a) lower tertiary education","West Germany","3.66","3","33","1","2","5","7","8","3.05","4.27","1","8","3","4"
"1992","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1992","(3b) higher tertiary education","West Germany","3.9","4","54","2","2","6","6","8","3.42","4.38","0","8","3","4"
"1993","(0) in school","East Germany","","","","","","","","","","","","","",""
"1993","(0) in school","West Germany","","","","","","","","","","","","","",""
"1993","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1993","(1a) inadequately completed","West Germany","3.13","3","61","2","2","4","4","5","2.77","3.49","1","8","3","4"
"1993","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1993","(1b) general elementary school","West Germany","3.12","3","172","1","2","4","6","8","2.88","3.36","1","11","3","3"
"1993","(1c) basic vocational qualification","East Germany","2.88","3","47","1","2","4","5","7","2.47","3.29","1","7","2","3"
"1993","(1c) basic vocational qualification","West Germany","3.6","3","277","2","2","5","6","8","3.41","3.79","1","11","3","3"
"1993","(2a) intermediate vocational","East Germany","3.22","3","126","2","2","4","5","7","2.96","3.48","1","7","3","3"
"1993","(2a) intermediate vocational","West Germany","3.56","3","177","2","3","4","6","10","3.3","3.82","1","11","3","3"
"1993","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1993","(2b) intermediate general qualification","West Germany","3.06","3","47","1","2","4","6","8","2.52","3.6","1","8","3","3"
"1993","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1993","(2c_gen) general maturity certificate","West Germany","2.77","3","50","1","2","4","4","9","2.32","3.22","1","9","2","3"
"1993","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1993","(2c_voc) vocational maturity certificate","West Germany","3.2","3","61","2","2","4","5","6","2.88","3.52","1","6","3","3"
"1993","(3a) lower tertiary education","East Germany","3.91","3.22","37","2","3","5","6","8","3.4","4.42","1","8","3","5"
"1993","(3a) lower tertiary education","West Germany","3.68","3","38","2","3","5","6","7","3.17","4.19","1","7","3","4"
"1993","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1993","(3b) higher tertiary education","West Germany","3.86","4","60","1","2","5","7","9","3.39","4.33","1","9","3","5"
"1994","(0) in school","East Germany","","","","","","","","","","","","","",""
"1994","(0) in school","West Germany","","","","","","","","","","","","","",""
"1994","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1994","(1a) inadequately completed","West Germany","2.89","3","41","1","2","4","4","6","2.48","3.3","1","6","2","3"
"1994","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1994","(1b) general elementary school","West Germany","2.67","2","136","1","2","3","4","6","2.47","2.87","1","6","3","3"
"1994","(1c) basic vocational qualification","East Germany","2.77","3","74","2","2","3","4","6","2.5","3.04","1","6","2","3"
"1994","(1c) basic vocational qualification","West Germany","3.23","3","289","1","2","4","5","9","3.05","3.41","1","10","3","3"
"1994","(2a) intermediate vocational","East Germany","3.03","3","138","1","2","4","5","6","2.78","3.28","1","9","3","3"
"1994","(2a) intermediate vocational","West Germany","3.52","3","168","2","2","4","7","10","3.25","3.79","1","10","3","3"
"1994","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1994","(2b) intermediate general qualification","West Germany","3.17","3","38","1","2","4","6","9","2.62","3.72","1","9","2","4"
"1994","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1994","(2c_gen) general maturity certificate","West Germany","3.09","3","50","1","1","4","6","10","2.49","3.69","1","10","2","3"
"1994","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1994","(2c_voc) vocational maturity certificate","West Germany","3.19","3","76","1","2","4","5","7","2.85","3.53","1","8","3","4"
"1994","(3a) lower tertiary education","East Germany","3.83","3.66","48","2","3","5","5","10","3.31","4.35","2","10","3","5"
"1994","(3a) lower tertiary education","West Germany","3.9","3","47","2","3","5","6","10","3.29","4.51","1","10","3","4"
"1994","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1994","(3b) higher tertiary education","West Germany","4.03","4","84","2","2","5","7","8","3.61","4.45","1","9","4","4"
"1995","(0) in school","East Germany","","","","","","","","","","","","","",""
"1995","(0) in school","West Germany","","","","","","","","","","","","","",""
"1995","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1995","(1a) inadequately completed","West Germany","3.42","3","81","2","3","4","5","9","3.1","3.74","1","9","3","3"
"1995","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1995","(1b) general elementary school","West Germany","3.01","3","224","1","2","4","5","9","2.83","3.19","1","9","3","3"
"1995","(1c) basic vocational qualification","East Germany","2.87","3","66","1","2","3","5","7","2.54","3.2","1","7","3","3"
"1995","(1c) basic vocational qualification","West Germany","3.49","3","376","2","2","4","6","9","3.32","3.66","1","9","3","3"
"1995","(2a) intermediate vocational","East Germany","3.41","3","147","2","2","4","5","7","3.17","3.65","1","8","3","4"
"1995","(2a) intermediate vocational","West Germany","3.76","3","254","2","3","5","6","8","3.56","3.96","1","9","3","4"
"1995","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1995","(2b) intermediate general qualification","West Germany","3.39","3","47","2","2","4","6","8","2.84","3.94","1","9","3","4"
"1995","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1995","(2c_gen) general maturity certificate","West Germany","3.31","3","87","1","2","4","6","7","2.97","3.65","1","8","3","4"
"1995","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1995","(2c_voc) vocational maturity certificate","West Germany","3","3","129","1","2","4","5","8","2.74","3.26","1","8","3","3"
"1995","(3a) lower tertiary education","East Germany","3.91","4","36","2","3","5","6","8","3.37","4.45","2","8","3","4"
"1995","(3a) lower tertiary education","West Germany","3.72","3","50","2","2","5","6","9","3.21","4.23","2","9","3","5"
"1995","(3b) higher tertiary education","East Germany","3.58","3.4","40","2","2","4","6","8","3.03","4.13","2","8","3","4"
