"ple0008","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Good","1995","16-34 y.","2615","0.534044912951136","0.52014276343383","0.547947062468442"
"Good","1995","35-65 y.","2576","0.371479642337574","0.360025192152284","0.382934092522863"
"Good","1995","66 and older","292","0.177028443355039","0.158008164834034","0.196048721876045"
"Satisfactory","1995","16-34 y.","1070","0.222103714429453","0.21051968119805","0.233687747660857"
"Satisfactory","1995","35-65 y.","2543","0.381445071992328","0.369930383224095","0.392959760760562"
"Satisfactory","1995","66 and older","633","0.403256273248636","0.378811420169263","0.427701126328009"
"Less good","1995","16-34 y.","295","0.0617415120554985","0.0550338539747147","0.0684491701362823"
"Less good","1995","35-65 y.","1103","0.161717738309311","0.152989611816145","0.170445864802476"
"Less good","1995","66 and older","405","0.270648146786937","0.248508330726013","0.29278796284786"
"Poor","1995","16-34 y.","49","0.00918435126105129","0.00652582039951789","0.0118428821225847"
"Poor","1995","35-65 y.","255","0.0371138898126432","0.0326326027796596","0.0415951768456268"
"Poor","1995","66 and older","181","0.123122223265861","0.106748754693784","0.139495691837938"
"Very good","1996","16-34 y.","877","0.170313452720553","0.159649115373985","0.180977790067121"
"Very good","1996","35-65 y.","382","0.0574030689646614","0.0518543260473111","0.0629518118820116"
"Very good","1996","66 and older","33","0.0205901181696076","0.0135724086126839","0.0276078277265313"
"Good","1996","16-34 y.","2524","0.539109001425174","0.524967687004288","0.553250315846059"
"Good","1996","35-65 y.","2468","0.358454573817293","0.347015396112502","0.369893751522084"
"Good","1996","66 and older","268","0.162810687676061","0.144565975234285","0.181055400117837"
"Satisfactory","1996","16-34 y.","1051","0.222401302868625","0.210603563449726","0.234199042287524"
"Satisfactory","1996","35-65 y.","2618","0.390594832064419","0.378956778549031","0.402232885579806"
"Satisfactory","1996","66 and older","702","0.439878780973237","0.415349136777094","0.46440842516938"
"Less good","1996","16-34 y.","278","0.0607204761090665","0.0539453499686047","0.0674956022495283"
"Less good","1996","35-65 y.","1035","0.15448784811967","0.145866580514796","0.163109115724544"
"Less good","1996","66 and older","396","0.261004753633704","0.239301304358937","0.28270820290847"
"Poor","1996","16-34 y.","43","0.00745576687658203","0.00501529690031853","0.00989623685284552"
"Poor","1996","35-65 y.","248","0.039059677033957","0.0344382450057941","0.0436811090621198"
"Poor","1996","66 and older","174","0.115715659547391","0.0999077018748711","0.131523617219911"
"Very good","1997","16-34 y.","818","0.182839358050562","0.171705487698293","0.19397322840283"
"Very good","1997","35-65 y.","333","0.0523505425704695","0.047000859718348","0.0577002254225909"
"Very good","1997","66 and older","28","","",""
"Good","1997","16-34 y.","2606","0.550628675637978","0.536300539950183","0.564956811325773"
"Good","1997","35-65 y.","2588","0.371846202615253","0.360238179781491","0.383454225449016"
"Good","1997","66 and older","262","0.146887273250873","0.129579729127004","0.164194817374743"
"Satisfactory","1997","16-34 y.","945","0.213156757750284","0.20136030974001","0.224953205760559"
"Satisfactory","1997","35-65 y.","2490","0.381541552327143","0.369874268371536","0.39320883628275"
"Satisfactory","1997","66 and older","753","0.465179439938609","0.440792660207726","0.489566219669493"
"Less good","1997","16-34 y.","212","0.0445349864745091","0.0385932189957958","0.0504767539532223"
"Less good","1997","35-65 y.","1000","0.156511476006494","0.147784651023498","0.16523830098949"
"Less good","1997","66 and older","401","0.256007702908545","0.234669841569642","0.277345564247449"
"Poor","1997","16-34 y.","49","0.00884022208666667","0.00614396674711129","0.011536477426222"
"Poor","1997","35-65 y.","248","0.03775022648064","0.033172527056601","0.0423279259046789"
"Poor","1997","66 and older","163","0.110996017971942","0.0956376274945013","0.126354408449382"
"Very good","1998","16-34 y.","948","0.201754977407596","0.190492032708657","0.213017922106535"
"Very good","1998","35-65 y.","481","0.0695186771863017","0.0637749009134832","0.0752624534591202"
"Very good","1998","66 and older","51","0.0281513230663534","0.0206863890016527","0.0356162571310541"
"Good","1998","16-34 y.","2736","0.5449145049989","0.530938521018871","0.558890488978928"
"Good","1998","35-65 y.","3044","0.397032580742562","0.385982818542412","0.408082342942712"
"Good","1998","66 and older","338","0.173231146543943","0.15615136583643","0.190310927251457"
"Satisfactory","1998","16-34 y.","918","0.200254070330482","0.189022553595415","0.211485587065549"
"Satisfactory","1998","35-65 y.","2681","0.351002516356689","0.340223737624313","0.361781295089065"
"Satisfactory","1998","66 and older","822","0.427522831897609","0.405195543161422","0.449850120633797"
"Less good","1998","16-34 y.","236","0.045499919105151","0.0396511428163216","0.0513486953939803"
"Less good","1998","35-65 y.","1055","0.14542724828205","0.137465831696325","0.153388664867774"
"Less good","1998","66 and older","460","0.251348921526267","0.231771500210591","0.270926342841942"
"Poor","1998","16-34 y.","39","0.00757652815787132","0.00514289369040905","0.0100101626253336"
"Poor","1998","35-65 y.","271","0.0370189774323979","0.0327550087259188","0.041282946138877"
"Poor","1998","66 and older","215","0.119745776965827","0.105093287811905","0.134398266119749"
"Very good","1999","16-34 y.","847","0.194267153117558","0.182848926348267","0.205685379886848"
"Very good","1999","35-65 y.","423","0.0619077770519377","0.056379220174795","0.0674363339290803"
"Very good","1999","66 and older","37","0.0220206172368421","0.0152914950999421","0.0287497393737421"
"Good","1999","16-34 y.","2523","0.535535159172466","0.521141412393489","0.549928905951442"
"Good","1999","35-65 y.","2872","0.389936610215013","0.378747362286257","0.40112585814377"
"Good","1999","66 and older","321","0.17375745169369","0.156383271776047","0.191131631611333"
"Satisfactory","1999","16-34 y.","977","0.214102174971944","0.202263665534284","0.225940684409604"
"Satisfactory","1999","35-65 y.","2695","0.36294794158856","0.351916658246989","0.37397922493013"
"Satisfactory","1999","66 and older","806","0.420538824667196","0.397903119053753","0.443174530280638"
"Less good","1999","16-34 y.","228","0.0475463971466009","0.0414047598778516","0.0536880344153503"
"Less good","1999","35-65 y.","1057","0.15166974777297","0.143440723018456","0.159898772527483"
"Less good","1999","66 and older","448","0.257100249741593","0.237060367150563","0.277140132332622"
"Poor","1999","16-34 y.","37","0.00854911559143195","0.00589206613249319","0.0112061650503707"
"Poor","1999","35-65 y.","252","0.0335379233715197","0.0294076680267553","0.037668178716284"
"Poor","1999","66 and older","215","0.126582856660679","0.11133611226857","0.141829601052788"
"Very good","2000","16-34 y.","1577","0.238296543951613","0.228404011317655","0.248189076585572"
"Very good","2000","35-65 y.","1038","0.0787485315232584","0.0741986129290906","0.0832984501174263"
"Very good","2000","66 and older","79","0.0221238385619817","0.0173429532712444","0.0269047238527191"
"Good","2000","16-34 y.","3769","0.507793463110706","0.496185048846094","0.519401877375318"
"Good","2000","35-65 y.","5377","0.3935737019623","0.385321015473059","0.401826388451542"
"Good","2000","66 and older","655","0.17341872843408","0.161112444445211","0.185725012422949"
"Satisfactory","2000","16-34 y.","1360","0.19506094541094","0.185860214723903","0.204261676097978"
"Satisfactory","2000","35-65 y.","4827","0.361185140207987","0.353070939610061","0.369299340805912"
"Satisfactory","2000","66 and older","1662","0.457270481671686","0.441077961051659","0.473463002291714"
"Less good","2000","16-34 y.","367","0.0518329460824774","0.0466853906268994","0.0569805015380553"
"Less good","2000","35-65 y.","1776","0.131552035802891","0.125842326662991","0.137261744942791"
"Less good","2000","66 and older","875","0.243782077203641","0.229826091257021","0.25773806315026"
"Poor","2000","16-34 y.","52","0.00701610144426314","0.00507800810161501","0.00895419478691126"
"Poor","2000","35-65 y.","444","0.0349405905035637","0.0318386358632301","0.0380425451438973"
"Poor","2000","66 and older","365","0.103404874128611","0.0935078450632545","0.113301903193968"
"Very good","2001","16-34 y.","1458","0.243520073320182","0.232911477299034","0.254128669341331"
"Very good","2001","35-65 y.","898","0.0773751437120409","0.0726533300439991","0.0820969573800827"
"Very good","2001","66 and older","74","0.023420929658648","0.0183699887149351","0.0284718706023608"
"Good","2001","16-34 y.","3260","0.502873378338562","0.490515194330416","0.515231562346709"
"Good","2001","35-65 y.","4960","0.395512417469611","0.386871312341154","0.404153522598068"
"Good","2001","66 and older","620","0.170541551634313","0.157980414930057","0.183102688338569"
"Satisfactory","2001","16-34 y.","1207","0.195371613596918","0.1855717454795","0.205171481714337"
"Satisfactory","2001","35-65 y.","4384","0.352564850401514","0.344121531779724","0.361008169023305"
"Satisfactory","2001","66 and older","1589","0.460984225474477","0.444336293622418","0.477632157326536"
"Less good","2001","16-34 y.","317","0.0511404259251755","0.0456957132437774","0.0565851386065737"
"Less good","2001","35-65 y.","1639","0.137620907204165","0.131532736050241","0.143709078358088"
"Less good","2001","66 and older","830","0.246461007820516","0.232068267337892","0.260853748303141"
"Poor","2001","16-34 y.","46","0.00709450881916137","0.00502003982905208","0.00916897780927066"
"Poor","2001","35-65 y.","419","0.0369266812126691","0.0335939879041656","0.0402593745211726"
"Poor","2001","66 and older","331","0.0985922854120455","0.0886359705630972","0.108548600260994"
"Very good","2002","16-34 y.","1334","0.213758077835537","0.203529631195974","0.2239865244751"
"Very good","2002","35-65 y.","942","0.0648567729536753","0.0606732402254282","0.0690403056819224"
"Very good","2002","66 and older","77","0.0199186004351288","0.0153746283521926","0.024462572518065"
"Good","2002","16-34 y.","3277","0.515431310894754","0.502962260202987","0.527900361586522"
"Good","2002","35-65 y.","5557","0.396154877721008","0.387846394988409","0.404463360453608"
"Good","2002","66 and older","676","0.174487693580764","0.162144732826616","0.186830654334913"
"Satisfactory","2002","16-34 y.","1200","0.210018625632749","0.199855959696491","0.220181291569007"
"Satisfactory","2002","35-65 y.","4712","0.365997690460396","0.357814719142056","0.374180661778736"
"Satisfactory","2002","66 and older","1645","0.451519272685191","0.435334969587603","0.467703575782779"
"Less good","2002","16-34 y.","310","0.0524566599800516","0.0468941580214845","0.0580191619386186"
"Less good","2002","35-65 y.","1708","0.136932755977183","0.131092896080181","0.142772615874185"
"Less good","2002","66 and older","898","0.256638476910365","0.242433645140755","0.270843308679975"
"Poor","2002","16-34 y.","50","0.00833532565690828","0.00606695497608433","0.0106036963377322"
"Poor","2002","35-65 y.","393","0.0360579028877369","0.0328908731416023","0.0392249326338715"
"Poor","2002","66 and older","336","0.0974359563885509","0.0877915875463149","0.107080325230787"
"Very good","2003","16-34 y.","1232","0.202829653000284","0.192543965098013","0.213115340902555"
"Very good","2003","35-65 y.","942","0.0687999896051424","0.0643961352006495","0.0732038440096353"
"Very good","2003","66 and older","83","0.0222094424022308","0.0174592072100225","0.0269596775944391"
"Good","2003","16-34 y.","3167","0.530452456505435","0.517686449755761","0.543218463255109"
"Good","2003","35-65 y.","5372","0.404880773307317","0.396340282146233","0.413421264468401"
"Good","2003","66 and older","768","0.199134554146605","0.186261652332679","0.212007455960532"
"Satisfactory","2003","16-34 y.","1140","0.207302168568705","0.196932907510133","0.217671429627277"
"Satisfactory","2003","35-65 y.","4324","0.349248272077346","0.340953736429084","0.357542807725608"
"Satisfactory","2003","66 and older","1584","0.425625176881853","0.409687144014238","0.441563209749468"
"Less good","2003","16-34 y.","288","0.05084036674163","0.0452212763541461","0.0564594571291139"
"Less good","2003","35-65 y.","1664","0.140057343488435","0.134019178600349","0.146095508376521"
"Less good","2003","66 and older","905","0.249905940744429","0.23594966573075","0.263862215758108"
"Poor","2003","16-34 y.","44","0.00857535518394543","0.00621678955886747","0.0109339208090234"
"Poor","2003","35-65 y.","388","0.0370136215217594","0.0337288274978716","0.0402984155456473"
"Poor","2003","66 and older","357","0.103124885824882","0.0933216129156854","0.112928158734078"
"Very good","2004","16-34 y.","1237","0.227049529942557","0.216113486922492","0.237985572962622"
"Very good","2004","35-65 y.","890","0.070976291175063","0.0664299556626354","0.0755226266874906"
"Very good","2004","66 and older","81","0.020967830709764","0.0164123781887765","0.0255232832307514"
"Good","2004","16-34 y.","3060","0.514893198946787","0.501846479215823","0.52793991867775"
"Good","2004","35-65 y.","5178","0.394304538618568","0.385652180609989","0.402956896627147"
"Good","2004","66 and older","748","0.183754561159804","0.171440941348445","0.196068180971164"
"Satisfactory","2004","16-34 y.","1017","0.190704174149345","0.180448650904157","0.200959697394532"
"Satisfactory","2004","35-65 y.","4188","0.346576354045236","0.338150996871603","0.355001711218869"
"Satisfactory","2004","66 and older","1609","0.412978123165889","0.397323343512859","0.428632902818918"
"Less good","2004","16-34 y.","280","0.0556944989731842","0.0497078129177748","0.0616811850285936"
"Less good","2004","35-65 y.","1621","0.151215043229991","0.144872144623067","0.157557941836915"
"Less good","2004","66 and older","957","0.266858214017738","0.252794806328807","0.280921621706669"
"Poor","2004","16-34 y.","43","0.0116585979881276","0.00885638764675979","0.0144608083294953"
"Poor","2004","35-65 y.","378","0.0369277729311422","0.0335889189911142","0.0402666268711703"
"Poor","2004","66 and older","405","0.115441270946805","0.105281119566371","0.125601422327239"
"Very good","2005","16-34 y.","1123","0.204688462224862","0.193853633119328","0.215523291330395"
"Very good","2005","35-65 y.","763","0.0623692017680787","0.0579698455975823","0.066768557938575"
"Very good","2005","66 and older","66","0.0182233268690444","0.0139749815702356","0.0224716721678532"
"Good","2005","16-34 y.","2805","0.51379455227173","0.500372732570827","0.527216371972633"
"Good","2005","35-65 y.","4792","0.38821171814611","0.379345814723955","0.397077621568266"
"Good","2005","66 and older","738","0.180278186098269","0.168068501166704","0.192487871029835"
"Satisfactory","2005","16-34 y.","1091","0.217721054221126","0.206638553255651","0.228803555186601"
"Satisfactory","2005","35-65 y.","4076","0.356266462253223","0.347554246190263","0.364978678316184"
"Satisfactory","2005","66 and older","1626","0.418338795908194","0.402671330619723","0.434006261196665"
"Less good","2005","16-34 y.","271","0.0552123855474758","0.0490791153979905","0.0613456556969611"
"Less good","2005","35-65 y.","1599","0.155709717158005","0.149113546973141","0.162305887342869"
"Less good","2005","66 and older","1001","0.274329296488393","0.260158132908973","0.288500460067814"
"Poor","2005","16-34 y.","37","0.00858354573480651","0.00610630526324119","0.0110607862063718"
"Poor","2005","35-65 y.","377","0.0374429006745827","0.0339891888900009","0.0408966124591644"
"Poor","2005","66 and older","377","0.108830394636099","0.0989390597438089","0.11872172952839"
"Very good","2006","16-34 y.","1023","0.199343963425129","0.188422242701566","0.210265684148691"
"Very good","2006","35-65 y.","869","0.0722687652061854","0.0677153344667303","0.0768221959456405"
"Very good","2006","66 and older","105","0.0219969836604292","0.0177034449305279","0.0262905223903304"
"Good","2006","16-34 y.","2764","0.515164331416159","0.501501625958094","0.528827036874224"
"Good","2006","35-65 y.","5168","0.387768835088212","0.379200498941315","0.396337171235108"
"Good","2006","66 and older","932","0.197562841505132","0.18590758410231","0.209218098907954"
"Satisfactory","2006","16-34 y.","1053","0.218733450156142","0.207432271299193","0.230034629013092"
"Satisfactory","2006","35-65 y.","4386","0.362394479530554","0.353941318358732","0.370847640702376"
"Satisfactory","2006","66 and older","1861","0.408981467173076","0.394589635011296","0.423373299334856"
"Less good","2006","16-34 y.","269","0.0590788888407502","0.0526333490004569","0.0655244286810435"
"Less good","2006","35-65 y.","1587","0.137177546086738","0.131127557397933","0.143227534775543"
"Less good","2006","66 and older","1117","0.257323279263398","0.244526426715542","0.270120131811253"
"Poor","2006","16-34 y.","31","0.00767936616181988","0.00529290027695472","0.010065832046685"
"Poor","2006","35-65 y.","412","0.0403903740883104","0.0369282824088819","0.0438524657677389"
"Poor","2006","66 and older","468","0.114135428397965","0.104827401602227","0.123443455193704"
"Very good","2007","16-34 y.","929","0.199153901486562","0.187755862600826","0.210551940372298"
"Very good","2007","35-65 y.","712","0.0578188205973529","0.0535463229822457","0.0620913182124602"
"Very good","2007","66 and older","87","0.0201503432908341","0.0159947037263248","0.0243059828553434"
"Good","2007","16-34 y.","2517","0.52723916665163","0.512990121257645","0.541488212045616"
"Good","2007","35-65 y.","4873","0.39517008658212","0.386220794873126","0.404119378291114"
"Good","2007","66 and older","929","0.192693007039139","0.181028422915456","0.204357591162821"
"Satisfactory","2007","16-34 y.","1002","0.217763695645171","0.20598430252396","0.229543088766381"
"Satisfactory","2007","35-65 y.","4009","0.361155964974404","0.352363213046529","0.369948716902279"
"Satisfactory","2007","66 and older","1856","0.424408388572105","0.409791123152506","0.439025653991705"
"Less good","2007","16-34 y.","239","0.0490099359410999","0.0428483678817359","0.0551715040004639"
"Less good","2007","35-65 y.","1494","0.148465412462863","0.141956719373814","0.154974105551912"
"Less good","2007","66 and older","1137","0.270097459723108","0.256966102599046","0.28322881684717"
"Poor","2007","16-34 y.","29","","",""
"Poor","2007","35-65 y.","376","0.0373897153832602","0.0339169029262473","0.0408625278402732"
"Poor","2007","66 and older","383","0.0926508013748139","0.084075907667365","0.101225695082263"
"Very good","2008","16-34 y.","897","0.205569611368545","0.193586641967586","0.217552580769505"
"Very good","2008","35-65 y.","724","0.067299570386711","0.0625484171412369","0.0720507236321852"
"Very good","2008","66 and older","78","0.0192313460778819","0.0151505801959375","0.0233121119598264"
"Good","2008","16-34 y.","2312","0.520452775293319","0.505639079430136","0.535266471156503"
"Good","2008","35-65 y.","4471","0.394894725997922","0.385624764291984","0.40416468770386"
"Good","2008","66 and older","953","0.196326303505569","0.184523568093407","0.208129038917731"
"Satisfactory","2008","16-34 y.","853","0.204811093307496","0.192844543218201","0.216777643396791"
"Satisfactory","2008","35-65 y.","3678","0.352147926329753","0.343090135268211","0.361205717391294"
"Satisfactory","2008","66 and older","1895","0.448513400744631","0.433735636185975","0.463291165303288"
"Less good","2008","16-34 y.","283","0.065582646183261","0.0582422080214029","0.0729230843451192"
"Less good","2008","35-65 y.","1459","0.146936975647673","0.140223028601779","0.153650922693568"
"Less good","2008","66 and older","1057","0.245690905404503","0.232899367510465","0.258482443298541"
"Poor","2008","16-34 y.","24","","",""
"Poor","2008","35-65 y.","350","0.0387208016379408","0.0350621694877624","0.0423794337881192"
"Poor","2008","66 and older","368","0.0902380442674146","0.0817244632681839","0.0987516252666453"
"Very good","2009","16-34 y.","763","0.182318597487004","0.170353241029825","0.194283953944183"
"Very good","2009","35-65 y.","609","0.0648823814712509","0.0600251577298048","0.069739605212697"
"Very good","2009","66 and older","89","0.0185710870223335","0.0144901036623058","0.0226520703823611"
"Good","2009","16-34 y.","2178","0.532259023400639","0.516796430540521","0.547721616260758"
"Good","2009","35-65 y.","4021","0.377061820671946","0.36750484780479","0.386618793539101"
"Good","2009","66 and older","873","0.195673573921715","0.183681370277133","0.207665777566298"
"Satisfactory","2009","16-34 y.","809","0.215908424585857","0.203157658359182","0.228659190812533"
"Satisfactory","2009","35-65 y.","3597","0.378084863479328","0.368522795932283","0.387646931026373"
"Satisfactory","2009","66 and older","1869","0.450770650569985","0.435729833768509","0.46581146737146"
"Less good","2009","16-34 y.","222","0.0610922021358513","0.0536701763582238","0.0685142279134789"
"Less good","2009","35-65 y.","1347","0.145103518957746","0.13815827771701","0.152048760198482"
"Less good","2009","66 and older","1006","0.244526594468578","0.231534194629609","0.257518994307548"
"Poor","2009","16-34 y.","28","","",""
"Poor","2009","35-65 y.","305","0.0348674154197297","0.0312500284859629","0.0384848023534966"
"Poor","2009","66 and older","367","0.0904580940173881","0.0817874409303595","0.0991287471044168"
"Very good","2010","16-34 y.","1406","0.214006427701165","0.204099794438857","0.223913060963472"
"Very good","2010","35-65 y.","1307","0.0724953566548671","0.0681039254320282","0.076886787877706"
"Very good","2010","66 and older","96","0.0247327231624908","0.0199618778624045","0.0295035684625771"
"Good","2010","16-34 y.","3265","0.496816010162546","0.484738862438245","0.508893157886846"
"Good","2010","35-65 y.","5691","0.391779150747448","0.3835122208362","0.400046080658695"
"Good","2010","66 and older","882","0.198963966336463","0.1867005695229","0.211227363150026"
"Satisfactory","2010","16-34 y.","1399","0.219440294677664","0.20944341574","0.229437173615328"
"Satisfactory","2010","35-65 y.","4250","0.344653808538206","0.336605217242773","0.35270239983364"
"Satisfactory","2010","66 and older","1780","0.434317633316446","0.419091571400618","0.449543695232274"
"Less good","2010","16-34 y.","439","0.0593484279904748","0.053641239939829","0.0650556160411206"
"Less good","2010","35-65 y.","1724","0.150246258054165","0.144195060678261","0.15629745543007"
"Less good","2010","66 and older","970","0.252980033585751","0.239626175158367","0.266333892013135"
"Poor","2010","16-34 y.","75","0.0103888394681514","0.00793966913662008","0.0128380097996827"
"Poor","2010","35-65 y.","422","0.0408254260053135","0.0374741736265337","0.0441766783840933"
"Poor","2010","66 and older","343","0.0890056435988491","0.0802585423100336","0.0977527448876647"
"Very good","2011","16-34 y.","1441","0.230436917508904","0.220441846424477","0.24043198859333"
"Very good","2011","35-65 y.","1504","0.0770453920850606","0.0729692671921778","0.0811215169779435"
"Very good","2011","66 and older","150","0.0245356657043737","0.0203316189480788","0.0287397124606686"
"Good","2011","16-34 y.","3398","0.490346955690617","0.478481708269036","0.502212203112197"
"Good","2011","35-65 y.","6906","0.393587422393687","0.386119691105329","0.401055153682045"
"Good","2011","66 and older","1288","0.23082196299996","0.219371714301245","0.242272211698676"
"Satisfactory","2011","16-34 y.","1443","0.21224009355837","0.202535029715113","0.221945157401628"
"Satisfactory","2011","35-65 y.","5261","0.340474719904909","0.333231325463305","0.347718114346512"
"Satisfactory","2011","66 and older","2145","0.406503390219018","0.393155761297256","0.419851019140779"
"Less good","2011","16-34 y.","465","0.0590395791001803","0.0534452881407779","0.0646338700595827"
"Less good","2011","35-65 y.","2203","0.150694418769704","0.14522596494556","0.156162872593849"
"Less good","2011","66 and older","1206","0.250439541476524","0.238665713093734","0.262213369859313"
"Poor","2011","16-34 y.","72","0.00793645414192879","0.00583039410619217","0.0100425141776654"
"Poor","2011","35-65 y.","567","0.0381980468466392","0.0352681833817305","0.0411279103115479"
"Poor","2011","66 and older","413","0.0876994396001243","0.0800129101225544","0.0953859690776943"
"Very good","2012","16-34 y.","1340","0.228495293731569","0.218171664341881","0.238818923121256"
"Very good","2012","35-65 y.","1338","0.0733969747282679","0.0693698068242981","0.0774241426322376"
"Very good","2012","66 and older","162","0.0318054148178796","0.0270608805508152","0.0365499490849439"
"Good","2012","16-34 y.","3136","0.486810930158771","0.474521171764902","0.49910068855264"
"Good","2012","35-65 y.","6974","0.403552523126661","0.395976349193078","0.411128697060244"
"Good","2012","66 and older","1344","0.234188889089737","0.222738883317438","0.245638894862037"
"Satisfactory","2012","16-34 y.","1368","0.210972491211743","0.200940584758391","0.221004397665095"
"Satisfactory","2012","35-65 y.","5229","0.349365380729608","0.342002931415162","0.356727830044053"
"Satisfactory","2012","66 and older","2224","0.421135725686801","0.407786344115684","0.434485107257918"
"Less good","2012","16-34 y.","433","0.0645163533362619","0.0584757893145762","0.0705569173579476"
"Less good","2012","35-65 y.","2034","0.136900848602299","0.131592649366125","0.142209047838473"
"Less good","2012","66 and older","1174","0.240037786273537","0.228490031921226","0.251585540625849"
"Poor","2012","16-34 y.","77","0.00920493156165548","0.00685677696786959","0.0115530861554414"
"Poor","2012","35-65 y.","534","0.0367842728131641","0.0338775295791305","0.0396910160471977"
"Poor","2012","66 and older","351","0.0728321841320449","0.0658062743023136","0.0798580939617762"
"Very good","2013","16-34 y.","1944","0.244589025281465","0.23509839379428","0.25407965676865"
"Very good","2013","35-65 y.","1649","0.0768483451125647","0.0729303309584152","0.0807663592667142"
"Very good","2013","66 and older","150","0.0286811641562703","0.0241030461944039","0.0332592821181367"
"Good","2013","16-34 y.","3753","0.477863775269064","0.466834957787414","0.488892592750714"
"Good","2013","35-65 y.","7264","0.383070166374931","0.375919125410802","0.390221207339059"
"Good","2013","66 and older","1300","0.241501140085076","0.229761771335441","0.253240508834711"
"Satisfactory","2013","16-34 y.","1560","0.20334498051387","0.194458355414515","0.212231605613225"
"Satisfactory","2013","35-65 y.","5709","0.348162152208615","0.341154496114742","0.355169808302488"
"Satisfactory","2013","66 and older","2155","0.417855537636801","0.404327457971637","0.431383617301965"
"Less good","2013","16-34 y.","531","0.0633641404269696","0.0579852568212298","0.0687430240327094"
"Less good","2013","35-65 y.","2485","0.150311550117842","0.145054546829746","0.155568553405939"
"Less good","2013","66 and older","1138","0.231894697574735","0.220318565408689","0.243470829740781"
"Poor","2013","16-34 y.","92","0.0108380785086317","0.00855198061579988","0.0131241764014636"
"Poor","2013","35-65 y.","646","0.0416077861860475","0.0386703316245686","0.0445452407475264"
"Poor","2013","66 and older","363","0.0800674605471177","0.072623334753022","0.0875115863412133"
"Very good","2014","16-34 y.","1387","0.229852059308641","0.219684600181592","0.240019518435691"
"Very good","2014","35-65 y.","1244","0.0737629103538458","0.0696617171799226","0.0778641035277691"
"Very good","2014","66 and older","147","0.0299199395157832","0.0252000678013278","0.0346398112302387"
