"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","(2c_voc) vocational maturity certificate","East Germany","4.06","5","214","2","3","5","5","5","3.87","4.25","1","5","5","5"
"2008","(2c_voc) vocational maturity certificate","West Germany","4.05","5","1228","2","3","5","5","5","3.98","4.12","1","5","5","5"
"2008","(3a) lower tertiary education","East Germany","4.18","5","627","2","4","5","5","5","4.08","4.28","1","5","4","5"
"2008","(3a) lower tertiary education","West Germany","3.98","5","1015","2","3","5","5","5","3.9","4.06","1","5","4","5"
"2008","(3b) higher tertiary education","East Germany","4.18","5","617","2","4","5","5","5","4.09","4.27","1","5","4","5"
"2008","(3b) higher tertiary education","West Germany","4.02","5","1930","2","3","5","5","5","3.96","4.08","1","5","5","5"
"2009","(0) in school","East Germany","","","","","","","","","","","","","",""
"2009","(0) in school","West Germany","","","","","","","","","","","","","",""
"2009","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2009","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2009","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2009","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2009","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2009","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2009","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2009","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2009","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2009","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2009","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2009","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2009","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2009","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2009","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
