"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","college entrance qualification","Single parent","172.28","172","229","160","167","178","185","195","171.13","173.43","152","196","170","172"
"2008","lower secondary degree","(Married) couple without C.","169.59","169","2862","158","164","176","180","190","169.28","169.9","143","198","168","170"
"2008","lower secondary degree","1-pers.-HH","167.87","167","1240","156","160","174","181","192","167.34","168.4","95","196","165","168"
"2008","lower secondary degree","Couple + C. GT 16 ","171.74","172","920","160","165","178","184","192","171.15","172.33","147","204","170","172"
"2008","lower secondary degree","Couple + C. LE 16","173.81","175","720","161","167","180","185","196","173.13","174.49","150","198","172","175"
"2008","lower secondary degree","Couple + C. LE and GT 16","172.86","174","267","159","167","179","186","195","171.73","173.99","150","200","171","175"
"2008","lower secondary degree","Single parent","168.19","168","315","158","162","174","180","185","167.27","169.11","142","196","167","170"
"2008","no degree/no degree yet","(Married) couple without C.","165.23","165","80","153","160","170","178","188","163.14","167.32","138","191","163","168"
"2008","no degree/no degree yet","1-pers.-HH","166.22","166.02","33","153","160","172","178","187","162.83","169.61","150","187","160","171"
"2008","no degree/no degree yet","Couple + C. GT 16 ","173.53","175","186","160","165","181","186","192","172.08","174.98","120","194","171","176"
"2008","no degree/no degree yet","Couple + C. LE 16","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","Couple + C. LE and GT 16","173.68","175","144","163","168","180","186","197","172.15","175.21","150","200","170","175"
"2008","no degree/no degree yet","Single parent","173.33","173.36","69","161","165","182","185","190","171.06","175.6","155","200","170","175"
"2008","Other degree","(Married) couple without C.","167.16","167.22","343","155","160","173","180","188","166.17","168.15","127","196","165","169"
"2008","Other degree","1-pers.-HH","166","165","90","156","158","172","178","183","164.2","167.8","150","183","162","168"
"2008","Other degree","Couple + C. GT 16 ","169.42","167","174","160","164","175","183","192","168.15","170.69","150","192","165","170"
"2008","Other degree","Couple + C. LE 16","170.31","170","189","160","165","175","185","192","169.06","171.56","146","194","170","172"
"2008","Other degree","Couple + C. LE and GT 16","172.02","174","63","159","166","178","180","188","169.77","174.27","153","189","167","174"
"2008","Other degree","Single parent","166.86","165.64","54","155","161","170","187","195","164.35","169.37","147","195","163","167"
"2008","secondary school degree","(Married) couple without C.","171.68","170","1929","160","165","179","185","193","171.26","172.1","131","205","170","170"
"2008","secondary school degree","1-pers.-HH","171.28","170","790","159","164","178","185","193","170.59","171.97","120","208","170","171"
"2008","secondary school degree","Couple + C. GT 16 ","172.47","172","1040","160","167","178","185","193","171.88","173.06","84","202","170","172"
"2008","secondary school degree","Couple + C. LE 16","173.1","172","1144","161","167","180","185","195","172.57","173.63","149","208","171","173"
"2008","secondary school degree","Couple + C. LE and GT 16","172.26","172","393","162","165","179","185","190","171.39","173.13","150","192","170","172"
"2008","secondary school degree","Single parent","168.96","168","354","160","164","175","181","190","168.07","169.85","140","200","168","170"
"2009","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"2009","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"2009","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
