"pli0083","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1995","Employed","East Germany","2030","0.847184233171084","0.832743909953433","0.861624556388734","1"
"Daily","1995","Not Employed","East Germany","1202","0.938026565267394","0.924945196538471","0.951107933996317","1"
"Daily","1995","Employed","West Germany","4925","0.788710662586867","0.778472270016555","0.798949055157179","1"
"Min 1x per month","1995","Employed","East Germany","18","","","","3"
"Min 1x per month","1995","Not Employed","West Germany","38","0.0126239534268668","0.00892363362094271","0.0163242732327909","3"
"Min 1x per month","1995","Employed","West Germany","89","0.0159164313849465","0.0127775639677192","0.0190552988021738","3"
"Min 1x per month","1995","Not Employed","East Germany","4","","","","3"
"Min 1x per week","1995","Employed","East Germany","250","0.108386571170249","0.0959104398166359","0.120862702523863","2"
"Min 1x per week","1995","Not Employed","East Germany","69","0.0369308875515398","0.0266987484651061","0.0471630266379734","2"
"Min 1x per week","1995","Employed","West Germany","863","0.149374600472328","0.140434514758788","0.158314686185868","2"
"Min 1x per week","1995","Not Employed","West Germany","292","0.0793376775658119","0.0703801077522403","0.0882952473793834","2"
"Never","1995","Not Employed","East Germany","7","","","","5"
"Never","1995","Not Employed","West Germany","49","0.0158280407130851","0.011691385276597","0.0199646961495731","5"
"Never","1995","Employed","West Germany","46","0.00895683829317135","0.00659387060843455","0.0113198059779081","5"
"Never","1995","Employed","East Germany","19","","","","5"
"Rarely","1995","Not Employed","East Germany","23","","","","4"
"Rarely","1995","Employed","East Germany","68","0.0244937810133972","0.0182901374661083","0.0306974245606861","4"
"Rarely","1995","Not Employed","West Germany","55","0.0158300572275666","0.0116931425297948","0.0199669719253385","4"
"Rarely","1995","Employed","West Germany","184","0.0370414672626868","0.0323047003484785","0.0417782341768951","4"
"Daily","1996","Employed","East Germany","","","","","1"
"Daily","1996","Not Employed","West Germany","","","","","1"
"Daily","1996","Not Employed","East Germany","","","","","1"
"Daily","1996","Employed","West Germany","","","","","1"
"Min 1x per month","1996","Employed","East Germany","","","","","3"
"Min 1x per month","1996","Not Employed","East Germany","","","","","3"
"Min 1x per month","1996","Employed","West Germany","","","","","3"
"Min 1x per month","1996","Not Employed","West Germany","","","","","3"
"Min 1x per week","1996","Employed","West Germany","","","","","2"
"Min 1x per week","1996","Employed","East Germany","","","","","2"
"Min 1x per week","1996","Not Employed","East Germany","","","","","2"
"Min 1x per week","1996","Not Employed","West Germany","","","","","2"
"Never","1996","Not Employed","East Germany","","","","","5"
"Never","1996","Not Employed","West Germany","","","","","5"
"Never","1996","Employed","West Germany","","","","","5"
"Never","1996","Employed","East Germany","","","","","5"
"Rarely","1996","Employed","West Germany","","","","","4"
"Rarely","1996","Not Employed","East Germany","","","","","4"
"Rarely","1996","Employed","East Germany","","","","","4"
"Rarely","1996","Not Employed","West Germany","","","","","4"
"Daily","1997","Not Employed","West Germany","","","","","1"
"Daily","1997","Employed","West Germany","","","","","1"
"Daily","1997","Employed","East Germany","","","","","1"
"Daily","1997","Not Employed","East Germany","","","","","1"
"Min 1x per month","1997","Employed","East Germany","","","","","3"
"Min 1x per month","1997","Employed","West Germany","","","","","3"
"Min 1x per month","1997","Not Employed","East Germany","","","","","3"
"Min 1x per month","1997","Not Employed","West Germany","","","","","3"
"Min 1x per week","1997","Employed","East Germany","","","","","2"
"Min 1x per week","1997","Employed","West Germany","","","","","2"
"Min 1x per week","1997","Not Employed","West Germany","","","","","2"
"Min 1x per week","1997","Not Employed","East Germany","","","","","2"
"Never","1997","Not Employed","West Germany","","","","","5"
"Never","1997","Not Employed","East Germany","","","","","5"
"Never","1997","Employed","West Germany","","","","","5"
"Never","1997","Employed","East Germany","","","","","5"
"Rarely","1997","Employed","East Germany","","","","","4"
"Rarely","1997","Not Employed","West Germany","","","","","4"
"Rarely","1997","Employed","West Germany","","","","","4"
"Rarely","1997","Not Employed","East Germany","","","","","4"
"Daily","1998","Not Employed","West Germany","3556","0.895314381532778","0.885803126062532","0.904825637003023","1"
"Daily","1998","Employed","East Germany","2072","0.84995631968815","0.835792433808073","0.864120205568226","1"
"Daily","1998","Employed","West Germany","5200","0.789285078494818","0.779293762476196","0.79927639451344","1"
"Daily","1998","Not Employed","East Germany","1342","0.944873101428408","0.933010858449826","0.956735344406989","1"
"Min 1x per month","1998","Employed","West Germany","86","0.018140726941109","0.0148710106569644","0.0214104432252535","3"
"Min 1x per month","1998","Employed","East Germany","18","","","","3"
"Min 1x per month","1998","Not Employed","West Germany","25","","","","3"
"Min 1x per month","1998","Not Employed","East Germany","9","","","","3"
"Min 1x per week","1998","Not Employed","East Germany","46","0.0298604598285674","0.0210141195389771","0.0387068001181576","2"
"Min 1x per week","1998","Employed","East Germany","267","0.106374310168696","0.0941458587579001","0.118602761579492","2"
"Min 1x per week","1998","Employed","West Germany","861","0.146992211432654","0.138316966122602","0.155667456742707","2"
"Min 1x per week","1998","Not Employed","West Germany","284","0.0704043112091272","0.0624563958689495","0.0783522265493048","2"
"Never","1998","Not Employed","West Germany","47","0.0132402035995425","0.00968913051935883","0.0167912766797262","5"
"Never","1998","Not Employed","East Germany","8","","","","5"
"Never","1998","Employed","West Germany","67","0.0113156792885107","0.00872432232118509","0.0139070362558364","5"
"Never","1998","Employed","East Germany","13","","","","5"
"Rarely","1998","Employed","East Germany","72","0.0282422306928016","0.0216716497446661","0.0348128116409371","4"
"Rarely","1998","Not Employed","East Germany","17","","","","4"
"Rarely","1998","Not Employed","West Germany","68","0.0165751618611406","0.0126086749042552","0.020541648818026","4"
"Rarely","1998","Employed","West Germany","186","0.0342663038429076","0.0298095317372926","0.0387230759485227","4"
"Daily","1999","Not Employed","West Germany","","","","","1"
"Daily","1999","Employed","East Germany","","","","","1"
"Daily","1999","Not Employed","East Germany","","","","","1"
"Daily","1999","Employed","West Germany","","","","","1"
"Min 1x per month","1999","Employed","East Germany","","","","","3"
"Min 1x per month","1999","Employed","West Germany","","","","","3"
"Min 1x per month","1999","Not Employed","East Germany","","","","","3"
"Min 1x per month","1999","Not Employed","West Germany","","","","","3"
"Min 1x per week","1999","Employed","West Germany","","","","","2"
"Min 1x per week","1999","Not Employed","East Germany","","","","","2"
"Min 1x per week","1999","Employed","East Germany","","","","","2"
"Min 1x per week","1999","Not Employed","West Germany","","","","","2"
"Never","1999","Not Employed","West Germany","","","","","5"
"Never","1999","Not Employed","East Germany","","","","","5"
"Never","1999","Employed","West Germany","","","","","5"
"Never","1999","Employed","East Germany","","","","","5"
"Rarely","1999","Employed","West Germany","","","","","4"
"Rarely","1999","Employed","East Germany","","","","","4"
"Rarely","1999","Not Employed","East Germany","","","","","4"
"Rarely","1999","Not Employed","West Germany","","","","","4"
"Daily","2000","Not Employed","West Germany","","","","","1"
"Daily","2000","Employed","West Germany","","","","","1"
"Daily","2000","Employed","East Germany","","","","","1"
"Daily","2000","Not Employed","East Germany","","","","","1"
"Min 1x per month","2000","Employed","East Germany","","","","","3"
"Min 1x per month","2000","Not Employed","East Germany","","","","","3"
"Min 1x per month","2000","Employed","West Germany","","","","","3"
"Min 1x per month","2000","Not Employed","West Germany","","","","","3"
"Min 1x per week","2000","Employed","East Germany","","","","","2"
"Min 1x per week","2000","Not Employed","West Germany","","","","","2"
"Min 1x per week","2000","Employed","West Germany","","","","","2"
"Min 1x per week","2000","Not Employed","East Germany","","","","","2"
"Never","2000","Not Employed","West Germany","","","","","5"
"Never","2000","Not Employed","East Germany","","","","","5"
"Never","2000","Employed","West Germany","","","","","5"
"Never","2000","Employed","East Germany","","","","","5"
"Rarely","2000","Employed","East Germany","","","","","4"
"Rarely","2000","Employed","West Germany","","","","","4"
"Rarely","2000","Not Employed","West Germany","","","","","4"
"Rarely","2000","Not Employed","East Germany","","","","","4"
"Daily","2001","Not Employed","West Germany","","","","","1"
"Daily","2001","Employed","West Germany","","","","","1"
"Daily","2001","Employed","East Germany","","","","","1"
"Daily","2001","Not Employed","East Germany","","","","","1"
"Min 1x per month","2001","Employed","West Germany","","","","","3"
"Min 1x per month","2001","Not Employed","East Germany","","","","","3"
"Min 1x per month","2001","Employed","East Germany","","","","","3"
"Min 1x per month","2001","Not Employed","West Germany","","","","","3"
"Min 1x per week","2001","Not Employed","East Germany","","","","","2"
"Min 1x per week","2001","Employed","East Germany","","","","","2"
"Min 1x per week","2001","Not Employed","West Germany","","","","","2"
"Min 1x per week","2001","Employed","West Germany","","","","","2"
"Never","2001","Not Employed","East Germany","","","","","5"
"Never","2001","Not Employed","West Germany","","","","","5"
"Never","2001","Employed","West Germany","","","","","5"
"Never","2001","Employed","East Germany","","","","","5"
"Rarely","2001","Employed","East Germany","","","","","4"
"Rarely","2001","Not Employed","East Germany","","","","","4"
"Rarely","2001","Employed","West Germany","","","","","4"
"Rarely","2001","Not Employed","West Germany","","","","","4"
"Daily","2002","Not Employed","West Germany","","","","","1"
"Daily","2002","Not Employed","East Germany","","","","","1"
"Daily","2002","Employed","West Germany","","","","","1"
"Daily","2002","Employed","East Germany","","","","","1"
"Min 1x per month","2002","Employed","West Germany","","","","","3"
"Min 1x per month","2002","Employed","East Germany","","","","","3"
"Min 1x per month","2002","Not Employed","West Germany","","","","","3"
"Min 1x per month","2002","Not Employed","East Germany","","","","","3"
"Min 1x per week","2002","Employed","West Germany","","","","","2"
"Min 1x per week","2002","Not Employed","East Germany","","","","","2"
"Min 1x per week","2002","Employed","East Germany","","","","","2"
"Min 1x per week","2002","Not Employed","West Germany","","","","","2"
"Never","2002","Not Employed","West Germany","","","","","5"
"Never","2002","Not Employed","East Germany","","","","","5"
"Never","2002","Employed","West Germany","","","","","5"
"Never","2002","Employed","East Germany","","","","","5"
"Rarely","2002","Employed","West Germany","","","","","4"
"Rarely","2002","Employed","East Germany","","","","","4"
"Rarely","2002","Not Employed","East Germany","","","","","4"
"Rarely","2002","Not Employed","West Germany","","","","","4"
"Daily","2003","Not Employed","West Germany","5520","0.917310222739198","0.910373169220792","0.924247276257604","1"
"Daily","2003","Not Employed","East Germany","1993","0.939163636520861","0.92900305140472","0.949324221637002","1"
"Daily","2003","Employed","West Germany","8913","0.82376526640149","0.816581652096903","0.830948880706078","1"
"Daily","2003","Employed","East Germany","2730","0.844725651761452","0.832233945387352","0.857217358135552","1"
"Min 1x per month","2003","Not Employed","East Germany","9","","","","3"
"Min 1x per month","2003","Not Employed","West Germany","32","0.00438237539942697","0.00271860997882024","0.0060461408200337","3"
"Min 1x per month","2003","Employed","West Germany","129","0.017103745808622","0.0146592180566104","0.0195482735606335","3"
"Min 1x per month","2003","Employed","East Germany","39","0.0123199465192067","0.00851519217690014","0.0161247008615133","3"
"Min 1x per week","2003","Not Employed","West Germany","341","0.0498380047855045","0.0443568739519717","0.0553191356190373","2"
"Min 1x per week","2003","Employed","West Germany","1415","0.125915559152699","0.119660781017984","0.132170337287415","2"
"Min 1x per week","2003","Employed","East Germany","350","0.10809547928113","0.0973857864005259","0.118805172161734","2"
"Min 1x per week","2003","Not Employed","East Germany","83","0.0364684050474308","0.0285002490883525","0.044436561006509","2"
"Never","2003","Not Employed","East Germany","22","","","","5"
"Never","2003","Not Employed","West Germany","95","0.0190340794034041","0.015592292991939","0.0224758658148692","5"
"Never","2003","Employed","West Germany","125","0.0117703062862956","0.00973692722567429","0.013803685346917","5"
"Never","2003","Employed","East Germany","27","","","","5"
"Rarely","2003","Employed","West Germany","225","0.0214451223508928","0.0187139294653153","0.0241763152364703","4"
"Rarely","2003","Not Employed","West Germany","67","0.00943531767246583","0.00700025187646134","0.0118703834684703","4"
"Rarely","2003","Not Employed","East Germany","19","","","","4"
"Rarely","2003","Employed","East Germany","83","0.0254192613033629","0.0199904537914647","0.0308480688152612","4"
"Daily","2004","Not Employed","West Germany","","","","","1"
"Daily","2004","Not Employed","East Germany","","","","","1"
"Daily","2004","Employed","West Germany","","","","","1"
"Daily","2004","Employed","East Germany","","","","","1"
"Min 1x per month","2004","Not Employed","East Germany","","","","","3"
"Min 1x per month","2004","Employed","West Germany","","","","","3"
"Min 1x per month","2004","Not Employed","West Germany","","","","","3"
"Min 1x per month","2004","Employed","East Germany","","","","","3"
"Min 1x per week","2004","Not Employed","East Germany","","","","","2"
"Min 1x per week","2004","Employed","East Germany","","","","","2"
"Min 1x per week","2004","Not Employed","West Germany","","","","","2"
"Min 1x per week","2004","Employed","West Germany","","","","","2"
"Never","2004","Not Employed","East Germany","","","","","5"
"Never","2004","Not Employed","West Germany","","","","","5"
"Never","2004","Employed","West Germany","","","","","5"
"Never","2004","Employed","East Germany","","","","","5"
"Rarely","2004","Employed","East Germany","","","","","4"
"Rarely","2004","Not Employed","East Germany","","","","","4"
"Rarely","2004","Employed","West Germany","","","","","4"
"Rarely","2004","Not Employed","West Germany","","","","","4"
"Daily","2005","Not Employed","West Germany","","","","","1"
"Daily","2005","Not Employed","East Germany","","","","","1"
"Daily","2005","Employed","East Germany","","","","","1"
"Daily","2005","Employed","West Germany","","","","","1"
"Min 1x per month","2005","Not Employed","West Germany","","","","","3"
"Min 1x per month","2005","Employed","East Germany","","","","","3"
"Min 1x per month","2005","Not Employed","East Germany","","","","","3"
"Min 1x per month","2005","Employed","West Germany","","","","","3"
"Min 1x per week","2005","Employed","East Germany","","","","","2"
"Min 1x per week","2005","Not Employed","East Germany","","","","","2"
"Min 1x per week","2005","Employed","West Germany","","","","","2"
"Min 1x per week","2005","Not Employed","West Germany","","","","","2"
"Never","2005","Not Employed","West Germany","","","","","5"
"Never","2005","Not Employed","East Germany","","","","","5"
"Never","2005","Employed","West Germany","","","","","5"
"Never","2005","Employed","East Germany","","","","","5"
"Rarely","2005","Not Employed","East Germany","","","","","4"
"Rarely","2005","Employed","East Germany","","","","","4"
"Rarely","2005","Not Employed","West Germany","","","","","4"
"Rarely","2005","Employed","West Germany","","","","","4"
"Daily","2006","Not Employed","West Germany","","","","","1"
"Daily","2006","Not Employed","East Germany","","","","","1"
"Daily","2006","Employed","East Germany","","","","","1"
"Daily","2006","Employed","West Germany","","","","","1"
"Min 1x per month","2006","Not Employed","West Germany","","","","","3"
"Min 1x per month","2006","Not Employed","East Germany","","","","","3"
"Min 1x per month","2006","Employed","East Germany","","","","","3"
"Min 1x per month","2006","Employed","West Germany","","","","","3"
"Min 1x per week","2006","Not Employed","West Germany","","","","","2"
"Min 1x per week","2006","Employed","West Germany","","","","","2"
"Min 1x per week","2006","Employed","East Germany","","","","","2"
"Min 1x per week","2006","Not Employed","East Germany","","","","","2"
"Never","2006","Not Employed","West Germany","","","","","5"
"Never","2006","Not Employed","East Germany","","","","","5"
"Never","2006","Employed","West Germany","","","","","5"
"Never","2006","Employed","East Germany","","","","","5"
"Rarely","2006","Employed","West Germany","","","","","4"
"Rarely","2006","Not Employed","West Germany","","","","","4"
"Rarely","2006","Not Employed","East Germany","","","","","4"
"Rarely","2006","Employed","East Germany","","","","","4"
"Daily","2007","Not Employed","West Germany","","","","","1"
"Daily","2007","Not Employed","East Germany","","","","","1"
"Daily","2007","Employed","West Germany","","","","","1"
"Daily","2007","Employed","East Germany","","","","","1"
"Min 1x per month","2007","Employed","West Germany","","","","","3"
"Min 1x per month","2007","Employed","East Germany","","","","","3"
"Min 1x per month","2007","Not Employed","West Germany","","","","","3"
"Min 1x per month","2007","Not Employed","East Germany","","","","","3"
"Min 1x per week","2007","Employed","East Germany","","","","","2"
"Min 1x per week","2007","Employed","West Germany","","","","","2"
"Min 1x per week","2007","Not Employed","West Germany","","","","","2"
"Min 1x per week","2007","Not Employed","East Germany","","","","","2"
"Never","2007","Not Employed","West Germany","","","","","5"
"Never","2007","Not Employed","East Germany","","","","","5"
"Never","2007","Employed","West Germany","","","","","5"
"Never","2007","Employed","East Germany","","","","","5"
"Rarely","2007","Employed","East Germany","","","","","4"
"Rarely","2007","Not Employed","West Germany","","","","","4"
"Rarely","2007","Employed","West Germany","","","","","4"
"Rarely","2007","Not Employed","East Germany","","","","","4"
"Daily","2008","Not Employed","West Germany","4889","0.889992880483505","0.881715267097277","0.898270493869734","1"
"Daily","2008","Not Employed","East Germany","1818","0.915376691233663","0.903120634035115","0.92763274843221","1"
"Daily","2008","Employed","East Germany","2238","0.79782812284794","0.782925557615171","0.81273068808071","1"
"Daily","2008","Employed","West Germany","7238","0.795487691012641","0.787205116330056","0.803770265695227","1"
"Min 1x per month","2008","Employed","East Germany","53","0.0232664819801802","0.0176727790862945","0.0288601848740658","3"
"Min 1x per month","2008","Not Employed","West Germany","59","0.0115390402878393","0.00871373045459181","0.0143643501210868","3"
"Min 1x per month","2008","Employed","West Germany","145","0.0163669568296443","0.0137614667390516","0.0189724469202369","3"
"Min 1x per month","2008","Not Employed","East Germany","18","","","","3"
"Min 1x per week","2008","Employed","East Germany","388","0.132438220731857","0.119860473476264","0.14501596798745","2"
"Min 1x per week","2008","Not Employed","East Germany","104","0.053169545759128","0.0432891705475199","0.0630499209707361","2"
"Min 1x per week","2008","Employed","West Germany","1399","0.153465143260192","0.146063703654732","0.160866582865651","2"
"Min 1x per week","2008","Not Employed","West Germany","365","0.0602250559133803","0.0539314142452533","0.0665186975815074","2"
"Never","2008","Employed","West Germany","85","0.00914205554994879","0.00718764171457363","0.011096469385324","5"
"Never","2008","Not Employed","West Germany","87","0.0195918545811275","0.0159254304270885","0.0232582787351665","5"
"Never","2008","Not Employed","East Germany","19","","","","5"
"Never","2008","Employed","East Germany","26","","","","5"
"Rarely","2008","Not Employed","East Germany","22","","","","4"
"Rarely","2008","Employed","East Germany","85","0.0292578712303482","0.0230044268662542","0.0355113155944423","4"
"Rarely","2008","Not Employed","West Germany","89","0.0186511687341474","0.0150721315871862","0.0222302058811086","4"
"Rarely","2008","Employed","West Germany","243","0.0255381533475741","0.0222987422354169","0.0287775644597313","4"
"Daily","2009","Not Employed","West Germany","","","","","1"
"Daily","2009","Not Employed","East Germany","","","","","1"
"Daily","2009","Employed","West Germany","","","","","1"
"Daily","2009","Employed","East Germany","","","","","1"
"Min 1x per month","2009","Employed","East Germany","","","","","3"
"Min 1x per month","2009","Not Employed","East Germany","","","","","3"
"Min 1x per month","2009","Employed","West Germany","","","","","3"
"Min 1x per month","2009","Not Employed","West Germany","","","","","3"
"Min 1x per week","2009","Employed","West Germany","","","","","2"
"Min 1x per week","2009","Employed","East Germany","","","","","2"
"Min 1x per week","2009","Not Employed","East Germany","","","","","2"
"Min 1x per week","2009","Not Employed","West Germany","","","","","2"
"Never","2009","Employed","West Germany","","","","","5"
"Never","2009","Not Employed","West Germany","","","","","5"
"Never","2009","Not Employed","East Germany","","","","","5"
"Never","2009","Employed","East Germany","","","","","5"
"Rarely","2009","Employed","West Germany","","","","","4"
"Rarely","2009","Not Employed","East Germany","","","","","4"
"Rarely","2009","Employed","East Germany","","","","","4"
"Rarely","2009","Not Employed","West Germany","","","","","4"
"Daily","2010","Not Employed","West Germany","","","","","1"
"Daily","2010","Not Employed","East Germany","","","","","1"
"Daily","2010","Employed","West Germany","","","","","1"
"Daily","2010","Employed","East Germany","","","","","1"
"Min 1x per month","2010","Employed","East Germany","","","","","3"
"Min 1x per month","2010","Employed","West Germany","","","","","3"
"Min 1x per month","2010","Not Employed","East Germany","","","","","3"
"Min 1x per month","2010","Not Employed","West Germany","","","","","3"
"Min 1x per week","2010","Employed","East Germany","","","","","2"
"Min 1x per week","2010","Employed","West Germany","","","","","2"
"Min 1x per week","2010","Not Employed","West Germany","","","","","2"
"Min 1x per week","2010","Not Employed","East Germany","","","","","2"
"Never","2010","Not Employed","East Germany","","","","","5"
"Never","2010","Employed","West Germany","","","","","5"
"Never","2010","Not Employed","West Germany","","","","","5"
"Never","2010","Employed","East Germany","","","","","5"
"Rarely","2010","Employed","East Germany","","","","","4"
"Rarely","2010","Not Employed","West Germany","","","","","4"
"Rarely","2010","Employed","West Germany","","","","","4"
"Rarely","2010","Not Employed","East Germany","","","","","4"
"Daily","2011","Not Employed","West Germany","","","","","1"
"Daily","2011","Not Employed","East Germany","","","","","1"
"Daily","2011","Employed","West Germany","","","","","1"
"Daily","2011","Employed","East Germany","","","","","1"
"Min 1x per month","2011","Employed","West Germany","","","","","3"
"Min 1x per month","2011","Employed","East Germany","","","","","3"
"Min 1x per month","2011","Not Employed","West Germany","","","","","3"
"Min 1x per month","2011","Not Employed","East Germany","","","","","3"
"Min 1x per week","2011","Not Employed","East Germany","","","","","2"
"Min 1x per week","2011","Employed","East Germany","","","","","2"
"Min 1x per week","2011","Employed","West Germany","","","","","2"
"Min 1x per week","2011","Not Employed","West Germany","","","","","2"
"Never","2011","Employed","West Germany","","","","","5"
"Never","2011","Not Employed","East Germany","","","","","5"
"Never","2011","Not Employed","West Germany","","","","","5"
"Never","2011","Employed","East Germany","","","","","5"
"Rarely","2011","Employed","East Germany","","","","","4"
"Rarely","2011","Not Employed","East Germany","","","","","4"
"Rarely","2011","Not Employed","West Germany","","","","","4"
"Rarely","2011","Employed","West Germany","","","","","4"
"Daily","2012","Not Employed","West Germany","","","","","1"
"Daily","2012","Not Employed","East Germany","","","","","1"
"Daily","2012","Employed","West Germany","","","","","1"
"Daily","2012","Employed","East Germany","","","","","1"
"Min 1x per month","2012","Employed","East Germany","","","","","3"
"Min 1x per month","2012","Employed","West Germany","","","","","3"
"Min 1x per month","2012","Not Employed","East Germany","","","","","3"
"Min 1x per month","2012","Not Employed","West Germany","","","","","3"
"Min 1x per week","2012","Employed","West Germany","","","","","2"
"Min 1x per week","2012","Not Employed","East Germany","","","","","2"
"Min 1x per week","2012","Employed","East Germany","","","","","2"
"Min 1x per week","2012","Not Employed","West Germany","","","","","2"
"Never","2012","Employed","West Germany","","","","","5"
"Never","2012","Not Employed","West Germany","","","","","5"
"Never","2012","Not Employed","East Germany","","","","","5"
"Never","2012","Employed","East Germany","","","","","5"
"Rarely","2012","Employed","West Germany","","","","","4"
"Rarely","2012","Employed","East Germany","","","","","4"
