"pli0083","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1991","Couple + C. LE 16 ","no migration background","","","",""
"Daily","1991","Couple + C. LE 16 ","direct migration background","","","",""
"Daily","1991","Couple + C. LE 16 ","indirect migration background","","","",""
"Daily","1991","Couple + C. GT 16 ","no migration background","","","",""
"Daily","1991","Couple + C. GT 16 ","direct migration background","","","",""
"Daily","1991","Couple + C. GT 16 ","indirect migration background","","","",""
"Daily","1991","Couple + C. LE and GT 16","no migration background","","","",""
"Daily","1991","Couple + C. LE and GT 16","direct migration background","","","",""
"Daily","1991","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per week","1991","1-pers.-HH","no migration background","","","",""
"Min 1x per week","1991","1-pers.-HH","direct migration background","","","",""
"Min 1x per week","1991","1-pers.-HH","indirect migration background","","","",""
"Min 1x per week","1991","(Married) couple without C. ","no migration background","","","",""
"Min 1x per week","1991","(Married) couple without C. ","direct migration background","","","",""
"Min 1x per week","1991","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per week","1991","Single parent ","no migration background","","","",""
"Min 1x per week","1991","Single parent ","direct migration background","","","",""
"Min 1x per week","1991","Single parent ","indirect migration background","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","direct migration background","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","direct migration background","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","direct migration background","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per month","1991","1-pers.-HH","no migration background","","","",""
"Min 1x per month","1991","1-pers.-HH","direct migration background","","","",""
"Min 1x per month","1991","1-pers.-HH","indirect migration background","","","",""
"Min 1x per month","1991","(Married) couple without C. ","no migration background","","","",""
"Min 1x per month","1991","(Married) couple without C. ","direct migration background","","","",""
"Min 1x per month","1991","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per month","1991","Single parent ","no migration background","","","",""
"Min 1x per month","1991","Single parent ","direct migration background","","","",""
"Min 1x per month","1991","Single parent ","indirect migration background","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","direct migration background","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","direct migration background","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","direct migration background","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","indirect migration background","","","",""
"Rarely","1991","1-pers.-HH","no migration background","","","",""
"Rarely","1991","1-pers.-HH","direct migration background","","","",""
"Rarely","1991","1-pers.-HH","indirect migration background","","","",""
"Rarely","1991","(Married) couple without C. ","no migration background","","","",""
"Rarely","1991","(Married) couple without C. ","direct migration background","","","",""
"Rarely","1991","(Married) couple without C. ","indirect migration background","","","",""
"Rarely","1991","Single parent ","no migration background","","","",""
"Rarely","1991","Single parent ","direct migration background","","","",""
"Rarely","1991","Single parent ","indirect migration background","","","",""
"Rarely","1991","Couple + C. LE 16 ","no migration background","","","",""
"Rarely","1991","Couple + C. LE 16 ","direct migration background","","","",""
"Rarely","1991","Couple + C. LE 16 ","indirect migration background","","","",""
"Rarely","1991","Couple + C. GT 16 ","no migration background","","","",""
"Rarely","1991","Couple + C. GT 16 ","direct migration background","","","",""
"Rarely","1991","Couple + C. GT 16 ","indirect migration background","","","",""
"Rarely","1991","Couple + C. LE and GT 16","no migration background","","","",""
"Rarely","1991","Couple + C. LE and GT 16","direct migration background","","","",""
"Rarely","1991","Couple + C. LE and GT 16","indirect migration background","","","",""
"Never","1991","1-pers.-HH","no migration background","","","",""
"Never","1991","1-pers.-HH","direct migration background","","","",""
"Never","1991","1-pers.-HH","indirect migration background","","","",""
"Never","1991","(Married) couple without C. ","no migration background","","","",""
"Never","1991","(Married) couple without C. ","direct migration background","","","",""
"Never","1991","(Married) couple without C. ","indirect migration background","","","",""
"Never","1991","Single parent ","no migration background","","","",""
"Never","1991","Single parent ","direct migration background","","","",""
"Never","1991","Single parent ","indirect migration background","","","",""
"Never","1991","Couple + C. LE 16 ","no migration background","","","",""
"Never","1991","Couple + C. LE 16 ","direct migration background","","","",""
"Never","1991","Couple + C. LE 16 ","indirect migration background","","","",""
"Never","1991","Couple + C. GT 16 ","no migration background","","","",""
"Never","1991","Couple + C. GT 16 ","direct migration background","","","",""
"Never","1991","Couple + C. GT 16 ","indirect migration background","","","",""
"Never","1991","Couple + C. LE and GT 16","no migration background","","","",""
"Never","1991","Couple + C. LE and GT 16","direct migration background","","","",""
"Never","1991","Couple + C. LE and GT 16","indirect migration background","","","",""
"Daily","1992","1-pers.-HH","no migration background","","","",""
"Daily","1992","1-pers.-HH","direct migration background","","","",""
"Daily","1992","1-pers.-HH","indirect migration background","","","",""
"Daily","1992","(Married) couple without C. ","no migration background","","","",""
"Daily","1992","(Married) couple without C. ","direct migration background","","","",""
"Daily","1992","(Married) couple without C. ","indirect migration background","","","",""
"Daily","1992","Single parent ","no migration background","","","",""
"Daily","1992","Single parent ","direct migration background","","","",""
"Daily","1992","Single parent ","indirect migration background","","","",""
"Daily","1992","Couple + C. LE 16 ","no migration background","","","",""
"Daily","1992","Couple + C. LE 16 ","direct migration background","","","",""
"Daily","1992","Couple + C. LE 16 ","indirect migration background","","","",""
"Daily","1992","Couple + C. GT 16 ","no migration background","","","",""
"Daily","1992","Couple + C. GT 16 ","direct migration background","","","",""
"Daily","1992","Couple + C. GT 16 ","indirect migration background","","","",""
"Daily","1992","Couple + C. LE and GT 16","no migration background","","","",""
"Daily","1992","Couple + C. LE and GT 16","direct migration background","","","",""
"Daily","1992","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per week","1992","1-pers.-HH","no migration background","","","",""
"Min 1x per week","1992","1-pers.-HH","direct migration background","","","",""
"Min 1x per week","1992","1-pers.-HH","indirect migration background","","","",""
"Min 1x per week","1992","(Married) couple without C. ","no migration background","","","",""
"Min 1x per week","1992","(Married) couple without C. ","direct migration background","","","",""
"Min 1x per week","1992","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per week","1992","Single parent ","no migration background","","","",""
"Min 1x per week","1992","Single parent ","direct migration background","","","",""
"Min 1x per week","1992","Single parent ","indirect migration background","","","",""
"Min 1x per week","1992","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per week","1992","Couple + C. LE 16 ","direct migration background","","","",""
"Min 1x per week","1992","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per week","1992","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per week","1992","Couple + C. GT 16 ","direct migration background","","","",""
"Min 1x per week","1992","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per week","1992","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per week","1992","Couple + C. LE and GT 16","direct migration background","","","",""
"Min 1x per week","1992","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per month","1992","1-pers.-HH","no migration background","","","",""
"Min 1x per month","1992","1-pers.-HH","direct migration background","","","",""
"Min 1x per month","1992","1-pers.-HH","indirect migration background","","","",""
"Min 1x per month","1992","(Married) couple without C. ","no migration background","","","",""
"Min 1x per month","1992","(Married) couple without C. ","direct migration background","","","",""
"Min 1x per month","1992","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per month","1992","Single parent ","no migration background","","","",""
"Min 1x per month","1992","Single parent ","direct migration background","","","",""
"Min 1x per month","1992","Single parent ","indirect migration background","","","",""
"Min 1x per month","1992","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per month","1992","Couple + C. LE 16 ","direct migration background","","","",""
"Min 1x per month","1992","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per month","1992","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per month","1992","Couple + C. GT 16 ","direct migration background","","","",""
"Min 1x per month","1992","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per month","1992","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per month","1992","Couple + C. LE and GT 16","direct migration background","","","",""
"Min 1x per month","1992","Couple + C. LE and GT 16","indirect migration background","","","",""
"Rarely","1992","1-pers.-HH","no migration background","","","",""
"Rarely","1992","1-pers.-HH","direct migration background","","","",""
"Rarely","1992","1-pers.-HH","indirect migration background","","","",""
"Rarely","1992","(Married) couple without C. ","no migration background","","","",""
"Rarely","1992","(Married) couple without C. ","direct migration background","","","",""
"Rarely","1992","(Married) couple without C. ","indirect migration background","","","",""
"Rarely","1992","Single parent ","no migration background","","","",""
"Rarely","1992","Single parent ","direct migration background","","","",""
"Rarely","1992","Single parent ","indirect migration background","","","",""
"Rarely","1992","Couple + C. LE 16 ","no migration background","","","",""
"Rarely","1992","Couple + C. LE 16 ","direct migration background","","","",""
"Rarely","1992","Couple + C. LE 16 ","indirect migration background","","","",""
"Rarely","1992","Couple + C. GT 16 ","no migration background","","","",""
"Rarely","1992","Couple + C. GT 16 ","direct migration background","","","",""
"Rarely","1992","Couple + C. GT 16 ","indirect migration background","","","",""
"Rarely","1992","Couple + C. LE and GT 16","no migration background","","","",""
"Rarely","1992","Couple + C. LE and GT 16","direct migration background","","","",""
"Rarely","1992","Couple + C. LE and GT 16","indirect migration background","","","",""
"Never","1992","1-pers.-HH","no migration background","","","",""
"Never","1992","1-pers.-HH","direct migration background","","","",""
"Never","1992","1-pers.-HH","indirect migration background","","","",""
"Never","1992","(Married) couple without C. ","no migration background","","","",""
"Never","1992","(Married) couple without C. ","direct migration background","","","",""
"Never","1992","(Married) couple without C. ","indirect migration background","","","",""
"Never","1992","Single parent ","no migration background","","","",""
"Never","1992","Single parent ","direct migration background","","","",""
"Never","1992","Single parent ","indirect migration background","","","",""
"Never","1992","Couple + C. LE 16 ","no migration background","","","",""
"Never","1992","Couple + C. LE 16 ","direct migration background","","","",""
"Never","1992","Couple + C. LE 16 ","indirect migration background","","","",""
"Never","1992","Couple + C. GT 16 ","no migration background","","","",""
"Never","1992","Couple + C. GT 16 ","direct migration background","","","",""
"Never","1992","Couple + C. GT 16 ","indirect migration background","","","",""
"Never","1992","Couple + C. LE and GT 16","no migration background","","","",""
"Never","1992","Couple + C. LE and GT 16","direct migration background","","","",""
"Never","1992","Couple + C. LE and GT 16","indirect migration background","","","",""
"Daily","1993","1-pers.-HH","no migration background","","","",""
"Daily","1993","1-pers.-HH","direct migration background","","","",""
"Daily","1993","1-pers.-HH","indirect migration background","","","",""
"Daily","1993","(Married) couple without C. ","no migration background","","","",""
"Daily","1993","(Married) couple without C. ","direct migration background","","","",""
"Daily","1993","(Married) couple without C. ","indirect migration background","","","",""
"Daily","1993","Single parent ","no migration background","","","",""
"Daily","1993","Single parent ","direct migration background","","","",""
"Daily","1993","Single parent ","indirect migration background","","","",""
"Daily","1993","Couple + C. LE 16 ","no migration background","","","",""
"Daily","1993","Couple + C. LE 16 ","direct migration background","","","",""
"Daily","1993","Couple + C. LE 16 ","indirect migration background","","","",""
"Daily","1993","Couple + C. GT 16 ","no migration background","","","",""
"Daily","1993","Couple + C. GT 16 ","direct migration background","","","",""
"Daily","1993","Couple + C. GT 16 ","indirect migration background","","","",""
"Daily","1993","Couple + C. LE and GT 16","no migration background","","","",""
"Daily","1993","Couple + C. LE and GT 16","direct migration background","","","",""
"Daily","1993","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per week","1993","1-pers.-HH","no migration background","","","",""
"Min 1x per week","1993","1-pers.-HH","direct migration background","","","",""
"Min 1x per week","1993","1-pers.-HH","indirect migration background","","","",""
"Min 1x per week","1993","(Married) couple without C. ","no migration background","","","",""
"Min 1x per week","1993","(Married) couple without C. ","direct migration background","","","",""
"Min 1x per week","1993","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per week","1993","Single parent ","no migration background","","","",""
"Min 1x per week","1993","Single parent ","direct migration background","","","",""
"Min 1x per week","1993","Single parent ","indirect migration background","","","",""
"Min 1x per week","1993","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per week","1993","Couple + C. LE 16 ","direct migration background","","","",""
"Min 1x per week","1993","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per week","1993","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per week","1993","Couple + C. GT 16 ","direct migration background","","","",""
"Min 1x per week","1993","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per week","1993","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per week","1993","Couple + C. LE and GT 16","direct migration background","","","",""
"Min 1x per week","1993","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per month","1993","1-pers.-HH","no migration background","","","",""
"Min 1x per month","1993","1-pers.-HH","direct migration background","","","",""
"Min 1x per month","1993","1-pers.-HH","indirect migration background","","","",""
"Min 1x per month","1993","(Married) couple without C. ","no migration background","","","",""
"Min 1x per month","1993","(Married) couple without C. ","direct migration background","","","",""
"Min 1x per month","1993","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per month","1993","Single parent ","no migration background","","","",""
"Min 1x per month","1993","Single parent ","direct migration background","","","",""
"Min 1x per month","1993","Single parent ","indirect migration background","","","",""
"Min 1x per month","1993","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per month","1993","Couple + C. LE 16 ","direct migration background","","","",""
"Min 1x per month","1993","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per month","1993","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per month","1993","Couple + C. GT 16 ","direct migration background","","","",""
"Min 1x per month","1993","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per month","1993","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per month","1993","Couple + C. LE and GT 16","direct migration background","","","",""
"Min 1x per month","1993","Couple + C. LE and GT 16","indirect migration background","","","",""
"Rarely","1993","1-pers.-HH","no migration background","","","",""
"Rarely","1993","1-pers.-HH","direct migration background","","","",""
"Rarely","1993","1-pers.-HH","indirect migration background","","","",""
"Rarely","1993","(Married) couple without C. ","no migration background","","","",""
"Rarely","1993","(Married) couple without C. ","direct migration background","","","",""
"Rarely","1993","(Married) couple without C. ","indirect migration background","","","",""
"Rarely","1993","Single parent ","no migration background","","","",""
"Rarely","1993","Single parent ","direct migration background","","","",""
"Rarely","1993","Single parent ","indirect migration background","","","",""
"Rarely","1993","Couple + C. LE 16 ","no migration background","","","",""
"Rarely","1993","Couple + C. LE 16 ","direct migration background","","","",""
"Rarely","1993","Couple + C. LE 16 ","indirect migration background","","","",""
"Rarely","1993","Couple + C. GT 16 ","no migration background","","","",""
"Rarely","1993","Couple + C. GT 16 ","direct migration background","","","",""
"Rarely","1993","Couple + C. GT 16 ","indirect migration background","","","",""
"Rarely","1993","Couple + C. LE and GT 16","no migration background","","","",""
"Rarely","1993","Couple + C. LE and GT 16","direct migration background","","","",""
"Rarely","1993","Couple + C. LE and GT 16","indirect migration background","","","",""
"Never","1993","1-pers.-HH","no migration background","","","",""
"Never","1993","1-pers.-HH","direct migration background","","","",""
"Never","1993","1-pers.-HH","indirect migration background","","","",""
"Never","1993","(Married) couple without C. ","no migration background","","","",""
"Never","1993","(Married) couple without C. ","direct migration background","","","",""
"Never","1993","(Married) couple without C. ","indirect migration background","","","",""
"Never","1993","Single parent ","no migration background","","","",""
"Never","1993","Single parent ","direct migration background","","","",""
"Never","1993","Single parent ","indirect migration background","","","",""
"Never","1993","Couple + C. LE 16 ","no migration background","","","",""
"Never","1993","Couple + C. LE 16 ","direct migration background","","","",""
"Never","1993","Couple + C. LE 16 ","indirect migration background","","","",""
"Never","1993","Couple + C. GT 16 ","no migration background","","","",""
"Never","1993","Couple + C. GT 16 ","direct migration background","","","",""
"Never","1993","Couple + C. GT 16 ","indirect migration background","","","",""
"Never","1993","Couple + C. LE and GT 16","no migration background","","","",""
"Never","1993","Couple + C. LE and GT 16","direct migration background","","","",""
"Never","1993","Couple + C. LE and GT 16","indirect migration background","","","",""
"Daily","1994","1-pers.-HH","no migration background","","","",""
"Daily","1994","1-pers.-HH","direct migration background","","","",""
"Daily","1994","1-pers.-HH","indirect migration background","","","",""
"Daily","1994","(Married) couple without C. ","no migration background","","","",""
"Daily","1994","(Married) couple without C. ","direct migration background","","","",""
"Daily","1994","(Married) couple without C. ","indirect migration background","","","",""
"Daily","1994","Single parent ","no migration background","","","",""
"Daily","1994","Single parent ","direct migration background","","","",""
"Daily","1994","Single parent ","indirect migration background","","","",""
"Daily","1994","Couple + C. LE 16 ","no migration background","","","",""
"Daily","1994","Couple + C. LE 16 ","direct migration background","","","",""
"Daily","1994","Couple + C. LE 16 ","indirect migration background","","","",""
"Daily","1994","Couple + C. GT 16 ","no migration background","","","",""
"Daily","1994","Couple + C. GT 16 ","direct migration background","","","",""
"Daily","1994","Couple + C. GT 16 ","indirect migration background","","","",""
"Daily","1994","Couple + C. LE and GT 16","no migration background","","","",""
"Daily","1994","Couple + C. LE and GT 16","direct migration background","","","",""
"Daily","1994","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per week","1994","1-pers.-HH","no migration background","","","",""
"Min 1x per week","1994","1-pers.-HH","direct migration background","","","",""
"Min 1x per week","1994","1-pers.-HH","indirect migration background","","","",""
"Min 1x per week","1994","(Married) couple without C. ","no migration background","","","",""
"Min 1x per week","1994","(Married) couple without C. ","direct migration background","","","",""
"Min 1x per week","1994","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per week","1994","Single parent ","no migration background","","","",""
"Min 1x per week","1994","Single parent ","direct migration background","","","",""
"Min 1x per week","1994","Single parent ","indirect migration background","","","",""
"Min 1x per week","1994","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per week","1994","Couple + C. LE 16 ","direct migration background","","","",""
"Min 1x per week","1994","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per week","1994","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per week","1994","Couple + C. GT 16 ","direct migration background","","","",""
"Min 1x per week","1994","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per week","1994","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per week","1994","Couple + C. LE and GT 16","direct migration background","","","",""
"Min 1x per week","1994","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per month","1994","1-pers.-HH","no migration background","","","",""
"Min 1x per month","1994","1-pers.-HH","direct migration background","","","",""
"Min 1x per month","1994","1-pers.-HH","indirect migration background","","","",""
"Min 1x per month","1994","(Married) couple without C. ","no migration background","","","",""
"Min 1x per month","1994","(Married) couple without C. ","direct migration background","","","",""
"Min 1x per month","1994","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per month","1994","Single parent ","no migration background","","","",""
"Min 1x per month","1994","Single parent ","direct migration background","","","",""
"Min 1x per month","1994","Single parent ","indirect migration background","","","",""
"Min 1x per month","1994","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per month","1994","Couple + C. LE 16 ","direct migration background","","","",""
"Min 1x per month","1994","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per month","1994","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per month","1994","Couple + C. GT 16 ","direct migration background","","","",""
"Min 1x per month","1994","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per month","1994","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per month","1994","Couple + C. LE and GT 16","direct migration background","","","",""
"Min 1x per month","1994","Couple + C. LE and GT 16","indirect migration background","","","",""
"Rarely","1994","1-pers.-HH","no migration background","","","",""
