"pli0083","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1997","Not Working","East Germany","","","",""
"Min 1x per week","1997","Full Time","West Germany","","","",""
"Min 1x per week","1997","Full Time","East Germany","","","",""
"Min 1x per week","1997","Part Time","West Germany","","","",""
"Min 1x per week","1997","Part Time","East Germany","","","",""
"Min 1x per week","1997","Not Working","West Germany","","","",""
"Min 1x per week","1997","Not Working","East Germany","","","",""
"Min 1x per month","1997","Full Time","West Germany","","","",""
"Min 1x per month","1997","Full Time","East Germany","","","",""
"Min 1x per month","1997","Part Time","West Germany","","","",""
"Min 1x per month","1997","Part Time","East Germany","","","",""
"Min 1x per month","1997","Not Working","West Germany","","","",""
"Min 1x per month","1997","Not Working","East Germany","","","",""
"Rarely","1997","Full Time","West Germany","","","",""
"Rarely","1997","Full Time","East Germany","","","",""
"Rarely","1997","Part Time","West Germany","","","",""
"Rarely","1997","Part Time","East Germany","","","",""
"Rarely","1997","Not Working","West Germany","","","",""
"Rarely","1997","Not Working","East Germany","","","",""
"Never","1997","Full Time","West Germany","","","",""
"Never","1997","Full Time","East Germany","","","",""
"Never","1997","Part Time","West Germany","","","",""
"Never","1997","Part Time","East Germany","","","",""
"Never","1997","Not Working","West Germany","","","",""
"Never","1997","Not Working","East Germany","","","",""
"Daily","1998","Full Time","West Germany","3401","0.784885853069271","0.772501680776814","0.797270025361728"
"Daily","1998","Full Time","East Germany","1470","0.842635618145364","0.825589312962423","0.859681923328304"
"Daily","1998","Part Time","West Germany","1799","0.798017875746066","0.781129769332047","0.814905982160085"
"Daily","1998","Part Time","East Germany","602","0.867634152944933","0.842329827113882","0.892938478775983"
"Daily","1998","Not Working","West Germany","3556","0.895314381532778","0.885803126062532","0.904825637003023"
"Daily","1998","Not Working","East Germany","1342","0.944873101428408","0.933010858449826","0.956735344406989"
"Min 1x per week","1998","Full Time","West Germany","605","0.152751033115219","0.141908597533955","0.163593468696484"
"Min 1x per week","1998","Full Time","East Germany","211","0.113677371415684","0.098818354981597","0.12853638784977"
"Min 1x per week","1998","Part Time","West Germany","256","0.135560512145803","0.121160857429592","0.149960166862015"
"Min 1x per week","1998","Part Time","East Germany","56","0.0887390742239201","0.0675057837456316","0.109972364702209"
"Min 1x per week","1998","Not Working","West Germany","284","0.0704043112091272","0.0624563958689495","0.0783522265493048"
"Min 1x per week","1998","Not Working","East Germany","46","0.0298604598285674","0.0210141195389771","0.0387068001181576"
"Min 1x per month","1998","Full Time","West Germany","60","0.0184737832985179","0.0144153527063879","0.0225322138906478"
"Min 1x per month","1998","Full Time","East Germany","15","","",""
"Min 1x per month","1998","Part Time","West Germany","26","","",""
"Min 1x per month","1998","Part Time","East Germany","3","","",""
"Min 1x per month","1998","Not Working","West Germany","25","","",""
"Min 1x per month","1998","Not Working","East Germany","9","","",""
"Rarely","1998","Full Time","West Germany","117","0.0325454584229002","0.027197478983734","0.0378934378620664"
"Rarely","1998","Full Time","East Germany","47","0.0249527459196854","0.0176509593070044","0.0322545325323664"
"Rarely","1998","Part Time","West Germany","69","0.037682312958147","0.0296720607678862","0.0456925651484078"
"Rarely","1998","Part Time","East Germany","25","","",""
"Rarely","1998","Not Working","West Germany","68","0.0165751618611406","0.0126086749042552","0.020541648818026"
"Rarely","1998","Not Working","East Germany","17","","",""
"Never","1998","Full Time","West Germany","46","0.0113438720940919","0.00815209509864261","0.0145356490895411"
