"pli0083","year","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","2010","Employed","","","",""
"Min 1x per week","2010","Not Employed","","","",""
"Min 1x per week","2010","Employed","","","",""
"Min 1x per month","2010","Not Employed","","","",""
"Min 1x per month","2010","Employed","","","",""
"Rarely","2010","Not Employed","","","",""
"Rarely","2010","Employed","","","",""
"Never","2010","Not Employed","","","",""
"Never","2010","Employed","","","",""
"Daily","2011","Not Employed","","","",""
"Daily","2011","Employed","","","",""
"Min 1x per week","2011","Not Employed","","","",""
"Min 1x per week","2011","Employed","","","",""
"Min 1x per month","2011","Not Employed","","","",""
"Min 1x per month","2011","Employed","","","",""
"Rarely","2011","Not Employed","","","",""
"Rarely","2011","Employed","","","",""
"Never","2011","Not Employed","","","",""
"Never","2011","Employed","","","",""
"Daily","2012","Not Employed","","","",""
"Daily","2012","Employed","","","",""
"Min 1x per week","2012","Not Employed","","","",""
"Min 1x per week","2012","Employed","","","",""
"Min 1x per month","2012","Not Employed","","","",""
"Min 1x per month","2012","Employed","","","",""
"Rarely","2012","Not Employed","","","",""
"Rarely","2012","Employed","","","",""
"Never","2012","Not Employed","","","",""
"Never","2012","Employed","","","",""
"Daily","2013","Not Employed","7523","0.871275638713178","0.864282561955744","0.878268715470613"
"Daily","2013","Employed","12376","0.748799854777319","0.742234984044498","0.755364725510141"
"Min 1x per week","2013","Not Employed","833","0.079084299649539","0.0734490233841451","0.084719575914933"
"Min 1x per week","2013","Employed","3163","0.181716044389378","0.175879147582417","0.187552941196339"
"Min 1x per month","2013","Not Employed","122","0.0119493792998198","0.00968044245348714","0.0142183161461525"
"Min 1x per month","2013","Employed","446","0.0265759687367937","0.0241413613014515","0.0290105761721359"
"Rarely","2013","Not Employed","195","0.0188293439062833","0.0159910980906007","0.021667589721966"
"Rarely","2013","Employed","622","0.0339489525680834","0.0312077155516191","0.0366901895845477"
"Never","2013","Not Employed","137","0.0188613384311796","0.0160207286028209","0.0217019482595383"
"Never","2013","Employed","159","0.00895917952842579","0.00753287174767751","0.0103854873091741"
"Daily","2014","Not Employed","","","",""
"Daily","2014","Employed","","","",""
"Min 1x per week","2014","Not Employed","","","",""
"Min 1x per week","2014","Employed","","","",""
"Min 1x per month","2014","Not Employed","","","",""
"Min 1x per month","2014","Employed","","","",""
"Rarely","2014","Not Employed","","","",""
"Rarely","2014","Employed","","","",""
"Never","2014","Not Employed","","","",""
"Never","2014","Employed","","","",""
"Daily","2015","Not Employed","","","",""
"Daily","2015","Employed","","","",""
"Min 1x per week","2015","Not Employed","","","",""
"Min 1x per week","2015","Employed","","","",""
"Min 1x per month","2015","Not Employed","","","",""
"Min 1x per month","2015","Employed","","","",""
"Rarely","2015","Not Employed","","","",""
"Rarely","2015","Employed","","","",""
"Never","2015","Not Employed","","","",""
"Never","2015","Employed","","","",""
"Daily","2016","Not Employed","","","",""
"Daily","2016","Employed","","","",""
"Min 1x per week","2016","Not Employed","","","",""
"Min 1x per week","2016","Employed","","","",""
"Min 1x per month","2016","Not Employed","","","",""
"Min 1x per month","2016","Employed","","","",""
"Rarely","2016","Not Employed","","","",""
"Rarely","2016","Employed","","","",""
"Never","2016","Not Employed","","","",""
"Never","2016","Employed","","","",""
"Daily","2017","Not Employed","","","",""
"Daily","2017","Employed","","","",""
"Min 1x per week","2017","Not Employed","","","",""
"Min 1x per week","2017","Employed","","","",""
"Min 1x per month","2017","Not Employed","","","",""
"Min 1x per month","2017","Employed","","","",""
"Rarely","2017","Not Employed","","","",""
"Rarely","2017","Employed","","","",""
"Never","2017","Not Employed","","","",""
"Never","2017","Employed","","","",""
"Daily","2018","Not Employed","","","",""
"Daily","2018","Employed","","","",""
"Min 1x per week","2018","Not Employed","","","",""
"Min 1x per week","2018","Employed","","","",""
"Min 1x per month","2018","Not Employed","","","",""
"Min 1x per month","2018","Employed","","","",""
"Rarely","2018","Not Employed","","","",""
"Rarely","2018","Employed","","","",""
"Never","2018","Not Employed","","","",""
"Never","2018","Employed","","","",""
"Daily","2019","Not Employed","6770","0.852642445419695","0.844927001869365","0.860357888970025"
"Daily","2019","Employed","12687","0.726848025844262","0.720292653562924","0.733403398125599"
"Min 1x per week","2019","Not Employed","840","0.0884830939433859","0.0823014535799812","0.0946647343067905"
"Min 1x per week","2019","Employed","3602","0.196731239780298","0.190882793784264","0.202579685776331"
"Min 1x per month","2019","Not Employed","108","0.0110186788232625","0.00874646065671366","0.0132908969898113"
"Min 1x per month","2019","Employed","428","0.0245146231441609","0.0222395447116827","0.0267897015766391"
"Rarely","2019","Not Employed","272","0.0319740626465346","0.0281446371125211","0.0358034881805481"
"Rarely","2019","Employed","781","0.0385006235425834","0.0356700022703518","0.0413312448148149"
"Never","2019","Not Employed","118","0.0158817191671221","0.01316049933915","0.0186029389950941"
"Never","2019","Employed","250","0.0134054876886966","0.0117135512732826","0.0150974241041106"
