"pli0083","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Rarely","1990","66 and older","(2a) intermediate vocational","2","","",""
"Rarely","1990","66 and older","(2c_gen) general maturity certificate","1","","",""
"Rarely","1990","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Rarely","1990","66 and older","(3a) lower tertiary education","","","",""
"Rarely","1990","66 and older","(3b) higher tertiary education","1","","",""
"Never","1990","16-34 y.","(0) in school","","","",""
"Never","1990","16-34 y.","(1a) inadequately completed","2","","",""
"Never","1990","16-34 y.","(1b) general elementary school","7","","",""
"Never","1990","16-34 y.","(1c) basic vocational qualification","3","","",""
"Never","1990","16-34 y.","(2b) intermediate general qualification","","","",""
"Never","1990","16-34 y.","(2a) intermediate vocational","5","","",""
"Never","1990","16-34 y.","(2c_gen) general maturity certificate","5","","",""
"Never","1990","16-34 y.","(2c_voc) vocational maturity certificate","2","","",""
"Never","1990","16-34 y.","(3a) lower tertiary education","1","","",""
"Never","1990","16-34 y.","(3b) higher tertiary education","5","","",""
"Never","1990","35-65 y.","(0) in school","","","",""
"Never","1990","35-65 y.","(1a) inadequately completed","14","","",""
"Never","1990","35-65 y.","(1b) general elementary school","15","","",""
"Never","1990","35-65 y.","(1c) basic vocational qualification","10","","",""
"Never","1990","35-65 y.","(2b) intermediate general qualification","1","","",""
"Never","1990","35-65 y.","(2a) intermediate vocational","1","","",""
"Never","1990","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"Never","1990","35-65 y.","(2c_voc) vocational maturity certificate","3","","",""
"Never","1990","35-65 y.","(3a) lower tertiary education","4","","",""
"Never","1990","35-65 y.","(3b) higher tertiary education","5","","",""
"Never","1990","66 and older","(0) in school","","","",""
"Never","1990","66 and older","(1a) inadequately completed","","","",""
"Never","1990","66 and older","(1b) general elementary school","8","","",""
"Never","1990","66 and older","(1c) basic vocational qualification","3","","",""
"Never","1990","66 and older","(2b) intermediate general qualification","1","","",""
"Never","1990","66 and older","(2a) intermediate vocational","1","","",""
"Never","1990","66 and older","(2c_gen) general maturity certificate","","","",""
"Never","1990","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Never","1990","66 and older","(3a) lower tertiary education","1","","",""
"Never","1990","66 and older","(3b) higher tertiary education","","","",""
"Daily","1991","16-34 y.","(0) in school","","","",""
"Daily","1991","16-34 y.","(1a) inadequately completed","","","",""
"Daily","1991","16-34 y.","(1b) general elementary school","","","",""
"Daily","1991","16-34 y.","(1c) basic vocational qualification","","","",""
"Daily","1991","16-34 y.","(2b) intermediate general qualification","","","",""
"Daily","1991","16-34 y.","(2a) intermediate vocational","","","",""
"Daily","1991","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Daily","1991","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Daily","1991","16-34 y.","(3a) lower tertiary education","","","",""
"Daily","1991","16-34 y.","(3b) higher tertiary education","","","",""
"Daily","1991","35-65 y.","(0) in school","","","",""
"Daily","1991","35-65 y.","(1a) inadequately completed","","","",""
"Daily","1991","35-65 y.","(1b) general elementary school","","","",""
"Daily","1991","35-65 y.","(1c) basic vocational qualification","","","",""
