"pli0083","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","2019","66 and older","Not Employed","33","0.00868153463755069","0.00593948881956941","0.011423580455532","3"
"Min 1x per week","2019","16-34 y.","Not Employed","344","0.249296346233161","0.226905745956735","0.271686946509587","2"
"Min 1x per week","2019","35-65 y.","Not Employed","251","0.0941748879651695","0.0821783395788371","0.106171436351502","2"
"Min 1x per week","2019","16-34 y.","Employed","888","0.239252306059329","0.226064168968636","0.252440443150021","2"
"Min 1x per week","2019","66 and older","Employed","91","0.105423654891749","0.0846188761544194","0.126228433629079","2"
"Min 1x per week","2019","35-65 y.","Employed","2623","0.185352424438753","0.178644490035136","0.192060358842369","2"
"Min 1x per week","2019","66 and older","Not Employed","245","0.0499838709316075","0.0435429155488896","0.0564248263143253","2"
"Never","2019","16-34 y.","Not Employed","18","","","","5"
"Never","2019","16-34 y.","Employed","58","0.0162436321551183","0.0123359393449756","0.020151324965261","5"
"Never","2019","35-65 y.","Not Employed","48","0.0208553758114969","0.0149859041825297","0.0267248474404641","5"
"Never","2019","35-65 y.","Employed","176","0.0121725105267946","0.0102795767528447","0.0140654443007444","5"
"Never","2019","66 and older","Not Employed","52","0.0143813866924054","0.0108623427621052","0.0179004306227057","5"
"Never","2019","66 and older","Employed","16","","","","5"
"Rarely","2019","16-34 y.","Not Employed","70","0.0391184240292808","0.0290838457904421","0.0491530022681194","4"
"Rarely","2019","16-34 y.","Employed","160","0.0354063542732161","0.0296935694264612","0.0411191391199709","4"
"Rarely","2019","35-65 y.","Not Employed","88","0.0361578867270123","0.0284900819937332","0.0438256914602913","4"
"Rarely","2019","35-65 y.","Employed","582","0.0400745467490384","0.0366887736495529","0.0434603198485239","4"
"Rarely","2019","66 and older","Employed","39","0.0340896907533638","0.0217964809544338","0.0463829005522939","4"
"Rarely","2019","66 and older","Not Employed","114","0.0287290386260448","0.0237916125413408","0.0336664647107487","4"
