"plb0037_h","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Permanent","1998","West Germany","4755","0.878556367290817","0.86987235345033","0.887240381131304","1"
"Permanent","1998","East Germany","1633","0.819962244857684","0.803064171489455","0.836860318225914","1"
"Limited","1999","West Germany","706","0.128546813090358","0.119580742420084","0.137512883760631","2"
"Limited","1999","East Germany","399","0.190133043510857","0.172900909481976","0.207365177539739","2"
"Permanent","1999","West Germany","4647","0.871453186909642","0.862487116239369","0.880419257579916","1"
"Permanent","1999","East Germany","1593","0.809866956489143","0.792634822460261","0.827099090518024","1"
"Limited","2000","West Germany","1154","0.130536437743632","0.123535331208005","0.137537544279259","2"
"Limited","2000","East Germany","533","0.182071211226412","0.167868431039022","0.196273991413803","2"
"Permanent","2000","West Germany","7741","0.869463562256368","0.862462455720741","0.876464668791995","1"
"Permanent","2000","East Germany","2303","0.817928788773587","0.803726008586197","0.832131568960978","1"
"Limited","2001","West Germany","1020","0.126522917716985","0.119258590082453","0.133787245351518","2"
"Limited","2001","East Germany","511","0.191719319930862","0.176686022682732","0.206752617178993","2"
"Permanent","2001","West Germany","7025","0.873477082283015","0.866212754648482","0.880741409917547","1"
"Permanent","2001","East Germany","2123","0.808280680069138","0.793247382821007","0.823313977317268","1"
"Limited","2002","West Germany","1077","0.131321101335493","0.124181955316107","0.138460247354878","2"
"Limited","2002","East Germany","455","0.186915998318498","0.171934030488056","0.20189796614894","2"
"Permanent","2002","West Germany","7521","0.868678898664507","0.861539752645122","0.875818044683893","1"
"Permanent","2002","East Germany","2146","0.813084001681502","0.79810203385106","0.828065969511944","1"
"Limited","2003","West Germany","1036","0.133584387280639","0.126143387279694","0.141025387281583","2"
"Limited","2003","East Germany","415","0.174930952977294","0.159912139279704","0.189949766674884","2"
"Permanent","2003","West Germany","6994","0.866415612719362","0.858974612718417","0.873856612720306","1"
"Permanent","2003","East Germany","2043","0.825069047022706","0.810050233325116","0.840087860720296","1"
"Limited","2004","West Germany","1006","0.141188238868704","0.133414579791955","0.148961897945452","2"
"Limited","2004","East Germany","442","0.198725396739668","0.18275407432596","0.214696719153375","2"
"Permanent","2004","West Germany","6702","0.858811761131297","0.851038102054548","0.866585420208045","1"
"Permanent","2004","East Germany","1956","0.801274603260332","0.785303280846625","0.81724592567404","1"
"Limited","2005","West Germany","912","0.135879141082188","0.128108076788486","0.14365020537589","2"
"Limited","2005","East Germany","378","0.193397748047205","0.177217669851159","0.209577826243252","2"
"Permanent","2005","West Germany","6557","0.864120858917812","0.85634979462411","0.871891923211514","1"
"Permanent","2005","East Germany","1911","0.806602251952795","0.790422173756748","0.822782330148841","1"
"Limited","2006","West Germany","996","0.142499546407428","0.13475835246789","0.150240740346966","2"
"Limited","2006","East Germany","417","0.201767058116694","0.185654072330678","0.217880043902711","2"
"Permanent","2006","West Germany","6837","0.857500453592572","0.849759259653034","0.86524164753211","1"
"Permanent","2006","East Germany","1966","0.798232941883306","0.782119956097289","0.814345927669322","1"
"Limited","2007","West Germany","993","0.145698794874322","0.137691247646618","0.153706342102026","2"
"Limited","2007","East Germany","411","0.204092617595085","0.187667624751045","0.220517610439125","2"
"Permanent","2007","West Germany","6464","0.854301205125678","0.846293657897974","0.862308752353382","1"
"Permanent","2007","East Germany","1902","0.795907382404915","0.779482389560875","0.812332375248955","1"
"Limited","2008","West Germany","981","0.152754828521374","0.144407976865999","0.161101680176749","2"
"Limited","2008","East Germany","387","0.18763595769393","0.171536051128135","0.203735864259724","2"
"Permanent","2008","West Germany","6155","0.847245171478626","0.838898319823251","0.855592023134001","1"
"Permanent","2008","East Germany","1872","0.81236404230607","0.796264135740276","0.828463948871865","1"
"Limited","2009","West Germany","913","0.147884123985507","0.139320584006029","0.156447663964984","2"
"Limited","2009","East Germany","378","0.198279366744971","0.181402726508313","0.215156006981628","2"
"Permanent","2009","West Germany","5688","0.852115876014493","0.843552336035016","0.860679415993971","1"
"Permanent","2009","East Germany","1766","0.801720633255029","0.784843993018372","0.818597273491687","1"
"Limited","2010","West Germany","1374","0.151444087207601","0.144177087677086","0.158711086738116","2"
"Limited","2010","East Germany","481","0.201099489830126","0.185907340408831","0.216291639251421","2"
"Permanent","2010","West Germany","7974","0.848555912792399","0.841288913261884","0.855822912322914","1"
"Permanent","2010","East Germany","2193","0.798900510169874","0.783708360748579","0.814092659591169","1"
"Limited","2011","West Germany","1634","0.155838932406906","0.149199504739411","0.162478360074401","2"
"Limited","2011","East Germany","545","0.184094020491856","0.170536123423871","0.197651917559841","2"
"Permanent","2011","West Germany","9830","0.844161067593095","0.8375216399256","0.850800495260589","1"
"Permanent","2011","East Germany","2594","0.815905979508144","0.802348082440159","0.829463876576129","1"
"Limited","2012","West Germany","1728","0.159255294943835","0.152524119495831","0.165986470391838","2"
"Limited","2012","East Germany","535","0.169023864814481","0.155843857387885","0.182203872241076","2"
"Permanent","2012","West Germany","9624","0.840744705056165","0.834013529608162","0.847475880504169","1"
"Permanent","2012","East Germany","2571","0.830976135185519","0.817796127758924","0.844156142612114","1"
"Limited","2013","West Germany","2337","0.165229084273998","0.158908783633014","0.171549384914982","2"
"Limited","2013","East Germany","563","0.174626597236527","0.161253621837902","0.187999572635153","2"
"Permanent","2013","West Germany","10927","0.834770915726002","0.828450615085018","0.841091216366986","1"
"Permanent","2013","East Germany","2533","0.825373402763473","0.812000427364847","0.838746378162099","1"
"Limited","2014","West Germany","1997","0.171922488634491","0.165077428129468","0.178767549139514","2"
"Limited","2014","East Germany","489","0.180863882676985","0.166573838572873","0.195153926781097","2"
"Permanent","2014","West Germany","9675","0.828077511365509","0.821232450860486","0.834922571870532","1"
"Permanent","2014","East Germany","2298","0.819136117323015","0.804846073218903","0.833426161427127","1"
"Limited","2015","West Germany","2115","0.168167198189478","0.161403958371786","0.174930438007169","2"
"Limited","2015","East Germany","467","0.170027762568123","0.155863397182114","0.184192127954132","2"
"Permanent","2015","West Germany","9633","0.831832801810522","0.825069561992831","0.838596041628214","1"
"Permanent","2015","East Germany","2235","0.829972237431877","0.815807872045869","0.844136602817886","1"
"Limited","2016","West Germany","2144","0.177030140586145","0.169871796387829","0.184188484784461","2"
"Limited","2016","East Germany","477","0.173222338970211","0.158725958262861","0.187718719677562","2"
"Permanent","2016","West Germany","8778","0.822969859413855","0.815811515215539","0.830128203612171","1"
"Permanent","2016","East Germany","2141","0.826777661029789","0.812281280322438","0.841274041737139","1"
"Limited","2017","West Germany","2477","0.173374936342955","0.166749535865155","0.180000336820755","2"
"Limited","2017","East Germany","504","0.153156794326254","0.140325121823648","0.165988466828861","2"
"Permanent","2017","West Germany","10065","0.826625063657045","0.819999663179245","0.833250464134845","1"
"Permanent","2017","East Germany","2522","0.846843205673746","0.834011533171139","0.859674878176352","1"
"Limited","2018","West Germany","2528","0.169688995068496","0.163048201812516","0.176329788324475","2"
"Limited","2018","East Germany","512","0.144744309067153","0.132197841638548","0.157290776495757","2"
"Permanent","2018","West Germany","9745","0.830311004931504","0.823670211675525","0.836951798187484","1"
"Permanent","2018","East Germany","2509","0.855255690932847","0.842709223504243","0.867802158361452","1"
"Limited","2019","West Germany","2429","0.163542660123347","0.156881989077086","0.170203331169608","2"
"Limited","2019","East Germany","476","0.136467324606544","0.123945188337156","0.148989460875932","2"
"Permanent","2019","West Germany","9416","0.836457339876653","0.829796668830392","0.843118010922914","1"
"Permanent","2019","East Germany","2411","0.863532675393456","0.851010539124068","0.876054811662844","1"
