"plb0037_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Limited","1985","Couple + C. LE and GT 16","general elemantary","95","0.44465497622776","0.385815902068158","0.503494050387363"
"Limited","1985","Couple + C. LE and GT 16","middle vocational","41","0.107040025092119","0.0747427519148342","0.139337298269403"
"Limited","1985","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Limited","1985","Couple + C. LE and GT 16","higher vocational","","","",""
"Limited","1985","Couple + C. LE and GT 16","higher education","5","","",""
"Permanent","1986","1-pers.-HH","in school","","","",""
"Permanent","1986","1-pers.-HH","inadequately","3","","",""
"Permanent","1986","1-pers.-HH","general elemantary","6","","",""
"Permanent","1986","1-pers.-HH","middle vocational","26","","",""
"Permanent","1986","1-pers.-HH","vocational + Abi","4","","",""
"Permanent","1986","1-pers.-HH","higher vocational","8","","",""
"Permanent","1986","1-pers.-HH","higher education","8","","",""
"Permanent","1986","(Married) couple without C. ","in school","","","",""
"Permanent","1986","(Married) couple without C. ","inadequately","4","","",""
"Permanent","1986","(Married) couple without C. ","general elemantary","20","","",""
"Permanent","1986","(Married) couple without C. ","middle vocational","99","0.904699642928599","0.850319724341155","0.959079561516044"
"Permanent","1986","(Married) couple without C. ","vocational + Abi","8","","",""
"Permanent","1986","(Married) couple without C. ","higher vocational","12","","",""
"Permanent","1986","(Married) couple without C. ","higher education","17","","",""
"Permanent","1986","Single parent ","in school","","","",""
"Permanent","1986","Single parent ","inadequately","","","",""
"Permanent","1986","Single parent ","general elemantary","9","","",""
"Permanent","1986","Single parent ","middle vocational","13","","",""
"Permanent","1986","Single parent ","vocational + Abi","","","",""
"Permanent","1986","Single parent ","higher vocational","3","","",""
"Permanent","1986","Single parent ","higher education","1","","",""
"Permanent","1986","Couple + C. LE 16 ","in school","","","",""
"Permanent","1986","Couple + C. LE 16 ","inadequately","4","","",""
"Permanent","1986","Couple + C. LE 16 ","general elemantary","24","","",""
"Permanent","1986","Couple + C. LE 16 ","middle vocational","91","0.954076548634528","0.912204776205982","0.995948321063074"
"Permanent","1986","Couple + C. LE 16 ","vocational + Abi","6","","",""
"Permanent","1986","Couple + C. LE 16 ","higher vocational","9","","",""
"Permanent","1986","Couple + C. LE 16 ","higher education","26","","",""
"Permanent","1986","Couple + C. GT 16 ","in school","","","",""
"Permanent","1986","Couple + C. GT 16 ","inadequately","5","","",""
"Permanent","1986","Couple + C. GT 16 ","general elemantary","24","","",""
"Permanent","1986","Couple + C. GT 16 ","middle vocational","68","0.732706065299639","0.640764364566829","0.824647766032449"
"Permanent","1986","Couple + C. GT 16 ","vocational + Abi","7","","",""
"Permanent","1986","Couple + C. GT 16 ","higher vocational","3","","",""
"Permanent","1986","Couple + C. GT 16 ","higher education","8","","",""
"Permanent","1986","Couple + C. LE and GT 16","in school","","","",""
"Permanent","1986","Couple + C. LE and GT 16","inadequately","2","","",""
"Permanent","1986","Couple + C. LE and GT 16","general elemantary","17","","",""
"Permanent","1986","Couple + C. LE and GT 16","middle vocational","46","0.772999559809608","0.666112517897329","0.879886601721887"
"Permanent","1986","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Permanent","1986","Couple + C. LE and GT 16","higher vocational","2","","",""
"Permanent","1986","Couple + C. LE and GT 16","higher education","2","","",""
"Limited","1986","1-pers.-HH","in school","","","",""
"Limited","1986","1-pers.-HH","inadequately","","","",""
"Limited","1986","1-pers.-HH","general elemantary","2","","",""
"Limited","1986","1-pers.-HH","middle vocational","5","","",""
"Limited","1986","1-pers.-HH","vocational + Abi","1","","",""
"Limited","1986","1-pers.-HH","higher vocational","","","",""
"Limited","1986","1-pers.-HH","higher education","7","","",""
"Limited","1986","(Married) couple without C. ","in school","","","",""
"Limited","1986","(Married) couple without C. ","inadequately","1","","",""
"Limited","1986","(Married) couple without C. ","general elemantary","7","","",""
"Limited","1986","(Married) couple without C. ","middle vocational","13","","",""
"Limited","1986","(Married) couple without C. ","vocational + Abi","","","",""
"Limited","1986","(Married) couple without C. ","higher vocational","2","","",""
"Limited","1986","(Married) couple without C. ","higher education","9","","",""
"Limited","1986","Single parent ","in school","1","","",""
"Limited","1986","Single parent ","inadequately","3","","",""
"Limited","1986","Single parent ","general elemantary","9","","",""
"Limited","1986","Single parent ","middle vocational","6","","",""
"Limited","1986","Single parent ","vocational + Abi","","","",""
"Limited","1986","Single parent ","higher vocational","","","",""
"Limited","1986","Single parent ","higher education","2","","",""
"Limited","1986","Couple + C. LE 16 ","in school","","","",""
"Limited","1986","Couple + C. LE 16 ","inadequately","1","","",""
"Limited","1986","Couple + C. LE 16 ","general elemantary","5","","",""
"Limited","1986","Couple + C. LE 16 ","middle vocational","5","","",""
"Limited","1986","Couple + C. LE 16 ","vocational + Abi","","","",""
"Limited","1986","Couple + C. LE 16 ","higher vocational","","","",""
"Limited","1986","Couple + C. LE 16 ","higher education","2","","",""
"Limited","1986","Couple + C. GT 16 ","in school","1","","",""
"Limited","1986","Couple + C. GT 16 ","inadequately","1","","",""
"Limited","1986","Couple + C. GT 16 ","general elemantary","45","0.666365198245294","0.555111265387848","0.77761913110274"
"Limited","1986","Couple + C. GT 16 ","middle vocational","21","","",""
"Limited","1986","Couple + C. GT 16 ","vocational + Abi","1","","",""
"Limited","1986","Couple + C. GT 16 ","higher vocational","","","",""
"Limited","1986","Couple + C. GT 16 ","higher education","4","","",""
"Limited","1986","Couple + C. LE and GT 16","in school","","","",""
"Limited","1986","Couple + C. LE and GT 16","inadequately","2","","",""
"Limited","1986","Couple + C. LE and GT 16","general elemantary","32","0.704070373445224","0.57626405964629","0.831876687244158"
"Limited","1986","Couple + C. LE and GT 16","middle vocational","13","","",""
"Limited","1986","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Limited","1986","Couple + C. LE and GT 16","higher vocational","1","","",""
"Limited","1986","Couple + C. LE and GT 16","higher education","","","",""
"Permanent","1987","1-pers.-HH","in school","","","",""
"Permanent","1987","1-pers.-HH","inadequately","2","","",""
"Permanent","1987","1-pers.-HH","general elemantary","9","","",""
"Permanent","1987","1-pers.-HH","middle vocational","31","0.841632907912816","0.722374044545818","0.960891771279813"
"Permanent","1987","1-pers.-HH","vocational + Abi","2","","",""
"Permanent","1987","1-pers.-HH","higher vocational","6","","",""
"Permanent","1987","1-pers.-HH","higher education","9","","",""
"Permanent","1987","(Married) couple without C. ","in school","","","",""
"Permanent","1987","(Married) couple without C. ","inadequately","1","","",""
"Permanent","1987","(Married) couple without C. ","general elemantary","19","","",""
"Permanent","1987","(Married) couple without C. ","middle vocational","115","0.827068295985567","0.764645023590242","0.889491568380892"
"Permanent","1987","(Married) couple without C. ","vocational + Abi","9","","",""
"Permanent","1987","(Married) couple without C. ","higher vocational","13","","",""
"Permanent","1987","(Married) couple without C. ","higher education","25","","",""
"Permanent","1987","Single parent ","in school","","","",""
"Permanent","1987","Single parent ","inadequately","2","","",""
"Permanent","1987","Single parent ","general elemantary","15","","",""
"Permanent","1987","Single parent ","middle vocational","26","","",""
"Permanent","1987","Single parent ","vocational + Abi","3","","",""
"Permanent","1987","Single parent ","higher vocational","1","","",""
"Permanent","1987","Single parent ","higher education","1","","",""
"Permanent","1987","Couple + C. LE 16 ","in school","","","",""
"Permanent","1987","Couple + C. LE 16 ","inadequately","9","","",""
"Permanent","1987","Couple + C. LE 16 ","general elemantary","36","0.821502912738749","0.708356217579731","0.934649607897766"
"Permanent","1987","Couple + C. LE 16 ","middle vocational","112","0.890647148145639","0.835937870304499","0.945356425986779"
"Permanent","1987","Couple + C. LE 16 ","vocational + Abi","8","","",""
"Permanent","1987","Couple + C. LE 16 ","higher vocational","12","","",""
"Permanent","1987","Couple + C. LE 16 ","higher education","19","","",""
"Permanent","1987","Couple + C. GT 16 ","in school","1","","",""
"Permanent","1987","Couple + C. GT 16 ","inadequately","8","","",""
"Permanent","1987","Couple + C. GT 16 ","general elemantary","26","","",""
"Permanent","1987","Couple + C. GT 16 ","middle vocational","86","0.650011311977328","0.567703568180661","0.732319055773996"
"Permanent","1987","Couple + C. GT 16 ","vocational + Abi","6","","",""
"Permanent","1987","Couple + C. GT 16 ","higher vocational","12","","",""
"Permanent","1987","Couple + C. GT 16 ","higher education","12","","",""
"Permanent","1987","Couple + C. LE and GT 16","in school","","","",""
"Permanent","1987","Couple + C. LE and GT 16","inadequately","7","","",""
"Permanent","1987","Couple + C. LE and GT 16","general elemantary","31","0.390893868727302","0.275760964347625","0.506026773106978"
"Permanent","1987","Couple + C. LE and GT 16","middle vocational","55","0.8097525728391","0.719715322123056","0.899789823555144"
"Permanent","1987","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Permanent","1987","Couple + C. LE and GT 16","higher vocational","6","","",""
"Permanent","1987","Couple + C. LE and GT 16","higher education","2","","",""
"Limited","1987","1-pers.-HH","in school","","","",""
"Limited","1987","1-pers.-HH","inadequately","","","",""
"Limited","1987","1-pers.-HH","general elemantary","5","","",""
"Limited","1987","1-pers.-HH","middle vocational","5","","",""
"Limited","1987","1-pers.-HH","vocational + Abi","4","","",""
"Limited","1987","1-pers.-HH","higher vocational","","","",""
"Limited","1987","1-pers.-HH","higher education","11","","",""
"Limited","1987","(Married) couple without C. ","in school","","","",""
"Limited","1987","(Married) couple without C. ","inadequately","3","","",""
"Limited","1987","(Married) couple without C. ","general elemantary","2","","",""
"Limited","1987","(Married) couple without C. ","middle vocational","26","","",""
"Limited","1987","(Married) couple without C. ","vocational + Abi","3","","",""
"Limited","1987","(Married) couple without C. ","higher vocational","3","","",""
"Limited","1987","(Married) couple without C. ","higher education","9","","",""
"Limited","1987","Single parent ","in school","","","",""
"Limited","1987","Single parent ","inadequately","1","","",""
"Limited","1987","Single parent ","general elemantary","13","","",""
"Limited","1987","Single parent ","middle vocational","8","","",""
"Limited","1987","Single parent ","vocational + Abi","","","",""
"Limited","1987","Single parent ","higher vocational","","","",""
"Limited","1987","Single parent ","higher education","","","",""
"Limited","1987","Couple + C. LE 16 ","in school","","","",""
"Limited","1987","Couple + C. LE 16 ","inadequately","","","",""
"Limited","1987","Couple + C. LE 16 ","general elemantary","8","","",""
"Limited","1987","Couple + C. LE 16 ","middle vocational","13","","",""
"Limited","1987","Couple + C. LE 16 ","vocational + Abi","5","","",""
"Limited","1987","Couple + C. LE 16 ","higher vocational","5","","",""
"Limited","1987","Couple + C. LE 16 ","higher education","7","","",""
"Limited","1987","Couple + C. GT 16 ","in school","1","","",""
"Limited","1987","Couple + C. GT 16 ","inadequately","2","","",""
"Limited","1987","Couple + C. GT 16 ","general elemantary","49","0.619196227087046","0.509300139506778","0.729092314667313"
"Limited","1987","Couple + C. GT 16 ","middle vocational","43","0.349988688022672","0.267680944226004","0.432296431819339"
"Limited","1987","Couple + C. GT 16 ","vocational + Abi","","","",""
"Limited","1987","Couple + C. GT 16 ","higher vocational","4","","",""
"Limited","1987","Couple + C. GT 16 ","higher education","1","","",""
"Limited","1987","Couple + C. LE and GT 16","in school","1","","",""
"Limited","1987","Couple + C. LE and GT 16","inadequately","4","","",""
"Limited","1987","Couple + C. LE and GT 16","general elemantary","38","0.609106131272699","0.493973226893022","0.724239035652375"
"Limited","1987","Couple + C. LE and GT 16","middle vocational","18","","",""
"Limited","1987","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Limited","1987","Couple + C. LE and GT 16","higher vocational","1","","",""
"Limited","1987","Couple + C. LE and GT 16","higher education","","","",""
"Permanent","1988","1-pers.-HH","in school","","","",""
"Permanent","1988","1-pers.-HH","inadequately","30","0.900690330348144","0.795409145755183","1.0059715149411"
"Permanent","1988","1-pers.-HH","general elemantary","66","0.883174768924447","0.810479004051134","0.955870533797761"
"Permanent","1988","1-pers.-HH","middle vocational","219","0.950617272286213","0.922555135459681","0.978679409112744"
"Permanent","1988","1-pers.-HH","vocational + Abi","19","","",""
"Permanent","1988","1-pers.-HH","higher vocational","19","","",""
"Permanent","1988","1-pers.-HH","higher education","55","0.839619118589272","0.751751643446671","0.927486593731873"
"Permanent","1988","(Married) couple without C. ","in school","","","",""
"Permanent","1988","(Married) couple without C. ","inadequately","40","1","1","1"
"Permanent","1988","(Married) couple without C. ","general elemantary","172","0.849329107346122","0.799375407201077","0.899282807491167"
"Permanent","1988","(Married) couple without C. ","middle vocational","607","0.960896827354199","0.94583200861336","0.975961646095039"
"Permanent","1988","(Married) couple without C. ","vocational + Abi","33","0.9773433460336","0.927324911097293","1.02736178096991"
"Permanent","1988","(Married) couple without C. ","higher vocational","81","0.960895860577376","0.919687232541056","1.0021044886137"
"Permanent","1988","(Married) couple without C. ","higher education","93","0.856919957925644","0.790261568394837","0.923578347456452"
"Permanent","1988","Single parent ","in school","1","","",""
"Permanent","1988","Single parent ","inadequately","12","","",""
"Permanent","1988","Single parent ","general elemantary","51","0.64200096202584","0.539478927230293","0.744522996821387"
"Permanent","1988","Single parent ","middle vocational","125","0.853142868077072","0.795529602341675","0.910756133812468"
"Permanent","1988","Single parent ","vocational + Abi","10","","",""
"Permanent","1988","Single parent ","higher vocational","12","","",""
"Permanent","1988","Single parent ","higher education","7","","",""
"Permanent","1988","Couple + C. LE 16 ","in school","","","",""
"Permanent","1988","Couple + C. LE 16 ","inadequately","89","0.787977567954701","0.708655169357413","0.867299966551989"
"Permanent","1988","Couple + C. LE 16 ","general elemantary","232","0.946528712501626","0.91824267119921","0.974814753804041"
"Permanent","1988","Couple + C. LE 16 ","middle vocational","661","0.965682020419916","0.952069214554524","0.979294826285309"
"Permanent","1988","Couple + C. LE 16 ","vocational + Abi","38","0.857302580903793","0.756227452921757","0.958377708885828"
"Permanent","1988","Couple + C. LE 16 ","higher vocational","84","0.958577494071983","0.916944412882229","1.00021057526174"
"Permanent","1988","Couple + C. LE 16 ","higher education","151","0.942458423276043","0.906708405013562","0.978208441538524"
"Permanent","1988","Couple + C. GT 16 ","in school","3","","",""
"Permanent","1988","Couple + C. GT 16 ","inadequately","56","0.823636382538904","0.727992888382794","0.919279876695015"
"Permanent","1988","Couple + C. GT 16 ","general elemantary","218","0.654674478835476","0.603834484222474","0.705514473448478"
"Permanent","1988","Couple + C. GT 16 ","middle vocational","554","0.888428776579795","0.8639217360919","0.912935817067691"
"Permanent","1988","Couple + C. GT 16 ","vocational + Abi","26","","",""
"Permanent","1988","Couple + C. GT 16 ","higher vocational","57","0.922851517325081","0.8569633502682","0.988739684381962"
"Permanent","1988","Couple + C. GT 16 ","higher education","77","0.975797196572244","0.941909100849139","1.00968529229535"
"Permanent","1988","Couple + C. LE and GT 16","in school","1","","",""
"Permanent","1988","Couple + C. LE and GT 16","inadequately","58","0.792679603590635","0.693361604588665","0.891997602592604"
"Permanent","1988","Couple + C. LE and GT 16","general elemantary","147","0.609523275702317","0.545492556123654","0.67355399528098"
"Permanent","1988","Couple + C. LE and GT 16","middle vocational","215","0.857810073646292","0.814255917874013","0.901364229418572"
"Permanent","1988","Couple + C. LE and GT 16","vocational + Abi","7","","",""
"Permanent","1988","Couple + C. LE and GT 16","higher vocational","26","","",""
"Permanent","1988","Couple + C. LE and GT 16","higher education","23","","",""
"Limited","1988","1-pers.-HH","in school","","","",""
"Limited","1988","1-pers.-HH","inadequately","1","","",""
"Limited","1988","1-pers.-HH","general elemantary","9","","",""
"Limited","1988","1-pers.-HH","middle vocational","10","","",""
"Limited","1988","1-pers.-HH","vocational + Abi","3","","",""
"Limited","1988","1-pers.-HH","higher vocational","2","","",""
"Limited","1988","1-pers.-HH","higher education","12","","",""
"Limited","1988","(Married) couple without C. ","in school","","","",""
"Limited","1988","(Married) couple without C. ","inadequately","","","",""
"Limited","1988","(Married) couple without C. ","general elemantary","25","","",""
"Limited","1988","(Married) couple without C. ","middle vocational","29","","",""
"Limited","1988","(Married) couple without C. ","vocational + Abi","1","","",""
"Limited","1988","(Married) couple without C. ","higher vocational","4","","",""
"Limited","1988","(Married) couple without C. ","higher education","13","","",""
"Limited","1988","Single parent ","in school","1","","",""
"Limited","1988","Single parent ","inadequately","4","","",""
"Limited","1988","Single parent ","general elemantary","33","0.35799903797416","0.255477003178613","0.460521072769707"
"Limited","1988","Single parent ","middle vocational","20","","",""
"Limited","1988","Single parent ","vocational + Abi","3","","",""
"Limited","1988","Single parent ","higher vocational","","","",""
"Limited","1988","Single parent ","higher education","","","",""
"Limited","1988","Couple + C. LE 16 ","in school","","","",""
"Limited","1988","Couple + C. LE 16 ","inadequately","13","","",""
"Limited","1988","Couple + C. LE 16 ","general elemantary","11","","",""
"Limited","1988","Couple + C. LE 16 ","middle vocational","26","","",""
"Limited","1988","Couple + C. LE 16 ","vocational + Abi","8","","",""
"Limited","1988","Couple + C. LE 16 ","higher vocational","4","","",""
"Limited","1988","Couple + C. LE 16 ","higher education","12","","",""
"Limited","1988","Couple + C. GT 16 ","in school","","","",""
"Limited","1988","Couple + C. GT 16 ","inadequately","5","","",""
"Limited","1988","Couple + C. GT 16 ","general elemantary","118","0.345325521164524","0.294485526551522","0.396165515777526"
"Limited","1988","Couple + C. GT 16 ","middle vocational","80","0.111571223420205","0.0870641829323094","0.1360782639081"
"Limited","1988","Couple + C. GT 16 ","vocational + Abi","6","","",""
"Limited","1988","Couple + C. GT 16 ","higher vocational","6","","",""
"Limited","1988","Couple + C. GT 16 ","higher education","2","","",""
"Limited","1988","Couple + C. LE and GT 16","in school","","","",""
"Limited","1988","Couple + C. LE and GT 16","inadequately","6","","",""
"Limited","1988","Couple + C. LE and GT 16","general elemantary","76","0.390476724297683","0.32644600471902","0.454507443876346"
"Limited","1988","Couple + C. LE and GT 16","middle vocational","32","0.142189926353708","0.098635770581428","0.185744082125987"
"Limited","1988","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"Limited","1988","Couple + C. LE and GT 16","higher vocational","","","",""
"Limited","1988","Couple + C. LE and GT 16","higher education","3","","",""
"Permanent","1989","1-pers.-HH","in school","","","",""
"Permanent","1989","1-pers.-HH","inadequately","3","","",""
"Permanent","1989","1-pers.-HH","general elemantary","10","","",""
"Permanent","1989","1-pers.-HH","middle vocational","38","0.800899894436255","0.691305619860651","0.910494169011859"
"Permanent","1989","1-pers.-HH","vocational + Abi","8","","",""
"Permanent","1989","1-pers.-HH","higher vocational","9","","",""
"Permanent","1989","1-pers.-HH","higher education","20","","",""
"Permanent","1989","(Married) couple without C. ","in school","","","",""
"Permanent","1989","(Married) couple without C. ","inadequately","3","","",""
"Permanent","1989","(Married) couple without C. ","general elemantary","18","","",""
"Permanent","1989","(Married) couple without C. ","middle vocational","55","0.819279713321269","0.729139490971394","0.909419935671144"
"Permanent","1989","(Married) couple without C. ","vocational + Abi","11","","",""
"Permanent","1989","(Married) couple without C. ","higher vocational","12","","",""
"Permanent","1989","(Married) couple without C. ","higher education","17","","",""
"Permanent","1989","Single parent ","in school","1","","",""
"Permanent","1989","Single parent ","inadequately","3","","",""
"Permanent","1989","Single parent ","general elemantary","6","","",""
"Permanent","1989","Single parent ","middle vocational","22","","",""
"Permanent","1989","Single parent ","vocational + Abi","","","",""
"Permanent","1989","Single parent ","higher vocational","2","","",""
"Permanent","1989","Single parent ","higher education","2","","",""
"Permanent","1989","Couple + C. LE 16 ","in school","1","","",""
"Permanent","1989","Couple + C. LE 16 ","inadequately","11","","",""
"Permanent","1989","Couple + C. LE 16 ","general elemantary","32","0.598854075704487","0.455650609205293","0.74205754220368"
"Permanent","1989","Couple + C. LE 16 ","middle vocational","75","0.813416060660352","0.734661146070435","0.89217097525027"
"Permanent","1989","Couple + C. LE 16 ","vocational + Abi","7","","",""
"Permanent","1989","Couple + C. LE 16 ","higher vocational","19","","",""
"Permanent","1989","Couple + C. LE 16 ","higher education","15","","",""
"Permanent","1989","Couple + C. GT 16 ","in school","2","","",""
"Permanent","1989","Couple + C. GT 16 ","inadequately","7","","",""
"Permanent","1989","Couple + C. GT 16 ","general elemantary","34","0.442417732548822","0.326066815501611","0.558768649596032"
"Permanent","1989","Couple + C. GT 16 ","middle vocational","75","0.731942015668656","0.645981162397302","0.817902868940009"
"Permanent","1989","Couple + C. GT 16 ","vocational + Abi","9","","",""
"Permanent","1989","Couple + C. GT 16 ","higher vocational","3","","",""
"Permanent","1989","Couple + C. GT 16 ","higher education","9","","",""
"Permanent","1989","Couple + C. LE and GT 16","in school","1","","",""
"Permanent","1989","Couple + C. LE and GT 16","inadequately","2","","",""
"Permanent","1989","Couple + C. LE and GT 16","general elemantary","23","","",""
"Permanent","1989","Couple + C. LE and GT 16","middle vocational","29","","",""
"Permanent","1989","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"Permanent","1989","Couple + C. LE and GT 16","higher vocational","2","","",""
"Permanent","1989","Couple + C. LE and GT 16","higher education","1","","",""
"Limited","1989","1-pers.-HH","in school","","","",""
"Limited","1989","1-pers.-HH","inadequately","1","","",""
"Limited","1989","1-pers.-HH","general elemantary","2","","",""
"Limited","1989","1-pers.-HH","middle vocational","13","","",""
"Limited","1989","1-pers.-HH","vocational + Abi","1","","",""
"Limited","1989","1-pers.-HH","higher vocational","2","","",""
"Limited","1989","1-pers.-HH","higher education","7","","",""
"Limited","1989","(Married) couple without C. ","in school","","","",""
"Limited","1989","(Married) couple without C. ","inadequately","","","",""
"Limited","1989","(Married) couple without C. ","general elemantary","5","","",""
"Limited","1989","(Married) couple without C. ","middle vocational","15","","",""
"Limited","1989","(Married) couple without C. ","vocational + Abi","1","","",""
"Limited","1989","(Married) couple without C. ","higher vocational","","","",""
"Limited","1989","(Married) couple without C. ","higher education","6","","",""
"Limited","1989","Single parent ","in school","","","",""
"Limited","1989","Single parent ","inadequately","","","",""
"Limited","1989","Single parent ","general elemantary","8","","",""
