"plb0037_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Permanent","1987","Not Employed","higher vocational","2","","",""
"Permanent","1987","Not Employed","higher education","3","","",""
"Permanent","1987","Employed","in school","","","",""
"Permanent","1987","Employed","inadequately","34","0.773225704726826","0.652216270698611","0.89423513875504"
"Permanent","1987","Employed","general elemantary","142","0.547354434864132","0.487425217035002","0.607283652693262"
"Permanent","1987","Employed","middle vocational","432","0.801272497030652","0.767708993983831","0.834836000077473"
"Permanent","1987","Employed","vocational + Abi","27","","",""
"Permanent","1987","Employed","higher vocational","51","0.802445034272354","0.704127848572602","0.900762219972106"
"Permanent","1987","Employed","higher education","70","0.760783886410465","0.675887717603681","0.845680055217248"
"Limited","1987","Not Employed","in school","1","","",""
"Limited","1987","Not Employed","inadequately","","","",""
"Limited","1987","Not Employed","general elemantary","7","","",""
"Limited","1987","Not Employed","middle vocational","12","","",""
"Limited","1987","Not Employed","vocational + Abi","1","","",""
"Limited","1987","Not Employed","higher vocational","1","","",""
"Limited","1987","Not Employed","higher education","5","","",""
"Limited","1987","Employed","in school","1","","",""
"Limited","1987","Employed","inadequately","12","","",""
"Limited","1987","Employed","general elemantary","123","0.452645565135868","0.392716347306738","0.512574782964998"
"Limited","1987","Employed","middle vocational","111","0.198727502969348","0.165163999922527","0.232291006016169"
"Limited","1987","Employed","vocational + Abi","12","","",""
"Limited","1987","Employed","higher vocational","12","","",""
"Limited","1987","Employed","higher education","27","","",""
"Permanent","1988","Not Employed","in school","2","","",""
"Permanent","1988","Not Employed","inadequately","2","","",""
"Permanent","1988","Not Employed","general elemantary","6","","",""
"Permanent","1988","Not Employed","middle vocational","17","","",""
"Permanent","1988","Not Employed","vocational + Abi","2","","",""
"Permanent","1988","Not Employed","higher vocational","3","","",""
"Permanent","1988","Not Employed","higher education","6","","",""
"Permanent","1988","Employed","in school","3","","",""
"Permanent","1988","Employed","inadequately","313","0.856799663830392","0.819346361631358","0.894252966029426"
"Permanent","1988","Employed","general elemantary","950","0.764134876200157","0.740341737416426","0.787928014983889"
"Permanent","1988","Employed","middle vocational","2473","0.932936102122131","0.923441246525649","0.942430957718614"
"Permanent","1988","Employed","vocational + Abi","137","0.867700660952446","0.814702345451154","0.920698976453739"
"Permanent","1988","Employed","higher vocational","283","0.953297416972544","0.929340848076364","0.977253985868725"
"Permanent","1988","Employed","higher education","418","0.896778890454719","0.869155175586774","0.924402605322664"
"Limited","1988","Not Employed","in school","","","",""
"Limited","1988","Not Employed","inadequately","7","","",""
"Limited","1988","Not Employed","general elemantary","19","","",""
"Limited","1988","Not Employed","middle vocational","19","","",""
"Limited","1988","Not Employed","vocational + Abi","3","","",""
"Limited","1988","Not Employed","higher vocational","1","","",""
"Limited","1988","Not Employed","higher education","1","","",""
"Limited","1988","Employed","in school","1","","",""
"Limited","1988","Employed","inadequately","23","","",""
"Limited","1988","Employed","general elemantary","273","0.235865123799843","0.212071985016111","0.259658262583574"
"Limited","1988","Employed","middle vocational","193","0.0670638978778689","0.0575690422813864","0.0765587534743514"
"Limited","1988","Employed","vocational + Abi","20","","",""
"Limited","1988","Employed","higher vocational","15","","",""
"Limited","1988","Employed","higher education","48","0.103221109545281","0.0755973946773357","0.130844824413226"
"Permanent","1989","Not Employed","in school","1","","",""
"Permanent","1989","Not Employed","inadequately","3","","",""
"Permanent","1989","Not Employed","general elemantary","11","","",""
"Permanent","1989","Not Employed","middle vocational","12","","",""
"Permanent","1989","Not Employed","vocational + Abi","1","","",""
"Permanent","1989","Not Employed","higher vocational","","","",""
"Permanent","1989","Not Employed","higher education","6","","",""
"Permanent","1989","Employed","in school","5","","",""
"Permanent","1989","Employed","inadequately","29","","",""
"Permanent","1989","Employed","general elemantary","123","0.577734340930821","0.511403536741951","0.644065145119691"
"Permanent","1989","Employed","middle vocational","300","0.798822247996108","0.758778679051583","0.838865816940632"
"Permanent","1989","Employed","vocational + Abi","36","0.874291433830551","0.77633515002024","0.972247717640861"
"Permanent","1989","Employed","higher vocational","48","0.884055451903004","0.798663659312958","0.969447244493049"
"Permanent","1989","Employed","higher education","60","0.816814346930146","0.732575388421243","0.901053305439049"
"Limited","1989","Not Employed","in school","","","",""
"Limited","1989","Not Employed","inadequately","2","","",""
"Limited","1989","Not Employed","general elemantary","9","","",""
"Limited","1989","Not Employed","middle vocational","16","","",""
"Limited","1989","Not Employed","vocational + Abi","1","","",""
"Limited","1989","Not Employed","higher vocational","1","","",""
"Limited","1989","Not Employed","higher education","1","","",""
"Limited","1989","Employed","in school","","","",""
"Limited","1989","Employed","inadequately","5","","",""
"Limited","1989","Employed","general elemantary","90","0.422265659069179","0.355934854880308","0.488596463258049"
"Limited","1989","Employed","middle vocational","85","0.201177752003892","0.161134183059368","0.241221320948417"
"Limited","1989","Employed","vocational + Abi","8","","",""
"Limited","1989","Employed","higher vocational","6","","",""
"Limited","1989","Employed","higher education","21","","",""
"Permanent","1990","Not Employed","in school","1","","",""
"Permanent","1990","Not Employed","inadequately","4","","",""
"Permanent","1990","Not Employed","general elemantary","10","","",""
"Permanent","1990","Not Employed","middle vocational","11","","",""
"Permanent","1990","Not Employed","vocational + Abi","","","",""
"Permanent","1990","Not Employed","higher vocational","1","","",""
"Permanent","1990","Not Employed","higher education","5","","",""
"Permanent","1990","Employed","in school","","","",""
"Permanent","1990","Employed","inadequately","27","","",""
"Permanent","1990","Employed","general elemantary","137","0.612910252395806","0.548546548525443","0.677273956266168"
"Permanent","1990","Employed","middle vocational","366","0.844118894936295","0.810225091881627","0.878012697990962"
"Permanent","1990","Employed","vocational + Abi","38","0.866501745573758","0.768215739015711","0.964787752131805"
"Permanent","1990","Employed","higher vocational","34","0.872705967486159","0.768100645014619","0.977311289957699"
"Permanent","1990","Employed","higher education","57","0.757483954649002","0.660483355434649","0.854484553863356"
"Limited","1990","Not Employed","in school","","","",""
"Limited","1990","Not Employed","inadequately","","","",""
"Limited","1990","Not Employed","general elemantary","9","","",""
"Limited","1990","Not Employed","middle vocational","10","","",""
"Limited","1990","Not Employed","vocational + Abi","","","",""
"Limited","1990","Not Employed","higher vocational","","","",""
"Limited","1990","Not Employed","higher education","3","","",""
"Limited","1990","Employed","in school","","","",""
"Limited","1990","Employed","inadequately","8","","",""
"Limited","1990","Employed","general elemantary","83","0.387089747604194","0.322726043733832","0.451453451474557"
"Limited","1990","Employed","middle vocational","74","0.155881105063705","0.121987302009038","0.189774908118373"
"Limited","1990","Employed","vocational + Abi","8","","",""
"Limited","1990","Employed","higher vocational","5","","",""
"Limited","1990","Employed","higher education","18","","",""
"Permanent","1991","Not Employed","in school","","","",""
"Permanent","1991","Not Employed","inadequately","8","","",""
"Permanent","1991","Not Employed","general elemantary","15","","",""
"Permanent","1991","Not Employed","middle vocational","24","","",""
"Permanent","1991","Not Employed","vocational + Abi","5","","",""
"Permanent","1991","Not Employed","higher vocational","","","",""
"Permanent","1991","Not Employed","higher education","3","","",""
"Permanent","1991","Employed","in school","1","","",""
"Permanent","1991","Employed","inadequately","32","0.766930146379573","0.639067289974645","0.894793002784502"
"Permanent","1991","Employed","general elemantary","138","0.669701059659143","0.604681481790658","0.734720637527628"
"Permanent","1991","Employed","middle vocational","338","0.827457674801526","0.791060419256633","0.863854930346418"
"Permanent","1991","Employed","vocational + Abi","37","0.760347028804878","0.64082515685015","0.879868900759606"
"Permanent","1991","Employed","higher vocational","40","0.933441551379607","0.859792541491248","1.00709056126797"
"Permanent","1991","Employed","higher education","57","0.712920862343168","0.612523508102532","0.813318216583804"
"Limited","1991","Not Employed","in school","","","",""
"Limited","1991","Not Employed","inadequately","1","","",""
"Limited","1991","Not Employed","general elemantary","9","","",""
"Limited","1991","Not Employed","middle vocational","7","","",""
"Limited","1991","Not Employed","vocational + Abi","1","","",""
"Limited","1991","Not Employed","higher vocational","","","",""
"Limited","1991","Not Employed","higher education","4","","",""
"Limited","1991","Employed","in school","","","",""
"Limited","1991","Employed","inadequately","10","","",""
"Limited","1991","Employed","general elemantary","63","0.330298940340857","0.265279362472372","0.395318518209342"
"Limited","1991","Employed","middle vocational","76","0.172542325198474","0.136145069653582","0.208939580743367"
"Limited","1991","Employed","vocational + Abi","12","","",""
"Limited","1991","Employed","higher vocational","4","","",""
"Limited","1991","Employed","higher education","21","","",""
"Permanent","1992","Not Employed","in school","","","",""
"Permanent","1992","Not Employed","inadequately","2","","",""
"Permanent","1992","Not Employed","general elemantary","8","","",""
"Permanent","1992","Not Employed","middle vocational","15","","",""
"Permanent","1992","Not Employed","vocational + Abi","2","","",""
"Permanent","1992","Not Employed","higher vocational","","","",""
"Permanent","1992","Not Employed","higher education","4","","",""
"Permanent","1992","Employed","in school","4","","",""
"Permanent","1992","Employed","inadequately","26","","",""
"Permanent","1992","Employed","general elemantary","155","0.708739723912482","0.650022138395433","0.767457309429532"
"Permanent","1992","Employed","middle vocational","630","0.778099370905936","0.749412883777403","0.806785858034469"
"Permanent","1992","Employed","vocational + Abi","35","0.783073022011008","0.665242696836336","0.900903347185681"
"Permanent","1992","Employed","higher vocational","75","0.859239922500335","0.787786280927821","0.930693564072849"
"Permanent","1992","Employed","higher education","239","0.755849947026257","0.70779643784392","0.803903456208595"
"Limited","1992","Not Employed","in school","","","",""
"Limited","1992","Not Employed","inadequately","1","","",""
"Limited","1992","Not Employed","general elemantary","6","","",""
"Limited","1992","Not Employed","middle vocational","21","","",""
"Limited","1992","Not Employed","vocational + Abi","1","","",""
"Limited","1992","Not Employed","higher vocational","","","",""
"Limited","1992","Not Employed","higher education","6","","",""
"Limited","1992","Employed","in school","","","",""
"Limited","1992","Employed","inadequately","3","","",""
"Limited","1992","Employed","general elemantary","75","0.291260276087518","0.232542690570468","0.349977861604567"
"Limited","1992","Employed","middle vocational","176","0.221900629094064","0.193214141965531","0.250587116222597"
"Limited","1992","Employed","vocational + Abi","12","","",""
"Limited","1992","Employed","higher vocational","16","","",""
"Limited","1992","Employed","higher education","68","0.244150052973743","0.196096543791405","0.29220356215608"
"Permanent","1993","Not Employed","in school","","","",""
"Permanent","1993","Not Employed","inadequately","1","","",""
"Permanent","1993","Not Employed","general elemantary","13","","",""
"Permanent","1993","Not Employed","middle vocational","25","","",""
"Permanent","1993","Not Employed","vocational + Abi","1","","",""
"Permanent","1993","Not Employed","higher vocational","2","","",""
"Permanent","1993","Not Employed","higher education","11","","",""
"Permanent","1993","Employed","in school","1","","",""
"Permanent","1993","Employed","inadequately","15","","",""
"Permanent","1993","Employed","general elemantary","130","0.665369588942369","0.598625677585369","0.73211350029937"
"Permanent","1993","Employed","middle vocational","532","0.784604779502535","0.753546022941376","0.815663536063695"
"Permanent","1993","Employed","vocational + Abi","46","0.856238122805047","0.762660855452266","0.949815390157827"
"Permanent","1993","Employed","higher vocational","66","0.906660170264313","0.840822685592632","0.972497654935994"
"Permanent","1993","Employed","higher education","193","0.759696084726712","0.706303504982672","0.813088664470752"
"Limited","1993","Not Employed","in school","","","",""
"Limited","1993","Not Employed","inadequately","1","","",""
"Limited","1993","Not Employed","general elemantary","6","","",""
"Limited","1993","Not Employed","middle vocational","13","","",""
"Limited","1993","Not Employed","vocational + Abi","","","",""
"Limited","1993","Not Employed","higher vocational","1","","",""
"Limited","1993","Not Employed","higher education","7","","",""
"Limited","1993","Employed","in school","","","",""
"Limited","1993","Employed","inadequately","7","","",""
"Limited","1993","Employed","general elemantary","62","0.334630411057631","0.26788649970063","0.401374322414631"
"Limited","1993","Employed","middle vocational","141","0.215395220497465","0.184336463936305","0.246453977058624"
"Limited","1993","Employed","vocational + Abi","8","","",""
"Limited","1993","Employed","higher vocational","9","","",""
"Limited","1993","Employed","higher education","53","0.240303915273288","0.186911335529248","0.293696495017328"
"Permanent","1994","Not Employed","in school","1","","",""
"Permanent","1994","Not Employed","inadequately","3","","",""
"Permanent","1994","Not Employed","general elemantary","9","","",""
"Permanent","1994","Not Employed","middle vocational","21","","",""
"Permanent","1994","Not Employed","vocational + Abi","1","","",""
"Permanent","1994","Not Employed","higher vocational","1","","",""
"Permanent","1994","Not Employed","higher education","6","","",""
"Permanent","1994","Employed","in school","2","","",""
"Permanent","1994","Employed","inadequately","14","","",""
"Permanent","1994","Employed","general elemantary","86","0.432702003529082","0.360523332490215","0.504880674567949"
"Permanent","1994","Employed","middle vocational","444","0.754165248573725","0.719798034289728","0.788532462857723"
"Permanent","1994","Employed","vocational + Abi","41","0.676500860947543","0.553975830549323","0.799025891345763"
"Permanent","1994","Employed","higher vocational","62","0.905686621168104","0.837704526048635","0.973668716287573"
"Permanent","1994","Employed","higher education","120","0.724384308816973","0.658558236212183","0.790210381421764"
"Limited","1994","Not Employed","in school","","","",""
"Limited","1994","Not Employed","inadequately","3","","",""
"Limited","1994","Not Employed","general elemantary","8","","",""
"Limited","1994","Not Employed","middle vocational","22","","",""
"Limited","1994","Not Employed","vocational + Abi","3","","",""
"Limited","1994","Not Employed","higher vocational","5","","",""
"Limited","1994","Not Employed","higher education","8","","",""
"Limited","1994","Employed","in school","3","","",""
"Limited","1994","Employed","inadequately","7","","",""
"Limited","1994","Employed","general elemantary","95","0.567297996470917","0.495119325432051","0.639476667509784"
"Limited","1994","Employed","middle vocational","159","0.245834751426275","0.211467537142277","0.280201965710272"
"Limited","1994","Employed","vocational + Abi","15","","",""
"Limited","1994","Employed","higher vocational","9","","",""
"Limited","1994","Employed","higher education","57","0.275615691183027","0.209789618578236","0.341441763787817"
"Permanent","1995","Not Employed","in school","2","","",""
"Permanent","1995","Not Employed","inadequately","1","","",""
"Permanent","1995","Not Employed","general elemantary","20","","",""
"Permanent","1995","Not Employed","middle vocational","49","0.59246200696129","0.490375723885843","0.694548290036737"
"Permanent","1995","Not Employed","vocational + Abi","3","","",""
"Permanent","1995","Not Employed","higher vocational","6","","",""
"Permanent","1995","Not Employed","higher education","10","","",""
"Permanent","1995","Employed","in school","3","","",""
"Permanent","1995","Employed","inadequately","204","0.877063823434214","0.834347820037842","0.919779826830586"
"Permanent","1995","Employed","general elemantary","784","0.750293645575806","0.724137686306988","0.776449604844624"
"Permanent","1995","Employed","middle vocational","3378","0.91056009654053","0.901403049724785","0.919717143356275"
"Permanent","1995","Employed","vocational + Abi","247","0.861153668455332","0.820359218397825","0.90194811851284"
"Permanent","1995","Employed","higher vocational","426","0.976131031491106","0.961868630644238","0.990393432337975"
"Permanent","1995","Employed","higher education","1043","0.879688804633676","0.861095268867079","0.898282340400272"
"Limited","1995","Not Employed","in school","1","","",""
"Limited","1995","Not Employed","inadequately","","","",""
"Limited","1995","Not Employed","general elemantary","18","","",""
"Limited","1995","Not Employed","middle vocational","40","0.40753799303871","0.305451709963263","0.509624276114157"
"Limited","1995","Not Employed","vocational + Abi","1","","",""
"Limited","1995","Not Employed","higher vocational","3","","",""
"Limited","1995","Not Employed","higher education","7","","",""
"Limited","1995","Employed","in school","4","","",""
"Limited","1995","Employed","inadequately","23","","",""
"Limited","1995","Employed","general elemantary","268","0.249706354424194","0.223550395155376","0.275862313693012"
"Limited","1995","Employed","middle vocational","353","0.0894399034594701","0.0802828566437253","0.0985969502752148"
"Limited","1995","Employed","vocational + Abi","29","","",""
"Limited","1995","Employed","higher vocational","14","","",""
"Limited","1995","Employed","higher education","133","0.120311195366324","0.101717659599728","0.138904731132921"
"Permanent","1996","Not Employed","in school","3","","",""
"Permanent","1996","Not Employed","inadequately","2","","",""
"Permanent","1996","Not Employed","general elemantary","9","","",""
"Permanent","1996","Not Employed","middle vocational","42","0.594168167459931","0.482286230602832","0.70605010431703"
"Permanent","1996","Not Employed","vocational + Abi","3","","",""
"Permanent","1996","Not Employed","higher vocational","4","","",""
"Permanent","1996","Not Employed","higher education","7","","",""
"Permanent","1996","Employed","in school","3","","",""
"Permanent","1996","Employed","inadequately","184","0.816807092056059","0.763594532371095","0.870019651741023"
"Permanent","1996","Employed","general elemantary","718","0.743124797282814","0.71582606310921","0.770423531456418"
"Permanent","1996","Employed","middle vocational","3332","0.916456984686911","0.907482824394741","0.925431144979082"
"Permanent","1996","Employed","vocational + Abi","252","0.894424098554109","0.858494772070429","0.93035342503779"
"Permanent","1996","Employed","higher vocational","429","0.958160138622462","0.939619561343717","0.976700715901206"
"Permanent","1996","Employed","higher education","1037","0.893427102384301","0.875577436330739","0.911276768437862"
"Limited","1996","Not Employed","in school","","","",""
"Limited","1996","Not Employed","inadequately","1","","",""
"Limited","1996","Not Employed","general elemantary","20","","",""
"Limited","1996","Not Employed","middle vocational","32","0.405831832540069","0.29394989568297","0.517713769397168"
"Limited","1996","Not Employed","vocational + Abi","3","","",""
"Limited","1996","Not Employed","higher vocational","2","","",""
"Limited","1996","Not Employed","higher education","7","","",""
"Limited","1996","Employed","in school","5","","",""
"Limited","1996","Employed","inadequately","19","","",""
"Limited","1996","Employed","general elemantary","266","0.256875202717186","0.229576468543582","0.28417393689079"
"Limited","1996","Employed","middle vocational","320","0.0835430153130886","0.0745688550209178","0.0925171756052594"
"Limited","1996","Employed","vocational + Abi","29","","",""
"Limited","1996","Employed","higher vocational","19","","",""
"Limited","1996","Employed","higher education","111","0.106572897615699","0.0887232315621378","0.124422563669261"
"Permanent","1997","Not Employed","in school","","","",""
"Permanent","1997","Not Employed","inadequately","1","","",""
"Permanent","1997","Not Employed","general elemantary","8","","",""
"Permanent","1997","Not Employed","middle vocational","29","","",""
"Permanent","1997","Not Employed","vocational + Abi","3","","",""
"Permanent","1997","Not Employed","higher vocational","1","","",""
"Permanent","1997","Not Employed","higher education","4","","",""
"Permanent","1997","Employed","in school","5","","",""
"Permanent","1997","Employed","inadequately","165","0.900612742529902","0.856784306604996","0.944441178454808"
"Permanent","1997","Employed","general elemantary","637","0.688279261611537","0.65873131646721","0.717827206755865"
"Permanent","1997","Employed","middle vocational","3158","0.909045167336465","0.899497118347104","0.918593216325826"
"Permanent","1997","Employed","vocational + Abi","247","0.87177566138554","0.832473783955185","0.911077538815895"
"Permanent","1997","Employed","higher vocational","423","0.957920558080605","0.939224675987469","0.976616440173741"
"Permanent","1997","Employed","higher education","1030","0.86784863026633","0.848402062831061","0.887295197701599"
"Limited","1997","Not Employed","in school","2","","",""
"Limited","1997","Not Employed","inadequately","4","","",""
"Limited","1997","Not Employed","general elemantary","17","","",""
"Limited","1997","Not Employed","middle vocational","37","0.399458819631527","0.281295270447872","0.517622368815182"
"Limited","1997","Not Employed","vocational + Abi","2","","",""
"Limited","1997","Not Employed","higher vocational","2","","",""
"Limited","1997","Not Employed","higher education","8","","",""
"Limited","1997","Employed","in school","5","","",""
"Limited","1997","Employed","inadequately","14","","",""
"Limited","1997","Employed","general elemantary","307","0.311720738388463","0.282172793244135","0.34126868353279"
"Limited","1997","Employed","middle vocational","326","0.0909548326635347","0.0814067836741736","0.100502881652896"
"Limited","1997","Employed","vocational + Abi","31","0.12822433861446","0.0889224611841049","0.167526216044815"
"Limited","1997","Employed","higher vocational","20","","",""
"Limited","1997","Employed","higher education","135","0.13215136973367","0.112704802298401","0.151597937168939"
"Permanent","1998","Not Employed","in school","1","","",""
"Permanent","1998","Not Employed","inadequately","2","","",""
"Permanent","1998","Not Employed","general elemantary","8","","",""
"Permanent","1998","Not Employed","middle vocational","21","","",""
"Permanent","1998","Not Employed","vocational + Abi","6","","",""
"Permanent","1998","Not Employed","higher vocational","4","","",""
"Permanent","1998","Not Employed","higher education","10","","",""
"Permanent","1998","Employed","in school","11","","",""
"Permanent","1998","Employed","inadequately","155","0.865257692478728","0.814955584790202","0.915559800167254"
"Permanent","1998","Employed","general elemantary","665","0.700236184803656","0.671668075612978","0.728804293994334"
"Permanent","1998","Employed","middle vocational","3414","0.9061256838854","0.89682071861666","0.915430649154141"
"Permanent","1998","Employed","vocational + Abi","286","0.897685219013773","0.864270656737632","0.931099781289913"
"Permanent","1998","Employed","higher vocational","460","0.931032413887461","0.908618780787766","0.953446046987156"
"Permanent","1998","Employed","higher education","1125","0.890381538268982","0.873034753308881","0.907728323229082"
"Limited","1998","Not Employed","in school","","","",""
"Limited","1998","Not Employed","inadequately","1","","",""
"Limited","1998","Not Employed","general elemantary","21","","",""
"Limited","1998","Not Employed","middle vocational","30","0.550185013667229","0.413653048409785","0.686716978924673"
"Limited","1998","Not Employed","vocational + Abi","2","","",""
"Limited","1998","Not Employed","higher vocational","3","","",""
"Limited","1998","Not Employed","higher education","14","","",""
"Limited","1998","Employed","in school","2","","",""
"Limited","1998","Employed","inadequately","22","","",""
"Limited","1998","Employed","general elemantary","323","0.299763815196344","0.271195706005666","0.328331924387022"
"Limited","1998","Employed","middle vocational","360","0.0938743161145996","0.0845693508458588","0.10317928138334"
"Limited","1998","Employed","vocational + Abi","30","0.102314780986227","0.0689002187100867","0.135729343262368"
"Limited","1998","Employed","higher vocational","31","0.0689675861125391","0.0465539530128441","0.091381219212234"
"Limited","1998","Employed","higher education","121","0.109618461731018","0.0922716767709179","0.126965246691119"
"Permanent","1999","Not Employed","in school","3","","",""
"Permanent","1999","Not Employed","inadequately","5","","",""
"Permanent","1999","Not Employed","general elemantary","14","","",""
"Permanent","1999","Not Employed","middle vocational","34","0.559009890652099","0.433378942813596","0.684640838490602"
"Permanent","1999","Not Employed","vocational + Abi","2","","",""
"Permanent","1999","Not Employed","higher vocational","3","","",""
"Permanent","1999","Not Employed","higher education","5","","",""
"Permanent","1999","Employed","in school","19","","",""
"Permanent","1999","Employed","inadequately","151","0.789200566208305","0.728067180326975","0.850333952089635"
"Permanent","1999","Employed","general elemantary","646","0.676541476884365","0.647416353290952","0.705666600477778"
"Permanent","1999","Employed","middle vocational","3391","0.895853988689671","0.886163917946616","0.905544059432726"
"Permanent","1999","Employed","vocational + Abi","292","0.922927440253346","0.893705653129563","0.952149227377129"
"Permanent","1999","Employed","higher vocational","458","0.945092650040673","0.92494335855509","0.965241941526256"
"Permanent","1999","Employed","higher education","1127","0.887001239569636","0.869575652544684","0.904426826594588"
"Limited","1999","Not Employed","in school","1","","",""
"Limited","1999","Not Employed","inadequately","","","",""
"Limited","1999","Not Employed","general elemantary","8","","",""
"Limited","1999","Not Employed","middle vocational","26","","",""
"Limited","1999","Not Employed","vocational + Abi","4","","",""
"Limited","1999","Not Employed","higher vocational","","","",""
"Limited","1999","Not Employed","higher education","15","","",""
"Limited","1999","Employed","in school","3","","",""
"Limited","1999","Employed","inadequately","20","","",""
"Limited","1999","Employed","general elemantary","345","0.323458523115635","0.294333399522222","0.352583646709048"
"Limited","1999","Employed","middle vocational","426","0.104146011310329","0.094455940567274","0.113836082053384"
"Limited","1999","Employed","vocational + Abi","28","","",""
"Limited","1999","Employed","higher vocational","33","0.0549073499593266","0.0347580584737436","0.0750566414449095"
"Limited","1999","Employed","higher education","141","0.112998760430364","0.0955731734054125","0.130424347455316"
"Permanent","2000","Not Employed","in school","2","","",""
"Permanent","2000","Not Employed","inadequately","4","","",""
"Permanent","2000","Not Employed","general elemantary","21","","",""
"Permanent","2000","Not Employed","middle vocational","50","0.501302907345317","0.404270560604166","0.598335254086468"
"Permanent","2000","Not Employed","vocational + Abi","6","","",""
"Permanent","2000","Not Employed","higher vocational","3","","",""
"Permanent","2000","Not Employed","higher education","9","","",""
"Permanent","2000","Employed","in school","14","","",""
"Permanent","2000","Employed","inadequately","94","0.800507301040363","0.727469898051794","0.873544704028933"
"Permanent","2000","Employed","general elemantary","722","0.617112309825793","0.589936033085459","0.644288586566127"
"Permanent","2000","Employed","middle vocational","5520","0.895494242342414","0.88786412673707","0.903124357947758"
"Permanent","2000","Employed","vocational + Abi","570","0.874602621913307","0.849182717763985","0.900022526062629"
"Permanent","2000","Employed","higher vocational","962","0.951062055007521","0.937828927060274","0.964295182954767"
"Permanent","2000","Employed","higher education","2057","0.884123177741113","0.871027999246094","0.897218356236133"
"Limited","2000","Not Employed","in school","2","","",""
"Limited","2000","Not Employed","inadequately","3","","",""
"Limited","2000","Not Employed","general elemantary","30","0.539343723554654","0.402544285327393","0.676143161781914"
