"plb0037_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","indirect migration background","(0) in school","","","",""
"Permanent","1985","indirect migration background","(1a) inadequately completed","2","","",""
"Permanent","1985","indirect migration background","(1b) general elementary school","11","","",""
"Permanent","1985","indirect migration background","(1c) basic vocational qualification","21","","",""
"Permanent","1985","indirect migration background","(2b) intermediate general qualification","","","",""
"Permanent","1985","indirect migration background","(2a) intermediate vocational","5","","",""
"Permanent","1985","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Permanent","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Permanent","1985","indirect migration background","(3a) lower tertiary education","1","","",""
"Permanent","1985","indirect migration background","(3b) higher tertiary education","1","","",""
"Limited","1985","no migration background","(0) in school","1","","",""
"Limited","1985","no migration background","(1a) inadequately completed","3","","",""
"Limited","1985","no migration background","(1b) general elementary school","115","0.202023667002228","0.169319360859136","0.23472797314532"
"Limited","1985","no migration background","(1c) basic vocational qualification","81","0.0468784786907771","0.0367222534777921","0.0570347039037622"
"Limited","1985","no migration background","(2b) intermediate general qualification","97","0.560976109381405","0.487238385632516","0.634713833130293"
"Limited","1985","no migration background","(2a) intermediate vocational","57","0.081306449642063","0.0617726376624766","0.100840261621649"
"Limited","1985","no migration background","(2c_gen) general maturity certificate","54","0.661277120273965","0.559459472489848","0.763094768058081"
"Limited","1985","no migration background","(2c_voc) vocational maturity certificate","11","","",""
"Limited","1985","no migration background","(3a) lower tertiary education","9","","",""
"Limited","1985","no migration background","(3b) higher tertiary education","49","0.155486462307971","0.113563038663397","0.197409885952546"
"Limited","1985","direct migration background","(0) in school","","","",""
"Limited","1985","direct migration background","(1a) inadequately completed","24","","",""
"Limited","1985","direct migration background","(1b) general elementary school","59","0.0949883709703017","0.0705734395696892","0.119403302370914"
"Limited","1985","direct migration background","(1c) basic vocational qualification","42","0.0923118774293813","0.066307783098122","0.118315971760641"
"Limited","1985","direct migration background","(2b) intermediate general qualification","14","","",""
"Limited","1985","direct migration background","(2a) intermediate vocational","6","","",""
"Limited","1985","direct migration background","(2c_gen) general maturity certificate","13","","",""
"Limited","1985","direct migration background","(2c_voc) vocational maturity certificate","8","","",""
"Limited","1985","direct migration background","(3a) lower tertiary education","2","","",""
"Limited","1985","direct migration background","(3b) higher tertiary education","11","","",""
"Limited","1985","indirect migration background","(0) in school","","","",""
"Limited","1985","indirect migration background","(1a) inadequately completed","","","",""
"Limited","1985","indirect migration background","(1b) general elementary school","7","","",""
"Limited","1985","indirect migration background","(1c) basic vocational qualification","3","","",""
"Limited","1985","indirect migration background","(2b) intermediate general qualification","7","","",""
"Limited","1985","indirect migration background","(2a) intermediate vocational","1","","",""
"Limited","1985","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Limited","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Limited","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Limited","1985","indirect migration background","(3b) higher tertiary education","","","",""
"Permanent","1986","no migration background","(0) in school","","","",""
"Permanent","1986","no migration background","(1a) inadequately completed","7","","",""
"Permanent","1986","no migration background","(1b) general elementary school","44","0.55384570081849","0.444917574568837","0.662773827068142"
"Permanent","1986","no migration background","(1c) basic vocational qualification","194","0.884118474631837","0.841531130351577","0.926705818912097"
"Permanent","1986","no migration background","(2b) intermediate general qualification","17","","",""
"Permanent","1986","no migration background","(2a) intermediate vocational","110","0.855609217574137","0.794479316533688","0.916739118614586"
"Permanent","1986","no migration background","(2c_gen) general maturity certificate","12","","",""
"Permanent","1986","no migration background","(2c_voc) vocational maturity certificate","33","0.86998919589658","0.761622986845012","0.978355404948148"
"Permanent","1986","no migration background","(3a) lower tertiary education","17","","",""
"Permanent","1986","no migration background","(3b) higher tertiary education","40","0.682796987906857","0.565039938428148","0.800554037385567"
"Permanent","1986","direct migration background","(0) in school","","","",""
"Permanent","1986","direct migration background","(1a) inadequately completed","18","","",""
"Permanent","1986","direct migration background","(1b) general elementary school","43","0.85499988011133","0.766640963736022","0.943358796486639"
"Permanent","1986","direct migration background","(1c) basic vocational qualification","47","0.780680555886829","0.672305501834847","0.88905560993881"
"Permanent","1986","direct migration background","(2b) intermediate general qualification","1","","",""
"Permanent","1986","direct migration background","(2a) intermediate vocational","4","","",""
"Permanent","1986","direct migration background","(2c_gen) general maturity certificate","7","","",""
"Permanent","1986","direct migration background","(2c_voc) vocational maturity certificate","5","","",""
"Permanent","1986","direct migration background","(3a) lower tertiary education","4","","",""
"Permanent","1986","direct migration background","(3b) higher tertiary education","3","","",""
"Permanent","1986","indirect migration background","(0) in school","","","",""
"Permanent","1986","indirect migration background","(1a) inadequately completed","2","","",""
"Permanent","1986","indirect migration background","(1b) general elementary school","2","","",""
"Permanent","1986","indirect migration background","(1c) basic vocational qualification","6","","",""
"Permanent","1986","indirect migration background","(2b) intermediate general qualification","","","",""
"Permanent","1986","indirect migration background","(2a) intermediate vocational","1","","",""
"Permanent","1986","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Permanent","1986","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Permanent","1986","indirect migration background","(3a) lower tertiary education","","","",""
"Permanent","1986","indirect migration background","(3b) higher tertiary education","","","",""
"Limited","1986","no migration background","(0) in school","2","","",""
"Limited","1986","no migration background","(1a) inadequately completed","1","","",""
"Limited","1986","no migration background","(1b) general elementary school","36","0.44615429918151","0.337226172931858","0.555082425431163"
"Limited","1986","no migration background","(1c) basic vocational qualification","23","","",""
"Limited","1986","no migration background","(2b) intermediate general qualification","42","0.740214106515551","0.628319656406378","0.852108556624724"
"Limited","1986","no migration background","(2a) intermediate vocational","17","","",""
"Limited","1986","no migration background","(2c_gen) general maturity certificate","14","","",""
"Limited","1986","no migration background","(2c_voc) vocational maturity certificate","4","","",""
"Limited","1986","no migration background","(3a) lower tertiary education","4","","",""
"Limited","1986","no migration background","(3b) higher tertiary education","20","","",""
"Limited","1986","direct migration background","(0) in school","","","",""
"Limited","1986","direct migration background","(1a) inadequately completed","5","","",""
"Limited","1986","direct migration background","(1b) general elementary school","18","","",""
"Limited","1986","direct migration background","(1c) basic vocational qualification","9","","",""
"Limited","1986","direct migration background","(2b) intermediate general qualification","6","","",""
"Limited","1986","direct migration background","(2a) intermediate vocational","3","","",""
"Limited","1986","direct migration background","(2c_gen) general maturity certificate","1","","",""
"Limited","1986","direct migration background","(2c_voc) vocational maturity certificate","1","","",""
"Limited","1986","direct migration background","(3a) lower tertiary education","","","",""
"Limited","1986","direct migration background","(3b) higher tertiary education","1","","",""
"Limited","1986","indirect migration background","(0) in school","","","",""
"Limited","1986","indirect migration background","(1a) inadequately completed","","","",""
"Limited","1986","indirect migration background","(1b) general elementary school","2","","",""
"Limited","1986","indirect migration background","(1c) basic vocational qualification","3","","",""
"Limited","1986","indirect migration background","(2b) intermediate general qualification","2","","",""
"Limited","1986","indirect migration background","(2a) intermediate vocational","","","",""
"Limited","1986","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Limited","1986","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Limited","1986","indirect migration background","(3a) lower tertiary education","","","",""
"Limited","1986","indirect migration background","(3b) higher tertiary education","","","",""
"Permanent","1987","no migration background","(0) in school","1","","",""
"Permanent","1987","no migration background","(1a) inadequately completed","5","","",""
"Permanent","1987","no migration background","(1b) general elementary school","67","0.658830746857868","0.57141679768665","0.746244696029085"
"Permanent","1987","no migration background","(1c) basic vocational qualification","251","0.831687654144571","0.789490541673401","0.873884766615742"
"Permanent","1987","no migration background","(2b) intermediate general qualification","25","","",""
"Permanent","1987","no migration background","(2a) intermediate vocational","135","0.822777030426311","0.764512103908075","0.881041956944547"
"Permanent","1987","no migration background","(2c_gen) general maturity certificate","12","","",""
"Permanent","1987","no migration background","(2c_voc) vocational maturity certificate","32","0.762877612000926","0.632689935037954","0.893065288963899"
"Permanent","1987","no migration background","(3a) lower tertiary education","24","","",""
"Permanent","1987","no migration background","(3b) higher tertiary education","43","0.692695988210164","0.581386656728194","0.804005319692134"
"Permanent","1987","direct migration background","(0) in school","","","",""
"Permanent","1987","direct migration background","(1a) inadequately completed","31","0.746165605876761","0.61295186939411","0.879379342359413"
"Permanent","1987","direct migration background","(1b) general elementary school","57","0.604598313127522","0.503018873621674","0.70617775263337"
"Permanent","1987","direct migration background","(1c) basic vocational qualification","51","0.740795439338278","0.636644281107347","0.844946597569209"
"Permanent","1987","direct migration background","(2b) intermediate general qualification","2","","",""
"Permanent","1987","direct migration background","(2a) intermediate vocational","10","","",""
"Permanent","1987","direct migration background","(2c_gen) general maturity certificate","14","","",""
"Permanent","1987","direct migration background","(2c_voc) vocational maturity certificate","11","","",""
"Permanent","1987","direct migration background","(3a) lower tertiary education","2","","",""
"Permanent","1987","direct migration background","(3b) higher tertiary education","4","","",""
"Permanent","1987","indirect migration background","(0) in school","","","",""
"Permanent","1987","indirect migration background","(1a) inadequately completed","1","","",""
"Permanent","1987","indirect migration background","(1b) general elementary school","6","","",""
"Permanent","1987","indirect migration background","(1c) basic vocational qualification","7","","",""
"Permanent","1987","indirect migration background","(2b) intermediate general qualification","","","",""
"Permanent","1987","indirect migration background","(2a) intermediate vocational","1","","",""
"Permanent","1987","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Permanent","1987","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Permanent","1987","indirect migration background","(3a) lower tertiary education","","","",""
"Permanent","1987","indirect migration background","(3b) higher tertiary education","","","",""
"Limited","1987","no migration background","(0) in school","1","","",""
"Limited","1987","no migration background","(1a) inadequately completed","","","",""
"Limited","1987","no migration background","(1b) general elementary school","46","0.341169253142132","0.253755303970915","0.42858320231335"
"Limited","1987","no migration background","(1c) basic vocational qualification","51","0.168312345855429","0.126115233384258","0.210509458326599"
"Limited","1987","no migration background","(2b) intermediate general qualification","43","0.642850398944156","0.528963523437852","0.75673727445046"
"Limited","1987","no migration background","(2a) intermediate vocational","30","0.177222969573689","0.118958043055453","0.235487896091925"
"Limited","1987","no migration background","(2c_gen) general maturity certificate","21","","",""
"Limited","1987","no migration background","(2c_voc) vocational maturity certificate","9","","",""
"Limited","1987","no migration background","(3a) lower tertiary education","6","","",""
"Limited","1987","no migration background","(3b) higher tertiary education","23","","",""
"Limited","1987","direct migration background","(0) in school","1","","",""
"Limited","1987","direct migration background","(1a) inadequately completed","10","","",""
"Limited","1987","direct migration background","(1b) general elementary school","32","0.395401686872478","0.29382224736663","0.496981126378326"
"Limited","1987","direct migration background","(1c) basic vocational qualification","17","","",""
"Limited","1987","direct migration background","(2b) intermediate general qualification","8","","",""
"Limited","1987","direct migration background","(2a) intermediate vocational","2","","",""
"Limited","1987","direct migration background","(2c_gen) general maturity certificate","6","","",""
"Limited","1987","direct migration background","(2c_voc) vocational maturity certificate","5","","",""
"Limited","1987","direct migration background","(3a) lower tertiary education","","","",""
"Limited","1987","direct migration background","(3b) higher tertiary education","3","","",""
"Limited","1987","indirect migration background","(0) in school","","","",""
"Limited","1987","indirect migration background","(1a) inadequately completed","","","",""
"Limited","1987","indirect migration background","(1b) general elementary school","1","","",""
"Limited","1987","indirect migration background","(1c) basic vocational qualification","2","","",""
"Limited","1987","indirect migration background","(2b) intermediate general qualification","2","","",""
"Limited","1987","indirect migration background","(2a) intermediate vocational","","","",""
"Limited","1987","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"Limited","1987","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Limited","1987","indirect migration background","(3a) lower tertiary education","","","",""
"Limited","1987","indirect migration background","(3b) higher tertiary education","","","",""
"Permanent","1988","no migration background","(0) in school","4","","",""
"Permanent","1988","no migration background","(1a) inadequately completed","14","","",""
"Permanent","1988","no migration background","(1b) general elementary school","383","0.807369134376582","0.772343773414163","0.842394495339002"
"Permanent","1988","no migration background","(1c) basic vocational qualification","1416","0.947101314402697","0.935755173962644","0.958447454842751"
"Permanent","1988","no migration background","(2b) intermediate general qualification","90","0.517001846989071","0.445187634692492","0.588816059285651"
"Permanent","1988","no migration background","(2a) intermediate vocational","666","0.953073410357039","0.937462572753086","0.968684247960992"
"Permanent","1988","no migration background","(2c_gen) general maturity certificate","28","","",""
"Permanent","1988","no migration background","(2c_voc) vocational maturity certificate","144","0.898666888964656","0.851761300677621","0.945572477251691"
"Permanent","1988","no migration background","(3a) lower tertiary education","122","0.932426629944587","0.888941754563337","0.975911505325836"
"Permanent","1988","no migration background","(3b) higher tertiary education","252","0.876030158456493","0.838101573185611","0.913958743727376"
"Permanent","1988","direct migration background","(0) in school","","","",""
"Permanent","1988","direct migration background","(1a) inadequately completed","338","0.935563022291751","0.910164703380525","0.960961341202976"
"Permanent","1988","direct migration background","(1b) general elementary school","453","0.885602733847775","0.858219060265357","0.912986407430194"
"Permanent","1988","direct migration background","(1c) basic vocational qualification","401","0.956334709346365","0.93688387211516","0.975785546577569"
"Permanent","1988","direct migration background","(2b) intermediate general qualification","16","","",""
"Permanent","1988","direct migration background","(2a) intermediate vocational","44","0.895367221320847","0.811363702622558","0.979370740019136"
"Permanent","1988","direct migration background","(2c_gen) general maturity certificate","48","0.79661917649086","0.690242326639585","0.902996026342135"
"Permanent","1988","direct migration background","(2c_voc) vocational maturity certificate","63","0.857318155039518","0.778164162093992","0.936472147985044"
"Permanent","1988","direct migration background","(3a) lower tertiary education","11","","",""
"Permanent","1988","direct migration background","(3b) higher tertiary education","38","0.89286337956836","0.799326059542523","0.986400699594197"
"Permanent","1988","indirect migration background","(0) in school","1","","",""
"Permanent","1988","indirect migration background","(1a) inadequately completed","3","","",""
"Permanent","1988","indirect migration background","(1b) general elementary school","18","","",""
"Permanent","1988","indirect migration background","(1c) basic vocational qualification","27","","",""
"Permanent","1988","indirect migration background","(2b) intermediate general qualification","4","","",""
"Permanent","1988","indirect migration background","(2a) intermediate vocational","11","","",""
"Permanent","1988","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Permanent","1988","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"Permanent","1988","indirect migration background","(3a) lower tertiary education","1","","",""
"Permanent","1988","indirect migration background","(3b) higher tertiary education","","","",""
"Limited","1988","no migration background","(0) in school","1","","",""
"Limited","1988","no migration background","(1a) inadequately completed","6","","",""
"Limited","1988","no migration background","(1b) general elementary school","104","0.192630865623418","0.157605504660998","0.227656226585837"
"Limited","1988","no migration background","(1c) basic vocational qualification","79","0.0528986855973027","0.0415525451572489","0.0642448260373566"
"Limited","1988","no migration background","(2b) intermediate general qualification","96","0.482998153010929","0.411183940714349","0.554812365307508"
"Limited","1988","no migration background","(2a) intermediate vocational","39","0.0469265896429614","0.0313157520390084","0.0625374272469144"
"Limited","1988","no migration background","(2c_gen) general maturity certificate","43","0.590742363636128","0.47637124452225","0.705113482750005"
"Limited","1988","no migration background","(2c_voc) vocational maturity certificate","15","","",""
"Limited","1988","no migration background","(3a) lower tertiary education","6","","",""
"Limited","1988","no migration background","(3b) higher tertiary education","38","0.123969841543507","0.0860412562726243","0.161898426814389"
"Limited","1988","direct migration background","(0) in school","","","",""
"Limited","1988","direct migration background","(1a) inadequately completed","21","","",""
"Limited","1988","direct migration background","(1b) general elementary school","66","0.114397266152225","0.0870135925698059","0.141780939734643"
"Limited","1988","direct migration background","(1c) basic vocational qualification","23","","",""
"Limited","1988","direct migration background","(2b) intermediate general qualification","14","","",""
"Limited","1988","direct migration background","(2a) intermediate vocational","7","","",""
"Limited","1988","direct migration background","(2c_gen) general maturity certificate","7","","",""
"Limited","1988","direct migration background","(2c_voc) vocational maturity certificate","12","","",""
"Limited","1988","direct migration background","(3a) lower tertiary education","1","","",""
"Limited","1988","direct migration background","(3b) higher tertiary education","4","","",""
"Limited","1988","indirect migration background","(0) in school","","","",""
"Limited","1988","indirect migration background","(1a) inadequately completed","2","","",""
"Limited","1988","indirect migration background","(1b) general elementary school","10","","",""
"Limited","1988","indirect migration background","(1c) basic vocational qualification","11","","",""
"Limited","1988","indirect migration background","(2b) intermediate general qualification","7","","",""
"Limited","1988","indirect migration background","(2a) intermediate vocational","3","","",""
"Limited","1988","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"Limited","1988","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Limited","1988","indirect migration background","(3a) lower tertiary education","","","",""
"Limited","1988","indirect migration background","(3b) higher tertiary education","","","",""
"Permanent","1989","no migration background","(0) in school","2","","",""
"Permanent","1989","no migration background","(1a) inadequately completed","6","","",""
"Permanent","1989","no migration background","(1b) general elementary school","43","0.526260389961919","0.418188846126696","0.634331933797142"
"Permanent","1989","no migration background","(1c) basic vocational qualification","166","0.856449456402624","0.807361681653021","0.905537231152226"
"Permanent","1989","no migration background","(2b) intermediate general qualification","26","","",""
"Permanent","1989","no migration background","(2a) intermediate vocational","105","0.809941219125603","0.743009520679788","0.876872917571418"
"Permanent","1989","no migration background","(2c_gen) general maturity certificate","11","","",""
"Permanent","1989","no migration background","(2c_voc) vocational maturity certificate","42","0.884028862904573","0.793448167113164","0.974609558695981"
"Permanent","1989","no migration background","(3a) lower tertiary education","22","","",""
"Permanent","1989","no migration background","(3b) higher tertiary education","37","0.7484122705053","0.631590083114363","0.865234457896237"
"Permanent","1989","direct migration background","(0) in school","1","","",""
"Permanent","1989","direct migration background","(1a) inadequately completed","23","","",""
"Permanent","1989","direct migration background","(1b) general elementary school","58","0.803248386788463","0.717203464479384","0.889293309097542"
"Permanent","1989","direct migration background","(1c) basic vocational qualification","38","0.740789608357123","0.621687331446997","0.85989188526725"
"Permanent","1989","direct migration background","(2b) intermediate general qualification","4","","",""
"Permanent","1989","direct migration background","(2a) intermediate vocational","6","","",""
"Permanent","1989","direct migration background","(2c_gen) general maturity certificate","7","","",""
"Permanent","1989","direct migration background","(2c_voc) vocational maturity certificate","8","","",""
"Permanent","1989","direct migration background","(3a) lower tertiary education","2","","",""
"Permanent","1989","direct migration background","(3b) higher tertiary education","4","","",""
"Permanent","1989","indirect migration background","(0) in school","3","","",""
"Permanent","1989","indirect migration background","(1a) inadequately completed","1","","",""
"Permanent","1989","indirect migration background","(1b) general elementary school","6","","",""
"Permanent","1989","indirect migration background","(1c) basic vocational qualification","8","","",""
"Permanent","1989","indirect migration background","(2b) intermediate general qualification","1","","",""
"Permanent","1989","indirect migration background","(2a) intermediate vocational","1","","",""
"Permanent","1989","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Permanent","1989","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Permanent","1989","indirect migration background","(3a) lower tertiary education","","","",""
"Permanent","1989","indirect migration background","(3b) higher tertiary education","1","","",""
"Limited","1989","no migration background","(0) in school","","","",""
"Limited","1989","no migration background","(1a) inadequately completed","1","","",""
"Limited","1989","no migration background","(1b) general elementary school","39","0.473739610038081","0.365668066202858","0.581811153873304"
"Limited","1989","no migration background","(1c) basic vocational qualification","30","0.143550543597376","0.094462768847774","0.192638318346979"
"Limited","1989","no migration background","(2b) intermediate general qualification","21","","",""
"Limited","1989","no migration background","(2a) intermediate vocational","27","","",""
"Limited","1989","no migration background","(2c_gen) general maturity certificate","17","","",""
"Limited","1989","no migration background","(2c_voc) vocational maturity certificate","6","","",""
"Limited","1989","no migration background","(3a) lower tertiary education","2","","",""
"Limited","1989","no migration background","(3b) higher tertiary education","16","","",""
"Limited","1989","direct migration background","(0) in school","","","",""
"Limited","1989","direct migration background","(1a) inadequately completed","8","","",""
"Limited","1989","direct migration background","(1b) general elementary school","24","","",""
"Limited","1989","direct migration background","(1c) basic vocational qualification","14","","",""
"Limited","1989","direct migration background","(2b) intermediate general qualification","7","","",""
"Limited","1989","direct migration background","(2a) intermediate vocational","5","","",""
"Limited","1989","direct migration background","(2c_gen) general maturity certificate","2","","",""
"Limited","1989","direct migration background","(2c_voc) vocational maturity certificate","6","","",""
"Limited","1989","direct migration background","(3a) lower tertiary education","2","","",""
"Limited","1989","direct migration background","(3b) higher tertiary education","2","","",""
"Limited","1989","indirect migration background","(0) in school","","","",""
"Limited","1989","indirect migration background","(1a) inadequately completed","","","",""
"Limited","1989","indirect migration background","(1b) general elementary school","3","","",""
"Limited","1989","indirect migration background","(1c) basic vocational qualification","3","","",""
"Limited","1989","indirect migration background","(2b) intermediate general qualification","5","","",""
"Limited","1989","indirect migration background","(2a) intermediate vocational","","","",""
"Limited","1989","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"Limited","1989","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Limited","1989","indirect migration background","(3a) lower tertiary education","","","",""
"Limited","1989","indirect migration background","(3b) higher tertiary education","","","",""
"Permanent","1990","no migration background","(0) in school","1","","",""
"Permanent","1990","no migration background","(1a) inadequately completed","4","","",""
"Permanent","1990","no migration background","(1b) general elementary school","51","0.717101440648407","0.615166488181354","0.81903639311546"
"Permanent","1990","no migration background","(1c) basic vocational qualification","184","0.87158932477698","0.826555723680848","0.916622925873113"
"Permanent","1990","no migration background","(2b) intermediate general qualification","20","","",""
"Permanent","1990","no migration background","(2a) intermediate vocational","121","0.850974861352389","0.792402591915546","0.909547130789232"
"Permanent","1990","no migration background","(2c_gen) general maturity certificate","14","","",""
"Permanent","1990","no migration background","(2c_voc) vocational maturity certificate","41","0.897162845820142","0.810324842935419","0.984000848704865"
"Permanent","1990","no migration background","(3a) lower tertiary education","18","","",""
"Permanent","1990","no migration background","(3b) higher tertiary education","38","0.764774650808233","0.647211317296311","0.882337984320155"
"Permanent","1990","direct migration background","(0) in school","","","",""
"Permanent","1990","direct migration background","(1a) inadequately completed","27","","",""
"Permanent","1990","direct migration background","(1b) general elementary school","64","0.689115200256759","0.591855231961268","0.78637516855225"
"Permanent","1990","direct migration background","(1c) basic vocational qualification","45","0.830643987460234","0.734940038530281","0.926347936390186"
"Permanent","1990","direct migration background","(2b) intermediate general qualification","4","","",""
"Permanent","1990","direct migration background","(2a) intermediate vocational","8","","",""
"Permanent","1990","direct migration background","(2c_gen) general maturity certificate","4","","",""
"Permanent","1990","direct migration background","(2c_voc) vocational maturity certificate","10","","",""
"Permanent","1990","direct migration background","(3a) lower tertiary education","3","","",""
"Permanent","1990","direct migration background","(3b) higher tertiary education","2","","",""
"Permanent","1990","indirect migration background","(0) in school","","","",""
"Permanent","1990","indirect migration background","(1a) inadequately completed","1","","",""
"Permanent","1990","indirect migration background","(1b) general elementary school","10","","",""
"Permanent","1990","indirect migration background","(1c) basic vocational qualification","9","","",""
"Permanent","1990","indirect migration background","(2b) intermediate general qualification","1","","",""
"Permanent","1990","indirect migration background","(2a) intermediate vocational","2","","",""
"Permanent","1990","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Permanent","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Permanent","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Permanent","1990","indirect migration background","(3b) higher tertiary education","1","","",""
"Limited","1990","no migration background","(0) in school","","","",""
"Limited","1990","no migration background","(1a) inadequately completed","","","",""
"Limited","1990","no migration background","(1b) general elementary school","24","","",""
"Limited","1990","no migration background","(1c) basic vocational qualification","28","","",""
"Limited","1990","no migration background","(2b) intermediate general qualification","27","","",""
"Limited","1990","no migration background","(2a) intermediate vocational","21","","",""
"Limited","1990","no migration background","(2c_gen) general maturity certificate","18","","",""
"Limited","1990","no migration background","(2c_voc) vocational maturity certificate","6","","",""
"Limited","1990","no migration background","(3a) lower tertiary education","3","","",""
"Limited","1990","no migration background","(3b) higher tertiary education","12","","",""
"Limited","1990","direct migration background","(0) in school","","","",""
"Limited","1990","direct migration background","(1a) inadequately completed","8","","",""
"Limited","1990","direct migration background","(1b) general elementary school","23","","",""
"Limited","1990","direct migration background","(1c) basic vocational qualification","14","","",""
"Limited","1990","direct migration background","(2b) intermediate general qualification","5","","",""
"Limited","1990","direct migration background","(2a) intermediate vocational","","","",""
"Limited","1990","direct migration background","(2c_gen) general maturity certificate","2","","",""
"Limited","1990","direct migration background","(2c_voc) vocational maturity certificate","1","","",""
"Limited","1990","direct migration background","(3a) lower tertiary education","2","","",""
"Limited","1990","direct migration background","(3b) higher tertiary education","4","","",""
"Limited","1990","indirect migration background","(0) in school","","","",""
"Limited","1990","indirect migration background","(1a) inadequately completed","","","",""
"Limited","1990","indirect migration background","(1b) general elementary school","7","","",""
"Limited","1990","indirect migration background","(1c) basic vocational qualification","1","","",""
"Limited","1990","indirect migration background","(2b) intermediate general qualification","6","","",""
"Limited","1990","indirect migration background","(2a) intermediate vocational","1","","",""
"Limited","1990","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"Limited","1990","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"Limited","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Limited","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Permanent","1991","no migration background","(0) in school","1","","",""
"Permanent","1991","no migration background","(1a) inadequately completed","7","","",""
"Permanent","1991","no migration background","(1b) general elementary school","64","0.693326905581521","0.596985357712867","0.789668453450174"
"Permanent","1991","no migration background","(1c) basic vocational qualification","234","0.808451935401677","0.763315978726877","0.853587892076478"
"Permanent","1991","no migration background","(2b) intermediate general qualification","27","","",""
"Permanent","1991","no migration background","(2a) intermediate vocational","378","0.847801681942953","0.814975434518081","0.880627929367825"
"Permanent","1991","no migration background","(2c_gen) general maturity certificate","11","","",""
"Permanent","1991","no migration background","(2c_voc) vocational maturity certificate","56","0.851851567673825","0.766788472103768","0.936914663243882"
"Permanent","1991","no migration background","(3a) lower tertiary education","132","0.807368633453458","0.746827056634787","0.867910210272128"
"Permanent","1991","no migration background","(3b) higher tertiary education","106","0.697205177724489","0.622929957565419","0.77148039788356"
"Permanent","1991","direct migration background","(0) in school","","","",""
"Permanent","1991","direct migration background","(1a) inadequately completed","36","0.771378764015848","0.648681760215925","0.894075767815772"
