"plb0037_h","year","e11102","n","percent","lower_confidence","upper_confidence"
"Limited","2012","Not Employed","140","0.364677234060517","0.316153554489228","0.413200913631806"
"Permanent","2012","Employed","11957","0.843107352140345","0.837099911362467","0.849114792918223"
"Permanent","2012","Not Employed","238","0.635322765939483","0.586799086368194","0.683846445510772"
"Limited","2013","Employed","2030","0.153441629709859","0.147281565062565","0.159601694357153"
"Limited","2013","Not Employed","870","0.274924753615588","0.259479535828687","0.29036997140249"
"Permanent","2013","Employed","11120","0.846558370290141","0.840398305642847","0.852718434937435"
"Permanent","2013","Not Employed","2340","0.725075246384412","0.70963002859751","0.740520464171313"
"Limited","2014","Employed","2251","0.163914716537206","0.157767099636057","0.170062333438355"
"Limited","2014","Not Employed","235","0.485187811637701","0.442598599464966","0.527777023810436"
"Permanent","2014","Employed","11679","0.836085283462794","0.829937666561645","0.842232900363943"
"Permanent","2014","Not Employed","294","0.514812188362299","0.472222976189564","0.557401400535035"
"Limited","2015","Employed","2091","0.156827792503069","0.15060098379807","0.163054601208069"
"Limited","2015","Not Employed","491","0.403321380744589","0.377143289514954","0.429499471974224"
"Permanent","2015","Employed","11010","0.843172207496931","0.836945398791931","0.84939901620193"
"Permanent","2015","Not Employed","858","0.596678619255411","0.570500528025776","0.622856710485046"
"Limited","2016","Employed","2138","0.166800054472085","0.160339013310221","0.173261095633949"
"Limited","2016","Not Employed","481","0.529873167738389","0.494129372330807","0.565616963145971"
"Permanent","2016","Employed","10651","0.833199945527915","0.826738904366051","0.839660986689779"
"Permanent","2016","Not Employed","268","0.470126832261611","0.434383036854029","0.505870627669193"
"Limited","2017","Employed","2350","0.159257157231381","0.153324563499653","0.16518975096311"
"Limited","2017","Not Employed","631","0.528161518758822","0.496483795514409","0.559839242003235"
"Permanent","2017","Employed","12264","0.840742842768619","0.83481024903689","0.846675436500347"
"Permanent","2017","Not Employed","323","0.471838481241178","0.440160757996765","0.503516204485591"
"Limited","2018","Employed","2383","0.155314222002393","0.149386589160059","0.161241854844728"
"Limited","2018","Not Employed","657","0.587200316994878","0.55590922994316","0.618491404046595"
"Permanent","2018","Employed","11960","0.844685777997607","0.838758145155272","0.850613410839941"
"Permanent","2018","Not Employed","294","0.412799683005123","0.381508595953405","0.44409077005684"
"Limited","2019","Employed","2334","0.148738924582775","0.142803417019141","0.154674432146408"
"Limited","2019","Not Employed","580","0.463974104699981","0.432590561016426","0.495357648383536"
"Permanent","2019","Employed","11472","0.851261075417225","0.845325567853592","0.857196582980859"
"Permanent","2019","Not Employed","390","0.536025895300019","0.504642351616464","0.567409438983574"
