"plb0037_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Limited","1986","16-34 y.","no degree/no degree yet","8","","",""
"Limited","1986","35-65 y.","lower secondary degree","7","","",""
"Limited","1986","35-65 y.","secondary school degree","1","","",""
"Limited","1986","35-65 y.","college entrance qualification","4","","",""
"Limited","1986","35-65 y.","Other degree","3","","",""
"Limited","1986","35-65 y.","no degree/no degree yet","","","",""
"Limited","1986","66 and older","lower secondary degree","","","",""
"Limited","1986","66 and older","secondary school degree","","","",""
"Limited","1986","66 and older","college entrance qualification","","","",""
"Limited","1986","66 and older","Other degree","","","",""
"Limited","1986","66 and older","no degree/no degree yet","","","",""
"Permanent","1987","16-34 y.","lower secondary degree","263","0.734888171942842","0.690273330953868","0.779503012931816"
"Permanent","1987","16-34 y.","secondary school degree","144","0.6707383892178","0.609469359534711","0.732007418900888"
"Permanent","1987","16-34 y.","college entrance qualification","83","0.580181069740824","0.499007115023949","0.661355024457699"
"Permanent","1987","16-34 y.","Other degree","37","0.563890429900831","0.438412415885096","0.689368443916567"
"Permanent","1987","16-34 y.","no degree/no degree yet","16","","",""
"Permanent","1987","35-65 y.","lower secondary degree","127","0.86687712859621","0.811392592958609","0.922361664233811"
"Permanent","1987","35-65 y.","secondary school degree","34","0.88871905137869","0.787388621829903","0.990049480927477"
"Permanent","1987","35-65 y.","college entrance qualification","34","0.880443673082352","0.781133615641549","0.979753730523154"
"Permanent","1987","35-65 y.","Other degree","33","0.849921685889221","0.736367089192001","0.963476282586441"
"Permanent","1987","35-65 y.","no degree/no degree yet","20","","",""
"Permanent","1987","66 and older","lower secondary degree","","","",""
"Permanent","1987","66 and older","secondary school degree","","","",""
"Permanent","1987","66 and older","college entrance qualification","","","",""
"Permanent","1987","66 and older","Other degree","","","",""
"Permanent","1987","66 and older","no degree/no degree yet","","","",""
"Limited","1987","16-34 y.","lower secondary degree","113","0.265111828057158","0.220496987068184","0.309726669046132"
"Limited","1987","16-34 y.","secondary school degree","82","0.3292616107822","0.267992581099111","0.390530640465289"
"Limited","1987","16-34 y.","college entrance qualification","59","0.419818930259176","0.338644975542301","0.500992884976051"
"Limited","1987","16-34 y.","Other degree","23","","",""
"Limited","1987","16-34 y.","no degree/no degree yet","9","","",""
"Limited","1987","35-65 y.","lower secondary degree","17","","",""
"Limited","1987","35-65 y.","secondary school degree","3","","",""
"Limited","1987","35-65 y.","college entrance qualification","7","","",""
"Limited","1987","35-65 y.","Other degree","5","","",""
"Limited","1987","35-65 y.","no degree/no degree yet","3","","",""
"Limited","1987","66 and older","lower secondary degree","","","",""
"Limited","1987","66 and older","secondary school degree","","","",""
"Limited","1987","66 and older","college entrance qualification","","","",""
"Limited","1987","66 and older","Other degree","","","",""
"Limited","1987","66 and older","no degree/no degree yet","","","",""
"Permanent","1988","16-34 y.","lower secondary degree","839","0.829895800902327","0.807191427435217","0.852600174369437"
"Permanent","1988","16-34 y.","secondary school degree","468","0.790172501006667","0.758300709299685","0.822044292713649"
"Permanent","1988","16-34 y.","college entrance qualification","251","0.740365570994754","0.693899143219752","0.786831998769757"
"Permanent","1988","16-34 y.","Other degree","152","0.770682429237268","0.708397143413251","0.832967715061285"
"Permanent","1988","16-34 y.","no degree/no degree yet","73","0.731048966665508","0.640929946914182","0.821167986416834"
"Permanent","1988","35-65 y.","lower secondary degree","1299","0.963538800870313","0.953521815796636","0.97355578594399"
"Permanent","1988","35-65 y.","secondary school degree","395","0.978618316346865","0.964495438986234","0.992741193707497"
"Permanent","1988","35-65 y.","college entrance qualification","310","0.92242855731578","0.893741093058337","0.951116021573223"
"Permanent","1988","35-65 y.","Other degree","513","0.955382336181347","0.937838106995094","0.972926565367601"
"Permanent","1988","35-65 y.","no degree/no degree yet","282","0.969917017233948","0.950291128446293","0.989542906021604"
"Permanent","1988","66 and older","lower secondary degree","6","","",""
"Permanent","1988","66 and older","secondary school degree","3","","",""
"Permanent","1988","66 and older","college entrance qualification","1","","",""
"Permanent","1988","66 and older","Other degree","","","",""
"Permanent","1988","66 and older","no degree/no degree yet","","","",""
"Limited","1988","16-34 y.","lower secondary degree","213","0.170104199097673","0.147399825630563","0.192808572564783"
"Limited","1988","16-34 y.","secondary school degree","159","0.209827498993333","0.177955707286351","0.241699290700315"
"Limited","1988","16-34 y.","college entrance qualification","91","0.259634429005246","0.213168001230243","0.306100856780248"
"Limited","1988","16-34 y.","Other degree","23","","",""
"Limited","1988","16-34 y.","no degree/no degree yet","20","","",""
"Limited","1988","35-65 y.","lower secondary degree","46","0.0364611991296867","0.0264442140560098","0.0464781842033636"
"Limited","1988","35-65 y.","secondary school degree","8","","",""
"Limited","1988","35-65 y.","college entrance qualification","24","","",""
"Limited","1988","35-65 y.","Other degree","19","","",""
"Limited","1988","35-65 y.","no degree/no degree yet","9","","",""
"Limited","1988","66 and older","lower secondary degree","2","","",""
"Limited","1988","66 and older","secondary school degree","","","",""
"Limited","1988","66 and older","college entrance qualification","1","","",""
"Limited","1988","66 and older","Other degree","","","",""
"Limited","1988","66 and older","no degree/no degree yet","","","",""
"Permanent","1989","16-34 y.","lower secondary degree","200","0.745163554605706","0.694212696436318","0.796114412775094"
"Permanent","1989","16-34 y.","secondary school degree","120","0.714328778314634","0.648518894644053","0.780138661985216"
"Permanent","1989","16-34 y.","college entrance qualification","93","0.738808987690349","0.664152514486781","0.813465460893917"
"Permanent","1989","16-34 y.","Other degree","21","","",""
"Permanent","1989","16-34 y.","no degree/no degree yet","20","","",""
"Permanent","1989","35-65 y.","lower secondary degree","75","0.790786009938883","0.70942106696948","0.872150952908287"
"Permanent","1989","35-65 y.","secondary school degree","28","","",""
"Permanent","1989","35-65 y.","college entrance qualification","27","","",""
"Permanent","1989","35-65 y.","Other degree","33","0.854317899066169","0.747624808236549","0.961010989895788"
"Permanent","1989","35-65 y.","no degree/no degree yet","15","","",""
"Permanent","1989","66 and older","lower secondary degree","","","",""
"Permanent","1989","66 and older","secondary school degree","","","",""
"Permanent","1989","66 and older","college entrance qualification","","","",""
"Permanent","1989","66 and older","Other degree","","","",""
"Permanent","1989","66 and older","no degree/no degree yet","","","",""
"Limited","1989","16-34 y.","lower secondary degree","81","0.254836445394294","0.203885587224906","0.305787303563682"
"Limited","1989","16-34 y.","secondary school degree","61","0.285671221685366","0.219861338014784","0.351481105355947"
"Limited","1989","16-34 y.","college entrance qualification","40","0.261191012309651","0.186534539106083","0.335847485513219"
"Limited","1989","16-34 y.","Other degree","8","","",""
"Limited","1989","16-34 y.","no degree/no degree yet","4","","",""
"Limited","1989","35-65 y.","lower secondary degree","21","","",""
"Limited","1989","35-65 y.","secondary school degree","6","","",""
"Limited","1989","35-65 y.","college entrance qualification","4","","",""
"Limited","1989","35-65 y.","Other degree","9","","",""
"Limited","1989","35-65 y.","no degree/no degree yet","5","","",""
"Limited","1989","66 and older","lower secondary degree","","","",""
"Limited","1989","66 and older","secondary school degree","","","",""
"Limited","1989","66 and older","college entrance qualification","","","",""
"Limited","1989","66 and older","Other degree","","","",""
"Limited","1989","66 and older","no degree/no degree yet","","","",""
"Permanent","1990","16-34 y.","lower secondary degree","201","0.791961785252633","0.743545676588918","0.840377893916348"
"Permanent","1990","16-34 y.","secondary school degree","120","0.698616744508543","0.630825936196638","0.766407552820448"
"Permanent","1990","16-34 y.","college entrance qualification","93","0.721755295896115","0.64530669027258","0.79820390151965"
"Permanent","1990","16-34 y.","Other degree","23","","",""
"Permanent","1990","16-34 y.","no degree/no degree yet","17","","",""
"Permanent","1990","35-65 y.","lower secondary degree","111","0.846379755499571","0.784632266324565","0.908127244674577"
"Permanent","1990","35-65 y.","secondary school degree","38","0.89066280597533","0.796286262746465","0.985039349204195"
"Permanent","1990","35-65 y.","college entrance qualification","28","","",""
"Permanent","1990","35-65 y.","Other degree","36","0.745229849257035","0.614993187408074","0.875466511105996"
"Permanent","1990","35-65 y.","no degree/no degree yet","15","","",""
"Permanent","1990","66 and older","lower secondary degree","1","","",""
"Permanent","1990","66 and older","secondary school degree","","","",""
"Permanent","1990","66 and older","college entrance qualification","","","",""
"Permanent","1990","66 and older","Other degree","","","",""
"Permanent","1990","66 and older","no degree/no degree yet","","","",""
"Limited","1990","16-34 y.","lower secondary degree","69","0.208038214747367","0.159622106083652","0.256454323411081"
"Limited","1990","16-34 y.","secondary school degree","56","0.301383255491457","0.233592447179552","0.369174063803362"
"Limited","1990","16-34 y.","college entrance qualification","39","0.278244704103885","0.20179609848035","0.35469330972742"
"Limited","1990","16-34 y.","Other degree","5","","",""
"Limited","1990","16-34 y.","no degree/no degree yet","4","","",""
"Limited","1990","35-65 y.","lower secondary degree","20","","",""
"Limited","1990","35-65 y.","secondary school degree","4","","",""
"Limited","1990","35-65 y.","college entrance qualification","8","","",""
"Limited","1990","35-65 y.","Other degree","7","","",""
"Limited","1990","35-65 y.","no degree/no degree yet","4","","",""
"Limited","1990","66 and older","lower secondary degree","","","",""
"Limited","1990","66 and older","secondary school degree","","","",""
"Limited","1990","66 and older","college entrance qualification","","","",""
"Limited","1990","66 and older","Other degree","","","",""
"Limited","1990","66 and older","no degree/no degree yet","","","",""
"Permanent","1991","16-34 y.","lower secondary degree","214","0.774969993959819","0.725968575823948","0.82397141209569"
"Permanent","1991","16-34 y.","secondary school degree","334","0.781011103590858","0.742543400300464","0.819478806881252"
"Permanent","1991","16-34 y.","college entrance qualification","111","0.63556583364128","0.564665011326693","0.706466655955867"
"Permanent","1991","16-34 y.","Other degree","30","0.704342696883888","0.561123214099556","0.84756217966822"
"Permanent","1991","16-34 y.","no degree/no degree yet","22","","",""
"Permanent","1991","35-65 y.","lower secondary degree","182","0.805572680814408","0.753629723943944","0.857515637684872"
"Permanent","1991","35-65 y.","secondary school degree","180","0.858198402937057","0.812101562113647","0.904295243760467"
"Permanent","1991","35-65 y.","college entrance qualification","111","0.828194929840899","0.763845397171481","0.892544462510317"
"Permanent","1991","35-65 y.","Other degree","45","0.791692635044917","0.682362276784075","0.90102299330576"
"Permanent","1991","35-65 y.","no degree/no degree yet","23","","",""
"Permanent","1991","66 and older","lower secondary degree","","","",""
"Permanent","1991","66 and older","secondary school degree","2","","",""
"Permanent","1991","66 and older","college entrance qualification","","","",""
"Permanent","1991","66 and older","Other degree","","","",""
"Permanent","1991","66 and older","no degree/no degree yet","","","",""
"Limited","1991","16-34 y.","lower secondary degree","65","0.225030006040181","0.17602858790431","0.274031424176052"
"Limited","1991","16-34 y.","secondary school degree","110","0.218988896409142","0.180521193118748","0.257456599699536"
"Limited","1991","16-34 y.","college entrance qualification","66","0.36443416635872","0.293533344044133","0.435334988673307"
"Limited","1991","16-34 y.","Other degree","9","","",""
"Limited","1991","16-34 y.","no degree/no degree yet","5","","",""
"Limited","1991","35-65 y.","lower secondary degree","41","0.194427319185592","0.142484362315128","0.246370276056056"
"Limited","1991","35-65 y.","secondary school degree","40","0.141801597062943","0.0957047562395333","0.187898437886353"
"Limited","1991","35-65 y.","college entrance qualification","21","","",""
"Limited","1991","35-65 y.","Other degree","8","","",""
"Limited","1991","35-65 y.","no degree/no degree yet","5","","",""
"Limited","1991","66 and older","lower secondary degree","","","",""
"Limited","1991","66 and older","secondary school degree","","","",""
"Limited","1991","66 and older","college entrance qualification","","","",""
"Limited","1991","66 and older","Other degree","","","",""
"Limited","1991","66 and older","no degree/no degree yet","","","",""
"Permanent","1992","16-34 y.","lower secondary degree","194","0.759816694664312","0.708285293419403","0.811348095909221"
"Permanent","1992","16-34 y.","secondary school degree","306","0.754878406161769","0.713240829078489","0.79651598324505"
"Permanent","1992","16-34 y.","college entrance qualification","90","0.565521129149965","0.486195922903461","0.64484633539647"
"Permanent","1992","16-34 y.","Other degree","26","","",""
"Permanent","1992","16-34 y.","no degree/no degree yet","18","","",""
"Permanent","1992","35-65 y.","lower secondary degree","197","0.768867687797767","0.71782264383425","0.819912731761284"
"Permanent","1992","35-65 y.","secondary school degree","192","0.863685307769038","0.819722111259438","0.907648504278639"
"Permanent","1992","35-65 y.","college entrance qualification","105","0.83877540416651","0.77531662280873","0.90223418552429"
"Permanent","1992","35-65 y.","Other degree","36","0.797222683384636","0.677047893172181","0.91739747359709"
"Permanent","1992","35-65 y.","no degree/no degree yet","19","","",""
"Permanent","1992","66 and older","lower secondary degree","","","",""
"Permanent","1992","66 and older","secondary school degree","1","","",""
"Permanent","1992","66 and older","college entrance qualification","","","",""
"Permanent","1992","66 and older","Other degree","","","",""
"Permanent","1992","66 and older","no degree/no degree yet","","","",""
"Limited","1992","16-34 y.","lower secondary degree","70","0.240183305335688","0.188651904090779","0.291714706580597"
"Limited","1992","16-34 y.","secondary school degree","104","0.245121593838231","0.20348401675495","0.286759170921511"
"Limited","1992","16-34 y.","college entrance qualification","60","0.434478870850035","0.35515366460353","0.513804077096539"
"Limited","1992","16-34 y.","Other degree","5","","",""
"Limited","1992","16-34 y.","no degree/no degree yet","2","","",""
"Limited","1992","35-65 y.","lower secondary degree","65","0.231132312202233","0.180087268238716","0.28217735616575"
"Limited","1992","35-65 y.","secondary school degree","42","0.136314692230962","0.0923514957213614","0.180277888740562"
"Limited","1992","35-65 y.","college entrance qualification","24","","",""
"Limited","1992","35-65 y.","Other degree","7","","",""
"Limited","1992","35-65 y.","no degree/no degree yet","3","","",""
"Limited","1992","66 and older","lower secondary degree","1","","",""
"Limited","1992","66 and older","secondary school degree","","","",""
"Limited","1992","66 and older","college entrance qualification","","","",""
"Limited","1992","66 and older","Other degree","","","",""
"Limited","1992","66 and older","no degree/no degree yet","","","",""
"Permanent","1993","16-34 y.","lower secondary degree","169","0.780597878721194","0.726403009036385","0.834792748406003"
"Permanent","1993","16-34 y.","secondary school degree","281","0.76346797755917","0.7195707364467","0.80736521867164"
"Permanent","1993","16-34 y.","college entrance qualification","112","0.696304659244494","0.625925369102124","0.766683949386864"
"Permanent","1993","16-34 y.","Other degree","16","","",""
"Permanent","1993","16-34 y.","no degree/no degree yet","6","","",""
"Permanent","1993","35-65 y.","lower secondary degree","151","0.793213944102916","0.736514885218063","0.849913002987769"
"Permanent","1993","35-65 y.","secondary school degree","159","0.865836146674087","0.817245485691547","0.914426807656626"
"Permanent","1993","35-65 y.","college entrance qualification","94","0.782108842148187","0.707307642783692","0.856910041512682"
"Permanent","1993","35-65 y.","Other degree","28","","",""
"Permanent","1993","35-65 y.","no degree/no degree yet","10","","",""
"Permanent","1993","66 and older","lower secondary degree","","","",""
"Permanent","1993","66 and older","secondary school degree","","","",""
"Permanent","1993","66 and older","college entrance qualification","","","",""
"Permanent","1993","66 and older","Other degree","","","",""
"Permanent","1993","66 and older","no degree/no degree yet","","","",""
"Limited","1993","16-34 y.","lower secondary degree","55","0.219402121278806","0.165207251593997","0.273596990963615"
"Limited","1993","16-34 y.","secondary school degree","79","0.23653202244083","0.19263478132836","0.2804292635533"
"Limited","1993","16-34 y.","college entrance qualification","52","0.303695340755506","0.233316050613136","0.374074630897876"
"Limited","1993","16-34 y.","Other degree","9","","",""
"Limited","1993","16-34 y.","no degree/no degree yet","5","","",""
"Limited","1993","35-65 y.","lower secondary degree","45","0.206786055897084","0.150086997012231","0.263485114781937"
"Limited","1993","35-65 y.","secondary school degree","30","0.134163853325913","0.0855731923433735","0.182754514308453"
"Limited","1993","35-65 y.","college entrance qualification","23","","",""
"Limited","1993","35-65 y.","Other degree","4","","",""
"Limited","1993","35-65 y.","no degree/no degree yet","4","","",""
"Limited","1993","66 and older","lower secondary degree","","","",""
"Limited","1993","66 and older","secondary school degree","","","",""
"Limited","1993","66 and older","college entrance qualification","","","",""
"Limited","1993","66 and older","Other degree","","","",""
"Limited","1993","66 and older","no degree/no degree yet","","","",""
"Permanent","1994","16-34 y.","lower secondary degree","171","0.728407451213058","0.672135939116374","0.784678963309742"
"Permanent","1994","16-34 y.","secondary school degree","211","0.6551415739389","0.603062757877034","0.707220390000767"
"Permanent","1994","16-34 y.","college entrance qualification","93","0.53474948170372","0.461059172965871","0.608439790441569"
"Permanent","1994","16-34 y.","Other degree","13","","",""
"Permanent","1994","16-34 y.","no degree/no degree yet","8","","",""
"Permanent","1994","35-65 y.","lower secondary degree","112","0.784490241034184","0.719759663000627","0.849220819067741"
"Permanent","1994","35-65 y.","secondary school degree","111","0.814410501233178","0.748829266566821","0.879991735899535"
"Permanent","1994","35-65 y.","college entrance qualification","51","0.707419016334306","0.605802537635038","0.809035495033574"
"Permanent","1994","35-65 y.","Other degree","17","","",""
"Permanent","1994","35-65 y.","no degree/no degree yet","9","","",""
"Permanent","1994","66 and older","lower secondary degree","","","",""
"Permanent","1994","66 and older","secondary school degree","","","",""
"Permanent","1994","66 and older","college entrance qualification","","","",""
"Permanent","1994","66 and older","Other degree","","","",""
"Permanent","1994","66 and older","no degree/no degree yet","","","",""
"Limited","1994","16-34 y.","lower secondary degree","69","0.271592548786942","0.215321036690258","0.327864060883626"
"Limited","1994","16-34 y.","secondary school degree","109","0.3448584260611","0.292779609999233","0.396937242122966"
"Limited","1994","16-34 y.","college entrance qualification","83","0.46525051829628","0.391560209558431","0.538940827034129"
"Limited","1994","16-34 y.","Other degree","9","","",""
"Limited","1994","16-34 y.","no degree/no degree yet","6","","",""
"Limited","1994","35-65 y.","lower secondary degree","43","0.215509758965816","0.150779180932259","0.280240336999373"
"Limited","1994","35-65 y.","secondary school degree","24","","",""
"Limited","1994","35-65 y.","college entrance qualification","26","","",""
"Limited","1994","35-65 y.","Other degree","9","","",""
"Limited","1994","35-65 y.","no degree/no degree yet","6","","",""
"Limited","1994","66 and older","lower secondary degree","","","",""
"Limited","1994","66 and older","secondary school degree","","","",""
"Limited","1994","66 and older","college entrance qualification","","","",""
"Limited","1994","66 and older","Other degree","","","",""
"Limited","1994","66 and older","no degree/no degree yet","","","",""
"Permanent","1995","16-34 y.","lower secondary degree","731","0.807329704333784","0.781577254881092","0.833082153786476"
"Permanent","1995","16-34 y.","secondary school degree","1042","0.82032627111132","0.799286141084706","0.841366401137934"
"Permanent","1995","16-34 y.","college entrance qualification","370","0.700997805337207","0.662167305613767","0.739828305060647"
"Permanent","1995","16-34 y.","Other degree","146","0.767154704417005","0.705582597644735","0.828726811189274"
"Permanent","1995","16-34 y.","no degree/no degree yet","44","0.76647414520203","0.655666348970937","0.877281941433123"
"Permanent","1995","35-65 y.","lower secondary degree","1439","0.939912040790536","0.928031164031614","0.951792917549458"
"Permanent","1995","35-65 y.","secondary school degree","1061","0.962129777457422","0.950955716367408","0.973303838547437"
"Permanent","1995","35-65 y.","college entrance qualification","604","0.920121141329364","0.899390924892243","0.940851357766484"
"Permanent","1995","35-65 y.","Other degree","468","0.923543616953011","0.900321613867648","0.946765620038374"
"Permanent","1995","35-65 y.","no degree/no degree yet","190","0.944966519975566","0.913282283077088","0.976650756874045"
"Permanent","1995","66 and older","lower secondary degree","8","","",""
"Permanent","1995","66 and older","secondary school degree","3","","",""
"Permanent","1995","66 and older","college entrance qualification","2","","",""
"Permanent","1995","66 and older","Other degree","1","","",""
"Permanent","1995","66 and older","no degree/no degree yet","","","",""
"Limited","1995","16-34 y.","lower secondary degree","170","0.192670295666216","0.166917846213524","0.218422745118908"
"Limited","1995","16-34 y.","secondary school degree","237","0.17967372888868","0.158633598862066","0.200713858915294"
"Limited","1995","16-34 y.","college entrance qualification","164","0.299002194662793","0.260171694939354","0.337832694386233"
"Limited","1995","16-34 y.","Other degree","35","0.232845295582995","0.171273188810726","0.294417402355265"
"Limited","1995","16-34 y.","no degree/no degree yet","12","","",""
"Limited","1995","35-65 y.","lower secondary degree","98","0.0600879592094641","0.0482070824505418","0.0719688359683863"
"Limited","1995","35-65 y.","secondary school degree","60","0.0378702225425778","0.0266961614525631","0.0490442836325924"
"Limited","1995","35-65 y.","college entrance qualification","53","0.0798788586706364","0.0591486422335162","0.100609075107757"
"Limited","1995","35-65 y.","Other degree","35","0.0764563830469891","0.053234379961626","0.0996783861323522"
"Limited","1995","35-65 y.","no degree/no degree yet","9","","",""
"Limited","1995","66 and older","lower secondary degree","2","","",""
"Limited","1995","66 and older","secondary school degree","1","","",""
"Limited","1995","66 and older","college entrance qualification","","","",""
"Limited","1995","66 and older","Other degree","","","",""
"Limited","1995","66 and older","no degree/no degree yet","","","",""
"Permanent","1996","16-34 y.","lower secondary degree","699","0.81350761676701","0.787580757904882","0.839434475629139"
"Permanent","1996","16-34 y.","secondary school degree","952","0.821274158385505","0.79942368267305","0.843124634097959"
"Permanent","1996","16-34 y.","college entrance qualification","400","0.757809573294219","0.721608997106839","0.794010149481599"
"Permanent","1996","16-34 y.","Other degree","123","0.834953416105829","0.774943389888015","0.894963442323643"
"Permanent","1996","16-34 y.","no degree/no degree yet","37","0.67275153934344","0.541375487168924","0.804127591517956"
"Permanent","1996","35-65 y.","lower secondary degree","1384","0.929777696468615","0.916812151452997","0.942743241484232"
"Permanent","1996","35-65 y.","secondary school degree","1123","0.956842687718837","0.945233353188642","0.968452022249031"
"Permanent","1996","35-65 y.","college entrance qualification","609","0.935020614703844","0.91611503961562","0.953926189792067"
"Permanent","1996","35-65 y.","Other degree","435","0.919770203691498","0.895026477086556","0.94451393029644"
"Permanent","1996","35-65 y.","no degree/no degree yet","180","0.891673577589258","0.847009150473355","0.936338004705161"
"Permanent","1996","66 and older","lower secondary degree","8","","",""
"Permanent","1996","66 and older","secondary school degree","1","","",""
"Permanent","1996","66 and older","college entrance qualification","4","","",""
"Permanent","1996","66 and older","Other degree","","","",""
"Permanent","1996","66 and older","no degree/no degree yet","","","",""
"Limited","1996","16-34 y.","lower secondary degree","168","0.18649238323299","0.160565524370861","0.212419242095118"
"Limited","1996","16-34 y.","secondary school degree","229","0.178725841614495","0.156875365902041","0.20057631732695"
"Limited","1996","16-34 y.","college entrance qualification","138","0.242190426705781","0.205989850518401","0.278391002893161"
"Limited","1996","16-34 y.","Other degree","24","","",""
"Limited","1996","16-34 y.","no degree/no degree yet","12","","",""
"Limited","1996","35-65 y.","lower secondary degree","108","0.0702223035313855","0.0572567585157685","0.0831878485470025"
"Limited","1996","35-65 y.","secondary school degree","54","0.0431573122811633","0.0315479777509686","0.054766646811358"
"Limited","1996","35-65 y.","college entrance qualification","44","0.0649793852961565","0.0460738102079329","0.0838849603843801"
"Limited","1996","35-65 y.","Other degree","28","","",""
"Limited","1996","35-65 y.","no degree/no degree yet","6","","",""
"Limited","1996","66 and older","lower secondary degree","","","",""
"Limited","1996","66 and older","secondary school degree","","","",""
"Limited","1996","66 and older","college entrance qualification","","","",""
"Limited","1996","66 and older","Other degree","","","",""
"Limited","1996","66 and older","no degree/no degree yet","","","",""
"Permanent","1997","16-34 y.","lower secondary degree","629","0.772829933007747","0.744010356363463","0.801649509652031"
"Permanent","1997","16-34 y.","secondary school degree","859","0.793968610716846","0.770292320936757","0.817644900496936"
"Permanent","1997","16-34 y.","college entrance qualification","406","0.705292916792291","0.667898214065657","0.742687619518925"
"Permanent","1997","16-34 y.","Other degree","103","0.820381776862885","0.75281698413877","0.887946569587"
"Permanent","1997","16-34 y.","no degree/no degree yet","34","0.711141427181251","0.577222373170196","0.845060481192306"
"Permanent","1997","35-65 y.","lower secondary degree","1319","0.935500396027932","0.922728612059775","0.94827217999609"
"Permanent","1997","35-65 y.","secondary school degree","1117","0.941656904218637","0.928311553296854","0.95500225514042"
"Permanent","1997","35-65 y.","college entrance qualification","606","0.929480667930685","0.909829038370262","0.949132297491108"
"Permanent","1997","35-65 y.","Other degree","395","0.912731130568056","0.885739783952652","0.939722477183461"
"Permanent","1997","35-65 y.","no degree/no degree yet","162","0.92232087299784","0.881965819685139","0.962675926310541"
"Permanent","1997","66 and older","lower secondary degree","8","","",""
"Permanent","1997","66 and older","secondary school degree","","","",""
"Permanent","1997","66 and older","college entrance qualification","5","","",""
"Permanent","1997","66 and older","Other degree","1","","",""
"Permanent","1997","66 and older","no degree/no degree yet","","","",""
"Limited","1997","16-34 y.","lower secondary degree","183","0.227170066992253","0.198350490347969","0.255989643636537"
