"plb0037_h","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Limited","2009","16-34 y.","865","0.35642521502615","0.337007306311721","0.375843123740579","2"
"Limited","2009","35-65 y.","410","0.0656547207432472","0.0595508615976999","0.0717585798887945","2"
"Permanent","2009","35-65 y.","5915","0.934345279256753","0.928241420111205","0.9404491384023","1"
"Permanent","2009","16-34 y.","1472","0.64357478497385","0.624156876259421","0.662992693688279","1"
"Permanent","2009","66 and older","67","0.759730356344629","0.667814965798986","0.851645746890272","1"
"Limited","2010","66 and older","17","","","","2"
"Limited","2010","16-34 y.","1139","0.365429142608121","0.349271230892206","0.381587054324035","2"
"Limited","2010","35-65 y.","699","0.0714986667503378","0.0660273227699343","0.0769700107307414","2"
"Permanent","2010","35-65 y.","7820","0.928501333249662","0.923029989269259","0.933972677230066","1"
"Permanent","2010","16-34 y.","2273","0.634570857391879","0.618412945675965","0.650728769107794","1"
"Permanent","2010","66 and older","74","0.808956267359887","0.728185108433796","0.889727426285977","1"
"Limited","2011","66 and older","14","","","","2"
"Limited","2011","16-34 y.","1288","0.365819175643687","0.350527030793174","0.3811113204942","2"
"Limited","2011","35-65 y.","877","0.0727117403060588","0.0677901216743338","0.0776333589377837","2"
"Permanent","2011","35-65 y.","9816","0.927288259693941","0.922366641062216","0.932209878325666","1"
"Permanent","2011","16-34 y.","2523","0.634180824356313","0.6188886795058","0.649472969206826","1"
"Permanent","2011","66 and older","85","0.86144217332825","0.793387321959013","0.929497024697488","1"
"Limited","2012","66 and older","21","","","","2"
"Limited","2012","16-34 y.","1319","0.360053587116582","0.344474730331635","0.375632443901529","2"
"Limited","2012","35-65 y.","923","0.0732845384500804","0.0683427874390052","0.0782262894611557","2"
"Permanent","2012","35-65 y.","9760","0.92671546154992","0.921773710538844","0.931657212560995","1"
"Permanent","2012","16-34 y.","2328","0.639946412883418","0.624367556098471","0.655525269668365","1"
"Permanent","2012","66 and older","107","0.85819484131489","0.797760739612043","0.918628943017737","1"
"Limited","2013","16-34 y.","1772","0.37284986909447","0.358769831446979","0.386929906741961","2"
"Limited","2013","35-65 y.","1111","0.0775209765997719","0.0726764622203031","0.0823654909792407","2"
"Limited","2013","66 and older","17","","","","2"
"Permanent","2013","35-65 y.","10594","0.922479023400228","0.917634509020759","0.927323537779697","1"
"Permanent","2013","66 and older","107","0.885042374326086","0.828900336386848","0.941184412265323","1"
"Permanent","2013","16-34 y.","2759","0.62715013090553","0.613070093258039","0.641230168553021","1"
"Limited","2014","16-34 y.","1536","0.394077516480551","0.378668138804427","0.409486894156675","2"
"Limited","2014","35-65 y.","929","0.0763303162565816","0.0712415806706033","0.0814190518425599","2"
"Limited","2014","66 and older","21","","","","2"
"Permanent","2014","35-65 y.","9530","0.923669683743418","0.91858094815744","0.928758419329397","1"
"Permanent","2014","66 and older","116","0.879496477845859","0.824982894536617","0.9340100611551","1"
"Permanent","2014","16-34 y.","2327","0.605922483519449","0.590513105843325","0.621331861195573","1"
"Limited","2015","16-34 y.","1611","0.374820084317074","0.359754510702328","0.38988565793182","2"
"Limited","2015","35-65 y.","951","0.0794938982016519","0.0742756424514065","0.0847121539518973","2"
"Limited","2015","66 and older","20","","","","2"
"Permanent","2015","35-65 y.","9372","0.920506101798348","0.915287846048103","0.925724357548594","1"
"Permanent","2015","66 and older","141","0.888887103382644","0.840342529830357","0.93743167693493","1"
"Permanent","2015","16-34 y.","2355","0.625179915682926","0.61011434206818","0.640245489297672","1"
"Limited","2016","16-34 y.","1578","0.401548358425171","0.385592592743956","0.417504124106386","2"
"Limited","2016","35-65 y.","1016","0.0799115282635781","0.0745325696574794","0.0852904868696768","2"
"Limited","2016","66 and older","27","","","","2"
"Permanent","2016","35-65 y.","8746","0.920088471736422","0.914709513130323","0.925467430342521","1"
"Permanent","2016","66 and older","125","0.806099420904961","0.743248715740758","0.868950126069164","1"
"Permanent","2016","16-34 y.","2048","0.598451641574829","0.582495875893614","0.614407407256044","1"
"Limited","2017","16-34 y.","1901","0.378606973847735","0.364092645719931","0.393121301975539","2"
"Limited","2017","35-65 y.","1057","0.0801023495321453","0.0750493060418689","0.0851553930224218","2"
"Limited","2017","66 and older","23","","","","2"
"Permanent","2017","35-65 y.","10029","0.919897650467855","0.914844606977578","0.924950693958131","1"
"Permanent","2017","66 and older","169","0.877788383111587","0.831459840754686","0.924116925468488","1"
"Permanent","2017","16-34 y.","2389","0.621393026152265","0.606878698024461","0.635907354280069","1"
"Limited","2018","16-34 y.","1943","0.372013318156051","0.357620086087843","0.386406550224259","2"
"Limited","2018","35-65 y.","1071","0.0777902596733481","0.0727256899516627","0.0828548293950334","2"
"Limited","2018","66 and older","26","","","","2"
"Permanent","2018","35-65 y.","9673","0.922209740326652","0.917145170604967","0.927274310048337","1"
"Permanent","2018","66 and older","192","0.858534369206616","0.812272395516317","0.904796342896915","1"
"Permanent","2018","16-34 y.","2389","0.627986681843949","0.613593449775741","0.642379913912157","1"
"Limited","2019","16-34 y.","1847","0.362888441401158","0.34819187612877","0.377585006673546","2"
"Limited","2019","35-65 y.","1037","0.0731964086903567","0.0681920904401433","0.0782007269405701","2"
"Limited","2019","66 and older","30","0.106407202024824","0.0687807230398098","0.144033681009837","2"
"Permanent","2019","35-65 y.","9369","0.926803591309643","0.92179927305943","0.931807909559857","1"
"Permanent","2019","66 and older","228","0.893592797975176","0.855966318990163","0.93121927696019","1"
"Permanent","2019","16-34 y.","2265","0.637111558598842","0.622414993326454","0.651808123871231","1"
