"plb0037_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Permanent","1997","West Germany","Male","2438","0.877594489634751","0.865410960072847","0.889778019196654","1"
"Permanent","1997","West Germany","Female","1806","0.86599691727157","0.851399271572555","0.880594562970586","1"
"Permanent","1997","East Germany","Male","818","0.825815114523846","0.802213652744067","0.849416576303624","1"
"Permanent","1997","East Germany","Female","743","0.839432440666566","0.815500073711294","0.863364807621839","1"
"Limited","1998","West Germany","Female","303","0.114812027878762","0.101931057741299","0.127692998016225","2"
"Limited","1998","East Germany","Female","172","0.199042950474654","0.173408846042706","0.224677054906602","2"
"Limited","1998","West Germany","Male","377","0.12631187246977","0.114583653183032","0.138040091756508","2"
"Limited","1998","East Germany","Male","181","0.165179531349627","0.142761243313733","0.187597819385521","2"
"Permanent","1998","West Germany","Male","2705","0.87368812753023","0.861959908243492","0.885416346816968","1"
"Permanent","1998","West Germany","Female","2050","0.885187972121238","0.872307001983775","0.898068942258701","1"
"Permanent","1998","East Germany","Male","873","0.834820468650373","0.812402180614479","0.857238756686267","1"
"Permanent","1998","East Germany","Female","760","0.800957049525346","0.775322945093398","0.826591153957294","1"
"Limited","1999","West Germany","Female","323","0.120633330945402","0.107476129567366","0.133790532323438","2"
"Limited","1999","East Germany","Female","188","0.187372590399406","0.162506856217333","0.212238324581478","2"
"Limited","1999","West Germany","Male","383","0.134598988750074","0.122384101689346","0.146813875810802","2"
"Limited","1999","East Germany","Male","211","0.192331111523429","0.168446196717305","0.216216026329552","2"
"Permanent","1999","West Germany","Male","2616","0.865401011249926","0.853186124189198","0.877615898310654","1"
"Permanent","1999","West Germany","Female","2031","0.879366669054598","0.866209467676562","0.892523870432634","1"
"Permanent","1999","East Germany","Male","835","0.807668888476571","0.783783973670448","0.831553803282695","1"
"Permanent","1999","East Germany","Female","758","0.812627409600594","0.787761675418522","0.837493143782667","1"
"Limited","2000","West Germany","Female","546","0.138456149066915","0.127583108096042","0.149329190037788","2"
"Limited","2000","East Germany","Female","257","0.181178176902696","0.160692710644789","0.201663643160604","2"
"Limited","2000","West Germany","Male","608","0.124588649450354","0.115452045096311","0.133725253804398","2"
"Limited","2000","East Germany","Male","276","0.182831503106095","0.163125788139977","0.202537218072213","2"
"Permanent","2000","West Germany","Female","3330","0.861543850933085","0.850670809962212","0.872416891903958","1"
"Permanent","2000","East Germany","Male","1202","0.817168496893905","0.797462781927787","0.836874211860023","1"
"Permanent","2000","East Germany","Female","1101","0.818821823097304","0.798336356839396","0.839307289355211","1"
"Permanent","2000","West Germany","Male","4411","0.875411350549646","0.866274746195602","0.884547954903689","1"
"Limited","2001","West Germany","Female","513","0.146776361225378","0.135176052007622","0.158376670443134","2"
"Limited","2001","East Germany","Female","252","0.187924171214882","0.166481316036352","0.209367026393413","2"
"Limited","2001","West Germany","Male","507","0.110938007722437","0.101731381052046","0.120144634392829","2"
"Limited","2001","East Germany","Male","259","0.194980231469785","0.173916421594878","0.216044041344693","2"
"Permanent","2001","West Germany","Female","3062","0.853223638774622","0.841623329556866","0.864823947992378","1"
"Permanent","2001","East Germany","Male","1100","0.805019768530215","0.783955958655308","0.826083578405122","1"
"Permanent","2001","East Germany","Female","1023","0.812075828785118","0.790632973606587","0.833518683963648","1"
"Permanent","2001","West Germany","Male","3963","0.889061992277563","0.879855365607171","0.898268618947954","1"
"Limited","2002","West Germany","Male","545","0.119435187567335","0.110160813203668","0.128709561931003","2"
"Limited","2002","West Germany","Female","532","0.146537183040482","0.135439652788428","0.157634713292535","2"
"Limited","2002","East Germany","Female","225","0.185708279067967","0.164338000777146","0.207078557358789","2"
"Limited","2002","East Germany","Male","230","0.187978706401259","0.166973660360605","0.208983752441912","2"
"Permanent","2002","West Germany","Female","3369","0.853462816959518","0.842365286707465","0.864560347211572","1"
"Permanent","2002","West Germany","Male","4152","0.880564812432665","0.871290438068997","0.889839186796332","1"
"Permanent","2002","East Germany","Male","1099","0.812021293598741","0.791016247558088","0.833026339639395","1"
"Permanent","2002","East Germany","Female","1047","0.814291720932033","0.792921442641211","0.835661999222854","1"
"Limited","2003","East Germany","Female","189","0.16155822499398","0.140690979313228","0.182425470674732","2"
"Limited","2003","West Germany","Male","514","0.12316251601955","0.113372051571159","0.13295298046794","2"
"Limited","2003","West Germany","Female","522","0.146721152563085","0.135323334018762","0.158118971107408","2"
"Limited","2003","East Germany","Male","226","0.186357441538145","0.164882271369196","0.207832611707093","2"
"Permanent","2003","West Germany","Female","3180","0.853278847436915","0.841881028892592","0.864676665981238","1"
"Permanent","2003","East Germany","Female","1006","0.83844177500602","0.817574529325268","0.859309020686772","1"
"Permanent","2003","West Germany","Male","3814","0.87683748398045","0.86704701953206","0.886627948428841","1"
"Permanent","2003","East Germany","Male","1037","0.813642558461855","0.792167388292907","0.835117728630804","1"
"Limited","2004","East Germany","Female","202","0.189371034096324","0.1671194955609","0.211622572631749","2"
"Limited","2004","West Germany","Male","496","0.125940315795075","0.115800696019841","0.136079935570308","2"
"Limited","2004","West Germany","Female","510","0.159536688398753","0.147566849366166","0.17150652743134","2"
"Limited","2004","East Germany","Male","240","0.206883273553514","0.184031195422148","0.229735351684879","2"
"Permanent","2004","West Germany","Female","3085","0.840463311601247","0.82849347256866","0.852433150633834","1"
"Permanent","2004","East Germany","Female","989","0.810628965903676","0.788377427368251","0.8328805044391","1"
"Permanent","2004","West Germany","Male","3617","0.874059684204925","0.863920064429692","0.884199303980159","1"
"Permanent","2004","East Germany","Male","967","0.793116726446487","0.770264648315121","0.815968804577852","1"
"Limited","2005","West Germany","Male","435","0.12875837946298","0.118369816075675","0.139146942850286","2"
"Limited","2005","West Germany","Female","477","0.144608144874289","0.132916189748697","0.156300099999881","2"
"Limited","2005","East Germany","Male","207","0.202566331384746","0.179634538912913","0.225498123856579","2"
"Limited","2005","East Germany","Female","171","0.181855177711631","0.159153380162457","0.204556975260806","2"
"Permanent","2005","West Germany","Female","2999","0.855391855125711","0.843699900000119","0.867083810251303","1"
"Permanent","2005","East Germany","Female","938","0.818144822288369","0.795443024739195","0.840846619837543","1"
"Permanent","2005","West Germany","Male","3558","0.871241620537019","0.860853057149714","0.881630183924325","1"
"Permanent","2005","East Germany","Male","973","0.797433668615254","0.774501876143421","0.820365461087087","1"
"Limited","2006","West Germany","Male","494","0.133162618386974","0.122828358060891","0.143496878713057","2"
"Limited","2006","West Germany","Female","502","0.153967515725585","0.142308194900062","0.165626836551107","2"
"Limited","2006","East Germany","Male","210","0.196263603604251","0.173707249058796","0.218819958149706","2"
"Limited","2006","East Germany","Female","207","0.208369569013521","0.185313336122366","0.231425801904676","2"
"Permanent","2006","West Germany","Female","3179","0.846032484274415","0.834373163448893","0.857691805099938","1"
"Permanent","2006","East Germany","Female","985","0.791630430986479","0.768574198095324","0.814686663877634","1"
"Permanent","2006","West Germany","Male","3658","0.866837381613025","0.856503121286943","0.877171641939108","1"
"Permanent","2006","East Germany","Male","981","0.803736396395749","0.781180041850294","0.826292750941204","1"
"Limited","2007","West Germany","Male","494","0.131519006964804","0.120959341924156","0.142078672005452","2"
"Limited","2007","West Germany","Female","499","0.16281605581778","0.150623002427425","0.175009109208135","2"
"Limited","2007","East Germany","Male","206","0.19392402397099","0.171230464928164","0.216617583013815","2"
"Limited","2007","East Germany","Female","205","0.216240268332609","0.192415639630336","0.240064897034882","2"
"Permanent","2007","West Germany","Male","3441","0.868480993035196","0.857921327994548","0.879040658075844","1"
"Permanent","2007","West Germany","Female","3023","0.83718394418222","0.824990890791865","0.849376997572575","1"
"Permanent","2007","East Germany","Female","942","0.783759731667391","0.759935102965118","0.807584360369664","1"
"Permanent","2007","East Germany","Male","960","0.80607597602901","0.783382416986185","0.828769535071836","1"
"Limited","2008","West Germany","Female","529","0.177915756844586","0.16503034565032","0.190801168038852","2"
"Limited","2008","East Germany","Male","190","0.174767369809927","0.152702806776981","0.196831932842874","2"
"Limited","2008","East Germany","Female","197","0.203027760380288","0.17948027186438","0.226575248896196","2"
"Limited","2008","West Germany","Male","452","0.132005120618285","0.121174068469307","0.142836172767262","2"
"Permanent","2008","East Germany","Female","924","0.796972239619712","0.773424751103804","0.82051972813562","1"
"Permanent","2008","West Germany","Male","3300","0.867994879381715","0.857163827232738","0.878825931530693","1"
"Permanent","2008","West Germany","Female","2855","0.822084243155414","0.809198831961148","0.83496965434968","1"
"Permanent","2008","East Germany","Male","948","0.825232630190072","0.803168067157126","0.847297193223019","1"
"Limited","2009","West Germany","Female","479","0.160769993397192","0.148043284787317","0.173496702007067","2"
"Limited","2009","East Germany","Male","190","0.180314124528839","0.157311000047915","0.203317249009762","2"
"Limited","2009","East Germany","Female","188","0.218098665717","0.1933668593819","0.2428304720521","2"
"Limited","2009","West Germany","Male","434","0.136925232888533","0.125371808430462","0.148478657346604","2"
"Permanent","2009","East Germany","Female","883","0.781901334283","0.7571695279479","0.8066331406181","1"
"Permanent","2009","West Germany","Male","2967","0.863074767111467","0.851521342653396","0.874628191569538","1"
"Permanent","2009","West Germany","Female","2721","0.839230006602808","0.826503297992933","0.851956715212683","1"
"Permanent","2009","East Germany","Male","883","0.819685875471161","0.796682750990238","0.842688999952085","1"
"Limited","2010","West Germany","Female","726","0.169897349275074","0.158795931386448","0.1809987671637","2"
"Limited","2010","West Germany","Male","648","0.135140973564634","0.125619066116041","0.144662881013227","2"
"Limited","2010","East Germany","Male","214","0.184586845252675","0.163705159325644","0.205468531179706","2"
"Limited","2010","East Germany","Female","267","0.220021357896962","0.197906868283769","0.242135847510156","2"
"Permanent","2010","West Germany","Male","4304","0.864859026435366","0.855337118986773","0.874380933883959","1"
"Permanent","2010","West Germany","Female","3670","0.830102650724926","0.8190012328363","0.841204068613552","1"
"Permanent","2010","East Germany","Male","1112","0.815413154747325","0.794531468820294","0.836294840674356","1"
"Permanent","2010","East Germany","Female","1081","0.779978642103038","0.757864152489844","0.802093131716231","1"
"Limited","2011","West Germany","Female","913","0.169727305327665","0.15997512145413","0.1794794892012","2"
"Limited","2011","East Germany","Female","298","0.197962103821175","0.178582559842635","0.217341647799715","2"
"Limited","2011","West Germany","Male","721","0.143796747344588","0.134744677469127","0.152848817220048","2"
"Limited","2011","East Germany","Male","247","0.172251731754707","0.153237765735218","0.191265697774196","2"
"Permanent","2011","West Germany","Male","5051","0.856203252655412","0.847151182779952","0.865255322530873","1"
"Permanent","2011","West Germany","Female","4779","0.830272694672335","0.8205205107988","0.84002487854587","1"
"Permanent","2011","East Germany","Male","1268","0.827748268245293","0.808734302225804","0.846762234264782","1"
"Permanent","2011","East Germany","Female","1326","0.802037896178825","0.782658352200285","0.821417440157365","1"
"Limited","2012","West Germany","Female","954","0.174625093893928","0.164816553526135","0.184433634261721","2"
"Limited","2012","East Germany","Female","292","0.158881100496597","0.141112524022712","0.176649676970482","2"
"Limited","2012","West Germany","Male","774","0.1455591034486","0.136319972190658","0.154798234706542","2"
"Limited","2012","East Germany","Male","243","0.177671304142167","0.158197598494207","0.197145009790126","2"
"Permanent","2012","West Germany","Male","4823","0.8544408965514","0.845201765293458","0.863680027809342","1"
"Permanent","2012","West Germany","Female","4801","0.825374906106072","0.815566365738279","0.835183446473865","1"
"Permanent","2012","East Germany","Male","1237","0.822328695857833","0.802854990209873","0.841802401505793","1"
"Permanent","2012","East Germany","Female","1334","0.841118899503403","0.823350323029518","0.858887475977288","1"
"Limited","2013","West Germany","Female","1250","0.172401435051781","0.163374970521784","0.181427899581777","2"
"Limited","2013","East Germany","Female","313","0.180918980998353","0.162242566186174","0.199595395810532","2"
"Limited","2013","West Germany","Male","1087","0.158817788275991","0.149957385581979","0.167678190970002","2"
"Limited","2013","East Germany","Male","250","0.168959671648204","0.149765024593205","0.188154318703203","2"
"Permanent","2013","West Germany","Female","5477","0.827598564948219","0.818572100418223","0.836625029478216","1"
"Permanent","2013","East Germany","Male","1214","0.831040328351796","0.811845681296797","0.850234975406795","1"
"Permanent","2013","East Germany","Female","1319","0.819081019001647","0.800404604189468","0.837757433813826","1"
"Permanent","2013","West Germany","Male","5450","0.841182211724009","0.832321809029998","0.850042614418021","1"
"Limited","2014","West Germany","Female","1114","0.178677083777043","0.168935945395879","0.188418222158207","2"
"Limited","2014","East Germany","Female","254","0.176300343380863","0.156779949606106","0.19582073715562","2"
"Limited","2014","West Germany","Male","883","0.165908235506835","0.1562771824447","0.175539288568969","2"
"Limited","2014","East Germany","Male","235","0.184932277358655","0.164011810335876","0.205852744381435","2"
"Permanent","2014","West Germany","Female","4827","0.821322916222957","0.811581777841793","0.831064054604121","1"
"Permanent","2014","East Germany","Male","1088","0.815067722641345","0.794147255618565","0.835988189664124","1"
"Permanent","2014","East Germany","Female","1210","0.823699656619137","0.80417926284438","0.843220050393894","1"
"Permanent","2014","West Germany","Male","4848","0.834091764493165","0.824460711431031","0.8437228175553","1"
"Limited","2015","West Germany","Male","952","0.161115021155081","0.151630745781643","0.17059929652852","2"
"Limited","2015","West Germany","Female","1163","0.175884109640458","0.16623137776332","0.185536841517596","2"
"Limited","2015","East Germany","Female","254","0.173377544952758","0.153728639989682","0.193026449915834","2"
"Limited","2015","East Germany","Male","213","0.166988536944951","0.146524487684407","0.187452586205496","2"
"Permanent","2015","West Germany","Female","4813","0.824115890359542","0.814463158482404","0.83376862223668","1"
"Permanent","2015","West Germany","Male","4820","0.838884978844919","0.82940070347148","0.848369254218357","1"
"Permanent","2015","East Germany","Male","1063","0.833011463055049","0.812547413794504","0.853475512315593","1"
"Permanent","2015","East Germany","Female","1172","0.826622455047242","0.806973550084166","0.846271360010318","1"
"Limited","2016","East Germany","Female","244","0.178241062195515","0.158070727721779","0.19841139666925","2"
"Limited","2016","West Germany","Male","1088","0.18058303663948","0.170286868236016","0.190879205042943","2"
"Limited","2016","West Germany","Female","1056","0.173192741762782","0.163246072459522","0.183139411066042","2"
"Limited","2016","East Germany","Male","233","0.168506810366332","0.147630550732261","0.189383070000402","2"
"Permanent","2016","West Germany","Female","4504","0.826807258237218","0.816860588933958","0.836753927540478","1"
"Permanent","2016","East Germany","Female","1139","0.821758937804485","0.80158860333075","0.841929272278221","1"
"Permanent","2016","West Germany","Male","4274","0.819416963360521","0.809120794957057","0.829713131763984","1"
"Permanent","2016","East Germany","Male","1002","0.831493189633668","0.810616929999598","0.852369449267739","1"
"Limited","2017","East Germany","Female","249","0.159995318786496","0.141814976002128","0.178175661570865","2"
"Limited","2017","West Germany","Male","1328","0.170829576361641","0.16150042714483","0.180158725578452","2"
"Limited","2017","West Germany","Female","1149","0.176122196587692","0.166708477897221","0.185535915278163","2"
"Limited","2017","East Germany","Male","255","0.147131632806805","0.128986022350674","0.165277243262936","2"
"Permanent","2017","West Germany","Female","5141","0.823877803412308","0.814464084721837","0.833291522102779","1"
"Permanent","2017","East Germany","Female","1313","0.840004681213504","0.821824338429135","0.858185023997873","1"
"Permanent","2017","West Germany","Male","4924","0.829170423638359","0.819841274421548","0.838499572855171","1"
"Permanent","2017","East Germany","Male","1209","0.852868367193195","0.834722756737064","0.871013977649326","1"
"Limited","2018","West Germany","Male","1444","0.178721392075977","0.169163356185041","0.188279427966913","2"
"Limited","2018","West Germany","Female","1084","0.159852331947677","0.150656630140795","0.169048033754559","2"
"Limited","2018","East Germany","Male","278","0.141983847473915","0.124237626360749","0.159730068587082","2"
"Limited","2018","East Germany","Female","234","0.147802803864657","0.130048432977258","0.165557174752057","2"
"Permanent","2018","West Germany","Female","5017","0.840147668052323","0.830951966245441","0.849343369859205","1"
"Permanent","2018","East Germany","Female","1301","0.852197196135343","0.834442825247943","0.869951567022742","1"
"Permanent","2018","West Germany","Male","4728","0.821278607924023","0.811720572033087","0.830836643814959","1"
"Permanent","2018","East Germany","Male","1208","0.858016152526085","0.840269931412918","0.875762373639251","1"
"Limited","2019","West Germany","Male","1392","0.168909047342732","0.159416057151911","0.178402037533552","2"
"Limited","2019","West Germany","Female","1037","0.157657696672795","0.148326480800678","0.166988912544911","2"
"Limited","2019","East Germany","Male","257","0.130276869844867","0.112574918778611","0.147978820911122","2"
"Limited","2019","East Germany","Female","219","0.142977320375709","0.125244944642856","0.160709696108563","2"
"Permanent","2019","West Germany","Female","4822","0.842342303327205","0.833011087455089","0.851673519199322","1"
"Permanent","2019","East Germany","Female","1278","0.857022679624291","0.839290303891437","0.874755055357144","1"
"Permanent","2019","West Germany","Male","4592","0.831090952657268","0.821597962466448","0.840583942848089","1"
"Permanent","2019","East Germany","Male","1132","0.869723130155133","0.852021179088878","0.887425081221389","1"
