"plb0037_h","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Limited","2010","Urban Area","1206","0.153386896757299","0.145423327828066","0.161350465686532"
"Permanent","2010","Rural Area","3507","0.825095700186353","0.81354621232804","0.836645188044665"
"Permanent","2010","Urban Area","6660","0.846613103242701","0.838649534313468","0.854576672171934"
"Limited","2011","Rural Area","798","0.167681556427308","0.157496246562568","0.177866866292048"
"Limited","2011","Urban Area","1381","0.157624582250637","0.150271965057558","0.164977199443715"
"Permanent","2011","Rural Area","4370","0.832318443572692","0.822133133707952","0.842503753437432"
"Permanent","2011","Urban Area","8054","0.842375417749363","0.835022800556285","0.849728034942442"
"Limited","2012","Rural Area","809","0.150582809616561","0.140869643319991","0.160295975913131"
"Limited","2012","Urban Area","1454","0.165818833126995","0.158239616112774","0.173398050141215"
"Permanent","2012","Rural Area","4399","0.849417190383439","0.839704024086869","0.859130356680009"
"Permanent","2012","Urban Area","7796","0.834181166873005","0.826601949858785","0.841760383887226"
"Limited","2013","Rural Area","892","0.144200398020157","0.134896056544176","0.153504739496138"
"Limited","2013","Urban Area","2008","0.177396886730381","0.170220232941854","0.184573540518907"
"Permanent","2013","Rural Area","4584","0.855799601979843","0.846495260503862","0.865103943455824"
"Permanent","2013","Urban Area","8876","0.822603113269619","0.815426459481093","0.829779767058146"
"Limited","2014","Rural Area","781","0.156544510057214","0.146385852155622","0.166703167958805"
"Limited","2014","Urban Area","1705","0.181289383344935","0.173560188196044","0.189018578493826"
"Permanent","2014","Rural Area","4134","0.843455489942786","0.833296832041194","0.853614147844378"
"Permanent","2014","Urban Area","7839","0.818710616655065","0.810981421506174","0.826439811803956"
"Limited","2015","Rural Area","812","0.14683740829892","0.136958365943078","0.156716450654762"
"Limited","2015","Urban Area","1770","0.178527620382383","0.170834516115446","0.186220724649321"
"Permanent","2015","Rural Area","4119","0.85316259170108","0.843283549345238","0.863041634056922"
"Permanent","2015","Urban Area","7749","0.821472379617617","0.813779275350679","0.829165483884554"
"Limited","2016","Rural Area","846","0.150100063635735","0.139795334636765","0.160404792634705"
"Limited","2016","Urban Area","1775","0.188178853785694","0.180069998164222","0.196287709407166"
"Permanent","2016","Rural Area","3769","0.849899936364265","0.839595207365296","0.860204665363235"
"Permanent","2016","Urban Area","7150","0.811821146214306","0.803712290592834","0.819930001835778"
"Limited","2017","Rural Area","984","0.152979768094457","0.143438683879587","0.162520852309326"
"Limited","2017","Urban Area","1997","0.177740608570052","0.170284964671486","0.185196252468618"
"Permanent","2017","Rural Area","4484","0.847020231905543","0.837479147690674","0.856561316120413"
"Permanent","2017","Urban Area","8103","0.822259391429948","0.814803747531382","0.829715035328514"
"Limited","2018","Rural Area","949","0.140258503634849","0.130897270595856","0.149619736673841"
"Limited","2018","Urban Area","2091","0.176861156693701","0.169385880881245","0.184336432506157"
"Permanent","2018","Rural Area","4337","0.859741496365151","0.850380263326159","0.869102729404144"
"Permanent","2018","Urban Area","7917","0.823138843306299","0.815663567493842","0.830614119118755"
"Limited","2019","Rural Area","871","0.13520973438368","0.125729712472144","0.144689756295217"
"Limited","2019","Urban Area","1832","0.162908293547531","0.155250860050087","0.170565727044974"
"Permanent","2019","Rural Area","4127","0.86479026561632","0.855310243704783","0.874270287527856"
"Permanent","2019","Urban Area","7102","0.83709170645247","0.829434272955026","0.844749139949913"
