"plb0037_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Permanent","1993","Rural Area","East Germany","236","0.746226091366683","0.698471905131786","0.793980277601581","1"
"Permanent","1993","Urban Area","West Germany","517","0.790381453690481","0.759351538814389","0.821411368566574","1"
"Permanent","1993","Rural Area","West Germany","115","0.657814028297526","0.583836091732582","0.731791964862471","1"
"Limited","1994","Urban Area","West Germany","190","0.27479303021761","0.23993429242826","0.30965176800696","2"
"Limited","1994","Urban Area","East Germany","56","0.2794130511335","0.213121482301752","0.345704619965247","2"
"Limited","1994","Rural Area","West Germany","58","0.413165095861738","0.338484179774563","0.487846011948913","2"
"Limited","1994","Rural Area","East Germany","109","0.383312587018135","0.325849252149159","0.440775921887111","2"
"Permanent","1994","Urban Area","West Germany","440","0.72520696978239","0.69034823199304","0.76006570757174","1"
"Permanent","1994","Urban Area","East Germany","120","0.7205869488665","0.654295380034753","0.786878517698248","1"
"Permanent","1994","Rural Area","East Germany","166","0.616687412981865","0.559224078112889","0.674150747850841","1"
"Permanent","1994","Rural Area","West Germany","109","0.586834904138262","0.512153988051087","0.661515820225437","1"
"Limited","1995","Urban Area","East Germany","98","0.149915021472802","0.123619292865424","0.176210750080181","2"
"Limited","1995","Rural Area","West Germany","154","0.145534786456484","0.124761515760912","0.166308057152055","2"
"Limited","1995","Rural Area","East Germany","249","0.192265459382114","0.17105445218498","0.213476466579249","2"
"Limited","1995","Urban Area","West Germany","431","0.100337758609176","0.0911027703349518","0.1095727468834","2"
"Permanent","1995","Rural Area","East Germany","1077","0.807734540617886","0.786523533420751","0.82894554781502","1"
"Permanent","1995","Urban Area","West Germany","3635","0.899662241390824","0.890427253116601","0.908897229665048","1"
"Permanent","1995","Urban Area","East Germany","610","0.850084978527198","0.823789249919819","0.876380707134576","1"
"Permanent","1995","Rural Area","West Germany","953","0.854465213543516","0.833691942847945","0.875238484239088","1"
"Limited","1996","Urban Area","East Germany","110","0.165173622212211","0.137859493944461","0.192487750479962","2"
"Limited","1996","Rural Area","West Germany","132","0.123702995622349","0.104219783938593","0.143186207306106","2"
"Limited","1996","Rural Area","East Germany","215","0.155661929677253","0.135668108361982","0.175655750992524","2"
"Limited","1996","Urban Area","West Germany","410","0.104820541486958","0.0952337661535283","0.114407316820389","2"
"Permanent","1996","Rural Area","East Germany","1048","0.844338070322747","0.824344249007476","0.864331891638018","1"
"Permanent","1996","Urban Area","West Germany","3512","0.895179458513041","0.885592683179611","0.904766233846472","1"
"Permanent","1996","Urban Area","East Germany","600","0.834826377787789","0.807512249520039","0.862140506055539","1"
"Permanent","1996","Rural Area","West Germany","965","0.876297004377651","0.856813792693894","0.895780216061407","1"
"Limited","1997","Urban Area","East Germany","106","0.156793851423006","0.128990522176448","0.184597180669563","2"
"Limited","1997","Urban Area","West Germany","493","0.126954016923988","0.11639520523591","0.137512828612065","2"
"Limited","1997","Rural Area","West Germany","135","0.128780926039638","0.10854964585073","0.149012206228545","2"
"Limited","1997","Rural Area","East Germany","229","0.175133278535936","0.153969721248299","0.196296835823572","2"
"Permanent","1997","Urban Area","West Germany","3326","0.873045983076012","0.862487171387935","0.88360479476409","1"
"Permanent","1997","Urban Area","East Germany","551","0.843206148576994","0.815402819330437","0.871009477823552","1"
"Permanent","1997","Rural Area","West Germany","918","0.871219073960362","0.850987793771455","0.89145035414927","1"
"Permanent","1997","Rural Area","East Germany","1010","0.824866721464064","0.803703164176428","0.846030278751701","1"
"Limited","1998","Urban Area","East Germany","112","0.157658836627622","0.13030872680295","0.185008946452293","2"
"Limited","1998","Rural Area","East Germany","241","0.193436566929223","0.171997896524058","0.214875237334388","2"
"Limited","1998","Urban Area","West Germany","534","0.124566534682251","0.114598488219957","0.134534581144545","2"
"Limited","1998","Rural Area","West Germany","146","0.1101383984245","0.0925641464001614","0.127712650448839","2"
"Permanent","1998","Urban Area","West Germany","3682","0.875433465317749","0.865465418855455","0.885401511780043","1"
"Permanent","1998","Urban Area","East Germany","570","0.842341163372378","0.814991053547707","0.86969127319705","1"
"Permanent","1998","Rural Area","West Germany","1073","0.8898616015755","0.872287349551161","0.907435853599839","1"
"Permanent","1998","Rural Area","East Germany","1063","0.806563433070777","0.785124762665612","0.828002103475942","1"
"Limited","1999","Urban Area","East Germany","124","0.161810382240156","0.134351465653363","0.189269298826948","2"
"Limited","1999","Rural Area","East Germany","275","0.206477621293548","0.184482542279338","0.228472700307759","2"
"Limited","1999","Urban Area","West Germany","539","0.126938769922318","0.116793179631192","0.137084360213444","2"
"Limited","1999","Rural Area","West Germany","167","0.134250909771891","0.115096999766839","0.153404819776943","2"
"Permanent","1999","Urban Area","West Germany","3597","0.873061230077682","0.862915639786556","0.883206820368807","1"
"Permanent","1999","Urban Area","East Germany","567","0.838189617759844","0.810730701173052","0.865648534346637","1"
"Permanent","1999","Rural Area","West Germany","1050","0.865749090228109","0.846595180223057","0.884903000233161","1"
"Permanent","1999","Rural Area","East Germany","1026","0.793522378706452","0.771527299692241","0.815517457720662","1"
"Limited","2000","Urban Area","East Germany","152","0.159316213923989","0.13599512381144","0.182637304036538","2"
"Limited","2000","Rural Area","East Germany","381","0.193943719041624","0.176118382756235","0.211769055327013","2"
"Limited","2000","Urban Area","West Germany","853","0.128037326903013","0.120102672462011","0.135971981344015","2"
"Limited","2000","Rural Area","West Germany","301","0.139188678966952","0.124323867766653","0.154053490167252","2"
"Permanent","2000","Urban Area","East Germany","794","0.840683786076011","0.817362695963462","0.86400487618856","1"
"Permanent","2000","Rural Area","West Germany","1782","0.860811321033048","0.845946509832749","0.875676132233347","1"
"Permanent","2000","Rural Area","East Germany","1509","0.806056280958376","0.788230944672987","0.823881617243765","1"
"Permanent","2000","Urban Area","West Germany","5959","0.871962673096987","0.864028018655985","0.879897327537989","1"
"Limited","2001","Urban Area","East Germany","143","0.156439571913235","0.132653348434766","0.180225795391704","2"
"Limited","2001","Rural Area","East Germany","368","0.21139327093474","0.19219778885348","0.230588753016001","2"
"Limited","2001","Urban Area","West Germany","776","0.125275308566791","0.117050012842448","0.133500604291134","2"
"Limited","2001","Rural Area","West Germany","244","0.130881345895333","0.115399128243339","0.146363563547327","2"
"Permanent","2001","Urban Area","East Germany","753","0.843560428086765","0.819774204608296","0.867346651565234","1"
"Permanent","2001","Rural Area","West Germany","1579","0.869118654104667","0.853636436452673","0.884600871756661","1"
"Permanent","2001","Rural Area","East Germany","1370","0.78860672906526","0.769411246983999","0.80780221114652","1"
"Permanent","2001","Urban Area","West Germany","5446","0.874724691433209","0.866499395708866","0.882949987157552","1"
"Limited","2002","Urban Area","West Germany","804","0.128453437674442","0.120409783055925","0.136497092292959","2"
"Limited","2002","Urban Area","East Germany","159","0.188890389291592","0.163500698798608","0.214280079784576","2"
"Limited","2002","Rural Area","East Germany","296","0.185819737706857","0.167264433614829","0.204375041798884","2"
"Limited","2002","Rural Area","West Germany","273","0.140673955085751","0.125246109171294","0.156101801000209","2"
"Permanent","2002","Urban Area","East Germany","754","0.811109610708408","0.785719920215424","0.836499301201392","1"
"Permanent","2002","Urban Area","West Germany","5843","0.871546562325558","0.863502907707041","0.879590216944075","1"
"Permanent","2002","Rural Area","West Germany","1678","0.859326044914249","0.843898198999792","0.874753890828706","1"
"Permanent","2002","Rural Area","East Germany","1392","0.814180262293143","0.795624958201116","0.832735566385171","1"
"Limited","2003","Rural Area","East Germany","280","0.180978341881262","0.162119569416505","0.19983711434602","2"
"Limited","2003","Urban Area","West Germany","785","0.132851970238124","0.124427828635438","0.14127611184081","2"
"Limited","2003","Urban Area","East Germany","135","0.163286391727685","0.138539475262036","0.188033308193333","2"
"Limited","2003","Rural Area","West Germany","251","0.13606981235213","0.120204190849661","0.151935433854599","2"
"Permanent","2003","Urban Area","East Germany","722","0.836713608272315","0.811966691806667","0.861460524737964","1"
"Permanent","2003","Rural Area","East Germany","1321","0.819021658118738","0.80016288565398","0.837880430583495","1"
"Permanent","2003","Urban Area","West Germany","5451","0.867148029761876","0.85872388815919","0.875572171364562","1"
"Permanent","2003","Rural Area","West Germany","1543","0.86393018764787","0.848064566145401","0.879795809150339","1"
"Limited","2004","Rural Area","East Germany","280","0.175331952960749","0.156334345928108","0.19432955999339","2"
"Limited","2004","Urban Area","West Germany","745","0.13628485237338","0.12758693004283","0.14498277470393","2"
"Limited","2004","Urban Area","East Germany","162","0.239952342058689","0.21139390615066","0.268510777966718","2"
"Limited","2004","Rural Area","West Germany","261","0.158147976773855","0.140959030379331","0.175336923168379","2"
"Permanent","2004","Urban Area","East Germany","697","0.760047657941311","0.731489222033282","0.78860609384934","1"
"Permanent","2004","Rural Area","East Germany","1259","0.824668047039251","0.80567044000661","0.843665654071892","1"
"Permanent","2004","Urban Area","West Germany","5232","0.86371514762662","0.85501722529607","0.87241306995717","1"
"Permanent","2004","Rural Area","West Germany","1470","0.841852023226145","0.824663076831621","0.859040969620669","1"
"Limited","2005","Urban Area","West Germany","695","0.131296095704621","0.122595567435654","0.139996623973587","2"
"Limited","2005","Urban Area","East Germany","136","0.18915148977197","0.162214763003914","0.216088216540027","2"
"Limited","2005","Rural Area","West Germany","217","0.151101220940359","0.133980337303716","0.168222104577002","2"
"Limited","2005","Rural Area","East Germany","242","0.195723018344978","0.175489024414889","0.215957012275066","2"
"Permanent","2005","Urban Area","East Germany","676","0.81084851022803","0.783911783459973","0.837785236996086","1"
"Permanent","2005","Rural Area","East Germany","1235","0.804276981655022","0.784042987724934","0.824510975585111","1"
"Permanent","2005","Urban Area","West Germany","5093","0.868703904295379","0.860003376026413","0.877404432564346","1"
"Permanent","2005","Rural Area","West Germany","1464","0.848898779059641","0.831777895422998","0.866019662696284","1"
"Limited","2006","Urban Area","West Germany","760","0.140914929266715","0.132138898722136","0.149690959811294","2"
"Limited","2006","Urban Area","East Germany","146","0.212357944162278","0.184568162633822","0.240147725690733","2"
"Limited","2006","Rural Area","West Germany","236","0.14770798164034","0.131294071288283","0.164121891992397","2"
"Limited","2006","Rural Area","East Germany","271","0.195987390197067","0.176231905609896","0.215742874784238","2"
"Permanent","2006","Urban Area","East Germany","686","0.787642055837722","0.759852274309267","0.815431837366178","1"
"Permanent","2006","Rural Area","East Germany","1280","0.804012609802933","0.784257125215762","0.823768094390104","1"
"Permanent","2006","Urban Area","West Germany","5278","0.859085070733285","0.850309040188706","0.867861101277864","1"
"Permanent","2006","Rural Area","West Germany","1559","0.85229201835966","0.835878108007603","0.868705928711717","1"
"Limited","2007","Urban Area","West Germany","743","0.143793955019291","0.134703289526007","0.152884620512574","2"
"Limited","2007","Urban Area","East Germany","154","0.22803020138407","0.198992833470901","0.25706756929724","2"
"Limited","2007","Rural Area","West Germany","250","0.151808787734114","0.134919206375176","0.168698369093052","2"
"Limited","2007","Rural Area","East Germany","257","0.191920106675949","0.172063581652971","0.211776631698928","2"
"Permanent","2007","Urban Area","West Germany","4980","0.856206044980709","0.847115379487426","0.865296710473993","1"
"Permanent","2007","Urban Area","East Germany","648","0.77196979861593","0.74293243070276","0.801007166529099","1"
"Permanent","2007","Rural Area","East Germany","1254","0.808079893324051","0.788223368301072","0.827936418347029","1"
"Permanent","2007","Rural Area","West Germany","1484","0.848191212265886","0.831301630906948","0.865080793624824","1"
"Limited","2008","Urban Area","East Germany","137","0.187612499408158","0.16049160185929","0.214733396957026","2"
"Limited","2008","Rural Area","West Germany","237","0.163840902908792","0.145976299101637","0.181705506715947","2"
"Limited","2008","Rural Area","East Germany","250","0.187648424197839","0.167641957181345","0.207654891214333","2"
"Limited","2008","Urban Area","West Germany","744","0.149303755513826","0.13987393916573","0.158733571861922","2"
"Permanent","2008","Rural Area","East Germany","1213","0.812351575802161","0.792345108785667","0.832358042818655","1"
"Permanent","2008","Urban Area","West Germany","4743","0.850696244486174","0.841266428138078","0.86012606083427","1"
"Permanent","2008","Urban Area","East Germany","659","0.812387500591842","0.785266603042974","0.83950839814071","1"
"Permanent","2008","Rural Area","West Germany","1412","0.836159097091208","0.818294493284053","0.854023700898363","1"
"Limited","2009","Urban Area","East Germany","143","0.247464731452451","0.216309252468756","0.278620210436147","2"
"Limited","2009","Rural Area","West Germany","194","0.14342476392956","0.126048218857678","0.160801309001442","2"
"Limited","2009","Rural Area","East Germany","235","0.170954697635696","0.151283504912019","0.190625890359373","2"
"Limited","2009","Urban Area","West Germany","719","0.149303507248834","0.139462459580493","0.159144554917175","2"
"Permanent","2009","Rural Area","East Germany","1172","0.829045302364304","0.809374109640627","0.848716495087981","1"
"Permanent","2009","Urban Area","West Germany","4319","0.850696492751166","0.840855445082825","0.860537540419507","1"
"Permanent","2009","Urban Area","East Germany","594","0.752535268547549","0.721379789563854","0.783690747531244","1"
"Permanent","2009","Rural Area","West Germany","1369","0.85657523607044","0.839198690998558","0.873951781142323","1"
"Limited","2010","Urban Area","East Germany","192","0.252247232679139","0.224168173315318","0.280326292042959","2"
"Limited","2010","Urban Area","West Germany","1014","0.143396424676848","0.135154881380141","0.151637967973554","2"
"Limited","2010","Rural Area","West Germany","360","0.176128837481281","0.160891927696413","0.19136574726615","2"
"Limited","2010","Rural Area","East Germany","289","0.172711727497803","0.1550269793787","0.190396475616907","2"
"Permanent","2010","Urban Area","West Germany","5933","0.856603575323152","0.848362032026446","0.864845118619859","1"
"Permanent","2010","Urban Area","East Germany","727","0.747752767320861","0.719673707957041","0.775831826684682","1"
"Permanent","2010","Rural Area","West Germany","2041","0.823871162518719","0.80863425273385","0.839108072303588","1"
"Permanent","2010","Rural Area","East Germany","1466","0.827288272502196","0.809603524383093","0.8449730206213","1"
"Limited","2011","Urban Area","East Germany","213","0.206562821650478","0.182842782597599","0.230282860703358","2"
"Limited","2011","Rural Area","East Germany","332","0.170942920219145","0.154526056922192","0.187359783516099","2"
"Limited","2011","Urban Area","West Germany","1168","0.15241731415144","0.144692304314542","0.160142323988337","2"
"Limited","2011","Rural Area","West Germany","466","0.165932541277073","0.152936918394161","0.178928164159985","2"
"Permanent","2011","Urban Area","West Germany","7148","0.84758268584856","0.839857676011663","0.855307695685458","1"
"Permanent","2011","Urban Area","East Germany","906","0.793437178349521","0.769717139296642","0.817157217402401","1"
"Permanent","2011","Rural Area","West Germany","2682","0.834067458722927","0.821071835840015","0.847063081605839","1"
"Permanent","2011","Rural Area","East Germany","1688","0.829057079780855","0.812640216483901","0.845473943077808","1"
"Limited","2012","Urban Area","East Germany","214","0.210363913962965","0.186112764021918","0.234615063904013","2"
"Limited","2012","Rural Area","East Germany","321","0.144755787326368","0.129415694974766","0.16009587967797","2"
"Limited","2012","Urban Area","West Germany","1240","0.161263333139611","0.153286130447333","0.169240535831888","2"
"Limited","2012","Rural Area","West Germany","488","0.153494873430142","0.140980220980231","0.166009525880052","2"
"Permanent","2012","Urban Area","West Germany","6925","0.838736666860389","0.830759464168112","0.846713869552667","1"
"Permanent","2012","Urban Area","East Germany","871","0.789636086037035","0.765384936095987","0.813887235978082","1"
"Permanent","2012","Rural Area","West Germany","2699","0.846505126569859","0.833990474119948","0.859019779019769","1"
"Permanent","2012","Rural Area","East Germany","1700","0.855244212673632","0.83990412032203","0.870584305025234","1"
"Limited","2013","Urban Area","East Germany","234","0.212838763000486","0.189026132498892","0.23665139350208","2"
"Limited","2013","Rural Area","East Germany","329","0.152860005217085","0.136933011006725","0.168786999427445","2"
"Limited","2013","Urban Area","West Germany","1774","0.173748305489013","0.166227150708304","0.181269460269722","2"
"Limited","2013","Rural Area","West Germany","563","0.139468003961305","0.128015347584462","0.150920660338147","2"
"Permanent","2013","Urban Area","East Germany","901","0.787161236999514","0.76334860649792","0.810973867501108","1"
"Permanent","2013","Rural Area","West Germany","2952","0.860531996038695","0.849079339661852","0.871984652415538","1"
"Permanent","2013","Rural Area","East Germany","1632","0.847139994782915","0.831213000572556","0.863066988993275","1"
"Permanent","2013","Urban Area","West Germany","7975","0.826251694510987","0.818730539730278","0.833772849291696","1"
"Limited","2014","Urban Area","East Germany","198","0.20901916361995","0.183930441487783","0.234107885752116","2"
"Limited","2014","Rural Area","East Germany","291","0.163860269486232","0.14665511901657","0.181065419955893","2"
"Limited","2014","Urban Area","West Germany","1507","0.178367580877589","0.170245953261232","0.186489208493946","2"
"Limited","2014","Rural Area","West Germany","490","0.152746990658439","0.140158208364049","0.16533577295283","2"
"Permanent","2014","Urban Area","East Germany","811","0.79098083638005","0.765892114247884","0.816069558512217","1"
"Permanent","2014","Rural Area","West Germany","2647","0.84725300934156","0.83466422704717","0.859841791635951","1"
"Permanent","2014","Rural Area","East Germany","1487","0.836139730513768","0.818934580044107","0.85334488098343","1"
"Permanent","2014","Urban Area","West Germany","7028","0.821632419122411","0.813510791506054","0.829754046738768","1"
"Limited","2015","Urban Area","West Germany","1569","0.175719456097724","0.167626852107423","0.183812060088026","2"
"Limited","2015","Urban Area","East Germany","201","0.203416706234348","0.178749544572047","0.22808386789665","2"
"Limited","2015","Rural Area","East Germany","266","0.147683142571015","0.130712872861971","0.164653412280059","2"
"Limited","2015","Rural Area","West Germany","546","0.14642695400139","0.134276187283735","0.158577720719044","2"
"Permanent","2015","Urban Area","East Germany","822","0.796583293765652","0.77191613210335","0.821250455427953","1"
"Permanent","2015","Urban Area","West Germany","6927","0.824280543902276","0.816187939911974","0.832373147892577","1"
"Permanent","2015","Rural Area","West Germany","2706","0.85357304599861","0.841422279280956","0.865723812716265","1"
"Permanent","2015","Rural Area","East Germany","1413","0.852316857428985","0.835346587719941","0.869287127138029","1"
"Limited","2016","Rural Area","East Germany","276","0.147430951471488","0.130308718314177","0.164553184628799","2"
"Limited","2016","Urban Area","West Germany","1574","0.185282352113819","0.176743964089781","0.193820740137858","2"
"Limited","2016","Urban Area","East Germany","201","0.216041306420179","0.190155990857988","0.241926621982371","2"
"Limited","2016","Rural Area","West Germany","570","0.151523896175848","0.1386242881162","0.164423504235495","2"
"Permanent","2016","Urban Area","East Germany","770","0.783958693579821","0.758073378017629","0.809844009142012","1"
"Permanent","2016","Rural Area","East Germany","1371","0.852569048528512","0.835446815371201","0.869691281685823","1"
"Permanent","2016","Urban Area","West Germany","6380","0.814717647886181","0.806179259862142","0.823256035910219","1"
"Permanent","2016","Rural Area","West Germany","2398","0.848476103824152","0.835576495764505","0.8613757118838","1"
"Limited","2017","Rural Area","East Germany","317","0.145646660733811","0.13001400757292","0.161279313894701","2"
"Limited","2017","Urban Area","West Germany","1810","0.178945357243575","0.171039472767026","0.186851241720124","2"
"Limited","2017","Urban Area","East Germany","187","0.165884916036411","0.143596837043254","0.188172995029567","2"
"Limited","2017","Rural Area","West Germany","667","0.156749137770173","0.14472505894478","0.168773216595566","2"
"Permanent","2017","Urban Area","East Germany","883","0.834115083963589","0.811827004970433","0.856403162956746","1"
"Permanent","2017","Rural Area","East Germany","1639","0.85435333926619","0.838720686105299","0.86998599242708","1"
"Permanent","2017","Urban Area","West Germany","7220","0.821054642756425","0.813148758279877","0.828960527232974","1"
"Permanent","2017","Rural Area","West Germany","2845","0.843250862229827","0.831226783404434","0.85527494105522","1"
"Limited","2018","Urban Area","West Germany","1900","0.177993483441558","0.170051580948462","0.185935385934655","2"
"Limited","2018","Urban Area","East Germany","191","0.165873012030068","0.143861558148038","0.187884465912098","2"
"Limited","2018","Rural Area","West Germany","628","0.144606407462401","0.132717936502241","0.156494878422561","2"
"Limited","2018","Rural Area","East Germany","321","0.131505973021235","0.116405111859763","0.146606834182706","2"
"Permanent","2018","Urban Area","East Germany","906","0.834126987969932","0.812115534087902","0.856138441851962","1"
"Permanent","2018","Rural Area","East Germany","1603","0.868494026978765","0.853393165817294","0.883594888140237","1"
"Permanent","2018","Urban Area","West Germany","7011","0.822006516558442","0.814064614065345","0.829948419051538","1"
"Permanent","2018","Rural Area","West Germany","2734","0.855393592537599","0.843505121577439","0.867282063497759","1"
"Limited","2019","Urban Area","West Germany","1702","0.165468761393492","0.157388183134369","0.173549339652615","2"
"Limited","2019","Urban Area","East Germany","130","0.129750713121251","0.106609703849578","0.152891722392924","2"
"Limited","2019","Rural Area","West Germany","587","0.136181479833009","0.124260696043367","0.148102263622652","2"
"Limited","2019","Rural Area","East Germany","284","0.133239505228607","0.117618203835253","0.148860806621961","2"
"Permanent","2019","Urban Area","East Germany","680","0.870249286878749","0.847108277607076","0.893390296150422","1"
"Permanent","2019","Rural Area","East Germany","1534","0.866760494771393","0.851139193378039","0.882381796164747","1"
"Permanent","2019","Urban Area","West Germany","6422","0.834531238606508","0.826450660347385","0.842611816865631","1"
"Permanent","2019","Rural Area","West Germany","2593","0.863818520166991","0.851897736377348","0.875739303956633","1"
