"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2011","Couple + C. LE 16","7.65","8","2709","5","7","9","9","10","7.59","7.71","0","10","8","8"
"2011","Couple + C. LE and GT 16","7.59","8","1078","5","7","9","9","10","7.49","7.69","0","10","8","8"
"2011","Single parent","7.24","8","972","5","6","9","9","10","7.12","7.36","0","10","7","8"
"2012","(Married) couple without C.","8.37","8","46","7","8","10","10","10","7.96","8.78","4","10","8","9"
"2012","1-pers.-HH","7.69","8","78","5","7","9","10","10","7.3","8.08","2","10","7","8"
"2012","Couple + C. GT 16 ","6.76","7","131","3","5","9","10","10","6.33","7.19","1","10","7","8"
"2012","Couple + C. LE 16","8.01","8","4207","6","7","9","10","10","7.96","8.06","0","10","8","8"
"2012","Couple + C. LE and GT 16","7.63","8","931","5","7","9","10","10","7.52","7.74","1","10","8","8"
"2012","Single parent","7.63","8","1562","5","7","9","10","10","7.54","7.72","0","10","8","8"
"2013","(Married) couple without C.","7.1","8","8139","4","6","9","9","10","7.06","7.14","0","10","8","8"
"2013","1-pers.-HH","6.86","7","3648","4","5","8","9","10","6.79","6.93","0","10","7","8"
"2013","Couple + C. GT 16 ","7.39","8","3189","5","6","9","9","10","7.32","7.46","0","10","8","8"
"2013","Couple + C. LE 16","8.04","8","4347","6","7","9","10","10","7.99","8.09","0","10","8","8"
"2013","Couple + C. LE and GT 16","7.79","8","1429","5","7","9","10","10","7.7","7.88","0","10","8","8"
"2013","Single parent","7.57","8","1397","5","7","9","10","10","7.47","7.67","0","10","8","8"
"2014","(Married) couple without C.","","","","","","","","","","","","","",""
"2014","1-pers.-HH","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2014","Single parent","","","","","","","","","","","","","",""
"2015","(Married) couple without C.","","","","","","","","","","","","","",""
"2015","1-pers.-HH","","","","","","","","","","","","","",""
"2015","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2015","Couple + C. LE 16","","","","","","","","","","","","","",""
"2015","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2015","Single parent","","","","","","","","","","","","","",""
"2016","(Married) couple without C.","","","","","","","","","","","","","",""
"2016","1-pers.-HH","","","","","","","","","","","","","",""
"2016","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2016","Couple + C. LE 16","","","","","","","","","","","","","",""
"2016","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2016","Single parent","","","","","","","","","","","","","",""
"2017","(Married) couple without C.","","","","","","","","","","","","","",""
"2017","1-pers.-HH","","","","","","","","","","","","","",""
"2017","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2017","Couple + C. LE 16","","","","","","","","","","","","","",""
"2017","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2017","Single parent","","","","","","","","","","","","","",""
"2018","(Married) couple without C.","7.43","8","7586","5","6","9","10","10","7.39","7.47","0","10","8","8"
"2018","1-pers.-HH","7.11","8","3862","5","6","9","10","10","7.04","7.18","0","10","8","8"
"2018","Couple + C. GT 16 ","7.68","8","2914","5","7","9","10","10","7.62","7.74","0","10","8","8"
"2018","Couple + C. LE 16","8.21","8","5332","6","8","9","10","10","8.17","8.25","0","10","8","8"
"2018","Couple + C. LE and GT 16","8.07","8","2120","6","7","9","10","10","8","8.14","0","10","8","8"
"2018","Single parent","7.7","8","2121","5","7","9","10","10","7.62","7.78","0","10","8","8"
