"plh0178","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"8 on Scale 1 to 10","1984","16-34 y.","(Married) couple without C. ","143","0.207941393202368","0.176645960150915","0.23923682625382","8"
"8 on Scale 1 to 10","1984","16-34 y.","Single parent ","60","0.20169690201733","0.155110498705596","0.248283305329065","8"
"8 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","280","0.198191853326532","0.178045228241667","0.218338478411397","8"
"8 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","104","0.223777250302851","0.187746966618152","0.25980753398755","8"
"8 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","284","0.192794136663599","0.172655112912588","0.212933160414609","8"
"8 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE and GT 16","190","0.179105531285746","0.155399261421026","0.202811801150466","8"
"8 on Scale 1 to 10","1984","66 and older","1-pers.-HH","84","0.183290441575407","0.14793364554463","0.218647237606185","8"
"8 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","109","0.191011018366082","0.158796578088625","0.223225458643539","8"
"8 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","","","","","8"
"8 on Scale 1 to 10","1984","66 and older","Couple + C. GT 16 ","8","","","","8"
"8 on Scale 1 to 10","1984","66 and older","Single parent ","7","","","","8"
"8 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","154","0.196533529552468","0.168770750893867","0.224296308211069","8"
"8 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE and GT 16","134","0.182161700347014","0.153629669382878","0.21069373131115","8"
"8 on Scale 1 to 10","1984","35-65 y.","Single parent ","50","0.190120353114185","0.142786628894248","0.237454077334123","8"
"8 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE 16 ","281","0.18546303922651","0.166181987328889","0.204744091124132","8"
"8 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","219","0.198305297287864","0.175200256285406","0.221410338290323","8"
"8 on Scale 1 to 10","1984","66 and older","Couple + C. LE and GT 16","","","","","8"
"9 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE and GT 16","78","0.0818527571198746","0.0649039989257401","0.0988015153140091","9"
"9 on Scale 1 to 10","1984","66 and older","Couple + C. LE and GT 16","","","","","9"
"9 on Scale 1 to 10","1984","16-34 y.","1-pers.-HH","38","0.10722733071642","0.0749510169207781","0.139503644512061","9"
"9 on Scale 1 to 10","1984","16-34 y.","(Married) couple without C. ","81","0.134414622134094","0.108111333813051","0.160717910455137","9"
"9 on Scale 1 to 10","1984","16-34 y.","Single parent ","30","0.108125035351951","0.0720720876257775","0.144177983078125","9"
"9 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","147","0.103606481126112","0.0882048403915644","0.119008121860661","9"
"9 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","123","0.159157438242471","0.133599163266798","0.184715713218143","9"
"9 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE and GT 16","97","0.152227782974769","0.12567213030939","0.178783435640149","9"
"9 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","42","0.0713595079726415","0.0491050888358619","0.0936139271094211","9"
"9 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","173","0.122597329146626","0.105854095806804","0.139340562486449","9"
"9 on Scale 1 to 10","1984","35-65 y.","Single parent ","33","0.137910843655094","0.0963177306129459","0.179503956697242","9"
"9 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE 16 ","173","0.117719850173549","0.101732564182846","0.133707136164251","9"
"9 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","105","0.0886601929301329","0.0721884488878073","0.105131936972459","9"
"9 on Scale 1 to 10","1984","66 and older","1-pers.-HH","63","0.135213704095644","0.10396486198659","0.166462546204699","9"
"9 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","54","0.0965690647805335","0.0723634248788239","0.120774704682243","9"
"9 on Scale 1 to 10","1984","66 and older","Single parent ","2","","","","9"
"9 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","","","","","9"
"9 on Scale 1 to 10","1984","66 and older","Couple + C. GT 16 ","3","","","","9"
"0 Completely dissatisfied","1985","16-34 y.","1-pers.-HH","4","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","(Married) couple without C. ","4","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","Single parent ","2","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","Couple + C. LE 16 ","20","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","Couple + C. GT 16 ","7","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","Couple + C. LE and GT 16","4","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","1-pers.-HH","7","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","(Married) couple without C. ","6","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","Single parent ","10","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","Couple + C. LE 16 ","22","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","Couple + C. GT 16 ","23","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","Couple + C. LE and GT 16","19","","","","0"
"0 Completely dissatisfied","1985","66 and older","1-pers.-HH","2","","","","0"
"0 Completely dissatisfied","1985","66 and older","(Married) couple without C. ","4","","","","0"
"0 Completely dissatisfied","1985","66 and older","Single parent ","","","","","0"
"0 Completely dissatisfied","1985","66 and older","Couple + C. LE 16 ","","","","","0"
"0 Completely dissatisfied","1985","66 and older","Couple + C. GT 16 ","","","","","0"
"0 Completely dissatisfied","1985","66 and older","Couple + C. LE and GT 16","","","","","0"
"1 on Scale 1 to 10","1985","35-65 y.","1-pers.-HH","4","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","1-pers.-HH","2","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","Single parent ","7","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","(Married) couple without C. ","2","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","Couple + C. LE 16 ","16","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","Couple + C. LE and GT 16","5","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","Couple + C. GT 16 ","7","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","(Married) couple without C. ","8","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","Single parent ","2","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","Couple + C. LE 16 ","22","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","Couple + C. GT 16 ","12","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","Couple + C. LE and GT 16","10","","","","1"
"1 on Scale 1 to 10","1985","66 and older","1-pers.-HH","2","","","","1"
"1 on Scale 1 to 10","1985","66 and older","(Married) couple without C. ","2","","","","1"
"1 on Scale 1 to 10","1985","66 and older","Single parent ","1","","","","1"
"1 on Scale 1 to 10","1985","66 and older","Couple + C. LE 16 ","","","","","1"
"1 on Scale 1 to 10","1985","66 and older","Couple + C. LE and GT 16","","","","","1"
"1 on Scale 1 to 10","1985","66 and older","Couple + C. GT 16 ","","","","","1"
"10 Completely satisfied","1985","16-34 y.","(Married) couple without C. ","93","0.145346446958227","0.116810220414849","0.173882673501605","10"
"10 Completely satisfied","1985","16-34 y.","1-pers.-HH","58","0.179671658381254","0.137868486840636","0.221474829921872","10"
"10 Completely satisfied","1985","16-34 y.","Single parent ","58","0.189414359428875","0.143270479429161","0.23555823942859","10"
"10 Completely satisfied","1985","16-34 y.","Couple + C. LE 16 ","202","0.161073914443041","0.140597108029892","0.18155072085619","10"
"10 Completely satisfied","1985","16-34 y.","Couple + C. GT 16 ","169","0.197851565531164","0.17079811245172","0.224905018610607","10"
"10 Completely satisfied","1985","16-34 y.","Couple + C. LE and GT 16","145","0.222783325453611","0.190002856488837","0.255563794418384","10"
"10 Completely satisfied","1985","35-65 y.","1-pers.-HH","113","0.261408913215328","0.220720447759559","0.302097378671098","10"
"10 Completely satisfied","1985","35-65 y.","(Married) couple without C. ","371","0.299063621005532","0.274485192567538","0.323642049443526","10"
"10 Completely satisfied","1985","35-65 y.","Single parent ","39","0.176568685508054","0.127920950929873","0.225216420086235","10"
"10 Completely satisfied","1985","35-65 y.","Couple + C. LE 16 ","244","0.182852493970184","0.162817890732563","0.202887097207804","10"
"10 Completely satisfied","1985","35-65 y.","Couple + C. GT 16 ","207","0.193939895094365","0.17097822247946","0.21690156770927","10"
"10 Completely satisfied","1985","35-65 y.","Couple + C. LE and GT 16","131","0.147153526388786","0.123463132852215","0.170843919925357","10"
"10 Completely satisfied","1985","66 and older","1-pers.-HH","173","0.429215414091423","0.38083062662405","0.477600201558796","10"
"10 Completely satisfied","1985","66 and older","(Married) couple without C. ","182","0.372199662567311","0.3293991656798","0.415000159454822","10"
"10 Completely satisfied","1985","66 and older","Single parent ","4","","","","10"
"10 Completely satisfied","1985","66 and older","Couple + C. LE 16 ","","","","","10"
"10 Completely satisfied","1985","66 and older","Couple + C. GT 16 ","13","","","","10"
"10 Completely satisfied","1985","66 and older","Couple + C. LE and GT 16","","","","","10"
"2 on Scale 1 to 10","1985","16-34 y.","(Married) couple without C. ","19","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","Single parent ","8","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","Couple + C. LE 16 ","48","0.0358865997781675","0.0255252106570177","0.0462479888993173","2"
"2 on Scale 1 to 10","1985","35-65 y.","1-pers.-HH","18","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","(Married) couple without C. ","31","0.0214271222403882","0.0136537130896145","0.029200531391162","2"
"2 on Scale 1 to 10","1985","35-65 y.","Couple + C. GT 16 ","52","0.0386579696437356","0.0274624381888467","0.0498535010986244","2"
"2 on Scale 1 to 10","1985","35-65 y.","Couple + C. LE and GT 16","36","0.0409221717395261","0.0276739444142916","0.0541703990647606","2"
"2 on Scale 1 to 10","1985","16-34 y.","1-pers.-HH","8","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","Single parent ","11","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","Couple + C. LE 16 ","59","0.0374699894388558","0.0276269551676407","0.0473130237100709","2"
"2 on Scale 1 to 10","1985","16-34 y.","Couple + C. GT 16 ","15","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","Couple + C. LE and GT 16","11","","","","2"
"2 on Scale 1 to 10","1985","66 and older","1-pers.-HH","6","","","","2"
"2 on Scale 1 to 10","1985","66 and older","(Married) couple without C. ","5","","","","2"
"2 on Scale 1 to 10","1985","66 and older","Single parent ","2","","","","2"
"2 on Scale 1 to 10","1985","66 and older","Couple + C. LE 16 ","","","","","2"
"2 on Scale 1 to 10","1985","66 and older","Couple + C. GT 16 ","","","","","2"
"2 on Scale 1 to 10","1985","66 and older","Couple + C. LE and GT 16","","","","","2"
