"hlf0001_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1987","general elemantary","West Germany","1661","0.503132532429909","0.484792229038248","0.52147283582157","1"
"Main Tenant","1987","general elemantary","East Germany","","","","","1"
"Main Tenant","1987","middle vocational","West Germany","2662","0.518176113514735","0.504305413872568","0.532046813156903","1"
"Main Tenant","1987","middle vocational","East Germany","","","","","1"
"Main Tenant","1987","vocational + Abi","West Germany","179","0.6058292431451","0.54817770922111","0.663480777069089","1"
"Main Tenant","1987","vocational + Abi","East Germany","","","","","1"
"Main Tenant","1987","higher vocational","West Germany","255","0.452567578425053","0.411633888098265","0.493501268751841","1"
"Main Tenant","1987","higher vocational","East Germany","","","","","1"
"Main Tenant","1987","higher education","West Germany","360","0.471382014337585","0.43551302871798","0.507250999957191","1"
"Main Tenant","1987","higher education","East Germany","","","","","1"
"Nursing Home/Retirement Community","1987","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","general elemantary","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","vocational + Abi","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","higher education","East Germany","","","","","4"
"Owner","1987","in school","West Germany","98","0.581915479394977","0.511964563300159","0.651866395489795","3"
"Owner","1987","in school","East Germany","","","","","3"
"Owner","1987","inadequately","West Germany","68","0.156852434766728","0.130997781240467","0.182707088292988","3"
"Owner","1987","inadequately","East Germany","","","","","3"
"Owner","1987","general elemantary","West Germany","1143","0.477211932149713","0.458890327179119","0.495533537120306","3"
"Owner","1987","general elemantary","East Germany","","","","","3"
"Owner","1987","middle vocational","West Germany","2227","0.461003783197811","0.447166188281626","0.474841378113996","3"
"Owner","1987","middle vocational","East Germany","","","","","3"
"Owner","1987","vocational + Abi","West Germany","91","0.375859589857545","0.318718631666462","0.433000548048628","3"
"Owner","1987","vocational + Abi","East Germany","","","","","3"
"Owner","1987","higher vocational","West Germany","306","0.531498477578327","0.490461020751162","0.572535934405493","3"
"Owner","1987","higher vocational","East Germany","","","","","3"
"Owner","1987","higher education","West Germany","370","0.507124159618269","0.471199923760979","0.543048395475558","3"
"Owner","1987","higher education","East Germany","","","","","3"
"Sub-Tenant","1987","in school","West Germany","1","","","","2"
"Sub-Tenant","1987","in school","East Germany","","","","","2"
"Sub-Tenant","1987","inadequately","West Germany","31","0.0563834502340968","0.0399845435941929","0.0727823568740007","2"
"Sub-Tenant","1987","inadequately","East Germany","","","","","2"
"Sub-Tenant","1987","general elemantary","West Germany","51","0.0196555354203787","0.014563671079638","0.0247473997611193","2"
"Sub-Tenant","1987","general elemantary","East Germany","","","","","2"
"Sub-Tenant","1987","middle vocational","West Germany","96","0.0208201032874532","0.0168565181266419","0.0247836884482644","2"
"Sub-Tenant","1987","middle vocational","East Germany","","","","","2"
"Sub-Tenant","1987","vocational + Abi","West Germany","6","","","","2"
"Sub-Tenant","1987","vocational + Abi","East Germany","","","","","2"
"Sub-Tenant","1987","higher vocational","West Germany","7","","","","2"
"Sub-Tenant","1987","higher vocational","East Germany","","","","","2"
"Sub-Tenant","1987","higher education","West Germany","14","","","","2"
"Sub-Tenant","1987","higher education","East Germany","","","","","2"
"Tenant","1987","in school","West Germany","","","","","5"
"Tenant","1987","in school","East Germany","","","","","5"
"Tenant","1987","inadequately","West Germany","","","","","5"
"Tenant","1987","inadequately","East Germany","","","","","5"
"Tenant","1987","general elemantary","West Germany","","","","","5"
"Tenant","1987","general elemantary","East Germany","","","","","5"
"Tenant","1987","middle vocational","West Germany","","","","","5"
"Tenant","1987","middle vocational","East Germany","","","","","5"
"Tenant","1987","vocational + Abi","West Germany","","","","","5"
"Tenant","1987","vocational + Abi","East Germany","","","","","5"
"Tenant","1987","higher vocational","West Germany","","","","","5"
"Tenant","1987","higher vocational","East Germany","","","","","5"
"Tenant","1987","higher education","West Germany","","","","","5"
"Tenant","1987","higher education","East Germany","","","","","5"
"Main Tenant","1988","in school","West Germany","74","0.403220588429643","0.327914072681898","0.478527104177387","1"
"Main Tenant","1988","in school","East Germany","","","","","1"
"Main Tenant","1988","inadequately","West Germany","625","0.808870099321537","0.779784150018289","0.837956048624785","1"
"Main Tenant","1988","inadequately","East Germany","","","","","1"
"Main Tenant","1988","general elemantary","West Germany","1636","0.512674831813853","0.493949000286771","0.531400663340934","1"
"Main Tenant","1988","general elemantary","East Germany","","","","","1"
"Main Tenant","1988","middle vocational","West Germany","2518","0.507700637270626","0.4934907274617","0.521910547079553","1"
"Main Tenant","1988","middle vocational","East Germany","","","","","1"
"Main Tenant","1988","vocational + Abi","West Germany","172","0.575476365999767","0.5166288509792","0.634323881020335","1"
"Main Tenant","1988","vocational + Abi","East Germany","","","","","1"
"Main Tenant","1988","higher vocational","West Germany","241","0.450076897260887","0.408154722750718","0.491999071771056","1"
"Main Tenant","1988","higher vocational","East Germany","","","","","1"
"Main Tenant","1988","higher education","West Germany","346","0.478012935173986","0.441061677049939","0.514964193298033","1"
"Main Tenant","1988","higher education","East Germany","","","","","1"
"Nursing Home/Retirement Community","1988","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","general elemantary","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","vocational + Abi","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","higher education","East Germany","","","","","4"
"Owner","1988","inadequately","East Germany","","","","","3"
"Owner","1988","general elemantary","West Germany","1040","0.457655777554456","0.438991221004722","0.47632033410419","3"
"Owner","1988","in school","West Germany","88","0.5935620326719","0.51815975220352","0.668964313140281","3"
"Owner","1988","in school","East Germany","","","","","3"
"Owner","1988","inadequately","West Germany","61","0.165619690819374","0.138120650171286","0.193118731467462","3"
"Owner","1988","general elemantary","East Germany","","","","","3"
"Owner","1988","middle vocational","West Germany","2149","0.469676877825422","0.455491441390823","0.483862314260021","3"
"Owner","1988","middle vocational","East Germany","","","","","3"
"Owner","1988","vocational + Abi","West Germany","92","0.401883656895324","0.343511404321324","0.460255909469324","3"
"Owner","1988","vocational + Abi","East Germany","","","","","3"
"Owner","1988","higher vocational","West Germany","293","0.535004417465955","0.4929750788402","0.577033756091711","3"
"Owner","1988","higher vocational","East Germany","","","","","3"
"Owner","1988","higher education","West Germany","344","0.50136650267803","0.464379604021509","0.538353401334551","3"
"Owner","1988","higher education","East Germany","","","","","3"
"Sub-Tenant","1988","in school","West Germany","1","","","","2"
"Sub-Tenant","1988","in school","East Germany","","","","","2"
"Sub-Tenant","1988","inadequately","West Germany","16","","","","2"
"Sub-Tenant","1988","inadequately","East Germany","","","","","2"
"Sub-Tenant","1988","general elemantary","West Germany","61","0.0296693906316915","0.0233127908098851","0.0360259904534978","2"
"Sub-Tenant","1988","general elemantary","East Germany","","","","","2"
"Sub-Tenant","1988","middle vocational","West Germany","88","0.0226224849039513","0.0183960502776292","0.0268489195302734","2"
"Sub-Tenant","1988","middle vocational","East Germany","","","","","2"
"Sub-Tenant","1988","vocational + Abi","West Germany","7","","","","2"
"Sub-Tenant","1988","vocational + Abi","East Germany","","","","","2"
"Sub-Tenant","1988","higher vocational","West Germany","7","","","","2"
"Sub-Tenant","1988","higher vocational","East Germany","","","","","2"
"Sub-Tenant","1988","higher education","West Germany","12","","","","2"
"Sub-Tenant","1988","higher education","East Germany","","","","","2"
"Tenant","1988","in school","East Germany","","","","","5"
"Tenant","1988","inadequately","West Germany","","","","","5"
"Tenant","1988","inadequately","East Germany","","","","","5"
"Tenant","1988","middle vocational","West Germany","","","","","5"
"Tenant","1988","middle vocational","East Germany","","","","","5"
"Tenant","1988","vocational + Abi","West Germany","","","","","5"
"Tenant","1988","vocational + Abi","East Germany","","","","","5"
"Tenant","1988","higher vocational","West Germany","","","","","5"
"Tenant","1988","higher vocational","East Germany","","","","","5"
"Tenant","1988","higher education","West Germany","","","","","5"
"Tenant","1988","in school","West Germany","","","","","5"
"Tenant","1988","general elemantary","West Germany","","","","","5"
"Tenant","1988","general elemantary","East Germany","","","","","5"
"Tenant","1988","higher education","East Germany","","","","","5"
"Main Tenant","1989","in school","West Germany","76","0.334001681030977","0.264123762596587","0.403879599465367","1"
"Main Tenant","1989","in school","East Germany","","","","","1"
"Main Tenant","1989","inadequately","West Germany","583","0.812130792927086","0.782330748383308","0.841930837470863","1"
"Main Tenant","1989","inadequately","East Germany","","","","","1"
"Main Tenant","1989","general elemantary","West Germany","1563","0.518321897784239","0.499067581269458","0.537576214299019","1"
"Main Tenant","1989","general elemantary","East Germany","","","","","1"
"Main Tenant","1989","middle vocational","West Germany","2427","0.498220420502435","0.483827675502335","0.512613165502535","1"
"Main Tenant","1989","middle vocational","East Germany","","","","","1"
"Main Tenant","1989","vocational + Abi","West Germany","188","0.585218098610273","0.528513554195714","0.641922643024833","1"
"Main Tenant","1989","vocational + Abi","East Germany","","","","","1"
"Main Tenant","1989","higher vocational","West Germany","221","0.431727408618763","0.388948702775014","0.474506114462512","1"
"Main Tenant","1989","higher vocational","East Germany","","","","","1"
"Main Tenant","1989","higher education","West Germany","346","0.484142725407052","0.447095047850462","0.521190402963641","1"
"Main Tenant","1989","higher education","East Germany","","","","","1"
"Nursing Home/Retirement Community","1989","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","general elemantary","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","vocational + Abi","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","higher education","East Germany","","","","","4"
"Owner","1989","in school","West Germany","94","0.626060259554481","0.554373665594838","0.697746853514123","3"
"Owner","1989","in school","East Germany","","","","","3"
"Owner","1989","inadequately","West Germany","64","0.157316520220131","0.12953886846325","0.185094171977013","3"
"Owner","1989","inadequately","East Germany","","","","","3"
"Owner","1989","general elemantary","West Germany","966","0.453464429638171","0.434280803326566","0.472648055949777","3"
"Owner","1989","general elemantary","East Germany","","","","","3"
"Owner","1989","middle vocational","West Germany","2117","0.477166254632701","0.462788434575805","0.491544074689596","3"
"Owner","1989","middle vocational","East Germany","","","","","3"
"Owner","1989","vocational + Abi","West Germany","97","0.398588153852201","0.342237718612856","0.454938589091547","3"
"Owner","1989","vocational + Abi","East Germany","","","","","3"
"Owner","1989","higher vocational","West Germany","288","0.554188791044104","0.511259982305161","0.597117599783047","3"
"Owner","1989","higher vocational","East Germany","","","","","3"
"Owner","1989","higher education","West Germany","342","0.500072614181622","0.463006291438272","0.537138936924972","3"
"Owner","1989","higher education","East Germany","","","","","3"
"Sub-Tenant","1989","in school","West Germany","5","","","","2"
"Sub-Tenant","1989","in school","East Germany","","","","","2"
"Sub-Tenant","1989","inadequately","West Germany","13","","","","2"
"Sub-Tenant","1989","inadequately","East Germany","","","","","2"
"Sub-Tenant","1989","general elemantary","West Germany","56","0.0263558067914602","0.0201829219749903","0.0325286916079301","2"
"Sub-Tenant","1989","general elemantary","East Germany","","","","","2"
"Sub-Tenant","1989","middle vocational","West Germany","82","0.021844886176134","0.0176370857299842","0.0260526866222838","2"
