"hlf0001_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Owner","1985","Thuringia","Rural Area","","","","","3"
"Sub-Tenant","1985","Saxony","Rural Area","","","","","2"
"Sub-Tenant","1985","Saxony-Anhalt","Urban Area","","","","","2"
"Sub-Tenant","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"Sub-Tenant","1985","Saxony","Urban Area","","","","","2"
"Sub-Tenant","1985","Saxony-Anhalt","Rural Area","","","","","2"
"Sub-Tenant","1985","Thuringia","Urban Area","","","","","2"
"Sub-Tenant","1985","Thuringia","Rural Area","","","","","2"
"Sub-Tenant","1985","Schleswig-Holstein","Urban Area","4","","","","2"
"Sub-Tenant","1985","Schleswig-Holstein","Rural Area","4","","","","2"
"Sub-Tenant","1985","Hamburg","Urban Area","6","","","","2"
"Sub-Tenant","1985","Hamburg","Rural Area","","","","","2"
"Sub-Tenant","1985","Lower Saxony","Urban Area","4","","","","2"
"Sub-Tenant","1985","Lower Saxony","Rural Area","8","","","","2"
"Sub-Tenant","1985","Bremen","Rural Area","","","","","2"
"Sub-Tenant","1985","North Rhine-Westphalia","Urban Area","51","0.0171519842718579","0.0124158384380863","0.0218881301056295","2"
"Sub-Tenant","1985","North Rhine-Westphalia","Rural Area","","","","","2"
"Sub-Tenant","1985","Hesse","Urban Area","17","","","","2"
"Sub-Tenant","1985","Hesse","Rural Area","1","","","","2"
"Sub-Tenant","1985","Rhineland-Palatinate,Saarland","Urban Area","5","","","","2"
"Sub-Tenant","1985","Brandenburg","Rural Area","","","","","2"
"Sub-Tenant","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"Sub-Tenant","1985","Bremen","Urban Area","1","","","","2"
"Sub-Tenant","1985","Rhineland-Palatinate,Saarland","Rural Area","1","","","","2"
"Sub-Tenant","1985","Baden-Württemberg","Urban Area","26","","","","2"
"Sub-Tenant","1985","Baden-Württemberg","Rural Area","1","","","","2"
"Sub-Tenant","1985","Bavaria","Urban Area","13","","","","2"
"Sub-Tenant","1985","Bavaria","Rural Area","9","","","","2"
"Sub-Tenant","1985","Berlin","Urban Area","5","","","","2"
"Sub-Tenant","1985","Berlin","Rural Area","","","","","2"
"Sub-Tenant","1985","Brandenburg","Urban Area","","","","","2"
"Tenant","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","5"
"Tenant","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","5"
"Tenant","1985","Hamburg","Rural Area","","","","","5"
"Tenant","1985","Hamburg","Urban Area","","","","","5"
"Tenant","1985","Schleswig-Holstein","Rural Area","","","","","5"
"Tenant","1985","Saxony","Urban Area","","","","","5"
"Tenant","1985","Lower Saxony","Urban Area","","","","","5"
"Tenant","1985","Lower Saxony","Rural Area","","","","","5"
"Tenant","1985","Bremen","Urban Area","","","","","5"
"Tenant","1985","Bremen","Rural Area","","","","","5"
"Tenant","1985","Brandenburg","Rural Area","","","","","5"
"Tenant","1985","Saxony","Rural Area","","","","","5"
"Tenant","1985","Saxony-Anhalt","Urban Area","","","","","5"
"Tenant","1985","Saxony-Anhalt","Rural Area","","","","","5"
"Tenant","1985","Thuringia","Urban Area","","","","","5"
"Tenant","1985","Thuringia","Rural Area","","","","","5"
"Tenant","1985","Schleswig-Holstein","Urban Area","","","","","5"
"Tenant","1985","North Rhine-Westphalia","Urban Area","","","","","5"
"Tenant","1985","North Rhine-Westphalia","Rural Area","","","","","5"
"Tenant","1985","Hesse","Urban Area","","","","","5"
"Tenant","1985","Hesse","Rural Area","","","","","5"
"Tenant","1985","Rhineland-Palatinate,Saarland","Urban Area","","","","","5"
"Tenant","1985","Rhineland-Palatinate,Saarland","Rural Area","","","","","5"
"Tenant","1985","Baden-Württemberg","Urban Area","","","","","5"
"Tenant","1985","Baden-Württemberg","Rural Area","","","","","5"
"Tenant","1985","Bavaria","Urban Area","","","","","5"
"Tenant","1985","Bavaria","Rural Area","","","","","5"
"Tenant","1985","Berlin","Urban Area","","","","","5"
"Tenant","1985","Berlin","Rural Area","","","","","5"
"Tenant","1985","Brandenburg","Urban Area","","","","","5"
"Main Tenant","1986","Schleswig-Holstein","Urban Area","95","0.580272068216103","0.502579046893088","0.657965089539117","1"
"Main Tenant","1986","Schleswig-Holstein","Rural Area","44","0.307902690804102","0.238304962993425","0.377500418614778","1"
"Main Tenant","1986","Hamburg","Urban Area","200","0.789177383950869","0.73861541225901","0.839739355642728","1"
"Main Tenant","1986","Hamburg","Rural Area","4","","","","1"
"Main Tenant","1986","Lower Saxony","Urban Area","330","0.545941833825016","0.505733194548907","0.586150473101126","1"
"Main Tenant","1986","Lower Saxony","Rural Area","176","0.34359411457827","0.302775758448429","0.384412470708111","1"
"Main Tenant","1986","Bremen","Urban Area","77","0.727999815061737","0.644461622192541","0.811538007930933","1"
"Main Tenant","1986","Bremen","Rural Area","","","","","1"
"Main Tenant","1986","North Rhine-Westphalia","Urban Area","1821","0.608405534355074","0.590329365595673","0.626481703114476","1"
"Main Tenant","1986","North Rhine-Westphalia","Rural Area","20","","","","1"
"Main Tenant","1986","Hesse","Urban Area","588","0.540211337750729","0.507812671969458","0.572610003532001","1"
"Main Tenant","1986","Hesse","Rural Area","59","0.453415681942021","0.371535128247003","0.535296235637039","1"
"Main Tenant","1986","Rhineland-Palatinate,Saarland","Urban Area","271","0.387983315626172","0.349749824803705","0.42621680644864","1"
"Main Tenant","1986","Rhineland-Palatinate,Saarland","Rural Area","35","0.276406690429252","0.203864074919344","0.34894930593916","1"
"Main Tenant","1986","Baden-Württemberg","Urban Area","986","0.458897596748452","0.435230859451708","0.482564334045197","1"
"Main Tenant","1986","Baden-Württemberg","Rural Area","144","0.35283260784407","0.298938995970439","0.406726219717701","1"
"Main Tenant","1986","Bavaria","Urban Area","556","0.52510110789547","0.493446190074897","0.556756025716044","1"
"Main Tenant","1986","Bavaria","Rural Area","337","0.383200665985093","0.350026027997593","0.416375303972592","1"
"Main Tenant","1986","Berlin","Urban Area","319","0.891910443327786","0.859566054267545","0.924254832388028","1"
"Main Tenant","1986","Berlin","Rural Area","","","","","1"
"Main Tenant","1986","Brandenburg","Urban Area","","","","","1"
"Main Tenant","1986","Brandenburg","Rural Area","","","","","1"
"Main Tenant","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Main Tenant","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Main Tenant","1986","Saxony","Urban Area","","","","","1"
"Main Tenant","1986","Saxony","Rural Area","","","","","1"
"Main Tenant","1986","Saxony-Anhalt","Urban Area","","","","","1"
"Main Tenant","1986","Saxony-Anhalt","Rural Area","","","","","1"
"Main Tenant","1986","Thuringia","Urban Area","","","","","1"
"Main Tenant","1986","Thuringia","Rural Area","","","","","1"
"Nursing Home/Retirement Community","1986","Schleswig-Holstein","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Hamburg","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","North Rhine-Westphalia","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Hesse","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Baden-Württemberg","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Bavaria","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Saxony","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Hamburg","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Lower Saxony","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","North Rhine-Westphalia","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Hesse","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Rhineland-Palatinate,Saarland","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Rhineland-Palatinate,Saarland","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Baden-Württemberg","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Saxony","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Saxony-Anhalt","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Lower Saxony","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Bremen","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Bremen","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Saxony-Anhalt","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Thuringia","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Thuringia","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Schleswig-Holstein","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Brandenburg","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Bavaria","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Berlin","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","Berlin","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","Brandenburg","Urban Area","","","","","4"
"Owner","1986","Schleswig-Holstein","Rural Area","121","0.658213736773576","0.586703945314155","0.729723528232997","3"
"Owner","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Owner","1986","Hamburg","Urban Area","45","0.181129739352758","0.133389947931035","0.22886953077448","3"
"Owner","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Owner","1986","Saxony","Urban Area","","","","","3"
"Owner","1986","Saxony","Rural Area","","","","","3"
"Owner","1986","Schleswig-Holstein","Urban Area","58","0.402200307276414","0.325006709135082","0.479393905417747","3"
"Owner","1986","Hamburg","Rural Area","2","","","","3"
"Owner","1986","Brandenburg","Rural Area","","","","","3"
"Owner","1986","Saxony-Anhalt","Urban Area","","","","","3"
"Owner","1986","Lower Saxony","Urban Area","246","0.436893807516172","0.396837257674282","0.476950357358062","3"
"Owner","1986","Lower Saxony","Rural Area","341","0.652216288878072","0.611281094363577","0.693151483392568","3"
"Owner","1986","Bremen","Urban Area","32","0.272000184938263","0.188461992069067","0.355538377807459","3"
"Owner","1986","Bremen","Rural Area","","","","","3"
"Owner","1986","North Rhine-Westphalia","Urban Area","941","0.37506310436629","0.357133868051842","0.392992340680739","3"
"Owner","1986","North Rhine-Westphalia","Rural Area","49","0.662861055990534","0.551318842407927","0.774403269573141","3"
"Owner","1986","Hesse","Urban Area","302","0.445390046917641","0.413080547243046","0.477699546592236","3"
"Owner","1986","Hesse","Rural Area","62","0.49312175502726","0.410891274883596","0.575352235170923","3"
"Owner","1986","Rhineland-Palatinate,Saarland","Urban Area","335","0.583755314839382","0.545078956920592","0.622431672758172","3"
"Owner","1986","Rhineland-Palatinate,Saarland","Rural Area","110","0.709731568663867","0.636107701139437","0.783355436188296","3"
"Owner","1986","Baden-Württemberg","Urban Area","683","0.525567352768576","0.501851309159457","0.549283396377694","3"
"Owner","1986","Baden-Württemberg","Rural Area","152","0.623904088877607","0.569271366598086","0.678536811157127","3"
"Owner","1986","Bavaria","Urban Area","385","0.458070458576899","0.426487217156899","0.489653699996899","3"
"Owner","1986","Bavaria","Rural Area","478","0.60125816566563","0.56784654733268","0.63466978399858","3"
"Owner","1986","Berlin","Urban Area","27","","","","3"
"Owner","1986","Berlin","Rural Area","","","","","3"
"Owner","1986","Brandenburg","Urban Area","","","","","3"
"Owner","1986","Saxony-Anhalt","Rural Area","","","","","3"
"Owner","1986","Thuringia","Urban Area","","","","","3"
"Owner","1986","Thuringia","Rural Area","","","","","3"
"Sub-Tenant","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"Sub-Tenant","1986","Saxony","Urban Area","","","","","2"
"Sub-Tenant","1986","Saxony","Rural Area","","","","","2"
"Sub-Tenant","1986","Saxony-Anhalt","Urban Area","","","","","2"
"Sub-Tenant","1986","Saxony-Anhalt","Rural Area","","","","","2"
"Sub-Tenant","1986","Thuringia","Urban Area","","","","","2"
"Sub-Tenant","1986","Bremen","Rural Area","","","","","2"
"Sub-Tenant","1986","North Rhine-Westphalia","Urban Area","39","0.016531361278635","0.011809359971969","0.021253362585301","2"
"Sub-Tenant","1986","North Rhine-Westphalia","Rural Area","","","","","2"
"Sub-Tenant","1986","Hesse","Urban Area","19","","","","2"
"Sub-Tenant","1986","Hesse","Rural Area","21","","","","2"
"Sub-Tenant","1986","Rhineland-Palatinate,Saarland","Urban Area","18","","","","2"
"Sub-Tenant","1986","Thuringia","Rural Area","","","","","2"
"Sub-Tenant","1986","Schleswig-Holstein","Urban Area","2","","","","2"
"Sub-Tenant","1986","Schleswig-Holstein","Rural Area","4","","","","2"
"Sub-Tenant","1986","Hamburg","Urban Area","5","","","","2"
"Sub-Tenant","1986","Hamburg","Rural Area","","","","","2"
"Sub-Tenant","1986","Lower Saxony","Urban Area","13","","","","2"
"Sub-Tenant","1986","Lower Saxony","Rural Area","3","","","","2"
"Sub-Tenant","1986","Bremen","Urban Area","","","","","2"
"Sub-Tenant","1986","Brandenburg","Rural Area","","","","","2"
"Sub-Tenant","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"Sub-Tenant","1986","Rhineland-Palatinate,Saarland","Rural Area","1","","","","2"
"Sub-Tenant","1986","Baden-Württemberg","Urban Area","34","0.015535050482972","0.00966154699985078","0.0214085539660932","2"
"Sub-Tenant","1986","Baden-Württemberg","Rural Area","6","","","","2"
"Sub-Tenant","1986","Bavaria","Urban Area","15","","","","2"
"Sub-Tenant","1986","Bavaria","Rural Area","10","","","","2"
"Sub-Tenant","1986","Berlin","Urban Area","8","","","","2"
"Sub-Tenant","1986","Berlin","Rural Area","","","","","2"
"Sub-Tenant","1986","Brandenburg","Urban Area","","","","","2"
"Tenant","1986","Schleswig-Holstein","Rural Area","","","","","5"
"Tenant","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","5"
"Tenant","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","5"
"Tenant","1986","Hamburg","Urban Area","","","","","5"
"Tenant","1986","Hamburg","Rural Area","","","","","5"
"Tenant","1986","Lower Saxony","Urban Area","","","","","5"
"Tenant","1986","Lower Saxony","Rural Area","","","","","5"
"Tenant","1986","Bremen","Urban Area","","","","","5"
"Tenant","1986","Bremen","Rural Area","","","","","5"
"Tenant","1986","Saxony","Urban Area","","","","","5"
"Tenant","1986","Saxony","Rural Area","","","","","5"
"Tenant","1986","Saxony-Anhalt","Urban Area","","","","","5"
"Tenant","1986","Saxony-Anhalt","Rural Area","","","","","5"
"Tenant","1986","Thuringia","Urban Area","","","","","5"
"Tenant","1986","Thuringia","Rural Area","","","","","5"
"Tenant","1986","Schleswig-Holstein","Urban Area","","","","","5"
"Tenant","1986","Brandenburg","Rural Area","","","","","5"
"Tenant","1986","North Rhine-Westphalia","Urban Area","","","","","5"
"Tenant","1986","North Rhine-Westphalia","Rural Area","","","","","5"
"Tenant","1986","Hesse","Urban Area","","","","","5"
"Tenant","1986","Hesse","Rural Area","","","","","5"
"Tenant","1986","Rhineland-Palatinate,Saarland","Urban Area","","","","","5"
"Tenant","1986","Rhineland-Palatinate,Saarland","Rural Area","","","","","5"
"Tenant","1986","Baden-Württemberg","Urban Area","","","","","5"
"Tenant","1986","Baden-Württemberg","Rural Area","","","","","5"
"Tenant","1986","Bavaria","Urban Area","","","","","5"
"Tenant","1986","Bavaria","Rural Area","","","","","5"
"Tenant","1986","Berlin","Urban Area","","","","","5"
"Tenant","1986","Berlin","Rural Area","","","","","5"
"Tenant","1986","Brandenburg","Urban Area","","","","","5"
"Main Tenant","1987","Schleswig-Holstein","Urban Area","86","0.542007837091407","0.462008430940703","0.62200724324211","1"
"Main Tenant","1987","Schleswig-Holstein","Rural Area","53","0.279774142757628","0.213643978827037","0.345904306688219","1"
"Main Tenant","1987","Hamburg","Urban Area","172","0.783667219106262","0.729504730510984","0.83782970770154","1"
"Main Tenant","1987","Hamburg","Rural Area","2","","","","1"
"Main Tenant","1987","Lower Saxony","Urban Area","327","0.530882041862192","0.490647932032286","0.571116151692098","1"
"Main Tenant","1987","Lower Saxony","Rural Area","184","0.362490660433295","0.321093085809758","0.403888235056832","1"
"Main Tenant","1987","Bremen","Urban Area","69","0.73567502430303","0.649674814498983","0.821675234107077","1"
"Main Tenant","1987","Bremen","Rural Area","","","","","1"
"Main Tenant","1987","North Rhine-Westphalia","Urban Area","1785","0.611130930543249","0.592966894949362","0.629294966137136","1"
"Main Tenant","1987","North Rhine-Westphalia","Rural Area","18","","","","1"
"Main Tenant","1987","Hesse","Urban Area","583","0.542134170454551","0.509781404946762","0.57448693596234","1"
"Main Tenant","1987","Hesse","Rural Area","78","0.439641905838147","0.358853980470891","0.520429831205403","1"
"Main Tenant","1987","Rhineland-Palatinate,Saarland","Urban Area","271","0.380808912559296","0.342770111081899","0.418847714036692","1"
"Main Tenant","1987","Rhineland-Palatinate,Saarland","Rural Area","41","0.314122573928216","0.23857214778912","0.389673000067313","1"
"Main Tenant","1987","Baden-Württemberg","Urban Area","946","0.453734921970653","0.429984863027837","0.47748498091347","1"
"Main Tenant","1987","Baden-Württemberg","Rural Area","150","0.39969365490965","0.343219562063555","0.456167747755744","1"
"Main Tenant","1987","Bavaria","Urban Area","525","0.519388988910446","0.487156750409872","0.55162122741102","1"
"Main Tenant","1987","Bavaria","Rural Area","338","0.378011968968478","0.344660584586441","0.411363353350515","1"
"Main Tenant","1987","Berlin","Urban Area","333","0.89281554091339","0.861079814777953","0.924551267048828","1"
"Main Tenant","1987","Berlin","Rural Area","","","","","1"
"Main Tenant","1987","Brandenburg","Urban Area","","","","","1"
"Main Tenant","1987","Brandenburg","Rural Area","","","","","1"
"Main Tenant","1987","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Main Tenant","1987","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Main Tenant","1987","Saxony","Urban Area","","","","","1"
"Main Tenant","1987","Saxony","Rural Area","","","","","1"
"Main Tenant","1987","Saxony-Anhalt","Urban Area","","","","","1"
"Main Tenant","1987","Saxony-Anhalt","Rural Area","","","","","1"
"Main Tenant","1987","Thuringia","Urban Area","","","","","1"
"Main Tenant","1987","Thuringia","Rural Area","","","","","1"
"Nursing Home/Retirement Community","1987","Schleswig-Holstein","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Hamburg","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Hamburg","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","North Rhine-Westphalia","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","North Rhine-Westphalia","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Hesse","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Baden-Württemberg","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Bavaria","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Mecklenburg-Western Pomerania","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Mecklenburg-Western Pomerania","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Saxony","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Thuringia","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Lower Saxony","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Lower Saxony","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Bremen","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Bremen","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Hesse","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Rhineland-Palatinate,Saarland","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Rhineland-Palatinate,Saarland","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Baden-Württemberg","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Saxony","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Saxony-Anhalt","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Saxony-Anhalt","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","Thuringia","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","Schleswig-Holstein","Urban Area","","","","","4"
