"hlf0001_h","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Nursing Home/Retirement Community","1992","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1992","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1992","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1992","Employed","East Germany","","","",""
"Tenant","1992","Not Employed","West Germany","2","","",""
"Tenant","1992","Not Employed","East Germany","2","","",""
"Tenant","1992","Employed","West Germany","3","","",""
"Tenant","1992","Employed","East Germany","1","","",""
"Main Tenant","1993","Not Employed","West Germany","1676","0.48400312941694","0.466655643110015","0.501350615723865"
"Main Tenant","1993","Not Employed","East Germany","835","0.696427949547541","0.670979090817515","0.721876808277567"
"Main Tenant","1993","Employed","West Germany","3530","0.510884226910532","0.498387865823842","0.523380587997223"
"Main Tenant","1993","Employed","East Germany","1652","0.65275260288916","0.634402959165854","0.671102246612467"
"Sub-Tenant","1993","Not Employed","West Germany","77","0.0327026602327465","0.0265287476994717","0.0388765727660213"
"Sub-Tenant","1993","Not Employed","East Germany","22","","",""
"Sub-Tenant","1993","Employed","West Germany","185","0.0323344245222321","0.0279124962045202","0.0367563528399439"
"Sub-Tenant","1993","Employed","East Germany","70","0.0290596959832657","0.0225856522536256","0.0355337397129058"
"Owner","1993","Not Employed","West Germany","1435","0.483294210350314","0.465947529238517","0.500640891462111"
"Owner","1993","Not Employed","East Germany","397","0.289079369197625","0.263988342603802","0.314170395791449"
"Owner","1993","Employed","West Germany","2432","0.456781348567236","0.444328806941025","0.469233890193446"
"Owner","1993","Employed","East Germany","864","0.318187701127574","0.300235903626785","0.336139498628362"
"Nursing Home/Retirement Community","1993","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1993","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1993","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1993","Employed","East Germany","","","",""
"Tenant","1993","Not Employed","West Germany","","","",""
"Tenant","1993","Not Employed","East Germany","","","",""
"Tenant","1993","Employed","West Germany","","","",""
"Tenant","1993","Employed","East Germany","","","",""
"Main Tenant","1994","Not Employed","West Germany","1693","0.479193691864632","0.462021201934545","0.496366181794718"
"Main Tenant","1994","Not Employed","East Germany","880","0.688552651635001","0.663720991339244","0.713384311930758"
"Main Tenant","1994","Employed","West Germany","3404","0.515876445532868","0.503124600061818","0.528628291003919"
"Main Tenant","1994","Employed","East Germany","1512","0.649721748371977","0.630839306914182","0.668604189829773"
"Sub-Tenant","1994","Not Employed","West Germany","69","0.0305010176072046","0.0245898884386849","0.0364121467757242"
"Sub-Tenant","1994","Not Employed","East Germany","32","0.0241756025820196","0.0159395454253842","0.0324116597386549"
"Sub-Tenant","1994","Employed","West Germany","160","0.0282931922099306","0.0240623124512361","0.032524071968625"
"Sub-Tenant","1994","Employed","East Germany","75","0.0303713900467225","0.0235789955190649","0.03716378457438"
"Owner","1994","Not Employed","West Germany","1489","0.490305290528164","0.473121144331984","0.507489436724344"
"Owner","1994","Not Employed","East Germany","424","0.287271745782979","0.263008253676048","0.311535237889911"
"Owner","1994","Employed","West Germany","2336","0.455830362257201","0.443121962628745","0.468538761885657"
"Owner","1994","Employed","East Germany","865","0.3199068615813","0.301444645386235","0.338369077776365"
"Nursing Home/Retirement Community","1994","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1994","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1994","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1994","Employed","East Germany","","","",""
"Tenant","1994","Not Employed","West Germany","","","",""
"Tenant","1994","Not Employed","East Germany","","","",""
"Tenant","1994","Employed","West Germany","","","",""
"Tenant","1994","Employed","East Germany","","","",""
"Main Tenant","1995","Not Employed","West Germany","1944","0.479070264714266","0.462578857629061","0.495561671799472"
"Main Tenant","1995","Not Employed","East Germany","849","0.666190750080896","0.64068346649694","0.691698033664852"
"Main Tenant","1995","Employed","West Germany","3573","0.507273061438147","0.494767938696949","0.519778184179344"
"Main Tenant","1995","Employed","East Germany","1434","0.625691447316637","0.606297666281153","0.645085228352121"
"Sub-Tenant","1995","Not Employed","West Germany","89","0.034079326016065","0.0280899061367524","0.0400687458953775"
"Sub-Tenant","1995","Not Employed","East Germany","47","0.0356556160770808","0.0256257351267237","0.0456854970274379"
"Sub-Tenant","1995","Employed","West Germany","168","0.0329349395616139","0.0284709806630788","0.0373988984601491"
"Sub-Tenant","1995","Employed","East Germany","78","0.0321382576517599","0.0250704401160202","0.0392060751874997"
"Owner","1995","Not Employed","West Germany","1492","0.486850409269668","0.470350244027783","0.503350574511554"
"Owner","1995","Not Employed","East Germany","417","0.298153633842023","0.273410380078661","0.322896887605386"
"Owner","1995","Employed","West Germany","2399","0.459791999000239","0.447326056584755","0.472257941415724"
"Owner","1995","Employed","East Germany","880","0.342170295031603","0.323157524975681","0.361183065087525"
"Nursing Home/Retirement Community","1995","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1995","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1995","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1995","Employed","East Germany","","","",""
"Tenant","1995","Not Employed","West Germany","","","",""
"Tenant","1995","Not Employed","East Germany","","","",""
"Tenant","1995","Employed","West Germany","","","",""
"Tenant","1995","Employed","East Germany","","","",""
"Main Tenant","1996","Not Employed","West Germany","1808","0.475565012599897","0.458716484006504","0.492413541193289"
"Main Tenant","1996","Not Employed","East Germany","855","0.683205166835385","0.657876623949412","0.708533709721357"
"Main Tenant","1996","Employed","West Germany","3462","0.510626523429603","0.498034405533013","0.523218641326193"
"Main Tenant","1996","Employed","East Germany","1391","0.616574056323972","0.597121537637649","0.636026575010295"
"Sub-Tenant","1996","Not Employed","West Germany","88","0.0286310792940507","0.0230047886369351","0.0342573699511664"
"Sub-Tenant","1996","Not Employed","East Germany","32","0.02511749211879","0.0165980753070446","0.0336369089305354"
"Sub-Tenant","1996","Employed","West Germany","197","0.0325229407224533","0.0280546427736013","0.0369912386713052"
"Sub-Tenant","1996","Employed","East Germany","71","0.0381305200081709","0.0304686124722145","0.0457924275441272"
"Owner","1996","Not Employed","West Germany","1479","0.495803908106052","0.478935817978249","0.512671998233856"
"Owner","1996","Not Employed","East Germany","409","0.291677341045825","0.266930913964061","0.316423768127589"
"Owner","1996","Employed","West Germany","2395","0.456850535847944","0.444302561281928","0.469398510413959"
"Owner","1996","Employed","East Germany","938","0.345295423667857","0.326273231281096","0.364317616054618"
"Nursing Home/Retirement Community","1996","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1996","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1996","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1996","Employed","East Germany","","","",""
"Tenant","1996","Not Employed","West Germany","","","",""
"Tenant","1996","Not Employed","East Germany","","","",""
"Tenant","1996","Employed","West Germany","","","",""
"Tenant","1996","Employed","East Germany","","","",""
"Main Tenant","1997","Not Employed","West Germany","1823","0.476752735688086","0.460011071719424","0.493494399656749"
"Main Tenant","1997","Not Employed","East Germany","852","0.664976266382196","0.639638176287159","0.690314356477233"
"Main Tenant","1997","Employed","West Germany","3277","0.50661548763926","0.49379844524639","0.51943253003213"
"Main Tenant","1997","Employed","East Germany","1289","0.592441256936466","0.57243761235041","0.612444901522522"
"Sub-Tenant","1997","Not Employed","West Germany","69","0.0286342709088548","0.0230439982078524","0.0342245436098572"
"Sub-Tenant","1997","Not Employed","East Germany","37","0.0305335001151565","0.0212974194943533","0.0397695807359597"
"Sub-Tenant","1997","Employed","West Germany","152","0.0269421260124592","0.0227912371987554","0.0310930148261629"
"Sub-Tenant","1997","Employed","East Germany","87","0.0454979669339667","0.0370144525709277","0.0539814812970056"
"Owner","1997","Not Employed","West Germany","1527","0.494612993403059","0.477854177231694","0.511371809574424"
"Owner","1997","Not Employed","East Germany","444","0.304490233502648","0.279786003825482","0.329194463179814"
"Owner","1997","Employed","West Germany","2416","0.466442386348281","0.453653123938602","0.479231648757961"
"Owner","1997","Employed","East Germany","942","0.362060776129567","0.342496140363243","0.381625411895892"
"Nursing Home/Retirement Community","1997","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1997","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1997","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1997","Employed","East Germany","","","",""
"Tenant","1997","Not Employed","West Germany","","","",""
"Tenant","1997","Not Employed","East Germany","","","",""
"Tenant","1997","Employed","West Germany","","","",""
"Tenant","1997","Employed","East Germany","","","",""
"Main Tenant","1998","Not Employed","West Germany","1995","0.454077263285668","0.438667130746723","0.469487395824614"
"Main Tenant","1998","Not Employed","East Germany","888","0.644351518771287","0.619531398359909","0.669171639182665"
"Main Tenant","1998","Employed","West Germany","3475","0.502634605355574","0.490415510156805","0.514853700554343"
"Main Tenant","1998","Employed","East Germany","1310","0.56428061166409","0.54467028100155","0.583890942326631"
"Sub-Tenant","1998","Not Employed","West Germany","90","0.0253825438575482","0.0205144317595632","0.0302506559555333"
"Sub-Tenant","1998","Not Employed","East Germany","47","0.0349347360554794","0.0254146899457393","0.0444547821652195"
"Sub-Tenant","1998","Employed","West Germany","203","0.0362918030569847","0.0317214250379208","0.0408621810760487"
"Sub-Tenant","1998","Employed","East Germany","78","0.0354638467983472","0.0281493225120654","0.0427783710846291"
"Owner","1998","Not Employed","West Germany","1913","0.514473140897904","0.499004082183199","0.529942199612609"
"Owner","1998","Not Employed","East Germany","487","0.311626589337989","0.287612768106211","0.335640410569767"
"Owner","1998","Employed","West Germany","2754","0.461073591587441","0.448891413893665","0.473255769281217"
"Owner","1998","Employed","East Germany","1068","0.400255541537562","0.380878578606921","0.419632504468204"
"Nursing Home/Retirement Community","1998","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1998","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1998","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1998","Employed","East Germany","","","",""
"Tenant","1998","Not Employed","West Germany","12","","",""
"Tenant","1998","Not Employed","East Germany","7","","",""
"Tenant","1998","Employed","West Germany","","","",""
"Tenant","1998","Employed","East Germany","","","",""
"Main Tenant","1999","Not Employed","West Germany","1782","0.457366366674704","0.441058806953217","0.473673926396192"
"Main Tenant","1999","Not Employed","East Germany","858","0.657957327421829","0.632955254905228","0.68295939993843"
"Main Tenant","1999","Employed","West Germany","3378","0.497635841382426","0.485367018377844","0.509904664387008"
"Main Tenant","1999","Employed","East Germany","1295","0.574505775118762","0.554807216809739","0.594204333427785"
"Sub-Tenant","1999","Not Employed","West Germany","79","0.0243598151692309","0.019313372482131","0.0294062578563308"
"Sub-Tenant","1999","Not Employed","East Germany","31","0.0229205971245905","0.0150335416783133","0.0308076525708677"
"Sub-Tenant","1999","Employed","West Germany","165","0.0287415529548372","0.0246417756106583","0.0328413302990161"
"Sub-Tenant","1999","Employed","East Germany","54","0.0213497244944626","0.0155906816839327","0.0271087673049925"
"Owner","1999","Not Employed","West Germany","1706","0.508735077890857","0.492370408700635","0.525099747081079"
"Owner","1999","Not Employed","East Germany","488","0.311498162811568","0.287091000039494","0.335905325583642"
"Owner","1999","Employed","West Germany","2836","0.473572556562633","0.461320745917769","0.485824367207496"
"Owner","1999","Employed","East Germany","1070","0.403908136604146","0.384358517243544","0.423457755964748"
"Nursing Home/Retirement Community","1999","Not Employed","West Germany","18","","",""
"Nursing Home/Retirement Community","1999","Not Employed","East Germany","6","","",""
"Nursing Home/Retirement Community","1999","Employed","West Germany","1","","",""
"Nursing Home/Retirement Community","1999","Employed","East Germany","1","","",""
"Tenant","1999","Not Employed","West Germany","","","",""
"Tenant","1999","Not Employed","East Germany","","","",""
"Tenant","1999","Employed","West Germany","","","",""
"Tenant","1999","Employed","East Germany","","","",""
