"hlf0001_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Tenant","1988","Couple + C. LE and GT 16","","","",""
"Main Tenant","1989","1-pers.-HH","768","0.720654283166277","0.693757909302827","0.747550657029728"
"Main Tenant","1989","(Married) couple without C. ","1355","0.538007282013008","0.517475547974605","0.558539016051411"
"Main Tenant","1989","Single parent ","267","0.486385691017557","0.441342777651461","0.531428604383652"
"Main Tenant","1989","Couple + C. LE 16 ","1373","0.546848116031249","0.525766999310202","0.567929232752295"
"Main Tenant","1989","Couple + C. GT 16 ","830","0.274884388904017","0.255999660879303","0.293769116928731"
"Main Tenant","1989","Couple + C. LE and GT 16","570","0.398417758853635","0.367890594387762","0.428944923319508"
"Sub-Tenant","1989","1-pers.-HH","69","0.0570889483292951","0.0431807580788613","0.070997138579729"
"Sub-Tenant","1989","(Married) couple without C. ","40","0.0149443523276398","0.00994765642219307","0.0199410482330866"
"Sub-Tenant","1989","Single parent ","8","","",""
"Sub-Tenant","1989","Couple + C. LE 16 ","28","","",""
"Sub-Tenant","1989","Couple + C. GT 16 ","12","","",""
"Sub-Tenant","1989","Couple + C. LE and GT 16","13","","",""
"Owner","1989","1-pers.-HH","223","0.213971193482486","0.189386991003726","0.238555395961245"
"Owner","1989","(Married) couple without C. ","870","0.447048365659352","0.426572851476349","0.467523879842354"
"Owner","1989","Single parent ","198","0.486276414149313","0.441233770106053","0.531319058192572"
"Owner","1989","Couple + C. LE 16 ","739","0.439044170183647","0.41802784410671","0.460060496260583"
"Owner","1989","Couple + C. GT 16 ","1302","0.716355128635765","0.697288069050369","0.735422188221161"
"Owner","1989","Couple + C. LE and GT 16","405","0.592103475018502","0.561459618062665","0.622747331974339"
"Nursing Home/Retirement Community","1989","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1989","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1989","Single parent ","","","",""
"Nursing Home/Retirement Community","1989","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1989","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1989","Couple + C. LE and GT 16","","","",""
"Tenant","1989","1-pers.-HH","9","","",""
"Tenant","1989","(Married) couple without C. ","","","",""
"Tenant","1989","Single parent ","","","",""
"Tenant","1989","Couple + C. LE 16 ","2","","",""
"Tenant","1989","Couple + C. GT 16 ","3","","",""
"Tenant","1989","Couple + C. LE and GT 16","","","",""
"Main Tenant","1990","1-pers.-HH","1025","0.736312302095332","0.713030594164184","0.759594010026479"
"Main Tenant","1990","(Married) couple without C. ","1967","0.557504212700644","0.540475347250468","0.574533078150821"
"Main Tenant","1990","Single parent ","415","0.552826064039935","0.514807308015891","0.590844820063978"
"Main Tenant","1990","Couple + C. LE 16 ","2277","0.568156946909835","0.551915350578039","0.584398543241632"
"Main Tenant","1990","Couple + C. GT 16 ","1290","0.341754090490285","0.324461895868526","0.359046285112044"
"Main Tenant","1990","Couple + C. LE and GT 16","732","0.475714235934474","0.447586606865284","0.503841865003664"
"Sub-Tenant","1990","1-pers.-HH","78","0.058448384396424","0.0460533654178389","0.0708434033750092"
"Sub-Tenant","1990","(Married) couple without C. ","97","0.0254607152863445","0.0200601149062729","0.0308613156664162"
"Sub-Tenant","1990","Single parent ","18","","",""
"Sub-Tenant","1990","Couple + C. LE 16 ","108","0.0272193305472068","0.0218837980585808","0.0325548630358328"
"Sub-Tenant","1990","Couple + C. GT 16 ","30","0.0070857587108106","0.00402768309937867","0.0101438343222425"
"Sub-Tenant","1990","Couple + C. LE and GT 16","10","","",""
"Owner","1990","1-pers.-HH","272","0.203621854397113","0.182344837672154","0.224898871122072"
"Owner","1990","(Married) couple without C. ","1200","0.415586948384684","0.398690401012181","0.432483495757188"
"Owner","1990","Single parent ","223","0.407444293366671","0.369872310253511","0.445016276479831"
"Owner","1990","Couple + C. LE 16 ","1186","0.404481297408087","0.38838861249043","0.420573982325744"
"Owner","1990","Couple + C. GT 16 ","1567","0.650647438391054","0.633265268201079","0.668029608581029"
"Owner","1990","Couple + C. LE and GT 16","469","0.520097620487116","0.4919595116902","0.548235729284032"
"Nursing Home/Retirement Community","1990","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1990","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1990","Single parent ","","","",""
"Nursing Home/Retirement Community","1990","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1990","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1990","Couple + C. LE and GT 16","","","",""
"Tenant","1990","1-pers.-HH","1","","",""
"Tenant","1990","(Married) couple without C. ","4","","",""
"Tenant","1990","Single parent ","1","","",""
"Tenant","1990","Couple + C. LE 16 ","2","","",""
"Tenant","1990","Couple + C. GT 16 ","3","","",""
"Tenant","1990","Couple + C. LE and GT 16","","","",""
"Main Tenant","1991","1-pers.-HH","993","0.745552561991001","0.722292949886199","0.768812174095803"
"Main Tenant","1991","(Married) couple without C. ","1934","0.549466298725834","0.532299758322656","0.566632839129011"
"Main Tenant","1991","Single parent ","407","0.5467437368694","0.508678439965486","0.584809033773315"
"Main Tenant","1991","Couple + C. LE 16 ","2182","0.557619506965747","0.541065521873664","0.57417349205783"
"Main Tenant","1991","Couple + C. GT 16 ","1246","0.336247379981357","0.318773790915774","0.35372096904694"
"Main Tenant","1991","Couple + C. LE and GT 16","707","0.469361075701071","0.441345514573742","0.497376636828399"
"Sub-Tenant","1991","1-pers.-HH","85","0.0511198233264505","0.0393582708084469","0.0628813758444541"
"Sub-Tenant","1991","(Married) couple without C. ","89","0.028906409312457","0.0231257652868135","0.0346870533381004"
"Sub-Tenant","1991","Single parent ","20","","",""
"Sub-Tenant","1991","Couple + C. LE 16 ","120","0.0330131336246089","0.027058030875346","0.0389682363738718"
"Sub-Tenant","1991","Couple + C. GT 16 ","61","0.0164210852986719","0.0117204660697023","0.0211217045276415"
"Sub-Tenant","1991","Couple + C. LE and GT 16","11","","",""
"Owner","1991","1-pers.-HH","265","0.198837383985971","0.177522957497694","0.220151810474249"
"Owner","1991","(Married) couple without C. ","1200","0.421092745179183","0.40405775121601","0.438127739142357"
"Owner","1991","Single parent ","230","0.408522570773698","0.370935150265452","0.446109991281944"
"Owner","1991","Couple + C. LE 16 ","1154","0.408964967937296","0.392578503412487","0.425351432462106"
"Owner","1991","Couple + C. GT 16 ","1501","0.647331534719971","0.6296591061356","0.665003963304342"
"Owner","1991","Couple + C. LE and GT 16","501","0.525353909758518","0.497321710181921","0.553386109335116"
"Nursing Home/Retirement Community","1991","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1991","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1991","Single parent ","","","",""
"Nursing Home/Retirement Community","1991","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1991","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1991","Couple + C. LE and GT 16","","","",""
"Tenant","1991","1-pers.-HH","4","","",""
"Tenant","1991","(Married) couple without C. ","4","","",""
"Tenant","1991","Single parent ","","","",""
"Tenant","1991","Couple + C. LE 16 ","2","","",""
"Tenant","1991","Couple + C. GT 16 ","","","",""
"Tenant","1991","Couple + C. LE and GT 16","","","",""
"Main Tenant","1992","1-pers.-HH","1000","0.742354124957832","0.719033640058358","0.765674609857306"
"Main Tenant","1992","(Married) couple without C. ","1992","0.540535593163527","0.523488484290827","0.557582702036227"
"Main Tenant","1992","Single parent ","421","0.587759742014029","0.549683358216949","0.62583612581111"
"Main Tenant","1992","Couple + C. LE 16 ","2044","0.548845434763525","0.531862588757119","0.565828280769931"
"Main Tenant","1992","Couple + C. GT 16 ","1235","0.340684909558268","0.322935862883082","0.358433956233454"
"Main Tenant","1992","Couple + C. LE and GT 16","695","0.512478888879515","0.483751712766511","0.541206064992519"
"Sub-Tenant","1992","1-pers.-HH","85","0.0538822127017701","0.0418425108803471","0.065921914523193"
"Sub-Tenant","1992","(Married) couple without C. ","73","0.024944404906034","0.0196096568629678","0.0302791529491002"
"Sub-Tenant","1992","Single parent ","19","","",""
"Sub-Tenant","1992","Couple + C. LE 16 ","91","0.027604329628172","0.0220127710890356","0.0331958881673084"
"Sub-Tenant","1992","Couple + C. GT 16 ","40","0.013189761685524","0.00891720953289118","0.0174623138381568"
"Sub-Tenant","1992","Couple + C. LE and GT 16","6","","",""
"Owner","1992","1-pers.-HH","264","0.20093009140103","0.17956349751078","0.22229668529128"
"Owner","1992","(Married) couple without C. ","1214","0.432875459200965","0.415926877836713","0.449824040565218"
"Owner","1992","Single parent ","202","0.376466696188094","0.33898893101222","0.413944461363968"
"Owner","1992","Couple + C. LE 16 ","1161","0.422389328003738","0.405531685556493","0.439246970450982"
"Owner","1992","Couple + C. GT 16 ","1464","0.646125328756208","0.628217818959515","0.6640328385529"
"Owner","1992","Couple + C. LE and GT 16","462","0.485374356428438","0.456650525677776","0.514098187179099"
"Nursing Home/Retirement Community","1992","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1992","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1992","Single parent ","","","",""
"Nursing Home/Retirement Community","1992","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1992","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1992","Couple + C. LE and GT 16","","","",""
"Tenant","1992","1-pers.-HH","2","","",""
"Tenant","1992","(Married) couple without C. ","4","","",""
"Tenant","1992","Single parent ","","","",""
"Tenant","1992","Couple + C. LE 16 ","2","","",""
"Tenant","1992","Couple + C. GT 16 ","","","",""
"Tenant","1992","Couple + C. LE and GT 16","","","",""
"Main Tenant","1993","1-pers.-HH","1049","0.731930627397864","0.708851019287354","0.755010235508374"
"Main Tenant","1993","(Married) couple without C. ","1982","0.525810219080671","0.508865839317847","0.542754598843496"
"Main Tenant","1993","Single parent ","407","0.612677622519896","0.573956440608079","0.651398804431712"
"Main Tenant","1993","Couple + C. LE 16 ","1922","0.534384653529839","0.516887303757846","0.551882003301832"
"Main Tenant","1993","Couple + C. GT 16 ","1209","0.34540490223954","0.327113526553695","0.363696277925384"
"Main Tenant","1993","Couple + C. LE and GT 16","715","0.507207258508528","0.478813878729011","0.535600638288044"
"Sub-Tenant","1993","1-pers.-HH","88","0.0623380752644938","0.0497410005227234","0.0749351500062642"
"Sub-Tenant","1993","(Married) couple without C. ","93","0.0221247959539419","0.0171334643450711","0.0271161275628127"
"Sub-Tenant","1993","Single parent ","19","","",""
"Sub-Tenant","1993","Couple + C. LE 16 ","87","0.0318818669896518","0.0257192143143667","0.038044519664937"
"Sub-Tenant","1993","Couple + C. GT 16 ","38","0.0140004841906335","0.00948082564618657","0.0185201427350805"
"Sub-Tenant","1993","Couple + C. LE and GT 16","4","","",""
"Owner","1993","1-pers.-HH","278","0.205731297337642","0.184669095103357","0.226793499571927"
"Owner","1993","(Married) couple without C. ","1261","0.452064984965387","0.435176136770756","0.468953833160018"
"Owner","1993","Single parent ","182","0.351640241121164","0.313686585554326","0.389593896688002"
"Owner","1993","Couple + C. LE 16 ","1113","0.433733479480509","0.416349325603101","0.451117633357917"
"Owner","1993","Couple + C. GT 16 ","1349","0.640594613569826","0.622136824484361","0.659052402655292"
"Owner","1993","Couple + C. LE and GT 16","472","0.491206899587761","0.462814961053764","0.519598838121758"
"Nursing Home/Retirement Community","1993","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1993","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1993","Single parent ","","","",""
"Nursing Home/Retirement Community","1993","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1993","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1993","Couple + C. LE and GT 16","","","",""
"Tenant","1993","1-pers.-HH","","","",""
"Tenant","1993","(Married) couple without C. ","","","",""
"Tenant","1993","Single parent ","","","",""
"Tenant","1993","Couple + C. LE 16 ","","","",""
"Tenant","1993","Couple + C. GT 16 ","","","",""
"Tenant","1993","Couple + C. LE and GT 16","","","",""
"Main Tenant","1994","1-pers.-HH","1027","0.715477946540103","0.691944429538324","0.739011463541881"
"Main Tenant","1994","(Married) couple without C. ","2027","0.524457920727176","0.507683816643804","0.541232024810549"
"Main Tenant","1994","Single parent ","389","0.619035552371546","0.579513989126099","0.658557115616992"
"Main Tenant","1994","Couple + C. LE 16 ","1829","0.528502093586468","0.51071321209462","0.546290975078316"
"Main Tenant","1994","Couple + C. GT 16 ","1163","0.351371201734561","0.332528952230045","0.370213451239077"
"Main Tenant","1994","Couple + C. LE and GT 16","663","0.471068381149179","0.442611906593396","0.499524855704962"
"Sub-Tenant","1994","1-pers.-HH","97","0.0672829411566653","0.0542164738429768","0.0803494084703539"
"Sub-Tenant","1994","(Married) couple without C. ","99","0.0239031976057851","0.018772646962998","0.0290337482485721"
"Sub-Tenant","1994","Single parent ","13","","",""
"Sub-Tenant","1994","Couple + C. LE 16 ","69","0.0176941679402947","0.012996050862478","0.0223922850181115"
"Sub-Tenant","1994","Couple + C. GT 16 ","22","","",""
"Sub-Tenant","1994","Couple + C. LE and GT 16","11","","",""
"Owner","1994","1-pers.-HH","288","0.217239112303232","0.195730404933332","0.238747819673133"
"Owner","1994","(Married) couple without C. ","1279","0.451638881667039","0.434923414405397","0.46835434892868"
"Owner","1994","Single parent ","178","0.350169824026306","0.311348227598886","0.388991420453726"
"Owner","1994","Couple + C. LE 16 ","1127","0.453803738473237","0.43606209703559","0.471545379910884"
"Owner","1994","Couple + C. GT 16 ","1281","0.638444964151065","0.619482250140501","0.657407678161629"
"Owner","1994","Couple + C. LE and GT 16","508","0.524111688989891","0.495640618645366","0.552582759334416"
"Nursing Home/Retirement Community","1994","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1994","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1994","Single parent ","","","",""
"Nursing Home/Retirement Community","1994","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1994","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1994","Couple + C. LE and GT 16","","","",""
"Tenant","1994","1-pers.-HH","","","",""
"Tenant","1994","(Married) couple without C. ","","","",""
"Tenant","1994","Single parent ","","","",""
"Tenant","1994","Couple + C. LE 16 ","","","",""
"Tenant","1994","Couple + C. GT 16 ","","","",""
"Tenant","1994","Couple + C. LE and GT 16","","","",""
"Main Tenant","1995","1-pers.-HH","1063","0.705589747325224","0.682210837334451","0.728968657315997"
"Main Tenant","1995","(Married) couple without C. ","2112","0.515950853539306","0.499458058643229","0.532443648435382"
"Main Tenant","1995","Single parent ","414","0.589060898945112","0.550207719301469","0.627914078588755"
"Main Tenant","1995","Couple + C. LE 16 ","1912","0.504912552858036","0.48747477785619","0.522350327859881"
"Main Tenant","1995","Couple + C. GT 16 ","1200","0.347054120245835","0.328420033226527","0.365688207265143"
"Main Tenant","1995","Couple + C. LE and GT 16","709","0.479566294351515","0.45187137414482","0.507261214558211"
"Sub-Tenant","1995","1-pers.-HH","105","0.0672495579398052","0.0544026352143782","0.0800964806652323"
"Sub-Tenant","1995","(Married) couple without C. ","107","0.0320446036814376","0.026232270704239","0.0378569366586361"
"Sub-Tenant","1995","Single parent ","14","","",""
"Sub-Tenant","1995","Couple + C. LE 16 ","78","0.0225828182350365","0.0174011323522243","0.0277645041178487"
"Sub-Tenant","1995","Couple + C. GT 16 ","35","0.0132754144174947","0.00879526041993748","0.017755568415052"
"Sub-Tenant","1995","Couple + C. LE and GT 16","15","","",""
"Owner","1995","1-pers.-HH","292","0.227160694734971","0.205668396520088","0.248652992949854"
"Owner","1995","(Married) couple without C. ","1308","0.452004542779256","0.435579548002001","0.468429537556512"
"Owner","1995","Single parent ","188","0.378982345749216","0.340671724205517","0.417292967292914"
"Owner","1995","Couple + C. LE 16 ","1168","0.472504628906928","0.455092399179066","0.48991685863479"
"Owner","1995","Couple + C. GT 16 ","1272","0.639670465336671","0.620877340268623","0.658463590404719"
"Owner","1995","Couple + C. LE and GT 16","526","0.514980228472308","0.487274595052623","0.542685861891993"
