"hlf0001_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Owner","1984","Couple + C. LE 16 ","West Germany","966","0.419685274989971","0.402262174757513","0.437108375222428","3"
"Owner","1984","Couple + C. LE 16 ","East Germany","","","","","3"
"Owner","1984","Couple + C. GT 16 ","East Germany","","","","","3"
"Owner","1984","Couple + C. GT 16 ","West Germany","1068","0.648903091777024","0.627947599578811","0.669858583975237","3"
"Owner","1984","Couple + C. LE and GT 16","West Germany","783","0.670497688780313","0.648284457278911","0.692710920281715","3"
"Owner","1984","Couple + C. LE and GT 16","East Germany","","","","","3"
"Sub-Tenant","1984","1-pers.-HH","East Germany","","","","","2"
"Sub-Tenant","1984","1-pers.-HH","West Germany","70","0.0322605427421587","0.0227824158800424","0.041738669604275","2"
"Sub-Tenant","1984","(Married) couple without C. ","West Germany","24","","","","2"
"Sub-Tenant","1984","(Married) couple without C. ","East Germany","","","","","2"
"Sub-Tenant","1984","Single parent ","West Germany","7","","","","2"
"Sub-Tenant","1984","Single parent ","East Germany","","","","","2"
"Sub-Tenant","1984","Couple + C. LE 16 ","West Germany","32","0.00948075570230142","0.00605950648851037","0.0129020049160925","2"
"Sub-Tenant","1984","Couple + C. GT 16 ","West Germany","6","","","","2"
"Sub-Tenant","1984","Couple + C. LE 16 ","East Germany","","","","","2"
"Sub-Tenant","1984","Couple + C. GT 16 ","East Germany","","","","","2"
"Sub-Tenant","1984","Couple + C. LE and GT 16","West Germany","12","","","","2"
"Sub-Tenant","1984","Couple + C. LE and GT 16","East Germany","","","","","2"
"Tenant","1984","Single parent ","East Germany","","","","","5"
"Tenant","1984","Single parent ","West Germany","","","","","5"
"Tenant","1984","1-pers.-HH","West Germany","6","","","","5"
"Tenant","1984","Couple + C. LE 16 ","West Germany","10","","","","5"
"Tenant","1984","1-pers.-HH","East Germany","","","","","5"
"Tenant","1984","(Married) couple without C. ","West Germany","8","","","","5"
"Tenant","1984","Couple + C. LE 16 ","East Germany","","","","","5"
"Tenant","1984","(Married) couple without C. ","East Germany","","","","","5"
"Tenant","1984","Couple + C. GT 16 ","West Germany","4","","","","5"
"Tenant","1984","Couple + C. GT 16 ","East Germany","","","","","5"
"Tenant","1984","Couple + C. LE and GT 16","West Germany","4","","","","5"
"Tenant","1984","Couple + C. LE and GT 16","East Germany","","","","","5"
"Main Tenant","1985","1-pers.-HH","West Germany","898","0.755396831449151","0.730870888932468","0.779922773965835","1"
"Main Tenant","1985","1-pers.-HH","East Germany","","","","","1"
"Main Tenant","1985","(Married) couple without C. ","West Germany","1492","0.567210167355253","0.547498483227249","0.586921851483258","1"
"Main Tenant","1985","(Married) couple without C. ","East Germany","","","","","1"
"Main Tenant","1985","Single parent ","West Germany","351","0.583634470198654","0.54217191839688","0.625097022000429","1"
"Main Tenant","1985","Single parent ","East Germany","","","","","1"
"Main Tenant","1985","Couple + C. LE 16 ","West Germany","1736","0.547834224314313","0.528973445515055","0.566695003113571","1"
"Main Tenant","1985","Couple + C. LE 16 ","East Germany","","","","","1"
"Main Tenant","1985","Couple + C. GT 16 ","West Germany","906","0.34815907504886","0.327410166860794","0.368907983236925","1"
"Main Tenant","1985","Couple + C. GT 16 ","East Germany","","","","","1"
"Main Tenant","1985","Couple + C. LE and GT 16","West Germany","791","0.299939688674835","0.276672728129692","0.323206649219979","1"
"Main Tenant","1985","Couple + C. LE and GT 16","East Germany","","","","","1"
"Nursing Home/Retirement Community","1985","1-pers.-HH","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","1-pers.-HH","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","(Married) couple without C. ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","(Married) couple without C. ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","Couple + C. LE and GT 16","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","Single parent ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","Single parent ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","Couple + C. LE 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","Couple + C. LE 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","Couple + C. GT 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","Couple + C. GT 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","Couple + C. LE and GT 16","West Germany","","","","","4"
"Owner","1985","1-pers.-HH","West Germany","216","0.208272942009657","0.185103730347503","0.23144215367181","3"
"Owner","1985","1-pers.-HH","East Germany","","","","","3"
"Owner","1985","(Married) couple without C. ","West Germany","903","0.422135905595297","0.402486373879476","0.441785437311118","3"
"Owner","1985","(Married) couple without C. ","East Germany","","","","","3"
"Owner","1985","Single parent ","East Germany","","","","","3"
"Owner","1985","Single parent ","West Germany","184","0.405586270538966","0.364287776538488","0.446884764539444","3"
"Owner","1985","Couple + C. LE 16 ","West Germany","903","0.439098246608593","0.420291639657801","0.457904853559384","3"
"Owner","1985","Couple + C. LE 16 ","East Germany","","","","","3"
"Owner","1985","Couple + C. GT 16 ","West Germany","1110","0.648311554616993","0.627514276087572","0.669108833146414","3"
"Owner","1985","Couple + C. GT 16 ","East Germany","","","","","3"
"Owner","1985","Couple + C. LE and GT 16","East Germany","","","","","3"
"Owner","1985","Couple + C. LE and GT 16","West Germany","699","0.700060311325165","0.676793350780021","0.723327271870309","3"
"Sub-Tenant","1985","(Married) couple without C. ","West Germany","32","0.0106539270494495","0.00656939621118311","0.0147384578877159","2"
"Sub-Tenant","1985","Single parent ","West Germany","8","","","","2"
"Sub-Tenant","1985","1-pers.-HH","West Germany","66","0.0363302265411925","0.0256543078158337","0.0470061452665512","2"
"Sub-Tenant","1985","1-pers.-HH","East Germany","","","","","2"
"Sub-Tenant","1985","(Married) couple without C. ","East Germany","","","","","2"
"Sub-Tenant","1985","Single parent ","East Germany","","","","","2"
"Sub-Tenant","1985","Couple + C. LE 16 ","West Germany","36","0.0130675290770945","0.00876398104663268","0.0173710771075562","2"
"Sub-Tenant","1985","Couple + C. LE 16 ","East Germany","","","","","2"
"Sub-Tenant","1985","Couple + C. GT 16 ","West Germany","9","","","","2"
"Sub-Tenant","1985","Couple + C. GT 16 ","East Germany","","","","","2"
"Sub-Tenant","1985","Couple + C. LE and GT 16","West Germany","","","","","2"
"Sub-Tenant","1985","Couple + C. LE and GT 16","East Germany","","","","","2"
"Tenant","1985","Single parent ","East Germany","","","","","5"
"Tenant","1985","Couple + C. LE 16 ","West Germany","","","","","5"
"Tenant","1985","Single parent ","West Germany","","","","","5"
"Tenant","1985","1-pers.-HH","West Germany","","","","","5"
"Tenant","1985","1-pers.-HH","East Germany","","","","","5"
"Tenant","1985","(Married) couple without C. ","West Germany","","","","","5"
"Tenant","1985","Couple + C. LE 16 ","East Germany","","","","","5"
"Tenant","1985","(Married) couple without C. ","East Germany","","","","","5"
"Tenant","1985","Couple + C. GT 16 ","West Germany","","","","","5"
"Tenant","1985","Couple + C. GT 16 ","East Germany","","","","","5"
"Tenant","1985","Couple + C. LE and GT 16","West Germany","","","","","5"
"Tenant","1985","Couple + C. LE and GT 16","East Germany","","","","","5"
"Main Tenant","1986","1-pers.-HH","West Germany","828","0.741077409279583","0.715400428946471","0.766754389612694","1"
"Main Tenant","1986","1-pers.-HH","East Germany","","","","","1"
"Main Tenant","1986","(Married) couple without C. ","West Germany","1442","0.561715735145817","0.54181092150159","0.581620548790043","1"
"Main Tenant","1986","(Married) couple without C. ","East Germany","","","","","1"
"Main Tenant","1986","Single parent ","West Germany","304","0.557745510410502","0.514514212124271","0.600976808696732","1"
"Main Tenant","1986","Single parent ","East Germany","","","","","1"
"Main Tenant","1986","Couple + C. LE 16 ","West Germany","1549","0.559731523093677","0.539899878779691","0.579563167407663","1"
"Main Tenant","1986","Couple + C. LE 16 ","East Germany","","","","","1"
"Main Tenant","1986","Couple + C. GT 16 ","West Germany","895","0.332274718020683","0.312162341889793","0.352387094151573","1"
"Main Tenant","1986","Couple + C. GT 16 ","East Germany","","","","","1"
"Main Tenant","1986","Couple + C. LE and GT 16","West Germany","716","0.294916659629793","0.271047124336031","0.318786194923554","1"
"Main Tenant","1986","Couple + C. LE and GT 16","East Germany","","","","","1"
"Nursing Home/Retirement Community","1986","(Married) couple without C. ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","1-pers.-HH","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","1-pers.-HH","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","(Married) couple without C. ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Single parent ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Couple + C. LE and GT 16","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Single parent ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Couple + C. LE 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Couple + C. LE 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Couple + C. GT 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Couple + C. LE and GT 16","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Couple + C. GT 16 ","East Germany","","","","","4"
"Owner","1986","1-pers.-HH","East Germany","","","","","3"
"Owner","1986","(Married) couple without C. ","West Germany","900","0.421795843403355","0.401984513316281","0.441607173490429","3"
"Owner","1986","1-pers.-HH","West Germany","220","0.214406404120854","0.190349206650371","0.238463601591337","3"
"Owner","1986","(Married) couple without C. ","East Germany","","","","","3"
"Owner","1986","Single parent ","West Germany","191","0.423877461778741","0.380862285541612","0.466892638015871","3"
"Owner","1986","Single parent ","East Germany","","","","","3"
"Owner","1986","Couple + C. LE 16 ","East Germany","","","","","3"
"Owner","1986","Couple + C. LE 16 ","West Germany","813","0.426345450196179","0.406588673852276","0.446102226540083","3"
"Owner","1986","Couple + C. GT 16 ","West Germany","1202","0.665605367651835","0.645460988834147","0.685749746469524","3"
"Owner","1986","Couple + C. GT 16 ","East Germany","","","","","3"
"Owner","1986","Couple + C. LE and GT 16","West Germany","680","0.701214964881727","0.677255390827357","0.725174538936098","3"
"Owner","1986","Couple + C. LE and GT 16","East Germany","","","","","3"
"Sub-Tenant","1986","1-pers.-HH","West Germany","70","0.0445161865995633","0.0324269790571286","0.056605394141998","2"
"Sub-Tenant","1986","1-pers.-HH","East Germany","","","","","2"
"Sub-Tenant","1986","(Married) couple without C. ","West Germany","45","0.0164884214508283","0.0113798301454692","0.0215970127561875","2"
"Sub-Tenant","1986","(Married) couple without C. ","East Germany","","","","","2"
"Sub-Tenant","1986","Single parent ","West Germany","12","","","","2"
"Sub-Tenant","1986","Single parent ","East Germany","","","","","2"
"Sub-Tenant","1986","Couple + C. LE 16 ","West Germany","45","0.0139230267101442","0.00924209524328466","0.0186039581770038","2"
"Sub-Tenant","1986","Couple + C. GT 16 ","West Germany","10","","","","2"
"Sub-Tenant","1986","Couple + C. LE 16 ","East Germany","","","","","2"
"Sub-Tenant","1986","Couple + C. GT 16 ","East Germany","","","","","2"
"Sub-Tenant","1986","Couple + C. LE and GT 16","West Germany","6","","","","2"
"Sub-Tenant","1986","Couple + C. LE and GT 16","East Germany","","","","","2"
"Tenant","1986","Single parent ","West Germany","","","","","5"
"Tenant","1986","Couple + C. LE 16 ","West Germany","","","","","5"
"Tenant","1986","Single parent ","East Germany","","","","","5"
"Tenant","1986","1-pers.-HH","West Germany","","","","","5"
"Tenant","1986","(Married) couple without C. ","West Germany","","","","","5"
"Tenant","1986","1-pers.-HH","East Germany","","","","","5"
"Tenant","1986","Couple + C. LE 16 ","East Germany","","","","","5"
"Tenant","1986","(Married) couple without C. ","East Germany","","","","","5"
"Tenant","1986","Couple + C. GT 16 ","West Germany","","","","","5"
"Tenant","1986","Couple + C. GT 16 ","East Germany","","","","","5"
"Tenant","1986","Couple + C. LE and GT 16","West Germany","","","","","5"
"Tenant","1986","Couple + C. LE and GT 16","East Germany","","","","","5"
"Main Tenant","1987","1-pers.-HH","West Germany","807","0.733150017429471","0.707222722778864","0.759077312080078","1"
"Main Tenant","1987","1-pers.-HH","East Germany","","","","","1"
"Main Tenant","1987","(Married) couple without C. ","West Germany","1379","0.540385025750596","0.520256991021526","0.560513060479667","1"
"Main Tenant","1987","(Married) couple without C. ","East Germany","","","","","1"
"Main Tenant","1987","Single parent ","West Germany","316","0.53490388157446","0.492156799130078","0.577650964018842","1"
"Main Tenant","1987","Single parent ","East Germany","","","","","1"
"Main Tenant","1987","Couple + C. LE 16 ","West Germany","1533","0.56297826214585","0.542991702049009","0.582964822242691","1"
"Main Tenant","1987","Couple + C. LE 16 ","East Germany","","","","","1"
"Main Tenant","1987","Couple + C. GT 16 ","West Germany","898","0.327832779235725","0.308031802094174","0.347633756377276","1"
"Main Tenant","1987","Couple + C. GT 16 ","East Germany","","","","","1"
"Main Tenant","1987","Couple + C. LE and GT 16","West Germany","663","0.310200018458747","0.28463828692237","0.335761749995124","1"
"Main Tenant","1987","Couple + C. LE and GT 16","East Germany","","","","","1"
"Nursing Home/Retirement Community","1987","1-pers.-HH","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","1-pers.-HH","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","(Married) couple without C. ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","(Married) couple without C. ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","Single parent ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","Single parent ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","Couple + C. LE 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","Couple + C. LE 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","Couple + C. GT 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","Couple + C. GT 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","Couple + C. LE and GT 16","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","Couple + C. LE and GT 16","East Germany","","","","","4"
"Owner","1987","(Married) couple without C. ","East Germany","","","","","3"
"Owner","1987","1-pers.-HH","East Germany","","","","","3"
"Owner","1987","1-pers.-HH","West Germany","226","0.212146151070913","0.188181693782293","0.236110608359534","3"
"Owner","1987","(Married) couple without C. ","West Germany","936","0.442017617766682","0.421959846775548","0.462075388757816","3"
"Owner","1987","Single parent ","West Germany","201","0.450311184004362","0.40767168790618","0.492950680102544","3"
"Owner","1987","Single parent ","East Germany","","","","","3"
"Owner","1987","Couple + C. LE 16 ","West Germany","790","0.417967334517452","0.398093321437176","0.437841347597727","3"
"Owner","1987","Couple + C. GT 16 ","West Germany","1254","0.671427282592736","0.651614886049532","0.691239679135939","3"
"Owner","1987","Couple + C. LE 16 ","East Germany","","","","","3"
"Owner","1987","Couple + C. GT 16 ","East Germany","","","","","3"
"Owner","1987","Couple + C. LE and GT 16","West Germany","581","0.678155410409493","0.652339021649909","0.703971799169077","3"
"Owner","1987","Couple + C. LE and GT 16","East Germany","","","","","3"
"Sub-Tenant","1987","1-pers.-HH","East Germany","","","","","2"
"Sub-Tenant","1987","(Married) couple without C. ","West Germany","40","0.017597356482722","0.0122870313470351","0.0229076816184089","2"
"Sub-Tenant","1987","(Married) couple without C. ","East Germany","","","","","2"
"Sub-Tenant","1987","Single parent ","West Germany","6","","","","2"
"Sub-Tenant","1987","1-pers.-HH","West Germany","85","0.0547038314996158","0.0413741426817266","0.068033520317505","2"
"Sub-Tenant","1987","Single parent ","East Germany","","","","","2"
"Sub-Tenant","1987","Couple + C. LE 16 ","East Germany","","","","","2"
"Sub-Tenant","1987","Couple + C. LE 16 ","West Germany","43","0.0190544033366983","0.0135455544566548","0.0245632522167418","2"
"Sub-Tenant","1987","Couple + C. GT 16 ","East Germany","","","","","2"
"Sub-Tenant","1987","Couple + C. GT 16 ","West Germany","7","","","","2"
"Sub-Tenant","1987","Couple + C. LE and GT 16","West Germany","14","","","","2"
"Sub-Tenant","1987","Couple + C. LE and GT 16","East Germany","","","","","2"
"Tenant","1987","Single parent ","East Germany","","","","","5"
"Tenant","1987","Couple + C. LE 16 ","West Germany","","","","","5"
"Tenant","1987","1-pers.-HH","West Germany","","","","","5"
"Tenant","1987","Single parent ","West Germany","","","","","5"
"Tenant","1987","Couple + C. LE 16 ","East Germany","","","","","5"
"Tenant","1987","1-pers.-HH","East Germany","","","","","5"
"Tenant","1987","(Married) couple without C. ","West Germany","","","","","5"
"Tenant","1987","(Married) couple without C. ","East Germany","","","","","5"
"Tenant","1987","Couple + C. GT 16 ","West Germany","","","","","5"
"Tenant","1987","Couple + C. GT 16 ","East Germany","","","","","5"
"Tenant","1987","Couple + C. LE and GT 16","West Germany","","","","","5"
"Tenant","1987","Couple + C. LE and GT 16","East Germany","","","","","5"
"Main Tenant","1988","1-pers.-HH","West Germany","774","0.727450072250339","0.700795278300701","0.754104866199977","1"
"Main Tenant","1988","1-pers.-HH","East Germany","","","","","1"
"Main Tenant","1988","(Married) couple without C. ","West Germany","1363","0.537668112405045","0.517238781389981","0.558097443420109","1"
"Main Tenant","1988","(Married) couple without C. ","East Germany","","","","","1"
"Main Tenant","1988","Single parent ","West Germany","298","0.525926749603303","0.482548247087196","0.56930525211941","1"
"Main Tenant","1988","Single parent ","East Germany","","","","","1"
"Main Tenant","1988","Couple + C. LE 16 ","West Germany","1414","0.544046976417973","0.523380018441471","0.564713934394475","1"
"Main Tenant","1988","Couple + C. LE 16 ","East Germany","","","","","1"
"Main Tenant","1988","Couple + C. GT 16 ","West Germany","915","0.309864934631736","0.290580651614617","0.329149217648856","1"
"Main Tenant","1988","Couple + C. GT 16 ","East Germany","","","","","1"
"Main Tenant","1988","Couple + C. LE and GT 16","West Germany","613","0.34217611707641","0.31402371989251","0.37032851426031","1"
"Main Tenant","1988","Couple + C. LE and GT 16","East Germany","","","","","1"
"Nursing Home/Retirement Community","1988","1-pers.-HH","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","1-pers.-HH","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","(Married) couple without C. ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","(Married) couple without C. ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","Single parent ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","Couple + C. LE 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","Couple + C. LE 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","Single parent ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","Couple + C. GT 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","Couple + C. GT 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","Couple + C. LE and GT 16","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","Couple + C. LE and GT 16","East Germany","","","","","4"
"Owner","1988","1-pers.-HH","West Germany","226","0.21553118441162","0.19091653819251","0.24014583063073","3"
"Owner","1988","1-pers.-HH","East Germany","","","","","3"
"Owner","1988","(Married) couple without C. ","West Germany","883","0.440318652755018","0.419977571283658","0.460659734226379","3"
"Owner","1988","(Married) couple without C. ","East Germany","","","","","3"
"Owner","1988","Single parent ","West Germany","200","0.446253302517091","0.403068046758442","0.48943855827574","3"
"Owner","1988","Single parent ","East Germany","","","","","3"
"Owner","1988","Couple + C. LE 16 ","West Germany","777","0.436708514976325","0.416127787164704","0.457289242787946","3"
"Owner","1988","Couple + C. LE 16 ","East Germany","","","","","3"
"Owner","1988","Couple + C. GT 16 ","West Germany","1285","0.688059845311464","0.668740207453556","0.707379483169373","3"
"Owner","1988","Couple + C. GT 16 ","East Germany","","","","","3"
"Owner","1988","Couple + C. LE and GT 16","West Germany","466","0.643128743888177","0.614701126562192","0.671556361214161","3"
"Owner","1988","Couple + C. LE and GT 16","East Germany","","","","","3"
"Sub-Tenant","1988","1-pers.-HH","East Germany","","","","","2"
"Sub-Tenant","1988","1-pers.-HH","West Germany","72","0.0570187433380408","0.0431380535243681","0.0708994331517134","2"
"Sub-Tenant","1988","(Married) couple without C. ","West Germany","42","0.0220132348399365","0.0160011028964412","0.0280253667834318","2"
"Sub-Tenant","1988","(Married) couple without C. ","East Germany","","","","","2"
"Sub-Tenant","1988","Single parent ","West Germany","11","","","","2"
"Sub-Tenant","1988","Single parent ","East Germany","","","","","2"
"Sub-Tenant","1988","Couple + C. LE 16 ","West Germany","40","0.0192445086057021","0.0135437573286352","0.0249452598827691","2"
"Sub-Tenant","1988","Couple + C. LE 16 ","East Germany","","","","","2"
"Sub-Tenant","1988","Couple + C. GT 16 ","West Germany","9","","","","2"
"Sub-Tenant","1988","Couple + C. GT 16 ","East Germany","","","","","2"
"Sub-Tenant","1988","Couple + C. LE and GT 16","West Germany","12","","","","2"
"Sub-Tenant","1988","Couple + C. LE and GT 16","East Germany","","","","","2"
"Tenant","1988","Single parent ","East Germany","","","","","5"
"Tenant","1988","Couple + C. LE 16 ","West Germany","","","","","5"
"Tenant","1988","Couple + C. LE 16 ","East Germany","","","","","5"
"Tenant","1988","1-pers.-HH","West Germany","","","","","5"
"Tenant","1988","Single parent ","West Germany","","","","","5"
"Tenant","1988","1-pers.-HH","East Germany","","","","","5"
"Tenant","1988","(Married) couple without C. ","West Germany","","","","","5"
"Tenant","1988","(Married) couple without C. ","East Germany","","","","","5"
"Tenant","1988","Couple + C. GT 16 ","West Germany","","","","","5"
"Tenant","1988","Couple + C. GT 16 ","East Germany","","","","","5"
"Tenant","1988","Couple + C. LE and GT 16","West Germany","","","","","5"
"Tenant","1988","Couple + C. LE and GT 16","East Germany","","","","","5"
"Main Tenant","1989","1-pers.-HH","West Germany","768","0.720654283166277","0.693757909302827","0.747550657029728","1"
"Main Tenant","1989","1-pers.-HH","East Germany","","","","","1"
"Main Tenant","1989","(Married) couple without C. ","West Germany","1355","0.538007282013008","0.517475547974605","0.558539016051411","1"
"Main Tenant","1989","(Married) couple without C. ","East Germany","","","","","1"
"Main Tenant","1989","Single parent ","West Germany","267","0.486385691017557","0.441342777651461","0.531428604383652","1"
"Main Tenant","1989","Single parent ","East Germany","","","","","1"
"Main Tenant","1989","Couple + C. LE 16 ","West Germany","1373","0.546848116031249","0.525766999310202","0.567929232752295","1"
"Main Tenant","1989","Couple + C. LE 16 ","East Germany","","","","","1"
"Main Tenant","1989","Couple + C. GT 16 ","West Germany","830","0.274884388904017","0.255999660879303","0.293769116928731","1"
"Main Tenant","1989","Couple + C. GT 16 ","East Germany","","","","","1"
"Main Tenant","1989","Couple + C. LE and GT 16","West Germany","570","0.398417758853635","0.367890594387762","0.428944923319508","1"
"Main Tenant","1989","Couple + C. LE and GT 16","East Germany","","","","","1"
"Nursing Home/Retirement Community","1989","1-pers.-HH","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","1-pers.-HH","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","(Married) couple without C. ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","(Married) couple without C. ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","Single parent ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","Single parent ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","Couple + C. LE 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","Couple + C. LE 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","Couple + C. GT 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","Couple + C. GT 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","Couple + C. LE and GT 16","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","Couple + C. LE and GT 16","West Germany","","","","","4"
"Owner","1989","1-pers.-HH","West Germany","223","0.213971193482486","0.189386991003726","0.238555395961245","3"
"Owner","1989","1-pers.-HH","East Germany","","","","","3"
"Owner","1989","(Married) couple without C. ","West Germany","870","0.447048365659352","0.426572851476349","0.467523879842354","3"
"Owner","1989","(Married) couple without C. ","East Germany","","","","","3"
"Owner","1989","Single parent ","West Germany","198","0.486276414149313","0.441233770106053","0.531319058192572","3"
"Owner","1989","Single parent ","East Germany","","","","","3"
"Owner","1989","Couple + C. LE 16 ","West Germany","739","0.439044170183647","0.41802784410671","0.460060496260583","3"
"Owner","1989","Couple + C. GT 16 ","West Germany","1302","0.716355128635765","0.697288069050369","0.735422188221161","3"
"Owner","1989","Couple + C. LE 16 ","East Germany","","","","","3"
"Owner","1989","Couple + C. GT 16 ","East Germany","","","","","3"
"Owner","1989","Couple + C. LE and GT 16","West Germany","405","0.592103475018502","0.561459618062665","0.622747331974339","3"
"Owner","1989","Couple + C. LE and GT 16","East Germany","","","","","3"
"Sub-Tenant","1989","1-pers.-HH","West Germany","69","0.0570889483292951","0.0431807580788613","0.070997138579729","2"
"Sub-Tenant","1989","1-pers.-HH","East Germany","","","","","2"
"Sub-Tenant","1989","(Married) couple without C. ","West Germany","40","0.0149443523276398","0.00994765642219307","0.0199410482330866","2"
"Sub-Tenant","1989","(Married) couple without C. ","East Germany","","","","","2"
"Sub-Tenant","1989","Single parent ","West Germany","8","","","","2"
