"hlf0001_h","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1985","Part Time","no migration background","694","0.50812815179581","0.481741847306545","0.534514456285074"
"Main Tenant","1985","Part Time","direct migration background","395","0.702786764090409","0.661021518928749","0.744552009252069"
"Main Tenant","1985","Part Time","indirect migration background","16","","",""
"Main Tenant","1985","Not Working","no migration background","1547","0.503868326389189","0.48669993689439","0.521036715883988"
"Main Tenant","1985","Not Working","direct migration background","765","0.683010263468077","0.652440695356061","0.713579831580093"
"Main Tenant","1985","Not Working","indirect migration background","56","0.717745084158851","0.613779951182234","0.821710217135469"
"Sub-Tenant","1985","Full Time","no migration background","39","0.0122242127873476","0.00849536454450084","0.0159530610301944"
"Sub-Tenant","1985","Full Time","direct migration background","40","0.0297804798898373","0.0214254043883646","0.0381355553913101"
"Sub-Tenant","1985","Full Time","indirect migration background","","","",""
"Sub-Tenant","1985","Part Time","no migration background","13","","",""
"Sub-Tenant","1985","Part Time","direct migration background","9","","",""
"Sub-Tenant","1985","Part Time","indirect migration background","","","",""
"Sub-Tenant","1985","Not Working","no migration background","37","0.0124826519120074","0.00867025290327823","0.0162950509207366"
"Sub-Tenant","1985","Not Working","direct migration background","18","","",""
"Sub-Tenant","1985","Not Working","indirect migration background","","","",""
"Owner","1985","Full Time","no migration background","1693","0.501876699320013","0.484909818268265","0.518843580371762"
"Owner","1985","Full Time","direct migration background","161","0.181219463990739","0.162285754699242","0.200153173282236"
"Owner","1985","Full Time","indirect migration background","12","","",""
"Owner","1985","Part Time","no migration background","672","0.481589224691224","0.45521732904934","0.507961120333107"
"Owner","1985","Part Time","direct migration background","56","0.28227025207613","0.241138026945197","0.323402477207063"
"Owner","1985","Part Time","indirect migration background","5","","",""
"Owner","1985","Not Working","no migration background","1674","0.483649021698804","0.466489301189688","0.50080874220792"
"Owner","1985","Not Working","direct migration background","107","0.293907524807108","0.263978729776352","0.323836319837864"
"Owner","1985","Not Working","indirect migration background","16","","",""
"Nursing Home/Retirement Community","1985","Full Time","no migration background","","","",""
"Nursing Home/Retirement Community","1985","Full Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1985","Full Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1985","Part Time","no migration background","","","",""
"Nursing Home/Retirement Community","1985","Part Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1985","Part Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1985","Not Working","no migration background","","","",""
"Nursing Home/Retirement Community","1985","Not Working","direct migration background","","","",""
"Nursing Home/Retirement Community","1985","Not Working","indirect migration background","","","",""
"Tenant","1985","Full Time","no migration background","","","",""
"Tenant","1985","Full Time","direct migration background","","","",""
"Tenant","1985","Full Time","indirect migration background","","","",""
"Tenant","1985","Part Time","no migration background","","","",""
"Tenant","1985","Part Time","direct migration background","","","",""
"Tenant","1985","Part Time","indirect migration background","","","",""
"Tenant","1985","Not Working","no migration background","","","",""
"Tenant","1985","Not Working","direct migration background","","","",""
"Tenant","1985","Not Working","indirect migration background","","","",""
"Main Tenant","1986","Full Time","no migration background","1520","0.482270223168592","0.465127894721525","0.49941255161566"
"Main Tenant","1986","Full Time","direct migration background","1330","0.786419003868181","0.765950031755461","0.8068879759809"
"Main Tenant","1986","Full Time","indirect migration background","43","0.767000551963823","0.656279714539326","0.877721389388319"
"Main Tenant","1986","Part Time","no migration background","663","0.507586775568566","0.480768709183068","0.534404841954064"
"Main Tenant","1986","Part Time","direct migration background","390","0.731985496045524","0.69137667535729","0.772594316733758"
"Main Tenant","1986","Part Time","indirect migration background","27","","",""
"Main Tenant","1986","Not Working","no migration background","1329","0.489273682272614","0.471454036600566","0.507093327944663"
"Main Tenant","1986","Not Working","direct migration background","713","0.681562956271557","0.65031771112946","0.712808201413655"
"Main Tenant","1986","Not Working","indirect migration background","47","0.725749405471622","0.616448128148696","0.835050682794547"
"Sub-Tenant","1986","Full Time","no migration background","54","0.015571919394821","0.0113243930015682","0.0198194457880737"
"Sub-Tenant","1986","Full Time","direct migration background","47","0.0279472199985786","0.019715284463604","0.0361791555335532"
"Sub-Tenant","1986","Full Time","indirect migration background","","","",""
"Sub-Tenant","1986","Part Time","no migration background","17","","",""
"Sub-Tenant","1986","Part Time","direct migration background","16","","",""
"Sub-Tenant","1986","Part Time","indirect migration background","","","",""
"Sub-Tenant","1986","Not Working","no migration background","41","0.0174043446094302","0.0127426343831135","0.0220660548357469"
"Sub-Tenant","1986","Not Working","direct migration background","23","","",""
"Sub-Tenant","1986","Not Working","indirect migration background","","","",""
"Owner","1986","Full Time","no migration background","1690","0.502157857436587","0.485004901348086","0.519310813525088"
"Owner","1986","Full Time","direct migration background","163","0.185633776133241","0.166214809899221","0.205052742367261"
"Owner","1986","Full Time","indirect migration background","13","","",""
"Owner","1986","Part Time","no migration background","655","0.478715837698028","0.451918995347632","0.505512680048423"
"Owner","1986","Part Time","direct migration background","51","0.232738732336253","0.193995490205594","0.271481974466913"
"Owner","1986","Part Time","indirect migration background","9","","",""
"Owner","1986","Not Working","no migration background","1653","0.493321973117955","0.475499815398998","0.511144130836913"
"Owner","1986","Not Working","direct migration background","118","0.291232872881592","0.260761562133264","0.321704183629921"
"Owner","1986","Not Working","indirect migration background","17","","",""
"Nursing Home/Retirement Community","1986","Full Time","no migration background","","","",""
"Nursing Home/Retirement Community","1986","Full Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1986","Full Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1986","Part Time","no migration background","","","",""
"Nursing Home/Retirement Community","1986","Part Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1986","Part Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1986","Not Working","no migration background","","","",""
"Nursing Home/Retirement Community","1986","Not Working","direct migration background","","","",""
"Nursing Home/Retirement Community","1986","Not Working","indirect migration background","","","",""
"Tenant","1986","Full Time","no migration background","","","",""
"Tenant","1986","Full Time","direct migration background","","","",""
"Tenant","1986","Full Time","indirect migration background","","","",""
"Tenant","1986","Part Time","no migration background","","","",""
"Tenant","1986","Part Time","direct migration background","","","",""
"Tenant","1986","Part Time","indirect migration background","","","",""
"Tenant","1986","Not Working","no migration background","","","",""
"Tenant","1986","Not Working","direct migration background","","","",""
"Tenant","1986","Not Working","indirect migration background","","","",""
"Main Tenant","1987","Full Time","no migration background","1495","0.46904422993373","0.451986616900037","0.486101842967423"
"Main Tenant","1987","Full Time","direct migration background","1335","0.777162969219759","0.756392053903431","0.797933884536088"
"Main Tenant","1987","Full Time","indirect migration background","50","0.674602350289283","0.56156882981161","0.787635870766956"
"Main Tenant","1987","Part Time","no migration background","634","0.496344730976185","0.469534332998416","0.523155128953953"
"Main Tenant","1987","Part Time","direct migration background","376","0.732612591655469","0.69144416485766","0.773781018453279"
"Main Tenant","1987","Part Time","indirect migration background","28","","",""
"Main Tenant","1987","Not Working","no migration background","1286","0.500470223141423","0.48216160401526","0.518778842267587"
"Main Tenant","1987","Not Working","direct migration background","701","0.666572356778796","0.634898003089716","0.698246710467875"
"Main Tenant","1987","Not Working","indirect migration background","56","0.690496520816134","0.586563198549665","0.794429843082603"
"Sub-Tenant","1987","Full Time","no migration background","62","0.020240646389325","0.0154272227714041","0.0250540700072459"
"Sub-Tenant","1987","Full Time","direct migration background","36","0.0281685082060528","0.0199103478450334","0.0364266685670722"
"Sub-Tenant","1987","Full Time","indirect migration background","2","","",""
"Sub-Tenant","1987","Part Time","no migration background","31","0.0244220607841145","0.0161451742541911","0.0326989473140379"
"Sub-Tenant","1987","Part Time","direct migration background","15","","",""
"Sub-Tenant","1987","Part Time","indirect migration background","","","",""
"Sub-Tenant","1987","Not Working","no migration background","45","0.0183890781096405","0.0134694140533504","0.0233087421659306"
"Sub-Tenant","1987","Not Working","direct migration background","16","","",""
"Sub-Tenant","1987","Not Working","indirect migration background","","","",""
"Owner","1987","Full Time","no migration background","1731","0.510715123676945","0.493628649996093","0.527801597357797"
"Owner","1987","Full Time","direct migration background","171","0.194668522574188","0.17490605784792","0.214430987300455"
"Owner","1987","Full Time","indirect migration background","14","","",""
"Owner","1987","Part Time","no migration background","671","0.479233208239701","0.452445228890861","0.50602118758854"
"Owner","1987","Part Time","direct migration background","53","0.228870258901756","0.189793816921369","0.267946700882143"
"Owner","1987","Part Time","indirect migration background","7","","",""
"Owner","1987","Not Working","no migration background","1534","0.481140698748936","0.462845099939507","0.499436297558365"
"Owner","1987","Not Working","direct migration background","134","0.312049032647781","0.280919437388198","0.343178627907364"
"Owner","1987","Not Working","indirect migration background","20","","",""
"Nursing Home/Retirement Community","1987","Full Time","no migration background","","","",""
"Nursing Home/Retirement Community","1987","Full Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1987","Full Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1987","Part Time","no migration background","","","",""
"Nursing Home/Retirement Community","1987","Part Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1987","Part Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1987","Not Working","no migration background","","","",""
"Nursing Home/Retirement Community","1987","Not Working","direct migration background","","","",""
"Nursing Home/Retirement Community","1987","Not Working","indirect migration background","","","",""
"Tenant","1987","Full Time","no migration background","","","",""
"Tenant","1987","Full Time","direct migration background","","","",""
"Tenant","1987","Full Time","indirect migration background","","","",""
"Tenant","1987","Part Time","no migration background","","","",""
"Tenant","1987","Part Time","direct migration background","","","",""
"Tenant","1987","Part Time","indirect migration background","","","",""
"Tenant","1987","Not Working","no migration background","","","",""
"Tenant","1987","Not Working","direct migration background","","","",""
"Tenant","1987","Not Working","indirect migration background","","","",""
"Main Tenant","1988","Full Time","no migration background","1418","0.463650888872442","0.446147208810037","0.481154568934848"
"Main Tenant","1988","Full Time","direct migration background","1216","0.772716040949332","0.750818497379336","0.794613584519328"
"Main Tenant","1988","Full Time","indirect migration background","59","0.664256790782717","0.556658876893736","0.771854704671697"
"Main Tenant","1988","Part Time","no migration background","627","0.488038684755475","0.461124213710707","0.514953155800243"
"Main Tenant","1988","Part Time","direct migration background","403","0.705693791166217","0.664536621816005","0.74685096051643"
"Main Tenant","1988","Part Time","indirect migration background","43","0.885927323682629","0.798679848774118","0.973174798591141"
"Main Tenant","1988","Not Working","no migration background","1204","0.504443257343116","0.485442971779025","0.523443542907206"
"Main Tenant","1988","Not Working","direct migration background","674","0.662645509292302","0.630125253435804","0.695165765148801"
"Main Tenant","1988","Not Working","indirect migration background","76","0.712379269035685","0.623213897643484","0.801544640427886"
"Sub-Tenant","1988","Full Time","no migration background","76","0.0276452947710005","0.0218904580232542","0.0334001315187467"
"Sub-Tenant","1988","Full Time","direct migration background","26","","",""
"Sub-Tenant","1988","Full Time","indirect migration background","","","",""
"Sub-Tenant","1988","Part Time","no migration background","24","","",""
"Sub-Tenant","1988","Part Time","direct migration background","8","","",""
"Sub-Tenant","1988","Part Time","indirect migration background","1","","",""
"Sub-Tenant","1988","Not Working","no migration background","48","0.0211838558782429","0.0157116762982508","0.0266560354582349"
"Sub-Tenant","1988","Not Working","direct migration background","12","","",""
"Sub-Tenant","1988","Not Working","indirect migration background","","","",""
"Owner","1988","Full Time","no migration background","1624","0.508703816356557","0.491156357662785","0.52625127505033"
"Owner","1988","Full Time","direct migration background","165","0.205034391101085","0.18393895202076","0.22612983018141"
"Owner","1988","Full Time","indirect migration background","15","","",""
"Owner","1988","Part Time","no migration background","674","0.493580751784314","0.466660794802806","0.520500708765823"
"Owner","1988","Part Time","direct migration background","60","0.247903831014431","0.208908200675611","0.28689946135325"
"Owner","1988","Part Time","indirect migration background","7","","",""
"Owner","1988","Not Working","no migration background","1408","0.474372886778641","0.455396825175051","0.493348948382232"
"Owner","1988","Not Working","direct migration background","126","0.311789955383137","0.27992879125371","0.343651119512564"
"Owner","1988","Not Working","indirect migration background","23","","",""
"Nursing Home/Retirement Community","1988","Full Time","no migration background","","","",""
"Nursing Home/Retirement Community","1988","Full Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1988","Full Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1988","Part Time","no migration background","","","",""
"Nursing Home/Retirement Community","1988","Part Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1988","Part Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1988","Not Working","no migration background","","","",""
"Nursing Home/Retirement Community","1988","Not Working","direct migration background","","","",""
"Nursing Home/Retirement Community","1988","Not Working","indirect migration background","","","",""
"Tenant","1988","Full Time","no migration background","","","",""
"Tenant","1988","Full Time","direct migration background","","","",""
"Tenant","1988","Full Time","indirect migration background","","","",""
"Tenant","1988","Part Time","no migration background","","","",""
"Tenant","1988","Part Time","direct migration background","","","",""
"Tenant","1988","Part Time","indirect migration background","","","",""
"Tenant","1988","Not Working","no migration background","","","",""
"Tenant","1988","Not Working","direct migration background","","","",""
"Tenant","1988","Not Working","indirect migration background","","","",""
"Main Tenant","1989","Full Time","no migration background","1434","0.472220380017963","0.454592466423715","0.489848293612211"
"Main Tenant","1989","Full Time","direct migration background","1191","0.777983375115858","0.756040103008517","0.799926647223199"
"Main Tenant","1989","Full Time","indirect migration background","79","0.759011091613976","0.67390026425225","0.844121918975703"
"Main Tenant","1989","Part Time","no migration background","557","0.463291046266313","0.43552533446136","0.491056758071266"
"Main Tenant","1989","Part Time","direct migration background","340","0.648722765337507","0.603068851189993","0.694376679485021"
"Main Tenant","1989","Part Time","indirect migration background","45","0.756942212708058","0.642539230984285","0.871345194431831"
"Main Tenant","1989","Not Working","no migration background","1102","0.48406243631767","0.464542900149312","0.503581972486028"
"Main Tenant","1989","Not Working","direct migration background","668","0.679722406731812","0.647550894017835","0.71189391944579"
"Main Tenant","1989","Not Working","indirect migration background","85","0.789051440292188","0.712460785443063","0.865642095141314"
"Sub-Tenant","1989","Full Time","no migration background","58","0.0228275038998474","0.0175537838496942","0.0281012239500006"
"Sub-Tenant","1989","Full Time","direct migration background","28","","",""
"Sub-Tenant","1989","Full Time","indirect migration background","","","",""
"Sub-Tenant","1989","Part Time","no migration background","31","0.0263268013147922","0.0174118681080034","0.035241734521581"
"Sub-Tenant","1989","Part Time","direct migration background","8","","",""
"Sub-Tenant","1989","Part Time","indirect migration background","","","",""
"Sub-Tenant","1989","Not Working","no migration background","42","0.02042715447535","0.0149020240604687","0.0259522848902313"
"Sub-Tenant","1989","Not Working","direct migration background","12","","",""
"Sub-Tenant","1989","Not Working","indirect migration background","1","","",""
"Owner","1989","Full Time","no migration background","1583","0.502935409166033","0.485280529501547","0.520590288830519"
"Owner","1989","Full Time","direct migration background","159","0.199380512274873","0.178285590731833","0.220475433817912"
"Owner","1989","Full Time","indirect migration background","18","","",""
"Owner","1989","Part Time","no migration background","649","0.509441916385585","0.481606033934104","0.537277798837067"
"Owner","1989","Part Time","direct migration background","72","0.308410802288991","0.264242334176278","0.352579270401704"
"Owner","1989","Part Time","indirect migration background","9","","",""
"Owner","1989","Not Working","no migration background","1369","0.493266354189365","0.4737386653915","0.51279404298723"
"Owner","1989","Not Working","direct migration background","127","0.296373120199379","0.264885993782221","0.327860246616537"
"Owner","1989","Not Working","indirect migration background","23","","",""
"Nursing Home/Retirement Community","1989","Full Time","no migration background","","","",""
"Nursing Home/Retirement Community","1989","Full Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1989","Full Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1989","Part Time","no migration background","","","",""
"Nursing Home/Retirement Community","1989","Part Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1989","Part Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1989","Not Working","no migration background","","","",""
"Nursing Home/Retirement Community","1989","Not Working","direct migration background","","","",""
"Nursing Home/Retirement Community","1989","Not Working","indirect migration background","","","",""
"Tenant","1989","Full Time","no migration background","6","","",""
"Tenant","1989","Full Time","direct migration background","","","",""
"Tenant","1989","Full Time","indirect migration background","","","",""
"Tenant","1989","Part Time","no migration background","2","","",""
"Tenant","1989","Part Time","direct migration background","","","",""
"Tenant","1989","Part Time","indirect migration background","","","",""
"Tenant","1989","Not Working","no migration background","5","","",""
"Tenant","1989","Not Working","direct migration background","1","","",""
"Tenant","1989","Not Working","indirect migration background","","","",""
"Main Tenant","1990","Full Time","no migration background","1376","0.473658547108415","0.455794429467922","0.491522664748908"
"Main Tenant","1990","Full Time","direct migration background","1120","0.749945730642704","0.726759628360462","0.773131832924946"
"Main Tenant","1990","Full Time","indirect migration background","79","0.685097752657307","0.592664895967904","0.777530609346709"
"Main Tenant","1990","Part Time","no migration background","574","0.480137190180216","0.452374282493578","0.507900097866855"
"Main Tenant","1990","Part Time","direct migration background","325","0.669719635619457","0.624139634586951","0.715299636651964"
"Main Tenant","1990","Part Time","indirect migration background","66","0.868987633455049","0.795049915643491","0.942925351266607"
"Main Tenant","1990","Not Working","no migration background","1048","0.483147669619399","0.46325445503917","0.503040884199629"
"Main Tenant","1990","Not Working","direct migration background","649","0.686234123098707","0.654119715357378","0.718348530840036"
"Main Tenant","1990","Not Working","indirect migration background","96","0.79564034321909","0.723191644278163","0.868089042160017"
"Sub-Tenant","1990","Full Time","no migration background","78","0.0268663127833218","0.0210812859190237","0.0326513396476199"
"Sub-Tenant","1990","Full Time","direct migration background","29","","",""
"Sub-Tenant","1990","Full Time","indirect migration background","2","","",""
"Sub-Tenant","1990","Part Time","no migration background","29","","",""
"Sub-Tenant","1990","Part Time","direct migration background","10","","",""
"Sub-Tenant","1990","Part Time","indirect migration background","","","",""
"Sub-Tenant","1990","Not Working","no migration background","38","0.0211144510844609","0.0153912679947707","0.0268376341741511"
"Sub-Tenant","1990","Not Working","direct migration background","20","","",""
"Sub-Tenant","1990","Not Working","indirect migration background","1","","",""
"Owner","1990","Full Time","no migration background","1547","0.499475140108264","0.48158618977207","0.517364090444457"
"Owner","1990","Full Time","direct migration background","190","0.215669062936049","0.193647948676164","0.237690177195933"
"Owner","1990","Full Time","indirect migration background","16","","",""
"Owner","1990","Part Time","no migration background","641","0.489971483250463","0.462192232202504","0.517750734298422"
"Owner","1990","Part Time","direct migration background","73","0.291630891374573","0.247582200419753","0.335679582329394"
"Owner","1990","Part Time","indirect migration background","14","","",""
"Owner","1990","Not Working","no migration background","1335","0.493640919669625","0.473738005925407","0.513543833413843"
"Owner","1990","Not Working","direct migration background","133","0.283773680572369","0.252572422799252","0.314974938345486"
"Owner","1990","Not Working","indirect migration background","22","","",""
"Nursing Home/Retirement Community","1990","Full Time","no migration background","","","",""
"Nursing Home/Retirement Community","1990","Full Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1990","Full Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1990","Part Time","no migration background","","","",""
"Nursing Home/Retirement Community","1990","Part Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1990","Part Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1990","Not Working","no migration background","","","",""
"Nursing Home/Retirement Community","1990","Not Working","direct migration background","","","",""
"Nursing Home/Retirement Community","1990","Not Working","indirect migration background","","","",""
"Tenant","1990","Full Time","no migration background","","","",""
"Tenant","1990","Full Time","direct migration background","1","","",""
"Tenant","1990","Full Time","indirect migration background","","","",""
"Tenant","1990","Part Time","no migration background","","","",""
"Tenant","1990","Part Time","direct migration background","1","","",""
"Tenant","1990","Part Time","indirect migration background","","","",""
"Tenant","1990","Not Working","no migration background","3","","",""
"Tenant","1990","Not Working","direct migration background","","","",""
"Tenant","1990","Not Working","indirect migration background","","","",""
"Main Tenant","1991","Full Time","no migration background","1445","0.496254357038963","0.478275810321309","0.514232903756617"
"Main Tenant","1991","Full Time","direct migration background","1085","0.737528704755924","0.713829461998411","0.761227947513436"
"Main Tenant","1991","Full Time","indirect migration background","110","0.759192807839761","0.686251777299533","0.832133838379988"
"Main Tenant","1991","Part Time","no migration background","556","0.454489232526455","0.427017763958994","0.481960701093916"
"Main Tenant","1991","Part Time","direct migration background","335","0.702115117805859","0.658062034117358","0.74616820149436"
"Main Tenant","1991","Part Time","indirect migration background","68","0.785363075023759","0.697035460221038","0.873690689826479"
"Main Tenant","1991","Not Working","no migration background","1007","0.471178888174128","0.451095058670348","0.491262717677907"
"Main Tenant","1991","Not Working","direct migration background","598","0.661857613478628","0.62817966878195","0.695535558175307"
"Main Tenant","1991","Not Working","indirect migration background","106","0.744194332951379","0.670319935461597","0.818068730441162"
"Sub-Tenant","1991","Full Time","no migration background","65","0.0276063859562359","0.021714930589282","0.0334978413231899"
"Sub-Tenant","1991","Full Time","direct migration background","33","0.0341442090129898","0.0243624091998767","0.0439260088261028"
"Sub-Tenant","1991","Full Time","indirect migration background","1","","",""
"Sub-Tenant","1991","Part Time","no migration background","32","0.0242737080399759","0.0157828715156827","0.0327645445642691"
"Sub-Tenant","1991","Part Time","direct migration background","7","","",""
"Sub-Tenant","1991","Part Time","indirect migration background","1","","",""
"Sub-Tenant","1991","Not Working","no migration background","40","0.0223531075660625","0.0164052687886198","0.0283009463435052"
"Sub-Tenant","1991","Not Working","direct migration background","20","","",""
"Sub-Tenant","1991","Not Working","indirect migration background","2","","",""
"Owner","1991","Full Time","no migration background","1461","0.476139257004801","0.458180689670706","0.494097824338897"
"Owner","1991","Full Time","direct migration background","205","0.22801843370326","0.205419260918495","0.250617606488025"
"Owner","1991","Full Time","indirect migration background","21","","",""
"Owner","1991","Part Time","no migration background","674","0.521237059433569","0.49367597386379","0.548798145003348"
"Owner","1991","Part Time","direct migration background","71","0.271231285528777","0.228404776776715","0.314057794280838"
"Owner","1991","Part Time","indirect migration background","14","","",""
"Owner","1991","Not Working","no migration background","1324","0.50410136200448","0.483984760401136","0.524217963607824"
"Owner","1991","Not Working","direct migration background","140","0.314918419554604","0.28185226698391","0.347984572125299"
"Owner","1991","Not Working","indirect migration background","26","","",""
"Nursing Home/Retirement Community","1991","Full Time","no migration background","","","",""
"Nursing Home/Retirement Community","1991","Full Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1991","Full Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1991","Part Time","no migration background","","","",""
"Nursing Home/Retirement Community","1991","Part Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1991","Part Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1991","Not Working","no migration background","","","",""
"Nursing Home/Retirement Community","1991","Not Working","direct migration background","","","",""
"Nursing Home/Retirement Community","1991","Not Working","indirect migration background","","","",""
"Tenant","1991","Full Time","no migration background","","","",""
"Tenant","1991","Full Time","direct migration background","1","","",""
"Tenant","1991","Full Time","indirect migration background","","","",""
"Tenant","1991","Part Time","no migration background","","","",""
"Tenant","1991","Part Time","direct migration background","1","","",""
"Tenant","1991","Part Time","indirect migration background","","","",""
"Tenant","1991","Not Working","no migration background","2","","",""
"Tenant","1991","Not Working","direct migration background","","","",""
"Tenant","1991","Not Working","indirect migration background","","","",""
"Main Tenant","1992","Full Time","no migration background","2864","0.539130311905236","0.525437820086762","0.552822803723709"
"Main Tenant","1992","Full Time","direct migration background","1055","0.696965072631823","0.672422722692677","0.721507422570968"
"Main Tenant","1992","Full Time","indirect migration background","137","0.739142329061505","0.672545170692557","0.805739487430453"
"Main Tenant","1992","Part Time","no migration background","1037","0.487485904312505","0.465617940667806","0.509353867957203"
"Main Tenant","1992","Part Time","direct migration background","329","0.713525724731521","0.670131923442777","0.756919526020264"
"Main Tenant","1992","Part Time","indirect migration background","73","0.831183172527406","0.752014182656696","0.910352162398117"
"Main Tenant","1992","Not Working","no migration background","1617","0.507413749400471","0.490379540628184","0.524447958172759"
"Main Tenant","1992","Not Working","direct migration background","623","0.686087909413489","0.65406909637217","0.718106722454808"
"Main Tenant","1992","Not Working","indirect migration background","119","0.702547965986017","0.631268241982781","0.773827689989252"
"Sub-Tenant","1992","Full Time","no migration background","134","0.0280941376413526","0.023555071655425","0.0326332036272802"
"Sub-Tenant","1992","Full Time","direct migration background","43","0.0438170853376558","0.0328861701277435","0.054748000547568"
"Sub-Tenant","1992","Full Time","indirect migration background","2","","",""
"Sub-Tenant","1992","Part Time","no migration background","66","0.0382320333700118","0.0298427810422891","0.0466212856977344"
