"hlf0001_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Owner","1994","no migration background","4549","0.463044186382757","0.453305681520832","0.472782691244681"
"Owner","1994","direct migration background","472","0.282022194418414","0.263913468227878","0.300130920608951"
"Owner","1994","indirect migration background","93","0.25645226715999","0.21802274795131","0.29488178636867"
"Nursing Home/Retirement Community","1994","no migration background","","","",""
"Nursing Home/Retirement Community","1994","direct migration background","","","",""
"Nursing Home/Retirement Community","1994","indirect migration background","","","",""
"Tenant","1994","no migration background","","","",""
"Tenant","1994","direct migration background","","","",""
"Tenant","1994","indirect migration background","","","",""
"Main Tenant","1995","no migration background","5209","0.493774230715312","0.483996170785849","0.503552290644775"
"Main Tenant","1995","direct migration background","2196","0.689684754228857","0.672591965925003","0.706777542532711"
"Main Tenant","1995","indirect migration background","395","0.622356443473186","0.58040469722362","0.664308189722751"
"Sub-Tenant","1995","no migration background","272","0.030609659675815","0.0272407066611979","0.0339786126904321"
"Sub-Tenant","1995","direct migration background","95","0.0463159000882404","0.0385506871464324","0.0540811130300484"
"Sub-Tenant","1995","indirect migration background","15","","",""
"Owner","1995","no migration background","4562","0.475616109608873","0.465848926978346","0.4853832922394"
"Owner","1995","direct migration background","523","0.263999345682902","0.247712890447586","0.280285800918218"
"Owner","1995","indirect migration background","103","0.312932191866449","0.272807257983966","0.353057125748931"
"Nursing Home/Retirement Community","1995","no migration background","","","",""
"Nursing Home/Retirement Community","1995","direct migration background","","","",""
"Nursing Home/Retirement Community","1995","indirect migration background","","","",""
"Tenant","1995","no migration background","","","",""
"Tenant","1995","direct migration background","","","",""
"Tenant","1995","indirect migration background","","","",""
"Main Tenant","1996","no migration background","5087","0.491811229057651","0.481990602170898","0.501631855944403"
"Main Tenant","1996","direct migration background","2014","0.699743452372772","0.682195346514345","0.7172915582312"
"Main Tenant","1996","indirect migration background","415","0.665242688136424","0.625768154340872","0.704717221931976"
"Sub-Tenant","1996","no migration background","258","0.028647263940726","0.0253704067293906","0.0319241211520614"
"Sub-Tenant","1996","direct migration background","105","0.0430906090424221","0.0353166668811879","0.0508645512036563"
"Sub-Tenant","1996","indirect migration background","25","","",""
"Owner","1996","no migration background","4610","0.479541507001623","0.469727788178966","0.48935522582428"
"Owner","1996","direct migration background","502","0.257165938584806","0.240433192981757","0.273898684187854"
"Owner","1996","indirect migration background","109","0.277926421090947","0.240453498721146","0.315399343460748"
"Nursing Home/Retirement Community","1996","no migration background","","","",""
"Nursing Home/Retirement Community","1996","direct migration background","","","",""
"Nursing Home/Retirement Community","1996","indirect migration background","","","",""
"Tenant","1996","no migration background","","","",""
"Tenant","1996","direct migration background","","","",""
"Tenant","1996","indirect migration background","","","",""
"Main Tenant","1997","no migration background","4927","0.484012498248002","0.474142389213955","0.493882607282049"
"Main Tenant","1997","direct migration background","1887","0.703561752220278","0.685631256287619","0.721492248152938"
"Main Tenant","1997","indirect migration background","427","0.657289293865081","0.618496033273348","0.696082554456814"
"Sub-Tenant","1997","no migration background","246","0.0284334907327194","0.0251508343148556","0.0317161471505832"
"Sub-Tenant","1997","direct migration background","83","0.0371015922028023","0.029680623839571","0.0445225605660336"
"Sub-Tenant","1997","indirect migration background","16","","",""
"Owner","1997","no migration background","4675","0.487554011019278","0.477681912359364","0.497426109679192"
"Owner","1997","direct migration background","522","0.259336655576919","0.24212920816838","0.276544102985459"
"Owner","1997","indirect migration background","132","0.30745652280631","0.269740182479767","0.345172863132852"
"Nursing Home/Retirement Community","1997","no migration background","","","",""
"Nursing Home/Retirement Community","1997","direct migration background","","","",""
"Nursing Home/Retirement Community","1997","indirect migration background","","","",""
"Tenant","1997","no migration background","","","",""
"Tenant","1997","direct migration background","","","",""
"Tenant","1997","indirect migration background","","","",""
"Main Tenant","1998","no migration background","5481","0.471712522078438","0.462509206788787","0.480915837368089"
"Main Tenant","1998","direct migration background","1760","0.681908791130471","0.663356836467911","0.700460745793032"
"Main Tenant","1998","indirect migration background","427","0.620454732238481","0.581754242325672","0.65915522215129"
"Sub-Tenant","1998","no migration background","293","0.0301089229730812","0.0269584226261043","0.0332594233200582"
"Sub-Tenant","1998","direct migration background","99","0.0433069186568631","0.0351988829049953","0.051414954408731"
"Sub-Tenant","1998","indirect migration background","26","","",""
"Owner","1998","no migration background","5514","0.49588565405719","0.486667886762325","0.505103421352054"
"Owner","1998","direct migration background","558","0.269431176100187","0.251758383232323","0.287103968968051"
"Owner","1998","indirect migration background","150","0.326384409849702","0.288990541935398","0.363778277764005"
"Nursing Home/Retirement Community","1998","no migration background","","","",""
"Nursing Home/Retirement Community","1998","direct migration background","","","",""
"Nursing Home/Retirement Community","1998","indirect migration background","","","",""
"Tenant","1998","no migration background","14","","",""
"Tenant","1998","direct migration background","4","","",""
"Tenant","1998","indirect migration background","1","","",""
"Main Tenant","1999","no migration background","5299","0.476754878398522","0.46739266397094","0.486117092826104"
"Main Tenant","1999","direct migration background","1580","0.664524951943997","0.644897491177667","0.684152412710326"
"Main Tenant","1999","indirect migration background","434","0.609594662884079","0.570944544273656","0.648244781494503"
"Sub-Tenant","1999","no migration background","227","0.0237801526655884","0.0209241437906833","0.0266361615404935"
"Sub-Tenant","1999","direct migration background","79","0.0363217250428167","0.0285444469719819","0.0440990031136515"
"Sub-Tenant","1999","indirect migration background","23","","",""
"Owner","1999","no migration background","5386","0.496086382876167","0.486714321647173","0.50545844410516"
"Owner","1999","direct migration background","560","0.293609035339912","0.274677508759569","0.312540561920254"
"Owner","1999","indirect migration background","154","0.337787473881469","0.300316684181184","0.375258263581754"
"Nursing Home/Retirement Community","1999","no migration background","21","","",""
"Nursing Home/Retirement Community","1999","direct migration background","4","","",""
"Nursing Home/Retirement Community","1999","indirect migration background","1","","",""
"Tenant","1999","no migration background","","","",""
"Tenant","1999","direct migration background","","","",""
"Tenant","1999","indirect migration background","","","",""
"Main Tenant","2000","no migration background","8918","0.475348481828604","0.468443081887487","0.482253881769721"
"Main Tenant","2000","direct migration background","2362","0.706720676484824","0.691290191425432","0.722151161544216"
"Main Tenant","2000","indirect migration background","555","0.628905904915843","0.596059908795169","0.661751901036517"
"Sub-Tenant","2000","no migration background","263","0.0155133700178543","0.0138045146732701","0.0172222253624385"
"Sub-Tenant","2000","direct migration background","65","0.0228859601153337","0.0178175452990904","0.027954374931577"
"Sub-Tenant","2000","indirect migration background","22","","",""
"Owner","2000","no migration background","10881","0.506598173667062","0.499684967631462","0.513511379702661"
"Owner","2000","direct migration background","914","0.268040361513746","0.25302766790937","0.283053055118122"
"Owner","2000","indirect migration background","253","0.330156677138166","0.298182878329197","0.362130475947135"
"Nursing Home/Retirement Community","2000","no migration background","29","","",""
"Nursing Home/Retirement Community","2000","direct migration background","3","","",""
"Nursing Home/Retirement Community","2000","indirect migration background","1","","",""
"Tenant","2000","no migration background","","","",""
"Tenant","2000","direct migration background","","","",""
"Tenant","2000","indirect migration background","","","",""
"Main Tenant","2001","no migration background","8085","0.471852861263535","0.464628202359153","0.479077520167917"
"Main Tenant","2001","direct migration background","2066","0.705997114293997","0.689542689653571","0.722451538934422"
"Main Tenant","2001","indirect migration background","525","0.63181479722712","0.597901841471326","0.665727752982914"
"Sub-Tenant","2001","no migration background","264","0.0164935615687484","0.0146503193371019","0.0183368038003949"
"Sub-Tenant","2001","direct migration background","48","0.0259245798592637","0.0201852974264514","0.031663862292076"
"Sub-Tenant","2001","indirect migration background","17","","",""
"Owner","2001","no migration background","9959","0.508435631958876","0.501200528055062","0.515670735862689"
"Owner","2001","direct migration background","827","0.265279538137673","0.249334763499116","0.281224312776231"
"Owner","2001","indirect migration background","234","0.333886918871224","0.300727167540704","0.367046670201744"
"Nursing Home/Retirement Community","2001","no migration background","33","0.00321794520884091","0.00239829979437586","0.00403759062330597"
"Nursing Home/Retirement Community","2001","direct migration background","4","","",""
"Nursing Home/Retirement Community","2001","indirect migration background","1","","",""
"Tenant","2001","no migration background","","","",""
"Tenant","2001","direct migration background","","","",""
"Tenant","2001","indirect migration background","","","",""
"Main Tenant","2002","no migration background","8090","0.468397455851056","0.461403189287622","0.475391722414491"
"Main Tenant","2002","direct migration background","1902","0.70344673143188","0.686589334911105","0.720304127952655"
"Main Tenant","2002","indirect migration background","493","0.610643506633543","0.576511828439711","0.644775184827375"
"Sub-Tenant","2002","no migration background","282","0.016620312142608","0.0148283798516999","0.0184122444335161"
"Sub-Tenant","2002","direct migration background","48","0.022116988151303","0.0166891113688914","0.0275448649337147"
"Sub-Tenant","2002","indirect migration background","20","","",""
"Owner","2002","no migration background","11150","0.511995610531158","0.504989348529014","0.519001872533303"
"Owner","2002","direct migration background","868","0.2726153771239","0.256179958545578","0.289050795702222"
"Owner","2002","indirect migration background","270","0.348224784224047","0.314876858947453","0.381572709500642"
"Nursing Home/Retirement Community","2002","no migration background","31","0.00298662147517728","0.00222176142851763","0.00375148152183694"
"Nursing Home/Retirement Community","2002","direct migration background","2","","",""
"Nursing Home/Retirement Community","2002","indirect migration background","1","","",""
"Tenant","2002","no migration background","","","",""
"Tenant","2002","direct migration background","","","",""
"Tenant","2002","indirect migration background","","","",""
"Main Tenant","2003","no migration background","7750","0.468051720060548","0.460930804302219","0.475172635818876"
"Main Tenant","2003","direct migration background","1725","0.674008683828821","0.656145000370217","0.691872367287425"
"Main Tenant","2003","indirect migration background","480","0.615042274807333","0.581111517800958","0.648973031813709"
"Sub-Tenant","2003","no migration background","311","0.0198610268936131","0.0178699001771443","0.021852153610082"
"Sub-Tenant","2003","direct migration background","65","0.0387170238642221","0.0313649161440373","0.0460691315844069"
"Sub-Tenant","2003","indirect migration background","24","","",""
"Owner","2003","no migration background","10769","0.509012397656275","0.501878059933605","0.516146735378946"
"Owner","2003","direct migration background","854","0.286576927918573","0.26934517576979","0.303808680067357"
"Owner","2003","indirect migration background","285","0.343863790064312","0.310741163287211","0.376986416841414"
"Nursing Home/Retirement Community","2003","no migration background","32","0.00307485538956399","0.00228472667761374","0.00386498410151424"
"Nursing Home/Retirement Community","2003","direct migration background","1","","",""
"Nursing Home/Retirement Community","2003","indirect migration background","1","","",""
"Tenant","2003","no migration background","","","",""
"Tenant","2003","direct migration background","","","",""
"Tenant","2003","indirect migration background","","","",""
"Main Tenant","2004","no migration background","7540","0.47276918056567","0.465549491629449","0.479988869501891"
"Main Tenant","2004","direct migration background","1653","0.684464049751065","0.666433560932417","0.702494538569713"
"Main Tenant","2004","indirect migration background","490","0.605692131136304","0.572057911822851","0.639326350449758"
"Sub-Tenant","2004","no migration background","300","0.0201190494863866","0.0180886387570966","0.0221494602156767"
"Sub-Tenant","2004","direct migration background","41","0.0259689189314926","0.019798408384585","0.0321394294784001"
"Sub-Tenant","2004","indirect migration background","22","","",""
"Owner","2004","no migration background","10492","0.503147779047944","0.495917502469363","0.510378055626526"
"Owner","2004","direct migration background","857","0.28948711884598","0.271891345631865","0.307082892060094"
"Owner","2004","indirect migration background","298","0.351697257147301","0.318833963753688","0.384560550540914"
"Nursing Home/Retirement Community","2004","no migration background","38","0.00396399089999921","0.00305533938081314","0.00487264241918528"
"Nursing Home/Retirement Community","2004","direct migration background","1","","",""
"Nursing Home/Retirement Community","2004","indirect migration background","1","","",""
"Tenant","2004","no migration background","","","",""
"Tenant","2004","direct migration background","","","",""
"Tenant","2004","indirect migration background","","","",""
"Main Tenant","2005","no migration background","7223","0.478646434098668","0.471264603562949","0.486028264634386"
"Main Tenant","2005","direct migration background","1522","0.690524771490342","0.671968208377432","0.709081334603251"
"Main Tenant","2005","indirect migration background","507","0.638270922601986","0.60567981699083","0.670862028213141"
"Sub-Tenant","2005","no migration background","319","0.0226594629288513","0.0204603970244369","0.0248585288332657"
"Sub-Tenant","2005","direct migration background","42","0.0294927128779747","0.0227014314592764","0.036283994296673"
