"hlf0001_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Sub-Tenant","1995","35-65 y.","East Germany","46","0.0212711541446366","0.015043414014479","0.0274988942747942","2"
"Sub-Tenant","1995","66 and older","West Germany","25","","","","2"
"Sub-Tenant","1995","66 and older","East Germany","11","","","","2"
"Tenant","1995","16-34 y.","West Germany","","","","","5"
"Tenant","1995","16-34 y.","East Germany","","","","","5"
"Tenant","1995","35-65 y.","West Germany","","","","","5"
"Tenant","1995","35-65 y.","East Germany","","","","","5"
"Tenant","1995","66 and older","West Germany","","","","","5"
"Tenant","1995","66 and older","East Germany","","","","","5"
"Main Tenant","1996","16-34 y.","West Germany","2362","0.602840541244658","0.586832247585448","0.618848834903868","1"
"Main Tenant","1996","16-34 y.","East Germany","753","0.669886062621864","0.643190297986876","0.696581827256852","1"
"Main Tenant","1996","35-65 y.","West Germany","2385","0.446738167367914","0.432503778256868","0.46097255647896","1"
"Main Tenant","1996","35-65 y.","East Germany","1200","0.605972634430986","0.584968221632602","0.62697704722937","1"
"Main Tenant","1996","66 and older","East Germany","293","0.716354779487268","0.673499390403815","0.759210168570721","1"
"Main Tenant","1996","66 and older","West Germany","523","0.465042318372968","0.436264945890095","0.493819690855842","1"
"Nursing Home/Retirement Community","1996","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1996","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1996","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1996","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1996","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1996","66 and older","East Germany","","","","","4"
"Owner","1996","16-34 y.","West Germany","1081","0.356739320752414","0.341067106692006","0.372411534812822","3"
"Owner","1996","16-34 y.","East Germany","381","0.269375619752328","0.244190954267429","0.294560285237228","3"
"Owner","1996","35-65 y.","West Germany","2186","0.528659378074316","0.514367070475594","0.542951685673037","3"
"Owner","1996","35-65 y.","East Germany","847","0.378046009306425","0.3572024297284","0.39888958888445","3"
"Owner","1996","66 and older","East Germany","119","0.248861369014969","0.20775658050093","0.289966157529007","3"
"Owner","1996","66 and older","West Germany","607","0.501838844097206","0.472991073624678","0.530686614569733","3"
"Sub-Tenant","1996","16-34 y.","West Germany","146","0.0404201380029279","0.0339769497507763","0.0468633262550794","2"
"Sub-Tenant","1996","16-34 y.","East Germany","58","0.0607383176258076","0.0471790995633155","0.0742975356882996","2"
"Sub-Tenant","1996","35-65 y.","West Germany","115","0.0246024545577702","0.0201671137401407","0.0290377953753997","2"
"Sub-Tenant","1996","35-65 y.","East Germany","32","0.0159813562625889","0.0105908528373961","0.0213718596877818","2"
"Sub-Tenant","1996","66 and older","East Germany","13","","","","2"
"Sub-Tenant","1996","66 and older","West Germany","24","","","","2"
"Tenant","1996","16-34 y.","West Germany","","","","","5"
"Tenant","1996","16-34 y.","East Germany","","","","","5"
"Tenant","1996","35-65 y.","West Germany","","","","","5"
"Tenant","1996","35-65 y.","East Germany","","","","","5"
"Tenant","1996","66 and older","West Germany","","","","","5"
"Tenant","1996","66 and older","East Germany","","","","","5"
"Main Tenant","1997","16-34 y.","West Germany","2263","0.607713057360864","0.591465160583049","0.623960954138678","1"
"Main Tenant","1997","16-34 y.","East Germany","706","0.642196809530372","0.614694520670613","0.669699098390131","1"
"Main Tenant","1997","35-65 y.","West Germany","2297","0.439396198933395","0.425089405352498","0.453702992514292","1"
"Main Tenant","1997","66 and older","West Germany","540","0.469932451427498","0.441358677000833","0.498506225854162","1"
"Main Tenant","1997","35-65 y.","East Germany","1126","0.580113796588397","0.558712686194675","0.601514906982119","1"
"Main Tenant","1997","66 and older","East Germany","309","0.719285755314854","0.677347365538565","0.761224145091143","1"
"Nursing Home/Retirement Community","1997","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1997","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1997","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1997","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1997","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1997","66 and older","East Germany","","","","","4"
"Owner","1997","16-34 y.","West Germany","1095","0.358570337712612","0.342611265457641","0.374529409967583","3"
"Owner","1997","16-34 y.","East Germany","391","0.283704262990078","0.257840496116158","0.309568029863997","3"
"Owner","1997","35-65 y.","West Germany","2238","0.538427085962808","0.524056656351814","0.552797515573801","3"
"Owner","1997","35-65 y.","East Germany","873","0.396677290248496","0.375464030336873","0.41789055016012","3"
"Owner","1997","66 and older","West Germany","610","0.497066910813397","0.468441823707451","0.525691997919342","3"
"Owner","1997","66 and older","East Germany","122","0.252789080372274","0.212226128122562","0.293352032621986","3"
"Sub-Tenant","1997","16-34 y.","West Germany","111","0.0337166049265243","0.0277101237839713","0.0397230860690773","2"
"Sub-Tenant","1997","16-34 y.","East Germany","70","0.0740989274795508","0.0590709367817836","0.0891269181773181","2"
"Sub-Tenant","1997","35-65 y.","West Germany","88","0.0221767151037975","0.0179318397674016","0.0264215904401934","2"
"Sub-Tenant","1997","35-65 y.","East Germany","44","0.0232089131631064","0.0166799810405158","0.029737845285697","2"
"Sub-Tenant","1997","66 and older","West Germany","22","","","","2"
"Sub-Tenant","1997","66 and older","East Germany","10","","","","2"
"Tenant","1997","16-34 y.","West Germany","","","","","5"
"Tenant","1997","16-34 y.","East Germany","","","","","5"
"Tenant","1997","35-65 y.","West Germany","","","","","5"
"Tenant","1997","35-65 y.","East Germany","","","","","5"
"Tenant","1997","66 and older","West Germany","","","","","5"
"Tenant","1997","66 and older","East Germany","","","","","5"
"Main Tenant","1998","16-34 y.","West Germany","2294","0.59040669680531","0.574507635628094","0.606305757982526","1"
"Main Tenant","1998","16-34 y.","East Germany","715","0.628093094851922","0.600860781464634","0.655325408239211","1"
"Main Tenant","1998","35-65 y.","West Germany","2557","0.435758413011802","0.422485060640477","0.449031765383126","1"
"Main Tenant","1998","35-65 y.","East Germany","1152","0.551195759122034","0.530364887455509","0.57202663078856","1"
"Main Tenant","1998","66 and older","West Germany","619","0.448900095798401","0.422901766069027","0.474898425527776","1"
"Main Tenant","1998","66 and older","East Germany","331","0.690997125093091","0.649873006585957","0.732121243600226","1"
"Nursing Home/Retirement Community","1998","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1998","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1998","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1998","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1998","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1998","66 and older","East Germany","","","","","4"
"Owner","1998","16-34 y.","West Germany","1225","0.356890919441749","0.341401701546946","0.372380137336552","3"
"Owner","1998","16-34 y.","East Germany","429","0.310642497710985","0.284568471738365","0.336716523683605","3"
"Owner","1998","35-65 y.","West Germany","2689","0.540142206867392","0.526801125895812","0.553483287838973","3"
"Owner","1998","35-65 y.","East Germany","987","0.422501809580776","0.401813946456831","0.443189672704721","3"
"Owner","1998","66 and older","West Germany","753","0.516394431557795","0.490273308067429","0.54251555504816","3"
"Owner","1998","66 and older","East Germany","139","0.266740730040855","0.227381130555728","0.306100329525983","3"
"Sub-Tenant","1998","16-34 y.","East Germany","66","0.0612644074370926","0.0477520486968788","0.0747767661773065","2"
"Sub-Tenant","1998","16-34 y.","West Germany","156","0.0527023837529409","0.0454783831918439","0.0599263843140379","2"
"Sub-Tenant","1998","35-65 y.","West Germany","114","0.0236867855084533","0.019616050474335","0.0277575205425715","2"
"Sub-Tenant","1998","35-65 y.","East Germany","51","0.0263024312971898","0.0195999436254334","0.0330049189689463","2"
"Sub-Tenant","1998","66 and older","West Germany","23","","","","2"
"Sub-Tenant","1998","66 and older","East Germany","8","","","","2"
"Tenant","1998","16-34 y.","West Germany","","","","","5"
"Tenant","1998","16-34 y.","East Germany","","","","","5"
"Tenant","1998","35-65 y.","West Germany","1","","","","5"
"Tenant","1998","35-65 y.","East Germany","","","","","5"
"Tenant","1998","66 and older","West Germany","11","","","","5"
"Tenant","1998","66 and older","East Germany","7","","","","5"
"Main Tenant","1999","16-34 y.","West Germany","2171","0.599019890127141","0.582651779318744","0.615388000935539","1"
"Main Tenant","1999","16-34 y.","East Germany","700","0.637934533129844","0.610431493575357","0.665437572684332","1"
"Main Tenant","1999","35-65 y.","West Germany","2426","0.437304425742362","0.423794473260292","0.450814378224431","1"
"Main Tenant","1999","35-65 y.","East Germany","1120","0.564899306435333","0.543879619738341","0.585918993132326","1"
"Main Tenant","1999","66 and older","East Germany","333","0.695007061691347","0.654366085414002","0.735648037968692","1"
"Main Tenant","1999","66 and older","West Germany","563","0.438260732734087","0.411714340617402","0.464807124850773","1"
"Nursing Home/Retirement Community","1999","16-34 y.","West Germany","1","","","","4"
"Nursing Home/Retirement Community","1999","16-34 y.","East Germany","1","","","","4"
"Nursing Home/Retirement Community","1999","35-65 y.","West Germany","1","","","","4"
"Nursing Home/Retirement Community","1999","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1999","66 and older","West Germany","17","","","","4"
"Nursing Home/Retirement Community","1999","66 and older","East Germany","6","","","","4"
"Owner","1999","16-34 y.","West Germany","1161","0.361374346452263","0.345330135655468","0.377418557249057","3"
"Owner","1999","16-34 y.","East Germany","431","0.322521445567381","0.295771299371176","0.349271591763586","3"
"Owner","1999","35-65 y.","West Germany","2647","0.540231226940384","0.526657949909847","0.553804503970921","3"
"Owner","1999","35-65 y.","East Germany","980","0.419034213862359","0.398114976363836","0.439953451360882","3"
"Owner","1999","66 and older","West Germany","734","0.520509106533675","0.493780508433241","0.547237704634108","3"
"Owner","1999","66 and older","East Germany","147","0.274097861255964","0.234723230622146","0.313472491889783","3"
"Sub-Tenant","1999","16-34 y.","West Germany","111","0.0394958771060874","0.0329909562381357","0.0460007979740391","2"
"Sub-Tenant","1999","16-34 y.","East Germany","41","0.0390593297064827","0.0279724390252624","0.050146220387703","2"
"Sub-Tenant","1999","35-65 y.","West Germany","105","0.0220523436600861","0.0180528011555697","0.0260518861646024","2"
"Sub-Tenant","1999","35-65 y.","East Germany","37","0.0160664797023082","0.0107357204066926","0.0213972389979239","2"
"Sub-Tenant","1999","66 and older","East Germany","7","","","","2"
"Sub-Tenant","1999","66 and older","West Germany","28","","","","2"
"Tenant","1999","16-34 y.","East Germany","","","","","5"
"Tenant","1999","16-34 y.","West Germany","","","","","5"
"Tenant","1999","35-65 y.","West Germany","","","","","5"
"Tenant","1999","35-65 y.","East Germany","","","","","5"
"Tenant","1999","66 and older","West Germany","","","","","5"
"Tenant","1999","66 and older","East Germany","","","","","5"
"Main Tenant","2000","16-34 y.","West Germany","3358","0.637268814520222","0.624520683261339","0.650016945779105","1"
"Main Tenant","2000","16-34 y.","East Germany","957","0.617715459998043","0.594485319457682","0.640945600538404","1"
"Main Tenant","2000","35-65 y.","West Germany","4254","0.440525505072012","0.430876453164944","0.45017455697908","1"
"Main Tenant","2000","66 and older","West Germany","1048","0.421351753380573","0.402913617426978","0.439789889334168","1"
"Main Tenant","2000","35-65 y.","East Germany","1653","0.551539324193918","0.534596550148768","0.568482098239068","1"
"Main Tenant","2000","66 and older","East Germany","563","0.679786914971002","0.64904843459489","0.710525395347113","1"
"Nursing Home/Retirement Community","2000","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","2000","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","2000","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","2000","35-65 y.","East Germany","2","","","","4"
"Nursing Home/Retirement Community","2000","66 and older","West Germany","25","","","","4"
"Nursing Home/Retirement Community","2000","66 and older","East Germany","6","","","","4"
"Owner","2000","16-34 y.","East Germany","675","0.354701039786862","0.331830524599469","0.377571554974255","3"
"Owner","2000","16-34 y.","West Germany","1975","0.331679526696877","0.319195793999823","0.344163259393931","3"
"Owner","2000","35-65 y.","West Germany","5825","0.547984538980009","0.5383113479386","0.557657730021418","3"
"Owner","2000","35-65 y.","East Germany","1613","0.435351998712442","0.418461469266782","0.452242528158102","3"
"Owner","2000","66 and older","East Germany","307","0.296610998739288","0.266517833638639","0.326704163839936","3"
"Owner","2000","66 and older","West Germany","1653","0.551801511180273","0.533231424704458","0.570371597656088","3"
"Sub-Tenant","2000","16-34 y.","East Germany","49","0.027583500215095","0.0197543417839489","0.0354126586462411","2"
"Sub-Tenant","2000","16-34 y.","West Germany","131","0.0310516587829011","0.0264524252713571","0.0356508922944452","2"
"Sub-Tenant","2000","35-65 y.","West Germany","90","0.0114899559479788","0.00941858112889116","0.0135613307670664","2"
"Sub-Tenant","2000","35-65 y.","East Germany","42","0.0116240287545491","0.00797251012053626","0.0152755473885619","2"
"Sub-Tenant","2000","66 and older","East Germany","9","","","","2"
"Sub-Tenant","2000","66 and older","West Germany","29","","","","2"
"Tenant","2000","16-34 y.","West Germany","","","","","5"
"Tenant","2000","16-34 y.","East Germany","","","","","5"
"Tenant","2000","35-65 y.","West Germany","","","","","5"
"Tenant","2000","35-65 y.","East Germany","","","","","5"
"Tenant","2000","66 and older","West Germany","","","","","5"
"Tenant","2000","66 and older","East Germany","","","","","5"
"Main Tenant","2001","16-34 y.","West Germany","2882","0.628434533495134","0.61470700646333","0.642162060526937","1"
"Main Tenant","2001","16-34 y.","East Germany","859","0.614818782186565","0.590513881840342","0.639123682532789","1"
"Main Tenant","2001","35-65 y.","West Germany","3916","0.447195935174845","0.43706026055485","0.45733160979484","1"
"Main Tenant","2001","35-65 y.","East Germany","1518","0.551217299092768","0.533635001245898","0.568799596939638","1"
"Main Tenant","2001","66 and older","West Germany","987","0.412687964738189","0.393742360659775","0.431633568816603","1"
"Main Tenant","2001","66 and older","East Germany","514","0.646406646859791","0.614285705538927","0.678527588180655","1"
"Nursing Home/Retirement Community","2001","16-34 y.","West Germany","3","","","","4"
"Nursing Home/Retirement Community","2001","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","2001","35-65 y.","West Germany","2","","","","4"
"Nursing Home/Retirement Community","2001","35-65 y.","East Germany","2","","","","4"
"Nursing Home/Retirement Community","2001","66 and older","West Germany","26","","","","4"
"Nursing Home/Retirement Community","2001","66 and older","East Germany","5","","","","4"
"Owner","2001","16-34 y.","West Germany","1757","0.34183254892896","0.32835783599147","0.35530726186645","3"
"Owner","2001","16-34 y.","East Germany","625","0.352817186960527","0.328951382127342","0.376682991793712","3"
"Owner","2001","35-65 y.","West Germany","5243","0.537952074870489","0.527788805690986","0.548115344049992","3"
"Owner","2001","35-65 y.","East Germany","1518","0.435706119383917","0.418177582793854","0.45323465597398","3"
"Owner","2001","66 and older","West Germany","1555","0.55925686413221","0.540151226105132","0.578362502159288","3"
"Owner","2001","66 and older","East Germany","322","0.326955334348848","0.295438000797942","0.358472667899754","3"
"Sub-Tenant","2001","16-34 y.","West Germany","118","0.0296083560846865","0.0247930346095692","0.0344236775598039","2"
"Sub-Tenant","2001","35-65 y.","West Germany","83","0.0146149647242433","0.0121686068504741","0.0170613225980124","2"
"Sub-Tenant","2001","16-34 y.","East Germany","56","0.0323640308529078","0.0235256027045256","0.0412024590012899","2"
"Sub-Tenant","2001","35-65 y.","East Germany","36","0.0114936186863297","0.0077255892189293","0.01526164815373","2"
"Sub-Tenant","2001","66 and older","West Germany","26","","","","2"
"Sub-Tenant","2001","66 and older","East Germany","10","","","","2"
"Tenant","2001","16-34 y.","West Germany","","","","","5"
"Tenant","2001","16-34 y.","East Germany","","","","","5"
"Tenant","2001","35-65 y.","West Germany","","","","","5"
"Tenant","2001","35-65 y.","East Germany","","","","","5"
"Tenant","2001","66 and older","West Germany","","","","","5"
"Tenant","2001","66 and older","East Germany","","","","","5"
"Main Tenant","2002","16-34 y.","West Germany","2684","0.635131380630668","0.621354156875985","0.648908604385351","1"
"Main Tenant","2002","16-34 y.","East Germany","822","0.628364822584779","0.603877199372266","0.652852445797292","1"
"Main Tenant","2002","35-65 y.","West Germany","3949","0.440700557184437","0.43109772909509","0.450303385273784","1"
"Main Tenant","2002","35-65 y.","East Germany","1452","0.544978669050599","0.527340596363119","0.562616741738079","1"
"Main Tenant","2002","66 and older","West Germany","1010","0.40415765150445","0.385786572736892","0.422528730272008","1"
"Main Tenant","2002","66 and older","East Germany","568","0.662960615841491","0.632078217021251","0.693843014661731","1"
"Nursing Home/Retirement Community","2002","16-34 y.","West Germany","3","","","","4"
"Nursing Home/Retirement Community","2002","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","2002","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","2002","66 and older","West Germany","24","","","","4"
"Nursing Home/Retirement Community","2002","35-65 y.","East Germany","1","","","","4"
"Nursing Home/Retirement Community","2002","66 and older","East Germany","6","","","","4"
"Owner","2002","16-34 y.","West Germany","1892","0.336982844285031","0.323455020156841","0.350510668413221","3"
"Owner","2002","16-34 y.","East Germany","614","0.341158043842435","0.317133744749253","0.365182342935618","3"
"Owner","2002","35-65 y.","West Germany","6219","0.543493149376401","0.533858723323204","0.553127575429598","3"
"Owner","2002","35-65 y.","East Germany","1572","0.440137653976014","0.422555163542369","0.45772014440966","3"
"Owner","2002","66 and older","West Germany","1680","0.572998962399459","0.55448135141764","0.591516573381279","3"
"Owner","2002","66 and older","East Germany","311","0.304489553341437","0.274424300283891","0.334554806398984","3"
"Sub-Tenant","2002","16-34 y.","West Germany","111","0.0273597324567907","0.0226910566716091","0.0320284082419723","2"
"Sub-Tenant","2002","16-34 y.","East Germany","60","0.0304771335727858","0.0217665273395145","0.0391877398060572","2"
"Sub-Tenant","2002","35-65 y.","West Germany","100","0.0158062934391623","0.0133938314854062","0.0182187553929185","2"
"Sub-Tenant","2002","35-65 y.","East Germany","37","0.0137279276405597","0.00960651255555389","0.0178493427255655","2"
"Sub-Tenant","2002","66 and older","West Germany","27","","","","2"
"Sub-Tenant","2002","66 and older","East Germany","15","","","","2"
"Tenant","2002","16-34 y.","West Germany","","","","","5"
"Tenant","2002","16-34 y.","East Germany","","","","","5"
"Tenant","2002","35-65 y.","West Germany","","","","","5"
"Tenant","2002","35-65 y.","East Germany","","","","","5"
"Tenant","2002","66 and older","West Germany","","","","","5"
"Tenant","2002","66 and older","East Germany","","","","","5"
"Main Tenant","2003","16-34 y.","West Germany","2492","0.628890573330168","0.614648425415588","0.643132721244749","1"
"Main Tenant","2003","16-34 y.","East Germany","787","0.59356135615629","0.56841868519401","0.61870402711857","1"
"Main Tenant","2003","35-65 y.","West Germany","3731","0.449210699449042","0.439323163484477","0.459098235413607","1"
"Main Tenant","2003","35-65 y.","East Germany","1368","0.539014203956283","0.521132051211635","0.556896356700931","1"
"Main Tenant","2003","66 and older","West Germany","995","0.389151398589903","0.371037264528835","0.40726553265097","1"
"Main Tenant","2003","66 and older","East Germany","582","0.65797810360042","0.627340770959513","0.688615436241328","1"
"Nursing Home/Retirement Community","2003","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","2003","16-34 y.","West Germany","1","","","","4"
"Nursing Home/Retirement Community","2003","35-65 y.","West Germany","1","","","","4"
"Nursing Home/Retirement Community","2003","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","2003","66 and older","East Germany","5","","","","4"
"Nursing Home/Retirement Community","2003","66 and older","West Germany","27","","","","4"
"Owner","2003","16-34 y.","East Germany","622","0.36208661537566","0.337484740871511","0.386688489879809","3"
"Owner","2003","16-34 y.","West Germany","1798","0.334598219806268","0.320687783610589","0.348508656001947","3"
"Owner","2003","35-65 y.","West Germany","5884","0.533927100716713","0.524011062530238","0.543843138903188","3"
"Owner","2003","35-65 y.","East Germany","1561","0.440845823086598","0.423034955490381","0.458656690682816","3"
"Owner","2003","66 and older","East Germany","318","0.307700181417928","0.27789242689685","0.337507935939005","3"
"Owner","2003","66 and older","West Germany","1725","0.579548993240319","0.561209207226104","0.597888779254534","3"
"Sub-Tenant","2003","16-34 y.","West Germany","129","0.0364908329352688","0.030962976312016","0.0420186895585216","2"
"Sub-Tenant","2003","16-34 y.","East Germany","57","0.04435202846805","0.0338133338343977","0.0548907231017023","2"
"Sub-Tenant","2003","35-65 y.","West Germany","106","0.0167240773792242","0.0141750231833507","0.0192731315750976","2"
"Sub-Tenant","2003","35-65 y.","East Germany","56","0.0201399729571189","0.0151004737012371","0.0251794722130007","2"
"Sub-Tenant","2003","66 and older","West Germany","36","0.017420674107053","0.0125598738285279","0.0222814743855781","2"
"Sub-Tenant","2003","66 and older","East Germany","16","","","","2"
"Tenant","2003","16-34 y.","West Germany","","","","","5"
"Tenant","2003","35-65 y.","West Germany","","","","","5"
"Tenant","2003","16-34 y.","East Germany","","","","","5"
"Tenant","2003","35-65 y.","East Germany","","","","","5"
"Tenant","2003","66 and older","West Germany","","","","","5"
"Tenant","2003","66 and older","East Germany","","","","","5"
"Main Tenant","2004","16-34 y.","West Germany","2384","0.632117879515957","0.617558119951733","0.646677639080181","1"
"Main Tenant","2004","16-34 y.","East Germany","767","0.618689186798455","0.593532560090246","0.643845813506664","1"
"Main Tenant","2004","35-65 y.","West Germany","3627","0.456001880879254","0.445941372087744","0.466062389670764","1"
"Main Tenant","2004","35-65 y.","East Germany","1298","0.54452355731035","0.526255753814694","0.562791360806006","1"
"Main Tenant","2004","66 and older","East Germany","590","0.647134818812152","0.617031651012128","0.677237986612176","1"
"Main Tenant","2004","66 and older","West Germany","1017","0.399163542480806","0.381180820128434","0.417146264833178","1"
"Nursing Home/Retirement Community","2004","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","2004","16-34 y.","West Germany","1","","","","4"
"Nursing Home/Retirement Community","2004","35-65 y.","West Germany","3","","","","4"
"Nursing Home/Retirement Community","2004","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","2004","66 and older","West Germany","28","","","","4"
"Nursing Home/Retirement Community","2004","66 and older","East Germany","8","","","","4"
"Owner","2004","16-34 y.","West Germany","1719","0.335379348521611","0.321124720141932","0.34963397690129","3"
"Owner","2004","16-34 y.","East Germany","604","0.331116903872053","0.306742030475833","0.355491777268273","3"
"Owner","2004","35-65 y.","West Germany","5680","0.525612016436667","0.515525588003967","0.535698444869367","3"
"Owner","2004","35-65 y.","East Germany","1517","0.441190372789636","0.422977016301436","0.459403729277836","3"
"Owner","2004","66 and older","West Germany","1778","0.573041266622998","0.55487825896076","0.591204274285237","3"
"Owner","2004","66 and older","East Germany","349","0.311464231042591","0.282291455195568","0.340637006889614","3"
"Sub-Tenant","2004","16-34 y.","West Germany","110","0.0324803763882831","0.0271280665876319","0.0378326861889342","2"
"Sub-Tenant","2004","16-34 y.","East Germany","61","0.0501939093294915","0.0388850300507567","0.0615027886082263","2"
"Sub-Tenant","2004","35-65 y.","West Germany","105","0.0181839729213446","0.015485007158501","0.0208829386841881","2"
"Sub-Tenant","2004","35-65 y.","East Germany","40","0.0142860699000143","0.00993318817195699","0.0186389516280716","2"
"Sub-Tenant","2004","66 and older","West Germany","26","","","","2"
"Sub-Tenant","2004","66 and older","East Germany","21","","","","2"
"Tenant","2004","16-34 y.","East Germany","","","","","5"
"Tenant","2004","16-34 y.","West Germany","","","","","5"
"Tenant","2004","35-65 y.","West Germany","","","","","5"
"Tenant","2004","35-65 y.","East Germany","","","","","5"
"Tenant","2004","66 and older","West Germany","","","","","5"
"Tenant","2004","66 and older","East Germany","","","","","5"
"Main Tenant","2005","16-34 y.","West Germany","2267","0.631865590135232","0.61690057354983","0.646830606720635","1"
"Main Tenant","2005","16-34 y.","East Germany","719","0.624696728270829","0.598905943941619","0.650487512600039","1"
"Main Tenant","2005","35-65 y.","West Germany","3483","0.468123739427418","0.457764645428233","0.478482833426603","1"
"Main Tenant","2005","35-65 y.","East Germany","1198","0.542790391134146","0.524120440240106","0.561460342028185","1"
"Main Tenant","2005","66 and older","West Germany","993","0.40088259144813","0.382874340924085","0.418890841972175","1"
"Main Tenant","2005","66 and older","East Germany","592","0.65221896301738","0.622308834960172","0.682129091074588","1"
"Nursing Home/Retirement Community","2005","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","2005","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","2005","35-65 y.","West Germany","2","","","","4"
"Nursing Home/Retirement Community","2005","35-65 y.","East Germany","2","","","","4"
"Nursing Home/Retirement Community","2005","66 and older","East Germany","10","","","","4"
"Nursing Home/Retirement Community","2005","66 and older","West Germany","25","","","","4"
"Owner","2005","16-34 y.","West Germany","1588","0.32477918281405","0.310248746773188","0.339309618854913","3"
"Owner","2005","16-34 y.","East Germany","586","0.333146499573314","0.308040841846613","0.358252157300015","3"
"Owner","2005","35-65 y.","West Germany","5321","0.51282042931041","0.502443632068279","0.52319722655254","3"
"Owner","2005","35-65 y.","East Germany","1497","0.439198803501226","0.420599166620073","0.45779844038238","3"
"Owner","2005","66 and older","West Germany","1782","0.565493879395352","0.547279312073906","0.583708446716798","3"
"Owner","2005","66 and older","East Germany","355","0.308615939374245","0.279606624605327","0.337625254143164","3"
"Sub-Tenant","2005","16-34 y.","West Germany","135","0.0433552270507175","0.0370360906901393","0.0496743634112957","2"
"Sub-Tenant","2005","35-65 y.","West Germany","107","0.0187563396883985","0.0159399119404544","0.0215727674363427","2"
"Sub-Tenant","2005","16-34 y.","East Germany","49","0.0421567721558572","0.0314534240401619","0.0528601202715525","2"
"Sub-Tenant","2005","35-65 y.","East Germany","38","0.0177659850182622","0.0128152286322749","0.0227167414042495","2"
"Sub-Tenant","2005","66 and older","West Germany","45","0.0192479625945625","0.0141992697670457","0.0242966554220793","2"
"Sub-Tenant","2005","66 and older","East Germany","17","","","","2"
"Tenant","2005","16-34 y.","West Germany","","","","","5"
"Tenant","2005","16-34 y.","East Germany","","","","","5"
"Tenant","2005","35-65 y.","West Germany","","","","","5"
"Tenant","2005","35-65 y.","East Germany","","","","","5"
"Tenant","2005","66 and older","West Germany","","","","","5"
"Tenant","2005","66 and older","East Germany","","","","","5"
"Main Tenant","2006","16-34 y.","West Germany","2271","0.631221445252204","0.616391549248902","0.646051341255507","1"
"Main Tenant","2006","16-34 y.","East Germany","755","0.6477158042838","0.622540436255852","0.672891172311747","1"
"Main Tenant","2006","35-65 y.","West Germany","3696","0.472205161294285","0.462204132437832","0.482206190150738","1"
"Main Tenant","2006","35-65 y.","East Germany","1237","0.535215809239678","0.516955835933614","0.553475782545742","1"
"Main Tenant","2006","66 and older","West Germany","1184","0.419493155239076","0.402780069960896","0.436206240517256","1"
"Main Tenant","2006","66 and older","East Germany","663","0.637335250381278","0.609463668511684","0.665206832250873","1"
"Nursing Home/Retirement Community","2006","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","2006","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","2006","35-65 y.","West Germany","2","","","","4"
"Nursing Home/Retirement Community","2006","35-65 y.","East Germany","2","","","","4"
"Nursing Home/Retirement Community","2006","66 and older","West Germany","31","0.0122578009615827","0.00853115098322845","0.015984450939937","4"
"Nursing Home/Retirement Community","2006","66 and older","East Germany","13","","","","4"
"Owner","2006","16-34 y.","West Germany","1674","0.327219406618984","0.312797567118098","0.34164124611987","3"
"Owner","2006","16-34 y.","East Germany","569","0.305420441041332","0.281146122314497","0.329694759768166","3"
"Owner","2006","35-65 y.","West Germany","5780","0.512897435848105","0.502884251361004","0.522910620335206","3"
"Owner","2006","35-65 y.","East Germany","1586","0.446132488025579","0.427933599324866","0.464331376726293","3"
"Owner","2006","66 and older","West Germany","2106","0.555540743511226","0.538711505490459","0.572369981531992","3"
