"hlf0001_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Nursing Home/Retirement Community","1984","Part Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1984","Part Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1984","Part Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1984","Not Working","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1984","Not Working","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1984","Not Working","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1984","Full Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1984","Not Working","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1984","Not Working","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1984","Not Working","Couple + C. LE and GT 16","","","","","4"
"Owner","1984","Not Working","Couple + C. LE 16 ","271","0.417783934500386","0.385400179936956","0.450167689063816","3"
"Owner","1984","Part Time","Couple + C. GT 16 ","166","0.561744179589664","0.509235128758309","0.614253230421018","3"
"Owner","1984","Not Working","(Married) couple without C. ","554","0.476529951712418","0.44840012611363","0.504659777311206","3"
"Owner","1984","Not Working","Single parent ","80","0.402107566702134","0.33860182374515","0.465613309659118","3"
"Owner","1984","Not Working","Couple + C. GT 16 ","394","0.668716809677131","0.633648416761154","0.703785202593109","3"
"Owner","1984","Not Working","Couple + C. LE and GT 16","274","0.67870966808929","0.641499532706365","0.715919803472215","3"
"Owner","1984","Full Time","1-pers.-HH","73","0.164866953880864","0.133628244040598","0.196105663721131","3"
"Owner","1984","Full Time","Couple + C. GT 16 ","508","0.667833484001237","0.638008696561054","0.697658271441419","3"
"Owner","1984","Full Time","Couple + C. LE and GT 16","364","0.677352356318416","0.645058365111581","0.709646347525251","3"
"Owner","1984","Part Time","(Married) couple without C. ","112","0.387415617731535","0.335092032231947","0.439739203231123","3"
"Owner","1984","Part Time","Single parent ","34","0.383943086515284","0.290019790993524","0.477866382037045","3"
"Owner","1984","Part Time","Couple + C. LE 16 ","183","0.418472896717626","0.376474877861194","0.460470915574058","3"
"Owner","1984","Part Time","Couple + C. LE and GT 16","145","0.638539279772601","0.585059253992633","0.692019305552569","3"
"Owner","1984","Not Working","1-pers.-HH","162","0.261193082254045","0.227602949669219","0.294783214838872","3"
"Owner","1984","Full Time","(Married) couple without C. ","353","0.383839464309352","0.355865518268139","0.411813410350565","3"
"Owner","1984","Full Time","Single parent ","71","0.390767374814537","0.329918810020171","0.451615939608903","3"
"Owner","1984","Full Time","Couple + C. LE 16 ","512","0.421152286064778","0.397407677352085","0.444896894777472","3"
"Owner","1984","Part Time","1-pers.-HH","21","","","","3"
"Sub-Tenant","1984","Full Time","(Married) couple without C. ","11","","","","2"
"Sub-Tenant","1984","Full Time","Couple + C. LE and GT 16","7","","","","2"
"Sub-Tenant","1984","Not Working","(Married) couple without C. ","9","","","","2"
"Sub-Tenant","1984","Full Time","1-pers.-HH","38","0.0357507641320791","0.0201198000968395","0.0513817281673187","2"
"Sub-Tenant","1984","Full Time","Couple + C. GT 16 ","4","","","","2"
"Sub-Tenant","1984","Part Time","Couple + C. LE 16 ","10","","","","2"
"Sub-Tenant","1984","Not Working","1-pers.-HH","20","","","","2"
"Sub-Tenant","1984","Part Time","Single parent ","1","","","","2"
"Sub-Tenant","1984","Full Time","Couple + C. LE 16 ","15","","","","2"
"Sub-Tenant","1984","Part Time","1-pers.-HH","12","","","","2"
"Sub-Tenant","1984","Part Time","(Married) couple without C. ","4","","","","2"
"Sub-Tenant","1984","Full Time","Single parent ","2","","","","2"
"Sub-Tenant","1984","Part Time","Couple + C. GT 16 ","","","","","2"
"Sub-Tenant","1984","Part Time","Couple + C. LE and GT 16","","","","","2"
"Sub-Tenant","1984","Not Working","Couple + C. GT 16 ","2","","","","2"
"Sub-Tenant","1984","Not Working","Couple + C. LE and GT 16","5","","","","2"
"Sub-Tenant","1984","Not Working","Single parent ","4","","","","2"
"Sub-Tenant","1984","Not Working","Couple + C. LE 16 ","7","","","","2"
"Tenant","1984","Full Time","Single parent ","","","","","5"
"Tenant","1984","Full Time","Couple + C. LE and GT 16","1","","","","5"
"Tenant","1984","Part Time","Couple + C. LE 16 ","1","","","","5"
"Tenant","1984","Full Time","1-pers.-HH","3","","","","5"
"Tenant","1984","Full Time","(Married) couple without C. ","","","","","5"
"Tenant","1984","Full Time","Couple + C. LE 16 ","6","","","","5"
"Tenant","1984","Full Time","Couple + C. GT 16 ","2","","","","5"
"Tenant","1984","Part Time","1-pers.-HH","1","","","","5"
"Tenant","1984","Part Time","Single parent ","","","","","5"
"Tenant","1984","Part Time","(Married) couple without C. ","","","","","5"
"Tenant","1984","Part Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1984","Part Time","Couple + C. LE and GT 16","1","","","","5"
"Tenant","1984","Not Working","1-pers.-HH","2","","","","5"
"Tenant","1984","Not Working","(Married) couple without C. ","8","","","","5"
"Tenant","1984","Not Working","Single parent ","","","","","5"
"Tenant","1984","Not Working","Couple + C. LE 16 ","3","","","","5"
"Tenant","1984","Not Working","Couple + C. GT 16 ","2","","","","5"
"Tenant","1984","Not Working","Couple + C. LE and GT 16","2","","","","5"
"Main Tenant","1985","Full Time","1-pers.-HH","366","0.789395274318242","0.752335486231397","0.826455062405087","1"
"Main Tenant","1985","Full Time","(Married) couple without C. ","711","0.626881659602694","0.597417504184802","0.656345815020587","1"
"Main Tenant","1985","Full Time","Single parent ","152","0.552956131966865","0.489388714152544","0.616523549781187","1"
"Main Tenant","1985","Full Time","Couple + C. LE 16 ","893","0.545831593802964","0.519408802131269","0.57225438547466","1"
"Main Tenant","1985","Full Time","Couple + C. GT 16 ","436","0.349647959630696","0.319115060128193","0.380180859133199","1"
"Main Tenant","1985","Full Time","Couple + C. LE and GT 16","353","0.276708400265382","0.243376281068568","0.310040519462196","1"
"Main Tenant","1985","Part Time","1-pers.-HH","115","0.793130358288539","0.726740653091874","0.859520063485204","1"
"Main Tenant","1985","Part Time","(Married) couple without C. ","205","0.619043490519758","0.56463262206032","0.673454358979197","1"
"Main Tenant","1985","Part Time","Single parent ","60","0.601656367617584","0.503212314357336","0.700100420877831","1"
"Main Tenant","1985","Part Time","Couple + C. LE 16 ","334","0.554869436052731","0.512796307687402","0.59694256441806","1"
"Main Tenant","1985","Part Time","Couple + C. GT 16 ","195","0.407232587301107","0.3589026468991","0.455562527703114","1"
"Main Tenant","1985","Part Time","Couple + C. LE and GT 16","136","0.308398950346887","0.252794516713902","0.364003383979872","1"
"Main Tenant","1985","Not Working","1-pers.-HH","417","0.731058566289222","0.694721068388408","0.767396064190036","1"
"Main Tenant","1985","Not Working","(Married) couple without C. ","576","0.5132756688804","0.483548739892306","0.543002597868494","1"
"Main Tenant","1985","Not Working","Single parent ","139","0.605175881515899","0.53953099041081","0.670820772620987","1"
"Main Tenant","1985","Not Working","Couple + C. LE 16 ","509","0.545972300712168","0.51091941965284","0.581025181771496","1"
"Main Tenant","1985","Not Working","Couple + C. GT 16 ","275","0.313790722557883","0.27919221148185","0.348389233633917","1"
"Main Tenant","1985","Not Working","Couple + C. LE and GT 16","302","0.32620026862882","0.286399444901141","0.366001092356499","1"
"Nursing Home/Retirement Community","1985","Full Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1985","Full Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1985","Full Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1985","Part Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1985","Full Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1985","Full Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1985","Full Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1985","Part Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1985","Part Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1985","Part Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1985","Part Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1985","Part Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1985","Not Working","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1985","Not Working","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1985","Not Working","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1985","Not Working","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1985","Not Working","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1985","Not Working","Couple + C. LE and GT 16","","","","","4"
"Owner","1985","Full Time","1-pers.-HH","61","0.158604780555885","0.125401593556798","0.191807967554972","3"
"Owner","1985","Part Time","Couple + C. GT 16 ","201","0.592449498449261","0.544113663864874","0.640785333033648","3"
"Owner","1985","Not Working","(Married) couple without C. ","499","0.477537021749181","0.447829634154715","0.507244409343648","3"
"Owner","1985","Not Working","Single parent ","67","0.374976726994701","0.309962479424853","0.439990974564549","3"
"Owner","1985","Not Working","Couple + C. LE and GT 16","231","0.67379973137118","0.633998907643501","0.713600555098859","3"
"Owner","1985","Not Working","Couple + C. LE 16 ","255","0.44102046585762","0.406064237700162","0.475976694015078","3"
"Owner","1985","Not Working","Couple + C. GT 16 ","411","0.678431955994041","0.643606351990874","0.713257559997208","3"
"Owner","1985","Full Time","(Married) couple without C. ","307","0.359642554565926","0.330406101406027","0.388879007725825","3"
"Owner","1985","Full Time","Single parent ","83","0.447043868033135","0.383476450218813","0.510611285847456","3"
"Owner","1985","Full Time","Couple + C. LE 16 ","452","0.439958600097843","0.413616106821983","0.466301093373704","3"
"Owner","1985","Full Time","Couple + C. GT 16 ","498","0.648860739275703","0.61829789706179","0.679423581489616","3"
"Owner","1985","Full Time","Couple + C. LE and GT 16","339","0.723291599734618","0.689959480537804","0.756623718931432","3"
"Owner","1985","Part Time","(Married) couple without C. ","97","0.37261195426101","0.318438829176021","0.426785079345999","3"
"Owner","1985","Part Time","Single parent ","34","0.384561939289866","0.286734291012879","0.482389587566852","3"
"Owner","1985","Part Time","Couple + C. LE 16 ","196","0.434585328168719","0.392620373033612","0.476550283303826","3"
"Owner","1985","Part Time","Couple + C. LE and GT 16","129","0.691601049653113","0.635996616020128","0.747205483286098","3"
"Owner","1985","Not Working","1-pers.-HH","135","0.24097807276717","0.205929849951067","0.276026295583274","3"
"Owner","1985","Part Time","1-pers.-HH","20","","","","3"
"Sub-Tenant","1985","Full Time","1-pers.-HH","38","0.0519999451258725","0.0318196627684864","0.0721802274832587","2"
"Sub-Tenant","1985","Full Time","Couple + C. LE and GT 16","","","","","2"
"Sub-Tenant","1985","Part Time","Single parent ","1","","","","2"
"Sub-Tenant","1985","Full Time","(Married) couple without C. ","17","","","","2"
"Sub-Tenant","1985","Full Time","Couple + C. GT 16 ","3","","","","2"
"Sub-Tenant","1985","Full Time","Single parent ","","","","","2"
"Sub-Tenant","1985","Full Time","Couple + C. LE 16 ","19","","","","2"
"Sub-Tenant","1985","Part Time","(Married) couple without C. ","4","","","","2"
"Sub-Tenant","1985","Part Time","Couple + C. LE 16 ","6","","","","2"
"Sub-Tenant","1985","Not Working","1-pers.-HH","20","","","","2"
"Sub-Tenant","1985","Not Working","(Married) couple without C. ","11","","","","2"
"Sub-Tenant","1985","Part Time","1-pers.-HH","8","","","","2"
"Sub-Tenant","1985","Part Time","Couple + C. GT 16 ","1","","","","2"
"Sub-Tenant","1985","Part Time","Couple + C. LE and GT 16","","","","","2"
"Sub-Tenant","1985","Not Working","Couple + C. GT 16 ","5","","","","2"
"Sub-Tenant","1985","Not Working","Couple + C. LE and GT 16","","","","","2"
"Sub-Tenant","1985","Not Working","Single parent ","7","","","","2"
"Sub-Tenant","1985","Not Working","Couple + C. LE 16 ","11","","","","2"
"Tenant","1985","Full Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1985","Full Time","1-pers.-HH","","","","","5"
"Tenant","1985","Full Time","(Married) couple without C. ","","","","","5"
"Tenant","1985","Full Time","Single parent ","","","","","5"
"Tenant","1985","Full Time","Couple + C. LE 16 ","","","","","5"
"Tenant","1985","Full Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1985","Part Time","1-pers.-HH","","","","","5"
"Tenant","1985","Part Time","(Married) couple without C. ","","","","","5"
"Tenant","1985","Part Time","Single parent ","","","","","5"
"Tenant","1985","Part Time","Couple + C. LE 16 ","","","","","5"
"Tenant","1985","Part Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1985","Part Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1985","Not Working","1-pers.-HH","","","","","5"
"Tenant","1985","Not Working","(Married) couple without C. ","","","","","5"
"Tenant","1985","Not Working","Single parent ","","","","","5"
"Tenant","1985","Not Working","Couple + C. LE 16 ","","","","","5"
"Tenant","1985","Not Working","Couple + C. GT 16 ","","","","","5"
"Tenant","1985","Not Working","Couple + C. LE and GT 16","","","","","5"
"Main Tenant","1986","Full Time","1-pers.-HH","349","0.788639361638475","0.750833393444193","0.826445329832756","1"
"Main Tenant","1986","Full Time","(Married) couple without C. ","704","0.617774315527977","0.588340293687104","0.647208337368851","1"
"Main Tenant","1986","Full Time","Single parent ","131","0.560166269580407","0.49350692604752","0.626825613113294","1"
"Main Tenant","1986","Full Time","Couple + C. LE 16 ","816","0.553706819347048","0.526334610488724","0.581079028205372","1"
"Main Tenant","1986","Full Time","Couple + C. GT 16 ","433","0.327370416288215","0.298006005903146","0.356734826673284","1"
"Main Tenant","1986","Full Time","Couple + C. LE and GT 16","328","0.292551628175619","0.257250678658106","0.327852577693132","1"
"Main Tenant","1986","Part Time","1-pers.-HH","100","0.789529582602421","0.719988594039397","0.859070571165446","1"
"Main Tenant","1986","Part Time","(Married) couple without C. ","237","0.664030146363961","0.613223198943077","0.714837093784845","1"
"Main Tenant","1986","Part Time","Single parent ","58","0.55641882105847","0.457552201469599","0.655285440647341","1"
"Main Tenant","1986","Part Time","Couple + C. LE 16 ","297","0.576938058753072","0.53203373215217","0.621842385353975","1"
"Main Tenant","1986","Part Time","Couple + C. GT 16 ","203","0.399127198045289","0.352947280571317","0.445307115519262","1"
"Main Tenant","1986","Part Time","Couple + C. LE and GT 16","133","0.287992394413781","0.233574704900637","0.342410083926926","1"
"Main Tenant","1986","Not Working","1-pers.-HH","379","0.707749110161949","0.669318742419528","0.74617947790437","1"
"Main Tenant","1986","Not Working","(Married) couple without C. ","501","0.49454156086677","0.463676868791976","0.525406252941563","1"
"Main Tenant","1986","Not Working","Single parent ","115","0.555979226980008","0.486597372313988","0.625361081646029","1"
"Main Tenant","1986","Not Working","Couple + C. LE 16 ","436","0.558047091790348","0.520582618848528","0.595511564732168","1"
"Main Tenant","1986","Not Working","Couple + C. GT 16 ","259","0.296886117705489","0.262894163149925","0.330878072261052","1"
"Main Tenant","1986","Not Working","Couple + C. LE and GT 16","255","0.302329221641446","0.26199267172683","0.342665771556063","1"
"Nursing Home/Retirement Community","1986","Full Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1986","Full Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1986","Full Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1986","Full Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1986","Part Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1986","Part Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1986","Part Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1986","Part Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1986","Part Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1986","Not Working","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1986","Not Working","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1986","Not Working","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1986","Full Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1986","Full Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1986","Part Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1986","Not Working","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1986","Not Working","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1986","Not Working","Couple + C. LE and GT 16","","","","","4"
"Owner","1986","Not Working","(Married) couple without C. ","490","0.490763717441946","0.45990245283303","0.521624982050862","3"
"Owner","1986","Full Time","(Married) couple without C. ","320","0.361540465890774","0.332438662979373","0.390642268802174","3"
"Owner","1986","Not Working","Couple + C. LE and GT 16","240","0.69420013809904","0.653733753018803","0.734666523179277","3"
"Owner","1986","Full Time","1-pers.-HH","66","0.16703034362148","0.132490420876036","0.201570266366923","3"
"Owner","1986","Full Time","Single parent ","79","0.431935654206689","0.365413457446339","0.49845785096704","3"
"Owner","1986","Not Working","Single parent ","76","0.416105005305545","0.34727404573346","0.48493596487763","3"
"Owner","1986","Not Working","Couple + C. GT 16 ","435","0.703113882294511","0.669121927738948","0.737105836850075","3"
"Owner","1986","Full Time","Couple + C. LE 16 ","428","0.432427636300661","0.405148719278514","0.459706553322809","3"
"Owner","1986","Full Time","Couple + C. GT 16 ","539","0.668000098264613","0.638530729856065","0.69746946667316","3"
"Owner","1986","Part Time","(Married) couple without C. ","90","0.324686596180495","0.27431752827001","0.375055664090979","3"
"Owner","1986","Part Time","Single parent ","36","0.42351463880199","0.325183610944987","0.521845666658994","3"
"Owner","1986","Part Time","Couple + C. LE 16 ","162","0.413455787599407","0.368696153325308","0.458215421873505","3"
"Owner","1986","Part Time","Couple + C. GT 16 ","228","0.600609144276915","0.55442411255476","0.64679417599907","3"
"Owner","1986","Part Time","Couple + C. LE and GT 16","132","0.706212217387839","0.651473861149455","0.760950573626222","3"
"Owner","1986","Not Working","1-pers.-HH","138","0.252774993442846","0.216051016517183","0.289498970368509","3"
"Owner","1986","Not Working","Couple + C. LE 16 ","223","0.424766145826775","0.387476060995275","0.462056230658275","3"
"Owner","1986","Full Time","Couple + C. LE and GT 16","308","0.704150478787107","0.668733955443754","0.73956700213046","3"
"Owner","1986","Part Time","1-pers.-HH","16","","","","3"
"Sub-Tenant","1986","Full Time","1-pers.-HH","33","0.0443302947400458","0.0252707157604943","0.0633898737195972","2"
"Sub-Tenant","1986","Full Time","Couple + C. GT 16 ","9","","","","2"
"Sub-Tenant","1986","Part Time","Couple + C. LE and GT 16","1","","","","2"
"Sub-Tenant","1986","Not Working","1-pers.-HH","21","","","","2"
"Sub-Tenant","1986","Full Time","Couple + C. LE 16 ","23","","","","2"
"Sub-Tenant","1986","Part Time","(Married) couple without C. ","5","","","","2"
"Sub-Tenant","1986","Part Time","Single parent ","3","","","","2"
"Sub-Tenant","1986","Not Working","Couple + C. GT 16 ","","","","","2"
"Sub-Tenant","1986","Full Time","(Married) couple without C. ","23","","","","2"
"Sub-Tenant","1986","Full Time","Single parent ","3","","","","2"
"Sub-Tenant","1986","Full Time","Couple + C. LE and GT 16","2","","","","2"
"Sub-Tenant","1986","Part Time","Couple + C. LE 16 ","6","","","","2"
"Sub-Tenant","1986","Part Time","Couple + C. GT 16 ","1","","","","2"
"Sub-Tenant","1986","Not Working","Couple + C. LE 16 ","16","","","","2"
"Sub-Tenant","1986","Part Time","1-pers.-HH","16","","","","2"
"Sub-Tenant","1986","Not Working","(Married) couple without C. ","17","","","","2"
"Sub-Tenant","1986","Not Working","Single parent ","6","","","","2"
"Sub-Tenant","1986","Not Working","Couple + C. LE and GT 16","3","","","","2"
"Tenant","1986","Full Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1986","Full Time","1-pers.-HH","","","","","5"
"Tenant","1986","Full Time","(Married) couple without C. ","","","","","5"
"Tenant","1986","Full Time","Single parent ","","","","","5"
"Tenant","1986","Full Time","Couple + C. LE 16 ","","","","","5"
"Tenant","1986","Full Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1986","Part Time","1-pers.-HH","","","","","5"
"Tenant","1986","Part Time","(Married) couple without C. ","","","","","5"
"Tenant","1986","Part Time","Single parent ","","","","","5"
"Tenant","1986","Part Time","Couple + C. LE 16 ","","","","","5"
"Tenant","1986","Part Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1986","Part Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1986","Not Working","1-pers.-HH","","","","","5"
"Tenant","1986","Not Working","(Married) couple without C. ","","","","","5"
"Tenant","1986","Not Working","Single parent ","","","","","5"
"Tenant","1986","Not Working","Couple + C. LE 16 ","","","","","5"
"Tenant","1986","Not Working","Couple + C. GT 16 ","","","","","5"
"Tenant","1986","Not Working","Couple + C. LE and GT 16","","","","","5"
"Main Tenant","1987","Full Time","1-pers.-HH","344","0.752256814283957","0.712849072167405","0.791664556400508","1"
"Main Tenant","1987","Full Time","(Married) couple without C. ","695","0.591500775862182","0.561895208503339","0.621106343221024","1"
"Main Tenant","1987","Full Time","Single parent ","124","0.484134204509749","0.4165430766106","0.551725332408898","1"
"Main Tenant","1987","Full Time","Couple + C. LE 16 ","798","0.546440238671256","0.518674885152412","0.5742055921901","1"
"Main Tenant","1987","Full Time","Couple + C. GT 16 ","460","0.333617805365472","0.305112018359325","0.362123592371619","1"
"Main Tenant","1987","Full Time","Couple + C. LE and GT 16","302","0.29299782745058","0.25611597447872","0.329879680422441","1"
"Main Tenant","1987","Part Time","1-pers.-HH","88","0.732536176520891","0.654311712107287","0.810760640934495","1"
"Main Tenant","1987","Part Time","(Married) couple without C. ","201","0.616718120057993","0.562332835941956","0.67110340417403","1"
"Main Tenant","1987","Part Time","Single parent ","86","0.661361288940958","0.578728862593327","0.743993715288589","1"
"Main Tenant","1987","Part Time","Couple + C. LE 16 ","313","0.574789695742004","0.531238320978431","0.618341070505576","1"
"Main Tenant","1987","Part Time","Couple + C. GT 16 ","166","0.357453707621494","0.310546668655223","0.404360746587765","1"
"Main Tenant","1987","Part Time","Couple + C. LE and GT 16","125","0.315210737199481","0.257734251947169","0.372687222451792","1"
"Main Tenant","1987","Not Working","1-pers.-HH","375","0.722371224270465","0.684388166833849","0.76035428170708","1"
"Main Tenant","1987","Not Working","(Married) couple without C. ","483","0.481926541256414","0.450785291363618","0.51306779114921","1"
"Main Tenant","1987","Not Working","Single parent ","106","0.497697929048828","0.426035307908597","0.569360550189059","1"
"Main Tenant","1987","Not Working","Couple + C. LE 16 ","422","0.583952807773501","0.545645669757886","0.622259945789115","1"
"Main Tenant","1987","Not Working","Couple + C. GT 16 ","272","0.302255421482446","0.2684042526232","0.336106590341693","1"
"Main Tenant","1987","Not Working","Couple + C. LE and GT 16","236","0.333418948440028","0.288439566209063","0.378398330670994","1"
"Nursing Home/Retirement Community","1987","Full Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1987","Full Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1987","Part Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1987","Full Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1987","Full Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1987","Full Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1987","Part Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1987","Full Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1987","Part Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1987","Part Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1987","Part Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1987","Not Working","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1987","Not Working","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1987","Not Working","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1987","Not Working","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1987","Not Working","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1987","Not Working","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1987","Part Time","1-pers.-HH","","","","","4"
"Owner","1987","Not Working","(Married) couple without C. ","492","0.50235826670699","0.471196998890488","0.533519534523491","3"
"Owner","1987","Not Working","Couple + C. LE and GT 16","181","0.650374139823854","0.604877924389347","0.695870355258361","3"
"Owner","1987","Full Time","1-pers.-HH","70","0.172552564589659","0.138059757089998","0.20704537208932","3"
"Owner","1987","Full Time","(Married) couple without C. ","346","0.390922652396932","0.361533859171433","0.420311445622431","3"
"Owner","1987","Full Time","Single parent ","85","0.513898507296759","0.446299456292015","0.581497558301503","3"
"Owner","1987","Not Working","Couple + C. GT 16 ","433","0.697021789752141","0.663147729204623","0.73089585029966","3"
