"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1987","direct migration background","(2a) intermediate vocational","1021.36","942.38","84","568","741.5","1227.33","1623.5","2726.67","931.53","1111.19","270","2726.67","852","994.444458007812"
"1987","direct migration background","(2b) intermediate general qualification","768.17","678.8","59","306.8","557.88","1022.5","1250","1738.67","685.6","850.74","194.4","1738.67","613.333312988281","869"
"1987","direct migration background","(2c_gen) general maturity certificate","717.85","666.36","108","383.33","454.44","888.57","1158.67","1670","662.16","773.54","0","1670","596.666687011719","679.705871582031"
"1987","direct migration background","(2c_voc) vocational maturity certificate","822.1","730.39","120","429","539.44","1023","1158.67","2045","717.68","926.52","189.44","6086.67","655.652160644531","852.222229003906"
"1987","direct migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1987","direct migration background","(3b) higher tertiary education","1277.83","1145.54","70","639.38","907.5","1534","1943","6391","1092.64","1463.02","307","6391","907.5","1150.55554199219"
"1987","indirect migration background","(0) in school","","","","","","","","","","","","","",""
"1987","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1987","indirect migration background","(1b) general elementary school","795.03","773.03","40","298.33","576","1023","1218.67","1332.86","708.25","881.81","194.4","1332.86","579.333312988281","754"
"1987","indirect migration background","(1c) basic vocational qualification","787.92","735.2","47","563.89","682","1002","1051.11","1113.93","724.46","851.38","328.57","1201.5","682","937.222229003906"
"1987","indirect migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1987","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1987","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1987","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1987","indirect migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1987","indirect migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1987","no migration background","(0) in school","863.79","818","137","460","639","1022.5","1278.33","2438","799.35","928.23","232.42","2438","766.666687011719","869"
"1987","no migration background","(1a) inadequately completed","718.24","682","60","345.93","472.78","895","1227","1363.33","634.81","801.67","31","1534","613.599975585938","756.799987792969"
"1987","no migration background","(1b) general elementary school","744.18","702.06","1455","409.2","532.5","889.13","1121.5","1778.26","726.95","761.41","0","3933.08","702","730.357177734375"
"1987","no migration background","(1c) basic vocational qualification","849.99","792.5","2791","487.14","613.33","1022.5","1278","1908.67","835.51","864.47","51","9203.5","784","818"
"1987","no migration background","(2a) intermediate vocational","1037.34","958.75","1149","568.33","730.48","1193.33","1516.67","2556.5","989.22","1085.46","89","17043.33","946","1000.43481445312"
"1987","no migration background","(2b) intermediate general qualification","905.36","818","339","454","613.6","1022.5","1329.2","2045.33","841.45","969.27","256","9203.5","767","852"
"1987","no migration background","(2c_gen) general maturity certificate","858.85","767","248","409","525","1022.5","1287","2999.33","792.28","925.42","170.67","5112.67","716","852"
"1987","no migration background","(2c_voc) vocational maturity certificate","1155.25","971","262","575","779.05","1274","1677.2","2999.33","986.4","1324.1","230","22156","920.400024414062","1022.66668701172"
"1987","no migration background","(3a) lower tertiary education","1166.87","1073.81","214","613","818","1380","1704","3835","1082.69","1251.05","210","6817.33","994.444458007812","1144.28576660156"
"1987","no migration background","(3b) higher tertiary education","1353.44","1193.27","395","715.67","929","1534","2045","3323","1231.46","1475.42","0","22156","1136.11108398438","1278"
"1988","direct migration background","(0) in school","","","","","","","","","","","","","",""
"1988","direct migration background","(1a) inadequately completed","709.94","647.33","667","371.82","511.11","869","1079.44","1508.5","682.22","737.66","163.5","7243.33","647.333312988281","697.599975585938"
"1988","direct migration background","(1b) general elementary school","719.97","682","846","426.11","524.67","852","1090.67","1483","702.72","737.22","140.5","2045.33","664.5","693.928588867188"
"1988","direct migration background","(1c) basic vocational qualification","861.78","790.66","582","511.43","628.1","1022.67","1261.33","1840.8","831.91","891.65","169","6135.33","766.857116699219","818"
"1988","direct migration background","(2a) intermediate vocational","1010.4","933.65","86","525.56","681.85","1329.33","1636","2045.33","925.07","1095.73","250.5","2045.33","795.555603027344","1022.66668701172"
"1988","direct migration background","(2b) intermediate general qualification","881.7","889.83","59","409","613.6","1095.71","1295.33","1926","793.12","970.28","294","1926","630.606079101562","930.833312988281"
"1988","direct migration background","(2c_gen) general maturity certificate","714.24","681.82","94","358","491.54","869.2","1022.67","1704","659.69","768.79","191.88","1704","675.714294433594","778.260864257812"
"1988","direct migration background","(2c_voc) vocational maturity certificate","848.57","762.66","110","470","608.57","1022.78","1158.67","1568","718.48","978.66","136.67","7243.33","683.478271484375","827.619079589844"
"1988","direct migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1988","direct migration background","(3b) higher tertiary education","1318.61","1238.01","58","572.38","852.22","1534","2301","3408.67","1177.05","1460.17","374.67","3408.67","778.260864257812","1133.9130859375"
"1988","indirect migration background","(0) in school","","","","","","","","","","","","","",""
"1988","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1988","indirect migration background","(1b) general elementary school","689.51","669.37","57","290.67","399.02","971.5","1073.5","1192.86","616.1","762.92","191.88","1278.21","532.5","818"
"1988","indirect migration background","(1c) basic vocational qualification","767.04","731.44","56","513","596.67","949.64","1022.5","1136.11","709.9","824.18","369.44","1168.57","682","880.666687011719"
"1988","indirect migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1988","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1988","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1988","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1988","indirect migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1988","indirect migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1988","no migration background","(0) in school","942.23","818","117","434.5","604.4","1022.67","1227.2","2760.8","767.39","1117.07","200.71","10226","777.200012207031","895"
"1988","no migration background","(1a) inadequately completed","746.64","679.35","54","340.83","438.1","1022.67","1431.33","1704","642.18","851.1","31","1704","552","741.5"
"1988","no migration background","(1b) general elementary school","741.87","713.7","1371","409","545.33","895","1090.67","1623.5","726.25","757.49","51","2556.67","710","736.400024414062"
"1988","no migration background","(1c) basic vocational qualification","895.46","830.94","2662","504","632.86","1053.2","1363.33","2045.33","875.93","914.99","0","10226","818","852"
"1988","no migration background","(2a) intermediate vocational","1044.65","981.6","1109","608","767","1227.2","1534","2658.67","1013.91","1075.39","51","10226","958.749938964844","1022.5"
"1988","no migration background","(2b) intermediate general qualification","908.18","852.32","325","433.94","647.33","1074","1414.67","2308.8","863.12","953.24","170.67","3067.6","808.888916015625","885.454528808594"
