"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1991","(2a) intermediate vocational","996.4","895","2538","460","613.33","1278","1704","2454","977.35","1015.45","56.67","6817.33","730.476196289062","778.260864257812"
"1991","(2b) intermediate general qualification","924.78","852","510","444.78","614","1192.78","1482.5","2045.2","890.34","959.22","146.07","3068","766.799987792969","823.888916015625"
"1991","(2c_gen) general maturity certificate","998.9","895","371","511","664.5","1227.33","1483","2556","952.45","1045.35","204.5","4008.4","796","879.599975585938"
"1991","(2c_voc) vocational maturity certificate","1144.7","1022.67","488","543.12","767","1406","1806.67","2863","1096.06","1193.34","194.76","5112.67","925.238159179688","1023"
"1991","(3a) lower tertiary education","994.61","818","871","474","613.33","1278","1704","3068","960.51","1028.71","128","5112.67","682","730.476196289062"
"1991","(3b) higher tertiary education","1330.21","1217.14","759","579.33","779.05","1704","2147","4090.67","1281.06","1379.36","56.67","5113","936.799987792969","1074"
"1992","(0) in school","1084.02","995.65","142","574.23","767","1269.67","1636","2249.6","1006.9","1161.14","312.4","3749.33","856.5","1022.5"
"1992","(1a) inadequately completed","822.04","767","716","450","569.33","1004.78","1295.33","1966.54","796","848.08","191.5","3068","774.545471191406","818"
"1992","(1b) general elementary school","868.64","818","2214","454","614","1023","1329","2045","852.91","884.37","0","6283","798.75","827.619079589844"
"1992","(1c) basic vocational qualification","990.11","920","4138","533.21","682","1193.33","1534","2318","977.23","1002.99","119.33","7669","855.652221679688","889.130432128906"
"1992","(2a) intermediate vocational","1077.58","971","2497","537","710","1304","1704","2812","1057.94","1097.22","147.2","7158","852","876.428588867188"
"1992","(2b) intermediate general qualification","975.03","942.34","523","510","664.5","1176","1500","2249.6","939.97","1010.09","163.6","3323.5","818","886.333312988281"
"1992","(2c_gen) general maturity certificate","1033.29","967.3","363","511","715.67","1278","1636","2191.43","991.73","1074.85","230","2658.8","879.599975585938","954.666687011719"
"1992","(2c_voc) vocational maturity certificate","1229.61","1124.67","505","562","809.58","1534","1917.5","3068","1178.51","1280.71","204.29","6817.33","981.599975585938","1095.71435546875"
"1992","(3a) lower tertiary education","1085","937.25","850","560","682","1363.33","1713","2658.8","1050.68","1119.32","136.67","6817.33","818","886"
"1992","(3b) higher tertiary education","1423.19","1278","758","682","916.25","1772.67","2301","4090","1372.35","1474.03","170.56","7669","1095.71435546875","1168.57153320312"
"1993","(0) in school","1165.51","1026.41","120","613.6","797.6","1367.5","2045","3067.6","1073.9","1257.12","224.39","3067.6","872.058776855469","1022.57141113281"
"1993","(1a) inadequately completed","839.81","771.75","691","460","605.93","1043","1278.4","1908.67","812.57","867.05","116.4","3834.5","777.200012207031","818"
"1993","(1b) general elementary school","892.4","835","2134","477.33","614.76","1104.67","1380.5","2045","876.67","908.13","26","3195.5","818.214294433594","852.222229003906"
"1993","(1c) basic vocational qualification","1059.77","988.67","4024","572.8","730.48","1278","1636","2658.67","1044.56","1074.98","122.22","14316","933","971.5"
"1993","(2a) intermediate vocational","1165.1","1023","2505","613.33","793","1431.33","1815","3067.6","1143.09","1187.11","122.22","14316","954.666687011719","994.444458007812"
"1993","(2b) intermediate general qualification","1042.42","975.53","496","511.33","736.4","1227.33","1602","2726.67","1002.85","1081.99","189.33","3834.5","869","940.799987792969"
"1993","(2c_gen) general maturity certificate","1130.26","1022.67","386","518","756.8","1380","1742","4090.67","1077.54","1182.98","102","5752","937.222229003906","1022.5"
"1993","(2c_voc) vocational maturity certificate","1302.01","1201.7","498","639","908.89","1636","2045","3068","1247.78","1356.24","163.6","8521.67","1056.66662597656","1192.91662597656"
"1993","(3a) lower tertiary education","1249.43","1102.3","824","682","852.22","1461","1892","3408.67","1208.17","1290.69","196.92","8521.67","981.599975585938","1022.66668701172"
"1993","(3b) higher tertiary education","1566.61","1363.33","755","767","1032","1966.54","2556.67","4090","1516.32","1616.9","365.24","5752","1217.14294433594","1314.64282226562"
"1994","(0) in school","1154.77","1022.4","197","591.5","727.69","1289.13","1707.33","3681.2","1060.65","1248.89","230","7669.5","889.130432128906","1004.28570556641"
"1994","(1a) inadequately completed","852.85","818","617","395.81","613.6","1023","1278","2004","825.21","880.49","136.33","3834.5","788.048828125","852.222229003906"
"1994","(1b) general elementary school","917.44","865.93","2000","511","665","1124.8","1363.33","2045.2","900.25","934.63","136.33","6136","852","889.130432128906"
"1994","(1c) basic vocational qualification","1096.09","1022.5","3933","613.33","777.2","1295.33","1666.67","2726.67","1080.84","1111.34","102","10226","988.799987792969","1022.5"
"1994","(2a) intermediate vocational","1216.36","1095.71","2509","644","852","1460.95","1966.54","3068","1195.99","1236.73","153","7771.33","1000.43481445312","1022.66668701172"
"1994","(2b) intermediate general qualification","1060.57","981.53","452","511.2","716","1329","1636","3068","1015.34","1105.8","163.6","3579","895","981.51513671875"
"1994","(2c_gen) general maturity certificate","1089.81","1022.4","379","511","716","1363.33","1704","3068","1041.77","1137.85","116","3068","920.400024414062","1022.60870361328"
"1994","(2c_voc) vocational maturity certificate","1290.93","1176","503","629.23","869.33","1602","2045","2863.33","1237.2","1344.66","205","8521.67","1088.66662597656","1192.91662597656"
"1994","(3a) lower tertiary education","1293.46","1156.84","827","690","894.58","1534","1917.5","3835","1251.12","1335.8","204.4","8521.67","1022.66668701172","1111.30432128906"
"1994","(3b) higher tertiary education","1615.81","1498.47","772","818","1066.96","2045","2556","4090","1566.19","1665.43","256","6817.33","1297","1411.90478515625"
"1995","(0) in school","1238.76","1060.57","251","568","784","1333.91","1799.6","3834.5","1110.66","1366.86","319.5","15338.67","886.333312988281","1022.40002441406"
"1995","(1a) inadequately completed","897.05","851.35","582","434.5","635.43","1084.55","1411.9","2045","866.65","927.45","255.5","3204","818","869"
"1995","(1b) general elementary school","986.45","900.95","1961","511.11","682","1158","1431.33","2386","962.42","1010.48","163.33","12498","886","920"
"1995","(1c) basic vocational qualification","1142.09","1022.67","3894","633","818","1335","1704","3068","1125.57","1158.61","72","11930","1022.5","1022.66668701172"
"1995","(2a) intermediate vocational","1276.13","1136.11","2546","675.6","876.67","1534","2000.87","3408.67","1254.09","1298.17","158.1","10907.33","1022.66668701172","1071.42858886719"
"1995","(2b) intermediate general qualification","1102.88","1039.97","455","555.65","766.67","1333.91","1636","3323","1060.18","1145.58","255.5","4090.67","937.222229003906","1022.5"
"1995","(2c_gen) general maturity certificate","1124.64","1022.4","438","513.5","750","1363.33","1840.8","3068","1078.85","1170.43","205","3681.2","954.666687011719","1022.66668701172"
"1995","(2c_voc) vocational maturity certificate","1279.08","1158.67","580","622.61","855.33","1534","2045.33","3408.67","1229.71","1328.45","158.1","6136","1022.66668701172","1158.66662597656"
"1995","(3a) lower tertiary education","1398.85","1263.95","841","778.26","958.75","1687","2147","3816.67","1351.28","1446.42","280","14061","1124.80004882812","1186.78576660156"
"1995","(3b) higher tertiary education","1600.11","1431.76","848","730.48","1022.67","2045","2556.67","5112.67","1538.98","1661.24","310","15338.67","1329.33337402344","1411.19995117188"
"1996","(0) in school","1249.47","1096.32","273","613.6","843.5","1333.91","1778.26","3681.2","1146.05","1352.89","350.3","12782.5","983.076965332031","1076.31579589844"
"1996","(1a) inadequately completed","867.41","818","536","472.92","599.2","1022.67","1342.5","2011.33","837.61","897.21","119.33","2556.5","818","895"
"1996","(1b) general elementary school","960.08","910.33","1864","511.5","708.08","1176","1431.33","2173","942.95","977.21","78","3707","876.666687011719","911.304382324219"
"1996","(1c) basic vocational qualification","1163.23","1056.67","3816","647","835","1363.33","1704","3068","1145.55","1180.91","148.33","12782.5","1022.77783203125","1065"
"1996","(2a) intermediate vocational","1280.95","1150.5","2552","710","907","1534","2045","3408.67","1258.44","1303.46","238","10226","1061.07141113281","1107.77783203125"
"1996","(2b) intermediate general qualification","1134.11","1073.98","448","600","797.6","1406.07","1687","2318","1070.83","1197.39","236.15","11930","972","1048"
"1996","(2c_gen) general maturity certificate","1134.41","1022.5","410","596.67","750","1363.33","1866","3154","1086.26","1182.56","283.89","3681.2","946.666625976562","1023"
"1996","(2c_voc) vocational maturity certificate","1286.41","1170.58","578","647.33","852.22","1483","2045","3272","1226.25","1346.57","256","11930","1107.77783203125","1193.33337402344"
"1996","(3a) lower tertiary education","1462.04","1282.16","853","800.43","1022.57","1704.44","2215.33","5113","1414.46","1509.62","98.46","12782.5","1144.28576660156","1226"
"1996","(3b) higher tertiary education","1625.96","1460.95","843","786.92","1111.3","2045","2692.67","3732.5","1576.98","1674.94","317.58","7328.67","1339.04772949219","1434.5"
"1997","(0) in school","1112.98","1022.67","300","511.5","730.36","1380.5","1881.6","3067.6","1056.03","1169.93","263.87","3067.6","895","1022.5"
"1997","(1a) inadequately completed","884.44","826.81","506","475.65","614","1095.71","1421.2","1874.67","854.14","914.74","224.8","2272.22","818","908.888916015625"
"1997","(1b) general elementary school","976.86","926.83","1835","543","710","1193.33","1466","2045.33","954.88","998.84","153","13634.67","895","946"
"1997","(1c) basic vocational qualification","1161.03","1073.5","3757","647.33","852","1363.33","1704","2812","1144.46","1177.6","204.62","13634.67","1029.33337402344","1090.66662597656"
"1997","(2a) intermediate vocational","1272.77","1158.67","2518","730.48","920","1534","1988.33","2999.33","1252.33","1293.21","229.05","7908","1079.44445800781","1125"
"1997","(2b) intermediate general qualification","1115.1","1059.23","456","579.33","818","1339.05","1704","2454.4","1074.34","1155.86","208.21","3834.5","1006.12908935547","1028.33337402344"
"1997","(2c_gen) general maturity certificate","1230.86","1036.63","418","613.6","818","1442.5","1769","5113","1164.37","1297.35","245.6","8129.5","973.225830078125","1043.19995117188"
"1997","(2c_voc) vocational maturity certificate","1315.38","1192.78","574","654.4","910","1534","2045.33","3579.33","1265.46","1365.3","278.79","7158","1120","1227"
"1997","(3a) lower tertiary education","1457.08","1305.17","862","823.89","1022.67","1704","2113.33","5624","1412.58","1501.58","307","8129.5","1192.77783203125","1266.19055175781"
"1997","(3b) higher tertiary education","1682.62","1521.72","864","844.78","1136.11","2045.33","2666","5112.78","1629.82","1735.42","245.6","8129.5","1363.33337402344","1488"
"1998","(0) in school","1147.14","1022.57","318","555.65","778.26","1431.6","1942.8","2940","1091.05","1203.23","204.4","3476.8","946","1022.57141113281"
"1998","(1a) inadequately completed","921.74","852","468","526.67","666.96","1099.5","1431.5","2045","891.17","952.31","347.5","2215.33","845.333312988281","912.857177734375"
"1998","(1b) general elementary school","1006.71","937.33","1957","562","716","1201.5","1534","2284","986.97","1026.45","179","6817.33","920","965.555603027344"
"1998","(1c) basic vocational qualification","1161.5","1090.67","3985","664.67","852","1363.33","1704","2897.33","1147.29","1175.71","238.67","6442","1066.66662597656","1090.66662597656"
"1998","(2a) intermediate vocational","1288.72","1176","2708","716","920.4","1534","2045","3408.67","1269.68","1307.76","230","6033.33","1095.71435546875","1136.11108398438"
"1998","(2b) intermediate general qualification","1108.41","1056.67","508","613.6","767","1380","1704","2377.5","1070.76","1146.06","221.33","3834.5","949.642883300781","1023"
"1998","(2c_gen) general maturity certificate","1207.19","1095.71","447","595.5","784","1420","1806.67","4090.67","1151.04","1263.34","204.4","6136","1022.40002441406","1104.40002441406"
"1998","(2c_voc) vocational maturity certificate","1314.3","1240.66","647","632.86","865.38","1568","2045","3170","1268.23","1360.37","230","7158","1193.33337402344","1278"
"1998","(3a) lower tertiary education","1487.38","1294.98","919","818","1022.67","1738","2301","3988","1445.57","1529.19","292.14","7669","1215.33337402344","1278"
"1998","(3b) higher tertiary education","1724.08","1582.03","963","844","1137.5","2079.33","2708","4772","1674.24","1773.92","205","7669.5","1431.33337402344","1534"
"1999","(0) in school","1196.31","1023.86","310","593.2","818","1482.5","2024.8","3067.6","1130.66","1261.96","186.06","5113","984","1089"
"1999","(1a) inadequately completed","900.79","852.16","453","468.67","639","1099.5","1406","2045.33","866.05","935.53","186.06","2556.67","852","937.333312988281"
"1999","(1b) general elementary school","1050.83","1019.19","1881","590","767","1276","1534","2376.4","1032.67","1068.99","102","4139.05","974","1022.5"
