"year","bula_h","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Bremen","Employed","858.19","767","48","468.89","598","954.67","1329.2","2272.22","741.53","974.85","316.67","2272.22","716","954.666687011719"
"1986","Bremen","Not Employed","707.57","656.17","53","422.67","468.89","920","1021.33","1295.33","633.89","781.25","316.67","1295.33","511.5","811.304382324219"
"1986","Hamburg","Employed","978.53","937.33","145","511.33","696.11","1261.33","1363.33","2215.33","916.62","1040.44","255.5","2301","766.785705566406","946.666625976562"
"1986","Hamburg","Not Employed","785.21","716","103","511","614","920","1122.22","1534","727.37","843.05","126","1892","664.666687011719","766.785705566406"
"1986","Hesse","Employed","951.28","920","652","547.86","695.2","1086.67","1420","2414.44","924.91","977.65","175.33","2659","823.888916015625","895"
"1986","Hesse","Not Employed","780.64","687.23","367","374.67","511","973.81","1355","2414.44","743.11","818.17","68","2556","613.333312988281","682"
"1986","Lower Saxony","Employed","885.53","852","611","489.13","647.33","1022.67","1363.33","2163.08","855.65","915.41","0","2556.5","818","869"
"1986","Lower Saxony","Not Employed","714.58","665","441","360","480.67","852","1090.67","2045.2","680.83","748.33","0","2556.5","613.5","682"
"1986","Mecklenburg-Western Pomerania","Employed","","","","","","","","","","","","","",""
"1986","Mecklenburg-Western Pomerania","Not Employed","","","","","","","","","","","","","",""
"1986","North Rhine-Westphalia","Employed","952.04","843.05","1605","485.5","639","1104.4","1363.33","2249.6","905.81","998.27","170.33","22723.89","784","818"
"1986","North Rhine-Westphalia","Not Employed","738.65","682","1087","400","511.3","869","1124.67","1874.67","709.09","768.21","0","9203.5","613.599975585938","664.666687011719"
"1986","Rhineland-Palatinate,Saarland","Employed","939.17","852","434","499.05","634","1090.67","1406","2301","892.73","985.61","275.38","5702.69","795.555603027344","886"
"1986","Rhineland-Palatinate,Saarland","Not Employed","730.79","682","300","413.81","552","852","1125","1661.5","699.64","761.94","205","1874.67","639","727.692321777344"
"1986","Saxony","Employed","","","","","","","","","","","","","",""
"1986","Saxony","Not Employed","","","","","","","","","","","","","",""
"1986","Saxony-Anhalt","Employed","","","","","","","","","","","","","",""
"1986","Saxony-Anhalt","Not Employed","","","","","","","","","","","","","",""
"1986","Schleswig-Holstein","Employed","886.67","852","200","494","639.17","1022.67","1278","2434.76","831.24","942.1","179","3068","716","852.380981445312"
"1986","Schleswig-Holstein","Not Employed","704.32","638.38","105","388.4","511.33","869","1023","1394","651.8","756.84","179","1546.5","562.5","682"
"1986","Thuringia","Employed","","","","","","","","","","","","","",""
"1986","Thuringia","Not Employed","","","","","","","","","","","","","",""
"1987","Baden-Württemberg","Employed","993.24","895","1318","511.33","681.9","1124.67","1466","2726.67","963.5","1022.98","102","9203.5","818","876.666687011719"
"1987","Baden-Württemberg","Not Employed","782","725.15","591","409.33","525","974.67","1192.78","1738.4","754.39","809.61","89","3779.13","666.95654296875","716"
"1987","Bavaria","Employed","1002.36","883.74","1129","511.5","690","1125","1380","2556.67","942.86","1061.86","51","22156","844.782653808594","886"
"1987","Bavaria","Not Employed","826.24","739","529","409","562","1005.33","1304","2215.33","778.78","873.7","97","6391","716","767"
"1987","Berlin","Employed","1079.27","1023","240","615.33","784","1329","1636","2147","1017.82","1140.72","170.67","5112.67","865.384643554688","1022.66668701172"
"1987","Berlin","Not Employed","969.78","896.36","114","570","690","1134","1363.33","1856","870.54","1069.02","224.39","5112.67","716","874"
"1987","Brandenburg","Employed","","","","","","","","","","","","","",""
"1987","Brandenburg","Not Employed","","","","","","","","","","","","","",""
"1987","Bremen","Employed","1405.62","682","49","510","608","1005.33","1295.33","17043.33","468.75","2342.49","223.45","17043.33","655","852"
"1987","Bremen","Not Employed","743.68","713","45","421","560","931","997","1295.33","666.6","820.76","223.45","1295.33","588","852"
"1987","Hamburg","Employed","1073.76","1022.67","131","568.33","767","1201.5","1534","2999.33","991.97","1155.55","245.33","2999.33","852.083312988281","1023"
"1987","Hamburg","Not Employed","826.76","767","84","486","645","1022.67","1158.67","1704","762.69","890.83","245.33","1704","682","818"
"1987","Hesse","Employed","968.53","922.06","674","511.5","693.94","1146.67","1421","2215.33","936.76","1000.3","0","6086.67","852.222229003906","920"
"1987","Hesse","Not Employed","840.76","767","359","406","568.33","1022.67","1355","2045","791.5","890.02","0","6086.67","672.631591796875","763.409057617188"
"1987","Lower Saxony","Employed","925.74","869","648","511.3","674.8","1073.67","1329.33","2438","893.53","957.95","99.44","3933.08","818","882"
"1987","Lower Saxony","Not Employed","777.06","684.8","406","431","511","910","1227.2","2438","738.5","815.62","99.44","3933.08","639","698.666687011719"
"1987","Mecklenburg-Western Pomerania","Employed","","","","","","","","","","","","","",""
"1987","Mecklenburg-Western Pomerania","Not Employed","","","","","","","","","","","","","",""
"1987","North Rhine-Westphalia","Employed","947.7","852.22","1610","511.2","666.96","1124.67","1431.33","2301","924.06","971.34","0","6817.33","811.304382324219","852"
"1987","North Rhine-Westphalia","Not Employed","753.69","698.59","1077","400","532","895","1125","2045.33","733.29","774.09","0","3068","642.5","682"
"1987","Rhineland-Palatinate,Saarland","Employed","882.85","818","442","487.14","647.33","1022.67","1312","2472","848.29","917.41","31","2726.67","767","850.799987792969"
"1987","Rhineland-Palatinate,Saarland","Not Employed","755.89","682","301","434","528.67","906.67","1205.36","2045.2","717.28","794.5","77","2368.67","630.666687011719","716"
"1987","Saxony","Employed","","","","","","","","","","","","","",""
"1987","Saxony","Not Employed","","","","","","","","","","","","","",""
"1987","Saxony-Anhalt","Employed","","","","","","","","","","","","","",""
"1987","Saxony-Anhalt","Not Employed","","","","","","","","","","","","","",""
"1987","Schleswig-Holstein","Employed","890.11","801.85","197","518","639.29","1099.5","1329.33","2045","837.67","942.55","102","2556.67","732.857177734375","852.380981445312"
"1987","Schleswig-Holstein","Not Employed","753.15","682","109","432","511.5","920","1221.67","1534","687.57","818.73","197","2556.67","579.333312988281","767"
"1987","Thuringia","Employed","","","","","","","","","","","","","",""
"1987","Thuringia","Not Employed","","","","","","","","","","","","","",""
"1988","Baden-Württemberg","Employed","992.12","920.4","1264","537","716","1168.57","1431.6","2454","968.19","1016.05","51","7669","852.222229003906","895"
"1988","Baden-Württemberg","Not Employed","789.85","732.67","575","409.33","537","959","1200","1687","758.9","820.8","179","6135.33","682","736.400024414062"
