"plh0111","year","sex","n","percent","lower_confidence","upper_confidence"
"Quite unimportant","2012","Female","2819","0.210952431647133","0.204436023088075","0.217468840206191"
"Very important","2013","Male","","","",""
"Very important","2013","Female","","","",""
"Important","2013","Male","","","",""
"Important","2013","Female","","","",""
"Less important","2013","Male","","","",""
"Less important","2013","Female","","","",""
"Quite unimportant","2013","Male","","","",""
"Quite unimportant","2013","Female","","","",""
"Very important","2014","Male","","","",""
"Very important","2014","Female","","","",""
"Important","2014","Male","","","",""
"Important","2014","Female","","","",""
"Less important","2014","Male","","","",""
"Less important","2014","Female","","","",""
"Quite unimportant","2014","Male","","","",""
"Quite unimportant","2014","Female","","","",""
"Very important","2015","Male","","","",""
"Very important","2015","Female","","","",""
"Important","2015","Male","","","",""
"Important","2015","Female","","","",""
"Less important","2015","Male","","","",""
"Less important","2015","Female","","","",""
"Quite unimportant","2015","Male","","","",""
"Quite unimportant","2015","Female","","","",""
"Very important","2016","Male","595","0.0480007181245615","0.0440282558757459","0.0519731803733771"
"Very important","2016","Female","508","0.0352713921075381","0.0321219239740622","0.038420860241014"
"Important","2016","Male","3340","0.296571061809431","0.288083321131279","0.305058802487582"
"Important","2016","Female","3803","0.278612380026453","0.270958037600539","0.286266722452367"
"Less important","2016","Male","5389","0.486938224729419","0.477649857774113","0.496226591684725"
"Less important","2016","Female","6397","0.491546106194355","0.483010561155733","0.500081651232977"
"Quite unimportant","2016","Male","1800","0.168489995336589","0.161534334464138","0.17544565620904"
"Quite unimportant","2016","Female","2470","0.194570121671654","0.187811233160377","0.201329010182931"
