"ple0016","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"No","2012","16-34 y.","Rural Area","","","",""
"No","2012","35-65 y.","Urban Area","","","",""
"No","2012","35-65 y.","Rural Area","","","",""
"No","2012","66 and older","Urban Area","","","",""
"No","2012","66 and older","Rural Area","","","",""
"Yes","2013","16-34 y.","Urban Area","5","","",""
"Yes","2013","16-34 y.","Rural Area","1","","",""
"Yes","2013","35-65 y.","Urban Area","86","0.0135383454402438","0.0107180725460594","0.0163586183344282"
"Yes","2013","35-65 y.","Rural Area","68","0.0174289917444162","0.0132736790751809","0.0215843044136515"
"Yes","2013","66 and older","Urban Area","160","0.0542876026336001","0.046520295047996","0.0620549102192043"
"Yes","2013","66 and older","Rural Area","98","0.0568025689221722","0.0459048876216577","0.0677002502226868"
"No","2013","16-34 y.","Urban Area","2561","0.999421211648469","0.998490631170819","1.00035179212612"
"No","2013","16-34 y.","Rural Area","1142","0.998952419282208","0.997077031314316","1.0008278072501"
"No","2013","35-65 y.","Urban Area","6364","0.986461654559756","0.983641381665572","0.989281927453941"
"No","2013","35-65 y.","Rural Area","3742","0.982571008255584","0.978415695586349","0.986726320924819"
"No","2013","66 and older","Urban Area","3109","0.9457123973664","0.937945089780796","0.953479704952004"
"No","2013","66 and older","Rural Area","1635","0.943197431077828","0.932299749777313","0.954095112378342"
"Yes","2014","16-34 y.","Urban Area","","","",""
"Yes","2014","16-34 y.","Rural Area","","","",""
"Yes","2014","35-65 y.","Urban Area","","","",""
"Yes","2014","35-65 y.","Rural Area","","","",""
"Yes","2014","66 and older","Urban Area","","","",""
"Yes","2014","66 and older","Rural Area","","","",""
"No","2014","16-34 y.","Urban Area","","","",""
"No","2014","16-34 y.","Rural Area","","","",""
"No","2014","35-65 y.","Urban Area","","","",""
"No","2014","35-65 y.","Rural Area","","","",""
"No","2014","66 and older","Urban Area","","","",""
"No","2014","66 and older","Rural Area","","","",""
"Yes","2015","16-34 y.","Urban Area","6","","",""
"Yes","2015","16-34 y.","Rural Area","4","","",""
"Yes","2015","35-65 y.","Urban Area","128","0.0151234180152615","0.0126447453737212","0.0176020906568017"
"Yes","2015","35-65 y.","Rural Area","83","0.0203870446463281","0.0165221293485752","0.024251959944081"
"Yes","2015","66 and older","Urban Area","184","0.0566397167497968","0.0486082043587371","0.0646712291408565"
"Yes","2015","66 and older","Rural Area","95","0.0546510259353442","0.0440589907991968","0.0652430610714916"
"No","2015","16-34 y.","Urban Area","3930","0.999117257405098","0.998189475671214","1.00004503913898"
"No","2015","16-34 y.","Rural Area","1830","0.998833983178641","0.997272103810182","1.0003958625471"
"No","2015","35-65 y.","Urban Area","9185","0.984876581984739","0.982397909343198","0.987355254626279"
"No","2015","35-65 y.","Rural Area","5053","0.979612955353672","0.975748040055919","0.983477870651425"
"No","2015","66 and older","Urban Area","2998","0.943360283250203","0.935328770859143","0.951391795641263"
"No","2015","66 and older","Rural Area","1674","0.945348974064656","0.934756938928508","0.955941009200803"
"Yes","2016","16-34 y.","Urban Area","","","",""
"Yes","2016","16-34 y.","Rural Area","","","",""
"Yes","2016","35-65 y.","Urban Area","","","",""
"Yes","2016","35-65 y.","Rural Area","","","",""
"Yes","2016","66 and older","Urban Area","","","",""
"Yes","2016","66 and older","Rural Area","","","",""
"No","2016","16-34 y.","Urban Area","","","",""
"No","2016","16-34 y.","Rural Area","","","",""
"No","2016","35-65 y.","Urban Area","","","",""
"No","2016","35-65 y.","Rural Area","","","",""
"No","2016","66 and older","Urban Area","","","",""
"No","2016","66 and older","Rural Area","","","",""
"Yes","2017","16-34 y.","Urban Area","4","","",""
"Yes","2017","16-34 y.","Rural Area","2","","",""
"Yes","2017","35-65 y.","Urban Area","132","0.0153403758865665","0.0129170673786636","0.0177636843944694"
"Yes","2017","35-65 y.","Rural Area","89","0.0180845167859252","0.0145830900871717","0.0215859434846787"
"Yes","2017","66 and older","Urban Area","173","0.0546739811922642","0.0467398678228535","0.0626080945616748"
"Yes","2017","66 and older","Rural Area","118","0.0630253018996705","0.0520376194384069","0.0740129843609341"
"No","2017","16-34 y.","Urban Area","4232","0.999250841195069","0.998426903597857","1.00007477879228"
"No","2017","16-34 y.","Rural Area","2007","0.999353613063978","0.998242229419309","1.00046499670865"
"No","2017","35-65 y.","Urban Area","9749","0.984659624113433","0.98223631560553","0.987082932621336"
"No","2017","35-65 y.","Rural Area","5475","0.981915483214075","0.978414056515321","0.985416909912828"
"No","2017","66 and older","Urban Area","2981","0.945326018807736","0.937391905438325","0.953260132177147"
"No","2017","66 and older","Rural Area","1761","0.93697469810033","0.925987015639066","0.947962380561593"
"Yes","2018","16-34 y.","Urban Area","","","",""
"Yes","2018","16-34 y.","Rural Area","","","",""
"Yes","2018","35-65 y.","Urban Area","","","",""
"Yes","2018","35-65 y.","Rural Area","","","",""
"Yes","2018","66 and older","Urban Area","","","",""
"Yes","2018","66 and older","Rural Area","","","",""
"No","2018","16-34 y.","Urban Area","","","",""
"No","2018","16-34 y.","Rural Area","","","",""
"No","2018","35-65 y.","Urban Area","","","",""
"No","2018","35-65 y.","Rural Area","","","",""
"No","2018","66 and older","Urban Area","","","",""
"No","2018","66 and older","Rural Area","","","",""
"Yes","2019","16-34 y.","Urban Area","5","","",""
"Yes","2019","16-34 y.","Rural Area","2","","",""
"Yes","2019","35-65 y.","Urban Area","119","0.0153418847018005","0.0128007785372298","0.0178829908663712"
"Yes","2019","35-65 y.","Rural Area","77","0.0157380304075638","0.0123986128741332","0.0190774479409945"
"Yes","2019","66 and older","Urban Area","182","0.0568979135302325","0.048691678531695","0.0651041485287701"
"Yes","2019","66 and older","Rural Area","126","0.0660104148264677","0.0548574106013262","0.0771634190516091"
"No","2019","16-34 y.","Urban Area","3423","0.999545729489201","0.998832406384684","1.00025905259372"
"No","2019","16-34 y.","Rural Area","1639","0.998871996322026","0.997247929189819","1.00049606345423"
"No","2019","35-65 y.","Urban Area","8868","0.9846581152982","0.982117009133629","0.98719922146277"
"No","2019","35-65 y.","Rural Area","5259","0.984261969592436","0.980922552059006","0.987601387125867"
"No","2019","66 and older","Urban Area","2879","0.943102086469767","0.93489585147123","0.951308321468305"
"No","2019","66 and older","Rural Area","1778","0.933989585173532","0.922836580948391","0.945142589398674"
