"pld0045","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Often","2007","Couple + C. LE and GT 16","","","","","2"
"Rarely","2007","1-pers.-HH","","","","","4"
"Rarely","2007","(Married) couple without C. ","","","","","4"
"Rarely","2007","Single parent ","","","","","4"
"Rarely","2007","Couple + C. LE 16 ","","","","","4"
"Rarely","2007","Couple + C. GT 16 ","","","","","4"
"Rarely","2007","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2007","1-pers.-HH","","","","","3"
"Sometimes","2007","(Married) couple without C. ","","","","","3"
"Sometimes","2007","Single parent ","","","","","3"
"Sometimes","2007","Couple + C. LE 16 ","","","","","3"
"Sometimes","2007","Couple + C. GT 16 ","","","","","3"
"Sometimes","2007","Couple + C. LE and GT 16","","","","","3"
"Very often","2007","Single parent ","","","","","1"
"Very often","2007","Couple + C. LE and GT 16","","","","","1"
"Very often","2007","1-pers.-HH","","","","","1"
"Very often","2007","(Married) couple without C. ","","","","","1"
"Very often","2007","Couple + C. LE 16 ","","","","","1"
"Very often","2007","Couple + C. GT 16 ","","","","","1"
"Never","2008","1-pers.-HH","1938","0.648510703375262","0.631522207492346","0.665499199258178","5"
"Never","2008","(Married) couple without C. ","4382","0.610134232166562","0.598740582637874","0.621527881695251","5"
"Never","2008","Single parent ","617","0.574602791808861","0.545143951635143","0.604061631982579","5"
"Never","2008","Couple + C. LE 16 ","1594","0.496496436054008","0.479181178178428","0.513811693929587","5"
"Never","2008","Couple + C. GT 16 ","1877","0.564974776167358","0.548176803446009","0.581772748888707","5"
"Never","2008","Couple + C. LE and GT 16","574","0.465925179178334","0.43779491789507","0.494055440461598","5"
"Often","2008","(Married) couple without C. ","562","0.0856336474852668","0.0790967007247103","0.0921705942458232","2"
"Often","2008","1-pers.-HH","228","0.0734071385807011","0.0641270114539144","0.0826872657074879","2"
"Often","2008","Single parent ","113","0.102538673918995","0.0844633461905957","0.120614001647394","2"
"Often","2008","Couple + C. LE 16 ","328","0.0965110609635391","0.0862847360603584","0.10673738586672","2"
"Often","2008","Couple + C. GT 16 ","308","0.085255972391508","0.0757936591671968","0.0947182856158192","2"
"Often","2008","Couple + C. LE and GT 16","143","0.136174327111258","0.116833488704146","0.15551516551837","2"
"Rarely","2008","1-pers.-HH","450","0.147421204481792","0.134806196084189","0.160036212879396","4"
"Rarely","2008","(Married) couple without C. ","1150","0.168277115565308","0.159537457055033","0.177016774075584","4"
"Rarely","2008","Single parent ","180","0.165745017653376","0.143588367199085","0.187901668107666","4"
"Rarely","2008","Couple + C. LE 16 ","650","0.198446832654276","0.184634791146758","0.212258874161795","4"
"Rarely","2008","Couple + C. GT 16 ","616","0.193513036217181","0.180127403262283","0.206898669172078","4"
"Rarely","2008","Couple + C. LE and GT 16","265","0.219816689197395","0.196463656734747","0.243169721660042","4"
"Sometimes","2008","1-pers.-HH","254","0.0795737389935962","0.0699438853668131","0.0892035926203794","3"
"Sometimes","2008","(Married) couple without C. ","650","0.0939794970268544","0.0871627342711912","0.100796259782518","3"
"Sometimes","2008","Single parent ","107","0.1016541868578","0.0836481195166373","0.119660254198964","3"
"Sometimes","2008","Couple + C. LE 16 ","422","0.141208098864059","0.129148207525395","0.153267990202723","3"
"Sometimes","2008","Couple + C. GT 16 ","357","0.0981122886538106","0.088033158328984","0.108191418978637","3"
"Sometimes","2008","Couple + C. LE and GT 16","161","0.138547066006904","0.119065266582807","0.158028865431002","3"
"Very often","2008","1-pers.-HH","164","0.0510872145686487","0.0432527456118093","0.0589216835254881","1"
"Very often","2008","(Married) couple without C. ","295","0.0419755077560084","0.0372908389413132","0.0466601765707036","1"
"Very often","2008","Single parent ","65","0.0554593297609684","0.0418219133922284","0.0690967461297085","1"
"Very often","2008","Couple + C. LE 16 ","209","0.067337571464118","0.0586587533372534","0.0760163895909825","1"
"Very often","2008","Couple + C. GT 16 ","188","0.0581439265701427","0.0502147229132278","0.0660731302270576","1"
"Very often","2008","Couple + C. LE and GT 16","65","0.0395367385061089","0.0285478081059302","0.0505256689062876","1"
"Never","2009","(Married) couple without C. ","","","","","5"
"Never","2009","1-pers.-HH","","","","","5"
"Never","2009","Single parent ","","","","","5"
"Never","2009","Couple + C. LE 16 ","","","","","5"
"Never","2009","Couple + C. GT 16 ","","","","","5"
"Never","2009","Couple + C. LE and GT 16","","","","","5"
"Often","2009","1-pers.-HH","","","","","2"
"Often","2009","(Married) couple without C. ","","","","","2"
"Often","2009","Single parent ","","","","","2"
"Often","2009","Couple + C. LE 16 ","","","","","2"
"Often","2009","Couple + C. GT 16 ","","","","","2"
"Often","2009","Couple + C. LE and GT 16","","","","","2"
"Rarely","2009","(Married) couple without C. ","","","","","4"
"Rarely","2009","1-pers.-HH","","","","","4"
"Rarely","2009","Single parent ","","","","","4"
"Rarely","2009","Couple + C. LE 16 ","","","","","4"
"Rarely","2009","Couple + C. GT 16 ","","","","","4"
"Rarely","2009","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2009","1-pers.-HH","","","","","3"
"Sometimes","2009","Single parent ","","","","","3"
"Sometimes","2009","(Married) couple without C. ","","","","","3"
"Sometimes","2009","Couple + C. GT 16 ","","","","","3"
"Sometimes","2009","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2009","Couple + C. LE 16 ","","","","","3"
"Very often","2009","1-pers.-HH","","","","","1"
"Very often","2009","(Married) couple without C. ","","","","","1"
"Very often","2009","Single parent ","","","","","1"
"Very often","2009","Couple + C. LE 16 ","","","","","1"
"Very often","2009","Couple + C. LE and GT 16","","","","","1"
"Very often","2009","Couple + C. GT 16 ","","","","","1"
"Never","2010","1-pers.-HH","","","","","5"
"Never","2010","Single parent ","","","","","5"
"Never","2010","Couple + C. LE 16 ","","","","","5"
"Never","2010","(Married) couple without C. ","","","","","5"
"Never","2010","Couple + C. GT 16 ","","","","","5"
"Never","2010","Couple + C. LE and GT 16","","","","","5"
"Often","2010","1-pers.-HH","","","","","2"
"Often","2010","(Married) couple without C. ","","","","","2"
"Often","2010","Single parent ","","","","","2"
"Often","2010","Couple + C. LE 16 ","","","","","2"
"Often","2010","Couple + C. GT 16 ","","","","","2"
"Often","2010","Couple + C. LE and GT 16","","","","","2"
"Rarely","2010","1-pers.-HH","","","","","4"
"Rarely","2010","(Married) couple without C. ","","","","","4"
"Rarely","2010","Single parent ","","","","","4"
"Rarely","2010","Couple + C. LE 16 ","","","","","4"
"Rarely","2010","Couple + C. GT 16 ","","","","","4"
"Rarely","2010","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2010","1-pers.-HH","","","","","3"
"Sometimes","2010","(Married) couple without C. ","","","","","3"
"Sometimes","2010","Single parent ","","","","","3"
"Sometimes","2010","Couple + C. GT 16 ","","","","","3"
"Sometimes","2010","Couple + C. LE 16 ","","","","","3"
"Sometimes","2010","Couple + C. LE and GT 16","","","","","3"
"Very often","2010","1-pers.-HH","","","","","1"
"Very often","2010","Single parent ","","","","","1"
"Very often","2010","Couple + C. LE and GT 16","","","","","1"
"Very often","2010","(Married) couple without C. ","","","","","1"
"Very often","2010","Couple + C. LE 16 ","","","","","1"
"Very often","2010","Couple + C. GT 16 ","","","","","1"
"Never","2011","(Married) couple without C. ","","","","","5"
"Never","2011","Single parent ","","","","","5"
"Never","2011","Couple + C. GT 16 ","","","","","5"
"Never","2011","1-pers.-HH","","","","","5"
"Never","2011","Couple + C. LE 16 ","","","","","5"
"Never","2011","Couple + C. LE and GT 16","","","","","5"
"Often","2011","1-pers.-HH","","","","","2"
"Often","2011","(Married) couple without C. ","","","","","2"
"Often","2011","Single parent ","","","","","2"
"Often","2011","Couple + C. LE 16 ","","","","","2"
"Often","2011","Couple + C. GT 16 ","","","","","2"
"Often","2011","Couple + C. LE and GT 16","","","","","2"
"Rarely","2011","1-pers.-HH","","","","","4"
"Rarely","2011","(Married) couple without C. ","","","","","4"
"Rarely","2011","Single parent ","","","","","4"
"Rarely","2011","Couple + C. LE 16 ","","","","","4"
"Rarely","2011","Couple + C. GT 16 ","","","","","4"
"Rarely","2011","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2011","1-pers.-HH","","","","","3"
"Sometimes","2011","Single parent ","","","","","3"
"Sometimes","2011","(Married) couple without C. ","","","","","3"
"Sometimes","2011","Couple + C. LE 16 ","","","","","3"
"Sometimes","2011","Couple + C. GT 16 ","","","","","3"
"Sometimes","2011","Couple + C. LE and GT 16","","","","","3"
"Very often","2011","1-pers.-HH","","","","","1"
"Very often","2011","(Married) couple without C. ","","","","","1"
"Very often","2011","Couple + C. GT 16 ","","","","","1"
"Very often","2011","Single parent ","","","","","1"
"Very often","2011","Couple + C. LE 16 ","","","","","1"
"Very often","2011","Couple + C. LE and GT 16","","","","","1"
"Never","2012","(Married) couple without C. ","","","","","5"
"Never","2012","1-pers.-HH","","","","","5"
"Never","2012","Single parent ","","","","","5"
"Never","2012","Couple + C. LE 16 ","","","","","5"
"Never","2012","Couple + C. GT 16 ","","","","","5"
"Never","2012","Couple + C. LE and GT 16","","","","","5"
"Often","2012","1-pers.-HH","","","","","2"
"Often","2012","(Married) couple without C. ","","","","","2"
"Often","2012","Single parent ","","","","","2"
"Often","2012","Couple + C. LE 16 ","","","","","2"
"Often","2012","Couple + C. LE and GT 16","","","","","2"
"Often","2012","Couple + C. GT 16 ","","","","","2"
"Rarely","2012","1-pers.-HH","","","","","4"
"Rarely","2012","(Married) couple without C. ","","","","","4"
"Rarely","2012","Single parent ","","","","","4"
"Rarely","2012","Couple + C. LE 16 ","","","","","4"
"Rarely","2012","Couple + C. GT 16 ","","","","","4"
"Rarely","2012","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2012","Single parent ","","","","","3"
"Sometimes","2012","1-pers.-HH","","","","","3"
"Sometimes","2012","(Married) couple without C. ","","","","","3"
"Sometimes","2012","Couple + C. GT 16 ","","","","","3"
"Sometimes","2012","Couple + C. LE 16 ","","","","","3"
"Sometimes","2012","Couple + C. LE and GT 16","","","","","3"
"Very often","2012","1-pers.-HH","","","","","1"
"Very often","2012","(Married) couple without C. ","","","","","1"
"Very often","2012","Single parent ","","","","","1"
"Very often","2012","Couple + C. LE 16 ","","","","","1"
"Very often","2012","Couple + C. LE and GT 16","","","","","1"
"Very often","2012","Couple + C. GT 16 ","","","","","1"
"Never","2013","1-pers.-HH","2159","0.616785510386753","0.600853276872209","0.632717743901298","5"
"Never","2013","(Married) couple without C. ","4471","0.590021863988074","0.578981089685492","0.601062638290655","5"
"Never","2013","Single parent ","1345","0.539107941870425","0.519936728828012","0.558279154912839","5"
"Never","2013","Couple + C. LE 16 ","2993","0.482642260393539","0.470449302893208","0.49483521789387","5"
"Never","2013","Couple + C. GT 16 ","1431","0.512572173878604","0.49396819540331","0.531176152353897","5"
"Never","2013","Couple + C. LE and GT 16","873","0.466639137736898","0.444796736282442","0.488481539191354","5"
"Often","2013","1-pers.-HH","346","0.0914353270206548","0.0819898574025405","0.100880796638769","2"
"Often","2013","(Married) couple without C. ","645","0.084560041000004","0.0783143189045483","0.0908057630954596","2"
"Often","2013","Single parent ","342","0.123949494678883","0.111275921737188","0.136623067620577","2"
"Often","2013","Couple + C. LE 16 ","909","0.129298459362668","0.121111318866842","0.137485599858494","2"
"Often","2013","Couple + C. GT 16 ","267","0.084746391669651","0.0743805519570521","0.0951122313822499","2"
"Often","2013","Couple + C. LE and GT 16","271","0.121580415276021","0.107272312579497","0.135888517972545","2"
"Rarely","2013","1-pers.-HH","528","0.154542844513168","0.142697195132748","0.166388493893588","4"
"Rarely","2013","(Married) couple without C. ","1410","0.181004964771561","0.172361835486189","0.189648094056933","4"
"Rarely","2013","Single parent ","359","0.143241630821149","0.129768270561819","0.156714991080478","4"
"Rarely","2013","Couple + C. LE 16 ","1246","0.196035776929163","0.186348829514944","0.205722724343382","4"
"Rarely","2013","Couple + C. LE and GT 16","371","0.176936097490946","0.160228106513708","0.193644088468185","4"
"Rarely","2013","Couple + C. GT 16 ","581","0.232260474898408","0.216543543377467","0.24797740641935","4"
"Sometimes","2013","1-pers.-HH","327","0.081186105136116","0.0722356885088595","0.0901365217633726","3"
"Sometimes","2013","(Married) couple without C. ","772","0.0992026192623954","0.0924920361743172","0.105913202350474","3"
"Sometimes","2013","Single parent ","280","0.105968078349775","0.09413013769546","0.117806019004091","3"
"Sometimes","2013","Couple + C. LE 16 ","783","0.123180280203712","0.115161161175313","0.13119939923211","3"
"Sometimes","2013","Couple + C. GT 16 ","343","0.124175802187098","0.111901406671927","0.136450197702268","3"
"Sometimes","2013","Couple + C. LE and GT 16","301","0.157783919921174","0.141823571514559","0.173744268327788","3"
"Very often","2013","1-pers.-HH","217","0.0560502129433078","0.048512289874008","0.0635881360126077","1"
"Very often","2013","(Married) couple without C. ","325","0.0452105109779662","0.0405465097769941","0.0498745121789384","1"
"Very often","2013","Single parent ","271","0.0877328542797678","0.076852218751103","0.0986134898084326","1"
"Very often","2013","Couple + C. LE 16 ","521","0.0688432231109181","0.0626652941039548","0.0750211521178815","1"
"Very often","2013","Couple + C. GT 16 ","151","0.0462451573662391","0.0384284353943196","0.0540618793381587","1"
"Very often","2013","Couple + C. LE and GT 16","188","0.0770604295749607","0.065384228146143","0.0887366310037783","1"
"Never","2014","(Married) couple without C. ","","","","","5"
"Never","2014","Single parent ","","","","","5"
"Never","2014","Couple + C. GT 16 ","","","","","5"
"Never","2014","Couple + C. LE and GT 16","","","","","5"
"Never","2014","1-pers.-HH","","","","","5"
"Never","2014","Couple + C. LE 16 ","","","","","5"
"Often","2014","1-pers.-HH","","","","","2"
"Often","2014","(Married) couple without C. ","","","","","2"
"Often","2014","Single parent ","","","","","2"
"Often","2014","Couple + C. LE 16 ","","","","","2"
"Often","2014","Couple + C. GT 16 ","","","","","2"
"Often","2014","Couple + C. LE and GT 16","","","","","2"
"Rarely","2014","1-pers.-HH","","","","","4"
"Rarely","2014","(Married) couple without C. ","","","","","4"
"Rarely","2014","Single parent ","","","","","4"
"Rarely","2014","Couple + C. LE 16 ","","","","","4"
"Rarely","2014","Couple + C. LE and GT 16","","","","","4"
"Rarely","2014","Couple + C. GT 16 ","","","","","4"
"Sometimes","2014","1-pers.-HH","","","","","3"
"Sometimes","2014","(Married) couple without C. ","","","","","3"
"Sometimes","2014","Single parent ","","","","","3"
"Sometimes","2014","Couple + C. LE 16 ","","","","","3"
"Sometimes","2014","Couple + C. GT 16 ","","","","","3"
"Sometimes","2014","Couple + C. LE and GT 16","","","","","3"
"Very often","2014","1-pers.-HH","","","","","1"
"Very often","2014","(Married) couple without C. ","","","","","1"
"Very often","2014","Single parent ","","","","","1"
"Very often","2014","Couple + C. GT 16 ","","","","","1"
"Very often","2014","Couple + C. LE 16 ","","","","","1"
"Very often","2014","Couple + C. LE and GT 16","","","","","1"
"Never","2015","1-pers.-HH","","","","","5"
"Never","2015","(Married) couple without C. ","","","","","5"
"Never","2015","Single parent ","","","","","5"
"Never","2015","Couple + C. LE 16 ","","","","","5"
"Never","2015","Couple + C. GT 16 ","","","","","5"
"Never","2015","Couple + C. LE and GT 16","","","","","5"
"Often","2015","1-pers.-HH","","","","","2"
"Often","2015","Single parent ","","","","","2"
"Often","2015","(Married) couple without C. ","","","","","2"
"Often","2015","Couple + C. GT 16 ","","","","","2"
"Often","2015","Couple + C. LE 16 ","","","","","2"
"Often","2015","Couple + C. LE and GT 16","","","","","2"
"Rarely","2015","1-pers.-HH","","","","","4"
"Rarely","2015","Single parent ","","","","","4"
"Rarely","2015","(Married) couple without C. ","","","","","4"
"Rarely","2015","Couple + C. GT 16 ","","","","","4"
"Rarely","2015","Couple + C. LE 16 ","","","","","4"
"Rarely","2015","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2015","1-pers.-HH","","","","","3"
"Sometimes","2015","(Married) couple without C. ","","","","","3"
"Sometimes","2015","Single parent ","","","","","3"
"Sometimes","2015","Couple + C. GT 16 ","","","","","3"
"Sometimes","2015","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2015","Couple + C. LE 16 ","","","","","3"
"Very often","2015","1-pers.-HH","","","","","1"
"Very often","2015","(Married) couple without C. ","","","","","1"
"Very often","2015","Couple + C. LE 16 ","","","","","1"
"Very often","2015","Single parent ","","","","","1"
"Very often","2015","Couple + C. LE and GT 16","","","","","1"
"Very often","2015","Couple + C. GT 16 ","","","","","1"
"Never","2016","1-pers.-HH","","","","","5"
"Never","2016","(Married) couple without C. ","","","","","5"
"Never","2016","Single parent ","","","","","5"
"Never","2016","Couple + C. LE 16 ","","","","","5"
"Never","2016","Couple + C. GT 16 ","","","","","5"
"Never","2016","Couple + C. LE and GT 16","","","","","5"
"Often","2016","1-pers.-HH","","","","","2"
"Often","2016","(Married) couple without C. ","","","","","2"
"Often","2016","Single parent ","","","","","2"
"Often","2016","Couple + C. LE 16 ","","","","","2"
"Often","2016","Couple + C. LE and GT 16","","","","","2"
"Often","2016","Couple + C. GT 16 ","","","","","2"
"Rarely","2016","1-pers.-HH","","","","","4"
"Rarely","2016","Single parent ","","","","","4"
"Rarely","2016","(Married) couple without C. ","","","","","4"
"Rarely","2016","Couple + C. LE 16 ","","","","","4"
"Rarely","2016","Couple + C. GT 16 ","","","","","4"
"Rarely","2016","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2016","(Married) couple without C. ","","","","","3"
"Sometimes","2016","Couple + C. GT 16 ","","","","","3"
"Sometimes","2016","1-pers.-HH","","","","","3"
"Sometimes","2016","Single parent ","","","","","3"
"Sometimes","2016","Couple + C. LE 16 ","","","","","3"
"Sometimes","2016","Couple + C. LE and GT 16","","","","","3"
"Very often","2016","1-pers.-HH","","","","","1"
"Very often","2016","(Married) couple without C. ","","","","","1"
"Very often","2016","Single parent ","","","","","1"
"Very often","2016","Couple + C. GT 16 ","","","","","1"
"Very often","2016","Couple + C. LE and GT 16","","","","","1"
"Very often","2016","Couple + C. LE 16 ","","","","","1"
"Never","2017","1-pers.-HH","","","","","5"
"Never","2017","(Married) couple without C. ","","","","","5"
"Never","2017","Single parent ","","","","","5"
"Never","2017","Couple + C. GT 16 ","","","","","5"
"Never","2017","Couple + C. LE and GT 16","","","","","5"
"Never","2017","Couple + C. LE 16 ","","","","","5"
"Often","2017","1-pers.-HH","","","","","2"
"Often","2017","Single parent ","","","","","2"
"Often","2017","(Married) couple without C. ","","","","","2"
"Often","2017","Couple + C. GT 16 ","","","","","2"
"Often","2017","Couple + C. LE 16 ","","","","","2"
"Often","2017","Couple + C. LE and GT 16","","","","","2"
"Rarely","2017","1-pers.-HH","","","","","4"
"Rarely","2017","(Married) couple without C. ","","","","","4"
"Rarely","2017","Single parent ","","","","","4"
"Rarely","2017","Couple + C. LE 16 ","","","","","4"
"Rarely","2017","Couple + C. LE and GT 16","","","","","4"
"Rarely","2017","Couple + C. GT 16 ","","","","","4"
"Sometimes","2017","1-pers.-HH","","","","","3"
"Sometimes","2017","Single parent ","","","","","3"
"Sometimes","2017","Couple + C. LE 16 ","","","","","3"
"Sometimes","2017","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2017","(Married) couple without C. ","","","","","3"
"Sometimes","2017","Couple + C. GT 16 ","","","","","3"
"Very often","2017","1-pers.-HH","","","","","1"
"Very often","2017","(Married) couple without C. ","","","","","1"
"Very often","2017","Single parent ","","","","","1"
"Very often","2017","Couple + C. LE 16 ","","","","","1"
"Very often","2017","Couple + C. GT 16 ","","","","","1"
"Very often","2017","Couple + C. LE and GT 16","","","","","1"
