"pld0045","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2004","Bremen","East Germany","","","",""
"Very often","2004","North Rhine-Westphalia","West Germany","","","",""
"Very often","2004","North Rhine-Westphalia","East Germany","","","",""
"Very often","2004","Hesse","West Germany","","","",""
"Very often","2004","Hesse","East Germany","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Very often","2004","Baden-Württemberg","West Germany","","","",""
"Very often","2004","Baden-Württemberg","East Germany","","","",""
"Very often","2004","Bavaria","West Germany","","","",""
"Very often","2004","Bavaria","East Germany","","","",""
"Very often","2004","Berlin","West Germany","","","",""
"Very often","2004","Berlin","East Germany","","","",""
"Very often","2004","Brandenburg","West Germany","","","",""
"Very often","2004","Brandenburg","East Germany","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","West Germany","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","East Germany","","","",""
"Very often","2004","Saxony","West Germany","","","",""
"Very often","2004","Saxony","East Germany","","","",""
"Very often","2004","Saxony-Anhalt","West Germany","","","",""
"Very often","2004","Saxony-Anhalt","East Germany","","","",""
"Very often","2004","Thuringia","West Germany","","","",""
"Very often","2004","Thuringia","East Germany","","","",""
"Often","2004","Schleswig-Holstein","West Germany","","","",""
"Often","2004","Schleswig-Holstein","East Germany","","","",""
"Often","2004","Hamburg","West Germany","","","",""
"Often","2004","Hamburg","East Germany","","","",""
"Often","2004","Lower Saxony","West Germany","","","",""
"Often","2004","Lower Saxony","East Germany","","","",""
"Often","2004","Bremen","West Germany","","","",""
"Often","2004","Bremen","East Germany","","","",""
"Often","2004","North Rhine-Westphalia","West Germany","","","",""
"Often","2004","North Rhine-Westphalia","East Germany","","","",""
"Often","2004","Hesse","West Germany","","","",""
"Often","2004","Hesse","East Germany","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Often","2004","Baden-Württemberg","West Germany","","","",""
"Often","2004","Baden-Württemberg","East Germany","","","",""
"Often","2004","Bavaria","West Germany","","","",""
"Often","2004","Bavaria","East Germany","","","",""
"Often","2004","Berlin","West Germany","","","",""
"Often","2004","Berlin","East Germany","","","",""
"Often","2004","Brandenburg","West Germany","","","",""
"Often","2004","Brandenburg","East Germany","","","",""
"Often","2004","Mecklenburg-Western Pomerania","West Germany","","","",""
"Often","2004","Mecklenburg-Western Pomerania","East Germany","","","",""
"Often","2004","Saxony","West Germany","","","",""
"Often","2004","Saxony","East Germany","","","",""
"Often","2004","Saxony-Anhalt","West Germany","","","",""
"Often","2004","Saxony-Anhalt","East Germany","","","",""
"Often","2004","Thuringia","West Germany","","","",""
"Often","2004","Thuringia","East Germany","","","",""
"Sometimes","2004","Schleswig-Holstein","West Germany","","","",""
"Sometimes","2004","Schleswig-Holstein","East Germany","","","",""
"Sometimes","2004","Hamburg","West Germany","","","",""
"Sometimes","2004","Hamburg","East Germany","","","",""
"Sometimes","2004","Lower Saxony","West Germany","","","",""
"Sometimes","2004","Lower Saxony","East Germany","","","",""
"Sometimes","2004","Bremen","West Germany","","","",""
"Sometimes","2004","Bremen","East Germany","","","",""
"Sometimes","2004","North Rhine-Westphalia","West Germany","","","",""
"Sometimes","2004","North Rhine-Westphalia","East Germany","","","",""
"Sometimes","2004","Hesse","West Germany","","","",""
"Sometimes","2004","Hesse","East Germany","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Sometimes","2004","Baden-Württemberg","West Germany","","","",""
"Sometimes","2004","Baden-Württemberg","East Germany","","","",""
"Sometimes","2004","Bavaria","West Germany","","","",""
"Sometimes","2004","Bavaria","East Germany","","","",""
"Sometimes","2004","Berlin","West Germany","","","",""
"Sometimes","2004","Berlin","East Germany","","","",""
"Sometimes","2004","Brandenburg","West Germany","","","",""
"Sometimes","2004","Brandenburg","East Germany","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","West Germany","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","East Germany","","","",""
"Sometimes","2004","Saxony","West Germany","","","",""
"Sometimes","2004","Saxony","East Germany","","","",""
"Sometimes","2004","Saxony-Anhalt","West Germany","","","",""
"Sometimes","2004","Saxony-Anhalt","East Germany","","","",""
"Sometimes","2004","Thuringia","West Germany","","","",""
"Sometimes","2004","Thuringia","East Germany","","","",""
"Rarely","2004","Schleswig-Holstein","West Germany","","","",""
"Rarely","2004","Schleswig-Holstein","East Germany","","","",""
"Rarely","2004","Hamburg","West Germany","","","",""
"Rarely","2004","Hamburg","East Germany","","","",""
"Rarely","2004","Lower Saxony","West Germany","","","",""
"Rarely","2004","Lower Saxony","East Germany","","","",""
"Rarely","2004","Bremen","West Germany","","","",""
"Rarely","2004","Bremen","East Germany","","","",""
"Rarely","2004","North Rhine-Westphalia","West Germany","","","",""
"Rarely","2004","North Rhine-Westphalia","East Germany","","","",""
"Rarely","2004","Hesse","West Germany","","","",""
"Rarely","2004","Hesse","East Germany","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Rarely","2004","Baden-Württemberg","West Germany","","","",""
"Rarely","2004","Baden-Württemberg","East Germany","","","",""
"Rarely","2004","Bavaria","West Germany","","","",""
"Rarely","2004","Bavaria","East Germany","","","",""
"Rarely","2004","Berlin","West Germany","","","",""
"Rarely","2004","Berlin","East Germany","","","",""
"Rarely","2004","Brandenburg","West Germany","","","",""
"Rarely","2004","Brandenburg","East Germany","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","West Germany","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","East Germany","","","",""
"Rarely","2004","Saxony","West Germany","","","",""
"Rarely","2004","Saxony","East Germany","","","",""
"Rarely","2004","Saxony-Anhalt","West Germany","","","",""
"Rarely","2004","Saxony-Anhalt","East Germany","","","",""
"Rarely","2004","Thuringia","West Germany","","","",""
"Rarely","2004","Thuringia","East Germany","","","",""
"Never","2004","Schleswig-Holstein","West Germany","","","",""
"Never","2004","Schleswig-Holstein","East Germany","","","",""
"Never","2004","Hamburg","West Germany","","","",""
"Never","2004","Hamburg","East Germany","","","",""
"Never","2004","Lower Saxony","West Germany","","","",""
"Never","2004","Lower Saxony","East Germany","","","",""
"Never","2004","Bremen","West Germany","","","",""
"Never","2004","Bremen","East Germany","","","",""
"Never","2004","North Rhine-Westphalia","West Germany","","","",""
"Never","2004","North Rhine-Westphalia","East Germany","","","",""
"Never","2004","Hesse","West Germany","","","",""
"Never","2004","Hesse","East Germany","","","",""
"Never","2004","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Never","2004","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Never","2004","Baden-Württemberg","West Germany","","","",""
"Never","2004","Baden-Württemberg","East Germany","","","",""
"Never","2004","Bavaria","West Germany","","","",""
"Never","2004","Bavaria","East Germany","","","",""
"Never","2004","Berlin","West Germany","","","",""
"Never","2004","Berlin","East Germany","","","",""
"Never","2004","Brandenburg","West Germany","","","",""
"Never","2004","Brandenburg","East Germany","","","",""
"Never","2004","Mecklenburg-Western Pomerania","West Germany","","","",""
"Never","2004","Mecklenburg-Western Pomerania","East Germany","","","",""
"Never","2004","Saxony","West Germany","","","",""
"Never","2004","Saxony","East Germany","","","",""
"Never","2004","Saxony-Anhalt","West Germany","","","",""
"Never","2004","Saxony-Anhalt","East Germany","","","",""
"Never","2004","Thuringia","West Germany","","","",""
"Never","2004","Thuringia","East Germany","","","",""
"Very often","2005","Schleswig-Holstein","West Germany","","","",""
"Very often","2005","Schleswig-Holstein","East Germany","","","",""
"Very often","2005","Hamburg","West Germany","","","",""
"Very often","2005","Hamburg","East Germany","","","",""
"Very often","2005","Lower Saxony","West Germany","","","",""
"Very often","2005","Lower Saxony","East Germany","","","",""
"Very often","2005","Bremen","West Germany","","","",""
"Very often","2005","Bremen","East Germany","","","",""
"Very often","2005","North Rhine-Westphalia","West Germany","","","",""
"Very often","2005","North Rhine-Westphalia","East Germany","","","",""
"Very often","2005","Hesse","West Germany","","","",""
"Very often","2005","Hesse","East Germany","","","",""
"Very often","2005","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Very often","2005","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Very often","2005","Baden-Württemberg","West Germany","","","",""
"Very often","2005","Baden-Württemberg","East Germany","","","",""
"Very often","2005","Bavaria","West Germany","","","",""
"Very often","2005","Bavaria","East Germany","","","",""
"Very often","2005","Berlin","West Germany","","","",""
"Very often","2005","Berlin","East Germany","","","",""
"Very often","2005","Brandenburg","West Germany","","","",""
"Very often","2005","Brandenburg","East Germany","","","",""
"Very often","2005","Mecklenburg-Western Pomerania","West Germany","","","",""
"Very often","2005","Mecklenburg-Western Pomerania","East Germany","","","",""
"Very often","2005","Saxony","West Germany","","","",""
"Very often","2005","Saxony","East Germany","","","",""
"Very often","2005","Saxony-Anhalt","West Germany","","","",""
"Very often","2005","Saxony-Anhalt","East Germany","","","",""
"Very often","2005","Thuringia","West Germany","","","",""
"Very often","2005","Thuringia","East Germany","","","",""
"Often","2005","Schleswig-Holstein","West Germany","","","",""
"Often","2005","Schleswig-Holstein","East Germany","","","",""
"Often","2005","Hamburg","West Germany","","","",""
"Often","2005","Hamburg","East Germany","","","",""
"Often","2005","Lower Saxony","West Germany","","","",""
"Often","2005","Lower Saxony","East Germany","","","",""
"Often","2005","Bremen","West Germany","","","",""
"Often","2005","Bremen","East Germany","","","",""
"Often","2005","North Rhine-Westphalia","West Germany","","","",""
"Often","2005","North Rhine-Westphalia","East Germany","","","",""
"Often","2005","Hesse","West Germany","","","",""
"Often","2005","Hesse","East Germany","","","",""
"Often","2005","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Often","2005","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Often","2005","Baden-Württemberg","West Germany","","","",""
"Often","2005","Baden-Württemberg","East Germany","","","",""
"Often","2005","Bavaria","West Germany","","","",""
"Often","2005","Bavaria","East Germany","","","",""
"Often","2005","Berlin","West Germany","","","",""
"Often","2005","Berlin","East Germany","","","",""
"Often","2005","Brandenburg","West Germany","","","",""
"Often","2005","Brandenburg","East Germany","","","",""
"Often","2005","Mecklenburg-Western Pomerania","West Germany","","","",""
"Often","2005","Mecklenburg-Western Pomerania","East Germany","","","",""
"Often","2005","Saxony","West Germany","","","",""
"Often","2005","Saxony","East Germany","","","",""
"Often","2005","Saxony-Anhalt","West Germany","","","",""
"Often","2005","Saxony-Anhalt","East Germany","","","",""
"Often","2005","Thuringia","West Germany","","","",""
"Often","2005","Thuringia","East Germany","","","",""
"Sometimes","2005","Schleswig-Holstein","West Germany","","","",""
"Sometimes","2005","Schleswig-Holstein","East Germany","","","",""
"Sometimes","2005","Hamburg","West Germany","","","",""
"Sometimes","2005","Hamburg","East Germany","","","",""
"Sometimes","2005","Lower Saxony","West Germany","","","",""
"Sometimes","2005","Lower Saxony","East Germany","","","",""
"Sometimes","2005","Bremen","West Germany","","","",""
"Sometimes","2005","Bremen","East Germany","","","",""
"Sometimes","2005","North Rhine-Westphalia","West Germany","","","",""
"Sometimes","2005","North Rhine-Westphalia","East Germany","","","",""
"Sometimes","2005","Hesse","West Germany","","","",""
"Sometimes","2005","Hesse","East Germany","","","",""
"Sometimes","2005","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Sometimes","2005","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Sometimes","2005","Baden-Württemberg","West Germany","","","",""
"Sometimes","2005","Baden-Württemberg","East Germany","","","",""
"Sometimes","2005","Bavaria","West Germany","","","",""
"Sometimes","2005","Bavaria","East Germany","","","",""
"Sometimes","2005","Berlin","West Germany","","","",""
"Sometimes","2005","Berlin","East Germany","","","",""
"Sometimes","2005","Brandenburg","West Germany","","","",""
"Sometimes","2005","Brandenburg","East Germany","","","",""
"Sometimes","2005","Mecklenburg-Western Pomerania","West Germany","","","",""
"Sometimes","2005","Mecklenburg-Western Pomerania","East Germany","","","",""
"Sometimes","2005","Saxony","West Germany","","","",""
"Sometimes","2005","Saxony","East Germany","","","",""
"Sometimes","2005","Saxony-Anhalt","West Germany","","","",""
"Sometimes","2005","Saxony-Anhalt","East Germany","","","",""
"Sometimes","2005","Thuringia","West Germany","","","",""
"Sometimes","2005","Thuringia","East Germany","","","",""
"Rarely","2005","Schleswig-Holstein","West Germany","","","",""
"Rarely","2005","Schleswig-Holstein","East Germany","","","",""
"Rarely","2005","Hamburg","West Germany","","","",""
"Rarely","2005","Hamburg","East Germany","","","",""
"Rarely","2005","Lower Saxony","West Germany","","","",""
"Rarely","2005","Lower Saxony","East Germany","","","",""
"Rarely","2005","Bremen","West Germany","","","",""
"Rarely","2005","Bremen","East Germany","","","",""
"Rarely","2005","North Rhine-Westphalia","West Germany","","","",""
"Rarely","2005","North Rhine-Westphalia","East Germany","","","",""
"Rarely","2005","Hesse","West Germany","","","",""
"Rarely","2005","Hesse","East Germany","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Rarely","2005","Baden-Württemberg","West Germany","","","",""
"Rarely","2005","Baden-Württemberg","East Germany","","","",""
"Rarely","2005","Bavaria","West Germany","","","",""
"Rarely","2005","Bavaria","East Germany","","","",""
"Rarely","2005","Berlin","West Germany","","","",""
"Rarely","2005","Berlin","East Germany","","","",""
"Rarely","2005","Brandenburg","West Germany","","","",""
"Rarely","2005","Brandenburg","East Germany","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","West Germany","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","East Germany","","","",""
"Rarely","2005","Saxony","West Germany","","","",""
"Rarely","2005","Saxony","East Germany","","","",""
"Rarely","2005","Saxony-Anhalt","West Germany","","","",""
"Rarely","2005","Saxony-Anhalt","East Germany","","","",""
"Rarely","2005","Thuringia","West Germany","","","",""
"Rarely","2005","Thuringia","East Germany","","","",""
"Never","2005","Schleswig-Holstein","West Germany","","","",""
"Never","2005","Schleswig-Holstein","East Germany","","","",""
"Never","2005","Hamburg","West Germany","","","",""
"Never","2005","Hamburg","East Germany","","","",""
"Never","2005","Lower Saxony","West Germany","","","",""
"Never","2005","Lower Saxony","East Germany","","","",""
"Never","2005","Bremen","West Germany","","","",""
"Never","2005","Bremen","East Germany","","","",""
"Never","2005","North Rhine-Westphalia","West Germany","","","",""
"Never","2005","North Rhine-Westphalia","East Germany","","","",""
"Never","2005","Hesse","West Germany","","","",""
"Never","2005","Hesse","East Germany","","","",""
"Never","2005","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Never","2005","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Never","2005","Baden-Württemberg","West Germany","","","",""
"Never","2005","Baden-Württemberg","East Germany","","","",""
"Never","2005","Bavaria","West Germany","","","",""
"Never","2005","Bavaria","East Germany","","","",""
"Never","2005","Berlin","West Germany","","","",""
"Never","2005","Berlin","East Germany","","","",""
"Never","2005","Brandenburg","West Germany","","","",""
"Never","2005","Brandenburg","East Germany","","","",""
"Never","2005","Mecklenburg-Western Pomerania","West Germany","","","",""
"Never","2005","Mecklenburg-Western Pomerania","East Germany","","","",""
"Never","2005","Saxony","West Germany","","","",""
"Never","2005","Saxony","East Germany","","","",""
"Never","2005","Saxony-Anhalt","West Germany","","","",""
"Never","2005","Saxony-Anhalt","East Germany","","","",""
"Never","2005","Thuringia","West Germany","","","",""
"Never","2005","Thuringia","East Germany","","","",""
"Very often","2006","Schleswig-Holstein","West Germany","","","",""
"Very often","2006","Schleswig-Holstein","East Germany","","","",""
"Very often","2006","Hamburg","West Germany","","","",""
"Very often","2006","Hamburg","East Germany","","","",""
"Very often","2006","Lower Saxony","West Germany","","","",""
"Very often","2006","Lower Saxony","East Germany","","","",""
"Very often","2006","Bremen","West Germany","","","",""
"Very often","2006","Bremen","East Germany","","","",""
"Very often","2006","North Rhine-Westphalia","West Germany","","","",""
"Very often","2006","North Rhine-Westphalia","East Germany","","","",""
"Very often","2006","Hesse","West Germany","","","",""
"Very often","2006","Hesse","East Germany","","","",""
