"pld0045","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Very often","2005","Couple + C. LE 16 ","no migration background","","","","","1"
"Very often","2005","Couple + C. LE 16 ","direct migration background","","","","","1"
"Very often","2005","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Very often","2005","Couple + C. GT 16 ","no migration background","","","","","1"
"Very often","2005","Couple + C. GT 16 ","direct migration background","","","","","1"
"Very often","2005","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Very often","2005","Couple + C. LE and GT 16","no migration background","","","","","1"
"Very often","2005","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Very often","2005","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Never","2006","1-pers.-HH","no migration background","","","","","5"
"Never","2006","1-pers.-HH","direct migration background","","","","","5"
"Never","2006","1-pers.-HH","indirect migration background","","","","","5"
"Never","2006","(Married) couple without C. ","no migration background","","","","","5"
"Never","2006","(Married) couple without C. ","direct migration background","","","","","5"
"Never","2006","Single parent ","no migration background","","","","","5"
"Never","2006","Single parent ","direct migration background","","","","","5"
"Never","2006","Single parent ","indirect migration background","","","","","5"
"Never","2006","Couple + C. LE 16 ","no migration background","","","","","5"
"Never","2006","(Married) couple without C. ","indirect migration background","","","","","5"
"Never","2006","Couple + C. LE 16 ","direct migration background","","","","","5"
"Never","2006","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Never","2006","Couple + C. GT 16 ","direct migration background","","","","","5"
"Never","2006","Couple + C. GT 16 ","no migration background","","","","","5"
"Never","2006","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Never","2006","Couple + C. LE and GT 16","no migration background","","","","","5"
"Never","2006","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Never","2006","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Often","2006","1-pers.-HH","no migration background","","","","","2"
"Often","2006","1-pers.-HH","direct migration background","","","","","2"
"Often","2006","1-pers.-HH","indirect migration background","","","","","2"
"Often","2006","(Married) couple without C. ","indirect migration background","","","","","2"
"Often","2006","(Married) couple without C. ","no migration background","","","","","2"
"Often","2006","(Married) couple without C. ","direct migration background","","","","","2"
"Often","2006","Single parent ","no migration background","","","","","2"
"Often","2006","Single parent ","direct migration background","","","","","2"
"Often","2006","Single parent ","indirect migration background","","","","","2"
"Often","2006","Couple + C. LE 16 ","no migration background","","","","","2"
"Often","2006","Couple + C. LE 16 ","direct migration background","","","","","2"
"Often","2006","Couple + C. GT 16 ","direct migration background","","","","","2"
"Often","2006","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Often","2006","Couple + C. LE and GT 16","no migration background","","","","","2"
"Often","2006","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Often","2006","Couple + C. GT 16 ","no migration background","","","","","2"
"Often","2006","Couple + C. LE and GT 16","direct migration background","","","","","2"
"Often","2006","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Rarely","2006","(Married) couple without C. ","indirect migration background","","","","","4"
"Rarely","2006","(Married) couple without C. ","direct migration background","","","","","4"
"Rarely","2006","1-pers.-HH","no migration background","","","","","4"
"Rarely","2006","1-pers.-HH","direct migration background","","","","","4"
"Rarely","2006","(Married) couple without C. ","no migration background","","","","","4"
"Rarely","2006","1-pers.-HH","indirect migration background","","","","","4"
"Rarely","2006","Single parent ","no migration background","","","","","4"
"Rarely","2006","Single parent ","direct migration background","","","","","4"
"Rarely","2006","Single parent ","indirect migration background","","","","","4"
"Rarely","2006","Couple + C. LE 16 ","no migration background","","","","","4"
"Rarely","2006","Couple + C. LE 16 ","direct migration background","","","","","4"
"Rarely","2006","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Rarely","2006","Couple + C. GT 16 ","no migration background","","","","","4"
"Rarely","2006","Couple + C. GT 16 ","direct migration background","","","","","4"
"Rarely","2006","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Rarely","2006","Couple + C. LE and GT 16","no migration background","","","","","4"
"Rarely","2006","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Rarely","2006","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Sometimes","2006","1-pers.-HH","no migration background","","","","","3"
"Sometimes","2006","1-pers.-HH","direct migration background","","","","","3"
"Sometimes","2006","1-pers.-HH","indirect migration background","","","","","3"
"Sometimes","2006","(Married) couple without C. ","no migration background","","","","","3"
"Sometimes","2006","(Married) couple without C. ","indirect migration background","","","","","3"
"Sometimes","2006","Single parent ","direct migration background","","","","","3"
"Sometimes","2006","Couple + C. LE 16 ","direct migration background","","","","","3"
"Sometimes","2006","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Sometimes","2006","(Married) couple without C. ","direct migration background","","","","","3"
"Sometimes","2006","Single parent ","no migration background","","","","","3"
"Sometimes","2006","Single parent ","indirect migration background","","","","","3"
"Sometimes","2006","Couple + C. LE 16 ","no migration background","","","","","3"
"Sometimes","2006","Couple + C. GT 16 ","no migration background","","","","","3"
"Sometimes","2006","Couple + C. GT 16 ","direct migration background","","","","","3"
"Sometimes","2006","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Sometimes","2006","Couple + C. LE and GT 16","no migration background","","","","","3"
"Sometimes","2006","Couple + C. LE and GT 16","direct migration background","","","","","3"
"Sometimes","2006","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Very often","2006","1-pers.-HH","no migration background","","","","","1"
"Very often","2006","1-pers.-HH","direct migration background","","","","","1"
"Very often","2006","1-pers.-HH","indirect migration background","","","","","1"
"Very often","2006","(Married) couple without C. ","no migration background","","","","","1"
"Very often","2006","(Married) couple without C. ","direct migration background","","","","","1"
"Very often","2006","(Married) couple without C. ","indirect migration background","","","","","1"
"Very often","2006","Single parent ","no migration background","","","","","1"
"Very often","2006","Single parent ","direct migration background","","","","","1"
"Very often","2006","Single parent ","indirect migration background","","","","","1"
"Very often","2006","Couple + C. LE 16 ","no migration background","","","","","1"
"Very often","2006","Couple + C. LE 16 ","direct migration background","","","","","1"
"Very often","2006","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Very often","2006","Couple + C. GT 16 ","no migration background","","","","","1"
"Very often","2006","Couple + C. GT 16 ","direct migration background","","","","","1"
"Very often","2006","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Very often","2006","Couple + C. LE and GT 16","no migration background","","","","","1"
"Very often","2006","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Very often","2006","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Never","2007","1-pers.-HH","no migration background","","","","","5"
"Never","2007","1-pers.-HH","direct migration background","","","","","5"
"Never","2007","1-pers.-HH","indirect migration background","","","","","5"
"Never","2007","(Married) couple without C. ","no migration background","","","","","5"
"Never","2007","(Married) couple without C. ","indirect migration background","","","","","5"
"Never","2007","Single parent ","direct migration background","","","","","5"
"Never","2007","Single parent ","indirect migration background","","","","","5"
"Never","2007","Couple + C. LE 16 ","no migration background","","","","","5"
"Never","2007","(Married) couple without C. ","direct migration background","","","","","5"
"Never","2007","Single parent ","no migration background","","","","","5"
"Never","2007","Couple + C. GT 16 ","no migration background","","","","","5"
"Never","2007","Couple + C. GT 16 ","direct migration background","","","","","5"
"Never","2007","Couple + C. LE 16 ","direct migration background","","","","","5"
"Never","2007","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Never","2007","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Never","2007","Couple + C. LE and GT 16","no migration background","","","","","5"
"Never","2007","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Never","2007","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Often","2007","1-pers.-HH","no migration background","","","","","2"
"Often","2007","1-pers.-HH","direct migration background","","","","","2"
"Often","2007","(Married) couple without C. ","indirect migration background","","","","","2"
"Often","2007","1-pers.-HH","indirect migration background","","","","","2"
"Often","2007","(Married) couple without C. ","no migration background","","","","","2"
"Often","2007","(Married) couple without C. ","direct migration background","","","","","2"
"Often","2007","Single parent ","no migration background","","","","","2"
"Often","2007","Single parent ","direct migration background","","","","","2"
"Often","2007","Single parent ","indirect migration background","","","","","2"
"Often","2007","Couple + C. LE 16 ","no migration background","","","","","2"
"Often","2007","Couple + C. LE 16 ","direct migration background","","","","","2"
"Often","2007","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Often","2007","Couple + C. GT 16 ","no migration background","","","","","2"
"Often","2007","Couple + C. GT 16 ","direct migration background","","","","","2"
