"pld0043","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Rarely","2003","(3b) higher tertiary education","693","0.254077892322587","0.237436756068755","0.270719028576419"
"Never","2003","(0) in school","12","","",""
"Never","2003","(1a) inadequately completed","101","0.380588042330527","0.322887353060177","0.438288731600876"
"Never","2003","(1b) general elementary school","743","0.364777505307257","0.344392289345298","0.385162721269216"
"Never","2003","(1c) basic vocational qualification","1636","0.277728814913879","0.266663969857621","0.288793659970136"
"Never","2003","(2b) intermediate general qualification","56","0.109767742874971","0.085396449242346","0.134139036507596"
"Never","2003","(2a) intermediate vocational","587","0.122548093829286","0.113587839383554","0.131508348275019"
"Never","2003","(2c_gen) general maturity certificate","48","0.0525413466713984","0.0376898823740585","0.0673928109687382"
"Never","2003","(2c_voc) vocational maturity certificate","169","0.116691518893032","0.100825806537882","0.132557231248181"
"Never","2003","(3a) lower tertiary education","167","0.105952821823563","0.0914075999694132","0.120498043677713"
"Never","2003","(3b) higher tertiary education","195","0.0896749955370758","0.0787533842405951","0.100596606833556"
"Very often","2004","(0) in school","","","",""
"Very often","2004","(1a) inadequately completed","","","",""
"Very often","2004","(1b) general elementary school","","","",""
"Very often","2004","(1c) basic vocational qualification","","","",""
"Very often","2004","(2b) intermediate general qualification","","","",""
"Very often","2004","(2a) intermediate vocational","","","",""
"Very often","2004","(2c_gen) general maturity certificate","","","",""
"Very often","2004","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","(3a) lower tertiary education","","","",""
"Very often","2004","(3b) higher tertiary education","","","",""
"Often","2004","(0) in school","","","",""
"Often","2004","(1a) inadequately completed","","","",""
"Often","2004","(1b) general elementary school","","","",""
"Often","2004","(1c) basic vocational qualification","","","",""
"Often","2004","(2b) intermediate general qualification","","","",""
"Often","2004","(2a) intermediate vocational","","","",""
"Often","2004","(2c_gen) general maturity certificate","","","",""
"Often","2004","(2c_voc) vocational maturity certificate","","","",""
"Often","2004","(3a) lower tertiary education","","","",""
"Often","2004","(3b) higher tertiary education","","","",""
"Sometimes","2004","(0) in school","","","",""
"Sometimes","2004","(1a) inadequately completed","","","",""
"Sometimes","2004","(1b) general elementary school","","","",""
"Sometimes","2004","(1c) basic vocational qualification","","","",""
"Sometimes","2004","(2b) intermediate general qualification","","","",""
"Sometimes","2004","(2a) intermediate vocational","","","",""
"Sometimes","2004","(2c_gen) general maturity certificate","","","",""
"Sometimes","2004","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2004","(3a) lower tertiary education","","","",""
"Sometimes","2004","(3b) higher tertiary education","","","",""
"Rarely","2004","(0) in school","","","",""
"Rarely","2004","(1a) inadequately completed","","","",""
"Rarely","2004","(1b) general elementary school","","","",""
"Rarely","2004","(1c) basic vocational qualification","","","",""
"Rarely","2004","(2b) intermediate general qualification","","","",""
"Rarely","2004","(2a) intermediate vocational","","","",""
"Rarely","2004","(2c_gen) general maturity certificate","","","",""
"Rarely","2004","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2004","(3a) lower tertiary education","","","",""
"Rarely","2004","(3b) higher tertiary education","","","",""
"Never","2004","(0) in school","","","",""
"Never","2004","(1a) inadequately completed","","","",""
"Never","2004","(1b) general elementary school","","","",""
"Never","2004","(1c) basic vocational qualification","","","",""
"Never","2004","(2b) intermediate general qualification","","","",""
"Never","2004","(2a) intermediate vocational","","","",""
"Never","2004","(2c_gen) general maturity certificate","","","",""
"Never","2004","(2c_voc) vocational maturity certificate","","","",""
"Never","2004","(3a) lower tertiary education","","","",""
"Never","2004","(3b) higher tertiary education","","","",""
"Very often","2005","(0) in school","","","",""
"Very often","2005","(1a) inadequately completed","","","",""
"Very often","2005","(1b) general elementary school","","","",""
"Very often","2005","(1c) basic vocational qualification","","","",""
"Very often","2005","(2b) intermediate general qualification","","","",""
"Very often","2005","(2a) intermediate vocational","","","",""
"Very often","2005","(2c_gen) general maturity certificate","","","",""
"Very often","2005","(2c_voc) vocational maturity certificate","","","",""
"Very often","2005","(3a) lower tertiary education","","","",""
"Very often","2005","(3b) higher tertiary education","","","",""
"Often","2005","(0) in school","","","",""
"Often","2005","(1a) inadequately completed","","","",""
"Often","2005","(1b) general elementary school","","","",""
"Often","2005","(1c) basic vocational qualification","","","",""
"Often","2005","(2b) intermediate general qualification","","","",""
"Often","2005","(2a) intermediate vocational","","","",""
"Often","2005","(2c_gen) general maturity certificate","","","",""
"Often","2005","(2c_voc) vocational maturity certificate","","","",""
"Often","2005","(3a) lower tertiary education","","","",""
"Often","2005","(3b) higher tertiary education","","","",""
"Sometimes","2005","(0) in school","","","",""
"Sometimes","2005","(1a) inadequately completed","","","",""
"Sometimes","2005","(1b) general elementary school","","","",""
"Sometimes","2005","(1c) basic vocational qualification","","","",""
"Sometimes","2005","(2b) intermediate general qualification","","","",""
"Sometimes","2005","(2a) intermediate vocational","","","",""
"Sometimes","2005","(2c_gen) general maturity certificate","","","",""
"Sometimes","2005","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2005","(3a) lower tertiary education","","","",""
"Sometimes","2005","(3b) higher tertiary education","","","",""
"Rarely","2005","(0) in school","","","",""
"Rarely","2005","(1a) inadequately completed","","","",""
"Rarely","2005","(1b) general elementary school","","","",""
"Rarely","2005","(1c) basic vocational qualification","","","",""
"Rarely","2005","(2b) intermediate general qualification","","","",""
"Rarely","2005","(2a) intermediate vocational","","","",""
"Rarely","2005","(2c_gen) general maturity certificate","","","",""
"Rarely","2005","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2005","(3a) lower tertiary education","","","",""
"Rarely","2005","(3b) higher tertiary education","","","",""
"Never","2005","(0) in school","","","",""
"Never","2005","(1a) inadequately completed","","","",""
"Never","2005","(1b) general elementary school","","","",""
"Never","2005","(1c) basic vocational qualification","","","",""
"Never","2005","(2b) intermediate general qualification","","","",""
"Never","2005","(2a) intermediate vocational","","","",""
"Never","2005","(2c_gen) general maturity certificate","","","",""
"Never","2005","(2c_voc) vocational maturity certificate","","","",""
"Never","2005","(3a) lower tertiary education","","","",""
"Never","2005","(3b) higher tertiary education","","","",""
"Very often","2006","(0) in school","","","",""
"Very often","2006","(1a) inadequately completed","","","",""
"Very often","2006","(1b) general elementary school","","","",""
"Very often","2006","(1c) basic vocational qualification","","","",""
"Very often","2006","(2b) intermediate general qualification","","","",""
"Very often","2006","(2a) intermediate vocational","","","",""
"Very often","2006","(2c_gen) general maturity certificate","","","",""
"Very often","2006","(2c_voc) vocational maturity certificate","","","",""
"Very often","2006","(3a) lower tertiary education","","","",""
"Very often","2006","(3b) higher tertiary education","","","",""
"Often","2006","(0) in school","","","",""
"Often","2006","(1a) inadequately completed","","","",""
"Often","2006","(1b) general elementary school","","","",""
"Often","2006","(1c) basic vocational qualification","","","",""
"Often","2006","(2b) intermediate general qualification","","","",""
"Often","2006","(2a) intermediate vocational","","","",""
"Often","2006","(2c_gen) general maturity certificate","","","",""
"Often","2006","(2c_voc) vocational maturity certificate","","","",""
"Often","2006","(3a) lower tertiary education","","","",""
"Often","2006","(3b) higher tertiary education","","","",""
"Sometimes","2006","(0) in school","","","",""
"Sometimes","2006","(1a) inadequately completed","","","",""
"Sometimes","2006","(1b) general elementary school","","","",""
"Sometimes","2006","(1c) basic vocational qualification","","","",""
"Sometimes","2006","(2b) intermediate general qualification","","","",""
"Sometimes","2006","(2a) intermediate vocational","","","",""
"Sometimes","2006","(2c_gen) general maturity certificate","","","",""
"Sometimes","2006","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2006","(3a) lower tertiary education","","","",""
"Sometimes","2006","(3b) higher tertiary education","","","",""
"Rarely","2006","(0) in school","","","",""
"Rarely","2006","(1a) inadequately completed","","","",""
"Rarely","2006","(1b) general elementary school","","","",""
"Rarely","2006","(1c) basic vocational qualification","","","",""
"Rarely","2006","(2b) intermediate general qualification","","","",""
"Rarely","2006","(2a) intermediate vocational","","","",""
"Rarely","2006","(2c_gen) general maturity certificate","","","",""
"Rarely","2006","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2006","(3a) lower tertiary education","","","",""
"Rarely","2006","(3b) higher tertiary education","","","",""
"Never","2006","(0) in school","","","",""
"Never","2006","(1a) inadequately completed","","","",""
"Never","2006","(1b) general elementary school","","","",""
"Never","2006","(1c) basic vocational qualification","","","",""
"Never","2006","(2b) intermediate general qualification","","","",""
"Never","2006","(2a) intermediate vocational","","","",""
"Never","2006","(2c_gen) general maturity certificate","","","",""
"Never","2006","(2c_voc) vocational maturity certificate","","","",""
"Never","2006","(3a) lower tertiary education","","","",""
"Never","2006","(3b) higher tertiary education","","","",""
"Very often","2007","(0) in school","","","",""
"Very often","2007","(1a) inadequately completed","","","",""
"Very often","2007","(1b) general elementary school","","","",""
"Very often","2007","(1c) basic vocational qualification","","","",""
"Very often","2007","(2b) intermediate general qualification","","","",""
"Very often","2007","(2a) intermediate vocational","","","",""
"Very often","2007","(2c_gen) general maturity certificate","","","",""
"Very often","2007","(2c_voc) vocational maturity certificate","","","",""
"Very often","2007","(3a) lower tertiary education","","","",""
"Very often","2007","(3b) higher tertiary education","","","",""
"Often","2007","(0) in school","","","",""
"Often","2007","(1a) inadequately completed","","","",""
"Often","2007","(1b) general elementary school","","","",""
"Often","2007","(1c) basic vocational qualification","","","",""
"Often","2007","(2b) intermediate general qualification","","","",""
"Often","2007","(2a) intermediate vocational","","","",""
"Often","2007","(2c_gen) general maturity certificate","","","",""
"Often","2007","(2c_voc) vocational maturity certificate","","","",""
"Often","2007","(3a) lower tertiary education","","","",""
"Often","2007","(3b) higher tertiary education","","","",""
"Sometimes","2007","(0) in school","","","",""
"Sometimes","2007","(1a) inadequately completed","","","",""
"Sometimes","2007","(1b) general elementary school","","","",""
"Sometimes","2007","(1c) basic vocational qualification","","","",""
"Sometimes","2007","(2b) intermediate general qualification","","","",""
"Sometimes","2007","(2a) intermediate vocational","","","",""
"Sometimes","2007","(2c_gen) general maturity certificate","","","",""
"Sometimes","2007","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2007","(3a) lower tertiary education","","","",""
"Sometimes","2007","(3b) higher tertiary education","","","",""
"Rarely","2007","(0) in school","","","",""
"Rarely","2007","(1a) inadequately completed","","","",""
"Rarely","2007","(1b) general elementary school","","","",""
"Rarely","2007","(1c) basic vocational qualification","","","",""
"Rarely","2007","(2b) intermediate general qualification","","","",""
"Rarely","2007","(2a) intermediate vocational","","","",""
"Rarely","2007","(2c_gen) general maturity certificate","","","",""
"Rarely","2007","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2007","(3a) lower tertiary education","","","",""
"Rarely","2007","(3b) higher tertiary education","","","",""
"Never","2007","(0) in school","","","",""
"Never","2007","(1a) inadequately completed","","","",""
"Never","2007","(1b) general elementary school","","","",""
"Never","2007","(1c) basic vocational qualification","","","",""
"Never","2007","(2b) intermediate general qualification","","","",""
"Never","2007","(2a) intermediate vocational","","","",""
"Never","2007","(2c_gen) general maturity certificate","","","",""
"Never","2007","(2c_voc) vocational maturity certificate","","","",""
"Never","2007","(3a) lower tertiary education","","","",""
"Never","2007","(3b) higher tertiary education","","","",""
"Very often","2008","(0) in school","38","0.0834265857374353","0.0547016573103405","0.11215151416453"
"Very often","2008","(1a) inadequately completed","3","","",""
"Very often","2008","(1b) general elementary school","24","","",""
"Very often","2008","(1c) basic vocational qualification","90","0.019333537145556","0.0156003504568623","0.0230667238342496"
"Very often","2008","(2b) intermediate general qualification","24","","",""
"Very often","2008","(2a) intermediate vocational","137","0.0314027935926027","0.0263775850468444","0.0364280021383611"
"Very often","2008","(2c_gen) general maturity certificate","53","0.0636637326947438","0.0460487637466171","0.0812787016428705"
"Very often","2008","(2c_voc) vocational maturity certificate","55","0.0309664283913464","0.02202864354723","0.0399042132354628"
"Very often","2008","(3a) lower tertiary education","59","0.0383895036531931","0.029101913754116","0.0476770935522701"
"Very often","2008","(3b) higher tertiary education","101","0.0387590673477856","0.0312585309190944","0.0462596037764767"
"Often","2008","(0) in school","122","0.343224129538388","0.293904410653656","0.39254384842312"
"Often","2008","(1a) inadequately completed","14","","",""
"Often","2008","(1b) general elementary school","127","0.080862716781266","0.0673816470796256","0.0943437864829065"
"Often","2008","(1c) basic vocational qualification","529","0.102947865723341","0.0947087442875258","0.111186987159156"
"Often","2008","(2b) intermediate general qualification","110","0.216799237127369","0.180012607683254","0.253585866571484"
"Often","2008","(2a) intermediate vocational","710","0.156002924384028","0.145547656085343","0.166458192682714"
"Often","2008","(2c_gen) general maturity certificate","211","0.270408958891929","0.23836322703532","0.302454690748538"
"Often","2008","(2c_voc) vocational maturity certificate","271","0.183897037802617","0.163908787951702","0.203885287653531"
"Often","2008","(3a) lower tertiary education","306","0.178486744138168","0.159976699933119","0.196996788343216"
"Often","2008","(3b) higher tertiary education","506","0.211228864926498","0.195367459180479","0.227090270672517"
"Sometimes","2008","(0) in school","143","0.410656182461199","0.35955315367195","0.461759211250448"
"Sometimes","2008","(1a) inadequately completed","45","0.21579373592165","0.156192245976298","0.275395225867002"
"Sometimes","2008","(1b) general elementary school","387","0.246443510806946","0.225133846951824","0.267753174662068"
"Sometimes","2008","(1c) basic vocational qualification","1496","0.293880581192795","0.281529985331093","0.306231177054496"
"Sometimes","2008","(2b) intermediate general qualification","192","0.39382798318581","0.350208973674306","0.437446992697313"
"Sometimes","2008","(2a) intermediate vocational","1707","0.370397898841194","0.356483460430318","0.38431233725207"
"Sometimes","2008","(2c_gen) general maturity certificate","282","0.378870683576416","0.343871619990012","0.41386974716282"
"Sometimes","2008","(2c_voc) vocational maturity certificate","551","0.370824401692949","0.345902279949161","0.395746523436737"
"Sometimes","2008","(3a) lower tertiary education","601","0.353325661653653","0.330219511642285","0.376431811665021"
"Sometimes","2008","(3b) higher tertiary education","1018","0.38689832324034","0.367972524682282","0.405824121798399"
"Rarely","2008","(0) in school","46","0.140677778576955","0.104560596034813","0.176794961119096"
"Rarely","2008","(1a) inadequately completed","50","0.333917637252632","0.265588459823039","0.402246814682226"
"Rarely","2008","(1b) general elementary school","432","0.275255230385538","0.253169064310718","0.297341396460358"
"Rarely","2008","(1c) basic vocational qualification","1710","0.309446708593737","0.296913711990028","0.321979705197447"
"Rarely","2008","(2b) intermediate general qualification","109","0.232339276807469","0.194636742056711","0.270041811558226"
"Rarely","2008","(2a) intermediate vocational","1461","0.313750275397026","0.300380272828216","0.327120277965836"
"Rarely","2008","(2c_gen) general maturity certificate","148","0.213574983117618","0.18400685981315","0.243143106422086"
"Rarely","2008","(2c_voc) vocational maturity certificate","414","0.308618442916172","0.284785111149282","0.332451774683062"
"Rarely","2008","(3a) lower tertiary education","506","0.319642662899189","0.297100369877119","0.342184955921259"
"Rarely","2008","(3b) higher tertiary education","707","0.276600993553129","0.259218768867592","0.293983218238666"
"Never","2008","(0) in school","7","","",""
"Never","2008","(1a) inadequately completed","71","0.352221039167979","0.283015060838579","0.421427017497378"
"Never","2008","(1b) general elementary school","601","0.379796092750275","0.355796576177035","0.403795609323514"
"Never","2008","(1c) basic vocational qualification","1401","0.274391307344571","0.262293691174821","0.286488923514321"
"Never","2008","(2b) intermediate general qualification","47","0.115704639635607","0.0871485568630453","0.144260722408169"
"Never","2008","(2a) intermediate vocational","612","0.128446107785148","0.118805466160451","0.138086749409845"
"Never","2008","(2c_gen) general maturity certificate","44","0.0734816417192929","0.0546565825485872","0.0923067008899985"
"Never","2008","(2c_voc) vocational maturity certificate","152","0.105693689196916","0.0898307886392605","0.121556589754572"
"Never","2008","(3a) lower tertiary education","172","0.110155427655797","0.0950213062780329","0.125289549033561"
"Never","2008","(3b) higher tertiary education","212","0.0865127509322468","0.0755887722663422","0.0974367295981515"
"Very often","2009","(0) in school","","","",""
"Very often","2009","(1a) inadequately completed","","","",""
"Very often","2009","(1b) general elementary school","","","",""
"Very often","2009","(1c) basic vocational qualification","","","",""
"Very often","2009","(2b) intermediate general qualification","","","",""
"Very often","2009","(2a) intermediate vocational","","","",""
"Very often","2009","(2c_gen) general maturity certificate","","","",""
"Very often","2009","(2c_voc) vocational maturity certificate","","","",""
"Very often","2009","(3a) lower tertiary education","","","",""
"Very often","2009","(3b) higher tertiary education","","","",""
"Often","2009","(0) in school","","","",""
"Often","2009","(1a) inadequately completed","","","",""
"Often","2009","(1b) general elementary school","","","",""
"Often","2009","(1c) basic vocational qualification","","","",""
"Often","2009","(2b) intermediate general qualification","","","",""
"Often","2009","(2a) intermediate vocational","","","",""
"Often","2009","(2c_gen) general maturity certificate","","","",""
"Often","2009","(2c_voc) vocational maturity certificate","","","",""
"Often","2009","(3a) lower tertiary education","","","",""
"Often","2009","(3b) higher tertiary education","","","",""
"Sometimes","2009","(0) in school","","","",""
"Sometimes","2009","(1a) inadequately completed","","","",""
"Sometimes","2009","(1b) general elementary school","","","",""
"Sometimes","2009","(1c) basic vocational qualification","","","",""
"Sometimes","2009","(2b) intermediate general qualification","","","",""
"Sometimes","2009","(2a) intermediate vocational","","","",""
"Sometimes","2009","(2c_gen) general maturity certificate","","","",""
"Sometimes","2009","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2009","(3a) lower tertiary education","","","",""
"Sometimes","2009","(3b) higher tertiary education","","","",""
"Rarely","2009","(0) in school","","","",""
"Rarely","2009","(1a) inadequately completed","","","",""
"Rarely","2009","(1b) general elementary school","","","",""
"Rarely","2009","(1c) basic vocational qualification","","","",""
"Rarely","2009","(2b) intermediate general qualification","","","",""
"Rarely","2009","(2a) intermediate vocational","","","",""
"Rarely","2009","(2c_gen) general maturity certificate","","","",""
"Rarely","2009","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2009","(3a) lower tertiary education","","","",""
"Rarely","2009","(3b) higher tertiary education","","","",""
"Never","2009","(0) in school","","","",""
"Never","2009","(1a) inadequately completed","","","",""
"Never","2009","(1b) general elementary school","","","",""
"Never","2009","(1c) basic vocational qualification","","","",""
"Never","2009","(2b) intermediate general qualification","","","",""
"Never","2009","(2a) intermediate vocational","","","",""
"Never","2009","(2c_gen) general maturity certificate","","","",""
"Never","2009","(2c_voc) vocational maturity certificate","","","",""
"Never","2009","(3a) lower tertiary education","","","",""
"Never","2009","(3b) higher tertiary education","","","",""
"Very often","2010","(0) in school","","","",""
"Very often","2010","(1a) inadequately completed","","","",""
"Very often","2010","(1b) general elementary school","","","",""
"Very often","2010","(1c) basic vocational qualification","","","",""
"Very often","2010","(2b) intermediate general qualification","","","",""
"Very often","2010","(2a) intermediate vocational","","","",""
"Very often","2010","(2c_gen) general maturity certificate","","","",""
"Very often","2010","(2c_voc) vocational maturity certificate","","","",""
"Very often","2010","(3a) lower tertiary education","","","",""
"Very often","2010","(3b) higher tertiary education","","","",""
"Often","2010","(0) in school","","","",""
"Often","2010","(1a) inadequately completed","","","",""
"Often","2010","(1b) general elementary school","","","",""
"Often","2010","(1c) basic vocational qualification","","","",""
"Often","2010","(2b) intermediate general qualification","","","",""
"Often","2010","(2a) intermediate vocational","","","",""
"Often","2010","(2c_gen) general maturity certificate","","","",""
"Often","2010","(2c_voc) vocational maturity certificate","","","",""
"Often","2010","(3a) lower tertiary education","","","",""
"Often","2010","(3b) higher tertiary education","","","",""
"Sometimes","2010","(0) in school","","","",""
"Sometimes","2010","(1a) inadequately completed","","","",""
"Sometimes","2010","(1b) general elementary school","","","",""
"Sometimes","2010","(1c) basic vocational qualification","","","",""
"Sometimes","2010","(2b) intermediate general qualification","","","",""
"Sometimes","2010","(2a) intermediate vocational","","","",""
"Sometimes","2010","(2c_gen) general maturity certificate","","","",""
"Sometimes","2010","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2010","(3a) lower tertiary education","","","",""
"Sometimes","2010","(3b) higher tertiary education","","","",""
"Rarely","2010","(0) in school","","","",""
"Rarely","2010","(1a) inadequately completed","","","",""
"Rarely","2010","(1b) general elementary school","","","",""
"Rarely","2010","(1c) basic vocational qualification","","","",""
"Rarely","2010","(2b) intermediate general qualification","","","",""
"Rarely","2010","(2a) intermediate vocational","","","",""
"Rarely","2010","(2c_gen) general maturity certificate","","","",""
"Rarely","2010","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2010","(3a) lower tertiary education","","","",""
"Rarely","2010","(3b) higher tertiary education","","","",""
"Never","2010","(0) in school","","","",""
"Never","2010","(1a) inadequately completed","","","",""
"Never","2010","(1b) general elementary school","","","",""
"Never","2010","(1c) basic vocational qualification","","","",""
"Never","2010","(2b) intermediate general qualification","","","",""
"Never","2010","(2a) intermediate vocational","","","",""
"Never","2010","(2c_gen) general maturity certificate","","","",""
"Never","2010","(2c_voc) vocational maturity certificate","","","",""
"Never","2010","(3a) lower tertiary education","","","",""
"Never","2010","(3b) higher tertiary education","","","",""
"Very often","2011","(0) in school","","","",""
"Very often","2011","(1a) inadequately completed","","","",""
"Very often","2011","(1b) general elementary school","","","",""
"Very often","2011","(1c) basic vocational qualification","","","",""
"Very often","2011","(2b) intermediate general qualification","","","",""
"Very often","2011","(2a) intermediate vocational","","","",""
"Very often","2011","(2c_gen) general maturity certificate","","","",""
"Very often","2011","(2c_voc) vocational maturity certificate","","","",""
"Very often","2011","(3a) lower tertiary education","","","",""
"Very often","2011","(3b) higher tertiary education","","","",""
"Often","2011","(0) in school","","","",""
"Often","2011","(1a) inadequately completed","","","",""
"Often","2011","(1b) general elementary school","","","",""
"Often","2011","(1c) basic vocational qualification","","","",""
"Often","2011","(2b) intermediate general qualification","","","",""
"Often","2011","(2a) intermediate vocational","","","",""
"Often","2011","(2c_gen) general maturity certificate","","","",""
"Often","2011","(2c_voc) vocational maturity certificate","","","",""
"Often","2011","(3a) lower tertiary education","","","",""
"Often","2011","(3b) higher tertiary education","","","",""
"Sometimes","2011","(0) in school","","","",""
"Sometimes","2011","(1a) inadequately completed","","","",""
"Sometimes","2011","(1b) general elementary school","","","",""
"Sometimes","2011","(1c) basic vocational qualification","","","",""
"Sometimes","2011","(2b) intermediate general qualification","","","",""
"Sometimes","2011","(2a) intermediate vocational","","","",""
"Sometimes","2011","(2c_gen) general maturity certificate","","","",""
"Sometimes","2011","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2011","(3a) lower tertiary education","","","",""
"Sometimes","2011","(3b) higher tertiary education","","","",""
"Rarely","2011","(0) in school","","","",""
"Rarely","2011","(1a) inadequately completed","","","",""
"Rarely","2011","(1b) general elementary school","","","",""
"Rarely","2011","(1c) basic vocational qualification","","","",""
"Rarely","2011","(2b) intermediate general qualification","","","",""
"Rarely","2011","(2a) intermediate vocational","","","",""
"Rarely","2011","(2c_gen) general maturity certificate","","","",""
"Rarely","2011","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2011","(3a) lower tertiary education","","","",""
"Rarely","2011","(3b) higher tertiary education","","","",""
"Never","2011","(0) in school","","","",""
"Never","2011","(1a) inadequately completed","","","",""
"Never","2011","(1b) general elementary school","","","",""
"Never","2011","(1c) basic vocational qualification","","","",""
"Never","2011","(2b) intermediate general qualification","","","",""
"Never","2011","(2a) intermediate vocational","","","",""
"Never","2011","(2c_gen) general maturity certificate","","","",""
"Never","2011","(2c_voc) vocational maturity certificate","","","",""
"Never","2011","(3a) lower tertiary education","","","",""
"Never","2011","(3b) higher tertiary education","","","",""
"Very often","2012","(0) in school","","","",""
"Very often","2012","(1a) inadequately completed","","","",""
"Very often","2012","(1b) general elementary school","","","",""
"Very often","2012","(1c) basic vocational qualification","","","",""
"Very often","2012","(2b) intermediate general qualification","","","",""
"Very often","2012","(2a) intermediate vocational","","","",""
"Very often","2012","(2c_gen) general maturity certificate","","","",""
"Very often","2012","(2c_voc) vocational maturity certificate","","","",""
"Very often","2012","(3a) lower tertiary education","","","",""
"Very often","2012","(3b) higher tertiary education","","","",""
"Often","2012","(0) in school","","","",""
"Often","2012","(1a) inadequately completed","","","",""
"Often","2012","(1b) general elementary school","","","",""
"Often","2012","(1c) basic vocational qualification","","","",""
"Often","2012","(2b) intermediate general qualification","","","",""
"Often","2012","(2a) intermediate vocational","","","",""
"Often","2012","(2c_gen) general maturity certificate","","","",""
