"pld0043","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Bremen","(1c) basic vocational qualification","2","","",""
"Very often","2003","Bremen","(2b) intermediate general qualification","","","",""
"Very often","2003","Bremen","(2a) intermediate vocational","1","","",""
"Very often","2003","Bremen","(2c_gen) general maturity certificate","2","","",""
"Very often","2003","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Bremen","(3a) lower tertiary education","","","",""
"Very often","2003","Bremen","(3b) higher tertiary education","2","","",""
"Very often","2003","North Rhine-Westphalia","(0) in school","18","","",""
"Very often","2003","North Rhine-Westphalia","(1a) inadequately completed","3","","",""
"Very often","2003","North Rhine-Westphalia","(1b) general elementary school","11","","",""
"Very often","2003","North Rhine-Westphalia","(1c) basic vocational qualification","25","","",""
"Very often","2003","North Rhine-Westphalia","(2b) intermediate general qualification","13","","",""
"Very often","2003","North Rhine-Westphalia","(2a) intermediate vocational","37","0.0481938280080334","0.0334443873256554","0.0629432686904114"
"Very often","2003","North Rhine-Westphalia","(2c_gen) general maturity certificate","23","","",""
"Very often","2003","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","20","","",""
"Very often","2003","North Rhine-Westphalia","(3a) lower tertiary education","16","","",""
"Very often","2003","North Rhine-Westphalia","(3b) higher tertiary education","23","","",""
"Very often","2003","Hesse","(0) in school","6","","",""
"Very often","2003","Hesse","(1a) inadequately completed","","","",""
"Very often","2003","Hesse","(1b) general elementary school","7","","",""
"Very often","2003","Hesse","(1c) basic vocational qualification","15","","",""
"Very often","2003","Hesse","(2b) intermediate general qualification","5","","",""
"Very often","2003","Hesse","(2a) intermediate vocational","10","","",""
"Very often","2003","Hesse","(2c_gen) general maturity certificate","7","","",""
"Very often","2003","Hesse","(2c_voc) vocational maturity certificate","5","","",""
"Very often","2003","Hesse","(3a) lower tertiary education","9","","",""
"Very often","2003","Hesse","(3b) higher tertiary education","9","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(0) in school","4","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(1a) inadequately completed","1","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(1b) general elementary school","5","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","8","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","3","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","9","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","3","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","4","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","7","","",""
"Very often","2003","Baden-Württemberg","(0) in school","4","","",""
"Very often","2003","Baden-Württemberg","(1a) inadequately completed","","","",""
"Very often","2003","Baden-Württemberg","(1b) general elementary school","8","","",""
"Very often","2003","Baden-Württemberg","(1c) basic vocational qualification","15","","",""
"Very often","2003","Baden-Württemberg","(2b) intermediate general qualification","3","","",""
"Very often","2003","Baden-Württemberg","(2a) intermediate vocational","28","","",""
"Very often","2003","Baden-Württemberg","(2c_gen) general maturity certificate","12","","",""
"Very often","2003","Baden-Württemberg","(2c_voc) vocational maturity certificate","8","","",""
"Very often","2003","Baden-Württemberg","(3a) lower tertiary education","5","","",""
"Very often","2003","Baden-Württemberg","(3b) higher tertiary education","13","","",""
"Very often","2003","Bavaria","(0) in school","7","","",""
"Very often","2003","Bavaria","(1a) inadequately completed","","","",""
"Very often","2003","Bavaria","(1b) general elementary school","7","","",""
"Very often","2003","Bavaria","(1c) basic vocational qualification","45","0.0391310580150958","0.0276407332671494","0.0506213827630422"
"Very often","2003","Bavaria","(2b) intermediate general qualification","7","","",""
"Very often","2003","Bavaria","(2a) intermediate vocational","25","","",""
"Very often","2003","Bavaria","(2c_gen) general maturity certificate","8","","",""
"Very often","2003","Bavaria","(2c_voc) vocational maturity certificate","8","","",""
"Very often","2003","Bavaria","(3a) lower tertiary education","10","","",""
"Very often","2003","Bavaria","(3b) higher tertiary education","11","","",""
"Very often","2003","Berlin","(0) in school","2","","",""
"Very often","2003","Berlin","(1a) inadequately completed","","","",""
"Very often","2003","Berlin","(1b) general elementary school","1","","",""
"Very often","2003","Berlin","(1c) basic vocational qualification","6","","",""
"Very often","2003","Berlin","(2b) intermediate general qualification","4","","",""
"Very often","2003","Berlin","(2a) intermediate vocational","14","","",""
"Very often","2003","Berlin","(2c_gen) general maturity certificate","9","","",""
"Very often","2003","Berlin","(2c_voc) vocational maturity certificate","4","","",""
"Very often","2003","Berlin","(3a) lower tertiary education","5","","",""
"Very often","2003","Berlin","(3b) higher tertiary education","4","","",""
"Very often","2003","Brandenburg","(0) in school","5","","",""
"Very often","2003","Brandenburg","(1a) inadequately completed","","","",""
"Very often","2003","Brandenburg","(1b) general elementary school","1","","",""
"Very often","2003","Brandenburg","(1c) basic vocational qualification","2","","",""
"Very often","2003","Brandenburg","(2b) intermediate general qualification","2","","",""
"Very often","2003","Brandenburg","(2a) intermediate vocational","13","","",""
"Very often","2003","Brandenburg","(2c_gen) general maturity certificate","3","","",""
"Very often","2003","Brandenburg","(2c_voc) vocational maturity certificate","2","","",""
"Very often","2003","Brandenburg","(3a) lower tertiary education","6","","",""
"Very often","2003","Brandenburg","(3b) higher tertiary education","5","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(0) in school","1","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(1b) general elementary school","2","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","1","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(2a) intermediate vocational","4","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","2","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(3a) lower tertiary education","3","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(3b) higher tertiary education","3","","",""
"Very often","2003","Saxony","(0) in school","3","","",""
"Very often","2003","Saxony","(1a) inadequately completed","","","",""
"Very often","2003","Saxony","(1b) general elementary school","","","",""
"Very often","2003","Saxony","(1c) basic vocational qualification","6","","",""
"Very often","2003","Saxony","(2b) intermediate general qualification","2","","",""
"Very often","2003","Saxony","(2a) intermediate vocational","17","","",""
"Very often","2003","Saxony","(2c_gen) general maturity certificate","5","","",""
"Very often","2003","Saxony","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","Saxony","(3a) lower tertiary education","5","","",""
"Very often","2003","Saxony","(3b) higher tertiary education","5","","",""
"Very often","2003","Saxony-Anhalt","(0) in school","7","","",""
"Very often","2003","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Very often","2003","Saxony-Anhalt","(1b) general elementary school","1","","",""
"Very often","2003","Saxony-Anhalt","(1c) basic vocational qualification","5","","",""
"Very often","2003","Saxony-Anhalt","(2b) intermediate general qualification","3","","",""
"Very often","2003","Saxony-Anhalt","(2a) intermediate vocational","11","","",""
"Very often","2003","Saxony-Anhalt","(2c_gen) general maturity certificate","2","","",""
"Very often","2003","Saxony-Anhalt","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2003","Saxony-Anhalt","(3a) lower tertiary education","2","","",""
"Very often","2003","Saxony-Anhalt","(3b) higher tertiary education","6","","",""
"Very often","2003","Thuringia","(0) in school","2","","",""
"Very often","2003","Thuringia","(1a) inadequately completed","","","",""
"Very often","2003","Thuringia","(1b) general elementary school","1","","",""
"Very often","2003","Thuringia","(1c) basic vocational qualification","5","","",""
"Very often","2003","Thuringia","(2b) intermediate general qualification","4","","",""
"Very often","2003","Thuringia","(2a) intermediate vocational","9","","",""
"Very often","2003","Thuringia","(2c_gen) general maturity certificate","3","","",""
"Very often","2003","Thuringia","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","Thuringia","(3a) lower tertiary education","1","","",""
"Very often","2003","Thuringia","(3b) higher tertiary education","2","","",""
"Often","2003","Schleswig-Holstein","(0) in school","6","","",""
"Often","2003","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Often","2003","Schleswig-Holstein","(1b) general elementary school","5","","",""
"Often","2003","Schleswig-Holstein","(1c) basic vocational qualification","17","","",""
"Often","2003","Schleswig-Holstein","(2b) intermediate general qualification","7","","",""
"Often","2003","Schleswig-Holstein","(2a) intermediate vocational","16","","",""
"Often","2003","Schleswig-Holstein","(2c_gen) general maturity certificate","12","","",""
"Often","2003","Schleswig-Holstein","(2c_voc) vocational maturity certificate","7","","",""
"Often","2003","Schleswig-Holstein","(3a) lower tertiary education","10","","",""
"Often","2003","Schleswig-Holstein","(3b) higher tertiary education","12","","",""
"Often","2003","Hamburg","(0) in school","4","","",""
"Often","2003","Hamburg","(1a) inadequately completed","1","","",""
"Often","2003","Hamburg","(1b) general elementary school","2","","",""
"Often","2003","Hamburg","(1c) basic vocational qualification","3","","",""
"Often","2003","Hamburg","(2b) intermediate general qualification","3","","",""
"Often","2003","Hamburg","(2a) intermediate vocational","16","","",""
"Often","2003","Hamburg","(2c_gen) general maturity certificate","5","","",""
"Often","2003","Hamburg","(2c_voc) vocational maturity certificate","8","","",""
"Often","2003","Hamburg","(3a) lower tertiary education","6","","",""
"Often","2003","Hamburg","(3b) higher tertiary education","11","","",""
"Often","2003","Lower Saxony","(0) in school","25","","",""
"Often","2003","Lower Saxony","(1a) inadequately completed","3","","",""
"Often","2003","Lower Saxony","(1b) general elementary school","23","","",""
"Often","2003","Lower Saxony","(1c) basic vocational qualification","69","0.1048278904694","0.079479035022255","0.130176745916544"
"Often","2003","Lower Saxony","(2b) intermediate general qualification","16","","",""
"Often","2003","Lower Saxony","(2a) intermediate vocational","84","0.161023005510115","0.127969290627967","0.194076720392264"
"Often","2003","Lower Saxony","(2c_gen) general maturity certificate","22","","",""
"Often","2003","Lower Saxony","(2c_voc) vocational maturity certificate","32","0.260481493027882","0.188796242936208","0.332166743119555"
"Often","2003","Lower Saxony","(3a) lower tertiary education","25","","",""
"Often","2003","Lower Saxony","(3b) higher tertiary education","50","0.271098388302757","0.209948172340445","0.332248604265068"
"Often","2003","Bremen","(0) in school","4","","",""
"Often","2003","Bremen","(1a) inadequately completed","","","",""
"Often","2003","Bremen","(1b) general elementary school","","","",""
"Often","2003","Bremen","(1c) basic vocational qualification","6","","",""
"Often","2003","Bremen","(2b) intermediate general qualification","3","","",""
"Often","2003","Bremen","(2a) intermediate vocational","8","","",""
"Often","2003","Bremen","(2c_gen) general maturity certificate","2","","",""
"Often","2003","Bremen","(2c_voc) vocational maturity certificate","4","","",""
"Often","2003","Bremen","(3a) lower tertiary education","4","","",""
"Often","2003","Bremen","(3b) higher tertiary education","6","","",""
"Often","2003","North Rhine-Westphalia","(0) in school","54","0.378943114006946","0.298583697674963","0.459302530338929"
"Often","2003","North Rhine-Westphalia","(1a) inadequately completed","10","","",""
"Often","2003","North Rhine-Westphalia","(1b) general elementary school","49","0.101284035953035","0.074208901064108","0.128359170841962"
"Often","2003","North Rhine-Westphalia","(1c) basic vocational qualification","153","0.094199567743874","0.0790278828839067","0.109371252603841"
"Often","2003","North Rhine-Westphalia","(2b) intermediate general qualification","47","0.336864921090373","0.254986020694174","0.418743821486571"
"Often","2003","North Rhine-Westphalia","(2a) intermediate vocational","149","0.185372339574688","0.158611013895131","0.212133665254246"
"Often","2003","North Rhine-Westphalia","(2c_gen) general maturity certificate","76","0.307462962787089","0.245925565814075","0.369000359760102"
"Often","2003","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","99","0.199171079439426","0.163179530828167","0.235162628050686"
"Often","2003","North Rhine-Westphalia","(3a) lower tertiary education","64","0.258866517935139","0.207284970783318","0.310448065086959"
"Often","2003","North Rhine-Westphalia","(3b) higher tertiary education","123","0.239482389846421","0.204478084304815","0.274486695388028"
"Often","2003","Hesse","(0) in school","10","","",""
"Often","2003","Hesse","(1a) inadequately completed","","","",""
"Often","2003","Hesse","(1b) general elementary school","18","","",""
"Often","2003","Hesse","(1c) basic vocational qualification","45","0.115293409854606","0.0836774092955009","0.146909410413711"
"Often","2003","Hesse","(2b) intermediate general qualification","14","","",""
"Often","2003","Hesse","(2a) intermediate vocational","59","0.193233825262132","0.148703072585798","0.237764577938466"
"Often","2003","Hesse","(2c_gen) general maturity certificate","23","","",""
"Often","2003","Hesse","(2c_voc) vocational maturity certificate","28","","",""
"Often","2003","Hesse","(3a) lower tertiary education","23","","",""
"Often","2003","Hesse","(3b) higher tertiary education","49","0.213456645991577","0.159677756133799","0.267235535849355"
"Often","2003","Rhineland-Palatinate,Saarland","(0) in school","17","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(1a) inadequately completed","1","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(1b) general elementary school","24","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","69","0.175764777656888","0.141571862871438","0.209957692442339"
"Often","2003","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","11","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","48","0.221911426426708","0.167855973109186","0.275966879744231"
"Often","2003","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","21","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","16","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","17","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","23","","",""
"Often","2003","Baden-Württemberg","(0) in school","33","0.431860780947544","0.320497873029762","0.543223688865327"
"Often","2003","Baden-Württemberg","(1a) inadequately completed","1","","",""
"Often","2003","Baden-Württemberg","(1b) general elementary school","40","0.0977663901251347","0.0685144424005692","0.1270183378497"
"Often","2003","Baden-Württemberg","(1c) basic vocational qualification","71","0.0939691296102144","0.0732653363756094","0.114672922844819"
"Often","2003","Baden-Württemberg","(2b) intermediate general qualification","11","","",""
"Often","2003","Baden-Württemberg","(2a) intermediate vocational","71","0.132507234962742","0.103168449257471","0.161846020668014"
"Often","2003","Baden-Württemberg","(2c_gen) general maturity certificate","30","0.269902026037637","0.188055073584019","0.351748978491255"
"Often","2003","Baden-Württemberg","(2c_voc) vocational maturity certificate","38","0.17613977588639","0.123865443517242","0.228414108255538"
"Often","2003","Baden-Württemberg","(3a) lower tertiary education","31","0.167536787067807","0.111562618350546","0.223510955785069"
"Often","2003","Baden-Württemberg","(3b) higher tertiary education","53","0.181451300088656","0.137840930493233","0.225061669684078"
"Often","2003","Bavaria","(0) in school","19","","",""
"Often","2003","Bavaria","(1a) inadequately completed","4","","",""
"Often","2003","Bavaria","(1b) general elementary school","31","0.0903982396830924","0.0592228390413714","0.121573640324813"
"Often","2003","Bavaria","(1c) basic vocational qualification","135","0.12658328158659","0.106880009461568","0.146286553711613"
"Often","2003","Bavaria","(2b) intermediate general qualification","9","","",""
"Often","2003","Bavaria","(2a) intermediate vocational","105","0.147312550791963","0.119526751618287","0.175098349965639"
"Often","2003","Bavaria","(2c_gen) general maturity certificate","33","0.340855301058868","0.250192559071068","0.431518043046668"
"Often","2003","Bavaria","(2c_voc) vocational maturity certificate","40","0.167707860133147","0.115799637551812","0.219616082714482"
"Often","2003","Bavaria","(3a) lower tertiary education","40","0.209443104344618","0.154408221995464","0.264477986693772"
"Often","2003","Bavaria","(3b) higher tertiary education","80","0.208997234680627","0.167899920607155","0.250094548754099"
"Often","2003","Berlin","(0) in school","18","","",""
"Often","2003","Berlin","(1a) inadequately completed","2","","",""
"Often","2003","Berlin","(1b) general elementary school","4","","",""
"Often","2003","Berlin","(1c) basic vocational qualification","16","","",""
"Often","2003","Berlin","(2b) intermediate general qualification","10","","",""
"Often","2003","Berlin","(2a) intermediate vocational","27","","",""
"Often","2003","Berlin","(2c_gen) general maturity certificate","26","","",""
"Often","2003","Berlin","(2c_voc) vocational maturity certificate","11","","",""
"Often","2003","Berlin","(3a) lower tertiary education","21","","",""
"Often","2003","Berlin","(3b) higher tertiary education","27","","",""
"Often","2003","Brandenburg","(0) in school","13","","",""
"Often","2003","Brandenburg","(1a) inadequately completed","","","",""
"Often","2003","Brandenburg","(1b) general elementary school","3","","",""
"Often","2003","Brandenburg","(1c) basic vocational qualification","13","","",""
"Often","2003","Brandenburg","(2b) intermediate general qualification","3","","",""
"Often","2003","Brandenburg","(2a) intermediate vocational","44","0.139254443522759","0.100272031940227","0.178236855105292"
"Often","2003","Brandenburg","(2c_gen) general maturity certificate","12","","",""
"Often","2003","Brandenburg","(2c_voc) vocational maturity certificate","7","","",""
"Often","2003","Brandenburg","(3a) lower tertiary education","12","","",""
"Often","2003","Brandenburg","(3b) higher tertiary education","8","","",""
"Often","2003","Mecklenburg-Western Pomerania","(0) in school","3","","",""
"Often","2003","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Often","2003","Mecklenburg-Western Pomerania","(1b) general elementary school","3","","",""
"Often","2003","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","9","","",""
"Often","2003","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","7","","",""
"Often","2003","Mecklenburg-Western Pomerania","(2a) intermediate vocational","30","0.151555295994936","0.100965052858248","0.202145539131625"
"Often","2003","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","5","","",""
"Often","2003","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Often","2003","Mecklenburg-Western Pomerania","(3a) lower tertiary education","17","","",""
"Often","2003","Mecklenburg-Western Pomerania","(3b) higher tertiary education","11","","",""
"Often","2003","Saxony","(0) in school","20","","",""
"Often","2003","Saxony","(1a) inadequately completed","1","","",""
"Often","2003","Saxony","(1b) general elementary school","8","","",""
"Often","2003","Saxony","(1c) basic vocational qualification","26","","",""
"Often","2003","Saxony","(2b) intermediate general qualification","18","","",""
"Often","2003","Saxony","(2a) intermediate vocational","83","0.148421565767174","0.119927243568455","0.176915887965894"
"Often","2003","Saxony","(2c_gen) general maturity certificate","17","","",""
"Often","2003","Saxony","(2c_voc) vocational maturity certificate","11","","",""
"Often","2003","Saxony","(3a) lower tertiary education","36","0.187579001895677","0.131627729416082","0.243530274375271"
"Often","2003","Saxony","(3b) higher tertiary education","42","0.206556378316811","0.148532783799109","0.264579972834513"
"Often","2003","Saxony-Anhalt","(0) in school","14","","",""
"Often","2003","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Often","2003","Saxony-Anhalt","(1b) general elementary school","7","","",""
"Often","2003","Saxony-Anhalt","(1c) basic vocational qualification","24","","",""
"Often","2003","Saxony-Anhalt","(2b) intermediate general qualification","7","","",""
"Often","2003","Saxony-Anhalt","(2a) intermediate vocational","63","0.222215453307897","0.174033782260043","0.270397124355751"
"Often","2003","Saxony-Anhalt","(2c_gen) general maturity certificate","12","","",""
"Often","2003","Saxony-Anhalt","(2c_voc) vocational maturity certificate","6","","",""
"Often","2003","Saxony-Anhalt","(3a) lower tertiary education","18","","",""
"Often","2003","Saxony-Anhalt","(3b) higher tertiary education","21","","",""
"Often","2003","Thuringia","(0) in school","10","","",""
"Often","2003","Thuringia","(1a) inadequately completed","","","",""
"Often","2003","Thuringia","(1b) general elementary school","3","","",""
"Often","2003","Thuringia","(1c) basic vocational qualification","12","","",""
"Often","2003","Thuringia","(2b) intermediate general qualification","6","","",""
"Often","2003","Thuringia","(2a) intermediate vocational","49","0.187329097074235","0.146394044483915","0.228264149664555"
"Often","2003","Thuringia","(2c_gen) general maturity certificate","10","","",""
"Often","2003","Thuringia","(2c_voc) vocational maturity certificate","5","","",""
"Often","2003","Thuringia","(3a) lower tertiary education","8","","",""
"Often","2003","Thuringia","(3b) higher tertiary education","15","","",""
"Sometimes","2003","Schleswig-Holstein","(0) in school","6","","",""
"Sometimes","2003","Schleswig-Holstein","(1a) inadequately completed","2","","",""
"Sometimes","2003","Schleswig-Holstein","(1b) general elementary school","16","","",""
"Sometimes","2003","Schleswig-Holstein","(1c) basic vocational qualification","79","0.372334468419605","0.308161725096638","0.436507211742572"
"Sometimes","2003","Schleswig-Holstein","(2b) intermediate general qualification","3","","",""
"Sometimes","2003","Schleswig-Holstein","(2a) intermediate vocational","74","0.48133289650914","0.400006559105708","0.562659233912573"
"Sometimes","2003","Schleswig-Holstein","(2c_gen) general maturity certificate","14","","",""
"Sometimes","2003","Schleswig-Holstein","(2c_voc) vocational maturity certificate","21","","",""
"Sometimes","2003","Schleswig-Holstein","(3a) lower tertiary education","24","","",""
"Sometimes","2003","Schleswig-Holstein","(3b) higher tertiary education","34","0.579973896476858","0.459987011924291","0.699960781029425"
"Sometimes","2003","Hamburg","(0) in school","2","","",""
"Sometimes","2003","Hamburg","(1a) inadequately completed","1","","",""
"Sometimes","2003","Hamburg","(1b) general elementary school","8","","",""
"Sometimes","2003","Hamburg","(1c) basic vocational qualification","29","","",""
"Sometimes","2003","Hamburg","(2b) intermediate general qualification","1","","",""
"Sometimes","2003","Hamburg","(2a) intermediate vocational","25","","",""
"Sometimes","2003","Hamburg","(2c_gen) general maturity certificate","8","","",""
"Sometimes","2003","Hamburg","(2c_voc) vocational maturity certificate","11","","",""
"Sometimes","2003","Hamburg","(3a) lower tertiary education","7","","",""
"Sometimes","2003","Hamburg","(3b) higher tertiary education","24","","",""
"Sometimes","2003","Lower Saxony","(0) in school","18","","",""
"Sometimes","2003","Lower Saxony","(1a) inadequately completed","7","","",""
"Sometimes","2003","Lower Saxony","(1b) general elementary school","50","0.180030040625803","0.12704614739058","0.233013933861027"
"Sometimes","2003","Lower Saxony","(1c) basic vocational qualification","176","0.330738783069816","0.291806752848176","0.369670813291456"
"Sometimes","2003","Lower Saxony","(2b) intermediate general qualification","31","0.372682451410525","0.263253900191864","0.482111002629186"
"Sometimes","2003","Lower Saxony","(2a) intermediate vocational","199","0.361090030042453","0.317895488634268","0.404284571450637"
"Sometimes","2003","Lower Saxony","(2c_gen) general maturity certificate","11","","",""
"Sometimes","2003","Lower Saxony","(2c_voc) vocational maturity certificate","55","0.335057619910959","0.257963971064415","0.412151268757504"
"Sometimes","2003","Lower Saxony","(3a) lower tertiary education","35","0.364327223588465","0.268060743406473","0.460593703770456"
"Sometimes","2003","Lower Saxony","(3b) higher tertiary education","71","0.381515013910446","0.314692860116946","0.448337167703946"
"Sometimes","2003","Bremen","(0) in school","","","",""
"Sometimes","2003","Bremen","(1a) inadequately completed","","","",""
"Sometimes","2003","Bremen","(1b) general elementary school","4","","",""
"Sometimes","2003","Bremen","(1c) basic vocational qualification","13","","",""
"Sometimes","2003","Bremen","(2b) intermediate general qualification","4","","",""
"Sometimes","2003","Bremen","(2a) intermediate vocational","13","","",""
"Sometimes","2003","Bremen","(2c_gen) general maturity certificate","2","","",""
"Sometimes","2003","Bremen","(2c_voc) vocational maturity certificate","8","","",""
"Sometimes","2003","Bremen","(3a) lower tertiary education","2","","",""
"Sometimes","2003","Bremen","(3b) higher tertiary education","15","","",""
"Sometimes","2003","North Rhine-Westphalia","(0) in school","52","0.337620836966235","0.259286526433798","0.415955147498673"
"Sometimes","2003","North Rhine-Westphalia","(1a) inadequately completed","28","","",""
"Sometimes","2003","North Rhine-Westphalia","(1b) general elementary school","139","0.279040618738867","0.238789494657579","0.319291742820156"
"Sometimes","2003","North Rhine-Westphalia","(1c) basic vocational qualification","477","0.322765032689229","0.298481826778194","0.347048238600265"
"Sometimes","2003","North Rhine-Westphalia","(2b) intermediate general qualification","48","0.36597424133014","0.282525110623572","0.449423372036707"
"Sometimes","2003","North Rhine-Westphalia","(2a) intermediate vocational","333","0.415352571978426","0.381416540395043","0.449288603561809"
"Sometimes","2003","North Rhine-Westphalia","(2c_gen) general maturity certificate","81","0.399906982297375","0.334577382808184","0.465236581786566"
"Sometimes","2003","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","206","0.440417491075163","0.395678945070807","0.485156037079519"
"Sometimes","2003","North Rhine-Westphalia","(3a) lower tertiary education","109","0.371597249716244","0.314690538080349","0.428503961352139"
"Sometimes","2003","North Rhine-Westphalia","(3b) higher tertiary education","238","0.396834331242204","0.356705827877","0.436962834607408"
"Sometimes","2003","Hesse","(0) in school","10","","",""
"Sometimes","2003","Hesse","(1a) inadequately completed","6","","",""
"Sometimes","2003","Hesse","(1b) general elementary school","37","0.23512605135312","0.16941575746647","0.300836345239769"
"Sometimes","2003","Hesse","(1c) basic vocational qualification","132","0.360239936700213","0.312716312900141","0.407763560500284"
"Sometimes","2003","Hesse","(2b) intermediate general qualification","16","","",""
"Sometimes","2003","Hesse","(2a) intermediate vocational","110","0.349940446764667","0.296148376006343","0.40373251752299"
"Sometimes","2003","Hesse","(2c_gen) general maturity certificate","19","","",""
"Sometimes","2003","Hesse","(2c_voc) vocational maturity certificate","61","0.39561360127287","0.315747994914016","0.475479207631724"
"Sometimes","2003","Hesse","(3a) lower tertiary education","42","0.333962973254545","0.241525846619542","0.426400099889549"
"Sometimes","2003","Hesse","(3b) higher tertiary education","89","0.352442521321503","0.289740871110732","0.415144171532275"
"Sometimes","2003","Rhineland-Palatinate,Saarland","(0) in school","9","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(1a) inadequately completed","5","","",""
