"pld0043","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Sometimes","2003","35-65 y.","1-pers.-HH","427","0.336359220069161","0.310083447508583","0.362634992629739"
"Sometimes","2003","35-65 y.","(Married) couple without C. ","1363","0.334698125645838","0.320163286956014","0.349232964335661"
"Sometimes","2003","35-65 y.","Single parent ","188","0.341024672314703","0.302243617057662","0.379805727571744"
"Sometimes","2003","35-65 y.","Couple + C. LE 16 ","1264","0.416175994157531","0.398487089081174","0.433864899233888"
"Sometimes","2003","35-65 y.","Couple + C. GT 16 ","852","0.350731719986454","0.331242218190842","0.370221221782066"
"Sometimes","2003","35-65 y.","Couple + C. LE and GT 16","437","0.378583144745329","0.350586525623451","0.406579763867207"
"Sometimes","2003","66 and older","1-pers.-HH","190","0.185113345303192","0.161721333287865","0.208505357318519"
"Sometimes","2003","66 and older","(Married) couple without C. ","516","0.222887009615118","0.205492189598566","0.24028182963167"
"Sometimes","2003","66 and older","Single parent ","11","","",""
"Sometimes","2003","66 and older","Couple + C. LE 16 ","1","","",""
"Sometimes","2003","66 and older","Couple + C. GT 16 ","42","0.207128450302544","0.147427292580155","0.266829608024932"
"Sometimes","2003","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","2003","16-34 y.","1-pers.-HH","98","0.139790556191356","0.1136305872462","0.165950525136512"
"Rarely","2003","16-34 y.","(Married) couple without C. ","222","0.20790738291792","0.183064093613194","0.232750672222647"
"Rarely","2003","16-34 y.","Single parent ","87","0.187536719891437","0.152322171717676","0.222751268065198"
"Rarely","2003","16-34 y.","Couple + C. LE 16 ","346","0.247729369529726","0.224977724511123","0.270481014548329"
"Rarely","2003","16-34 y.","Couple + C. GT 16 ","222","0.15041133784988","0.132118643612049","0.168704032087711"
"Rarely","2003","16-34 y.","Couple + C. LE and GT 16","101","0.167841479625258","0.139751830361226","0.195931128889289"
"Rarely","2003","35-65 y.","1-pers.-HH","315","0.248493982696342","0.224460790331325","0.27252717506136"
"Rarely","2003","35-65 y.","(Married) couple without C. ","1341","0.325160562418714","0.310731990016609","0.339589134820819"
"Rarely","2003","35-65 y.","Single parent ","168","0.290290218770064","0.253158184592609","0.32742225294752"
"Rarely","2003","35-65 y.","Couple + C. LE 16 ","809","0.268498502619191","0.252594735484735","0.284402269753648"
"Rarely","2003","35-65 y.","Couple + C. GT 16 ","731","0.321081897240015","0.302013344744886","0.340150449735145"
"Rarely","2003","35-65 y.","Couple + C. LE and GT 16","353","0.293653315003992","0.267365175731284","0.3199414542767"
"Rarely","2003","66 and older","1-pers.-HH","279","0.260353271592238","0.23392347620364","0.286783066980837"
"Rarely","2003","66 and older","(Married) couple without C. ","726","0.330722309468542","0.3110583759765","0.350386242960583"
"Rarely","2003","66 and older","Single parent ","20","","",""
"Rarely","2003","66 and older","Couple + C. LE 16 ","3","","",""
"Rarely","2003","66 and older","Couple + C. GT 16 ","64","0.349808534020786","0.27955029010775","0.420066777933821"
"Rarely","2003","66 and older","Couple + C. LE and GT 16","","","",""
"Never","2003","16-34 y.","1-pers.-HH","26","","",""
"Never","2003","16-34 y.","(Married) couple without C. ","51","0.038297066899939","0.0265483785053287","0.0500457552945494"
"Never","2003","16-34 y.","Single parent ","32","0.0675084044373939","0.0448735098335892","0.0901432990411987"
"Never","2003","16-34 y.","Couple + C. LE 16 ","148","0.0974560602740265","0.081825461919498","0.113086658628555"
"Never","2003","16-34 y.","Couple + C. GT 16 ","44","0.0358437188491076","0.0263308111571596","0.0453566265410557"
"Never","2003","16-34 y.","Couple + C. LE and GT 16","22","","",""
"Never","2003","35-65 y.","1-pers.-HH","216","0.170339607340842","0.149432435305997","0.191246779375688"
"Never","2003","35-65 y.","(Married) couple without C. ","754","0.204733321864489","0.192304645995903","0.217161997733074"
"Never","2003","35-65 y.","Single parent ","107","0.181236678883259","0.149723342744214","0.212750015022304"
"Never","2003","35-65 y.","Couple + C. LE 16 ","261","0.102625359652701","0.0917351633930605","0.113515555912342"
"Never","2003","35-65 y.","Couple + C. GT 16 ","333","0.158587055554865","0.143668060004855","0.173506051104875"
"Never","2003","35-65 y.","Couple + C. LE and GT 16","151","0.147524220203356","0.12705477246536","0.167993667941352"
"Never","2003","66 and older","1-pers.-HH","519","0.488028619613778","0.457923136651635","0.51813410257592"
"Never","2003","66 and older","(Married) couple without C. ","816","0.385652056011537","0.365307861174073","0.405996250849"
"Never","2003","66 and older","Single parent ","40","0.555804549832141","0.441822946251134","0.669786153413149"
"Never","2003","66 and older","Couple + C. LE 16 ","","","",""
"Never","2003","66 and older","Couple + C. GT 16 ","63","0.403334749970251","0.331064484353455","0.475605015587046"
"Never","2003","66 and older","Couple + C. LE and GT 16","2","","",""
"Very often","2004","16-34 y.","1-pers.-HH","","","",""
"Very often","2004","16-34 y.","(Married) couple without C. ","","","",""
"Very often","2004","16-34 y.","Single parent ","","","",""
"Very often","2004","16-34 y.","Couple + C. LE 16 ","","","",""
"Very often","2004","16-34 y.","Couple + C. GT 16 ","","","",""
"Very often","2004","16-34 y.","Couple + C. LE and GT 16","","","",""
"Very often","2004","35-65 y.","1-pers.-HH","","","",""
"Very often","2004","35-65 y.","(Married) couple without C. ","","","",""
"Very often","2004","35-65 y.","Single parent ","","","",""
"Very often","2004","35-65 y.","Couple + C. LE 16 ","","","",""
"Very often","2004","35-65 y.","Couple + C. GT 16 ","","","",""
"Very often","2004","35-65 y.","Couple + C. LE and GT 16","","","",""
"Very often","2004","66 and older","1-pers.-HH","","","",""
"Very often","2004","66 and older","(Married) couple without C. ","","","",""
"Very often","2004","66 and older","Single parent ","","","",""
"Very often","2004","66 and older","Couple + C. LE 16 ","","","",""
"Very often","2004","66 and older","Couple + C. GT 16 ","","","",""
"Very often","2004","66 and older","Couple + C. LE and GT 16","","","",""
"Often","2004","16-34 y.","1-pers.-HH","","","",""
"Often","2004","16-34 y.","(Married) couple without C. ","","","",""
"Often","2004","16-34 y.","Single parent ","","","",""
"Often","2004","16-34 y.","Couple + C. LE 16 ","","","",""
"Often","2004","16-34 y.","Couple + C. GT 16 ","","","",""
"Often","2004","16-34 y.","Couple + C. LE and GT 16","","","",""
"Often","2004","35-65 y.","1-pers.-HH","","","",""
"Often","2004","35-65 y.","(Married) couple without C. ","","","",""
"Often","2004","35-65 y.","Single parent ","","","",""
"Often","2004","35-65 y.","Couple + C. LE 16 ","","","",""
"Often","2004","35-65 y.","Couple + C. GT 16 ","","","",""
"Often","2004","35-65 y.","Couple + C. LE and GT 16","","","",""
"Often","2004","66 and older","1-pers.-HH","","","",""
"Often","2004","66 and older","(Married) couple without C. ","","","",""
"Often","2004","66 and older","Single parent ","","","",""
"Often","2004","66 and older","Couple + C. LE 16 ","","","",""
"Often","2004","66 and older","Couple + C. GT 16 ","","","",""
"Often","2004","66 and older","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","16-34 y.","1-pers.-HH","","","",""
"Sometimes","2004","16-34 y.","(Married) couple without C. ","","","",""
"Sometimes","2004","16-34 y.","Single parent ","","","",""
"Sometimes","2004","16-34 y.","Couple + C. LE 16 ","","","",""
"Sometimes","2004","16-34 y.","Couple + C. GT 16 ","","","",""
"Sometimes","2004","16-34 y.","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","35-65 y.","1-pers.-HH","","","",""
"Sometimes","2004","35-65 y.","(Married) couple without C. ","","","",""
"Sometimes","2004","35-65 y.","Single parent ","","","",""
"Sometimes","2004","35-65 y.","Couple + C. LE 16 ","","","",""
"Sometimes","2004","35-65 y.","Couple + C. GT 16 ","","","",""
"Sometimes","2004","35-65 y.","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","66 and older","1-pers.-HH","","","",""
"Sometimes","2004","66 and older","(Married) couple without C. ","","","",""
"Sometimes","2004","66 and older","Single parent ","","","",""
"Sometimes","2004","66 and older","Couple + C. LE 16 ","","","",""
"Sometimes","2004","66 and older","Couple + C. GT 16 ","","","",""
"Sometimes","2004","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","2004","16-34 y.","1-pers.-HH","","","",""
"Rarely","2004","16-34 y.","(Married) couple without C. ","","","",""
"Rarely","2004","16-34 y.","Single parent ","","","",""
"Rarely","2004","16-34 y.","Couple + C. LE 16 ","","","",""
"Rarely","2004","16-34 y.","Couple + C. GT 16 ","","","",""
"Rarely","2004","16-34 y.","Couple + C. LE and GT 16","","","",""
"Rarely","2004","35-65 y.","1-pers.-HH","","","",""
"Rarely","2004","35-65 y.","(Married) couple without C. ","","","",""
"Rarely","2004","35-65 y.","Single parent ","","","",""
"Rarely","2004","35-65 y.","Couple + C. LE 16 ","","","",""
"Rarely","2004","35-65 y.","Couple + C. GT 16 ","","","",""
"Rarely","2004","35-65 y.","Couple + C. LE and GT 16","","","",""
"Rarely","2004","66 and older","1-pers.-HH","","","",""
"Rarely","2004","66 and older","(Married) couple without C. ","","","",""
"Rarely","2004","66 and older","Single parent ","","","",""
"Rarely","2004","66 and older","Couple + C. LE 16 ","","","",""
"Rarely","2004","66 and older","Couple + C. GT 16 ","","","",""
"Rarely","2004","66 and older","Couple + C. LE and GT 16","","","",""
"Never","2004","16-34 y.","1-pers.-HH","","","",""
"Never","2004","16-34 y.","(Married) couple without C. ","","","",""
"Never","2004","16-34 y.","Single parent ","","","",""
"Never","2004","16-34 y.","Couple + C. LE 16 ","","","",""
"Never","2004","16-34 y.","Couple + C. GT 16 ","","","",""
"Never","2004","16-34 y.","Couple + C. LE and GT 16","","","",""
"Never","2004","35-65 y.","1-pers.-HH","","","",""
"Never","2004","35-65 y.","(Married) couple without C. ","","","",""
"Never","2004","35-65 y.","Single parent ","","","",""
"Never","2004","35-65 y.","Couple + C. LE 16 ","","","",""
"Never","2004","35-65 y.","Couple + C. GT 16 ","","","",""
"Never","2004","35-65 y.","Couple + C. LE and GT 16","","","",""
"Never","2004","66 and older","1-pers.-HH","","","",""
"Never","2004","66 and older","(Married) couple without C. ","","","",""
"Never","2004","66 and older","Single parent ","","","",""
"Never","2004","66 and older","Couple + C. LE 16 ","","","",""
"Never","2004","66 and older","Couple + C. GT 16 ","","","",""
"Never","2004","66 and older","Couple + C. LE and GT 16","","","",""
"Very often","2005","16-34 y.","1-pers.-HH","","","",""
"Very often","2005","16-34 y.","(Married) couple without C. ","","","",""
"Very often","2005","16-34 y.","Single parent ","","","",""
"Very often","2005","16-34 y.","Couple + C. LE 16 ","","","",""
"Very often","2005","16-34 y.","Couple + C. GT 16 ","","","",""
"Very often","2005","16-34 y.","Couple + C. LE and GT 16","","","",""
"Very often","2005","35-65 y.","1-pers.-HH","","","",""
"Very often","2005","35-65 y.","(Married) couple without C. ","","","",""
"Very often","2005","35-65 y.","Single parent ","","","",""
"Very often","2005","35-65 y.","Couple + C. LE 16 ","","","",""
"Very often","2005","35-65 y.","Couple + C. GT 16 ","","","",""
"Very often","2005","35-65 y.","Couple + C. LE and GT 16","","","",""
"Very often","2005","66 and older","1-pers.-HH","","","",""
"Very often","2005","66 and older","(Married) couple without C. ","","","",""
"Very often","2005","66 and older","Single parent ","","","",""
"Very often","2005","66 and older","Couple + C. LE 16 ","","","",""
"Very often","2005","66 and older","Couple + C. GT 16 ","","","",""
"Very often","2005","66 and older","Couple + C. LE and GT 16","","","",""
"Often","2005","16-34 y.","1-pers.-HH","","","",""
"Often","2005","16-34 y.","(Married) couple without C. ","","","",""
"Often","2005","16-34 y.","Single parent ","","","",""
"Often","2005","16-34 y.","Couple + C. LE 16 ","","","",""
"Often","2005","16-34 y.","Couple + C. GT 16 ","","","",""
"Often","2005","16-34 y.","Couple + C. LE and GT 16","","","",""
"Often","2005","35-65 y.","1-pers.-HH","","","",""
"Often","2005","35-65 y.","(Married) couple without C. ","","","",""
"Often","2005","35-65 y.","Single parent ","","","",""
"Often","2005","35-65 y.","Couple + C. LE 16 ","","","",""
"Often","2005","35-65 y.","Couple + C. GT 16 ","","","",""
"Often","2005","35-65 y.","Couple + C. LE and GT 16","","","",""
"Often","2005","66 and older","1-pers.-HH","","","",""
"Often","2005","66 and older","(Married) couple without C. ","","","",""
"Often","2005","66 and older","Single parent ","","","",""
"Often","2005","66 and older","Couple + C. LE 16 ","","","",""
"Often","2005","66 and older","Couple + C. GT 16 ","","","",""
"Often","2005","66 and older","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","16-34 y.","1-pers.-HH","","","",""
"Sometimes","2005","16-34 y.","(Married) couple without C. ","","","",""
"Sometimes","2005","16-34 y.","Single parent ","","","",""
"Sometimes","2005","16-34 y.","Couple + C. LE 16 ","","","",""
"Sometimes","2005","16-34 y.","Couple + C. GT 16 ","","","",""
"Sometimes","2005","16-34 y.","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","35-65 y.","1-pers.-HH","","","",""
"Sometimes","2005","35-65 y.","(Married) couple without C. ","","","",""
"Sometimes","2005","35-65 y.","Single parent ","","","",""
"Sometimes","2005","35-65 y.","Couple + C. LE 16 ","","","",""
"Sometimes","2005","35-65 y.","Couple + C. GT 16 ","","","",""
"Sometimes","2005","35-65 y.","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","66 and older","1-pers.-HH","","","",""
"Sometimes","2005","66 and older","(Married) couple without C. ","","","",""
"Sometimes","2005","66 and older","Single parent ","","","",""
"Sometimes","2005","66 and older","Couple + C. LE 16 ","","","",""
"Sometimes","2005","66 and older","Couple + C. GT 16 ","","","",""
"Sometimes","2005","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","2005","16-34 y.","1-pers.-HH","","","",""
"Rarely","2005","16-34 y.","(Married) couple without C. ","","","",""
"Rarely","2005","16-34 y.","Single parent ","","","",""
"Rarely","2005","16-34 y.","Couple + C. LE 16 ","","","",""
"Rarely","2005","16-34 y.","Couple + C. GT 16 ","","","",""
"Rarely","2005","16-34 y.","Couple + C. LE and GT 16","","","",""
"Rarely","2005","35-65 y.","1-pers.-HH","","","",""
"Rarely","2005","35-65 y.","(Married) couple without C. ","","","",""
"Rarely","2005","35-65 y.","Single parent ","","","",""
"Rarely","2005","35-65 y.","Couple + C. LE 16 ","","","",""
"Rarely","2005","35-65 y.","Couple + C. GT 16 ","","","",""
"Rarely","2005","35-65 y.","Couple + C. LE and GT 16","","","",""
"Rarely","2005","66 and older","1-pers.-HH","","","",""
"Rarely","2005","66 and older","(Married) couple without C. ","","","",""
"Rarely","2005","66 and older","Single parent ","","","",""
"Rarely","2005","66 and older","Couple + C. LE 16 ","","","",""
"Rarely","2005","66 and older","Couple + C. GT 16 ","","","",""
"Rarely","2005","66 and older","Couple + C. LE and GT 16","","","",""
"Never","2005","16-34 y.","1-pers.-HH","","","",""
"Never","2005","16-34 y.","(Married) couple without C. ","","","",""
"Never","2005","16-34 y.","Single parent ","","","",""
"Never","2005","16-34 y.","Couple + C. LE 16 ","","","",""
"Never","2005","16-34 y.","Couple + C. GT 16 ","","","",""
"Never","2005","16-34 y.","Couple + C. LE and GT 16","","","",""
"Never","2005","35-65 y.","1-pers.-HH","","","",""
"Never","2005","35-65 y.","(Married) couple without C. ","","","",""
"Never","2005","35-65 y.","Single parent ","","","",""
"Never","2005","35-65 y.","Couple + C. LE 16 ","","","",""
"Never","2005","35-65 y.","Couple + C. GT 16 ","","","",""
"Never","2005","35-65 y.","Couple + C. LE and GT 16","","","",""
"Never","2005","66 and older","1-pers.-HH","","","",""
"Never","2005","66 and older","(Married) couple without C. ","","","",""
"Never","2005","66 and older","Single parent ","","","",""
"Never","2005","66 and older","Couple + C. LE 16 ","","","",""
"Never","2005","66 and older","Couple + C. GT 16 ","","","",""
"Never","2005","66 and older","Couple + C. LE and GT 16","","","",""
"Very often","2006","16-34 y.","1-pers.-HH","","","",""
"Very often","2006","16-34 y.","(Married) couple without C. ","","","",""
"Very often","2006","16-34 y.","Single parent ","","","",""
"Very often","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"Very often","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"Very often","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"Very often","2006","35-65 y.","1-pers.-HH","","","",""
"Very often","2006","35-65 y.","(Married) couple without C. ","","","",""
"Very often","2006","35-65 y.","Single parent ","","","",""
"Very often","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"Very often","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"Very often","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"Very often","2006","66 and older","1-pers.-HH","","","",""
"Very often","2006","66 and older","(Married) couple without C. ","","","",""
"Very often","2006","66 and older","Single parent ","","","",""
"Very often","2006","66 and older","Couple + C. LE 16 ","","","",""
"Very often","2006","66 and older","Couple + C. GT 16 ","","","",""
"Very often","2006","66 and older","Couple + C. LE and GT 16","","","",""
"Often","2006","16-34 y.","1-pers.-HH","","","",""
"Often","2006","16-34 y.","(Married) couple without C. ","","","",""
"Often","2006","16-34 y.","Single parent ","","","",""
"Often","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"Often","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"Often","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"Often","2006","35-65 y.","1-pers.-HH","","","",""
"Often","2006","35-65 y.","(Married) couple without C. ","","","",""
"Often","2006","35-65 y.","Single parent ","","","",""
"Often","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"Often","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"Often","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"Often","2006","66 and older","1-pers.-HH","","","",""
"Often","2006","66 and older","(Married) couple without C. ","","","",""
"Often","2006","66 and older","Single parent ","","","",""
"Often","2006","66 and older","Couple + C. LE 16 ","","","",""
"Often","2006","66 and older","Couple + C. GT 16 ","","","",""
"Often","2006","66 and older","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","16-34 y.","1-pers.-HH","","","",""
"Sometimes","2006","16-34 y.","(Married) couple without C. ","","","",""
"Sometimes","2006","16-34 y.","Single parent ","","","",""
"Sometimes","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"Sometimes","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"Sometimes","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","35-65 y.","1-pers.-HH","","","",""
"Sometimes","2006","35-65 y.","(Married) couple without C. ","","","",""
"Sometimes","2006","35-65 y.","Single parent ","","","",""
"Sometimes","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"Sometimes","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"Sometimes","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","66 and older","1-pers.-HH","","","",""
"Sometimes","2006","66 and older","(Married) couple without C. ","","","",""
"Sometimes","2006","66 and older","Single parent ","","","",""
"Sometimes","2006","66 and older","Couple + C. LE 16 ","","","",""
"Sometimes","2006","66 and older","Couple + C. GT 16 ","","","",""
"Sometimes","2006","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","2006","16-34 y.","1-pers.-HH","","","",""
"Rarely","2006","16-34 y.","(Married) couple without C. ","","","",""
"Rarely","2006","16-34 y.","Single parent ","","","",""
"Rarely","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"Rarely","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"Rarely","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"Rarely","2006","35-65 y.","1-pers.-HH","","","",""
"Rarely","2006","35-65 y.","(Married) couple without C. ","","","",""
"Rarely","2006","35-65 y.","Single parent ","","","",""
"Rarely","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"Rarely","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"Rarely","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"Rarely","2006","66 and older","1-pers.-HH","","","",""
"Rarely","2006","66 and older","(Married) couple without C. ","","","",""
"Rarely","2006","66 and older","Single parent ","","","",""
"Rarely","2006","66 and older","Couple + C. LE 16 ","","","",""
"Rarely","2006","66 and older","Couple + C. GT 16 ","","","",""
"Rarely","2006","66 and older","Couple + C. LE and GT 16","","","",""
"Never","2006","16-34 y.","1-pers.-HH","","","",""
"Never","2006","16-34 y.","(Married) couple without C. ","","","",""
"Never","2006","16-34 y.","Single parent ","","","",""
"Never","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"Never","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"Never","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"Never","2006","35-65 y.","1-pers.-HH","","","",""
"Never","2006","35-65 y.","(Married) couple without C. ","","","",""
"Never","2006","35-65 y.","Single parent ","","","",""
"Never","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"Never","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"Never","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"Never","2006","66 and older","1-pers.-HH","","","",""
"Never","2006","66 and older","(Married) couple without C. ","","","",""
"Never","2006","66 and older","Single parent ","","","",""
"Never","2006","66 and older","Couple + C. LE 16 ","","","",""
"Never","2006","66 and older","Couple + C. GT 16 ","","","",""
"Never","2006","66 and older","Couple + C. LE and GT 16","","","",""
"Very often","2007","16-34 y.","1-pers.-HH","","","",""
"Very often","2007","16-34 y.","(Married) couple without C. ","","","",""
"Very often","2007","16-34 y.","Single parent ","","","",""
"Very often","2007","16-34 y.","Couple + C. LE 16 ","","","",""
"Very often","2007","16-34 y.","Couple + C. GT 16 ","","","",""
"Very often","2007","16-34 y.","Couple + C. LE and GT 16","","","",""
"Very often","2007","35-65 y.","1-pers.-HH","","","",""
"Very often","2007","35-65 y.","(Married) couple without C. ","","","",""
"Very often","2007","35-65 y.","Single parent ","","","",""
"Very often","2007","35-65 y.","Couple + C. LE 16 ","","","",""
"Very often","2007","35-65 y.","Couple + C. GT 16 ","","","",""
"Very often","2007","35-65 y.","Couple + C. LE and GT 16","","","",""
"Very often","2007","66 and older","1-pers.-HH","","","",""
"Very often","2007","66 and older","(Married) couple without C. ","","","",""
"Very often","2007","66 and older","Single parent ","","","",""
"Very often","2007","66 and older","Couple + C. LE 16 ","","","",""
"Very often","2007","66 and older","Couple + C. GT 16 ","","","",""
"Very often","2007","66 and older","Couple + C. LE and GT 16","","","",""
"Often","2007","16-34 y.","1-pers.-HH","","","",""
"Often","2007","16-34 y.","(Married) couple without C. ","","","",""
"Often","2007","16-34 y.","Single parent ","","","",""
"Often","2007","16-34 y.","Couple + C. LE 16 ","","","",""
"Often","2007","16-34 y.","Couple + C. GT 16 ","","","",""
"Often","2007","16-34 y.","Couple + C. LE and GT 16","","","",""
"Often","2007","35-65 y.","1-pers.-HH","","","",""
"Often","2007","35-65 y.","(Married) couple without C. ","","","",""
"Often","2007","35-65 y.","Single parent ","","","",""
"Often","2007","35-65 y.","Couple + C. LE 16 ","","","",""
"Often","2007","35-65 y.","Couple + C. GT 16 ","","","",""
"Often","2007","35-65 y.","Couple + C. LE and GT 16","","","",""
"Often","2007","66 and older","1-pers.-HH","","","",""
"Often","2007","66 and older","(Married) couple without C. ","","","",""
"Often","2007","66 and older","Single parent ","","","",""
"Often","2007","66 and older","Couple + C. LE 16 ","","","",""
"Often","2007","66 and older","Couple + C. GT 16 ","","","",""
"Often","2007","66 and older","Couple + C. LE and GT 16","","","",""
"Sometimes","2007","16-34 y.","1-pers.-HH","","","",""
"Sometimes","2007","16-34 y.","(Married) couple without C. ","","","",""
"Sometimes","2007","16-34 y.","Single parent ","","","",""
"Sometimes","2007","16-34 y.","Couple + C. LE 16 ","","","",""
"Sometimes","2007","16-34 y.","Couple + C. GT 16 ","","","",""
"Sometimes","2007","16-34 y.","Couple + C. LE and GT 16","","","",""
"Sometimes","2007","35-65 y.","1-pers.-HH","","","",""
"Sometimes","2007","35-65 y.","(Married) couple without C. ","","","",""
