"pld0043","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Never","2007","Couple + C. GT 16 ","","","",""
"Never","2007","Couple + C. LE and GT 16","","","",""
"Very often","2008","1-pers.-HH","105","0.033765836528908","0.0273248457169915","0.0402068273408244"
"Very often","2008","(Married) couple without C. ","159","0.0215147211986747","0.0181247241128283","0.0249047182845211"
"Very often","2008","Single parent ","34","0.0246380346694568","0.0154012589256737","0.03387481041324"
"Very often","2008","Couple + C. LE 16 ","127","0.0389625529215147","0.0322653652539323","0.045659740589097"
"Very often","2008","Couple + C. GT 16 ","123","0.0381716276747564","0.0316782724580419","0.044664982891471"
"Very often","2008","Couple + C. LE and GT 16","53","0.0371823018819758","0.0265081193623112","0.0478564844016405"
"Often","2008","1-pers.-HH","482","0.154984486424319","0.142079748659482","0.167889224189156"
"Often","2008","(Married) couple without C. ","841","0.112408547539312","0.105028476551322","0.119788618527302"
"Often","2008","Single parent ","227","0.204594071512886","0.180557340967823","0.228630802057948"
"Often","2008","Couple + C. LE 16 ","581","0.180672674756953","0.16735668146542","0.193988668048487"
"Often","2008","Couple + C. GT 16 ","615","0.179032191956361","0.166040112787435","0.192024271125287"
"Often","2008","Couple + C. LE and GT 16","219","0.164954159674301","0.144016349875597","0.185891969473004"
"Sometimes","2008","1-pers.-HH","936","0.310997912531835","0.29449115643485","0.327504668628821"
"Sometimes","2008","(Married) couple without C. ","2208","0.31319150691606","0.302355303917937","0.324027709914183"
"Sometimes","2008","Single parent ","386","0.364285990636435","0.335612102497421","0.392959878775449"
"Sometimes","2008","Couple + C. LE 16 ","1220","0.360794877877342","0.344174192982942","0.377415562771742"
"Sometimes","2008","Couple + C. GT 16 ","1224","0.365472033752537","0.349152697575531","0.381791369929542"
"Sometimes","2008","Couple + C. LE and GT 16","499","0.422739978281326","0.394871268879116","0.450608687683536"
"Rarely","2008","1-pers.-HH","762","0.251626050468739","0.236151791537768","0.26710030939971"
"Rarely","2008","(Married) couple without C. ","2314","0.33412368968915","0.323103102571259","0.345144276807041"
"Rarely","2008","Single parent ","266","0.246482379807054","0.22080361639384","0.272161143220267"
"Rarely","2008","Couple + C. LE 16 ","944","0.305773176023525","0.289827277416682","0.321719074630368"
"Rarely","2008","Couple + C. GT 16 ","977","0.278285223600794","0.263098016966385","0.293472430235202"
"Rarely","2008","Couple + C. LE and GT 16","324","0.292784146345923","0.267113061136422","0.318455231555424"
"Never","2008","1-pers.-HH","736","0.248625714046199","0.233213184781683","0.264038243310715"
"Never","2008","(Married) couple without C. ","1515","0.218761534656803","0.209102547128471","0.228420522185135"
"Never","2008","Single parent ","169","0.159999523374169","0.138155452782346","0.181843593965992"
"Never","2008","Couple + C. LE 16 ","335","0.113796718420665","0.102805896855625","0.124787539985705"
"Never","2008","Couple + C. GT 16 ","406","0.139038923015552","0.127314000360849","0.150763845670255"
"Never","2008","Couple + C. LE and GT 16","112","0.0823394138164738","0.0668319998322162","0.0978468278007314"
"Very often","2009","1-pers.-HH","","","",""
"Very often","2009","(Married) couple without C. ","","","",""
"Very often","2009","Single parent ","","","",""
"Very often","2009","Couple + C. LE 16 ","","","",""
"Very often","2009","Couple + C. GT 16 ","","","",""
"Very often","2009","Couple + C. LE and GT 16","","","",""
"Often","2009","1-pers.-HH","","","",""
"Often","2009","(Married) couple without C. ","","","",""
"Often","2009","Single parent ","","","",""
"Often","2009","Couple + C. LE 16 ","","","",""
"Often","2009","Couple + C. GT 16 ","","","",""
"Often","2009","Couple + C. LE and GT 16","","","",""
"Sometimes","2009","1-pers.-HH","","","",""
"Sometimes","2009","(Married) couple without C. ","","","",""
"Sometimes","2009","Single parent ","","","",""
"Sometimes","2009","Couple + C. LE 16 ","","","",""
"Sometimes","2009","Couple + C. GT 16 ","","","",""
"Sometimes","2009","Couple + C. LE and GT 16","","","",""
"Rarely","2009","1-pers.-HH","","","",""
"Rarely","2009","(Married) couple without C. ","","","",""
"Rarely","2009","Single parent ","","","",""
"Rarely","2009","Couple + C. LE 16 ","","","",""
"Rarely","2009","Couple + C. GT 16 ","","","",""
"Rarely","2009","Couple + C. LE and GT 16","","","",""
"Never","2009","1-pers.-HH","","","",""
"Never","2009","(Married) couple without C. ","","","",""
"Never","2009","Single parent ","","","",""
"Never","2009","Couple + C. LE 16 ","","","",""
"Never","2009","Couple + C. GT 16 ","","","",""
"Never","2009","Couple + C. LE and GT 16","","","",""
"Very often","2010","1-pers.-HH","","","",""
"Very often","2010","(Married) couple without C. ","","","",""
"Very often","2010","Single parent ","","","",""
"Very often","2010","Couple + C. LE 16 ","","","",""
"Very often","2010","Couple + C. GT 16 ","","","",""
"Very often","2010","Couple + C. LE and GT 16","","","",""
"Often","2010","1-pers.-HH","","","",""
"Often","2010","(Married) couple without C. ","","","",""
"Often","2010","Single parent ","","","",""
"Often","2010","Couple + C. LE 16 ","","","",""
"Often","2010","Couple + C. GT 16 ","","","",""
"Often","2010","Couple + C. LE and GT 16","","","",""
"Sometimes","2010","1-pers.-HH","","","",""
"Sometimes","2010","(Married) couple without C. ","","","",""
"Sometimes","2010","Single parent ","","","",""
"Sometimes","2010","Couple + C. LE 16 ","","","",""
"Sometimes","2010","Couple + C. GT 16 ","","","",""
"Sometimes","2010","Couple + C. LE and GT 16","","","",""
"Rarely","2010","1-pers.-HH","","","",""
"Rarely","2010","(Married) couple without C. ","","","",""
"Rarely","2010","Single parent ","","","",""
"Rarely","2010","Couple + C. LE 16 ","","","",""
"Rarely","2010","Couple + C. GT 16 ","","","",""
"Rarely","2010","Couple + C. LE and GT 16","","","",""
"Never","2010","1-pers.-HH","","","",""
"Never","2010","(Married) couple without C. ","","","",""
"Never","2010","Single parent ","","","",""
"Never","2010","Couple + C. LE 16 ","","","",""
"Never","2010","Couple + C. GT 16 ","","","",""
"Never","2010","Couple + C. LE and GT 16","","","",""
"Very often","2011","1-pers.-HH","","","",""
"Very often","2011","(Married) couple without C. ","","","",""
"Very often","2011","Single parent ","","","",""
"Very often","2011","Couple + C. LE 16 ","","","",""
"Very often","2011","Couple + C. GT 16 ","","","",""
"Very often","2011","Couple + C. LE and GT 16","","","",""
"Often","2011","1-pers.-HH","","","",""
"Often","2011","(Married) couple without C. ","","","",""
"Often","2011","Single parent ","","","",""
"Often","2011","Couple + C. LE 16 ","","","",""
"Often","2011","Couple + C. GT 16 ","","","",""
"Often","2011","Couple + C. LE and GT 16","","","",""
"Sometimes","2011","1-pers.-HH","","","",""
"Sometimes","2011","(Married) couple without C. ","","","",""
"Sometimes","2011","Single parent ","","","",""
"Sometimes","2011","Couple + C. LE 16 ","","","",""
"Sometimes","2011","Couple + C. GT 16 ","","","",""
"Sometimes","2011","Couple + C. LE and GT 16","","","",""
"Rarely","2011","1-pers.-HH","","","",""
"Rarely","2011","(Married) couple without C. ","","","",""
"Rarely","2011","Single parent ","","","",""
"Rarely","2011","Couple + C. LE 16 ","","","",""
"Rarely","2011","Couple + C. GT 16 ","","","",""
"Rarely","2011","Couple + C. LE and GT 16","","","",""
"Never","2011","1-pers.-HH","","","",""
"Never","2011","(Married) couple without C. ","","","",""
"Never","2011","Single parent ","","","",""
"Never","2011","Couple + C. LE 16 ","","","",""
"Never","2011","Couple + C. GT 16 ","","","",""
"Never","2011","Couple + C. LE and GT 16","","","",""
"Very often","2012","1-pers.-HH","","","",""
"Very often","2012","(Married) couple without C. ","","","",""
"Very often","2012","Single parent ","","","",""
"Very often","2012","Couple + C. LE 16 ","","","",""
"Very often","2012","Couple + C. GT 16 ","","","",""
"Very often","2012","Couple + C. LE and GT 16","","","",""
"Often","2012","1-pers.-HH","","","",""
"Often","2012","(Married) couple without C. ","","","",""
"Often","2012","Single parent ","","","",""
"Often","2012","Couple + C. LE 16 ","","","",""
"Often","2012","Couple + C. GT 16 ","","","",""
"Often","2012","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","1-pers.-HH","","","",""
"Sometimes","2012","(Married) couple without C. ","","","",""
"Sometimes","2012","Single parent ","","","",""
"Sometimes","2012","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Couple + C. LE and GT 16","","","",""
"Rarely","2012","1-pers.-HH","","","",""
"Rarely","2012","(Married) couple without C. ","","","",""
"Rarely","2012","Single parent ","","","",""
"Rarely","2012","Couple + C. LE 16 ","","","",""
"Rarely","2012","Couple + C. GT 16 ","","","",""
"Rarely","2012","Couple + C. LE and GT 16","","","",""
"Never","2012","1-pers.-HH","","","",""
"Never","2012","(Married) couple without C. ","","","",""
"Never","2012","Single parent ","","","",""
"Never","2012","Couple + C. LE 16 ","","","",""
"Never","2012","Couple + C. GT 16 ","","","",""
"Never","2012","Couple + C. LE and GT 16","","","",""
"Very often","2013","1-pers.-HH","100","0.0282791574115609","0.0228429457529296","0.0337153690701921"
"Very often","2013","(Married) couple without C. ","127","0.015225933404662","0.012478380354405","0.017973486454919"
"Very often","2013","Single parent ","107","0.0415501868037692","0.0338854229348122","0.0492149506727261"
"Very often","2013","Couple + C. LE 16 ","186","0.0317937308395422","0.027519248485788","0.0360682131932963"
"Very often","2013","Couple + C. GT 16 ","70","0.0233531743477344","0.0177392387610999","0.0289671099343689"
"Very often","2013","Couple + C. LE and GT 16","69","0.0256151296509636","0.0187205358102614","0.0325097234916659"
"Often","2013","1-pers.-HH","573","0.164604258605108","0.152443545915024","0.176764971295192"
"Often","2013","(Married) couple without C. ","859","0.113554961507858","0.106436030467478","0.120673892548238"
"Often","2013","Single parent ","576","0.209344764652019","0.193718606021986","0.224970923282052"
"Often","2013","Couple + C. LE 16 ","1122","0.167884543925149","0.158778578672511","0.176990509177787"
"Often","2013","Couple + C. GT 16 ","441","0.159538355661251","0.145926504297586","0.173150207024915"
"Often","2013","Couple + C. LE and GT 16","396","0.170619389471736","0.154202673942139","0.187036105001333"
"Sometimes","2013","1-pers.-HH","1048","0.290591662342561","0.275702094777509","0.305481229907613"
"Sometimes","2013","(Married) couple without C. ","2436","0.321562055680321","0.311081766046442","0.332042345314201"
"Sometimes","2013","Single parent ","905","0.349601710241712","0.331286830530938","0.367916589952486"
"Sometimes","2013","Couple + C. LE 16 ","2459","0.386056793009147","0.374195868677657","0.397917717340637"
"Sometimes","2013","Couple + C. GT 16 ","1007","0.382767791996925","0.364699476032742","0.400836107961109"
"Sometimes","2013","Couple + C. LE and GT 16","807","0.400873369511993","0.379485966302036","0.422260772721949"
"Rarely","2013","1-pers.-HH","1018","0.289984086201609","0.275103724428966","0.304864447974253"
"Rarely","2013","(Married) couple without C. ","2721","0.357794884115631","0.347039157232817","0.368550610998445"
"Rarely","2013","Single parent ","706","0.255941418977239","0.23918036006306","0.272702477891417"
"Rarely","2013","Couple + C. LE 16 ","2029","0.320602268422534","0.309231909386499","0.331972627458568"
"Rarely","2013","Couple + C. GT 16 ","898","0.306308884096322","0.28917370863475","0.323444059557893"
"Rarely","2013","Couple + C. LE and GT 16","586","0.326560851054893","0.306095161533501","0.347026540576286"
"Never","2013","1-pers.-HH","833","0.226540835439161","0.212813561210219","0.240268109668102"
"Never","2013","(Married) couple without C. ","1487","0.191862165291528","0.18302682639009","0.200697504192966"
"Never","2013","Single parent ","310","0.143561919325261","0.130094164123069","0.157029674527452"
"Never","2013","Couple + C. LE 16 ","676","0.0936626638036277","0.0865643200904433","0.100761007516812"
"Never","2013","Couple + C. GT 16 ","364","0.128031793897768","0.115611412466029","0.140452175329508"
"Never","2013","Couple + C. LE and GT 16","159","0.0763312603104146","0.0647433671776178","0.0879191534432114"
"Very often","2014","1-pers.-HH","","","",""
"Very often","2014","(Married) couple without C. ","","","",""
"Very often","2014","Single parent ","","","",""
"Very often","2014","Couple + C. LE 16 ","","","",""
"Very often","2014","Couple + C. GT 16 ","","","",""
"Very often","2014","Couple + C. LE and GT 16","","","",""
"Often","2014","1-pers.-HH","","","",""
"Often","2014","(Married) couple without C. ","","","",""
"Often","2014","Single parent ","","","",""
"Often","2014","Couple + C. LE 16 ","","","",""
"Often","2014","Couple + C. GT 16 ","","","",""
"Often","2014","Couple + C. LE and GT 16","","","",""
"Sometimes","2014","1-pers.-HH","","","",""
"Sometimes","2014","(Married) couple without C. ","","","",""
"Sometimes","2014","Single parent ","","","",""
"Sometimes","2014","Couple + C. LE 16 ","","","",""
"Sometimes","2014","Couple + C. GT 16 ","","","",""
"Sometimes","2014","Couple + C. LE and GT 16","","","",""
"Rarely","2014","1-pers.-HH","","","",""
"Rarely","2014","(Married) couple without C. ","","","",""
"Rarely","2014","Single parent ","","","",""
"Rarely","2014","Couple + C. LE 16 ","","","",""
"Rarely","2014","Couple + C. GT 16 ","","","",""
"Rarely","2014","Couple + C. LE and GT 16","","","",""
"Never","2014","1-pers.-HH","","","",""
"Never","2014","(Married) couple without C. ","","","",""
"Never","2014","Single parent ","","","",""
"Never","2014","Couple + C. LE 16 ","","","",""
"Never","2014","Couple + C. GT 16 ","","","",""
"Never","2014","Couple + C. LE and GT 16","","","",""
"Very often","2015","1-pers.-HH","","","",""
"Very often","2015","(Married) couple without C. ","","","",""
"Very often","2015","Single parent ","","","",""
"Very often","2015","Couple + C. LE 16 ","","","",""
"Very often","2015","Couple + C. GT 16 ","","","",""
"Very often","2015","Couple + C. LE and GT 16","","","",""
"Often","2015","1-pers.-HH","","","",""
"Often","2015","(Married) couple without C. ","","","",""
"Often","2015","Single parent ","","","",""
"Often","2015","Couple + C. LE 16 ","","","",""
"Often","2015","Couple + C. GT 16 ","","","",""
"Often","2015","Couple + C. LE and GT 16","","","",""
"Sometimes","2015","1-pers.-HH","","","",""
"Sometimes","2015","(Married) couple without C. ","","","",""
"Sometimes","2015","Single parent ","","","",""
"Sometimes","2015","Couple + C. LE 16 ","","","",""
"Sometimes","2015","Couple + C. GT 16 ","","","",""
"Sometimes","2015","Couple + C. LE and GT 16","","","",""
"Rarely","2015","1-pers.-HH","","","",""
"Rarely","2015","(Married) couple without C. ","","","",""
"Rarely","2015","Single parent ","","","",""
"Rarely","2015","Couple + C. LE 16 ","","","",""
"Rarely","2015","Couple + C. GT 16 ","","","",""
"Rarely","2015","Couple + C. LE and GT 16","","","",""
"Never","2015","1-pers.-HH","","","",""
"Never","2015","(Married) couple without C. ","","","",""
"Never","2015","Single parent ","","","",""
"Never","2015","Couple + C. LE 16 ","","","",""
"Never","2015","Couple + C. GT 16 ","","","",""
"Never","2015","Couple + C. LE and GT 16","","","",""
"Very often","2016","1-pers.-HH","","","",""
"Very often","2016","(Married) couple without C. ","","","",""
"Very often","2016","Single parent ","","","",""
"Very often","2016","Couple + C. LE 16 ","","","",""
"Very often","2016","Couple + C. GT 16 ","","","",""
"Very often","2016","Couple + C. LE and GT 16","","","",""
"Often","2016","1-pers.-HH","","","",""
"Often","2016","(Married) couple without C. ","","","",""
"Often","2016","Single parent ","","","",""
"Often","2016","Couple + C. LE 16 ","","","",""
"Often","2016","Couple + C. GT 16 ","","","",""
"Often","2016","Couple + C. LE and GT 16","","","",""
"Sometimes","2016","1-pers.-HH","","","",""
"Sometimes","2016","(Married) couple without C. ","","","",""
"Sometimes","2016","Single parent ","","","",""
"Sometimes","2016","Couple + C. LE 16 ","","","",""
"Sometimes","2016","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Couple + C. LE and GT 16","","","",""
"Rarely","2016","1-pers.-HH","","","",""
"Rarely","2016","(Married) couple without C. ","","","",""
"Rarely","2016","Single parent ","","","",""
"Rarely","2016","Couple + C. LE 16 ","","","",""
"Rarely","2016","Couple + C. GT 16 ","","","",""
"Rarely","2016","Couple + C. LE and GT 16","","","",""
"Never","2016","1-pers.-HH","","","",""
"Never","2016","(Married) couple without C. ","","","",""
"Never","2016","Single parent ","","","",""
"Never","2016","Couple + C. LE 16 ","","","",""
"Never","2016","Couple + C. GT 16 ","","","",""
"Never","2016","Couple + C. LE and GT 16","","","",""
"Very often","2017","1-pers.-HH","","","",""
"Very often","2017","(Married) couple without C. ","","","",""
"Very often","2017","Single parent ","","","",""
"Very often","2017","Couple + C. LE 16 ","","","",""
"Very often","2017","Couple + C. GT 16 ","","","",""
"Very often","2017","Couple + C. LE and GT 16","","","",""
"Often","2017","1-pers.-HH","","","",""
"Often","2017","(Married) couple without C. ","","","",""
"Often","2017","Single parent ","","","",""
"Often","2017","Couple + C. LE 16 ","","","",""
"Often","2017","Couple + C. GT 16 ","","","",""
"Often","2017","Couple + C. LE and GT 16","","","",""
"Sometimes","2017","1-pers.-HH","","","",""
"Sometimes","2017","(Married) couple without C. ","","","",""
"Sometimes","2017","Single parent ","","","",""
"Sometimes","2017","Couple + C. LE 16 ","","","",""
"Sometimes","2017","Couple + C. GT 16 ","","","",""
"Sometimes","2017","Couple + C. LE and GT 16","","","",""
"Rarely","2017","1-pers.-HH","","","",""
"Rarely","2017","(Married) couple without C. ","","","",""
"Rarely","2017","Single parent ","","","",""
"Rarely","2017","Couple + C. LE 16 ","","","",""
"Rarely","2017","Couple + C. GT 16 ","","","",""
"Rarely","2017","Couple + C. LE and GT 16","","","",""
"Never","2017","1-pers.-HH","","","",""
"Never","2017","(Married) couple without C. ","","","",""
"Never","2017","Single parent ","","","",""
"Never","2017","Couple + C. LE 16 ","","","",""
"Never","2017","Couple + C. GT 16 ","","","",""
"Never","2017","Couple + C. LE and GT 16","","","",""
"Very often","2018","1-pers.-HH","199","0.0469661925476713","0.040505203191291","0.0534271819040516"
"Very often","2018","(Married) couple without C. ","243","0.0277483697460649","0.0241480014114355","0.0313487380806943"
"Very often","2018","Single parent ","118","0.0533562670368144","0.0439989959009302","0.0627135381726985"
"Very often","2018","Couple + C. LE 16 ","191","0.0353023908992214","0.0304047359474904","0.0402000458509525"
"Very often","2018","Couple + C. GT 16 ","92","0.0331617306144736","0.0267670903645804","0.0395563708643669"
"Very often","2018","Couple + C. LE and GT 16","105","0.0342986053309124","0.0266728284915508","0.0419243821702739"
"Often","2018","1-pers.-HH","769","0.181854706469658","0.17007512972788","0.193634283211435"
"Often","2018","(Married) couple without C. ","1074","0.147390752531525","0.13962025200047","0.155161253062581"
"Often","2018","Single parent ","429","0.194514266826544","0.178033862227647","0.21099467142544"
"Often","2018","Couple + C. LE 16 ","964","0.169857338128026","0.159891609709779","0.179823066546273"
"Often","2018","Couple + C. GT 16 ","511","0.162982945844709","0.14979251922355","0.176173372465867"
"Often","2018","Couple + C. LE and GT 16","458","0.216923576829489","0.199654072013084","0.234193081645894"
"Sometimes","2018","1-pers.-HH","1296","0.305727369381824","0.291657684286354","0.319797054477294"
"Sometimes","2018","(Married) couple without C. ","2652","0.331641799874122","0.321321837138129","0.341961762610114"
"Sometimes","2018","Single parent ","764","0.3403758600492","0.320647505725157","0.360104214373243"
"Sometimes","2018","Couple + C. LE 16 ","2059","0.389436903619824","0.376495709505359","0.402378097734288"
"Sometimes","2018","Couple + C. GT 16 ","1160","0.394990660650109","0.377532637695588","0.412448683604629"
"Sometimes","2018","Couple + C. LE and GT 16","800","0.348344286931515","0.328380731875069","0.368307841987961"
"Rarely","2018","1-pers.-HH","1067","0.26999764187329","0.256439683002576","0.283555600744005"
"Rarely","2018","(Married) couple without C. ","2703","0.33005414222994","0.31974669063694","0.34036159382294"
