"pld0043","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Rarely","2007","East Germany","Female","","","","","4"
"Rarely","2007","East Germany","Male","","","","","4"
"Rarely","2007","West Germany","Male","","","","","4"
"Rarely","2007","West Germany","Female","","","","","4"
"Sometimes","2007","East Germany","Female","","","","","3"
"Sometimes","2007","East Germany","Male","","","","","3"
"Sometimes","2007","West Germany","Male","","","","","3"
"Sometimes","2007","West Germany","Female","","","","","3"
"Very often","2007","East Germany","Female","","","","","1"
"Very often","2007","East Germany","Male","","","","","1"
"Very often","2007","West Germany","Male","","","","","1"
"Very often","2007","West Germany","Female","","","","","1"
"Never","2008","East Germany","Female","461","0.199293363739167","0.183533275453535","0.2150534520248","5"
"Never","2008","West Germany","Male","1155","0.177758441336769","0.16873581843349","0.186781064240049","5"
"Never","2008","West Germany","Female","1371","0.19991665850076","0.190942238517599","0.208891078483921","5"
"Never","2008","East Germany","Male","386","0.165485400299286","0.150281550937968","0.180689249660604","5"
"Often","2008","East Germany","Female","355","0.138708020318993","0.125071564756047","0.15234447588194","2"
"Often","2008","West Germany","Male","1054","0.153132572889261","0.144633736235224","0.161631409543297","2"
"Often","2008","East Germany","Male","332","0.150560476048835","0.135929325871922","0.165191626225748","2"
"Often","2008","West Germany","Female","1287","0.154125424848296","0.146023197736661","0.162227651959931","2"
"Rarely","2008","East Germany","Female","745","0.31739271903249","0.299029050231233","0.335756387833748","4"
"Rarely","2008","East Germany","Male","731","0.321366970919623","0.302260747045791","0.340473194793455","4"
"Rarely","2008","West Germany","Male","2176","0.30417488778869","0.293317391103682","0.315032384473697","4"
"Rarely","2008","West Germany","Female","2032","0.272087495783758","0.262101114001028","0.282073877566488","4"
"Sometimes","2008","East Germany","Male","801","0.346752497930755","0.327280728241853","0.366224267619657","3"
"Sometimes","2008","East Germany","Female","819","0.312292778097113","0.294009322708588","0.330576233485638","3"
"Sometimes","2008","West Germany","Male","2314","0.335615174114032","0.324470981118348","0.346759367109717","3"
"Sometimes","2008","West Germany","Female","2657","0.339329499640687","0.328704778269185","0.349954221012189","3"
"Very often","2008","East Germany","Female","88","0.0323131188122362","0.0253367026622808","0.0392895349621915","1"
"Very often","2008","East Germany","Male","45","0.0158346548015011","0.0107273111537907","0.0209419984492115","1"
"Very often","2008","West Germany","Male","198","0.0293189238712479","0.0253375746563154","0.0333002730861803","1"
"Very often","2008","West Germany","Female","282","0.0345409212264991","0.0304431455794527","0.0386386968735455","1"
"Never","2009","East Germany","Female","","","","","5"
"Never","2009","East Germany","Male","","","","","5"
"Never","2009","West Germany","Male","","","","","5"
"Never","2009","West Germany","Female","","","","","5"
"Often","2009","East Germany","Female","","","","","2"
"Often","2009","East Germany","Male","","","","","2"
"Often","2009","West Germany","Female","","","","","2"
"Often","2009","West Germany","Male","","","","","2"
"Rarely","2009","East Germany","Female","","","","","4"
"Rarely","2009","East Germany","Male","","","","","4"
"Rarely","2009","West Germany","Female","","","","","4"
"Rarely","2009","West Germany","Male","","","","","4"
"Sometimes","2009","East Germany","Male","","","","","3"
"Sometimes","2009","East Germany","Female","","","","","3"
"Sometimes","2009","West Germany","Female","","","","","3"
"Sometimes","2009","West Germany","Male","","","","","3"
"Very often","2009","East Germany","Female","","","","","1"
"Very often","2009","East Germany","Male","","","","","1"
"Very often","2009","West Germany","Female","","","","","1"
"Very often","2009","West Germany","Male","","","","","1"
"Never","2010","East Germany","Female","","","","","5"
"Never","2010","East Germany","Male","","","","","5"
"Never","2010","West Germany","Male","","","","","5"
"Never","2010","West Germany","Female","","","","","5"
"Often","2010","East Germany","Female","","","","","2"
"Often","2010","East Germany","Male","","","","","2"
"Often","2010","West Germany","Female","","","","","2"
"Often","2010","West Germany","Male","","","","","2"
"Rarely","2010","East Germany","Female","","","","","4"
"Rarely","2010","East Germany","Male","","","","","4"
"Rarely","2010","West Germany","Female","","","","","4"
"Rarely","2010","West Germany","Male","","","","","4"
"Sometimes","2010","East Germany","Female","","","","","3"
"Sometimes","2010","West Germany","Female","","","","","3"
"Sometimes","2010","East Germany","Male","","","","","3"
"Sometimes","2010","West Germany","Male","","","","","3"
"Very often","2010","East Germany","Female","","","","","1"
"Very often","2010","East Germany","Male","","","","","1"
"Very often","2010","West Germany","Female","","","","","1"
"Very often","2010","West Germany","Male","","","","","1"
"Never","2011","East Germany","Female","","","","","5"
"Never","2011","East Germany","Male","","","","","5"
"Never","2011","West Germany","Female","","","","","5"
"Never","2011","West Germany","Male","","","","","5"
"Often","2011","East Germany","Female","","","","","2"
"Often","2011","East Germany","Male","","","","","2"
"Often","2011","West Germany","Female","","","","","2"
"Often","2011","West Germany","Male","","","","","2"
"Rarely","2011","East Germany","Female","","","","","4"
"Rarely","2011","East Germany","Male","","","","","4"
"Rarely","2011","West Germany","Female","","","","","4"
"Rarely","2011","West Germany","Male","","","","","4"
"Sometimes","2011","East Germany","Female","","","","","3"
"Sometimes","2011","West Germany","Female","","","","","3"
"Sometimes","2011","East Germany","Male","","","","","3"
"Sometimes","2011","West Germany","Male","","","","","3"
"Very often","2011","East Germany","Male","","","","","1"
"Very often","2011","East Germany","Female","","","","","1"
"Very often","2011","West Germany","Female","","","","","1"
"Very often","2011","West Germany","Male","","","","","1"
"Never","2012","East Germany","Female","","","","","5"
"Never","2012","East Germany","Male","","","","","5"
"Never","2012","West Germany","Female","","","","","5"
"Never","2012","West Germany","Male","","","","","5"
"Often","2012","East Germany","Female","","","","","2"
"Often","2012","East Germany","Male","","","","","2"
"Often","2012","West Germany","Female","","","","","2"
"Often","2012","West Germany","Male","","","","","2"
"Rarely","2012","East Germany","Female","","","","","4"
"Rarely","2012","East Germany","Male","","","","","4"
"Rarely","2012","West Germany","Female","","","","","4"
"Rarely","2012","West Germany","Male","","","","","4"
"Sometimes","2012","East Germany","Female","","","","","3"
"Sometimes","2012","East Germany","Male","","","","","3"
"Sometimes","2012","West Germany","Male","","","","","3"
"Sometimes","2012","West Germany","Female","","","","","3"
"Very often","2012","East Germany","Male","","","","","1"
"Very often","2012","East Germany","Female","","","","","1"
"Very often","2012","West Germany","Female","","","","","1"
"Very often","2012","West Germany","Male","","","","","1"
"Never","2013","East Germany","Male","515","0.197943500331955","0.182654321668639","0.213232678995271","5"
"Never","2013","East Germany","Female","625","0.220043236164097","0.205511385783969","0.234575086544224","5"
"Never","2013","West Germany","Female","1529","0.175886561924516","0.168729032790381","0.183044091058652","5"
"Never","2013","West Germany","Male","1253","0.150634720199427","0.143213452379412","0.158055988019441","5"
"Often","2013","East Germany","Male","302","0.116683870437018","0.104364896254102","0.129002844619934","2"
"Often","2013","East Germany","Female","406","0.116211486507501","0.104969829090746","0.127453143924257","2"
"Often","2013","West Germany","Female","1945","0.157028570946195","0.150188681795617","0.163868460096773","2"
"Often","2013","West Germany","Male","1391","0.153362277242755","0.145886155033053","0.160838399452457","2"
"Rarely","2013","East Germany","Male","887","0.3352956133212","0.317180574891106","0.353410651751294","4"
"Rarely","2013","West Germany","Female","3178","0.30449647111928","0.29584491762388","0.313148024614679","4"
"Rarely","2013","East Germany","Female","1048","0.3271075988297","0.310650632895409","0.343564564763991","4"
"Rarely","2013","West Germany","Male","2969","0.332487916203793","0.322713612947071","0.342262219460516","4"
"Sometimes","2013","East Germany","Male","859","0.334520302860156","0.316415671042703","0.352624934677608","3"
"Sometimes","2013","East Germany","Female","967","0.319489715376866","0.303133703040644","0.335845727713087","3"
"Sometimes","2013","West Germany","Male","3087","0.340568778450329","0.330736470353682","0.350401086546976","3"
"Sometimes","2013","West Germany","Female","3888","0.334189700725684","0.325321713031629","0.34305768841974","3"
"Very often","2013","West Germany","Female","329","0.0283986952843246","0.0252758782822163","0.031521512286433","1"
"Very often","2013","East Germany","Male","46","0.0155567130496713","0.0108081159502624","0.0203053101490802","1"
"Very often","2013","East Germany","Female","76","0.0171479631218365","0.0125940789188077","0.0217018473248653","1"
"Very often","2013","West Germany","Male","224","0.0229463079036963","0.0198397179480792","0.0260528978593135","1"
"Never","2014","East Germany","Male","","","","","5"
"Never","2014","East Germany","Female","","","","","5"
"Never","2014","West Germany","Female","","","","","5"
"Never","2014","West Germany","Male","","","","","5"
"Often","2014","East Germany","Male","","","","","2"
"Often","2014","East Germany","Female","","","","","2"
"Often","2014","West Germany","Female","","","","","2"
"Often","2014","West Germany","Male","","","","","2"
"Rarely","2014","East Germany","Male","","","","","4"
"Rarely","2014","West Germany","Female","","","","","4"
"Rarely","2014","East Germany","Female","","","","","4"
"Rarely","2014","West Germany","Male","","","","","4"
"Sometimes","2014","East Germany","Male","","","","","3"
"Sometimes","2014","East Germany","Female","","","","","3"
"Sometimes","2014","West Germany","Female","","","","","3"
"Sometimes","2014","West Germany","Male","","","","","3"
"Very often","2014","West Germany","Female","","","","","1"
"Very often","2014","East Germany","Male","","","","","1"
"Very often","2014","East Germany","Female","","","","","1"
"Very often","2014","West Germany","Male","","","","","1"
"Never","2015","West Germany","Female","","","","","5"
"Never","2015","East Germany","Male","","","","","5"
"Never","2015","East Germany","Female","","","","","5"
"Never","2015","West Germany","Male","","","","","5"
"Often","2015","West Germany","Female","","","","","2"
"Often","2015","East Germany","Male","","","","","2"
"Often","2015","East Germany","Female","","","","","2"
"Often","2015","West Germany","Male","","","","","2"
"Rarely","2015","West Germany","Female","","","","","4"
"Rarely","2015","West Germany","Male","","","","","4"
"Rarely","2015","East Germany","Male","","","","","4"
"Rarely","2015","East Germany","Female","","","","","4"
"Sometimes","2015","West Germany","Female","","","","","3"
"Sometimes","2015","East Germany","Male","","","","","3"
"Sometimes","2015","East Germany","Female","","","","","3"
"Sometimes","2015","West Germany","Male","","","","","3"
"Very often","2015","West Germany","Male","","","","","1"
"Very often","2015","West Germany","Female","","","","","1"
"Very often","2015","East Germany","Male","","","","","1"
"Very often","2015","East Germany","Female","","","","","1"
"Never","2016","West Germany","Female","","","","","5"
"Never","2016","East Germany","Male","","","","","5"
"Never","2016","East Germany","Female","","","","","5"
"Never","2016","West Germany","Male","","","","","5"
"Often","2016","West Germany","Female","","","","","2"
"Often","2016","East Germany","Male","","","","","2"
"Often","2016","West Germany","Male","","","","","2"
"Often","2016","East Germany","Female","","","","","2"
"Rarely","2016","West Germany","Female","","","","","4"
"Rarely","2016","West Germany","Male","","","","","4"
"Rarely","2016","East Germany","Male","","","","","4"
"Rarely","2016","East Germany","Female","","","","","4"
"Sometimes","2016","West Germany","Female","","","","","3"
"Sometimes","2016","East Germany","Male","","","","","3"
"Sometimes","2016","East Germany","Female","","","","","3"
"Sometimes","2016","West Germany","Male","","","","","3"
"Very often","2016","West Germany","Male","","","","","1"
"Very often","2016","West Germany","Female","","","","","1"
"Very often","2016","East Germany","Male","","","","","1"
"Very often","2016","East Germany","Female","","","","","1"
"Never","2017","West Germany","Male","","","","","5"
"Never","2017","West Germany","Female","","","","","5"
"Never","2017","East Germany","Male","","","","","5"
"Never","2017","East Germany","Female","","","","","5"
"Often","2017","West Germany","Male","","","","","2"
"Often","2017","West Germany","Female","","","","","2"
"Often","2017","East Germany","Male","","","","","2"
"Often","2017","East Germany","Female","","","","","2"
"Rarely","2017","West Germany","Male","","","","","4"
"Rarely","2017","East Germany","Male","","","","","4"
"Rarely","2017","East Germany","Female","","","","","4"
"Rarely","2017","West Germany","Female","","","","","4"
"Sometimes","2017","East Germany","Male","","","","","3"
"Sometimes","2017","West Germany","Male","","","","","3"
"Sometimes","2017","West Germany","Female","","","","","3"
"Sometimes","2017","East Germany","Female","","","","","3"
"Very often","2017","East Germany","Male","","","","","1"
"Very often","2017","East Germany","Female","","","","","1"
"Very often","2017","West Germany","Male","","","","","1"
"Very often","2017","West Germany","Female","","","","","1"
"Never","2018","West Germany","Male","1245","0.137437909410621","0.130441341815422","0.14443447700582","5"
"Never","2018","West Germany","Female","1581","0.160780719088659","0.153881042333336","0.167680395843982","5"
"Never","2018","East Germany","Male","488","0.177864369209432","0.162987261896994","0.192741476521871","5"
"Never","2018","East Germany","Female","553","0.201412985748952","0.187008737419517","0.215817234078386","5"
"Often","2018","West Germany","Male","1506","0.160325927244951","0.152870134408481","0.167781720081422","2"
"Often","2018","West Germany","Female","2064","0.186083600188496","0.178773589962782","0.19339361041421","2"
"Often","2018","East Germany","Female","426","0.145059782548675","0.132411629008028","0.157707936089322","2"
"Often","2018","East Germany","Male","320","0.134801823435235","0.121515403851295","0.148088243019175","2"
"Rarely","2018","West Germany","Male","2893","0.313504815731005","0.304077730442194","0.322931901019817","4"
"Rarely","2018","East Germany","Female","928","0.3173657717403","0.300648714961522","0.334082828519079","4"
"Rarely","2018","West Germany","Female","2897","0.270498369302769","0.262154461548994","0.278842277056545","4"
"Rarely","2018","East Germany","Male","850","0.326059469334119","0.307822130012242","0.344296808655997","4"
"Sometimes","2018","East Germany","Female","979","0.3148679287404","0.298186351654625","0.331549505826176","3"
"Sometimes","2018","West Germany","Female","3861","0.340026314082872","0.331128289346581","0.348924338819163","3"
"Sometimes","2018","West Germany","Male","3317","0.352238423445752","0.342531926180971","0.361944920710534","3"
"Sometimes","2018","East Germany","Male","811","0.336186456095226","0.317807728396388","0.354565183794063","3"
"Very often","2018","East Germany","Female","92","0.0212935312216731","0.0161086857398384","0.0264783767035079","1"
"Very often","2018","West Germany","Male","342","0.0364929241676708","0.0326825434825636","0.040303304852778","1"
"Very often","2018","West Germany","Female","485","0.042610997337204","0.0388171565453573","0.0464048381290507","1"
"Very often","2018","East Germany","Male","69","0.0250878819259876","0.0190034923306608","0.0311722715213143","1"
