"pld0043","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Rarely","2018","16-34 y.","East Germany","316","0.30534050569887","0.278037138604367","0.332643872793372"
"Rarely","2018","35-65 y.","West Germany","3348","0.295368565435398","0.287018932325974","0.303718198544821"
"Rarely","2018","35-65 y.","East Germany","1041","0.323645047753582","0.307342642916053","0.339947452591112"
"Rarely","2018","66 and older","West Germany","1233","0.331624582168181","0.316618119072433","0.346631045263928"
"Rarely","2018","66 and older","East Germany","421","0.331137324646072","0.305141250043664","0.357133399248481"
"Never","2018","16-34 y.","West Germany","460","0.0844891811907798","0.0767351237916787","0.092243238589881"
"Never","2018","16-34 y.","East Germany","123","0.100833876960502","0.0829829320006148","0.11868482192039"
"Never","2018","35-65 y.","West Germany","1452","0.123294893234677","0.117277566948966","0.129312219520388"
"Never","2018","35-65 y.","East Germany","540","0.17550884610945","0.16225407113099","0.188763621087911"
"Never","2018","66 and older","West Germany","914","0.263305716889618","0.249267286706632","0.277344147072603"
"Never","2018","66 and older","East Germany","378","0.29746150282437","0.272210090495703","0.322712915153036"
