"pld0043","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Sometimes","2003","Not Employed","Couple + C. LE and GT 16","173","0.310173194523511","0.269709233184028","0.350637155862995"
"Sometimes","2003","Employed","1-pers.-HH","577","0.37465128986964","0.350365872622258","0.398936707117023"
"Sometimes","2003","Employed","(Married) couple without C. ","1398","0.36372966211789","0.348326267461715","0.379133056774066"
"Sometimes","2003","Employed","Single parent ","263","0.362056606997813","0.327264925874947","0.396848288120678"
"Sometimes","2003","Employed","Couple + C. LE 16 ","1496","0.416572955538776","0.400390026190518","0.432755884887033"
"Sometimes","2003","Employed","Couple + C. GT 16 ","1057","0.368700237338194","0.350727278911684","0.386673195764705"
"Sometimes","2003","Employed","Couple + C. LE and GT 16","514","0.381467135836461","0.355391015867271","0.407543255805651"
"Rarely","2003","Not Employed","1-pers.-HH","379","0.258098996978097","0.235575790020906","0.280622203935289"
"Rarely","2003","Not Employed","(Married) couple without C. ","1152","0.323519197268832","0.308077867302709","0.338960527234955"
"Rarely","2003","Not Employed","Single parent ","102","0.26787935968409","0.223700409642098","0.312058309726081"
"Rarely","2003","Not Employed","Couple + C. LE 16 ","204","0.260489824862187","0.230170633809448","0.290809015914926"
"Rarely","2003","Not Employed","Couple + C. GT 16 ","270","0.242401316785986","0.217940087336091","0.266862546235882"
"Rarely","2003","Not Employed","Couple + C. LE and GT 16","84","0.181285874533073","0.147584752748514","0.214986996317632"
"Rarely","2003","Employed","1-pers.-HH","313","0.203847580745983","0.183635002479027","0.224060159012939"
"Rarely","2003","Employed","(Married) couple without C. ","1137","0.300473308652696","0.285793806086698","0.315152811218694"
"Rarely","2003","Employed","Single parent ","173","0.234698846148164","0.204017969471811","0.265379722824518"
"Rarely","2003","Employed","Couple + C. LE 16 ","954","0.262542957441972","0.248098977582827","0.276986937301117"
"Rarely","2003","Employed","Couple + C. GT 16 ","747","0.268690462675164","0.252176861471781","0.285204063878547"
"Rarely","2003","Employed","Couple + C. LE and GT 16","370","0.268651853525943","0.244856617361156","0.292447089690731"
"Never","2003","Not Employed","1-pers.-HH","613","0.424123173346439","0.398685646061014","0.449560700631864"
"Never","2003","Not Employed","(Married) couple without C. ","1172","0.341069247820404","0.325421634443141","0.356716861197668"
"Never","2003","Not Employed","Single parent ","90","0.208409436135934","0.16788999634956","0.248928875922309"
"Never","2003","Not Employed","Couple + C. LE 16 ","102","0.116983000128074","0.0947807975622023","0.139185202693945"
"Never","2003","Not Employed","Couple + C. GT 16 ","192","0.18049885196419","0.158545381036761","0.202452322891619"
"Never","2003","Not Employed","Couple + C. LE and GT 16","49","0.107538039548774","0.0804378613269327","0.134638217770615"
"Never","2003","Employed","1-pers.-HH","148","0.101602944057156","0.0864443776592842","0.116761510455027"
"Never","2003","Employed","(Married) couple without C. ","449","0.141267025115918","0.130114949274908","0.152419100956928"
"Never","2003","Employed","Single parent ","89","0.125599727902629","0.101608880131626","0.149590575673631"
"Never","2003","Employed","Couple + C. LE 16 ","307","0.0968507768587265","0.0871423327532407","0.106559220964212"
"Never","2003","Employed","Couple + C. GT 16 ","248","0.102548001964074","0.0912465494639175","0.11384945446423"
"Never","2003","Employed","Couple + C. LE and GT 16","126","0.113038974727867","0.0960409134916939","0.130037035964039"
"Very often","2004","Not Employed","1-pers.-HH","","","",""
"Very often","2004","Not Employed","(Married) couple without C. ","","","",""
"Very often","2004","Not Employed","Single parent ","","","",""
"Very often","2004","Not Employed","Couple + C. LE 16 ","","","",""
"Very often","2004","Not Employed","Couple + C. GT 16 ","","","",""
"Very often","2004","Not Employed","Couple + C. LE and GT 16","","","",""
"Very often","2004","Employed","1-pers.-HH","","","",""
"Very often","2004","Employed","(Married) couple without C. ","","","",""
"Very often","2004","Employed","Single parent ","","","",""
"Very often","2004","Employed","Couple + C. LE 16 ","","","",""
"Very often","2004","Employed","Couple + C. GT 16 ","","","",""
"Very often","2004","Employed","Couple + C. LE and GT 16","","","",""
"Often","2004","Not Employed","1-pers.-HH","","","",""
"Often","2004","Not Employed","(Married) couple without C. ","","","",""
"Often","2004","Not Employed","Single parent ","","","",""
"Often","2004","Not Employed","Couple + C. LE 16 ","","","",""
"Often","2004","Not Employed","Couple + C. GT 16 ","","","",""
"Often","2004","Not Employed","Couple + C. LE and GT 16","","","",""
"Often","2004","Employed","1-pers.-HH","","","",""
"Often","2004","Employed","(Married) couple without C. ","","","",""
"Often","2004","Employed","Single parent ","","","",""
"Often","2004","Employed","Couple + C. LE 16 ","","","",""
"Often","2004","Employed","Couple + C. GT 16 ","","","",""
"Often","2004","Employed","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","Not Employed","1-pers.-HH","","","",""
"Sometimes","2004","Not Employed","(Married) couple without C. ","","","",""
"Sometimes","2004","Not Employed","Single parent ","","","",""
"Sometimes","2004","Not Employed","Couple + C. LE 16 ","","","",""
"Sometimes","2004","Not Employed","Couple + C. GT 16 ","","","",""
"Sometimes","2004","Not Employed","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","Employed","1-pers.-HH","","","",""
"Sometimes","2004","Employed","(Married) couple without C. ","","","",""
"Sometimes","2004","Employed","Single parent ","","","",""
"Sometimes","2004","Employed","Couple + C. LE 16 ","","","",""
"Sometimes","2004","Employed","Couple + C. GT 16 ","","","",""
"Sometimes","2004","Employed","Couple + C. LE and GT 16","","","",""
"Rarely","2004","Not Employed","1-pers.-HH","","","",""
"Rarely","2004","Not Employed","(Married) couple without C. ","","","",""
"Rarely","2004","Not Employed","Single parent ","","","",""
"Rarely","2004","Not Employed","Couple + C. LE 16 ","","","",""
"Rarely","2004","Not Employed","Couple + C. GT 16 ","","","",""
"Rarely","2004","Not Employed","Couple + C. LE and GT 16","","","",""
"Rarely","2004","Employed","1-pers.-HH","","","",""
"Rarely","2004","Employed","(Married) couple without C. ","","","",""
"Rarely","2004","Employed","Single parent ","","","",""
"Rarely","2004","Employed","Couple + C. LE 16 ","","","",""
"Rarely","2004","Employed","Couple + C. GT 16 ","","","",""
"Rarely","2004","Employed","Couple + C. LE and GT 16","","","",""
"Never","2004","Not Employed","1-pers.-HH","","","",""
"Never","2004","Not Employed","(Married) couple without C. ","","","",""
"Never","2004","Not Employed","Single parent ","","","",""
"Never","2004","Not Employed","Couple + C. LE 16 ","","","",""
"Never","2004","Not Employed","Couple + C. GT 16 ","","","",""
"Never","2004","Not Employed","Couple + C. LE and GT 16","","","",""
"Never","2004","Employed","1-pers.-HH","","","",""
"Never","2004","Employed","(Married) couple without C. ","","","",""
"Never","2004","Employed","Single parent ","","","",""
"Never","2004","Employed","Couple + C. LE 16 ","","","",""
"Never","2004","Employed","Couple + C. GT 16 ","","","",""
"Never","2004","Employed","Couple + C. LE and GT 16","","","",""
"Very often","2005","Not Employed","1-pers.-HH","","","",""
"Very often","2005","Not Employed","(Married) couple without C. ","","","",""
"Very often","2005","Not Employed","Single parent ","","","",""
"Very often","2005","Not Employed","Couple + C. LE 16 ","","","",""
"Very often","2005","Not Employed","Couple + C. GT 16 ","","","",""
"Very often","2005","Not Employed","Couple + C. LE and GT 16","","","",""
"Very often","2005","Employed","1-pers.-HH","","","",""
"Very often","2005","Employed","(Married) couple without C. ","","","",""
"Very often","2005","Employed","Single parent ","","","",""
"Very often","2005","Employed","Couple + C. LE 16 ","","","",""
"Very often","2005","Employed","Couple + C. GT 16 ","","","",""
"Very often","2005","Employed","Couple + C. LE and GT 16","","","",""
"Often","2005","Not Employed","1-pers.-HH","","","",""
"Often","2005","Not Employed","(Married) couple without C. ","","","",""
"Often","2005","Not Employed","Single parent ","","","",""
"Often","2005","Not Employed","Couple + C. LE 16 ","","","",""
"Often","2005","Not Employed","Couple + C. GT 16 ","","","",""
"Often","2005","Not Employed","Couple + C. LE and GT 16","","","",""
"Often","2005","Employed","1-pers.-HH","","","",""
"Often","2005","Employed","(Married) couple without C. ","","","",""
"Often","2005","Employed","Single parent ","","","",""
"Often","2005","Employed","Couple + C. LE 16 ","","","",""
"Often","2005","Employed","Couple + C. GT 16 ","","","",""
"Often","2005","Employed","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","Not Employed","1-pers.-HH","","","",""
"Sometimes","2005","Not Employed","(Married) couple without C. ","","","",""
"Sometimes","2005","Not Employed","Single parent ","","","",""
"Sometimes","2005","Not Employed","Couple + C. LE 16 ","","","",""
"Sometimes","2005","Not Employed","Couple + C. GT 16 ","","","",""
"Sometimes","2005","Not Employed","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","Employed","1-pers.-HH","","","",""
"Sometimes","2005","Employed","(Married) couple without C. ","","","",""
"Sometimes","2005","Employed","Single parent ","","","",""
"Sometimes","2005","Employed","Couple + C. LE 16 ","","","",""
"Sometimes","2005","Employed","Couple + C. GT 16 ","","","",""
"Sometimes","2005","Employed","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Not Employed","1-pers.-HH","","","",""
"Rarely","2005","Not Employed","(Married) couple without C. ","","","",""
"Rarely","2005","Not Employed","Single parent ","","","",""
"Rarely","2005","Not Employed","Couple + C. LE 16 ","","","",""
"Rarely","2005","Not Employed","Couple + C. GT 16 ","","","",""
"Rarely","2005","Not Employed","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Employed","1-pers.-HH","","","",""
"Rarely","2005","Employed","(Married) couple without C. ","","","",""
"Rarely","2005","Employed","Single parent ","","","",""
"Rarely","2005","Employed","Couple + C. LE 16 ","","","",""
"Rarely","2005","Employed","Couple + C. GT 16 ","","","",""
"Rarely","2005","Employed","Couple + C. LE and GT 16","","","",""
"Never","2005","Not Employed","1-pers.-HH","","","",""
"Never","2005","Not Employed","(Married) couple without C. ","","","",""
"Never","2005","Not Employed","Single parent ","","","",""
"Never","2005","Not Employed","Couple + C. LE 16 ","","","",""
"Never","2005","Not Employed","Couple + C. GT 16 ","","","",""
"Never","2005","Not Employed","Couple + C. LE and GT 16","","","",""
"Never","2005","Employed","1-pers.-HH","","","",""
"Never","2005","Employed","(Married) couple without C. ","","","",""
"Never","2005","Employed","Single parent ","","","",""
"Never","2005","Employed","Couple + C. LE 16 ","","","",""
"Never","2005","Employed","Couple + C. GT 16 ","","","",""
"Never","2005","Employed","Couple + C. LE and GT 16","","","",""
"Very often","2006","Not Employed","1-pers.-HH","","","",""
"Very often","2006","Not Employed","(Married) couple without C. ","","","",""
"Very often","2006","Not Employed","Single parent ","","","",""
"Very often","2006","Not Employed","Couple + C. LE 16 ","","","",""
"Very often","2006","Not Employed","Couple + C. GT 16 ","","","",""
"Very often","2006","Not Employed","Couple + C. LE and GT 16","","","",""
"Very often","2006","Employed","1-pers.-HH","","","",""
"Very often","2006","Employed","(Married) couple without C. ","","","",""
"Very often","2006","Employed","Single parent ","","","",""
"Very often","2006","Employed","Couple + C. LE 16 ","","","",""
"Very often","2006","Employed","Couple + C. GT 16 ","","","",""
"Very often","2006","Employed","Couple + C. LE and GT 16","","","",""
"Often","2006","Not Employed","1-pers.-HH","","","",""
"Often","2006","Not Employed","(Married) couple without C. ","","","",""
"Often","2006","Not Employed","Single parent ","","","",""
"Often","2006","Not Employed","Couple + C. LE 16 ","","","",""
"Often","2006","Not Employed","Couple + C. GT 16 ","","","",""
"Often","2006","Not Employed","Couple + C. LE and GT 16","","","",""
"Often","2006","Employed","1-pers.-HH","","","",""
"Often","2006","Employed","(Married) couple without C. ","","","",""
"Often","2006","Employed","Single parent ","","","",""
"Often","2006","Employed","Couple + C. LE 16 ","","","",""
"Often","2006","Employed","Couple + C. GT 16 ","","","",""
"Often","2006","Employed","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Not Employed","1-pers.-HH","","","",""
"Sometimes","2006","Not Employed","(Married) couple without C. ","","","",""
"Sometimes","2006","Not Employed","Single parent ","","","",""
"Sometimes","2006","Not Employed","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Not Employed","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Not Employed","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Employed","1-pers.-HH","","","",""
"Sometimes","2006","Employed","(Married) couple without C. ","","","",""
"Sometimes","2006","Employed","Single parent ","","","",""
"Sometimes","2006","Employed","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Employed","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Employed","Couple + C. LE and GT 16","","","",""
"Rarely","2006","Not Employed","1-pers.-HH","","","",""
"Rarely","2006","Not Employed","(Married) couple without C. ","","","",""
"Rarely","2006","Not Employed","Single parent ","","","",""
"Rarely","2006","Not Employed","Couple + C. LE 16 ","","","",""
"Rarely","2006","Not Employed","Couple + C. GT 16 ","","","",""
"Rarely","2006","Not Employed","Couple + C. LE and GT 16","","","",""
"Rarely","2006","Employed","1-pers.-HH","","","",""
"Rarely","2006","Employed","(Married) couple without C. ","","","",""
"Rarely","2006","Employed","Single parent ","","","",""
"Rarely","2006","Employed","Couple + C. LE 16 ","","","",""
"Rarely","2006","Employed","Couple + C. GT 16 ","","","",""
"Rarely","2006","Employed","Couple + C. LE and GT 16","","","",""
"Never","2006","Not Employed","1-pers.-HH","","","",""
"Never","2006","Not Employed","(Married) couple without C. ","","","",""
"Never","2006","Not Employed","Single parent ","","","",""
"Never","2006","Not Employed","Couple + C. LE 16 ","","","",""
"Never","2006","Not Employed","Couple + C. GT 16 ","","","",""
"Never","2006","Not Employed","Couple + C. LE and GT 16","","","",""
"Never","2006","Employed","1-pers.-HH","","","",""
"Never","2006","Employed","(Married) couple without C. ","","","",""
"Never","2006","Employed","Single parent ","","","",""
"Never","2006","Employed","Couple + C. LE 16 ","","","",""
"Never","2006","Employed","Couple + C. GT 16 ","","","",""
"Never","2006","Employed","Couple + C. LE and GT 16","","","",""
"Very often","2007","Not Employed","1-pers.-HH","","","",""
"Very often","2007","Not Employed","(Married) couple without C. ","","","",""
"Very often","2007","Not Employed","Single parent ","","","",""
"Very often","2007","Not Employed","Couple + C. LE 16 ","","","",""
"Very often","2007","Not Employed","Couple + C. GT 16 ","","","",""
"Very often","2007","Not Employed","Couple + C. LE and GT 16","","","",""
"Very often","2007","Employed","1-pers.-HH","","","",""
"Very often","2007","Employed","(Married) couple without C. ","","","",""
"Very often","2007","Employed","Single parent ","","","",""
"Very often","2007","Employed","Couple + C. LE 16 ","","","",""
"Very often","2007","Employed","Couple + C. GT 16 ","","","",""
"Very often","2007","Employed","Couple + C. LE and GT 16","","","",""
"Often","2007","Not Employed","1-pers.-HH","","","",""
"Often","2007","Not Employed","(Married) couple without C. ","","","",""
"Often","2007","Not Employed","Single parent ","","","",""
"Often","2007","Not Employed","Couple + C. LE 16 ","","","",""
"Often","2007","Not Employed","Couple + C. GT 16 ","","","",""
"Often","2007","Not Employed","Couple + C. LE and GT 16","","","",""
"Often","2007","Employed","1-pers.-HH","","","",""
"Often","2007","Employed","(Married) couple without C. ","","","",""
"Often","2007","Employed","Single parent ","","","",""
"Often","2007","Employed","Couple + C. LE 16 ","","","",""
"Often","2007","Employed","Couple + C. GT 16 ","","","",""
"Often","2007","Employed","Couple + C. LE and GT 16","","","",""
"Sometimes","2007","Not Employed","1-pers.-HH","","","",""
"Sometimes","2007","Not Employed","(Married) couple without C. ","","","",""
"Sometimes","2007","Not Employed","Single parent ","","","",""
"Sometimes","2007","Not Employed","Couple + C. LE 16 ","","","",""
"Sometimes","2007","Not Employed","Couple + C. GT 16 ","","","",""
"Sometimes","2007","Not Employed","Couple + C. LE and GT 16","","","",""
"Sometimes","2007","Employed","1-pers.-HH","","","",""
"Sometimes","2007","Employed","(Married) couple without C. ","","","",""
"Sometimes","2007","Employed","Single parent ","","","",""
"Sometimes","2007","Employed","Couple + C. LE 16 ","","","",""
"Sometimes","2007","Employed","Couple + C. GT 16 ","","","",""
"Sometimes","2007","Employed","Couple + C. LE and GT 16","","","",""
"Rarely","2007","Not Employed","1-pers.-HH","","","",""
"Rarely","2007","Not Employed","(Married) couple without C. ","","","",""
"Rarely","2007","Not Employed","Single parent ","","","",""
"Rarely","2007","Not Employed","Couple + C. LE 16 ","","","",""
"Rarely","2007","Not Employed","Couple + C. GT 16 ","","","",""
"Rarely","2007","Not Employed","Couple + C. LE and GT 16","","","",""
"Rarely","2007","Employed","1-pers.-HH","","","",""
"Rarely","2007","Employed","(Married) couple without C. ","","","",""
"Rarely","2007","Employed","Single parent ","","","",""
"Rarely","2007","Employed","Couple + C. LE 16 ","","","",""
"Rarely","2007","Employed","Couple + C. GT 16 ","","","",""
"Rarely","2007","Employed","Couple + C. LE and GT 16","","","",""
"Never","2007","Not Employed","1-pers.-HH","","","",""
"Never","2007","Not Employed","(Married) couple without C. ","","","",""
"Never","2007","Not Employed","Single parent ","","","",""
"Never","2007","Not Employed","Couple + C. LE 16 ","","","",""
"Never","2007","Not Employed","Couple + C. GT 16 ","","","",""
"Never","2007","Not Employed","Couple + C. LE and GT 16","","","",""
"Never","2007","Employed","1-pers.-HH","","","",""
"Never","2007","Employed","(Married) couple without C. ","","","",""
"Never","2007","Employed","Single parent ","","","",""
"Never","2007","Employed","Couple + C. LE 16 ","","","",""
"Never","2007","Employed","Couple + C. GT 16 ","","","",""
"Never","2007","Employed","Couple + C. LE and GT 16","","","",""
"Very often","2008","Not Employed","1-pers.-HH","33","0.0212175630368113","0.0139561780741544","0.0284789479994682"
"Very often","2008","Not Employed","(Married) couple without C. ","50","0.0112738932980877","0.00783745024037157","0.0147103363558039"
"Very often","2008","Not Employed","Single parent ","16","","",""
"Very often","2008","Not Employed","Couple + C. LE 16 ","26","","",""
"Very often","2008","Not Employed","Couple + C. GT 16 ","39","0.0332414547083187","0.0216701680980768","0.0448127413185605"
"Very often","2008","Not Employed","Couple + C. LE and GT 16","24","","",""
"Very often","2008","Employed","1-pers.-HH","72","0.0458337253375561","0.0352788761986132","0.0563885744764991"
"Very often","2008","Employed","(Married) couple without C. ","109","0.0320520186113355","0.0261410189608268","0.0379630182618443"
"Very often","2008","Employed","Single parent ","18","","",""
"Very often","2008","Employed","Couple + C. LE 16 ","101","0.0386644156746569","0.0314070907632008","0.0459217405861131"
"Very often","2008","Employed","Couple + C. GT 16 ","84","0.040013727647073","0.0322098868451723","0.0478175684489738"
"Very often","2008","Employed","Couple + C. LE and GT 16","29","","",""
"Often","2008","Not Employed","1-pers.-HH","143","0.0909808061686359","0.0764900835230798","0.105471528814192"
"Often","2008","Not Employed","(Married) couple without C. ","282","0.0700080055746757","0.0617028523582181","0.0783131587911334"
"Often","2008","Not Employed","Single parent ","68","0.175143053256775","0.136724593902524","0.213561512611027"
"Often","2008","Not Employed","Couple + C. LE 16 ","80","0.139657958071109","0.109152632128136","0.170163284014082"
"Often","2008","Not Employed","Couple + C. GT 16 ","166","0.162776965097276","0.138948301376665","0.186605628817887"
"Often","2008","Not Employed","Couple + C. LE and GT 16","69","0.215398957734883","0.168956939747292","0.261840975722474"
"Often","2008","Employed","1-pers.-HH","339","0.216537918229605","0.195749406926511","0.237326429532698"
"Often","2008","Employed","(Married) couple without C. ","559","0.156036575026599","0.143858398954147","0.16821475109905"
"Often","2008","Employed","Single parent ","159","0.221081308032034","0.190470991808968","0.2516916242551"
"Often","2008","Employed","Couple + C. LE 16 ","501","0.188351476527238","0.173633373176053","0.203069579878422"
"Often","2008","Employed","Couple + C. GT 16 ","449","0.185105762427613","0.169641401520364","0.200570123334862"
"Often","2008","Employed","Couple + C. LE and GT 16","150","0.148462883587365","0.125310552241858","0.171615214932872"
"Sometimes","2008","Not Employed","1-pers.-HH","377","0.258134382508482","0.236084099074606","0.280184665942359"
"Sometimes","2008","Not Employed","(Married) couple without C. ","982","0.272551186416024","0.258058147794735","0.287044225037314"
"Sometimes","2008","Not Employed","Single parent ","110","0.334678375941533","0.286982172131342","0.382374579751723"
"Sometimes","2008","Not Employed","Couple + C. LE 16 ","167","0.32292279041266","0.281772235224385","0.364073345600936"
"Sometimes","2008","Not Employed","Couple + C. GT 16 ","297","0.343595190973296","0.312940845615233","0.374249536331359"
"Sometimes","2008","Not Employed","Couple + C. LE and GT 16","119","0.382959423160833","0.328043525684768","0.437875320636897"
"Sometimes","2008","Employed","1-pers.-HH","559","0.361837671703187","0.337584424569184","0.386090918837191"
"Sometimes","2008","Employed","(Married) couple without C. ","1226","0.35500835494943","0.338949907203566","0.371066802695293"
"Sometimes","2008","Employed","Single parent ","276","0.380860892801028","0.345041101649442","0.416680683952614"
"Sometimes","2008","Employed","Couple + C. LE 16 ","1053","0.36788531457341","0.349732770571534","0.386037858575287"
"Sometimes","2008","Employed","Couple + C. GT 16 ","927","0.373646053559215","0.354383604961217","0.392908502157213"
"Sometimes","2008","Employed","Couple + C. LE and GT 16","380","0.435744929091036","0.403457170425594","0.468032687756478"
"Rarely","2008","Not Employed","1-pers.-HH","382","0.251389217852933","0.229530232989569","0.273248202716296"
"Rarely","2008","Not Employed","(Married) couple without C. ","1232","0.339818262186112","0.324401637430043","0.355234886942181"
"Rarely","2008","Not Employed","Single parent ","96","0.250737002286496","0.206926268627895","0.294547735945097"
"Rarely","2008","Not Employed","Couple + C. LE 16 ","141","0.326683565593492","0.285409190772849","0.367957940414136"
"Rarely","2008","Not Employed","Couple + C. GT 16 ","266","0.283121988953823","0.254042145752131","0.312201832155515"
"Rarely","2008","Not Employed","Couple + C. LE and GT 16","69","0.255063876230202","0.205820384697341","0.304307367763063"
"Rarely","2008","Employed","1-pers.-HH","380","0.251853816437946","0.229945201576824","0.273762431299069"
"Rarely","2008","Employed","(Married) couple without C. ","1082","0.328264260683903","0.312505637895347","0.344022883472458"
"Rarely","2008","Employed","Single parent ","170","0.244100561748736","0.212414946729291","0.275786176768181"
"Rarely","2008","Employed","Couple + C. LE 16 ","803","0.301858319371531","0.284577804000159","0.319138834742903"
"Rarely","2008","Employed","Couple + C. GT 16 ","711","0.27647802426244","0.258669515434673","0.294286533090206"
"Rarely","2008","Employed","Couple + C. LE and GT 16","255","0.305115554389328","0.275132735500868","0.335098373277787"
"Never","2008","Not Employed","1-pers.-HH","578","0.378278030433138","0.353841907930854","0.402714152935421"
"Never","2008","Not Employed","(Married) couple without C. ","1080","0.3063486525251","0.29134445421806","0.321352850832141"
"Never","2008","Not Employed","Single parent ","86","0.209218844926392","0.168105508296829","0.250332181555956"
"Never","2008","Not Employed","Couple + C. LE 16 ","82","0.170180695134069","0.137109174339003","0.203252215929136"
"Never","2008","Not Employed","Couple + C. GT 16 ","154","0.177264400267287","0.152614024832414","0.201914775702159"
"Never","2008","Not Employed","Couple + C. LE and GT 16","20","","",""
"Never","2008","Employed","1-pers.-HH","158","0.123936868291705","0.107305982500465","0.140567754082946"
"Never","2008","Employed","(Married) couple without C. ","435","0.128638790728734","0.117403292983483","0.139874288473984"
"Never","2008","Employed","Single parent ","83","0.132445617132739","0.107441421381585","0.157449812883892"
"Never","2008","Employed","Couple + C. LE 16 ","253","0.103240473853164","0.0917867600723254","0.114694187634002"
"Never","2008","Employed","Couple + C. GT 16 ","252","0.124756432103659","0.111599115632707","0.137913748574611"
"Never","2008","Employed","Couple + C. LE and GT 16","92","0.0828391653583021","0.0648908124647706","0.100787518251834"
"Very often","2009","Not Employed","1-pers.-HH","","","",""
"Very often","2009","Not Employed","(Married) couple without C. ","","","",""
"Very often","2009","Not Employed","Single parent ","","","",""
"Very often","2009","Not Employed","Couple + C. LE 16 ","","","",""
"Very often","2009","Not Employed","Couple + C. GT 16 ","","","",""
"Very often","2009","Not Employed","Couple + C. LE and GT 16","","","",""
"Very often","2009","Employed","1-pers.-HH","","","",""
"Very often","2009","Employed","(Married) couple without C. ","","","",""
"Very often","2009","Employed","Single parent ","","","",""
"Very often","2009","Employed","Couple + C. LE 16 ","","","",""
"Very often","2009","Employed","Couple + C. GT 16 ","","","",""
"Very often","2009","Employed","Couple + C. LE and GT 16","","","",""
"Often","2009","Not Employed","1-pers.-HH","","","",""
"Often","2009","Not Employed","(Married) couple without C. ","","","",""
"Often","2009","Not Employed","Single parent ","","","",""
"Often","2009","Not Employed","Couple + C. LE 16 ","","","",""
"Often","2009","Not Employed","Couple + C. GT 16 ","","","",""
"Often","2009","Not Employed","Couple + C. LE and GT 16","","","",""
"Often","2009","Employed","1-pers.-HH","","","",""
"Often","2009","Employed","(Married) couple without C. ","","","",""
"Often","2009","Employed","Single parent ","","","",""
"Often","2009","Employed","Couple + C. LE 16 ","","","",""
"Often","2009","Employed","Couple + C. GT 16 ","","","",""
"Often","2009","Employed","Couple + C. LE and GT 16","","","",""
"Sometimes","2009","Not Employed","1-pers.-HH","","","",""
"Sometimes","2009","Not Employed","(Married) couple without C. ","","","",""
"Sometimes","2009","Not Employed","Single parent ","","","",""
"Sometimes","2009","Not Employed","Couple + C. LE 16 ","","","",""
"Sometimes","2009","Not Employed","Couple + C. GT 16 ","","","",""
