"pld0043","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Often","2003","Berlin","Single parent ","11","","","","2"
"Often","2003","Berlin","Couple + C. LE 16 ","25","","","","2"
"Often","2003","Berlin","Couple + C. GT 16 ","26","","","","2"
"Often","2003","Berlin","Couple + C. LE and GT 16","16","","","","2"
"Often","2003","Brandenburg","1-pers.-HH","18","","","","2"
"Often","2003","Brandenburg","(Married) couple without C. ","32","0.100380619057973","0.06867086454464","0.132090373571305","2"
"Often","2003","Brandenburg","Single parent ","7","","","","2"
"Often","2003","Brandenburg","Couple + C. LE 16 ","10","","","","2"
"Rarely","2003","Schleswig-Holstein","1-pers.-HH","26","","","","4"
"Rarely","2003","Schleswig-Holstein","(Married) couple without C. ","91","0.378844090143518","0.319069253267841","0.438618927019196","4"
"Rarely","2003","Schleswig-Holstein","Single parent ","6","","","","4"
"Rarely","2003","Schleswig-Holstein","Couple + C. LE 16 ","31","0.201068635828706","0.131634984002937","0.270502287654475","4"
"Rarely","2003","Schleswig-Holstein","Couple + C. GT 16 ","27","","","","4"
"Rarely","2003","Schleswig-Holstein","Couple + C. LE and GT 16","7","","","","4"
"Rarely","2003","Hamburg","1-pers.-HH","20","","","","4"
"Rarely","2003","Hamburg","(Married) couple without C. ","28","","","","4"
"Rarely","2003","Hamburg","Single parent ","2","","","","4"
"Rarely","2003","Hamburg","Couple + C. LE 16 ","15","","","","4"
"Rarely","2003","Hamburg","Couple + C. GT 16 ","5","","","","4"
"Rarely","2003","Hamburg","Couple + C. LE and GT 16","3","","","","4"
"Rarely","2003","Lower Saxony","1-pers.-HH","56","0.279484259977477","0.21922015613724","0.339748363817714","4"
"Rarely","2003","Lower Saxony","(Married) couple without C. ","195","0.352309630354978","0.314276877950062","0.390342382759894","4"
"Rarely","2003","Lower Saxony","Single parent ","30","0.264641039664343","0.179857857535001","0.349424221793685","4"
"Rarely","2003","Lower Saxony","Couple + C. LE 16 ","101","0.238353002848455","0.197110658540325","0.279595347156585","4"
"Rarely","2003","Lower Saxony","Couple + C. GT 16 ","89","0.278670164662527","0.232227325361577","0.325113003963477","4"
"Rarely","2003","Lower Saxony","Couple + C. LE and GT 16","38","0.252783413023128","0.18130062917725","0.324266196869006","4"
"Rarely","2003","Bremen","1-pers.-HH","5","","","","4"
"Rarely","2003","Bremen","(Married) couple without C. ","19","","","","4"
"Rarely","2003","Bremen","Single parent ","3","","","","4"
"Rarely","2003","Bremen","Couple + C. LE 16 ","7","","","","4"
"Rarely","2003","Bremen","Couple + C. GT 16 ","6","","","","4"
"Rarely","2003","Bremen","Couple + C. LE and GT 16","","","","","4"
"Rarely","2003","North Rhine-Westphalia","1-pers.-HH","137","0.202760311588452","0.171562532248965","0.23395809092794","4"
"Rarely","2003","North Rhine-Westphalia","(Married) couple without C. ","433","0.280220604029924","0.257920129621507","0.302521078438342","4"
"Rarely","2003","North Rhine-Westphalia","Single parent ","43","0.232778085628826","0.175208319655591","0.290347851602062","4"
"Rarely","2003","North Rhine-Westphalia","Couple + C. LE 16 ","236","0.229281526340716","0.202922265622924","0.255640787058508","4"
"Rarely","2003","North Rhine-Westphalia","Couple + C. GT 16 ","168","0.21330456808012","0.184593582118448","0.242015554041791","4"
"Rarely","2003","North Rhine-Westphalia","Couple + C. LE and GT 16","80","0.231368277779415","0.188282370674453","0.274454184884376","4"
"Rarely","2003","Baden-Württemberg","(Married) couple without C. ","272","0.326001644564512","0.29364079727601","0.358362491853013","4"
"Rarely","2003","Baden-Württemberg","Single parent ","33","0.289947472005594","0.212543004431918","0.36735193957927","4"
"Rarely","2003","Baden-Württemberg","Couple + C. LE 16 ","179","0.292706236267336","0.256568965744136","0.328843506790536","4"
"Rarely","2003","Baden-Württemberg","Couple + C. GT 16 ","113","0.276889228869725","0.236218958382389","0.317559499357061","4"
"Rarely","2003","Baden-Württemberg","Couple + C. LE and GT 16","74","0.279588622706583","0.228287785268395","0.330889460144772","4"
"Rarely","2003","Bavaria","1-pers.-HH","94","0.221130454595545","0.180307025825725","0.261953883365366","4"
