"pld0043","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Never","2003","Mecklenburg-Western Pomerania","Not Employed","55","0.358303553925829","0.289761116959425","0.426845990892233"
"Never","2003","Mecklenburg-Western Pomerania","Employed","29","","",""
"Never","2003","Saxony","Not Employed","181","0.307823421602528","0.271518828682276","0.344128014522779"
"Never","2003","Saxony","Employed","106","0.109167078616806","0.0897610696223694","0.128573087611242"
"Never","2003","Saxony-Anhalt","Not Employed","141","0.39743970421482","0.349482486780981","0.44539692164866"
"Never","2003","Saxony-Anhalt","Employed","58","0.129230954622321","0.100752314092259","0.157709595152382"
"Never","2003","Thuringia","Not Employed","119","0.364478484022747","0.316215131417635","0.412741836627859"
"Never","2003","Thuringia","Employed","62","0.148087085174023","0.119055525904402","0.177118644443643"
"Very often","2004","Schleswig-Holstein","Not Employed","","","",""
"Very often","2004","Schleswig-Holstein","Employed","","","",""
"Very often","2004","Hamburg","Not Employed","","","",""
"Very often","2004","Hamburg","Employed","","","",""
"Very often","2004","Lower Saxony","Not Employed","","","",""
"Very often","2004","Lower Saxony","Employed","","","",""
"Very often","2004","Bremen","Not Employed","","","",""
"Very often","2004","Bremen","Employed","","","",""
"Very often","2004","North Rhine-Westphalia","Not Employed","","","",""
"Very often","2004","North Rhine-Westphalia","Employed","","","",""
"Very often","2004","Hesse","Not Employed","","","",""
"Very often","2004","Hesse","Employed","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","Employed","","","",""
"Very often","2004","Baden-Württemberg","Not Employed","","","",""
"Very often","2004","Baden-Württemberg","Employed","","","",""
"Very often","2004","Bavaria","Not Employed","","","",""
"Very often","2004","Bavaria","Employed","","","",""
"Very often","2004","Berlin","Not Employed","","","",""
"Very often","2004","Berlin","Employed","","","",""
"Very often","2004","Brandenburg","Not Employed","","","",""
"Very often","2004","Brandenburg","Employed","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","Employed","","","",""
"Very often","2004","Saxony","Not Employed","","","",""
"Very often","2004","Saxony","Employed","","","",""
"Very often","2004","Saxony-Anhalt","Not Employed","","","",""
"Very often","2004","Saxony-Anhalt","Employed","","","",""
"Very often","2004","Thuringia","Not Employed","","","",""
"Very often","2004","Thuringia","Employed","","","",""
"Often","2004","Schleswig-Holstein","Not Employed","","","",""
"Often","2004","Schleswig-Holstein","Employed","","","",""
"Often","2004","Hamburg","Not Employed","","","",""
"Often","2004","Hamburg","Employed","","","",""
"Often","2004","Lower Saxony","Not Employed","","","",""
"Often","2004","Lower Saxony","Employed","","","",""
"Often","2004","Bremen","Not Employed","","","",""
"Often","2004","Bremen","Employed","","","",""
"Often","2004","North Rhine-Westphalia","Not Employed","","","",""
"Often","2004","North Rhine-Westphalia","Employed","","","",""
"Often","2004","Hesse","Not Employed","","","",""
"Often","2004","Hesse","Employed","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","Employed","","","",""
"Often","2004","Baden-Württemberg","Not Employed","","","",""
"Often","2004","Baden-Württemberg","Employed","","","",""
"Often","2004","Bavaria","Not Employed","","","",""
"Often","2004","Bavaria","Employed","","","",""
"Often","2004","Berlin","Not Employed","","","",""
"Often","2004","Berlin","Employed","","","",""
"Often","2004","Brandenburg","Not Employed","","","",""
"Often","2004","Brandenburg","Employed","","","",""
"Often","2004","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Often","2004","Mecklenburg-Western Pomerania","Employed","","","",""
"Often","2004","Saxony","Not Employed","","","",""
"Often","2004","Saxony","Employed","","","",""
"Often","2004","Saxony-Anhalt","Not Employed","","","",""
"Often","2004","Saxony-Anhalt","Employed","","","",""
"Often","2004","Thuringia","Not Employed","","","",""
"Often","2004","Thuringia","Employed","","","",""
"Sometimes","2004","Schleswig-Holstein","Not Employed","","","",""
"Sometimes","2004","Schleswig-Holstein","Employed","","","",""
"Sometimes","2004","Hamburg","Not Employed","","","",""
"Sometimes","2004","Hamburg","Employed","","","",""
"Sometimes","2004","Lower Saxony","Not Employed","","","",""
"Sometimes","2004","Lower Saxony","Employed","","","",""
"Sometimes","2004","Bremen","Not Employed","","","",""
"Sometimes","2004","Bremen","Employed","","","",""
"Sometimes","2004","North Rhine-Westphalia","Not Employed","","","",""
"Sometimes","2004","North Rhine-Westphalia","Employed","","","",""
"Sometimes","2004","Hesse","Not Employed","","","",""
"Sometimes","2004","Hesse","Employed","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","Employed","","","",""
"Sometimes","2004","Baden-Württemberg","Not Employed","","","",""
"Sometimes","2004","Baden-Württemberg","Employed","","","",""
"Sometimes","2004","Bavaria","Not Employed","","","",""
"Sometimes","2004","Bavaria","Employed","","","",""
"Sometimes","2004","Berlin","Not Employed","","","",""
"Sometimes","2004","Berlin","Employed","","","",""
"Sometimes","2004","Brandenburg","Not Employed","","","",""
"Sometimes","2004","Brandenburg","Employed","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","Employed","","","",""
"Sometimes","2004","Saxony","Not Employed","","","",""
"Sometimes","2004","Saxony","Employed","","","",""
"Sometimes","2004","Saxony-Anhalt","Not Employed","","","",""
"Sometimes","2004","Saxony-Anhalt","Employed","","","",""
"Sometimes","2004","Thuringia","Not Employed","","","",""
"Sometimes","2004","Thuringia","Employed","","","",""
"Rarely","2004","Schleswig-Holstein","Not Employed","","","",""
"Rarely","2004","Schleswig-Holstein","Employed","","","",""
"Rarely","2004","Hamburg","Not Employed","","","",""
"Rarely","2004","Hamburg","Employed","","","",""
"Rarely","2004","Lower Saxony","Not Employed","","","",""
"Rarely","2004","Lower Saxony","Employed","","","",""
"Rarely","2004","Bremen","Not Employed","","","",""
"Rarely","2004","Bremen","Employed","","","",""
"Rarely","2004","North Rhine-Westphalia","Not Employed","","","",""
"Rarely","2004","North Rhine-Westphalia","Employed","","","",""
"Rarely","2004","Hesse","Not Employed","","","",""
"Rarely","2004","Hesse","Employed","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","Employed","","","",""
"Rarely","2004","Baden-Württemberg","Not Employed","","","",""
"Rarely","2004","Baden-Württemberg","Employed","","","",""
"Rarely","2004","Bavaria","Not Employed","","","",""
"Rarely","2004","Bavaria","Employed","","","",""
"Rarely","2004","Berlin","Not Employed","","","",""
"Rarely","2004","Berlin","Employed","","","",""
"Rarely","2004","Brandenburg","Not Employed","","","",""
"Rarely","2004","Brandenburg","Employed","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","Employed","","","",""
"Rarely","2004","Saxony","Not Employed","","","",""
"Rarely","2004","Saxony","Employed","","","",""
"Rarely","2004","Saxony-Anhalt","Not Employed","","","",""
"Rarely","2004","Saxony-Anhalt","Employed","","","",""
"Rarely","2004","Thuringia","Not Employed","","","",""
"Rarely","2004","Thuringia","Employed","","","",""
"Never","2004","Schleswig-Holstein","Not Employed","","","",""
"Never","2004","Schleswig-Holstein","Employed","","","",""
"Never","2004","Hamburg","Not Employed","","","",""
"Never","2004","Hamburg","Employed","","","",""
"Never","2004","Lower Saxony","Not Employed","","","",""
"Never","2004","Lower Saxony","Employed","","","",""
"Never","2004","Bremen","Not Employed","","","",""
"Never","2004","Bremen","Employed","","","",""
"Never","2004","North Rhine-Westphalia","Not Employed","","","",""
"Never","2004","North Rhine-Westphalia","Employed","","","",""
"Never","2004","Hesse","Not Employed","","","",""
"Never","2004","Hesse","Employed","","","",""
"Never","2004","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Never","2004","Rhineland-Palatinate,Saarland","Employed","","","",""
"Never","2004","Baden-Württemberg","Not Employed","","","",""
"Never","2004","Baden-Württemberg","Employed","","","",""
"Never","2004","Bavaria","Not Employed","","","",""
"Never","2004","Bavaria","Employed","","","",""
"Never","2004","Berlin","Not Employed","","","",""
"Never","2004","Berlin","Employed","","","",""
"Never","2004","Brandenburg","Not Employed","","","",""
"Never","2004","Brandenburg","Employed","","","",""
"Never","2004","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Never","2004","Mecklenburg-Western Pomerania","Employed","","","",""
"Never","2004","Saxony","Not Employed","","","",""
"Never","2004","Saxony","Employed","","","",""
"Never","2004","Saxony-Anhalt","Not Employed","","","",""
"Never","2004","Saxony-Anhalt","Employed","","","",""
"Never","2004","Thuringia","Not Employed","","","",""
"Never","2004","Thuringia","Employed","","","",""
"Very often","2005","Schleswig-Holstein","Not Employed","","","",""
"Very often","2005","Schleswig-Holstein","Employed","","","",""
"Very often","2005","Hamburg","Not Employed","","","",""
"Very often","2005","Hamburg","Employed","","","",""
"Very often","2005","Lower Saxony","Not Employed","","","",""
"Very often","2005","Lower Saxony","Employed","","","",""
"Very often","2005","Bremen","Not Employed","","","",""
"Very often","2005","Bremen","Employed","","","",""
"Very often","2005","North Rhine-Westphalia","Not Employed","","","",""
"Very often","2005","North Rhine-Westphalia","Employed","","","",""
"Very often","2005","Hesse","Not Employed","","","",""
"Very often","2005","Hesse","Employed","","","",""
"Very often","2005","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Very often","2005","Rhineland-Palatinate,Saarland","Employed","","","",""
"Very often","2005","Baden-Württemberg","Not Employed","","","",""
"Very often","2005","Baden-Württemberg","Employed","","","",""
"Very often","2005","Bavaria","Not Employed","","","",""
"Very often","2005","Bavaria","Employed","","","",""
"Very often","2005","Berlin","Not Employed","","","",""
"Very often","2005","Berlin","Employed","","","",""
"Very often","2005","Brandenburg","Not Employed","","","",""
"Very often","2005","Brandenburg","Employed","","","",""
"Very often","2005","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very often","2005","Mecklenburg-Western Pomerania","Employed","","","",""
"Very often","2005","Saxony","Not Employed","","","",""
"Very often","2005","Saxony","Employed","","","",""
"Very often","2005","Saxony-Anhalt","Not Employed","","","",""
"Very often","2005","Saxony-Anhalt","Employed","","","",""
"Very often","2005","Thuringia","Not Employed","","","",""
"Very often","2005","Thuringia","Employed","","","",""
"Often","2005","Schleswig-Holstein","Not Employed","","","",""
"Often","2005","Schleswig-Holstein","Employed","","","",""
"Often","2005","Hamburg","Not Employed","","","",""
"Often","2005","Hamburg","Employed","","","",""
"Often","2005","Lower Saxony","Not Employed","","","",""
"Often","2005","Lower Saxony","Employed","","","",""
"Often","2005","Bremen","Not Employed","","","",""
"Often","2005","Bremen","Employed","","","",""
"Often","2005","North Rhine-Westphalia","Not Employed","","","",""
"Often","2005","North Rhine-Westphalia","Employed","","","",""
"Often","2005","Hesse","Not Employed","","","",""
"Often","2005","Hesse","Employed","","","",""
"Often","2005","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Often","2005","Rhineland-Palatinate,Saarland","Employed","","","",""
"Often","2005","Baden-Württemberg","Not Employed","","","",""
"Often","2005","Baden-Württemberg","Employed","","","",""
"Often","2005","Bavaria","Not Employed","","","",""
"Often","2005","Bavaria","Employed","","","",""
"Often","2005","Berlin","Not Employed","","","",""
"Often","2005","Berlin","Employed","","","",""
"Often","2005","Brandenburg","Not Employed","","","",""
"Often","2005","Brandenburg","Employed","","","",""
"Often","2005","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Often","2005","Mecklenburg-Western Pomerania","Employed","","","",""
"Often","2005","Saxony","Not Employed","","","",""
"Often","2005","Saxony","Employed","","","",""
"Often","2005","Saxony-Anhalt","Not Employed","","","",""
"Often","2005","Saxony-Anhalt","Employed","","","",""
"Often","2005","Thuringia","Not Employed","","","",""
"Often","2005","Thuringia","Employed","","","",""
"Sometimes","2005","Schleswig-Holstein","Not Employed","","","",""
"Sometimes","2005","Schleswig-Holstein","Employed","","","",""
"Sometimes","2005","Hamburg","Not Employed","","","",""
"Sometimes","2005","Hamburg","Employed","","","",""
"Sometimes","2005","Lower Saxony","Not Employed","","","",""
"Sometimes","2005","Lower Saxony","Employed","","","",""
"Sometimes","2005","Bremen","Not Employed","","","",""
"Sometimes","2005","Bremen","Employed","","","",""
"Sometimes","2005","North Rhine-Westphalia","Not Employed","","","",""
"Sometimes","2005","North Rhine-Westphalia","Employed","","","",""
"Sometimes","2005","Hesse","Not Employed","","","",""
"Sometimes","2005","Hesse","Employed","","","",""
"Sometimes","2005","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Sometimes","2005","Rhineland-Palatinate,Saarland","Employed","","","",""
"Sometimes","2005","Baden-Württemberg","Not Employed","","","",""
"Sometimes","2005","Baden-Württemberg","Employed","","","",""
"Sometimes","2005","Bavaria","Not Employed","","","",""
"Sometimes","2005","Bavaria","Employed","","","",""
"Sometimes","2005","Berlin","Not Employed","","","",""
"Sometimes","2005","Berlin","Employed","","","",""
"Sometimes","2005","Brandenburg","Not Employed","","","",""
"Sometimes","2005","Brandenburg","Employed","","","",""
"Sometimes","2005","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Sometimes","2005","Mecklenburg-Western Pomerania","Employed","","","",""
"Sometimes","2005","Saxony","Not Employed","","","",""
"Sometimes","2005","Saxony","Employed","","","",""
"Sometimes","2005","Saxony-Anhalt","Not Employed","","","",""
"Sometimes","2005","Saxony-Anhalt","Employed","","","",""
"Sometimes","2005","Thuringia","Not Employed","","","",""
"Sometimes","2005","Thuringia","Employed","","","",""
"Rarely","2005","Schleswig-Holstein","Not Employed","","","",""
"Rarely","2005","Schleswig-Holstein","Employed","","","",""
"Rarely","2005","Hamburg","Not Employed","","","",""
"Rarely","2005","Hamburg","Employed","","","",""
"Rarely","2005","Lower Saxony","Not Employed","","","",""
"Rarely","2005","Lower Saxony","Employed","","","",""
"Rarely","2005","Bremen","Not Employed","","","",""
"Rarely","2005","Bremen","Employed","","","",""
"Rarely","2005","North Rhine-Westphalia","Not Employed","","","",""
"Rarely","2005","North Rhine-Westphalia","Employed","","","",""
"Rarely","2005","Hesse","Not Employed","","","",""
"Rarely","2005","Hesse","Employed","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","Employed","","","",""
"Rarely","2005","Baden-Württemberg","Not Employed","","","",""
"Rarely","2005","Baden-Württemberg","Employed","","","",""
"Rarely","2005","Bavaria","Not Employed","","","",""
"Rarely","2005","Bavaria","Employed","","","",""
"Rarely","2005","Berlin","Not Employed","","","",""
"Rarely","2005","Berlin","Employed","","","",""
"Rarely","2005","Brandenburg","Not Employed","","","",""
"Rarely","2005","Brandenburg","Employed","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","Employed","","","",""
"Rarely","2005","Saxony","Not Employed","","","",""
"Rarely","2005","Saxony","Employed","","","",""
