"pld0043","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Sometimes","2003","no degree/no degree yet","East Germany","60","0.364743204312791","0.295191553270846","0.434294855354736"
"Rarely","2003","lower secondary degree","West Germany","1882","0.290773785044007","0.279596425291439","0.301951144796574"
"Rarely","2003","lower secondary degree","East Germany","463","0.281247493962518","0.258799331937575","0.303695655987462"
"Rarely","2003","secondary school degree","West Germany","1130","0.272601896936143","0.258887677369887","0.286316116502398"
"Rarely","2003","secondary school degree","East Germany","776","0.313733797466261","0.295142756818495","0.332324838114026"
"Rarely","2003","college entrance qualification","West Germany","1001","0.225535940182358","0.213060163475421","0.238011716889294"
"Rarely","2003","college entrance qualification","East Germany","285","0.27100359146907","0.244984297833406","0.297022885104734"
"Rarely","2003","Other degree","West Germany","300","0.250635704055237","0.226012612618789","0.275258795491685"
"Rarely","2003","Other degree","East Germany","9","","",""
"Rarely","2003","no degree/no degree yet","West Germany","125","0.184090198475311","0.1555225303292","0.212657866621422"
"Rarely","2003","no degree/no degree yet","East Germany","19","","",""
"Never","2003","lower secondary degree","West Germany","1595","0.277614914008929","0.266592543719354","0.288637284298504"
"Never","2003","lower secondary degree","East Germany","559","0.396423646135206","0.372001003420635","0.420846288849778"
"Never","2003","secondary school degree","West Germany","403","0.114402688918622","0.104599737730857","0.124205640106387"
"Never","2003","secondary school degree","East Germany","305","0.138402170906893","0.124566491478872","0.152237850334914"
"Never","2003","college entrance qualification","West Germany","302","0.075886031594279","0.0679810153235091","0.083791047865049"
"Never","2003","college entrance qualification","East Germany","71","0.0796874876152756","0.0638346133405034","0.0955403618900478"
"Never","2003","Other degree","West Germany","348","0.2752287278959","0.24985279734027","0.300604658451531"
"Never","2003","Other degree","East Germany","17","","",""
"Never","2003","no degree/no degree yet","West Germany","101","0.184170026278604","0.15559756269835","0.212742489858857"
"Never","2003","no degree/no degree yet","East Germany","13","","",""
"Very often","2004","lower secondary degree","West Germany","","","",""
"Very often","2004","lower secondary degree","East Germany","","","",""
"Very often","2004","secondary school degree","West Germany","","","",""
"Very often","2004","secondary school degree","East Germany","","","",""
"Very often","2004","college entrance qualification","West Germany","","","",""
"Very often","2004","college entrance qualification","East Germany","","","",""
"Very often","2004","Other degree","West Germany","","","",""
"Very often","2004","Other degree","East Germany","","","",""
"Very often","2004","no degree/no degree yet","West Germany","","","",""
"Very often","2004","no degree/no degree yet","East Germany","","","",""
"Often","2004","lower secondary degree","West Germany","","","",""
"Often","2004","lower secondary degree","East Germany","","","",""
"Often","2004","secondary school degree","West Germany","","","",""
"Often","2004","secondary school degree","East Germany","","","",""
"Often","2004","college entrance qualification","West Germany","","","",""
"Often","2004","college entrance qualification","East Germany","","","",""
"Often","2004","Other degree","West Germany","","","",""
"Often","2004","Other degree","East Germany","","","",""
"Often","2004","no degree/no degree yet","West Germany","","","",""
"Often","2004","no degree/no degree yet","East Germany","","","",""
"Sometimes","2004","lower secondary degree","West Germany","","","",""
"Sometimes","2004","lower secondary degree","East Germany","","","",""
"Sometimes","2004","secondary school degree","West Germany","","","",""
"Sometimes","2004","secondary school degree","East Germany","","","",""
"Sometimes","2004","college entrance qualification","West Germany","","","",""
"Sometimes","2004","college entrance qualification","East Germany","","","",""
"Sometimes","2004","Other degree","West Germany","","","",""
"Sometimes","2004","Other degree","East Germany","","","",""
"Sometimes","2004","no degree/no degree yet","West Germany","","","",""
"Sometimes","2004","no degree/no degree yet","East Germany","","","",""
"Rarely","2004","lower secondary degree","West Germany","","","",""
"Rarely","2004","lower secondary degree","East Germany","","","",""
"Rarely","2004","secondary school degree","West Germany","","","",""
"Rarely","2004","secondary school degree","East Germany","","","",""
"Rarely","2004","college entrance qualification","West Germany","","","",""
"Rarely","2004","college entrance qualification","East Germany","","","",""
"Rarely","2004","Other degree","West Germany","","","",""
"Rarely","2004","Other degree","East Germany","","","",""
"Rarely","2004","no degree/no degree yet","West Germany","","","",""
"Rarely","2004","no degree/no degree yet","East Germany","","","",""
"Never","2004","lower secondary degree","West Germany","","","",""
"Never","2004","lower secondary degree","East Germany","","","",""
"Never","2004","secondary school degree","West Germany","","","",""
"Never","2004","secondary school degree","East Germany","","","",""
"Never","2004","college entrance qualification","West Germany","","","",""
"Never","2004","college entrance qualification","East Germany","","","",""
"Never","2004","Other degree","West Germany","","","",""
"Never","2004","Other degree","East Germany","","","",""
"Never","2004","no degree/no degree yet","West Germany","","","",""
"Never","2004","no degree/no degree yet","East Germany","","","",""
"Very often","2005","lower secondary degree","West Germany","","","",""
"Very often","2005","lower secondary degree","East Germany","","","",""
"Very often","2005","secondary school degree","West Germany","","","",""
"Very often","2005","secondary school degree","East Germany","","","",""
"Very often","2005","college entrance qualification","West Germany","","","",""
"Very often","2005","college entrance qualification","East Germany","","","",""
"Very often","2005","Other degree","West Germany","","","",""
"Very often","2005","Other degree","East Germany","","","",""
"Very often","2005","no degree/no degree yet","West Germany","","","",""
"Very often","2005","no degree/no degree yet","East Germany","","","",""
"Often","2005","lower secondary degree","West Germany","","","",""
"Often","2005","lower secondary degree","East Germany","","","",""
"Often","2005","secondary school degree","West Germany","","","",""
"Often","2005","secondary school degree","East Germany","","","",""
"Often","2005","college entrance qualification","West Germany","","","",""
"Often","2005","college entrance qualification","East Germany","","","",""
"Often","2005","Other degree","West Germany","","","",""
"Often","2005","Other degree","East Germany","","","",""
"Often","2005","no degree/no degree yet","West Germany","","","",""
"Often","2005","no degree/no degree yet","East Germany","","","",""
"Sometimes","2005","lower secondary degree","West Germany","","","",""
"Sometimes","2005","lower secondary degree","East Germany","","","",""
"Sometimes","2005","secondary school degree","West Germany","","","",""
"Sometimes","2005","secondary school degree","East Germany","","","",""
"Sometimes","2005","college entrance qualification","West Germany","","","",""
"Sometimes","2005","college entrance qualification","East Germany","","","",""
"Sometimes","2005","Other degree","West Germany","","","",""
"Sometimes","2005","Other degree","East Germany","","","",""
"Sometimes","2005","no degree/no degree yet","West Germany","","","",""
"Sometimes","2005","no degree/no degree yet","East Germany","","","",""
"Rarely","2005","lower secondary degree","West Germany","","","",""
"Rarely","2005","lower secondary degree","East Germany","","","",""
"Rarely","2005","secondary school degree","West Germany","","","",""
"Rarely","2005","secondary school degree","East Germany","","","",""
"Rarely","2005","college entrance qualification","West Germany","","","",""
"Rarely","2005","college entrance qualification","East Germany","","","",""
"Rarely","2005","Other degree","West Germany","","","",""
"Rarely","2005","Other degree","East Germany","","","",""
"Rarely","2005","no degree/no degree yet","West Germany","","","",""
"Rarely","2005","no degree/no degree yet","East Germany","","","",""
"Never","2005","lower secondary degree","West Germany","","","",""
"Never","2005","lower secondary degree","East Germany","","","",""
"Never","2005","secondary school degree","West Germany","","","",""
"Never","2005","secondary school degree","East Germany","","","",""
"Never","2005","college entrance qualification","West Germany","","","",""
"Never","2005","college entrance qualification","East Germany","","","",""
"Never","2005","Other degree","West Germany","","","",""
"Never","2005","Other degree","East Germany","","","",""
"Never","2005","no degree/no degree yet","West Germany","","","",""
"Never","2005","no degree/no degree yet","East Germany","","","",""
"Very often","2006","lower secondary degree","West Germany","","","",""
"Very often","2006","lower secondary degree","East Germany","","","",""
"Very often","2006","secondary school degree","West Germany","","","",""
"Very often","2006","secondary school degree","East Germany","","","",""
"Very often","2006","college entrance qualification","West Germany","","","",""
"Very often","2006","college entrance qualification","East Germany","","","",""
"Very often","2006","Other degree","West Germany","","","",""
"Very often","2006","Other degree","East Germany","","","",""
"Very often","2006","no degree/no degree yet","West Germany","","","",""
"Very often","2006","no degree/no degree yet","East Germany","","","",""
"Often","2006","lower secondary degree","West Germany","","","",""
"Often","2006","lower secondary degree","East Germany","","","",""
"Often","2006","secondary school degree","West Germany","","","",""
"Often","2006","secondary school degree","East Germany","","","",""
"Often","2006","college entrance qualification","West Germany","","","",""
"Often","2006","college entrance qualification","East Germany","","","",""
"Often","2006","Other degree","West Germany","","","",""
"Often","2006","Other degree","East Germany","","","",""
"Often","2006","no degree/no degree yet","West Germany","","","",""
"Often","2006","no degree/no degree yet","East Germany","","","",""
"Sometimes","2006","lower secondary degree","West Germany","","","",""
"Sometimes","2006","lower secondary degree","East Germany","","","",""
"Sometimes","2006","secondary school degree","West Germany","","","",""
"Sometimes","2006","secondary school degree","East Germany","","","",""
"Sometimes","2006","college entrance qualification","West Germany","","","",""
"Sometimes","2006","college entrance qualification","East Germany","","","",""
"Sometimes","2006","Other degree","West Germany","","","",""
"Sometimes","2006","Other degree","East Germany","","","",""
"Sometimes","2006","no degree/no degree yet","West Germany","","","",""
"Sometimes","2006","no degree/no degree yet","East Germany","","","",""
"Rarely","2006","lower secondary degree","West Germany","","","",""
"Rarely","2006","lower secondary degree","East Germany","","","",""
"Rarely","2006","secondary school degree","West Germany","","","",""
"Rarely","2006","secondary school degree","East Germany","","","",""
"Rarely","2006","college entrance qualification","West Germany","","","",""
"Rarely","2006","college entrance qualification","East Germany","","","",""
"Rarely","2006","Other degree","West Germany","","","",""
"Rarely","2006","Other degree","East Germany","","","",""
"Rarely","2006","no degree/no degree yet","West Germany","","","",""
"Rarely","2006","no degree/no degree yet","East Germany","","","",""
"Never","2006","lower secondary degree","West Germany","","","",""
"Never","2006","lower secondary degree","East Germany","","","",""
"Never","2006","secondary school degree","West Germany","","","",""
"Never","2006","secondary school degree","East Germany","","","",""
"Never","2006","college entrance qualification","West Germany","","","",""
"Never","2006","college entrance qualification","East Germany","","","",""
"Never","2006","Other degree","West Germany","","","",""
"Never","2006","Other degree","East Germany","","","",""
"Never","2006","no degree/no degree yet","West Germany","","","",""
"Never","2006","no degree/no degree yet","East Germany","","","",""
"Very often","2007","lower secondary degree","West Germany","","","",""
"Very often","2007","lower secondary degree","East Germany","","","",""
"Very often","2007","secondary school degree","West Germany","","","",""
"Very often","2007","secondary school degree","East Germany","","","",""
"Very often","2007","college entrance qualification","West Germany","","","",""
"Very often","2007","college entrance qualification","East Germany","","","",""
"Very often","2007","Other degree","West Germany","","","",""
"Very often","2007","Other degree","East Germany","","","",""
"Very often","2007","no degree/no degree yet","West Germany","","","",""
"Very often","2007","no degree/no degree yet","East Germany","","","",""
"Often","2007","lower secondary degree","West Germany","","","",""
"Often","2007","lower secondary degree","East Germany","","","",""
"Often","2007","secondary school degree","West Germany","","","",""
"Often","2007","secondary school degree","East Germany","","","",""
"Often","2007","college entrance qualification","West Germany","","","",""
"Often","2007","college entrance qualification","East Germany","","","",""
"Often","2007","Other degree","West Germany","","","",""
"Often","2007","Other degree","East Germany","","","",""
"Often","2007","no degree/no degree yet","West Germany","","","",""
"Often","2007","no degree/no degree yet","East Germany","","","",""
"Sometimes","2007","lower secondary degree","West Germany","","","",""
"Sometimes","2007","lower secondary degree","East Germany","","","",""
"Sometimes","2007","secondary school degree","West Germany","","","",""
"Sometimes","2007","secondary school degree","East Germany","","","",""
"Sometimes","2007","college entrance qualification","West Germany","","","",""
"Sometimes","2007","college entrance qualification","East Germany","","","",""
"Sometimes","2007","Other degree","West Germany","","","",""
"Sometimes","2007","Other degree","East Germany","","","",""
"Sometimes","2007","no degree/no degree yet","West Germany","","","",""
"Sometimes","2007","no degree/no degree yet","East Germany","","","",""
"Rarely","2007","lower secondary degree","West Germany","","","",""
"Rarely","2007","lower secondary degree","East Germany","","","",""
"Rarely","2007","secondary school degree","West Germany","","","",""
"Rarely","2007","secondary school degree","East Germany","","","",""
"Rarely","2007","college entrance qualification","West Germany","","","",""
"Rarely","2007","college entrance qualification","East Germany","","","",""
"Rarely","2007","Other degree","West Germany","","","",""
"Rarely","2007","Other degree","East Germany","","","",""
"Rarely","2007","no degree/no degree yet","West Germany","","","",""
"Rarely","2007","no degree/no degree yet","East Germany","","","",""
"Never","2007","lower secondary degree","West Germany","","","",""
"Never","2007","lower secondary degree","East Germany","","","",""
"Never","2007","secondary school degree","West Germany","","","",""
"Never","2007","secondary school degree","East Germany","","","",""
"Never","2007","college entrance qualification","West Germany","","","",""
"Never","2007","college entrance qualification","East Germany","","","",""
"Never","2007","Other degree","West Germany","","","",""
"Never","2007","Other degree","East Germany","","","",""
"Never","2007","no degree/no degree yet","West Germany","","","",""
"Never","2007","no degree/no degree yet","East Germany","","","",""
"Very often","2008","lower secondary degree","West Germany","96","0.0206930754594382","0.0168119402576131","0.0245742106612632"
"Very often","2008","lower secondary degree","East Germany","14","","",""
"Very often","2008","secondary school degree","West Germany","118","0.0344456269718018","0.0285219254690283","0.0403693284745753"
"Very often","2008","secondary school degree","East Germany","66","0.0276184974337768","0.0206044734940247","0.0346325213735288"
"Very often","2008","college entrance qualification","West Germany","181","0.0434284633872611","0.0371192383006084","0.0497376884739137"
"Very often","2008","college entrance qualification","East Germany","39","0.0306621334706038","0.0205609601758468","0.0407633067653608"
"Very often","2008","Other degree","West Germany","25","","",""
"Very often","2008","Other degree","East Germany","1","","",""
"Very often","2008","no degree/no degree yet","West Germany","31","0.0540000178972225","0.032929293223247","0.075070742571198"
"Very often","2008","no degree/no degree yet","East Germany","10","","",""
"Often","2008","lower secondary degree","West Germany","530","0.098721248258874","0.0905887922305309","0.106853704287217"
"Often","2008","lower secondary degree","East Germany","97","0.0804395817477554","0.0654934236503225","0.0953857398451883"
"Often","2008","secondary school degree","West Germany","617","0.165183833513774","0.153121899526674","0.177245767500875"
"Often","2008","secondary school degree","East Germany","297","0.142091883394091","0.127148329317494","0.157035437470687"
"Often","2008","college entrance qualification","West Germany","893","0.227809214582524","0.214826126196197","0.24079230296885"
"Often","2008","college entrance qualification","East Germany","226","0.214041077511057","0.190009541163297","0.238072613858818"
"Often","2008","Other degree","West Germany","101","0.122718859605726","0.101125941727183","0.144311777484268"
"Often","2008","Other degree","East Germany","5","","",""
"Often","2008","no degree/no degree yet","West Germany","107","0.197874331816355","0.160733391563812","0.235015272068898"
"Often","2008","no degree/no degree yet","East Germany","30","0.29785437254186","0.208667077596554","0.387041667487167"
"Sometimes","2008","lower secondary degree","West Germany","1488","0.292836156716377","0.280429372997978","0.305242940434775"
"Sometimes","2008","lower secondary degree","East Germany","307","0.235460430165085","0.212143923396731","0.258776936933439"
"Sometimes","2008","secondary school degree","West Germany","1374","0.378286181749526","0.362533908007651","0.394038455491402"
"Sometimes","2008","secondary school degree","East Germany","763","0.361300120396377","0.340739730502587","0.381860510290168"
"Sometimes","2008","college entrance qualification","West Germany","1566","0.381247225289041","0.3662126214683","0.396281829109783"
"Sometimes","2008","college entrance qualification","East Germany","455","0.384282413711729","0.355782136661094","0.412782690762363"
"Sometimes","2008","Other degree","West Germany","250","0.273768857082527","0.244425098771547","0.303112615393507"
"Sometimes","2008","Other degree","East Germany","17","","",""
"Sometimes","2008","no degree/no degree yet","West Germany","154","0.310524595215144","0.267388150515004","0.353661039915283"
"Sometimes","2008","no degree/no degree yet","East Germany","35","0.347209254987454","0.25436179124718","0.440056718727728"
"Rarely","2008","lower secondary degree","West Germany","1655","0.301054776497841","0.288548409460661","0.313561143535021"
"Rarely","2008","lower secondary degree","East Germany","409","0.329292005324651","0.303465724424549","0.355118286224754"
"Rarely","2008","secondary school degree","West Germany","1081","0.296189386292987","0.281359070345118","0.311019702240856"
"Rarely","2008","secondary school degree","East Germany","690","0.335206140524311","0.315001628853143","0.35541065219548"
"Rarely","2008","college entrance qualification","West Germany","1075","0.274066153226495","0.260258931856577","0.287873374596413"
"Rarely","2008","college entrance qualification","East Germany","313","0.287043907642678","0.260538248616576","0.31354956666878"
"Rarely","2008","Other degree","West Germany","241","0.29344423104625","0.263478678348003","0.323409783744497"
"Rarely","2008","Other degree","East Germany","16","","",""
"Rarely","2008","no degree/no degree yet","West Germany","82","0.246295598036027","0.206128929984022","0.286462266088031"
"Rarely","2008","no degree/no degree yet","East Germany","16","","",""
"Never","2008","lower secondary degree","West Germany","1399","0.28669474306747","0.274365556748414","0.299023929386525"
"Never","2008","lower secondary degree","East Germany","445","0.344342134012119","0.318230247075745","0.370454020948493"
"Never","2008","secondary school degree","West Germany","451","0.125894971471911","0.115119810850483","0.136670132093338"
"Never","2008","secondary school degree","East Germany","281","0.133783358251444","0.119213236391191","0.148353480111697"
"Never","2008","college entrance qualification","West Germany","294","0.073448943514679","0.0653736648632439","0.0815242221661142"
"Never","2008","college entrance qualification","East Germany","86","0.083970467663932","0.0677205534953342","0.10022038183253"
"Never","2008","Other degree","West Germany","270","0.284736773047257","0.255037828916649","0.314435717177865"
"Never","2008","Other degree","East Germany","13","","",""
"Never","2008","no degree/no degree yet","West Germany","68","0.191305457035252","0.154636978374128","0.227973935696376"
"Never","2008","no degree/no degree yet","East Germany","10","","",""
"Very often","2009","lower secondary degree","West Germany","","","",""
"Very often","2009","lower secondary degree","East Germany","","","",""
"Very often","2009","secondary school degree","West Germany","","","",""
"Very often","2009","secondary school degree","East Germany","","","",""
"Very often","2009","college entrance qualification","West Germany","","","",""
"Very often","2009","college entrance qualification","East Germany","","","",""
"Very often","2009","Other degree","West Germany","","","",""
"Very often","2009","Other degree","East Germany","","","",""
"Very often","2009","no degree/no degree yet","West Germany","","","",""
"Very often","2009","no degree/no degree yet","East Germany","","","",""
"Often","2009","lower secondary degree","West Germany","","","",""
"Often","2009","lower secondary degree","East Germany","","","",""
"Often","2009","secondary school degree","West Germany","","","",""
"Often","2009","secondary school degree","East Germany","","","",""
"Often","2009","college entrance qualification","West Germany","","","",""
"Often","2009","college entrance qualification","East Germany","","","",""
"Often","2009","Other degree","West Germany","","","",""
"Often","2009","Other degree","East Germany","","","",""
"Often","2009","no degree/no degree yet","West Germany","","","",""
"Often","2009","no degree/no degree yet","East Germany","","","",""
"Sometimes","2009","lower secondary degree","West Germany","","","",""
"Sometimes","2009","lower secondary degree","East Germany","","","",""
"Sometimes","2009","secondary school degree","West Germany","","","",""
"Sometimes","2009","secondary school degree","East Germany","","","",""
"Sometimes","2009","college entrance qualification","West Germany","","","",""
"Sometimes","2009","college entrance qualification","East Germany","","","",""
"Sometimes","2009","Other degree","West Germany","","","",""
"Sometimes","2009","Other degree","East Germany","","","",""
"Sometimes","2009","no degree/no degree yet","West Germany","","","",""
"Sometimes","2009","no degree/no degree yet","East Germany","","","",""
"Rarely","2009","lower secondary degree","West Germany","","","",""
"Rarely","2009","lower secondary degree","East Germany","","","",""
"Rarely","2009","secondary school degree","West Germany","","","",""
"Rarely","2009","secondary school degree","East Germany","","","",""
"Rarely","2009","college entrance qualification","West Germany","","","",""
"Rarely","2009","college entrance qualification","East Germany","","","",""
"Rarely","2009","Other degree","West Germany","","","",""
"Rarely","2009","Other degree","East Germany","","","",""
"Rarely","2009","no degree/no degree yet","West Germany","","","",""
"Rarely","2009","no degree/no degree yet","East Germany","","","",""
"Never","2009","lower secondary degree","West Germany","","","",""
"Never","2009","lower secondary degree","East Germany","","","",""
"Never","2009","secondary school degree","West Germany","","","",""
"Never","2009","secondary school degree","East Germany","","","",""
"Never","2009","college entrance qualification","West Germany","","","",""
"Never","2009","college entrance qualification","East Germany","","","",""
"Never","2009","Other degree","West Germany","","","",""
"Never","2009","Other degree","East Germany","","","",""
"Never","2009","no degree/no degree yet","West Germany","","","",""
"Never","2009","no degree/no degree yet","East Germany","","","",""
"Very often","2010","lower secondary degree","West Germany","","","",""
"Very often","2010","lower secondary degree","East Germany","","","",""
"Very often","2010","secondary school degree","West Germany","","","",""
"Very often","2010","secondary school degree","East Germany","","","",""
"Very often","2010","college entrance qualification","West Germany","","","",""
"Very often","2010","college entrance qualification","East Germany","","","",""
"Very often","2010","Other degree","West Germany","","","",""
"Very often","2010","Other degree","East Germany","","","",""
"Very often","2010","no degree/no degree yet","West Germany","","","",""
"Very often","2010","no degree/no degree yet","East Germany","","","",""
"Often","2010","lower secondary degree","West Germany","","","",""
"Often","2010","lower secondary degree","East Germany","","","",""
"Often","2010","secondary school degree","West Germany","","","",""
"Often","2010","secondary school degree","East Germany","","","",""
"Often","2010","college entrance qualification","West Germany","","","",""
"Often","2010","college entrance qualification","East Germany","","","",""
"Often","2010","Other degree","West Germany","","","",""
"Often","2010","Other degree","East Germany","","","",""
"Often","2010","no degree/no degree yet","West Germany","","","",""
"Often","2010","no degree/no degree yet","East Germany","","","",""
"Sometimes","2010","lower secondary degree","West Germany","","","",""
"Sometimes","2010","lower secondary degree","East Germany","","","",""
"Sometimes","2010","secondary school degree","West Germany","","","",""
"Sometimes","2010","secondary school degree","East Germany","","","",""
"Sometimes","2010","college entrance qualification","West Germany","","","",""
"Sometimes","2010","college entrance qualification","East Germany","","","",""
"Sometimes","2010","Other degree","West Germany","","","",""
"Sometimes","2010","Other degree","East Germany","","","",""
"Sometimes","2010","no degree/no degree yet","West Germany","","","",""
"Sometimes","2010","no degree/no degree yet","East Germany","","","",""
"Rarely","2010","lower secondary degree","West Germany","","","",""
"Rarely","2010","lower secondary degree","East Germany","","","",""
"Rarely","2010","secondary school degree","West Germany","","","",""
"Rarely","2010","secondary school degree","East Germany","","","",""
"Rarely","2010","college entrance qualification","West Germany","","","",""
"Rarely","2010","college entrance qualification","East Germany","","","",""
"Rarely","2010","Other degree","West Germany","","","",""
"Rarely","2010","Other degree","East Germany","","","",""
"Rarely","2010","no degree/no degree yet","West Germany","","","",""
"Rarely","2010","no degree/no degree yet","East Germany","","","",""
"Never","2010","lower secondary degree","West Germany","","","",""
"Never","2010","lower secondary degree","East Germany","","","",""
"Never","2010","secondary school degree","West Germany","","","",""
"Never","2010","secondary school degree","East Germany","","","",""
"Never","2010","college entrance qualification","West Germany","","","",""
"Never","2010","college entrance qualification","East Germany","","","",""
"Never","2010","Other degree","West Germany","","","",""
"Never","2010","Other degree","East Germany","","","",""
"Never","2010","no degree/no degree yet","West Germany","","","",""
"Never","2010","no degree/no degree yet","East Germany","","","",""
"Very often","2011","lower secondary degree","West Germany","","","",""
"Very often","2011","lower secondary degree","East Germany","","","",""
"Very often","2011","secondary school degree","West Germany","","","",""
"Very often","2011","secondary school degree","East Germany","","","",""
"Very often","2011","college entrance qualification","West Germany","","","",""
"Very often","2011","college entrance qualification","East Germany","","","",""
"Very often","2011","Other degree","West Germany","","","",""
"Very often","2011","Other degree","East Germany","","","",""
"Very often","2011","no degree/no degree yet","West Germany","","","",""
"Very often","2011","no degree/no degree yet","East Germany","","","",""
"Often","2011","lower secondary degree","West Germany","","","",""
"Often","2011","lower secondary degree","East Germany","","","",""
"Often","2011","secondary school degree","West Germany","","","",""
"Often","2011","secondary school degree","East Germany","","","",""
"Often","2011","college entrance qualification","West Germany","","","",""
"Often","2011","college entrance qualification","East Germany","","","",""
"Often","2011","Other degree","West Germany","","","",""
"Often","2011","Other degree","East Germany","","","",""
"Often","2011","no degree/no degree yet","West Germany","","","",""
"Often","2011","no degree/no degree yet","East Germany","","","",""
"Sometimes","2011","lower secondary degree","West Germany","","","",""
"Sometimes","2011","lower secondary degree","East Germany","","","",""
"Sometimes","2011","secondary school degree","West Germany","","","",""
"Sometimes","2011","secondary school degree","East Germany","","","",""
"Sometimes","2011","college entrance qualification","West Germany","","","",""
"Sometimes","2011","college entrance qualification","East Germany","","","",""
"Sometimes","2011","Other degree","West Germany","","","",""
"Sometimes","2011","Other degree","East Germany","","","",""
"Sometimes","2011","no degree/no degree yet","West Germany","","","",""
"Sometimes","2011","no degree/no degree yet","East Germany","","","",""
"Rarely","2011","lower secondary degree","West Germany","","","",""
"Rarely","2011","lower secondary degree","East Germany","","","",""
"Rarely","2011","secondary school degree","West Germany","","","",""
"Rarely","2011","secondary school degree","East Germany","","","",""
"Rarely","2011","college entrance qualification","West Germany","","","",""
"Rarely","2011","college entrance qualification","East Germany","","","",""
"Rarely","2011","Other degree","West Germany","","","",""
"Rarely","2011","Other degree","East Germany","","","",""
"Rarely","2011","no degree/no degree yet","West Germany","","","",""
"Rarely","2011","no degree/no degree yet","East Germany","","","",""
"Never","2011","lower secondary degree","West Germany","","","",""
"Never","2011","lower secondary degree","East Germany","","","",""
"Never","2011","secondary school degree","West Germany","","","",""
"Never","2011","secondary school degree","East Germany","","","",""
"Never","2011","college entrance qualification","West Germany","","","",""
"Never","2011","college entrance qualification","East Germany","","","",""
"Never","2011","Other degree","West Germany","","","",""
"Never","2011","Other degree","East Germany","","","",""
"Never","2011","no degree/no degree yet","West Germany","","","",""
"Never","2011","no degree/no degree yet","East Germany","","","",""
"Very often","2012","lower secondary degree","West Germany","","","",""
"Very often","2012","lower secondary degree","East Germany","","","",""
"Very often","2012","secondary school degree","West Germany","","","",""
"Very often","2012","secondary school degree","East Germany","","","",""
"Very often","2012","college entrance qualification","West Germany","","","",""
"Very often","2012","college entrance qualification","East Germany","","","",""
"Very often","2012","Other degree","West Germany","","","",""
"Very often","2012","Other degree","East Germany","","","",""
"Very often","2012","no degree/no degree yet","West Germany","","","",""
"Very often","2012","no degree/no degree yet","East Germany","","","",""
"Often","2012","lower secondary degree","West Germany","","","",""
"Often","2012","lower secondary degree","East Germany","","","",""
"Often","2012","secondary school degree","West Germany","","","",""
"Often","2012","secondary school degree","East Germany","","","",""
"Often","2012","college entrance qualification","West Germany","","","",""
"Often","2012","college entrance qualification","East Germany","","","",""
"Often","2012","Other degree","West Germany","","","",""
