"pld0043","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Rarely","2007","35-65 y.","Employed","","","",""
"Rarely","2007","66 and older","Not Employed","","","",""
"Rarely","2007","66 and older","Employed","","","",""
"Never","2007","16-34 y.","Not Employed","","","",""
"Never","2007","16-34 y.","Employed","","","",""
"Never","2007","35-65 y.","Not Employed","","","",""
"Never","2007","35-65 y.","Employed","","","",""
"Never","2007","66 and older","Not Employed","","","",""
"Never","2007","66 and older","Employed","","","",""
"Very often","2008","16-34 y.","Not Employed","88","0.0601260213368786","0.0466535103182933","0.073598532355464"
"Very often","2008","16-34 y.","Employed","180","0.0551228912160637","0.0471820463255365","0.0630637361065909"
"Very often","2008","35-65 y.","Not Employed","55","0.0190616462607255","0.013355454037498","0.024767838483953"
"Very often","2008","35-65 y.","Employed","239","0.0300580691164039","0.0264109877557236","0.0337051504770842"
"Very often","2008","66 and older","Not Employed","47","0.0111734984326425","0.0079189326453518","0.0144280642199333"
"Very often","2008","66 and older","Employed","4","","",""
"Often","2008","16-34 y.","Not Employed","317","0.239560210448566","0.215370968379828","0.263749452517305"
"Often","2008","16-34 y.","Employed","780","0.244738350471753","0.229778998326743","0.259697702616764"
"Often","2008","35-65 y.","Not Employed","249","0.0996224461987659","0.0871245685843774","0.112120323813154"
"Often","2008","35-65 y.","Employed","1382","0.160326160146375","0.152489165459579","0.168163154833171"
"Often","2008","66 and older","Not Employed","261","0.0643204290189354","0.0567245776209486","0.0719162804169222"
"Often","2008","66 and older","Employed","39","0.153008580559972","0.111359584132261","0.194657576987683"
"Sometimes","2008","16-34 y.","Not Employed","470","0.419761583826792","0.391791930362761","0.447731237290824"
"Sometimes","2008","16-34 y.","Employed","1312","0.416870029157358","0.399714817805885","0.434025240508832"
"Sometimes","2008","35-65 y.","Not Employed","662","0.298371407615389","0.27927825790183","0.317464557328948"
"Sometimes","2008","35-65 y.","Employed","3093","0.353060086872177","0.342851906619413","0.36326826712494"
"Sometimes","2008","66 and older","Not Employed","962","0.240608088247687","0.227373009958792","0.253843166536583"
"Sometimes","2008","66 and older","Employed","92","0.261083826432332","0.210268500736834","0.311899152127829"
"Rarely","2008","16-34 y.","Not Employed","237","0.206655813610555","0.183708220714571","0.229603406506539"
"Rarely","2008","16-34 y.","Employed","691","0.215027175356828","0.200732080519273","0.229322270194383"
"Rarely","2008","35-65 y.","Not Employed","689","0.31673520906102","0.297322415798281","0.336148002323759"
"Rarely","2008","35-65 y.","Employed","2667","0.319702972742626","0.309741703720947","0.329664241764306"
"Rarely","2008","66 and older","Not Employed","1299","0.312750298598063","0.29839558386816","0.327105013327967"
"Rarely","2008","66 and older","Employed","101","0.378669859909374","0.322552307246081","0.434787412572668"
"Never","2008","16-34 y.","Not Employed","84","0.0738963707772081","0.0590703757845191","0.088722365769897"
"Never","2008","16-34 y.","Employed","210","0.0682415537979962","0.0594677245632207","0.0770153830327717"
"Never","2008","35-65 y.","Not Employed","551","0.2662092908641","0.247765803370698","0.284652778357502"
"Never","2008","35-65 y.","Employed","1039","0.136852711122418","0.129511610052029","0.144193812192807"
"Never","2008","66 and older","Not Employed","1438","0.371147685702671","0.356189251688047","0.386106119717296"
"Never","2008","66 and older","Employed","51","0.200043512131156","0.153762530641513","0.246324493620799"
"Very often","2009","16-34 y.","Not Employed","","","",""
"Very often","2009","16-34 y.","Employed","","","",""
"Very often","2009","35-65 y.","Not Employed","","","",""
"Very often","2009","35-65 y.","Employed","","","",""
"Very often","2009","66 and older","Not Employed","","","",""
"Very often","2009","66 and older","Employed","","","",""
"Often","2009","16-34 y.","Not Employed","","","",""
"Often","2009","16-34 y.","Employed","","","",""
"Often","2009","35-65 y.","Not Employed","","","",""
"Often","2009","35-65 y.","Employed","","","",""
"Often","2009","66 and older","Not Employed","","","",""
"Often","2009","66 and older","Employed","","","",""
"Sometimes","2009","16-34 y.","Not Employed","","","",""
"Sometimes","2009","16-34 y.","Employed","","","",""
"Sometimes","2009","35-65 y.","Not Employed","","","",""
"Sometimes","2009","35-65 y.","Employed","","","",""
"Sometimes","2009","66 and older","Not Employed","","","",""
"Sometimes","2009","66 and older","Employed","","","",""
"Rarely","2009","16-34 y.","Not Employed","","","",""
"Rarely","2009","16-34 y.","Employed","","","",""
"Rarely","2009","35-65 y.","Not Employed","","","",""
"Rarely","2009","35-65 y.","Employed","","","",""
"Rarely","2009","66 and older","Not Employed","","","",""
"Rarely","2009","66 and older","Employed","","","",""
"Never","2009","16-34 y.","Not Employed","","","",""
"Never","2009","16-34 y.","Employed","","","",""
"Never","2009","35-65 y.","Not Employed","","","",""
"Never","2009","35-65 y.","Employed","","","",""
"Never","2009","66 and older","Not Employed","","","",""
"Never","2009","66 and older","Employed","","","",""
"Very often","2010","16-34 y.","Not Employed","","","",""
"Very often","2010","16-34 y.","Employed","","","",""
"Very often","2010","35-65 y.","Not Employed","","","",""
"Very often","2010","35-65 y.","Employed","","","",""
"Very often","2010","66 and older","Not Employed","","","",""
"Very often","2010","66 and older","Employed","","","",""
"Often","2010","16-34 y.","Not Employed","","","",""
"Often","2010","16-34 y.","Employed","","","",""
"Often","2010","35-65 y.","Not Employed","","","",""
"Often","2010","35-65 y.","Employed","","","",""
"Often","2010","66 and older","Not Employed","","","",""
"Often","2010","66 and older","Employed","","","",""
"Sometimes","2010","16-34 y.","Not Employed","","","",""
"Sometimes","2010","16-34 y.","Employed","","","",""
"Sometimes","2010","35-65 y.","Not Employed","","","",""
"Sometimes","2010","35-65 y.","Employed","","","",""
"Sometimes","2010","66 and older","Not Employed","","","",""
"Sometimes","2010","66 and older","Employed","","","",""
"Rarely","2010","16-34 y.","Not Employed","","","",""
"Rarely","2010","16-34 y.","Employed","","","",""
"Rarely","2010","35-65 y.","Not Employed","","","",""
"Rarely","2010","35-65 y.","Employed","","","",""
"Rarely","2010","66 and older","Not Employed","","","",""
"Rarely","2010","66 and older","Employed","","","",""
"Never","2010","16-34 y.","Not Employed","","","",""
"Never","2010","16-34 y.","Employed","","","",""
"Never","2010","35-65 y.","Not Employed","","","",""
"Never","2010","35-65 y.","Employed","","","",""
"Never","2010","66 and older","Not Employed","","","",""
"Never","2010","66 and older","Employed","","","",""
"Very often","2011","16-34 y.","Not Employed","","","",""
"Very often","2011","16-34 y.","Employed","","","",""
"Very often","2011","35-65 y.","Not Employed","","","",""
"Very often","2011","35-65 y.","Employed","","","",""
"Very often","2011","66 and older","Not Employed","","","",""
"Very often","2011","66 and older","Employed","","","",""
"Often","2011","16-34 y.","Not Employed","","","",""
"Often","2011","16-34 y.","Employed","","","",""
"Often","2011","35-65 y.","Not Employed","","","",""
"Often","2011","35-65 y.","Employed","","","",""
"Often","2011","66 and older","Not Employed","","","",""
"Often","2011","66 and older","Employed","","","",""
"Sometimes","2011","16-34 y.","Not Employed","","","",""
"Sometimes","2011","16-34 y.","Employed","","","",""
"Sometimes","2011","35-65 y.","Not Employed","","","",""
"Sometimes","2011","35-65 y.","Employed","","","",""
"Sometimes","2011","66 and older","Not Employed","","","",""
"Sometimes","2011","66 and older","Employed","","","",""
"Rarely","2011","16-34 y.","Not Employed","","","",""
"Rarely","2011","16-34 y.","Employed","","","",""
"Rarely","2011","35-65 y.","Not Employed","","","",""
"Rarely","2011","35-65 y.","Employed","","","",""
"Rarely","2011","66 and older","Not Employed","","","",""
"Rarely","2011","66 and older","Employed","","","",""
"Never","2011","16-34 y.","Not Employed","","","",""
"Never","2011","16-34 y.","Employed","","","",""
"Never","2011","35-65 y.","Not Employed","","","",""
"Never","2011","35-65 y.","Employed","","","",""
"Never","2011","66 and older","Not Employed","","","",""
"Never","2011","66 and older","Employed","","","",""
"Very often","2012","16-34 y.","Not Employed","","","",""
"Very often","2012","16-34 y.","Employed","","","",""
"Very often","2012","35-65 y.","Not Employed","","","",""
"Very often","2012","35-65 y.","Employed","","","",""
"Very often","2012","66 and older","Not Employed","","","",""
"Very often","2012","66 and older","Employed","","","",""
"Often","2012","16-34 y.","Not Employed","","","",""
"Often","2012","16-34 y.","Employed","","","",""
"Often","2012","35-65 y.","Not Employed","","","",""
"Often","2012","35-65 y.","Employed","","","",""
"Often","2012","66 and older","Not Employed","","","",""
"Often","2012","66 and older","Employed","","","",""
"Sometimes","2012","16-34 y.","Not Employed","","","",""
"Sometimes","2012","16-34 y.","Employed","","","",""
"Sometimes","2012","35-65 y.","Not Employed","","","",""
"Sometimes","2012","35-65 y.","Employed","","","",""
"Sometimes","2012","66 and older","Not Employed","","","",""
"Sometimes","2012","66 and older","Employed","","","",""
"Rarely","2012","16-34 y.","Not Employed","","","",""
"Rarely","2012","16-34 y.","Employed","","","",""
"Rarely","2012","35-65 y.","Not Employed","","","",""
"Rarely","2012","35-65 y.","Employed","","","",""
"Rarely","2012","66 and older","Not Employed","","","",""
"Rarely","2012","66 and older","Employed","","","",""
"Never","2012","16-34 y.","Not Employed","","","",""
"Never","2012","16-34 y.","Employed","","","",""
"Never","2012","35-65 y.","Not Employed","","","",""
"Never","2012","35-65 y.","Employed","","","",""
"Never","2012","66 and older","Not Employed","","","",""
"Never","2012","66 and older","Employed","","","",""
"Very often","2013","16-34 y.","Not Employed","80","0.0487232678414011","0.0382363876112381","0.059210148071564"
"Very often","2013","16-34 y.","Employed","177","0.0448320243226241","0.038435926375784","0.0512281222694643"
"Very often","2013","35-65 y.","Not Employed","71","0.0229763030297232","0.0172425158454337","0.0287100902140128"
"Very often","2013","35-65 y.","Employed","282","0.0191670284364579","0.0167430463635944","0.0215910105093213"
"Very often","2013","66 and older","Not Employed","56","0.0139662201556462","0.0105511714135093","0.0173812688977832"
"Very often","2013","66 and older","Employed","9","","",""
"Often","2013","16-34 y.","Not Employed","362","0.213895493605408","0.193921466861784","0.233869520349031"
"Often","2013","16-34 y.","Employed","883","0.239601449311529","0.22640836265496","0.252794535968099"
"Often","2013","35-65 y.","Not Employed","362","0.127583091907675","0.114815542589504","0.140350641225847"
"Often","2013","35-65 y.","Employed","2025","0.153924185559144","0.147544304911405","0.160304066206884"
"Often","2013","66 and older","Not Employed","362","0.0743794344277827","0.0667436351852747","0.0820152336702907"
"Often","2013","66 and older","Employed","50","0.108959446058566","0.079644816879874","0.138274075237257"
"Sometimes","2013","16-34 y.","Not Employed","632","0.437952898309437","0.413785787946893","0.462120008671981"
"Sometimes","2013","16-34 y.","Employed","1515","0.383988646234507","0.368956028824425","0.39902126364459"
"Sometimes","2013","35-65 y.","Not Employed","823","0.304481321894438","0.28687033586119","0.322092307927687"
"Sometimes","2013","35-65 y.","Employed","4643","0.377662951301112","0.369092188006711","0.386233714595514"
"Sometimes","2013","66 and older","Not Employed","1051","0.223806931218227","0.211677701694015","0.235936160742438"
"Sometimes","2013","66 and older","Employed","137","0.297209040877595","0.25421113374634","0.34020694800885"
"Rarely","2013","16-34 y.","Not Employed","386","0.217594569764172","0.19749602464404","0.237693114884305"
"Rarely","2013","16-34 y.","Employed","1105","0.266541937820311","0.252875621356678","0.280208254283944"
"Rarely","2013","35-65 y.","Not Employed","790","0.31218529954307","0.294451945003446","0.329918654082694"
"Rarely","2013","35-65 y.","Employed","4034","0.337721285037045","0.329360364479242","0.346082205594848"
"Rarely","2013","66 and older","Not Employed","1611","0.34384186164826","0.330019087798119","0.357664635498401"
"Rarely","2013","66 and older","Employed","156","0.373913363625363","0.328392977551547","0.419433749699179"
"Never","2013","16-34 y.","Not Employed","159","0.0818337704795819","0.0684816081057269","0.0951859328534369"
"Never","2013","16-34 y.","Employed","341","0.0650359423110286","0.0574141829827239","0.0726577016393333"
"Never","2013","35-65 y.","Not Employed","577","0.232773983625093","0.216601458823173","0.248946508427014"
"Never","2013","35-65 y.","Employed","1307","0.11152454966624","0.105959584670532","0.117089514661949"
"Never","2013","66 and older","Not Employed","1456","0.344005552550084","0.330181213518001","0.357829891582167"
"Never","2013","66 and older","Employed","82","0.193094920819389","0.155958514405399","0.230231327233379"
"Very often","2014","16-34 y.","Not Employed","","","",""
"Very often","2014","16-34 y.","Employed","","","",""
"Very often","2014","35-65 y.","Not Employed","","","",""
"Very often","2014","35-65 y.","Employed","","","",""
"Very often","2014","66 and older","Not Employed","","","",""
"Very often","2014","66 and older","Employed","","","",""
"Often","2014","16-34 y.","Not Employed","","","",""
"Often","2014","16-34 y.","Employed","","","",""
"Often","2014","35-65 y.","Not Employed","","","",""
"Often","2014","35-65 y.","Employed","","","",""
"Often","2014","66 and older","Not Employed","","","",""
"Often","2014","66 and older","Employed","","","",""
"Sometimes","2014","16-34 y.","Not Employed","","","",""
"Sometimes","2014","16-34 y.","Employed","","","",""
"Sometimes","2014","35-65 y.","Not Employed","","","",""
"Sometimes","2014","35-65 y.","Employed","","","",""
"Sometimes","2014","66 and older","Not Employed","","","",""
"Sometimes","2014","66 and older","Employed","","","",""
"Rarely","2014","16-34 y.","Not Employed","","","",""
"Rarely","2014","16-34 y.","Employed","","","",""
"Rarely","2014","35-65 y.","Not Employed","","","",""
"Rarely","2014","35-65 y.","Employed","","","",""
"Rarely","2014","66 and older","Not Employed","","","",""
"Rarely","2014","66 and older","Employed","","","",""
"Never","2014","16-34 y.","Not Employed","","","",""
"Never","2014","16-34 y.","Employed","","","",""
"Never","2014","35-65 y.","Not Employed","","","",""
"Never","2014","35-65 y.","Employed","","","",""
"Never","2014","66 and older","Not Employed","","","",""
"Never","2014","66 and older","Employed","","","",""
"Very often","2015","16-34 y.","Not Employed","","","",""
"Very often","2015","16-34 y.","Employed","","","",""
"Very often","2015","35-65 y.","Not Employed","","","",""
"Very often","2015","35-65 y.","Employed","","","",""
"Very often","2015","66 and older","Not Employed","","","",""
"Very often","2015","66 and older","Employed","","","",""
"Often","2015","16-34 y.","Not Employed","","","",""
"Often","2015","16-34 y.","Employed","","","",""
"Often","2015","35-65 y.","Not Employed","","","",""
"Often","2015","35-65 y.","Employed","","","",""
"Often","2015","66 and older","Not Employed","","","",""
"Often","2015","66 and older","Employed","","","",""
"Sometimes","2015","16-34 y.","Not Employed","","","",""
"Sometimes","2015","16-34 y.","Employed","","","",""
"Sometimes","2015","35-65 y.","Not Employed","","","",""
"Sometimes","2015","35-65 y.","Employed","","","",""
"Sometimes","2015","66 and older","Not Employed","","","",""
"Sometimes","2015","66 and older","Employed","","","",""
"Rarely","2015","16-34 y.","Not Employed","","","",""
"Rarely","2015","16-34 y.","Employed","","","",""
"Rarely","2015","35-65 y.","Not Employed","","","",""
"Rarely","2015","35-65 y.","Employed","","","",""
"Rarely","2015","66 and older","Not Employed","","","",""
"Rarely","2015","66 and older","Employed","","","",""
"Never","2015","16-34 y.","Not Employed","","","",""
"Never","2015","16-34 y.","Employed","","","",""
"Never","2015","35-65 y.","Not Employed","","","",""
"Never","2015","35-65 y.","Employed","","","",""
"Never","2015","66 and older","Not Employed","","","",""
"Never","2015","66 and older","Employed","","","",""
"Very often","2016","16-34 y.","Not Employed","","","",""
"Very often","2016","16-34 y.","Employed","","","",""
"Very often","2016","35-65 y.","Not Employed","","","",""
"Very often","2016","35-65 y.","Employed","","","",""
"Very often","2016","66 and older","Not Employed","","","",""
"Very often","2016","66 and older","Employed","","","",""
"Often","2016","16-34 y.","Not Employed","","","",""
"Often","2016","16-34 y.","Employed","","","",""
"Often","2016","35-65 y.","Not Employed","","","",""
"Often","2016","35-65 y.","Employed","","","",""
"Often","2016","66 and older","Not Employed","","","",""
"Often","2016","66 and older","Employed","","","",""
"Sometimes","2016","16-34 y.","Not Employed","","","",""
"Sometimes","2016","16-34 y.","Employed","","","",""
"Sometimes","2016","35-65 y.","Not Employed","","","",""
"Sometimes","2016","35-65 y.","Employed","","","",""
"Sometimes","2016","66 and older","Not Employed","","","",""
"Sometimes","2016","66 and older","Employed","","","",""
"Rarely","2016","16-34 y.","Not Employed","","","",""
"Rarely","2016","16-34 y.","Employed","","","",""
"Rarely","2016","35-65 y.","Not Employed","","","",""
"Rarely","2016","35-65 y.","Employed","","","",""
"Rarely","2016","66 and older","Not Employed","","","",""
"Rarely","2016","66 and older","Employed","","","",""
"Never","2016","16-34 y.","Not Employed","","","",""
"Never","2016","16-34 y.","Employed","","","",""
"Never","2016","35-65 y.","Not Employed","","","",""
"Never","2016","35-65 y.","Employed","","","",""
"Never","2016","66 and older","Not Employed","","","",""
"Never","2016","66 and older","Employed","","","",""
"Very often","2017","16-34 y.","Not Employed","","","",""
"Very often","2017","16-34 y.","Employed","","","",""
"Very often","2017","35-65 y.","Not Employed","","","",""
"Very often","2017","35-65 y.","Employed","","","",""
"Very often","2017","66 and older","Not Employed","","","",""
"Very often","2017","66 and older","Employed","","","",""
"Often","2017","16-34 y.","Not Employed","","","",""
"Often","2017","16-34 y.","Employed","","","",""
"Often","2017","35-65 y.","Not Employed","","","",""
"Often","2017","35-65 y.","Employed","","","",""
"Often","2017","66 and older","Not Employed","","","",""
"Often","2017","66 and older","Employed","","","",""
"Sometimes","2017","16-34 y.","Not Employed","","","",""
"Sometimes","2017","16-34 y.","Employed","","","",""
"Sometimes","2017","35-65 y.","Not Employed","","","",""
"Sometimes","2017","35-65 y.","Employed","","","",""
"Sometimes","2017","66 and older","Not Employed","","","",""
"Sometimes","2017","66 and older","Employed","","","",""
"Rarely","2017","16-34 y.","Not Employed","","","",""
"Rarely","2017","16-34 y.","Employed","","","",""
"Rarely","2017","35-65 y.","Not Employed","","","",""
"Rarely","2017","35-65 y.","Employed","","","",""
"Rarely","2017","66 and older","Not Employed","","","",""
"Rarely","2017","66 and older","Employed","","","",""
"Never","2017","16-34 y.","Not Employed","","","",""
"Never","2017","16-34 y.","Employed","","","",""
"Never","2017","35-65 y.","Not Employed","","","",""
"Never","2017","35-65 y.","Employed","","","",""
"Never","2017","66 and older","Not Employed","","","",""
"Never","2017","66 and older","Employed","","","",""
"Very often","2018","16-34 y.","Not Employed","95","0.0629238988699253","0.0509619242465137","0.0748858734933369"
"Very often","2018","16-34 y.","Employed","265","0.0585811214282633","0.0516828416345704","0.0654794012219561"
"Very often","2018","35-65 y.","Not Employed","95","0.0399752686744149","0.0318789001186418","0.048071637230188"
"Very often","2018","35-65 y.","Employed","432","0.0354567364199973","0.0321995291899415","0.0387139436500532"
"Very often","2018","66 and older","Not Employed","76","0.0149469022311894","0.011370922580323","0.0185228818820557"
"Very often","2018","66 and older","Employed","25","","",""
"Often","2018","16-34 y.","Not Employed","358","0.226364145812297","0.205749316287639","0.246978975336954"
"Often","2018","16-34 y.","Employed","1009","0.235816463284657","0.223346751587523","0.248286174981791"
"Often","2018","35-65 y.","Not Employed","304","0.133106141058041","0.11906716695524","0.147145115160842"
"Often","2018","35-65 y.","Employed","2095","0.173995364698318","0.167318151607955","0.180672577788681"
"Often","2018","66 and older","Not Employed","454","0.0998675061250228","0.0910315216616549","0.108703490588391"
"Often","2018","66 and older","Employed","96","0.15252698242359","0.124158128696914","0.180895836150266"
"Sometimes","2018","16-34 y.","Not Employed","541","0.343854799316542","0.320455914635957","0.367253683997127"
"Sometimes","2018","16-34 y.","Employed","1659","0.375257563261386","0.361034742276214","0.389480384246558"
"Sometimes","2018","35-65 y.","Not Employed","698","0.304587542209229","0.28556665962046","0.323608424797998"
"Sometimes","2018","35-65 y.","Employed","4627","0.373053466233552","0.364535499352161","0.381571433114943"
"Sometimes","2018","66 and older","Not Employed","1236","0.264690411972648","0.25168890058311","0.277691923362186"
"Sometimes","2018","66 and older","Employed","207","0.359002461147313","0.321151021430765","0.396853900863861"
"Rarely","2018","16-34 y.","Not Employed","390","0.24316937869316","0.222036365517792","0.264302391868528"
