"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1998","16-34 y.","6.78","7","4869","4","5","8","10","6.72","6.84","7","7"
"1998","35-65 y.","6.79","7","7502","3","5","8","10","6.74","6.84","7","7"
"1998","66 and older","8.03","8","1864","5","7","10","10","7.94","8.12","8","8"
"1999","16-34 y.","6.73","7","4591","3","5","8","10","6.66","6.8","7","7"
"1999","35-65 y.","6.76","7","7278","4","5","8","10","6.71","6.81","7","7"
"1999","66 and older","8.25","9","1808","6","8","10","10","8.16","8.34","8","9"
"2000","16-34 y.","6.85","7","7116","4","5","8","10","6.8","6.9","7","7"
"2000","35-65 y.","6.89","7","13425","4","5","9","10","6.85","6.93","7","7"
"2000","66 and older","8.16","8","3614","5","7","10","10","8.1","8.22","8","9"
"2001","16-34 y.","6.91","7","6277","4","5","8","10","6.86","6.96","7","7"
"2001","35-65 y.","6.85","7","12262","3","5","8","10","6.81","6.89","7","7"
"2001","66 and older","8.23","8","3419","5","8","10","10","8.17","8.29","8","9"
"2002","16-34 y.","6.73","7","6154","3","5","8","9","6.68","6.78","7","7"
"2002","35-65 y.","6.85","7","13273","4","5","8","10","6.81","6.89","7","7"
"2002","66 and older","8.09","8","3610","5","7","10","10","8.03","8.15","8","8"
"2003","16-34 y.","6.81","7","5864","4","5","8","10","6.75","6.87","7","7"
"2003","35-65 y.","6.82","7","12678","4","5","8","10","6.78","6.86","7","7"
"2003","66 and older","8.14","8","3667","5","7","10","10","8.08","8.2","8","8"
"2004","16-34 y.","6.81","7","5622","4","5","8","9","6.75","6.87","7","7"
"2004","35-65 y.","6.76","7","12204","4","5","8","10","6.72","6.8","7","7"
"2004","66 and older","8.05","8","3762","5","7","10","10","7.99","8.11","8","8"
"2005","16-34 y.","6.84","7","5318","4","5","8","10","6.78","6.9","7","7"
"2005","35-65 y.","6.69","7","11597","3","5","8","10","6.65","6.73","7","7"
"2005","66 and older","8.07","8","3786","5","7","10","10","8.01","8.13","8","8"
"2006","16-34 y.","6.68","7","5123","3","5","8","10","6.62","6.74","7","7"
"2006","35-65 y.","6.68","7","12395","3","5","8","10","6.64","6.72","7","7"
"2006","66 and older","7.97","8","4459","5","7","10","10","7.91","8.03","8","8"
"2007","16-34 y.","6.71","7","4712","3","5","8","10","6.65","6.77","7","7"
"2007","35-65 y.","6.64","7","11454","3","5","8","9","6.6","6.68","7","7"
"2007","66 and older","7.97","8","4364","5","7","10","10","7.91","8.03","8","8"
"2008","16-34 y.","6.93","7","4364","4","6","8","10","6.87","6.99","7","7"
"2008","35-65 y.","6.77","7","10681","4","5","8","9","6.73","6.81","7","7"
"2008","66 and older","8","8","4329","5","7","10","10","7.95","8.05","8","8"
"2009","16-34 y.","6.85","7","3995","4","6","8","9","6.79","6.91","7","7"
"2009","35-65 y.","6.75","7","9876","4","5","8","9","6.71","6.79","7","7"
"2009","66 and older","8.02","8","4192","5","7","10","10","7.96","8.08","8","8"
"2010","16-34 y.","6.93","7","6577","4","6","8","10","6.88","6.98","7","7"
"2010","35-65 y.","6.7","7","13366","3","5","8","9","6.66","6.74","7","7"
"2010","66 and older","7.96","8","4057","5","7","9","10","7.9","8.02","8","8"
"2011","16-34 y.","6.95","7","3807","4","6","9","10","6.88","7.02","7","7"
"2011","35-65 y.","6.82","7","9931","4","5","8","9","6.78","6.86","7","7"
"2011","66 and older","8.09","8","4482","5","7","10","10","8.04","8.14","8","8"
"2012","16-34 y.","7.08","7","3881","4","6","9","10","7.01","7.15","7","7"
"2012","35-65 y.","6.86","7","10515","4","5","8","10","6.82","6.9","7","7"
"2012","66 and older","8.05","8","4898","5","7","10","10","8","8.1","8","8"
"2013","16-34 y.","7.11","8","3612","4","6","9","10","7.04","7.18","7","7"
"2013","35-65 y.","6.95","7","10164","4","6","8","10","6.91","6.99","7","7"
"2013","66 and older","8.05","8","4943","5","7","10","10","8","8.1","8","8"
"2014","16-34 y.","7.04","7","6578","4","6","9","10","6.99","7.09","7","7"
"2014","35-65 y.","6.86","7","15571","4","5","8","9","6.83","6.89","7","7"
"2014","66 and older","8.06","8","4982","5","7","10","10","8.01","8.11","8","8"
"2015","16-34 y.","7.15","7","5752","4","6","9","10","7.09","7.21","7","8"
"2015","35-65 y.","6.87","7","14403","4","6","8","9","6.83","6.91","7","7"
"2015","66 and older","7.99","8","4917","5","7","9","10","7.94","8.04","8","8"
"2016","16-34 y.","7.12","7","5590","4","6","9","10","7.06","7.18","7","8"
"2016","35-65 y.","6.89","7","13880","4","6","8","9","6.85","6.93","7","7"
"2016","66 and older","8.01","8","4737","5","7","9","10","7.96","8.06","8","8"
"2017","16-34 y.","7.17","7","6153","5","6","9","10","7.12","7.22","7","8"
"2017","35-65 y.","6.88","7","15363","4","6","8","9","6.85","6.91","7","7"
"2017","66 and older","7.96","8","5001","5","7","9","10","7.91","8.01","8","8"
"2018","16-34 y.","7.09","7","5981","4","6","9","10","7.04","7.14","7","8"
"2018","35-65 y.","6.83","7","14624","4","5","8","9","6.8","6.86","7","7"
"2018","66 and older","7.95","8","5026","5","7","9","10","7.9","8","8","8"
"2019","16-34 y.","7.25","7","5445","5","6","9","10","7.19","7.31","7","8"
"2019","35-65 y.","6.95","7","15147","4","6","8","9","6.92","6.98","7","7"
"2019","66 and older","8.02","8","5200","5","7","10","10","7.97","8.07","8","8"
