"year","hgtyp1hh","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Couple + C. LE 16","Rural Area","6.23","7","1255","3","5","8","9","10","6.11","6.35","0","10","6","7"
"2004","Couple + C. LE 16","Urban Area","6.28","7","2797","3","5","8","9","10","6.2","6.36","0","10","6","7"
"2004","Couple + C. LE and GT 16","Rural Area","6.99","7","641","4","6","9","10","10","6.82","7.16","0","10","7","8"
"2004","Couple + C. LE and GT 16","Urban Area","6.84","7","1143","4","5","8","10","10","6.71","6.97","0","10","7","7"
"2004","Single parent","Rural Area","7.03","7","371","4","6","9","10","10","6.81","7.25","0","10","7","7"
"2004","Single parent","Urban Area","6.37","7","717","3","5","8","9","10","6.21","6.53","0","10","7","7"
"2005","(Married) couple without C.","Rural Area","7.34","8","2263","4","6","9","10","10","7.25","7.43","0","10","8","8"
"2005","(Married) couple without C.","Urban Area","7.37","8","4771","4","6","9","10","10","7.31","7.43","0","10","8","8"
"2005","1-pers.-HH","Rural Area","7.32","8","880","4","6","9","10","10","7.17","7.47","0","10","8","8"
"2005","1-pers.-HH","Urban Area","7.35","8","2078","4","6","9","10","10","7.26","7.44","0","10","8","8"
"2005","Couple + C. GT 16 ","Rural Area","7.13","8","1354","4","6","9","10","10","7.02","7.24","0","10","7","7"
"2005","Couple + C. GT 16 ","Urban Area","7","7","2288","4","6","8","10","10","6.91","7.09","0","10","7","7"
"2005","Couple + C. LE 16","Rural Area","6.17","6","1169","3","5","8","9","10","6.04","6.3","0","10","6","7"
"2005","Couple + C. LE 16","Urban Area","6.3","7","2545","3","5","8","9","10","6.21","6.39","0","10","6","7"
"2005","Couple + C. LE and GT 16","Rural Area","6.57","7","589","3","5","8","10","10","6.38","6.76","0","10","7","7"
"2005","Couple + C. LE and GT 16","Urban Area","6.77","7","1108","4","5","8","10","10","6.64","6.9","0","10","7","7"
"2005","Single parent","Rural Area","6.94","7","388","4","5","9","10","10","6.72","7.16","1","10","7","7"
"2005","Single parent","Urban Area","6.63","7","712","3","5","8","10","10","6.46","6.8","0","10","7","7"
"2006","(Married) couple without C.","Rural Area","7.43","8","2543","4","6","9","10","10","7.35","7.51","0","10","8","8"
"2006","(Married) couple without C.","Urban Area","7.32","8","5315","4","6","9","10","10","7.26","7.38","0","10","8","8"
"2006","1-pers.-HH","Rural Area","7.19","8","1042","4","6","9","10","10","7.05","7.33","0","10","8","8"
