"m11126","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Good","2000","indirect migration background","Urban Area","348","0.466740113116152","0.43029923241141","0.503180993820893"
"Good","2000","indirect migration background","Rural Area","48","0.395469894024586","0.304096989746949","0.486842798302222"
"Satisfactory","2000","no migration background","Urban Area","4071","0.338208189780276","0.329894560492903","0.346521819067648"
"Satisfactory","2000","no migration background","Rural Area","2579","0.351717252931429","0.340991674503412","0.362442831359447"
"Satisfactory","2000","direct migration background","Urban Area","857","0.319305387659236","0.301937606909277","0.336673168409196"
"Satisfactory","2000","direct migration background","Rural Area","184","0.309628204998488","0.27177239374497","0.347484016252006"
"Satisfactory","2000","indirect migration background","Urban Area","137","0.219295727567575","0.189072544195044","0.249518910940105"
"Satisfactory","2000","indirect migration background","Rural Area","22","","",""
"Poor","2000","no migration background","Urban Area","1561","0.133757104130127","0.127775520589107","0.139738687671147"
"Poor","2000","no migration background","Rural Area","945","0.134742998295617","0.127073493568665","0.142412503022568"
"Poor","2000","direct migration background","Urban Area","391","0.138138521467698","0.125284435953005","0.150992606982391"
"Poor","2000","direct migration background","Rural Area","77","0.142398833461691","0.113785617197171","0.171012049726211"
"Poor","2000","indirect migration background","Urban Area","32","0.0544499185604908","0.0378760943482145","0.0710237427727671"
"Poor","2000","indirect migration background","Rural Area","12","","",""
"Bad ","2000","no migration background","Urban Area","457","0.0431493279483592","0.0395786802520795","0.0467199756446389"
"Bad ","2000","no migration background","Rural Area","262","0.0393486584910605","0.0349815948908466","0.0437157220912744"
"Bad ","2000","direct migration background","Urban Area","108","0.0418121018621026","0.0343554925529578","0.0492687111712473"
"Bad ","2000","direct migration background","Rural Area","25","","",""
"Bad ","2000","indirect migration background","Urban Area","8","","",""
"Bad ","2000","indirect migration background","Rural Area","1","","",""
"Very good","2001","no migration background","Urban Area","1223","0.105075070945474","0.0994464666001476","0.1107036752908"
"Very good","2001","no migration background","Rural Area","664","0.0956779395198864","0.0887439643484218","0.102611914691351"
"Very good","2001","direct migration background","Urban Area","277","0.117643255527376","0.104833212864284","0.130453298190467"
"Very good","2001","direct migration background","Rural Area","68","0.167586360460216","0.135170919676029","0.200001801244404"
"Very good","2001","indirect migration background","Urban Area","173","0.247070942998733","0.214581548168695","0.279560337828772"
"Very good","2001","indirect migration background","Rural Area","25","","",""
"Good","2001","no migration background","Urban Area","4554","0.375287264029195","0.366399762964547","0.384174765093843"
"Good","2001","no migration background","Rural Area","2757","0.368650541369593","0.357278009650695","0.380023073088491"
"Good","2001","direct migration background","Urban Area","989","0.406118123131264","0.386591768362176","0.425644477900351"
"Good","2001","direct migration background","Rural Area","168","0.302673840127428","0.262801802974331","0.342545877280525"
"Good","2001","indirect migration background","Urban Area","330","0.46505707304807","0.427485393593997","0.502628752502143"
"Good","2001","indirect migration background","Rural Area","42","0.368501716679298","0.273953370673804","0.463050062684792"
"Satisfactory","2001","no migration background","Urban Area","3756","0.338821282311161","0.330133631703903","0.347508932918418"
"Satisfactory","2001","no migration background","Rural Area","2369","0.353744475147998","0.342473492533659","0.365015457762337"
"Satisfactory","2001","direct migration background","Urban Area","724","0.284716708233728","0.266773897692104","0.302659518775352"
"Satisfactory","2001","direct migration background","Rural Area","172","0.317545059030913","0.277143076739764","0.357947041322062"
"Satisfactory","2001","indirect migration background","Urban Area","133","0.23460605741338","0.202685837283113","0.266526277543648"
"Satisfactory","2001","indirect migration background","Rural Area","26","","",""
"Poor","2001","no migration background","Urban Area","1443","0.136077129854182","0.129783696631008","0.142370563077357"
"Poor","2001","no migration background","Rural Area","879","0.14315511904808","0.134899125268922","0.151411112827238"
"Poor","2001","direct migration background","Urban Area","341","0.148773179807589","0.1346240436326","0.162922315982578"
"Poor","2001","direct migration background","Rural Area","84","0.172988658121997","0.140161933593079","0.205815382650915"
"Poor","2001","indirect migration background","Urban Area","33","0.0401115059012931","0.0253306823306634","0.0548923294719228"
"Poor","2001","indirect migration background","Rural Area","6","","",""
"Bad ","2001","no migration background","Urban Area","426","0.0447392528599883","0.0409446799450189","0.0485338257749577"
"Bad ","2001","no migration background","Rural Area","244","0.0387719249144421","0.0342211357266568","0.0433227141022274"
"Bad ","2001","direct migration background","Urban Area","99","0.0427487333000434","0.0347057057862562","0.0507917608138306"
"Bad ","2001","direct migration background","Rural Area","18","","",""
"Bad ","2001","indirect migration background","Urban Area","8","","",""
"Bad ","2001","indirect migration background","Rural Area","1","","",""
"Very good","2002","no migration background","Urban Area","1273","0.0903941903028752","0.0853555040322226","0.0954328765735278"
"Very good","2002","no migration background","Rural Area","634","0.0880961665812454","0.0814926310438707","0.0946997021186201"
"Very good","2002","direct migration background","Urban Area","225","0.0912073852144907","0.079524822560492","0.102889947868489"
"Very good","2002","direct migration background","Rural Area","45","0.116124756850829","0.0875532977746227","0.144696215927036"
"Very good","2002","indirect migration background","Urban Area","153","0.167741757753977","0.139761452218303","0.195722063289651"
"Very good","2002","indirect migration background","Rural Area","23","","",""
"Good","2002","no migration background","Urban Area","5168","0.382079934835196","0.37354178620866","0.390618083461731"
"Good","2002","no migration background","Rural Area","2886","0.371958160436288","0.360697474985787","0.383218845886788"
"Good","2002","direct migration background","Urban Area","896","0.370671752409254","0.351073196144937","0.390270308673571"
"Good","2002","direct migration background","Rural Area","180","0.354582939295622","0.311919716008911","0.397246162582332"
"Good","2002","indirect migration background","Urban Area","342","0.475789659322013","0.438390391789238","0.513188926854788"
"Good","2002","indirect migration background","Rural Area","38","0.363091325327029","0.266894886881106","0.459287763772952"
"Satisfactory","2002","no migration background","Urban Area","4082","0.345459902931322","0.337104115222021","0.353815690640623"
"Satisfactory","2002","no migration background","Rural Area","2433","0.35988298315071","0.348700613732319","0.371065352569101"
"Satisfactory","2002","direct migration background","Urban Area","720","0.326059495531107","0.3070377692881","0.345081221774115"
