"m11126","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1993","Couple + C. LE and GT 16","","","","","5"
"Good","1993","Single parent ","","","","","2"
"Good","1993","1-pers.-HH","","","","","2"
"Good","1993","(Married) couple without C. ","","","","","2"
"Good","1993","Couple + C. LE 16 ","","","","","2"
"Good","1993","Couple + C. GT 16 ","","","","","2"
"Good","1993","Couple + C. LE and GT 16","","","","","2"
"Poor","1993","(Married) couple without C. ","","","","","4"
"Poor","1993","1-pers.-HH","","","","","4"
"Poor","1993","Single parent ","","","","","4"
"Poor","1993","Couple + C. LE 16 ","","","","","4"
"Poor","1993","Couple + C. LE and GT 16","","","","","4"
"Poor","1993","Couple + C. GT 16 ","","","","","4"
"Satisfactory","1993","(Married) couple without C. ","","","","","3"
"Satisfactory","1993","1-pers.-HH","","","","","3"
"Satisfactory","1993","Single parent ","","","","","3"
"Satisfactory","1993","Couple + C. LE 16 ","","","","","3"
"Satisfactory","1993","Couple + C. LE and GT 16","","","","","3"
"Satisfactory","1993","Couple + C. GT 16 ","","","","","3"
"Very good","1993","1-pers.-HH","","","","","1"
"Very good","1993","(Married) couple without C. ","","","","","1"
"Very good","1993","Single parent ","","","","","1"
"Very good","1993","Couple + C. LE 16 ","","","","","1"
"Very good","1993","Couple + C. GT 16 ","","","","","1"
"Very good","1993","Couple + C. LE and GT 16","","","","","1"
"Bad ","1994","1-pers.-HH","107","0.0907064592487963","0.0757161809766407","0.105696737520952","5"
"Bad ","1994","(Married) couple without C. ","166","0.0550592562448187","0.0473911174233955","0.0627273950662419","5"
"Bad ","1994","Single parent ","24","","","","5"
"Bad ","1994","Couple + C. LE 16 ","43","0.0136654039183423","0.00952544436565164","0.017805363471033","5"
"Bad ","1994","Couple + C. GT 16 ","80","0.0290206677193996","0.0223858725482948","0.0356554628905044","5"
"Bad ","1994","Couple + C. LE and GT 16","18","","","","5"
"Good","1994","1-pers.-HH","451","0.28228285513638","0.258788829094322","0.305776881178438","2"
"Good","1994","(Married) couple without C. ","1159","0.328701110764751","0.312909331718347","0.344492889811155","2"
"Good","1994","Single parent ","224","0.377972749952246","0.33851166289237","0.417433837012122","2"
"Good","1994","Couple + C. LE 16 ","1498","0.487760051390982","0.46993574803598","0.505584354745983","2"
"Good","1994","Couple + C. LE and GT 16","542","0.478564543078957","0.450074462266772","0.507054623891143","2"
"Good","1994","Couple + C. GT 16 ","1012","0.404258442105501","0.384861765542598","0.423655118668404","2"
"Poor","1994","1-pers.-HH","273","0.214415281909065","0.192993138829364","0.235837424988767","4"
"Poor","1994","(Married) couple without C. ","589","0.184366753402821","0.171330245483978","0.197403261321665","4"
"Poor","1994","Single parent ","79","0.140651487493105","0.112357710656026","0.168945264330185","4"
"Poor","1994","Couple + C. LE 16 ","294","0.0955878702380155","0.0851031388105087","0.106072601665522","4"
"Poor","1994","Couple + C. GT 16 ","303","0.12852622737614","0.115298298008109","0.141754156744172","4"
"Poor","1994","Couple + C. LE and GT 16","116","0.0945550572357921","0.0778673548101896","0.111242759661395","4"
"Satisfactory","1994","1-pers.-HH","475","0.347619963014149","0.322763391794416","0.372476534233883","3"
"Satisfactory","1994","(Married) couple without C. ","1223","0.368887348934749","0.352666527913996","0.385108169955503","3"
"Satisfactory","1994","Couple + C. LE 16 ","852","0.295746607256592","0.279472503223519","0.312020711289666","3"
"Satisfactory","1994","Single parent ","180","0.318309596696633","0.280399704409462","0.356219488983804","3"
"Satisfactory","1994","Couple + C. GT 16 ","770","0.333466679335621","0.31483268403515","0.352100674636092","3"
"Satisfactory","1994","Couple + C. LE and GT 16","324","0.269232102761356","0.243934679100895","0.294529526421817","3"
"Very good","1994","1-pers.-HH","104","0.0649754406916086","0.0521100001902879","0.0778408811929294","1"
"Very good","1994","(Married) couple without C. ","262","0.0629855306528598","0.0548184648698976","0.0711525964358221","1"
"Very good","1994","Single parent ","73","0.11932675380879","0.0929445902230675","0.145708917394513","1"
"Very good","1994","Couple + C. LE 16 ","334","0.107240067196068","0.0962064322110717","0.118273702181065","1"
"Very good","1994","Couple + C. GT 16 ","294","0.104727983463338","0.0926254107031069","0.116830556223568","1"
"Very good","1994","Couple + C. LE and GT 16","181","0.14479120442136","0.124721992820673","0.164860416022048","1"
"Bad ","1995","1-pers.-HH","103","0.0792831223481227","0.0653957745393131","0.0931704701569323","5"
"Bad ","1995","(Married) couple without C. ","169","0.0555334087765856","0.0479612854495833","0.0631055321035878","5"
"Bad ","1995","Single parent ","21","","","","5"
"Bad ","1995","Couple + C. LE 16 ","43","0.0117000504591868","0.0079460593425622","0.0154540415758115","5"
"Bad ","1995","Couple + C. GT 16 ","81","0.0321519634648232","0.0252343035014711","0.0390696234281752","5"
"Bad ","1995","Couple + C. LE and GT 16","26","","","","5"
"Good","1995","(Married) couple without C. ","1203","0.334416386259439","0.318817546459847","0.350015226059032","2"
"Good","1995","1-pers.-HH","476","0.301381625889525","0.277796169995775","0.324967081783276","2"
"Good","1995","Couple + C. LE 16 ","1608","0.489649326399395","0.472197860480068","0.507100792318722","2"
"Good","1995","Single parent ","256","0.394479515972873","0.355884219357314","0.433074812588433","2"
"Good","1995","Couple + C. GT 16 ","1018","0.399544957287989","0.380337275636731","0.418752638939246","2"
"Good","1995","Couple + C. LE and GT 16","590","0.496796706275101","0.469034743897251","0.524558668652952","2"
"Poor","1995","1-pers.-HH","259","0.204521134962457","0.183788747935964","0.225253521988949","4"
"Poor","1995","(Married) couple without C. ","628","0.188407040543652","0.175478041248026","0.201336039839278","4"
"Poor","1995","Couple + C. LE 16 ","256","0.080408955109784","0.070915931464408","0.0899019787551599","4"
"Poor","1995","Single parent ","81","0.121951971718049","0.0961108546158301","0.147793088820268","4"
"Poor","1995","Couple + C. GT 16 ","335","0.144303335031263","0.130523310908596","0.158083359153931","4"
"Poor","1995","Couple + C. LE and GT 16","132","0.099663095100938","0.0830305472650569","0.116295642936819","4"
"Satisfactory","1995","(Married) couple without C. ","1289","0.368607920056127","0.352657243500717","0.384558596611537","3"
"Satisfactory","1995","1-pers.-HH","504","0.354340756428241","0.329755308329825","0.378926204526656","3"
"Satisfactory","1995","Single parent ","165","0.295987133682263","0.259938861827683","0.332035405536843","3"
"Satisfactory","1995","Couple + C. LE 16 ","908","0.320696944166442","0.304402701435917","0.336991186896968","3"
"Satisfactory","1995","Couple + C. GT 16 ","775","0.320807548259691","0.302502512212258","0.339112584307123","3"
"Satisfactory","1995","Couple + C. LE and GT 16","329","0.249302668762584","0.225282006905617","0.27332333061955","3"
"Very good","1995","1-pers.-HH","112","0.0604733603716545","0.0482214873210898","0.0727252334222193","1"
"Very good","1995","(Married) couple without C. ","225","0.0530352443641963","0.0456256163201881","0.0604448724082044","1"
"Very good","1995","Single parent ","93","0.151672722699059","0.123346204732466","0.179999240665652","1"
"Very good","1995","Couple + C. LE 16 ","337","0.0975447238651921","0.0871868713553998","0.107902576374985","1"
"Very good","1995","Couple + C. GT 16 ","289","0.103192195956235","0.0912626204407359","0.115121771471733","1"
"Very good","1995","Couple + C. LE and GT 16","169","0.131073594147875","0.11233494966689","0.14981223862886","1"
"Bad ","1996","1-pers.-HH","103","0.0784001975677635","0.0647102959593128","0.0920900991762141","5"
"Bad ","1996","(Married) couple without C. ","166","0.0514585366282132","0.0442072629378627","0.0587098103185637","5"
"Bad ","1996","Single parent ","18","","","","5"
"Bad ","1996","Couple + C. LE 16 ","40","0.0137507261922272","0.00958492142651693","0.0179165309579375","5"
"Bad ","1996","Couple + C. GT 16 ","80","0.0381762239313809","0.0304696646581999","0.0458827832045618","5"
"Bad ","1996","Couple + C. LE and GT 16","19","","","","5"
"Good","1996","1-pers.-HH","482","0.301614652171826","0.278240044025128","0.324989260318524","2"
"Good","1996","(Married) couple without C. ","1173","0.312261612870499","0.297051642999053","0.327471582741946","2"
"Good","1996","Single parent ","284","0.410078897826364","0.37235451208188","0.447803283570849","2"
"Good","1996","Couple + C. LE 16 ","1527","0.501566794881581","0.483680902259432","0.519452687503731","2"
"Good","1996","Couple + C. GT 16 ","921","0.371812739813075","0.352376019763142","0.391249459863009","2"
"Good","1996","Couple + C. LE and GT 16","553","0.459684584604704","0.432078833009455","0.487290336199953","2"
"Poor","1996","1-pers.-HH","262","0.1991311634484","0.178792571897681","0.219469754999119","4"
"Poor","1996","(Married) couple without C. ","608","0.183743320056597","0.171032412052867","0.196454228060326","4"
"Poor","1996","Single parent ","85","0.126927088419509","0.101394554577482","0.152459622261535","4"
"Poor","1996","Couple + C. LE 16 ","232","0.0725959720838373","0.0633141444657668","0.0818777997019078","4"
"Poor","1996","Couple + C. LE and GT 16","118","0.101287060249357","0.0845748686072638","0.117999251891451","4"
"Poor","1996","Couple + C. GT 16 ","300","0.131466993012504","0.117877044458457","0.14505694156655","4"
"Satisfactory","1996","(Married) couple without C. ","1387","0.394783024222567","0.378739779548001","0.410826268897133","3"
"Satisfactory","1996","1-pers.-HH","528","0.366273005850946","0.341735855651684","0.390810156050207","3"
"Satisfactory","1996","Single parent ","173","0.285837800440717","0.251184088524642","0.320491512356792","3"
"Satisfactory","1996","Couple + C. LE 16 ","879","0.308547124953147","0.292024281335657","0.325069968570637","3"
"Satisfactory","1996","Couple + C. GT 16 ","782","0.344572624702681","0.325460060474294","0.363685188931068","3"
"Satisfactory","1996","Couple + C. LE and GT 16","395","0.301190508258279","0.275778091744113","0.326602924772446","3"
"Very good","1996","1-pers.-HH","106","0.0545809809610652","0.0430117791326207","0.0661501827895098","1"
"Very good","1996","(Married) couple without C. ","232","0.0577535062221239","0.0500970313005882","0.0654099811436597","1"
"Very good","1996","Single parent ","93","0.142687959525369","0.115862039487385","0.169513879563352","1"
"Very good","1996","Couple + C. LE 16 ","324","0.103539381889207","0.0926410221597242","0.114437741618689","1"
"Very good","1996","Couple + C. GT 16 ","292","0.113971418540359","0.101191204519697","0.126751632561022","1"
"Very good","1996","Couple + C. LE and GT 16","167","0.123149615330223","0.104947359886184","0.141351870774261","1"
"Bad ","1997","1-pers.-HH","93","0.0711393823620426","0.0579582323372576","0.0843205323868276","5"
"Bad ","1997","(Married) couple without C. ","189","0.0625312143610904","0.0546342316666064","0.0704281970555744","5"
"Bad ","1997","Single parent ","21","","","","5"
"Bad ","1997","Couple + C. LE 16 ","27","","","","5"
"Bad ","1997","Couple + C. GT 16 ","77","0.0311367893531193","0.0241529696356672","0.0381206090705715","5"
"Bad ","1997","Couple + C. LE and GT 16","23","","","","5"
"Good","1997","1-pers.-HH","488","0.297609734562558","0.27416551439224","0.321053954732877","2"
"Good","1997","(Married) couple without C. ","1203","0.309225434844679","0.29415103188679","0.324299837802569","2"
"Good","1997","Single parent ","266","0.391282034047035","0.353412429909267","0.429151638184802","2"
"Good","1997","Couple + C. GT 16 ","1043","0.414473171802218","0.394664904655638","0.434281438948799","2"
"Good","1997","Couple + C. LE 16 ","1544","0.510864456746563","0.492499153738535","0.529229759754591","2"
"Good","1997","Couple + C. LE and GT 16","575","0.481016806933516","0.452887854833431","0.5091457590336","2"
"Poor","1997","1-pers.-HH","251","0.188665670632166","0.168603895829652","0.208727445434681","4"
"Poor","1997","(Married) couple without C. ","611","0.179681013731697","0.167158923667765","0.192203103795628","4"
"Poor","1997","Single parent ","84","0.158565501527038","0.130222080934933","0.186908922119143","4"
"Poor","1997","Couple + C. LE 16 ","210","0.0737290622350989","0.0641280059162287","0.0833301185539692","4"
"Poor","1997","Couple + C. GT 16 ","257","0.114825937140611","0.102006787650663","0.12764508663056","4"
"Poor","1997","Couple + C. LE and GT 16","105","0.0794388731527112","0.064214492483895","0.0946632538215275","4"
"Satisfactory","1997","1-pers.-HH","526","0.381682207399615","0.356771858373886","0.406592556425344","3"
"Satisfactory","1997","(Married) couple without C. ","1376","0.392878997063737","0.376949525034482","0.408808469092992","3"
"Satisfactory","1997","Single parent ","170","0.271067631730594","0.236575486969258","0.305559776491929","3"
"Satisfactory","1997","Couple + C. LE 16 ","789","0.306783865887418","0.289841220070223","0.323726511704613","3"
"Satisfactory","1997","Couple + C. GT 16 ","748","0.324124735751989","0.305304968985417","0.342944502518562","3"
"Satisfactory","1997","Couple + C. LE and GT 16","344","0.288327689685266","0.26282535203655","0.313830027333981","3"
"Very good","1997","1-pers.-HH","103","0.0609030050436181","0.048639981292283","0.0731660287949533","1"
"Very good","1997","(Married) couple without C. ","232","0.055683339998796","0.0482041285546349","0.0631625514429571","1"
"Very good","1997","Single parent ","97","0.151849540312112","0.124002378183411","0.179696702440813","1"
"Very good","1997","Couple + C. LE 16 ","276","0.099546142325719","0.0885466259158586","0.110545658735579","1"
"Very good","1997","Couple + C. GT 16 ","251","0.115439365952061","0.102590475003464","0.128288256900659","1"
"Very good","1997","Couple + C. LE and GT 16","165","0.136429450939807","0.117105329495012","0.155753572384603","1"
"Bad ","1998","1-pers.-HH","133","0.0959659811876035","0.0822012982545162","0.109730664120691","5"
"Bad ","1998","(Married) couple without C. ","204","0.0477509979295773","0.0412858510692039","0.0542161447899507","5"
"Bad ","1998","Single parent ","24","","","","5"
"Bad ","1998","Couple + C. LE 16 ","28","","","","5"
"Bad ","1998","Couple + C. GT 16 ","78","0.0313817970300566","0.0246307093867767","0.0381328846733364","5"
"Bad ","1998","Couple + C. LE and GT 16","21","","","","5"
"Good","1998","1-pers.-HH","609","0.31395716097626","0.292268837318735","0.335645484633786","2"
"Good","1998","(Married) couple without C. ","1468","0.331547830497838","0.317274669346129","0.345820991649546","2"
"Good","1998","Single parent ","323","0.421491880160166","0.385271890589862","0.45771186973047","2"
"Good","1998","Couple + C. LE 16 ","1744","0.548999006427394","0.531505288704273","0.566492724150515","2"
"Good","1998","Couple + C. GT 16 ","1080","0.402995936527765","0.384002764341624","0.421989108713905","2"
"Good","1998","Couple + C. LE and GT 16","600","0.457464186345521","0.429912636930176","0.485015735760865","2"
"Poor","1998","1-pers.-HH","297","0.179167704604552","0.161246291375928","0.197089117833176","4"
"Poor","1998","Single parent ","82","0.111971266906226","0.0888417911034623","0.135100742708989","4"
"Poor","1998","(Married) couple without C. ","692","0.188119809970824","0.176270988838788","0.19996863110286","4"
"Poor","1998","Couple + C. LE 16 ","195","0.0628450953493053","0.0543131321821505","0.0713770585164602","4"
"Poor","1998","Couple + C. GT 16 ","285","0.102349923545493","0.0906129581074443","0.114086888983542","4"
"Poor","1998","Couple + C. LE and GT 16","106","0.0839457779951392","0.0686097359378323","0.0992818200524462","4"
"Satisfactory","1998","(Married) couple without C. ","1523","0.365934338713582","0.351330043444731","0.380538633982433","3"
"Satisfactory","1998","1-pers.-HH","575","0.340624743143913","0.318477504240518","0.362771982047309","3"
"Satisfactory","1998","Single parent ","187","0.281736394427088","0.248740311080355","0.314732477773822","3"
"Satisfactory","1998","Couple + C. LE 16 ","791","0.265202744152795","0.2496831501569","0.280722338148691","3"
"Satisfactory","1998","Couple + C. GT 16 ","796","0.321736144647535","0.303647426487573","0.339824862807497","3"
"Satisfactory","1998","Couple + C. LE and GT 16","328","0.275195049629528","0.250495777482093","0.299894321776962","3"
"Very good","1998","1-pers.-HH","145","0.070284410087671","0.0583384865657254","0.0822303336096165","1"
"Very good","1998","(Married) couple without C. ","292","0.0666470228881788","0.0590852219391227","0.0742088238372348","1"
"Very good","1998","Single parent ","98","0.153945328839993","0.127473651735677","0.180417005944309","1"
"Very good","1998","Couple + C. LE 16 ","350","0.114270612450813","0.103085885387079","0.125455339514548","1"
"Very good","1998","Couple + C. GT 16 ","323","0.141536198249151","0.12803869983982","0.155033696658481","1"
"Very good","1998","Couple + C. LE and GT 16","201","0.170877979620195","0.150061583367476","0.191694375872914","1"
"Bad ","1999","(Married) couple without C. ","209","0.0558638094936268","0.0488630452688221","0.0628645737184316","5"
"Bad ","1999","1-pers.-HH","127","0.0877104247857101","0.0742359584030958","0.101184891168324","5"
"Bad ","1999","Single parent ","20","","","","5"
"Bad ","1999","Couple + C. LE 16 ","26","","","","5"
"Bad ","1999","Couple + C. GT 16 ","76","0.0261972886619348","0.0199400700464476","0.0324545072774219","5"
"Bad ","1999","Couple + C. LE and GT 16","16","","","","5"
"Good","1999","1-pers.-HH","575","0.308229356077665","0.286233661754456","0.330225050400874","2"
"Good","1999","(Married) couple without C. ","1399","0.307694216373427","0.293624948410239","0.321763484336616","2"
"Good","1999","Single parent ","316","0.434308079184882","0.398052503022666","0.470563655347098","2"
"Good","1999","Couple + C. LE 16 ","1606","0.530902057207554","0.513144661564476","0.548659452850631","2"
"Good","1999","Couple + C. GT 16 ","1085","0.433113285484425","0.413701451941894","0.452525119026956","2"
"Good","1999","Couple + C. LE and GT 16","541","0.453614826118868","0.424977988647635","0.482251663590101","2"
"Poor","1999","1-pers.-HH","286","0.193112986833563","0.174309789005997","0.211916184661128","4"
"Poor","1999","(Married) couple without C. ","684","0.186789606673743","0.174908943896963","0.198670269450522","4"
"Poor","1999","Single parent ","83","0.121848277157118","0.0979217126903884","0.145774841623847","4"
"Poor","1999","Couple + C. LE 16 ","223","0.0692084365978461","0.0601772245106669","0.0782396486850253","4"
"Poor","1999","Couple + C. LE and GT 16","109","0.0880273317685194","0.0717294312895158","0.104325232247523","4"
"Poor","1999","Couple + C. GT 16 ","277","0.112897571640722","0.100499708138186","0.125295435143259","4"
"Satisfactory","1999","(Married) couple without C. ","1581","0.391428106075075","0.376550097533331","0.406306114616818","3"
"Satisfactory","1999","1-pers.-HH","560","0.336794190936841","0.314281569483008","0.359306812390674","3"
"Satisfactory","1999","Single parent ","214","0.295169126944604","0.261806226949825","0.328532026939384","3"
"Satisfactory","1999","Couple + C. LE 16 ","851","0.285699386670863","0.269624960869242","0.301773812472484","3"
"Satisfactory","1999","Couple + C. GT 16 ","792","0.313036738502761","0.294869786150459","0.331203690855064","3"
"Satisfactory","1999","Couple + C. LE and GT 16","325","0.274236551296643","0.248574451081589","0.299898651511696","3"
"Very good","1999","1-pers.-HH","145","0.0741530413662208","0.0616719173584413","0.0866341653740002","1"
"Very good","1999","(Married) couple without C. ","261","0.0582242613841288","0.0510860632580935","0.0653624595101642","1"
"Very good","1999","Single parent ","85","0.121499723307338","0.0976026638205008","0.145396782794176","1"
"Very good","1999","Couple + C. LE 16 ","328","0.105925835270489","0.094975484671835","0.116876185869142","1"
"Very good","1999","Couple + C. GT 16 ","273","0.114755115710156","0.102268768517052","0.127241462903261","1"
"Very good","1999","Couple + C. LE and GT 16","170","0.171167148479636","0.14950130171537","0.192832995243902","1"
"Bad ","2000","1-pers.-HH","191","0.0625088500221198","0.0543333110609503","0.0706843889832894","5"
"Bad ","2000","(Married) couple without C. ","395","0.056114813395437","0.050933834360745","0.0612957924301291","5"
"Bad ","2000","Single parent ","41","0.0384621745227258","0.0276040536642265","0.0493202953812252","5"
"Bad ","2000","Couple + C. LE 16 ","43","0.00912426468447073","0.00655271886670655","0.0116958105022349","5"
"Bad ","2000","Couple + C. GT 16 ","103","0.0253297523516966","0.0204334945561738","0.0302260101472194","5"
"Bad ","2000","Couple + C. LE and GT 16","27","","","","5"
"Good","2000","(Married) couple without C. ","2420","0.298139108988707","0.28784121339187","0.308437004585545","2"
"Good","2000","1-pers.-HH","1174","0.326433977281","0.310597819736671","0.342270134825329","2"
"Good","2000","Single parent ","472","0.385998463982034","0.358511163843896","0.413485764120173","2"
"Good","2000","Couple + C. LE 16 ","2777","0.519076793781097","0.505564178692145","0.532589408870048","2"
"Good","2000","Couple + C. GT 16 ","1709","0.430125643909811","0.414697731139413","0.445553556680209","2"
"Good","2000","Couple + C. LE and GT 16","916","0.469945794949612","0.447753832095542","0.492137757803682","2"
"Poor","2000","1-pers.-HH","545","0.170685206470183","0.157978889155267","0.183391523785099","4"
"Poor","2000","(Married) couple without C. ","1278","0.171397802264087","0.162914027047052","0.179881577481122","4"
"Poor","2000","Single parent ","133","0.10865272943062","0.0910816534256614","0.126223805435578","4"
"Poor","2000","Couple + C. LE 16 ","362","0.0693255714662711","0.0624559730134493","0.0761951699190929","4"
"Poor","2000","Couple + C. GT 16 ","409","0.100756720607109","0.0913768777664847","0.110136563447732","4"
"Poor","2000","Couple + C. LE and GT 16","152","0.0751448998244081","0.0634229922270294","0.0868668074217868","4"
"Satisfactory","2000","1-pers.-HH","1121","0.345365069187391","0.329306722036764","0.361423416338018","3"
"Satisfactory","2000","(Married) couple without C. ","2958","0.403208345735193","0.392165281073527","0.41425141039686","3"
"Satisfactory","2000","Single parent ","362","0.295816988406706","0.270047316158467","0.321586660654945","3"
"Satisfactory","2000","Couple + C. LE 16 ","1393","0.269794136268904","0.257790173394143","0.281798099143664","3"
"Satisfactory","2000","Couple + C. LE and GT 16","502","0.252075109166755","0.232768515069449","0.271381703264061","3"
"Satisfactory","2000","Couple + C. GT 16 ","1217","0.307847982496338","0.293463678593372","0.322232286399304","3"
"Very good","2000","1-pers.-HH","337","0.0950068970393061","0.08510400028126","0.104909793797352","1"
"Very good","2000","(Married) couple without C. ","529","0.071139929616575","0.0653530379697072","0.0769268212634429","1"
"Very good","2000","Single parent ","197","0.171069643657914","0.149807841873771","0.192331445442056","1"
"Very good","2000","Couple + C. LE 16 ","677","0.132679233799258","0.123504846244282","0.141853621354234","1"
"Very good","2000","Couple + C. LE and GT 16","346","0.188906003045958","0.171501157891721","0.206310848200195","1"
"Very good","2000","Couple + C. GT 16 ","518","0.135939900635046","0.125260044586179","0.146619756683913","1"
"Bad ","2001","(Married) couple without C. ","328","0.0502698776329622","0.0451180290806431","0.0554217261852814","5"
"Bad ","2001","1-pers.-HH","191","0.0685184165080495","0.0594992321919541","0.0775376008241449","5"
"Bad ","2001","Single parent ","36","0.0328235323510926","0.0224211778062595","0.0432258868959257","5"
"Bad ","2001","Couple + C. LE 16 ","51","0.0125156019033454","0.00935941972179349","0.0156717840848973","5"
"Bad ","2001","Couple + C. GT 16 ","95","0.0269199823109464","0.0216642871477231","0.0321756774741697","5"
"Bad ","2001","Couple + C. LE and GT 16","32","0.0154466145603183","0.00966877661867757","0.0212244525019591","5"
"Good","2001","1-pers.-HH","1042","0.322306125107788","0.305621074559559","0.338991175656018","2"
"Good","2001","(Married) couple without C. ","2162","0.293427452627637","0.282691568417595","0.30416333683768","2"
"Good","2001","Single parent ","458","0.41038239012313","0.381663628142633","0.439101152103627","2"
"Good","2001","Couple + C. LE 16 ","2495","0.50970031512524","0.495507801163833","0.523892829086647","2"
"Good","2001","Couple + C. GT 16 ","1565","0.430666886150257","0.41458738883014","0.446746383470375","2"
"Good","2001","Couple + C. LE and GT 16","808","0.472300729629756","0.448910654231228","0.495690805028284","2"
"Poor","2001","1-pers.-HH","488","0.167359000332466","0.154032076992605","0.180685923672327","4"
"Poor","2001","(Married) couple without C. ","1207","0.183704874834849","0.174574407453263","0.192835342216435","4"
"Poor","2001","Single parent ","130","0.119488705922784","0.100551450919024","0.138425960926544","4"
"Poor","2001","Couple + C. LE 16 ","334","0.0745463518143559","0.0670893953907776","0.0820033082379343","4"
"Poor","2001","Couple + C. GT 16 ","374","0.10061520633655","0.0908468141692904","0.110383598503809","4"
"Poor","2001","Couple + C. LE and GT 16","133","0.0701269666396137","0.058162773365585","0.0820911599136424","4"
"Satisfactory","2001","1-pers.-HH","1006","0.345985267702167","0.329002868873129","0.362967666531206","3"
"Satisfactory","2001","(Married) couple without C. ","2724","0.401463386958111","0.389905527736502","0.413021246179719","3"
"Satisfactory","2001","Single parent ","328","0.276546271021747","0.250432149778035","0.302660392265458","3"
"Satisfactory","2001","Couple + C. LE 16 ","1304","0.281968727504895","0.269194247702763","0.294743207307027","3"
"Satisfactory","2001","Couple + C. LE and GT 16","464","0.245246640074131","0.225089304435313","0.265403975712948","3"
"Satisfactory","2001","Couple + C. GT 16 ","1105","0.292087373562873","0.277321310242243","0.306853436883503","3"
"Very good","2001","1-pers.-HH","287","0.0958311903495291","0.0853223530287891","0.106340027670269","1"
"Very good","2001","(Married) couple without C. ","489","0.0711344079464404","0.0650736719633289","0.0771951439295519","1"
"Very good","2001","Single parent ","175","0.160759100581247","0.139314535775571","0.182203665386923","1"
"Very good","2001","Couple + C. LE 16 ","582","0.121269003652164","0.112001261342167","0.13053674596216","1"
"Very good","2001","Couple + C. GT 16 ","504","0.149710551639373","0.138124696194119","0.161296407084627","1"
"Very good","2001","Couple + C. LE and GT 16","313","0.196879049096181","0.178248772791353","0.21550932540101","1"
"Bad ","2002","1-pers.-HH","180","0.0619947958981182","0.0533914236445325","0.070598168151704","5"
"Bad ","2002","(Married) couple without C. ","339","0.0517528030440567","0.0467312140127561","0.0567743920753573","5"
