"m11126","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1993","1-pers.-HH","indirect migration background","","","","","5"
"Bad ","1993","(Married) couple without C. ","no migration background","","","","","5"
"Bad ","1993","(Married) couple without C. ","direct migration background","","","","","5"
"Bad ","1993","(Married) couple without C. ","indirect migration background","","","","","5"
"Bad ","1993","Couple + C. LE 16 ","no migration background","","","","","5"
"Bad ","1993","Single parent ","no migration background","","","","","5"
"Bad ","1993","Single parent ","direct migration background","","","","","5"
"Bad ","1993","Single parent ","indirect migration background","","","","","5"
"Bad ","1993","Couple + C. LE 16 ","direct migration background","","","","","5"
"Bad ","1993","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Bad ","1993","Couple + C. GT 16 ","no migration background","","","","","5"
"Bad ","1993","Couple + C. GT 16 ","direct migration background","","","","","5"
"Bad ","1993","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Bad ","1993","Couple + C. LE and GT 16","no migration background","","","","","5"
"Bad ","1993","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Bad ","1993","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Good","1993","(Married) couple without C. ","direct migration background","","","","","2"
"Good","1993","1-pers.-HH","no migration background","","","","","2"
"Good","1993","(Married) couple without C. ","no migration background","","","","","2"
"Good","1993","1-pers.-HH","direct migration background","","","","","2"
"Good","1993","1-pers.-HH","indirect migration background","","","","","2"
"Good","1993","(Married) couple without C. ","indirect migration background","","","","","2"
"Good","1993","Single parent ","no migration background","","","","","2"
"Good","1993","Single parent ","direct migration background","","","","","2"
"Good","1993","Single parent ","indirect migration background","","","","","2"
"Good","1993","Couple + C. LE 16 ","no migration background","","","","","2"
"Good","1993","Couple + C. GT 16 ","no migration background","","","","","2"
"Good","1993","Couple + C. GT 16 ","direct migration background","","","","","2"
"Good","1993","Couple + C. LE and GT 16","direct migration background","","","","","2"
"Good","1993","Couple + C. LE 16 ","direct migration background","","","","","2"
"Good","1993","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Good","1993","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Good","1993","Couple + C. LE and GT 16","no migration background","","","","","2"
"Good","1993","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Poor","1993","(Married) couple without C. ","no migration background","","","","","4"
"Poor","1993","1-pers.-HH","direct migration background","","","","","4"
"Poor","1993","(Married) couple without C. ","indirect migration background","","","","","4"
"Poor","1993","1-pers.-HH","no migration background","","","","","4"
"Poor","1993","1-pers.-HH","indirect migration background","","","","","4"
"Poor","1993","(Married) couple without C. ","direct migration background","","","","","4"
"Poor","1993","Single parent ","no migration background","","","","","4"
"Poor","1993","Single parent ","direct migration background","","","","","4"
"Poor","1993","Single parent ","indirect migration background","","","","","4"
"Poor","1993","Couple + C. LE 16 ","no migration background","","","","","4"
"Poor","1993","Couple + C. LE 16 ","direct migration background","","","","","4"
"Poor","1993","Couple + C. LE and GT 16","no migration background","","","","","4"
"Poor","1993","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Poor","1993","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Poor","1993","Couple + C. GT 16 ","no migration background","","","","","4"
"Poor","1993","Couple + C. GT 16 ","direct migration background","","","","","4"
"Poor","1993","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Poor","1993","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Satisfactory","1993","1-pers.-HH","no migration background","","","","","3"
"Satisfactory","1993","(Married) couple without C. ","no migration background","","","","","3"
"Satisfactory","1993","1-pers.-HH","indirect migration background","","","","","3"
"Satisfactory","1993","1-pers.-HH","direct migration background","","","","","3"
"Satisfactory","1993","(Married) couple without C. ","direct migration background","","","","","3"
"Satisfactory","1993","(Married) couple without C. ","indirect migration background","","","","","3"
"Satisfactory","1993","Single parent ","no migration background","","","","","3"
"Satisfactory","1993","Single parent ","direct migration background","","","","","3"
"Satisfactory","1993","Single parent ","indirect migration background","","","","","3"
"Satisfactory","1993","Couple + C. GT 16 ","direct migration background","","","","","3"
"Satisfactory","1993","Couple + C. LE and GT 16","direct migration background","","","","","3"
"Satisfactory","1993","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Satisfactory","1993","Couple + C. LE 16 ","no migration background","","","","","3"
"Satisfactory","1993","Couple + C. LE 16 ","direct migration background","","","","","3"
"Satisfactory","1993","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Satisfactory","1993","Couple + C. GT 16 ","no migration background","","","","","3"
"Satisfactory","1993","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Satisfactory","1993","Couple + C. LE and GT 16","no migration background","","","","","3"
"Very good","1993","1-pers.-HH","no migration background","","","","","1"
"Very good","1993","1-pers.-HH","direct migration background","","","","","1"
"Very good","1993","1-pers.-HH","indirect migration background","","","","","1"
"Very good","1993","(Married) couple without C. ","no migration background","","","","","1"
"Very good","1993","(Married) couple without C. ","direct migration background","","","","","1"
"Very good","1993","(Married) couple without C. ","indirect migration background","","","","","1"
"Very good","1993","Single parent ","no migration background","","","","","1"
"Very good","1993","Single parent ","direct migration background","","","","","1"
"Very good","1993","Single parent ","indirect migration background","","","","","1"
"Very good","1993","Couple + C. LE 16 ","no migration background","","","","","1"
"Very good","1993","Couple + C. LE 16 ","direct migration background","","","","","1"
"Very good","1993","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Very good","1993","Couple + C. GT 16 ","no migration background","","","","","1"
"Very good","1993","Couple + C. GT 16 ","direct migration background","","","","","1"
"Very good","1993","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Very good","1993","Couple + C. LE and GT 16","no migration background","","","","","1"
"Very good","1993","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Very good","1993","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Bad ","1994","1-pers.-HH","direct migration background","13","","","","5"
"Bad ","1994","1-pers.-HH","no migration background","93","0.0930575547691636","0.0767088491950616","0.109406260343266","5"
"Bad ","1994","(Married) couple without C. ","direct migration background","35","0.063078643434053","0.0423818579711099","0.0837754288969961","5"
"Bad ","1994","(Married) couple without C. ","indirect migration background","1","","","","5"
"Bad ","1994","Couple + C. LE 16 ","no migration background","30","0.0132787148525734","0.00870778073331403","0.0178496489718329","5"
"Bad ","1994","1-pers.-HH","indirect migration background","1","","","","5"
"Bad ","1994","(Married) couple without C. ","no migration background","130","0.0537741645575143","0.0454353962911462","0.0621129328238823","5"
"Bad ","1994","Single parent ","no migration background","22","","","","5"
"Bad ","1994","Single parent ","direct migration background","2","","","","5"
"Bad ","1994","Single parent ","indirect migration background","","","","","5"
"Bad ","1994","Couple + C. LE 16 ","direct migration background","11","","","","5"
"Bad ","1994","Couple + C. LE 16 ","indirect migration background","2","","","","5"
"Bad ","1994","Couple + C. GT 16 ","no migration background","46","0.025569905582553","0.0182798449411558","0.0328599662239501","5"
"Bad ","1994","Couple + C. GT 16 ","direct migration background","32","0.0609566814391967","0.0395978227183271","0.0823155401600662","5"
"Bad ","1994","Couple + C. GT 16 ","indirect migration background","2","","","","5"
"Bad ","1994","Couple + C. LE and GT 16","no migration background","7","","","","5"
"Bad ","1994","Couple + C. LE and GT 16","direct migration background","11","","","","5"
"Bad ","1994","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Good","1994","1-pers.-HH","direct migration background","57","0.305022284260404","0.234556645808649","0.375487922712159","2"
"Good","1994","1-pers.-HH","no migration background","383","0.281435474255617","0.256128513228609","0.306742435282624","2"
"Good","1994","(Married) couple without C. ","no migration background","950","0.327797226704461","0.310444390971667","0.345150062437254","2"
"Good","1994","1-pers.-HH","indirect migration background","11","","","","2"
"Good","1994","(Married) couple without C. ","direct migration background","187","0.331103498535008","0.291037912151426","0.37116908491859","2"
"Good","1994","Single parent ","direct migration background","31","0.403336736626054","0.299656159731966","0.507017313520142","2"
"Good","1994","Couple + C. LE 16 ","indirect migration background","26","","","","2"
"Good","1994","Couple + C. GT 16 ","no migration background","781","0.418951730029931","0.396165140198852","0.44173831986101","2"
"Good","1994","Couple + C. LE and GT 16","no migration background","364","0.499856755409675","0.463977066920972","0.535736443898378","2"
"Good","1994","Couple + C. LE and GT 16","direct migration background","121","0.398892106135349","0.343937752018035","0.453846460252663","2"
"Good","1994","(Married) couple without C. ","indirect migration background","22","","","","2"
"Good","1994","Single parent ","no migration background","182","0.375440206154048","0.331568697839727","0.41931171446837","2"
"Good","1994","Single parent ","indirect migration background","11","","","","2"
"Good","1994","Couple + C. LE 16 ","no migration background","1196","0.490926566441037","0.470963457577449","0.510889675304624","2"
"Good","1994","Couple + C. LE 16 ","direct migration background","276","0.463217011674449","0.422100573160023","0.504333450188876","2"
"Good","1994","Couple + C. GT 16 ","direct migration background","160","0.316758120857919","0.275226805117092","0.358289436598746","2"
"Good","1994","Couple + C. GT 16 ","indirect migration background","71","0.358882287961811","0.28801649399924","0.429748081924382","2"
"Good","1994","Couple + C. LE and GT 16","indirect migration background","57","0.471141301044023","0.385334476672646","0.5569481254154","2"
"Poor","1994","1-pers.-HH","direct migration background","33","0.253644782180695","0.187054336737423","0.320235227623967","4"
"Poor","1994","(Married) couple without C. ","no migration background","482","0.184797934638447","0.170449687105714","0.199146182171181","4"
"Poor","1994","(Married) couple without C. ","direct migration background","99","0.184375318028906","0.151360665767067","0.217389970290746","4"
"Poor","1994","1-pers.-HH","indirect migration background","5","","","","4"
"Poor","1994","1-pers.-HH","no migration background","235","0.209838304221158","0.186923399229283","0.232753209213032","4"
"Poor","1994","Single parent ","direct migration background","18","","","","4"
"Poor","1994","Couple + C. LE and GT 16","no migration background","68","0.0848773478557339","0.0648780738552951","0.104876621856173","4"
"Poor","1994","Couple + C. LE and GT 16","indirect migration background","2","","","","4"
"Poor","1994","(Married) couple without C. ","indirect migration background","8","","","","4"
"Poor","1994","Single parent ","no migration background","56","0.139278144751082","0.107909333115319","0.170646956386845","4"
"Poor","1994","Single parent ","indirect migration background","5","","","","4"
"Poor","1994","Couple + C. LE 16 ","no migration background","225","0.0932828535142855","0.0816692627990181","0.104896444229553","4"
"Poor","1994","Couple + C. LE 16 ","direct migration background","66","0.108665784261581","0.0830037804259356","0.134327788097225","4"
"Poor","1994","Couple + C. LE 16 ","indirect migration background","3","","","","4"
"Poor","1994","Couple + C. GT 16 ","no migration background","196","0.124427520485654","0.10918364090661","0.139671400064698","4"
"Poor","1994","Couple + C. GT 16 ","direct migration background","102","0.194835524119825","0.159476444933606","0.230194603306043","4"
"Poor","1994","Couple + C. GT 16 ","indirect migration background","5","","","","4"
"Poor","1994","Couple + C. LE and GT 16","direct migration background","46","0.164832796900401","0.123193182326614","0.206472411474188","4"
"Satisfactory","1994","1-pers.-HH","no migration background","420","0.352858150607755","0.325966496890498","0.379749804325012","3"
"Satisfactory","1994","1-pers.-HH","direct migration background","46","0.298620370046358","0.2285777382577","0.368663001835016","3"
"Satisfactory","1994","1-pers.-HH","indirect migration background","9","","","","3"
"Satisfactory","1994","(Married) couple without C. ","direct migration background","173","0.330770961816461","0.290715547085684","0.370826376547238","3"
"Satisfactory","1994","Single parent ","direct migration background","24","","","","3"
"Satisfactory","1994","Couple + C. LE and GT 16","direct migration background","76","0.235036330891953","0.187449577564305","0.282623084219601","3"
"Satisfactory","1994","Couple + C. LE and GT 16","indirect migration background","27","","","","3"
"Satisfactory","1994","(Married) couple without C. ","no migration background","1037","0.37572275870298","0.357819166767869","0.393626350638091","3"
"Satisfactory","1994","(Married) couple without C. ","indirect migration background","13","","","","3"
"Satisfactory","1994","Single parent ","no migration background","152","0.322829622985293","0.280469147167575","0.365190098803011","3"
"Satisfactory","1994","Single parent ","indirect migration background","4","","","","3"
"Satisfactory","1994","Couple + C. LE 16 ","no migration background","710","0.301673640965261","0.28334511280588","0.320002169124641","3"
"Satisfactory","1994","Couple + C. LE 16 ","direct migration background","132","0.263903216916825","0.227560811478504","0.300245622355146","3"
"Satisfactory","1994","Couple + C. LE 16 ","indirect migration background","10","","","","3"
"Satisfactory","1994","Couple + C. GT 16 ","no migration background","600","0.33730237460693","0.315467100853584","0.359137648360276","3"
"Satisfactory","1994","Couple + C. GT 16 ","direct migration background","149","0.369014960738333","0.325936905390981","0.412093016085684","3"
"Satisfactory","1994","Couple + C. GT 16 ","indirect migration background","21","","","","3"
"Satisfactory","1994","Couple + C. LE and GT 16","no migration background","221","0.286121736052396","0.253690299780939","0.318553172323854","3"
"Very good","1994","1-pers.-HH","no migration background","82","0.0628105161463072","0.0491569035832109","0.0764641287094036","1"
"Very good","1994","1-pers.-HH","direct migration background","15","","","","1"
"Very good","1994","1-pers.-HH","indirect migration background","7","","","","1"
"Very good","1994","(Married) couple without C. ","no migration background","212","0.0579079153965969","0.0492734925880997","0.0665423382050942","1"
"Very good","1994","(Married) couple without C. ","direct migration background","36","0.0906715781855715","0.0662256728061148","0.115117483565028","1"
"Very good","1994","(Married) couple without C. ","indirect migration background","14","","","","1"
"Very good","1994","Single parent ","no migration background","56","0.115678889036054","0.0867016358483896","0.144656142223718","1"
"Very good","1994","Single parent ","direct migration background","11","","","","1"
"Very good","1994","Single parent ","indirect migration background","6","","","","1"
"Very good","1994","Couple + C. LE 16 ","no migration background","248","0.100838224226844","0.088813885448252","0.112862563005435","1"
"Very good","1994","Couple + C. LE 16 ","direct migration background","80","0.147913925332091","0.118640729891697","0.177187120772485","1"
"Very good","1994","Couple + C. LE 16 ","indirect migration background","6","","","","1"
"Very good","1994","Couple + C. GT 16 ","no migration background","178","0.0937484692949315","0.0802868376119448","0.107210100977918","1"
"Very good","1994","Couple + C. GT 16 ","direct migration background","39","0.0584347128447269","0.037494299574286","0.0793751261151679","1"
"Very good","1994","Couple + C. GT 16 ","indirect migration background","77","0.463690357516646","0.390016469065596","0.537364245967696","1"
"Very good","1994","Couple + C. LE and GT 16","no migration background","86","0.119991024899266","0.0966727397145453","0.143309310083987","1"
"Very good","1994","Couple + C. LE and GT 16","direct migration background","51","0.168696394316802","0.126669151080294","0.21072363755331","1"
"Very good","1994","Couple + C. LE and GT 16","indirect migration background","44","0.320756823154287","0.240519393328285","0.400994252980289","1"
"Bad ","1995","1-pers.-HH","no migration background","85","0.0777780360247789","0.0627802807197836","0.0927757913297741","5"
"Bad ","1995","1-pers.-HH","direct migration background","16","","","","5"
"Bad ","1995","1-pers.-HH","indirect migration background","2","","","","5"
"Bad ","1995","(Married) couple without C. ","indirect migration background","2","","","","5"
"Bad ","1995","Couple + C. GT 16 ","no migration background","45","0.0288407898869009","0.0210219818803118","0.0366595978934901","5"
"Bad ","1995","Couple + C. GT 16 ","direct migration background","36","0.0589256582435185","0.0395255540229456","0.0783257624640915","5"
"Bad ","1995","(Married) couple without C. ","no migration background","133","0.0574224007988243","0.0488720777174002","0.0659727238802484","5"
"Bad ","1995","(Married) couple without C. ","direct migration background","34","0.0432980779832747","0.0270802370653646","0.0595159189011848","5"
"Bad ","1995","Single parent ","no migration background","15","","","","5"
"Bad ","1995","Single parent ","direct migration background","6","","","","5"
"Bad ","1995","Single parent ","indirect migration background","","","","","5"
"Bad ","1995","Couple + C. LE 16 ","no migration background","24","","","","5"
"Bad ","1995","Couple + C. LE 16 ","direct migration background","15","","","","5"
"Bad ","1995","Couple + C. LE 16 ","indirect migration background","4","","","","5"
"Bad ","1995","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Bad ","1995","Couple + C. LE and GT 16","no migration background","15","","","","5"
"Bad ","1995","Couple + C. LE and GT 16","direct migration background","11","","","","5"
"Bad ","1995","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Good","1995","(Married) couple without C. ","no migration background","972","0.332702961440721","0.315386018456947","0.350019904424495","2"
"Good","1995","1-pers.-HH","no migration background","400","0.298748514577107","0.273117262544883","0.32437976660933","2"
"Good","1995","1-pers.-HH","indirect migration background","12","","","","2"
"Good","1995","Single parent ","no migration background","210","0.402638741353223","0.358719316831392","0.446558165875054","2"
"Good","1995","Single parent ","direct migration background","32","0.33290628877762","0.242768299827213","0.423044277728027","2"
"Good","1995","Couple + C. LE 16 ","indirect migration background","34","0.618465604531461","0.490087378536841","0.746843830526082","2"
"Good","1995","Couple + C. LE and GT 16","no migration background","383","0.529859755064737","0.494398839499803","0.56532067062967","2"
"Good","1995","Couple + C. LE and GT 16","direct migration background","148","0.387462119020848","0.336713110657212","0.438211127384484","2"
"Good","1995","1-pers.-HH","direct migration background","64","0.338040113014369","0.271474922129994","0.404605303898744","2"
"Good","1995","(Married) couple without C. ","direct migration background","201","0.34132880077911","0.303546255787253","0.379111345770968","2"
"Good","1995","(Married) couple without C. ","indirect migration background","30","0.397973844894218","0.278979490255811","0.516968199532625","2"
"Good","1995","Single parent ","indirect migration background","14","","","","2"
"Good","1995","Couple + C. GT 16 ","no migration background","726","0.393324005642606","0.370502442425694","0.416145568859519","2"
"Good","1995","Couple + C. LE 16 ","no migration background","1190","0.489861947309697","0.469676370674967","0.510047523944426","2"
"Good","1995","Couple + C. LE 16 ","direct migration background","384","0.48183424218218","0.44585747197596","0.517811012388399","2"
"Good","1995","Couple + C. GT 16 ","direct migration background","214","0.417339145334538","0.376714240432322","0.457964050236755","2"
"Good","1995","Couple + C. GT 16 ","indirect migration background","78","0.466386098363892","0.391832221231205","0.54093997549658","2"
"Good","1995","Couple + C. LE and GT 16","indirect migration background","59","0.524191669864189","0.43867052200607","0.609712817722308","2"
"Poor","1995","1-pers.-HH","no migration background","221","0.206844612715509","0.184162615492068","0.22952660993895","4"
"Poor","1995","1-pers.-HH","direct migration background","33","0.177672682421598","0.123885361335796","0.231460003507401","4"
"Poor","1995","1-pers.-HH","indirect migration background","5","","","","4"
"Poor","1995","(Married) couple without C. ","no migration background","492","0.186237949458577","0.171930372122814","0.20054552679434","4"
"Poor","1995","Single parent ","direct migration background","14","","","","4"
"Poor","1995","Couple + C. GT 16 ","direct migration background","101","0.160800465343427","0.130537175085612","0.191063755601243","4"
"Poor","1995","(Married) couple without C. ","indirect migration background","7","","","","4"
"Poor","1995","Single parent ","no migration background","64","0.118566334295329","0.0896158490217781","0.14751681956888","4"
"Poor","1995","Single parent ","indirect migration background","3","","","","4"
"Poor","1995","(Married) couple without C. ","direct migration background","129","0.204422329287589","0.172287509948974","0.236557148626205","4"
"Poor","1995","Couple + C. LE 16 ","no migration background","193","0.083216508934285","0.0720633321445217","0.0943696857240482","4"
"Poor","1995","Couple + C. LE 16 ","direct migration background","62","0.0696901000255813","0.0513568968179866","0.088023303233176","4"
"Poor","1995","Couple + C. LE 16 ","indirect migration background","1","","","","4"
"Poor","1995","Couple + C. GT 16 ","no migration background","220","0.145506805001639","0.129033235455897","0.161980374547382","4"
"Poor","1995","Couple + C. GT 16 ","indirect migration background","14","","","","4"
"Poor","1995","Couple + C. LE and GT 16","no migration background","77","0.0957673033328961","0.0748596882812345","0.116674918384558","4"
"Poor","1995","Couple + C. LE and GT 16","direct migration background","50","0.131924703597635","0.0966723415134093","0.167177065681861","4"
"Poor","1995","Couple + C. LE and GT 16","indirect migration background","5","","","","4"
"Satisfactory","1995","1-pers.-HH","no migration background","436","0.362732833448107","0.335809163843135","0.389656503053079","3"
"Satisfactory","1995","1-pers.-HH","direct migration background","56","0.263088365676125","0.201129172443546","0.325047558908703","3"
"Satisfactory","1995","Couple + C. LE and GT 16","direct migration background","105","0.276508713558081","0.229916051620501","0.32310137549566","3"
