"m11126","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Good","1995","Not Working","Rural Area","468","0.262328596373919","0.240603480388353","0.284053712359484","2"
"Poor","1995","Full Time","Urban Area","376","0.0960556396487271","0.0867235051799399","0.105387774117514","4"
"Poor","1995","Full Time","Rural Area","188","0.0955510197452129","0.0828991877900159","0.10820285170041","4"
"Poor","1995","Part Time","Rural Area","85","0.125248596765165","0.102565612184849","0.147931581345481","4"
"Poor","1995","Part Time","Urban Area","221","0.128799069043194","0.11327234404043","0.144325794045958","4"
"Poor","1995","Not Working","Urban Area","638","0.217895221026906","0.203689476810224","0.232100965243589","4"
"Poor","1995","Not Working","Rural Area","295","0.215083944159536","0.194792011409989","0.235375876909084","4"
"Satisfactory","1995","Full Time","Rural Area","650","0.31243863366388","0.292491439598459","0.332385827729301","3"
"Satisfactory","1995","Full Time","Urban Area","1173","0.329622591811667","0.314735259797238","0.344509923826096","3"
"Satisfactory","1995","Part Time","Urban Area","493","0.29825773468898","0.277052210691165","0.319463258686796","3"
"Satisfactory","1995","Part Time","Rural Area","251","0.298661208218547","0.267297689675129","0.330024726761965","3"
"Satisfactory","1995","Not Working","Urban Area","1086","0.356570008981542","0.340087219029664","0.373052798933419","3"
"Satisfactory","1995","Not Working","Rural Area","593","0.39541245768208","0.371265490993698","0.419559424370462","3"
"Very good","1995","Full Time","Urban Area","426","0.0924081265659677","0.0832364425033706","0.101579810628565","1"
"Very good","1995","Full Time","Rural Area","222","0.104871861891312","0.0916857787759168","0.118057945006707","1"
"Very good","1995","Part Time","Urban Area","202","0.0942034367385024","0.0806636120378229","0.107743261439182","1"
"Very good","1995","Part Time","Rural Area","77","0.098921296462546","0.0784616699372154","0.119380922987877","1"
"Very good","1995","Not Working","Urban Area","271","0.064063082123708","0.0556368218059811","0.0724893424414349","1"
"Very good","1995","Not Working","Rural Area","114","0.0529719700286982","0.0419105141606641","0.0640334258967324","1"
"Bad ","1996","Full Time","Urban Area","53","0.0149005986167301","0.0110025746996966","0.0187986225337637","5"
"Bad ","1996","Full Time","Rural Area","21","","","","5"
"Bad ","1996","Part Time","Urban Area","51","0.0263138126355292","0.0189920921334508","0.0336355331376076","5"
"Bad ","1996","Part Time","Rural Area","19","","","","5"
"Bad ","1996","Not Working","Urban Area","216","0.0849985457710783","0.0752176475705022","0.0947794439716544","5"
"Bad ","1996","Not Working","Rural Area","105","0.0755477619377975","0.062327290513847","0.0887682333617481","5"
"Good","1996","Full Time","Urban Area","1749","0.476103973614165","0.460035446529574","0.492172500698756","2"
"Good","1996","Full Time","Rural Area","1005","0.491010510772391","0.469263484778274","0.512757536766508","2"
"Good","1996","Part Time","Urban Area","788","0.411913165941925","0.389400065049195","0.434426266834655","2"
"Good","1996","Part Time","Rural Area","369","0.426380381373795","0.393346688980668","0.459414073766922","2"
"Good","1996","Not Working","Urban Area","915","0.249970477995887","0.23478439957432","0.265156556417455","2"
"Good","1996","Not Working","Rural Area","434","0.261225428654857","0.239248975803924","0.28320188150579","2"
"Poor","1996","Full Time","Urban Area","337","0.093069486387278","0.0837220336179906","0.102416939156565","4"
"Poor","1996","Full Time","Rural Area","159","0.0836779569918844","0.0716323227142941","0.0957235912694746","4"
"Poor","1996","Part Time","Urban Area","199","0.107074988854879","0.0929312813823751","0.121218696327383","4"
"Poor","1996","Part Time","Rural Area","100","0.106077206403908","0.0855084725922217","0.126645940215593","4"
"Poor","1996","Not Working","Rural Area","278","0.209040809627243","0.188699145516502","0.229382473737985","4"
"Poor","1996","Not Working","Urban Area","635","0.22469398511026","0.210055558525828","0.239332411694691","4"
"Satisfactory","1996","Full Time","Rural Area","658","0.320042265001763","0.299749337724853","0.340335192278673","3"
"Satisfactory","1996","Full Time","Urban Area","1138","0.316886609329122","0.301917327776765","0.33185589088148","3"
"Satisfactory","1996","Part Time","Urban Area","588","0.347018521458168","0.325244506768396","0.36879253614794","3"
"Satisfactory","1996","Part Time","Rural Area","274","0.337220499969194","0.305642251848034","0.368798748090353","3"
"Satisfactory","1996","Not Working","Urban Area","1096","0.377328051561887","0.360327958612102","0.394328144511672","3"
"Satisfactory","1996","Not Working","Rural Area","617","0.402861733395373","0.378325417115371","0.427398049675375","3"
"Very good","1996","Full Time","Urban Area","434","0.0990393320527041","0.0894285355610238","0.108650128544384","1"
"Very good","1996","Full Time","Rural Area","187","0.0912097489430004","0.0786854757601135","0.103734022125887","1"
"Very good","1996","Part Time","Urban Area","210","0.107679511109499","0.0935007357230412","0.121858286495957","1"
"Very good","1996","Part Time","Rural Area","99","0.110721408849733","0.0897618935350695","0.131680924164397","1"
"Very good","1996","Not Working","Urban Area","261","0.0630089395608873","0.0544871479897163","0.0715307311320584","1"
"Very good","1996","Not Working","Rural Area","101","0.0513242663847291","0.0402856619140286","0.0623628708554297","1"
"Bad ","1997","Full Time","Urban Area","40","0.0130245556020604","0.0093418043786786","0.0167073068254421","5"
"Bad ","1997","Full Time","Rural Area","21","","","","5"
"Bad ","1997","Part Time","Urban Area","50","0.0240691522779042","0.0168365686922207","0.0313017358635877","5"
"Bad ","1997","Part Time","Rural Area","22","","","","5"
"Bad ","1997","Not Working","Urban Area","223","0.0849797637236625","0.0752726175602186","0.0946869098871063","5"
"Bad ","1997","Not Working","Rural Area","104","0.0731880480554496","0.060313330351565","0.0860627657593342","5"
"Good","1997","Full Time","Urban Area","1854","0.486534984679845","0.470300062253875","0.502769907105814","2"
"Good","1997","Full Time","Rural Area","980","0.488887323827779","0.466757254739544","0.511017392916014","2"
"Good","1997","Part Time","Urban Area","800","0.443624811447446","0.420180076218546","0.467069546676347","2"
"Good","1997","Not Working","Urban Area","998","0.263622999475686","0.248285300274489","0.278960698676883","2"
"Good","1997","Part Time","Rural Area","376","0.436104569982126","0.402306652399939","0.469902487564314","2"
"Good","1997","Not Working","Rural Area","447","0.230692517147922","0.209867347287456","0.251517687008389","2"
"Poor","1997","Full Time","Urban Area","296","0.0839977760438598","0.0749878773172344","0.0930076747704853","4"
"Poor","1997","Full Time","Rural Area","155","0.0929923649804772","0.0801350828690214","0.105849647091933","4"
"Poor","1997","Part Time","Urban Area","204","0.120158046084103","0.104814268183962","0.135501823984245","4"
"Poor","1997","Part Time","Rural Area","69","0.102561687122611","0.08188455906141","0.123238815183811","4"
"Poor","1997","Not Working","Urban Area","602","0.214112425368936","0.199832708169927","0.228392142567945","4"
"Poor","1997","Not Working","Rural Area","287","0.195294973268967","0.175698148475328","0.214891798062605","4"
"Satisfactory","1997","Full Time","Urban Area","1049","0.312590781906969","0.297533953161877","0.32764761065206","3"
"Satisfactory","1997","Full Time","Rural Area","623","0.318665197171328","0.298036696693794","0.339293697648863","3"
"Satisfactory","1997","Part Time","Urban Area","491","0.30713275208223","0.285363594494823","0.328901909669637","3"
"Satisfactory","1997","Part Time","Rural Area","285","0.329829127199277","0.297786168262435","0.361872086136118","3"
"Satisfactory","1997","Not Working","Urban Area","1122","0.37797696080285","0.361097663616229","0.394856257989471","3"
"Satisfactory","1997","Not Working","Rural Area","618","0.439680532859962","0.415144276841543","0.464216788878382","3"
"Very good","1997","Full Time","Urban Area","402","0.103851901767266","0.0939427866851465","0.113761016849386","1"
"Very good","1997","Full Time","Rural Area","181","0.0907813223334916","0.0780623365499878","0.103500308116995","1"
"Very good","1997","Part Time","Urban Area","180","0.105015238108316","0.0905479369333666","0.119482539283266","1"
"Very good","1997","Part Time","Rural Area","75","0.106185546536752","0.0851888135121266","0.127182279561377","1"
"Very good","1997","Not Working","Urban Area","225","0.0593078506288658","0.0510854560831678","0.0675302451745637","1"
"Very good","1997","Not Working","Rural Area","116","0.0611439286676986","0.0492999395504613","0.0729879177849359","1"
"Bad ","1998","Full Time","Urban Area","53","0.0146124936678829","0.0108426150332264","0.0183823723025394","5"
"Bad ","1998","Full Time","Rural Area","14","","","","5"
"Bad ","1998","Part Time","Urban Area","45","0.0294216548414297","0.021859028615011","0.0369842810678484","5"
"Bad ","1998","Part Time","Rural Area","12","","","","5"
"Bad ","1998","Not Working","Urban Area","260","0.0838631220095263","0.0748212118860395","0.0929050321330131","5"
"Bad ","1998","Not Working","Rural Area","141","0.0781803723318694","0.0658129085757089","0.09054783608803","5"
"Good","1998","Full Time","Urban Area","2024","0.506941805267663","0.491234929114721","0.522648681420604","2"
"Good","1998","Full Time","Rural Area","1082","0.482048328133399","0.460712685259551","0.503383971007248","2"
"Good","1998","Part Time","Urban Area","899","0.45234562103623","0.430070900339333","0.474620341733128","2"
"Good","1998","Part Time","Rural Area","459","0.488149405180413","0.456496518360793","0.519802292000033","2"
"Good","1998","Not Working","Urban Area","1116","0.274953051983554","0.260388174800917","0.289517929166191","2"
"Good","1998","Not Working","Rural Area","538","0.269810036942494","0.249361804005896","0.290258269879092","2"
"Poor","1998","Full Time","Urban Area","296","0.0833505081925511","0.0746665554324438","0.0920344609526584","4"
"Poor","1998","Part Time","Urban Area","193","0.0980036880123421","0.0846976922723548","0.111309683752329","4"
"Poor","1998","Full Time","Rural Area","156","0.0846919915176","0.0728036676728693","0.0965803153623307","4"
"Poor","1998","Part Time","Rural Area","93","0.0969461755088209","0.0782097174569996","0.115682633560642","4"
"Poor","1998","Not Working","Urban Area","687","0.204252302888402","0.19110109429655","0.217403511480253","4"
"Poor","1998","Not Working","Rural Area","326","0.201246936150639","0.182776391124557","0.219717481176721","4"
"Satisfactory","1998","Full Time","Rural Area","612","0.290994940602167","0.271600234207922","0.310389646996412","3"
"Satisfactory","1998","Full Time","Urban Area","1057","0.281425066897731","0.267297118636438","0.295553015159024","3"
"Satisfactory","1998","Part Time","Urban Area","553","0.2987707164791","0.27828633637526","0.319255096582941","3"
"Satisfactory","1998","Part Time","Rural Area","295","0.299729295964443","0.270718281723915","0.32874031020497","3"
"Satisfactory","1998","Not Working","Urban Area","1219","0.357956676786165","0.34231829214516","0.37359506142717","3"
"Satisfactory","1998","Not Working","Rural Area","685","0.392973204456425","0.370472599031714","0.415473809881135","3"
"Very good","1998","Full Time","Urban Area","462","0.113670125974173","0.10369811977848","0.123642132169865","1"
"Very good","1998","Full Time","Rural Area","243","0.134805846629402","0.12022351484303","0.149388178415774","1"
"Very good","1998","Part Time","Urban Area","228","0.121458319630898","0.106839287891364","0.136077351370431","1"
"Very good","1998","Part Time","Rural Area","99","0.10108328009656","0.0819950909974854","0.120171469195634","1"
"Very good","1998","Not Working","Urban Area","328","0.0789748463323534","0.0701770352825614","0.0877726573821453","1"
"Very good","1998","Not Working","Rural Area","120","0.057789450118573","0.0470394847299439","0.068539415507202","1"
"Bad ","1999","Full Time","Rural Area","24","","","","5"
"Bad ","1999","Full Time","Urban Area","50","0.0152044880717029","0.0113097984064765","0.0190991777369294","5"
"Bad ","1999","Part Time","Urban Area","38","0.0201464533647732","0.0139231405238114","0.026369766205735","5"
"Bad ","1999","Part Time","Rural Area","13","","","","5"
"Bad ","1999","Not Working","Urban Area","249","0.0849516101443129","0.0753896299726915","0.0945135903159342","5"
"Bad ","1999","Not Working","Rural Area","130","0.0924660654042035","0.0786427195082266","0.10628941130018","5"
"Good","1999","Full Time","Urban Area","1887","0.479914631678587","0.464013309385843","0.495815953971331","2"
"Good","1999","Full Time","Rural Area","998","0.483933577561604","0.462305847496016","0.505561307627192","2"
"Good","1999","Part Time","Urban Area","905","0.440878198308243","0.418886727700097","0.462869668916389","2"
"Good","1999","Part Time","Rural Area","493","0.506421548667026","0.475183440398353","0.537659656935698","2"
"Good","1999","Not Working","Urban Area","951","0.258536294624602","0.243520590247562","0.273551999001642","2"
"Good","1999","Not Working","Rural Area","482","0.266325367648771","0.245231871456783","0.287418863840759","2"
"Poor","1999","Full Time","Urban Area","336","0.098629406427386","0.0891393492476144","0.108119463607158","4"
"Poor","1999","Full Time","Rural Area","157","0.0852019272758669","0.0731195444894858","0.0972843100622481","4"
"Poor","1999","Part Time","Urban Area","200","0.107721559249656","0.0939892598789215","0.12145385862039","4"
"Poor","1999","Part Time","Rural Area","86","0.0899501684968342","0.0720736015682827","0.107826735425386","4"
"Poor","1999","Not Working","Rural Area","320","0.188606285154513","0.169938858658427","0.207273711650598","4"
"Poor","1999","Not Working","Urban Area","634","0.22219264647922","0.20793522908345","0.236450063874989","4"
"Satisfactory","1999","Full Time","Rural Area","680","0.314859516680603","0.294758709946852","0.334960323414354","3"
"Satisfactory","1999","Full Time","Urban Area","1094","0.305483374922023","0.290822866230392","0.320143883613654","3"
"Satisfactory","1999","Part Time","Urban Area","578","0.298333286911272","0.27806775342775","0.318598820394793","3"
"Satisfactory","1999","Part Time","Rural Area","315","0.315203109448469","0.286174470203055","0.344231748693882","3"
"Satisfactory","1999","Not Working","Urban Area","1164","0.360418844031494","0.343952712685715","0.376884975377273","3"
"Satisfactory","1999","Not Working","Rural Area","647","0.401298085697352","0.3779081290354","0.424688042359304","3"
"Very good","1999","Full Time","Urban Area","425","0.100768098900301","0.0911870884902477","0.110349109310354","1"
"Very good","1999","Full Time","Rural Area","192","0.102422306850479","0.0893003512829552","0.115544262418003","1"
"Very good","1999","Part Time","Urban Area","237","0.132920502166056","0.117883294665124","0.147957709666989","1"
"Very good","1999","Part Time","Rural Area","77","0.0739818167415846","0.0576278618683458","0.0903357716148235","1"
"Very good","1999","Not Working","Urban Area","268","0.0739006047203711","0.0649285317467253","0.0828726776940168","1"
"Very good","1999","Not Working","Rural Area","108","0.051304196095161","0.0407765692460372","0.0618318229442848","1"
"Bad ","2000","Full Time","Urban Area","73","0.0118292911107192","0.00920896970352076","0.0144496125179177","5"
"Bad ","2000","Full Time","Rural Area","41","0.0132048656546704","0.00944558884309316","0.0169641424662477","5"
"Bad ","2000","Part Time","Urban Area","68","0.0245136335637819","0.0193173196019374","0.0297099475256265","5"
"Bad ","2000","Part Time","Rural Area","26","","","","5"
"Bad ","2000","Not Working","Urban Area","432","0.0807610351290816","0.0738587183743931","0.0876633518837701","5"
"Bad ","2000","Not Working","Rural Area","221","0.0764622848883105","0.0670576453023971","0.0858669244742239","5"
"Good","2000","Full Time","Rural Area","1728","0.469809095814191","0.453372924495668","0.486245267132714","2"
"Good","2000","Full Time","Urban Area","3170","0.468394452418702","0.456300734339194","0.48048817049821","2"
"Good","2000","Part Time","Urban Area","1511","0.425672184854263","0.409057255552175","0.442287114156351","2"
"Good","2000","Part Time","Rural Area","774","0.435353537137485","0.411687330590439","0.459019743684531","2"
"Good","2000","Not Working","Urban Area","1755","0.271152451598603","0.259890728335245","0.282414174861962","2"
"Good","2000","Not Working","Rural Area","863","0.259689921015036","0.244172284267652","0.275207557762421","2"
"Poor","2000","Full Time","Urban Area","514","0.0854798757859774","0.0787036512014531","0.0922561003705017","4"
"Poor","2000","Full Time","Rural Area","274","0.081865170975945","0.0728364417123397","0.0908939002395503","4"
"Poor","2000","Part Time","Urban Area","345","0.0974585200959922","0.0874924387440256","0.107424601447959","4"
"Poor","2000","Part Time","Rural Area","157","0.10101580979716","0.0866314675457321","0.115400152048588","4"
"Poor","2000","Not Working","Urban Area","1125","0.195219865889776","0.185178787363669","0.205260944415882","4"
"Poor","2000","Not Working","Rural Area","603","0.203899807620906","0.189640991269991","0.218158623971821","4"
"Satisfactory","2000","Full Time","Urban Area","1888","0.290840184526665","0.279833450253282","0.301846918800048","3"
"Satisfactory","2000","Full Time","Rural Area","1079","0.305032013369541","0.289869230253736","0.320194796485346","3"
"Satisfactory","2000","Part Time","Urban Area","1014","0.31409734629947","0.298500229961508","0.329694462637432","3"
"Satisfactory","2000","Part Time","Rural Area","527","0.321716338701646","0.29941856299667","0.344014114406622","3"
"Satisfactory","2000","Not Working","Rural Area","1178","0.401911238743451","0.384559655856754","0.419262821630148","3"
"Satisfactory","2000","Not Working","Urban Area","2163","0.379968415864722","0.367672513944552","0.392264317784892","3"
"Very good","2000","Full Time","Urban Area","895","0.143456196157936","0.134960603884493","0.15195178843138","1"
"Very good","2000","Full Time","Rural Area","420","0.130088854185652","0.119010345449977","0.141167362921328","1"
"Very good","2000","Part Time","Urban Area","464","0.138258315186493","0.126659460239812","0.149857170133175","1"
"Very good","2000","Part Time","Rural Area","202","0.125387645273933","0.109580462202854","0.141194828345012","1"
"Very good","2000","Not Working","Rural Area","202","0.058036747732296","0.0497619056011121","0.0663115898634799","1"
"Very good","2000","Not Working","Urban Area","511","0.0728982315178174","0.0663125316309968","0.0794839314046381","1"
"Bad ","2001","Full Time","Rural Area","37","0.0163126162476836","0.011881903165961","0.0207433293294063","5"
"Bad ","2001","Full Time","Urban Area","63","0.0118329851765945","0.00908146150413685","0.0145845088490522","5"
"Bad ","2001","Part Time","Urban Area","68","0.0264630895680303","0.0209482129444905","0.0319779661915702","5"
"Bad ","2001","Part Time","Rural Area","27","","","","5"
"Bad ","2001","Not Working","Urban Area","402","0.0847861398536283","0.0773021294638269","0.0922701502434296","5"
"Bad ","2001","Not Working","Rural Area","199","0.0722673815660945","0.0626852036326934","0.0818495594994956","5"
"Good","2001","Full Time","Urban Area","2889","0.472177232485522","0.459474197394912","0.484880267576132","2"
"Good","2001","Full Time","Rural Area","1519","0.463053468142439","0.44561275020572","0.480494186079157","2"
"Good","2001","Part Time","Urban Area","1501","0.448780099763426","0.431691024748285","0.465869174778567","2"
"Good","2001","Part Time","Rural Area","701","0.417439013562108","0.39310790996832","0.441770117155897","2"
"Good","2001","Not Working","Urban Area","1483","0.255901652058254","0.244178014842131","0.267625289274377","2"
"Good","2001","Not Working","Rural Area","747","0.240825957940095","0.225002405833059","0.256649510047132","2"
"Poor","2001","Full Time","Urban Area","442","0.0769352290330969","0.0701542932660673","0.0837161648001265","4"
"Poor","2001","Full Time","Rural Area","270","0.091564263683879","0.0814765354012243","0.101651991966534","4"
"Poor","2001","Part Time","Urban Area","311","0.0980551494518083","0.0878371820836","0.108273116820017","4"
"Poor","2001","Part Time","Rural Area","154","0.121397486915656","0.105283772574225","0.137511201257087","4"
"Poor","2001","Not Working","Urban Area","1064","0.213642037232497","0.202630089137718","0.224653985327276","4"
"Poor","2001","Not Working","Rural Area","545","0.207268167467969","0.192267481791032","0.222268853144906","4"
"Satisfactory","2001","Full Time","Urban Area","1723","0.294986367690917","0.283382289478593","0.306590445903241","3"
"Satisfactory","2001","Full Time","Rural Area","954","0.295691988458632","0.279730096746459","0.311653880170806","3"
"Satisfactory","2001","Part Time","Urban Area","954","0.295856274021041","0.280173952070321","0.31153859597176","3"
"Satisfactory","2001","Part Time","Rural Area","493","0.313294715279748","0.290409430504224","0.336180000055271","3"
"Satisfactory","2001","Not Working","Rural Area","1120","0.423091374118685","0.404808172012819","0.44137457622455","3"
"Satisfactory","2001","Not Working","Urban Area","1936","0.37679697059417","0.363777925387247","0.389816015801093","3"
"Very good","2001","Full Time","Urban Area","816","0.14406818561387","0.135132774380919","0.153003596846821","1"
"Very good","2001","Full Time","Rural Area","360","0.133377663467366","0.121486078077277","0.145269248857455","1"
"Very good","2001","Part Time","Urban Area","420","0.130845387195695","0.119258492906749","0.14243228148464","1"
"Very good","2001","Part Time","Rural Area","203","0.133585328371827","0.116799728293493","0.150370928450162","1"
"Very good","2001","Not Working","Urban Area","437","0.068873200261451","0.0620695778829783","0.0756768226399237","1"
"Very good","2001","Not Working","Rural Area","194","0.0565471189071567","0.0479994634727516","0.0650947743415619","1"
