"m11126","year","e11102","n","percent","lower_confidence","upper_confidence"
"Bad ","1999","Not Employed","379","0.0872855373975401","0.0794249945706115","0.0951460802244688"
"Bad ","1999","Employed","125","0.0160096641917807","0.0133850604967983","0.0186342678867631"
"Very good","2000","Not Employed","713","0.0682361011572113","0.0630419824257657","0.0734302198886569"
"Very good","2000","Employed","1981","0.137645321690347","0.13216281727549","0.143127826105204"
"Good","2000","Not Employed","2618","0.26755659181675","0.258437602732609","0.276675580900891"
"Good","2000","Employed","7183","0.45534345251687","0.44741869079183","0.46326821424191"
"Satisfactory","2000","Not Employed","3341","0.386852001798449","0.376819553912621","0.396884449684277"
"Satisfactory","2000","Employed","4508","0.302346030679737","0.295037543809722","0.309654517549753"
"Poor","2000","Not Employed","1728","0.19794281202739","0.18973505736823","0.206150566686549"
"Poor","2000","Employed","1290","0.0891038871698438","0.0845703409232703","0.0936374334164173"
"Bad ","2000","Not Employed","653","0.0794124932002005","0.0738428319131134","0.0849821544872877"
"Bad ","2000","Employed","208","0.0155613079432015","0.0135917322019596","0.0175308836844434"
"Very good","2001","Not Employed","631","0.064957930222225","0.0595997832010434","0.0703160772434067"
"Very good","2001","Employed","1799","0.137616258958344","0.131890306363599","0.14334221155309"
"Good","2001","Not Employed","2230","0.251112991996328","0.241684858990214","0.260541125002441"
"Good","2001","Employed","6610","0.459004957849759","0.450722334254822","0.467287581444696"
"Satisfactory","2001","Not Employed","3056","0.39150197585038","0.380890408705019","0.402113542995741"
"Satisfactory","2001","Employed","4124","0.297221195406189","0.289624725701628","0.304817665110749"
"Poor","2001","Not Employed","1609","0.211617434229671","0.202737143398255","0.220497725061087"
"Poor","2001","Employed","1177","0.0895978669811601","0.0848507704502391","0.0943449635120812"
"Bad ","2001","Not Employed","601","0.0808096677013966","0.0748842721707922","0.086735063232001"
"Bad ","2001","Employed","195","0.0165597208045478","0.0144386112729756","0.01868083033612"
"Very good","2002","Not Employed","643","0.060823053850996","0.0556787540935519","0.0659673536084401"
"Very good","2002","Employed","1710","0.114188132087738","0.1090682345659","0.119308029609576"
"Good","2002","Not Employed","2348","0.253674974178854","0.244309683552763","0.263040264804945"
"Good","2002","Employed","7162","0.463779424269987","0.455751421520121","0.471807427019853"
"Satisfactory","2002","Not Employed","3055","0.388062124818343","0.377573398825733","0.398550850810954"
"Satisfactory","2002","Employed","4502","0.315853637669104","0.308370263004352","0.323337012333855"
"Poor","2002","Not Employed","1650","0.213823008139161","0.204998188731704","0.222647827546618"
"Poor","2002","Employed","1266","0.0920451201367773","0.0873912682780259","0.0966989719955287"
"Bad ","2002","Not Employed","596","0.0836168390126454","0.0776587928016911","0.0895748852235997"
"Bad ","2002","Employed","183","0.0141336858363938","0.0122334094691525","0.016033962203635"
"Very good","2003","Not Employed","626","0.0624287803075035","0.0571933028495887","0.0676642577654182"
"Very good","2003","Employed","1631","0.112193985314174","0.106976316670311","0.117411653958037"
"Good","2003","Not Employed","2454","0.272405974058977","0.262771797271199","0.282040150846754"
"Good","2003","Employed","6853","0.47440694907197","0.466151646524132","0.482662251619809"
"Satisfactory","2003","Not Employed","2909","0.368996000666372","0.358553882086415","0.37943811924633"
"Satisfactory","2003","Employed","4139","0.304123683923225","0.296518253192936","0.311729114653514"
"Poor","2003","Not Employed","1614","0.211138396581933","0.202306667186215","0.219970125977652"
"Poor","2003","Employed","1243","0.0934252342066384","0.0886138883473105","0.0982365800659663"
"Bad ","2003","Not Employed","600","0.0850308483852139","0.0789947929825743","0.0910669037878535"
"Bad ","2003","Employed","189","0.0158501474839921","0.0137853382405265","0.0179149567274576"
"Very good","2004","Not Employed","657","0.0657375361480614","0.060373288625012","0.0711017836711107"
"Very good","2004","Employed","1551","0.120619704697919","0.115124405712687","0.126115003683151"
"Good","2004","Not Employed","2434","0.263626513419829","0.254089524844738","0.27316350199492"
"Good","2004","Employed","6552","0.457123275028583","0.448717822315568","0.465528727741598"
"Satisfactory","2004","Not Employed","2866","0.360572368119111","0.350178922004508","0.370965814233714"
"Satisfactory","2004","Employed","3948","0.297048162001671","0.289337883755897","0.304758440247445"
"Poor","2004","Not Employed","1607","0.220162377540495","0.21119343394491","0.229131321136079"
"Poor","2004","Employed","1251","0.106521047963462","0.101315652741242","0.111726443185683"
"Bad ","2004","Not Employed","635","0.0899012047725038","0.0837097219347702","0.0960926876102373"
"Bad ","2004","Employed","191","0.0186878103083646","0.0164028606499981","0.020972759966731"
"Very good","2005","Not Employed","576","0.0612780651639226","0.0559882800869763","0.0665678502408689"
"Very good","2005","Employed","1376","0.107520723304469","0.102163667188941","0.112877779419997"
"Good","2005","Not Employed","2254","0.25875383581235","0.249094624885688","0.268413046739012"
"Good","2005","Employed","6081","0.45269845262643","0.444090519591832","0.461306385661028"
"Satisfactory","2005","Not Employed","2836","0.363808757798158","0.353197974627855","0.374419540968461"
"Satisfactory","2005","Employed","3957","0.314967333972014","0.30693448809055","0.323000179853479"
"Poor","2005","Not Employed","1632","0.228598789976356","0.219337016741618","0.237860563211095"
"Poor","2005","Employed","1239","0.107268920148708","0.101917385785862","0.112620454511554"
"Bad ","2005","Not Employed","599","0.0875605512492135","0.0813264580267757","0.0937946444716514"
"Bad ","2005","Employed","192","0.0175445699483786","0.015274136224093","0.0198150036726643"
"Very good","2006","Not Employed","700","0.0743735636054406","0.0689169917692547","0.0798301354416265"
"Very good","2006","Employed","1424","0.109588854707479","0.104312432647866","0.114865276767092"
"Good","2006","Not Employed","2648","0.267903022556525","0.258692891284462","0.277113153828589"
"Good","2006","Employed","6349","0.45213142620572","0.443724609441213","0.460538242970228"
"Satisfactory","2006","Not Employed","3082","0.356967505476589","0.347003739725702","0.366931271227475"
"Satisfactory","2006","Employed","4254","0.321114993303929","0.313228400101315","0.329001586506544"
"Poor","2006","Not Employed","1745","0.209108901541248","0.200651492986386","0.21756631009611"
"Poor","2006","Employed","1231","0.098511378290273","0.0934777126762595","0.103545043904286"
"Bad ","2006","Not Employed","707","0.0916470068201969","0.0856466210126648","0.0976473926277291"
"Bad ","2006","Employed","206","0.0186533474925986","0.0163680083792247","0.0209386866059724"
"Very good","2007","Not Employed","670","0.0759201879340857","0.0702328787491537","0.0816074971190177"
"Very good","2007","Employed","1214","0.0964980216672528","0.091338442640859","0.101657600693647"
"Good","2007","Not Employed","2421","0.257575491998583","0.248185788485095","0.266965195512071"
"Good","2007","Employed","6040","0.465136214083865","0.456420515878505","0.473851912289225"
"Satisfactory","2007","Not Employed","2926","0.364379301382231","0.354045756610559","0.374712846153904"
"Satisfactory","2007","Employed","3975","0.320366321968237","0.312212684772473","0.328519959164002"
"Poor","2007","Not Employed","1703","0.221742480085479","0.212822588547916","0.230662371623043"
"Poor","2007","Employed","1175","0.102131156478131","0.0968396895578695","0.107422623398393"
"Bad ","2007","Not Employed","612","0.0803825385996203","0.0745446214981022","0.0862204557011385"
"Bad ","2007","Employed","177","0.0158682858025136","0.0136846403250744","0.0180519312799528"
"Very good","2008","Not Employed","554","0.0692457368153892","0.0635906985889816","0.0749007750417967"
"Very good","2008","Employed","1248","0.108229470168563","0.102650955011218","0.113807985325907"
"Good","2008","Not Employed","2239","0.267100235315177","0.257244683763169","0.276955786867186"
"Good","2008","Employed","5623","0.453792448597245","0.4448526697467","0.462732227447791"
"Satisfactory","2008","Not Employed","2761","0.370711396194634","0.359952581944931","0.381470210444337"
"Satisfactory","2008","Employed","3683","0.31467338282956","0.306334687671654","0.323012077987466"
"Poor","2008","Not Employed","1614","0.211878331094822","0.202775815882251","0.220980846307392"
"Poor","2008","Employed","1190","0.107334734176564","0.101776539500657","0.112892928852472"
"Bad ","2008","Not Employed","574","0.081064300579978","0.0749846462224747","0.0871439549374813"
"Bad ","2008","Employed","170","0.0159699642280675","0.0137189645019426","0.0182209639541925"
"Very good","2009","Not Employed","487","0.0673715346694189","0.0615389044365684","0.0732041649022694"
"Very good","2009","Employed","1083","0.0988034003190756","0.0932832534346535","0.104323547203498"
"Good","2009","Not Employed","1947","0.25544368166261","0.245295966923694","0.265591396401525"
"Good","2009","Employed","5225","0.446079576351753","0.436883876759523","0.455275275943983"
"Satisfactory","2009","Not Employed","2646","0.376401966784273","0.365128689182294","0.387675244386251"
"Satisfactory","2009","Employed","3654","0.338660435115313","0.329905571199858","0.347415299030769"
"Poor","2009","Not Employed","1482","0.21831891411895","0.208706502179613","0.227931326058287"
"Poor","2009","Employed","1096","0.101411619514313","0.0958271853596491","0.106996053668977"
"Bad ","2009","Not Employed","533","0.0824639027647491","0.0760633804941968","0.0888644250353013"
"Bad ","2009","Employed","167","0.0150449686995446","0.0127930186047027","0.0172969187943864"
"Very good","2010","Not Employed","905","0.074136920355467","0.0686651892527398","0.0796086514581941"
"Very good","2010","Employed","2080","0.114551887308221","0.109554687444194","0.119549087172249"
"Good","2010","Not Employed","2702","0.252611838525744","0.243537101472816","0.261686575578672"
"Good","2010","Employed","7259","0.444191535301201","0.43639517764323","0.451987892959172"
"Satisfactory","2010","Not Employed","2960","0.365070328581374","0.355015256860927","0.37512540030182"
"Satisfactory","2010","Employed","4518","0.315304321401151","0.308013813386867","0.322594829415436"
"Poor","2010","Not Employed","1639","0.221428174490291","0.212756561755211","0.230099787225372"
"Poor","2010","Employed","1506","0.107855493724223","0.102988253571643","0.112722733876803"
"Bad ","2010","Not Employed","601","0.0867527380471239","0.0808741926338066","0.0926312834604412"
"Bad ","2010","Employed","240","0.0180967622652032","0.0160051613490235","0.0201883631813829"
"Very good","2011","Not Employed","1049","0.0753872081853804","0.0703784090564023","0.0803960073143585"
"Very good","2011","Employed","2265","0.122495262454158","0.117746673451535","0.127243851456781"
"Good","2011","Not Employed","3344","0.270749699836445","0.262319708340907","0.279179691331984"
"Good","2011","Employed","8482","0.444050925368108","0.436854545221574","0.451247305514642"
"Satisfactory","2011","Not Employed","3548","0.352961107969259","0.343894737602493","0.362027478336026"
"Satisfactory","2011","Employed","5359","0.305648881292803","0.298976495080879","0.312321267504727"
"Poor","2011","Not Employed","1988","0.218326456949684","0.210489080163295","0.226163833736072"
"Poor","2011","Employed","1894","0.110085499912613","0.105552148326915","0.11461885149831"
"Bad ","2011","Not Employed","744","0.0825755270592314","0.0773537818853593","0.0877972722331035"
"Bad ","2011","Employed","312","0.0177194309723181","0.0158085973984501","0.0196302645461861"
"Very good","2012","Not Employed","973","0.0747106308131239","0.0696448094756374","0.0797764521506105"
"Very good","2012","Employed","2101","0.121517733201474","0.116731612532136","0.126303853870813"
"Good","2012","Not Employed","3223","0.271266300042711","0.262699823504387","0.279832776581035"
"Good","2012","Employed","8464","0.452311728788499","0.445020798267314","0.459602659309684"
"Satisfactory","2012","Not Employed","3543","0.360160324364977","0.35091114080218","0.369409507927774"
"Satisfactory","2012","Employed","5330","0.313737879409913","0.306940745797984","0.320535013021843"
"Poor","2012","Not Employed","1949","0.219836641537898","0.211857380079853","0.227815902995942"
"Poor","2012","Employed","1703","0.0958624527580755","0.0915498561641951","0.100175049351956"
"Bad ","2012","Not Employed","660","0.0740261032412904","0.068981677916614","0.0790705285659668"
"Bad ","2012","Employed","304","0.0165702058420379","0.0147002431275428","0.0184401685565329"
"Very good","2013","Not Employed","2101","0.104229927582974","0.0992380155844478","0.1092218395815"
"Very good","2013","Employed","1905","0.112832186035093","0.108062264005274","0.117602108064911"
"Good","2013","Not Employed","4831","0.285564003231348","0.278184861987134","0.292943144475561"
"Good","2013","Employed","7697","0.43776869226506","0.430289206284982","0.445248178245138"
"Satisfactory","2013","Not Employed","4335","0.341525789072599","0.333778432135367","0.349273146009831"
"Satisfactory","2013","Employed","5148","0.318007798196364","0.310986773842468","0.325028822550259"
"Poor","2013","Not Employed","2336","0.195145366471334","0.188670806251957","0.201619926690711"
"Poor","2013","Employed","1838","0.111860837846122","0.107108892529098","0.116612783163146"
"Bad ","2013","Not Employed","790","0.0735349136417461","0.069270751102851","0.0777990761806412"
"Bad ","2013","Employed","313","0.0195304856573615","0.0174442399362952","0.0216167313784278"
"Very good","2014","Not Employed","1005","0.0783691898422906","0.0730909223476893","0.0836474573368919"
"Very good","2014","Employed","2051","0.120183556612759","0.115406541083296","0.124960572142223"
"Good","2014","Not Employed","3008","0.259853227972637","0.251240054233478","0.268466401711796"
"Good","2014","Employed","8147","0.444494521854606","0.437194646083637","0.451794397625575"
"Satisfactory","2014","Not Employed","3336","0.363563354884159","0.354116051441896","0.373010658326422"
"Satisfactory","2014","Employed","5391","0.305366755739304","0.298600837435204","0.312132674043404"
"Poor","2014","Not Employed","1948","0.222277793169271","0.214111959811356","0.230443626527185"
"Poor","2014","Employed","1919","0.113237087309704","0.108581910342267","0.117892264277141"
"Bad ","2014","Not Employed","662","0.0759364341316426","0.0707338843070874","0.0811389839561979"
"Bad ","2014","Employed","292","0.0167180784836263","0.0148345582198663","0.0186015987473864"
"Very good","2015","Not Employed","1417","0.0876473041796252","0.0823207704210652","0.0929738379381851"
"Very good","2015","Employed","1842","0.11620636841947","0.111338145017028","0.121074591821913"
"Good","2015","Not Employed","3494","0.274209431854573","0.265806305824132","0.282612557885014"
"Good","2015","Employed","7566","0.439706581928919","0.432166616668615","0.447246547189223"
"Satisfactory","2015","Not Employed","3309","0.340131752745936","0.331208026755063","0.349055478736809"
"Satisfactory","2015","Employed","5190","0.317334796625796","0.310264415372167","0.324405177879425"
"Poor","2015","Not Employed","1961","0.217202974978443","0.209436007430864","0.224969942526021"
"Poor","2015","Employed","1789","0.110319678887426","0.105560592502249","0.115078765272602"
"Bad ","2015","Not Employed","646","0.0808085362414232","0.0756748935968144","0.085942178886032"
"Bad ","2015","Employed","260","0.0164325741383887","0.014501339821305","0.0183638084554723"
"Very good","2016","Not Employed","2536","0.0799061844288179","0.0752818178418906","0.0845305510157452"
"Very good","2016","Employed","1901","0.110526216364181","0.105690647081615","0.115361785646746"
"Good","2016","Not Employed","4075","0.274572471185275","0.266960949053748","0.282183993316802"
"Good","2016","Employed","7289","0.446450600405681","0.438783815482135","0.454117385329228"
"Satisfactory","2016","Not Employed","3650","0.343312418557046","0.33521456049042","0.351410276623672"
"Satisfactory","2016","Employed","4891","0.312374979566861","0.305227345036548","0.319522614097173"
"Poor","2016","Not Employed","2181","0.224321573437477","0.217207433890751","0.231435712984202"
"Poor","2016","Employed","1776","0.112875806893893","0.107995568604345","0.117756045183442"
"Bad ","2016","Not Employed","765","0.0778873523913844","0.0733167708422629","0.0824579339405059"
"Bad ","2016","Employed","294","0.0177723967693842","0.0157347568044086","0.0198100367343598"
"Very good","2017","Not Employed","2965","0.085036885499446","0.0805056397549039","0.0895681312439881"
"Very good","2017","Employed","2280","0.117713946491797","0.113045270285625","0.12238262269797"
"Good","2017","Not Employed","4610","0.265860842999844","0.258684081181388","0.273037604818299"
"Good","2017","Employed","8181","0.440706401745209","0.43351407032669","0.447898733163727"
"Satisfactory","2017","Not Employed","3991","0.356550131848087","0.348769232295721","0.364331031400453"
"Satisfactory","2017","Employed","5546","0.312125011870213","0.305412359875401","0.318837663865026"
"Poor","2017","Not Employed","2257","0.223067485019287","0.216304756804254","0.22983021323432"
"Poor","2017","Employed","1980","0.111537793436365","0.106977365567533","0.116098221305196"
"Bad ","2017","Not Employed","734","0.0694846546333361","0.0653540048832774","0.0736153043833947"
"Bad ","2017","Employed","317","0.0179168464564162","0.0159951711739656","0.0198385217388669"
"Very good","2018","Not Employed","2440","0.0832983247831877","0.0784853683134023","0.0881112812529731"
"Very good","2018","Employed","2472","0.123915640093174","0.119100278596217","0.128731001590131"
"Good","2018","Not Employed","3743","0.260946691966554","0.253297887337186","0.268595496595922"
"Good","2018","Employed","8014","0.441542568887729","0.434285283577895","0.448799854197562"
"Satisfactory","2018","Not Employed","3726","0.365223028968911","0.356836747280741","0.373609310657081"
"Satisfactory","2018","Employed","5368","0.31113707870739","0.304371029384635","0.317903128030145"
"Poor","2018","Not Employed","2037","0.217498480623346","0.210313088127914","0.224683873118778"
"Poor","2018","Employed","1848","0.106427342290409","0.101920374916873","0.110934309663945"
"Bad ","2018","Not Employed","717","0.0730334736580009","0.0685016521938568","0.0775652951221451"
"Bad ","2018","Employed","283","0.0169773700212982","0.0150893359167596","0.0188654041258368"
"Very good","2019","Not Employed","1809","0.0703255123973491","0.065666197214632","0.0749848275800663"
"Very good","2019","Employed","2791","0.125571292405061","0.120811873004252","0.13033071180587"
"Good","2019","Not Employed","3673","0.279107658300427","0.270933909945788","0.287281406655065"
"Good","2019","Employed","8452","0.45222483739221","0.445076172077012","0.459373502707409"
"Satisfactory","2019","Not Employed","3480","0.366118843208072","0.357340447736912","0.374897238679231"
"Satisfactory","2019","Employed","5284","0.29697717827999","0.290414322798063","0.303540033761918"
"Poor","2019","Not Employed","1962","0.217476252708168","0.209959074189303","0.224993431227032"
"Poor","2019","Employed","1821","0.108097497023741","0.103637720456","0.112557273591483"
"Bad ","2019","Not Employed","645","0.0669717333859849","0.0624166812635036","0.0715267855084663"
"Bad ","2019","Employed","273","0.0171291948989963","0.0152655494892703","0.0189928403087223"
