"m11126","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Satisfactory","1993","Part Time","Couple + C. GT 16 ","","","","","3"
"Satisfactory","1993","Part Time","Couple + C. LE and GT 16","","","","","3"
"Satisfactory","1993","Not Working","1-pers.-HH","","","","","3"
"Satisfactory","1993","Not Working","Single parent ","","","","","3"
"Satisfactory","1993","Not Working","Couple + C. LE 16 ","","","","","3"
"Very good","1993","Full Time","1-pers.-HH","","","","","1"
"Very good","1993","Full Time","(Married) couple without C. ","","","","","1"
"Very good","1993","Full Time","Single parent ","","","","","1"
"Very good","1993","Full Time","Couple + C. LE 16 ","","","","","1"
"Very good","1993","Full Time","Couple + C. GT 16 ","","","","","1"
"Very good","1993","Full Time","Couple + C. LE and GT 16","","","","","1"
"Very good","1993","Part Time","1-pers.-HH","","","","","1"
"Very good","1993","Part Time","(Married) couple without C. ","","","","","1"
"Very good","1993","Part Time","Single parent ","","","","","1"
"Very good","1993","Part Time","Couple + C. LE 16 ","","","","","1"
"Very good","1993","Part Time","Couple + C. GT 16 ","","","","","1"
"Very good","1993","Part Time","Couple + C. LE and GT 16","","","","","1"
"Very good","1993","Not Working","1-pers.-HH","","","","","1"
"Very good","1993","Not Working","(Married) couple without C. ","","","","","1"
"Very good","1993","Not Working","Single parent ","","","","","1"
"Very good","1993","Not Working","Couple + C. LE 16 ","","","","","1"
"Very good","1993","Not Working","Couple + C. GT 16 ","","","","","1"
"Very good","1993","Not Working","Couple + C. LE and GT 16","","","","","1"
"Bad ","1994","Full Time","(Married) couple without C. ","29","","","","5"
"Bad ","1994","Full Time","1-pers.-HH","15","","","","5"
"Bad ","1994","Full Time","Couple + C. GT 16 ","15","","","","5"
"Bad ","1994","Full Time","Couple + C. LE and GT 16","8","","","","5"
"Bad ","1994","Part Time","Couple + C. LE 16 ","11","","","","5"
"Bad ","1994","Full Time","Single parent ","3","","","","5"
"Bad ","1994","Full Time","Couple + C. LE 16 ","14","","","","5"
"Bad ","1994","Part Time","1-pers.-HH","6","","","","5"
"Bad ","1994","Part Time","(Married) couple without C. ","12","","","","5"
"Bad ","1994","Part Time","Single parent ","2","","","","5"
"Bad ","1994","Part Time","Couple + C. GT 16 ","12","","","","5"
"Bad ","1994","Part Time","Couple + C. LE and GT 16","4","","","","5"
"Bad ","1994","Not Working","1-pers.-HH","86","0.132188473450472","0.107635793467984","0.15674115343296","5"
"Bad ","1994","Not Working","(Married) couple without C. ","125","0.0891315882964814","0.0747932459978568","0.103469930595106","5"
"Bad ","1994","Not Working","Single parent ","19","","","","5"
"Bad ","1994","Not Working","Couple + C. LE 16 ","18","","","","5"
"Bad ","1994","Not Working","Couple + C. GT 16 ","53","0.0604794482997604","0.0439302872244416","0.0770286093750792","5"
"Bad ","1994","Not Working","Couple + C. LE and GT 16","6","","","","5"
"Good","1994","Full Time","(Married) couple without C. ","628","0.44599153763802","0.420228232295128","0.471754842980912","2"
"Good","1994","Full Time","1-pers.-HH","246","0.439975926949759","0.398031452365219","0.481920401534299","2"
"Good","1994","Full Time","Couple + C. LE 16 ","859","0.507565014977549","0.483615834655304","0.531514195299795","2"
"Good","1994","Full Time","Single parent ","104","0.399957354239167","0.338863501119214","0.461051207359119","2"
