"m11126","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1993","66 and older","Female","","","","","5"
"Good","1993","35-65 y.","Male","","","","","2"
"Good","1993","16-34 y.","Male","","","","","2"
"Good","1993","16-34 y.","Female","","","","","2"
"Good","1993","35-65 y.","Female","","","","","2"
"Good","1993","66 and older","Male","","","","","2"
"Good","1993","66 and older","Female","","","","","2"
"Poor","1993","16-34 y.","Female","","","","","4"
"Poor","1993","16-34 y.","Male","","","","","4"
"Poor","1993","35-65 y.","Male","","","","","4"
"Poor","1993","35-65 y.","Female","","","","","4"
"Poor","1993","66 and older","Female","","","","","4"
"Poor","1993","66 and older","Male","","","","","4"
"Satisfactory","1993","16-34 y.","Female","","","","","3"
"Satisfactory","1993","16-34 y.","Male","","","","","3"
"Satisfactory","1993","35-65 y.","Male","","","","","3"
"Satisfactory","1993","35-65 y.","Female","","","","","3"
"Satisfactory","1993","66 and older","Female","","","","","3"
"Satisfactory","1993","66 and older","Male","","","","","3"
"Very good","1993","16-34 y.","Male","","","","","1"
"Very good","1993","16-34 y.","Female","","","","","1"
"Very good","1993","35-65 y.","Male","","","","","1"
"Very good","1993","35-65 y.","Female","","","","","1"
"Very good","1993","66 and older","Male","","","","","1"
"Very good","1993","66 and older","Female","","","","","1"
"Bad ","1994","16-34 y.","Male","18","","","","5"
"Bad ","1994","16-34 y.","Female","28","","","","5"
"Bad ","1994","35-65 y.","Male","127","0.0386832803598724","0.0320848616394794","0.0452816990802653","5"
"Bad ","1994","35-65 y.","Female","123","0.0404230089869425","0.0337145505618936","0.0471314674119913","5"
"Bad ","1994","66 and older","Male","59","0.101470686457391","0.0765949298049826","0.1263464431098","5"
"Bad ","1994","66 and older","Female","123","0.145850994293011","0.123382941314276","0.168319047271745","5"
"Good","1994","16-34 y.","Male","1246","0.520190808803256","0.500111082696742","0.54027053490977","2"
"Good","1994","16-34 y.","Female","1240","0.507364248030707","0.487502809621971","0.527225686439442","2"
"Good","1994","35-65 y.","Male","1315","0.396515001611062","0.379776829598055","0.413253173624069","2"
"Good","1994","35-65 y.","Female","1150","0.336292104299613","0.320199907759965","0.35238430083926","2"
"Good","1994","66 and older","Female","163","0.156849070200744","0.133699786451709","0.179998353949779","2"
"Good","1994","66 and older","Male","121","0.204638138096776","0.171401618139983","0.23787465805357","2"
"Poor","1994","16-34 y.","Male","121","0.0576717493377883","0.0483020677157012","0.0670414309598754","4"
"Poor","1994","16-34 y.","Female","191","0.08353013153965","0.07253834003015","0.09452192304915","4"
"Poor","1994","35-65 y.","Male","457","0.146304370796612","0.134211618552792","0.158397123040433","4"
"Poor","1994","35-65 y.","Female","612","0.179750916344169","0.166671844237649","0.192829988450689","4"
"Poor","1994","66 and older","Male","129","0.225397485238954","0.190974077590548","0.259820892887359","4"
"Poor","1994","66 and older","Female","258","0.292996744889286","0.264024241204919","0.321969248573653","4"
"Satisfactory","1994","16-34 y.","Male","465","0.206044572179137","0.189788305462747","0.222300838895527","3"
"Satisfactory","1994","16-34 y.","Female","541","0.230776609674365","0.214038363944209","0.247514855404522","3"
"Satisfactory","1994","35-65 y.","Female","1257","0.396058648058352","0.379399774403831","0.412717521712873","3"
"Satisfactory","1994","35-65 y.","Male","1192","0.361808283334036","0.34536608774468","0.378250478923392","3"
"Satisfactory","1994","66 and older","Male","249","0.454192982679812","0.413174495120287","0.495211470239337","3"
"Satisfactory","1994","66 and older","Female","389","0.386711805394261","0.355711216781827","0.417712394006694","3"
"Very good","1994","16-34 y.","Male","528","0.207749300702974","0.191443457314277","0.22405514409167","1"
"Very good","1994","16-34 y.","Female","434","0.16952319101351","0.154617019360118","0.184429362666901","1"
"Very good","1994","35-65 y.","Male","190","0.0566890638984179","0.0487764121258182","0.0646017156710176","1"
"Very good","1994","35-65 y.","Female","169","0.047475322310924","0.0402319538195531","0.0547186908022948","1"
"Very good","1994","66 and older","Male","8","","","","1"
"Very good","1994","66 and older","Female","15","","","","1"
"Bad ","1995","16-34 y.","Male","17","","","","5"
"Bad ","1995","16-34 y.","Female","32","0.0116899375959291","0.00748076309418794","0.0158991120976702","5"
"Bad ","1995","35-65 y.","Male","117","0.0352858693634327","0.0290723132658996","0.0414994254609659","5"
"Bad ","1995","35-65 y.","Female","138","0.0389433270360396","0.0324868959632396","0.0453997581088396","5"
"Bad ","1995","66 and older","Male","57","0.0967780374132082","0.0728605975659102","0.120695477260506","5"
"Bad ","1995","66 and older","Female","124","0.138031958785869","0.116212303659424","0.159851613912314","5"
"Good","1995","16-34 y.","Female","1321","0.534428740778804","0.514895144383044","0.553962337174564","2"
"Good","1995","16-34 y.","Male","1294","0.533683143329055","0.513893111097496","0.553473175560614","2"
"Good","1995","35-65 y.","Female","1228","0.351423277546629","0.335490281986279","0.367356273106979","2"
"Good","1995","35-65 y.","Male","1348","0.391520474843762","0.375082787460933","0.40795816222659","2"
"Good","1995","66 and older","Male","130","0.212016076920878","0.178950803680648","0.245081350161109","2"
"Good","1995","66 and older","Female","162","0.157226868698098","0.134200195480337","0.180253541915859","2"
"Poor","1995","16-34 y.","Male","132","0.0572832578155334","0.048064579386968","0.0665019362440988","4"
"Poor","1995","16-34 y.","Female","163","0.0664715997568311","0.0567166270462006","0.0762265724674616","4"
"Poor","1995","35-65 y.","Female","640","0.187573912263913","0.17454585549093","0.200601969036897","4"
"Poor","1995","35-65 y.","Male","463","0.135881588195557","0.124341545138242","0.147421631252871","4"
"Poor","1995","66 and older","Male","142","0.248269877336224","0.213321901089805","0.283217853582643","4"
"Poor","1995","66 and older","Female","263","0.283313335256673","0.254809017893588","0.311817652619759","4"
"Satisfactory","1995","16-34 y.","Female","585","0.239529823342407","0.222816411439728","0.256243235245086","3"
"Satisfactory","1995","16-34 y.","Male","485","0.205679066758464","0.189644499198837","0.22171363431809","3"
"Satisfactory","1995","35-65 y.","Male","1265","0.383509977878048","0.367134580321155","0.399885375434941","3"
"Satisfactory","1995","35-65 y.","Female","1278","0.379378565738649","0.363184672405361","0.395572459071938","3"
"Satisfactory","1995","66 and older","Male","246","0.422533237110287","0.382573467538747","0.462493006681826","3"
"Satisfactory","1995","66 and older","Female","387","0.392346297346798","0.361459325801246","0.423233268892351","3"
"Very good","1995","16-34 y.","Male","513","0.196531773602542","0.180767827491862","0.212295719713222","1"
"Very good","1995","16-34 y.","Female","404","0.147879898526029","0.133978797388157","0.161780999663901","1"
"Very good","1995","35-65 y.","Male","194","0.0538020897192005","0.0462035339174702","0.0614006455209307","1"
"Very good","1995","35-65 y.","Female","165","0.0426809174147689","0.0359349113893527","0.0494269234401852","1"
"Very good","1995","66 and older","Male","12","","","","1"
"Very good","1995","66 and older","Female","24","","","","1"
"Bad ","1996","16-34 y.","Male","20","","","","5"
"Bad ","1996","16-34 y.","Female","23","","","","5"
"Bad ","1996","35-65 y.","Male","121","0.0374239465055073","0.0309920011147429","0.0438558918962716","5"
"Bad ","1996","35-65 y.","Female","127","0.0407219992554972","0.0340843766300887","0.0473596218809057","5"
"Bad ","1996","66 and older","Male","66","0.116558431544205","0.0909672472612509","0.142149615827159","5"
"Bad ","1996","66 and older","Female","108","0.115222141992521","0.0951186594277148","0.135325624557327","5"
"Good","1996","16-34 y.","Male","1275","0.559816223382776","0.539754456091442","0.57987799067411","2"
"Good","1996","16-34 y.","Female","1249","0.517852127338535","0.497947974122649","0.537756280554422","2"
"Good","1996","35-65 y.","Male","1291","0.382985843248941","0.366512226628134","0.399459459869747","2"
"Good","1996","35-65 y.","Female","1177","0.333524505209067","0.317690829846772","0.349358180571363","2"
"Good","1996","66 and older","Male","112","0.174303297644601","0.144048608256547","0.204557987032654","2"
"Good","1996","66 and older","Female","156","0.156080747915143","0.133229426525254","0.178932069305032","2"
"Poor","1996","16-34 y.","Male","123","0.0561403415571321","0.0468373919224334","0.0654432911918307","4"
"Poor","1996","16-34 y.","Female","155","0.0654221856705747","0.0555725321304226","0.0752718392107268","4"
"Poor","1996","35-65 y.","Male","451","0.144833139406574","0.132906737688779","0.15675954112437","4"
"Poor","1996","35-65 y.","Female","584","0.164299511200562","0.151855246711193","0.176743775689931","4"
"Poor","1996","66 and older","Female","284","0.318993812713563","0.289647545947985","0.348340079479142","4"
"Poor","1996","66 and older","Male","112","0.161977769422406","0.132595516117023","0.191360022727788","4"
"Satisfactory","1996","16-34 y.","Female","583","0.241376419396767","0.224330858931791","0.258421979861744","3"
"Satisfactory","1996","16-34 y.","Male","468","0.203916837654306","0.187633808695269","0.220199866613343","3"
"Satisfactory","1996","35-65 y.","Male","1297","0.379216547894686","0.362774203671214","0.395658892118158","3"
"Satisfactory","1996","35-65 y.","Female","1321","0.40215809036973","0.385690981664482","0.418625199074977","3"
"Satisfactory","1996","66 and older","Male","301","0.527694249635739","0.487880560688097","0.56750793858338","3"
"Satisfactory","1996","66 and older","Female","401","0.388455056006215","0.35776690081788","0.41914321119455","3"
"Very good","1996","16-34 y.","Male","466","0.173301001523947","0.158004092832982","0.188597910214911","1"
"Very good","1996","16-34 y.","Female","411","0.167246602475191","0.152380827486475","0.182112377463907","1"
"Very good","1996","35-65 y.","Male","185","0.055540522944292","0.047779004807536","0.063302041081048","1"
"Very good","1996","35-65 y.","Female","197","0.0592958939651436","0.0513642246478829","0.0672275632824043","1"
"Very good","1996","66 and older","Male","13","","","","1"
"Very good","1996","66 and older","Female","20","","","","1"
"Bad ","1997","16-34 y.","Male","23","","","","5"
"Bad ","1997","16-34 y.","Female","26","","","","5"
"Bad ","1997","35-65 y.","Male","114","0.0393834401404598","0.0327320524381632","0.0460348278427565","5"
"Bad ","1997","35-65 y.","Female","134","0.0360973415927024","0.0298032979418371","0.0423913852435678","5"
"Bad ","1997","66 and older","Male","55","0.0923705759028147","0.0699729655009216","0.114768186304708","5"
"Bad ","1997","66 and older","Female","108","0.122403881913841","0.10172488936474","0.143082874462942","5"
"Good","1997","16-34 y.","Male","1294","0.548101494631727","0.527762236006402","0.568440753257053","2"
"Good","1997","16-34 y.","Female","1312","0.5532086563464","0.533021879172118","0.573395433520682","2"
"Good","1997","35-65 y.","Male","1364","0.399267006292214","0.382519395544609","0.416014617039819","2"
"Good","1997","66 and older","Male","124","0.181873964124546","0.152035535360412","0.211712392888681","2"
"Good","1997","35-65 y.","Female","1224","0.344095129300235","0.328065065810189","0.360125192790282","2"
"Good","1997","66 and older","Female","138","0.125458337079434","0.104559387908103","0.146357286250766","2"
"Poor","1997","16-34 y.","Male","84","0.0347845987937166","0.0272961857032561","0.0422730118841771","4"
"Poor","1997","16-34 y.","Female","128","0.0544890863406659","0.0452727531625673","0.0637054195187644","4"
"Poor","1997","35-65 y.","Male","453","0.142010829602199","0.13007419115935","0.153947468045047","4"
"Poor","1997","35-65 y.","Female","547","0.171186775323809","0.158476967219561","0.183896583428058","4"
"Poor","1997","66 and older","Male","131","0.196226255735124","0.165505913944714","0.226946597525533","4"
"Poor","1997","66 and older","Female","270","0.292623135340867","0.263917696550069","0.321328574131666","4"
"Satisfactory","1997","16-34 y.","Male","430","0.204962924833634","0.188465524292487","0.221460325374781","3"
"Satisfactory","1997","16-34 y.","Female","515","0.221521782178965","0.204660073506443","0.238383490851488","3"
"Satisfactory","1997","35-65 y.","Male","1181","0.368846288685089","0.352346792498335","0.385345784871844","3"
"Satisfactory","1997","35-65 y.","Female","1309","0.394389723964802","0.377899180632651","0.410880267296953","3"
"Satisfactory","1997","66 and older","Male","318","0.505947024737094","0.46727295645509","0.544621093019099","3"
"Satisfactory","1997","66 and older","Female","435","0.44020977431162","0.408889400947488","0.471530147675751","3"
"Very good","1997","16-34 y.","Male","469","0.203407241824793","0.186956497396382","0.219857986253205","1"
"Very good","1997","16-34 y.","Female","349","0.161841755101141","0.146887030110048","0.176796480092233","1"
"Very good","1997","35-65 y.","Male","173","0.0504924352800382","0.0430048328361907","0.0579800377238857","1"
"Very good","1997","35-65 y.","Female","160","0.0542310298184509","0.0465892942015399","0.0618727654353619","1"
"Very good","1997","66 and older","Male","14","","","","1"
"Very good","1997","66 and older","Female","14","","","","1"
"Bad ","1998","16-34 y.","Male","17","","","","5"
"Bad ","1998","16-34 y.","Female","22","","","","5"
"Bad ","1998","35-65 y.","Male","121","0.0339906545254407","0.0281739022705003","0.0398074067803811","5"
"Bad ","1998","35-65 y.","Female","150","0.0401038591217684","0.0338689081507934","0.0463388100927434","5"
"Bad ","1998","66 and older","Male","71","0.0929182927700123","0.0723186524570266","0.113517933082998","5"
"Bad ","1998","66 and older","Female","144","0.136165417262414","0.116106526336921","0.156224308187907","5"
"Good","1998","16-34 y.","Male","1356","0.541505908410594","0.52162904150655","0.561382775314638","2"
"Good","1998","16-34 y.","Female","1380","0.548480686209676","0.528827420728397","0.568133951690955","2"
"Good","1998","35-65 y.","Male","1583","0.421728047893669","0.405875741926219","0.437580353861118","2"
"Good","1998","35-65 y.","Female","1461","0.371875886174133","0.356517358695301","0.387234413652965","2"
"Good","1998","66 and older","Male","149","0.199050325075016","0.170718804611679","0.227381845538353","2"
"Good","1998","66 and older","Female","189","0.157428635166462","0.136127466768629","0.178729803564295","2"
"Poor","1998","16-34 y.","Male","106","0.0414100760925158","0.0334622399978663","0.0493579121871653","4"
"Poor","1998","35-65 y.","Male","471","0.13436003403575","0.123412562077878","0.145307505993623","4"
"Poor","1998","16-34 y.","Female","130","0.0497788418021705","0.0411896831020357","0.0583680005023053","4"
"Poor","1998","35-65 y.","Female","584","0.156701160486826","0.14514922660285","0.168253094370802","4"
"Poor","1998","66 and older","Male","174","0.229285691597436","0.19945790619925","0.259113476995621","4"
"Poor","1998","66 and older","Female","286","0.264852621558967","0.239045025213686","0.290660217904249","4"
"Satisfactory","1998","16-34 y.","Female","498","0.206676284534244","0.190684886749004","0.222667682319484","3"
"Satisfactory","1998","16-34 y.","Male","420","0.194115644902699","0.178337857856404","0.209893431948994","3"
"Satisfactory","1998","35-65 y.","Male","1293","0.337741783058731","0.322560229612145","0.352923336505318","3"
"Satisfactory","1998","35-65 y.","Female","1388","0.364510915095976","0.349216349253077","0.379805480938875","3"
"Satisfactory","1998","66 and older","Male","346","0.446721717394016","0.411445974636468","0.481997460151565","3"
"Satisfactory","1998","66 and older","Female","476","0.415772240912431","0.386946727442535","0.444597754382326","3"
"Very good","1998","16-34 y.","Male","515","0.216893278183711","0.200452855447985","0.233333700919437","1"
"Very good","1998","16-34 y.","Female","433","0.185916809882557","0.170552622044991","0.201280997720123","1"
"Very good","1998","35-65 y.","Male","260","0.0721794804864092","0.063872388842005","0.0804865721308134","1"
"Very good","1998","35-65 y.","Female","221","0.0668081791212965","0.0588735228796685","0.0747428353629245","1"
"Very good","1998","66 and older","Male","23","","","","1"
"Very good","1998","66 and older","Female","28","","","","1"
"Bad ","1999","16-34 y.","Female","16","","","","5"
"Bad ","1999","16-34 y.","Male","21","","","","5"
"Bad ","1999","35-65 y.","Male","120","0.0327945111120763","0.0269839963788686","0.038605025845284","5"
"Bad ","1999","35-65 y.","Female","132","0.034294781066545","0.0284229816084241","0.0401665805246659","5"
"Bad ","1999","66 and older","Male","75","0.10313364761195","0.0814253147280431","0.124841980495856","5"
"Bad ","1999","66 and older","Female","140","0.141493165131134","0.120639238589399","0.162347091672869","5"
"Good","1999","16-34 y.","Male","1237","0.530593800104865","0.510050139709163","0.551137460500566","2"
"Good","1999","16-34 y.","Female","1286","0.540698073499806","0.520528198250646","0.560867948748966","2"
"Good","1999","35-65 y.","Male","1494","0.412185079210063","0.396125983509945","0.428244174910182","2"
"Good","1999","35-65 y.","Female","1378","0.367285752971895","0.351731800914204","0.382839705029587","2"
"Good","1999","66 and older","Male","165","0.22791203367352","0.197970127983886","0.257853939363153","2"
"Good","1999","66 and older","Female","156","0.13932296306212","0.118603443104275","0.160042483019966","2"
"Poor","1999","16-34 y.","Male","85","0.0336245109742064","0.0262041800764103","0.0410448418720025","4"
"Poor","1999","16-34 y.","Female","143","0.0620924976423811","0.0523251591846654","0.0718598361000967","4"
"Poor","1999","35-65 y.","Male","460","0.134305648924135","0.123181057190295","0.145430240657975","4"
"Poor","1999","35-65 y.","Female","597","0.169347895616215","0.157246529650997","0.181449261581432","4"
"Poor","1999","66 and older","Female","276","0.276232757142123","0.249478969173003","0.302986545111243","4"
"Poor","1999","66 and older","Male","172","0.227010854438309","0.197110769123794","0.256910939752823","4"
"Satisfactory","1999","16-34 y.","Female","500","0.206484583350026","0.190101404673736","0.222867762026316","3"
"Satisfactory","1999","16-34 y.","Male","477","0.221392874187097","0.204302036990321","0.238483711383874","3"
"Satisfactory","1999","35-65 y.","Male","1321","0.362533152971693","0.346849135564167","0.378217170379219","3"
"Satisfactory","1999","35-65 y.","Female","1374","0.3633702321178","0.347851613791757","0.378888850443843","3"
"Satisfactory","1999","66 and older","Male","328","0.423061976332873","0.387798185544869","0.458325767120877","3"
"Satisfactory","1999","66 and older","Female","478","0.418934464811185","0.389413276601013","0.448455653021358","3"
"Very good","1999","16-34 y.","Male","447","0.203286625769224","0.186720239305788","0.219853012232659","1"
"Very good","1999","16-34 y.","Female","400","0.18484327520436","0.169132447969737","0.200554102438984","1"
"Very good","1999","35-65 y.","Male","214","0.0581816077820321","0.0505444617881644","0.0658187537758998","1"
"Very good","1999","35-65 y.","Female","209","0.065701338227545","0.0577073246953922","0.0736953517596977","1"
"Very good","1999","66 and older","Male","14","","","","1"
"Very good","1999","66 and older","Female","23","","","","1"
"Bad ","2000","16-34 y.","Male","28","","","","5"
"Bad ","2000","16-34 y.","Female","24","","","","5"
"Bad ","2000","35-65 y.","Male","211","0.0336021247286937","0.0292674340718978","0.0379368153854897","5"
"Bad ","2000","35-65 y.","Female","233","0.0362928337895488","0.0318552824612504","0.0407303851178472","5"
"Bad ","2000","66 and older","Male","129","0.085120344944369","0.071196351812064","0.099044338076674","5"
"Bad ","2000","66 and older","Female","236","0.115289833220733","0.101607521162247","0.128972145279219","5"
"Good","2000","16-34 y.","Female","1927","0.50223177945578","0.486068628923931","0.51839492998763","2"
"Good","2000","16-34 y.","Male","1842","0.513133355739026","0.496452373195754","0.529814338282298","2"
"Good","2000","35-65 y.","Male","2755","0.411826450958943","0.399987679952891","0.423665221964995","2"
"Good","2000","35-65 y.","Female","2622","0.375133068107558","0.363645003983315","0.386621132231801","2"
"Good","2000","66 and older","Male","319","0.197994701894724","0.178111765132974","0.217877638656475","2"
"Good","2000","66 and older","Female","336","0.157444325358909","0.141840672242623","0.173047978475194","2"
"Poor","2000","16-34 y.","Male","149","0.0432760387795854","0.0364852758374705","0.0500668017217003","4"
"Poor","2000","16-34 y.","Female","218","0.0607452622647927","0.0530236455101241","0.0684668790194613","4"
"Poor","2000","35-65 y.","Male","822","0.125780046700159","0.117803535307121","0.133756558093197","4"
"Poor","2000","35-65 y.","Female","954","0.137383438934365","0.129215048409163","0.145551829459568","4"
"Poor","2000","66 and older","Male","323","0.20717170554219","0.186949900497224","0.227393510587157","4"
"Poor","2000","66 and older","Female","552","0.26757884906248","0.2486131084645","0.28654458966046","4"
"Satisfactory","2000","16-34 y.","Male","604","0.18377275415148","0.170847246781966","0.196698261520993","3"
"Satisfactory","2000","16-34 y.","Female","756","0.206817988705866","0.193724935794949","0.219911041616783","3"
"Satisfactory","2000","35-65 y.","Male","2341","0.34951999880553","0.338050359877524","0.360989637733536","3"
"Satisfactory","2000","35-65 y.","Female","2486","0.372970356862533","0.361495649996367","0.384445063728699","3"
"Satisfactory","2000","66 and older","Female","935","0.44133059167858","0.420057875855124","0.462603307502037","3"
"Satisfactory","2000","66 and older","Male","727","0.481793358150559","0.456861937872446","0.506724778428672","3"
"Very good","2000","16-34 y.","Male","826","0.252210786173841","0.237717298014028","0.266704274333653","1"
"Very good","2000","16-34 y.","Female","751","0.223804377362418","0.210330883695628","0.237277871029208","1"
"Very good","2000","35-65 y.","Male","510","0.0792713788066736","0.0727727641671508","0.0857699934461963","1"
"Very good","2000","35-65 y.","Female","528","0.0782203023059948","0.0718489191994221","0.0845916854125676","1"
"Very good","2000","66 and older","Female","34","0.0183564006792982","0.0126055225954506","0.0241072787631458","1"
"Very good","2000","66 and older","Male","45","0.027919889468157","0.0196998670131626","0.0361399119231515","1"
"Bad ","2001","16-34 y.","Female","23","","","","5"
"Bad ","2001","16-34 y.","Male","23","","","","5"
"Bad ","2001","35-65 y.","Male","211","0.0367177106609865","0.0319779459284397","0.0414574753935332","5"
"Bad ","2001","35-65 y.","Female","208","0.0371393096451611","0.0324518531717293","0.0418267661185929","5"
"Bad ","2001","66 and older","Male","117","0.0737060323221797","0.0604209386528048","0.0869911259915545","5"
"Bad ","2001","66 and older","Female","214","0.115083615828505","0.100948492090189","0.12921873956682","5"
"Good","2001","16-34 y.","Male","1592","0.502845439388638","0.485036702101938","0.520654176675337","2"
"Good","2001","16-34 y.","Female","1668","0.502902420486055","0.485739073674049","0.520065767298061","2"
"Good","2001","35-65 y.","Male","2479","0.402136437750927","0.38977895662704","0.414493918874813","2"
"Good","2001","35-65 y.","Female","2481","0.388772448426746","0.376689085848576","0.400855811004917","2"
"Good","2001","66 and older","Male","311","0.205203233525503","0.184669929759433","0.225736537291573","2"
"Good","2001","66 and older","Female","309","0.147572354672695","0.13186246938866","0.163282239956729","2"
"Poor","2001","16-34 y.","Male","119","0.041636006616216","0.034521088040721","0.0487509251917109","4"
"Poor","2001","16-34 y.","Female","198","0.0610201368000526","0.0528033121545876","0.0692369614455176","4"
"Poor","2001","35-65 y.","Male","783","0.133521892425836","0.124949594892183","0.14209418995949","4"
"Poor","2001","35-65 y.","Female","856","0.141791672319439","0.133144774421015","0.150438570217863","4"
"Poor","2001","66 and older","Male","300","0.20927085567457","0.188588169876391","0.229953541472749","4"
"Poor","2001","66 and older","Female","530","0.271105741805278","0.251415848187854","0.290795635422702","4"
"Satisfactory","2001","16-34 y.","Male","526","0.180534328686514","0.166834490555969","0.19423416681706","3"
"Satisfactory","2001","16-34 y.","Female","681","0.210794763640897","0.196793598462151","0.224795928819642","3"
"Satisfactory","2001","35-65 y.","Male","2123","0.348016177001107","0.336011227823753","0.360021126178461","3"
"Satisfactory","2001","35-65 y.","Female","2261","0.357193145093081","0.34531549809581","0.369070792090352","3"
"Satisfactory","2001","66 and older","Female","874","0.447173562611499","0.425150677710983","0.469196447512015","3"
"Satisfactory","2001","66 and older","Male","715","0.481825215416917","0.456420075786846","0.507230355046988","3"
"Very good","2001","16-34 y.","Male","768","0.269351613006523","0.253550628004103","0.285152598008943","1"
"Very good","2001","16-34 y.","Female","690","0.216668549280899","0.202526576056944","0.230810522504854","1"
"Very good","2001","35-65 y.","Male","452","0.0796077821611436","0.0727858651616222","0.086429699160665","1"
"Very good","2001","35-65 y.","Female","446","0.0751034245155724","0.0685703883535788","0.0816364606775661","1"
"Very good","2001","66 and older","Male","43","0.0299946630608307","0.0213220944956784","0.0386672316259829","1"
"Very good","2001","66 and older","Female","31","0.0190647250820234","0.0130074513949239","0.0251219987691229","1"
"Bad ","2002","16-34 y.","Male","23","","","","5"
"Bad ","2002","16-34 y.","Female","27","","","","5"
"Bad ","2002","35-65 y.","Male","206","0.037707949627869","0.0330990220263394","0.0423168772293986","5"
"Bad ","2002","35-65 y.","Female","187","0.0343828736377281","0.0300360725193836","0.0387296747560727","5"
"Bad ","2002","66 and older","Male","125","0.0807718116761637","0.0675152648589083","0.0940283584934191","5"
"Bad ","2002","66 and older","Female","211","0.108786803123262","0.0951711952822976","0.122402410964226","5"
"Good","2002","16-34 y.","Female","1688","0.521814628502","0.504496499365204","0.539132757638796","2"
"Good","2002","16-34 y.","Male","1589","0.50925069985978","0.491286814795767","0.527214584923793","2"
"Good","2002","35-65 y.","Male","2830","0.41305065854183","0.401137362135435","0.424963954948226","2"
"Good","2002","35-65 y.","Female","2727","0.379003286564053","0.367429849788806","0.3905767233393","2"
"Good","2002","66 and older","Female","318","0.147091301345802","0.131603032103554","0.162579570588049","2"
"Good","2002","66 and older","Male","358","0.214708256457773","0.194731327764881","0.234685185150666","2"
"Poor","2002","16-34 y.","Male","126","0.0467785422956298","0.0391905854348867","0.0543664991563728","4"
"Poor","2002","16-34 y.","Female","184","0.0583210038751584","0.0501962793843952","0.0664457283659215","4"
"Poor","2002","35-65 y.","Male","773","0.129695575921895","0.1215667437984","0.137824408045389","4"
"Poor","2002","66 and older","Male","343","0.214796261577292","0.19481635884466","0.234776164309924","4"
"Poor","2002","35-65 y.","Female","935","0.144279510457131","0.135897185364427","0.152661835549835","4"
"Poor","2002","66 and older","Female","555","0.285139463998736","0.265397177580339","0.304881750417132","4"
"Satisfactory","2002","16-34 y.","Male","534","0.201903259450856","0.187478650789695","0.216327868112018","3"
"Satisfactory","2002","35-65 y.","Male","2286","0.354255514150795","0.342683241945913","0.365827786355677","3"
