"m11126","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Poor","1994","direct migration background","403","0.176649647323771","0.161279386269851","0.192019908377692","4"
"Satisfactory","1994","no migration background","3350","0.343590347992867","0.334309692665285","0.352871003320449","3"
"Satisfactory","1994","direct migration background","656","0.302047996775824","0.283543244420543","0.320552749131105","3"
"Satisfactory","1994","indirect migration background","87","0.186339726707751","0.15200299937446","0.220676454041042","3"
"Very good","1994","no migration background","927","0.0802280012911783","0.074919477533845","0.0855365250485117","1"
"Very good","1994","direct migration background","257","0.102675274923054","0.0904420693765711","0.114908480469536","1"
"Very good","1994","indirect migration background","160","0.310333968916999","0.269537864726249","0.351130073107749","1"
"Bad ","1995","no migration background","347","0.0451518784703257","0.0410849077709122","0.0492188491697391","5"
"Bad ","1995","direct migration background","130","0.0488375818118997","0.040860142602412","0.0568150210213875","5"
"Bad ","1995","indirect migration background","8","","","","5"
"Good","1995","direct migration background","1142","0.388577322635495","0.370535991265299","0.406618654005691","2"
"Good","1995","no migration background","4106","0.380419502817107","0.370910253387863","0.38992875224635","2"
"Good","1995","indirect migration background","235","0.448201237456253","0.405124778323646","0.49127769658886","2"
"Poor","1995","direct migration background","428","0.151837503400352","0.138554748891654","0.165120257909049","4"
"Poor","1995","no migration background","1336","0.154306068058728","0.14723045470942","0.161381681408035","4"
"Poor","1995","indirect migration background","39","0.0862015868160105","0.0618909720977259","0.110512201534295","4"
"Satisfactory","1995","no migration background","3375","0.349344727276174","0.340006411488757","0.358683043063591","3"
"Satisfactory","1995","indirect migration background","83","0.192560972356706","0.158406143437886","0.226715801275526","3"
"Satisfactory","1995","direct migration background","788","0.290115450339552","0.273318192935882","0.306912707743222","3"
"Very good","1995","no migration background","849","0.0707778233776661","0.0657546939636516","0.0758009527916805","1"
"Very good","1995","direct migration background","316","0.120632141812701","0.108576900738787","0.132687382886616","1"
"Very good","1995","indirect migration background","147","0.25306899435106","0.215409643987481","0.290728344714639","1"
"Bad ","1996","no migration background","325","0.0425987772447712","0.0386270877228972","0.0465704667666453","5"
"Bad ","1996","direct migration background","136","0.0619256883966813","0.052689702429038","0.0711616743643246","5"
"Bad ","1996","indirect migration background","4","","","","5"
"Good","1996","direct migration background","998","0.36118946631052","0.342782475577597","0.379596457043443","2"
"Good","1996","no migration background","4019","0.375344589211059","0.365821780325379","0.384867398096738","2"
"Good","1996","indirect migration background","243","0.389754901484631","0.348959626820184","0.430550176149077","2"
"Poor","1996","direct migration background","386","0.145700700798656","0.132181062691947","0.159220338905364","4"
"Poor","1996","no migration background","1293","0.149470884252321","0.142458711125433","0.156483057379208","4"
"Poor","1996","indirect migration background","30","0.0796501862472017","0.0570020858785656","0.102298286615838","4"
"Satisfactory","1996","no migration background","3433","0.356706430841008","0.347285586891267","0.366127274790749","3"
"Satisfactory","1996","indirect migration background","116","0.250649634270272","0.214397137858811","0.286902130681733","3"
"Satisfactory","1996","direct migration background","822","0.329229796676588","0.311221788912155","0.347237804441021","3"
"Very good","1996","no migration background","862","0.0758793184508413","0.0706715005370972","0.0810871363645854","1"
"Very good","1996","direct migration background","274","0.101954347817555","0.0903590661194406","0.11354962951567","1"
"Very good","1996","indirect migration background","156","0.272985598156014","0.235720412117701","0.310250784194327","1"
"Bad ","1997","no migration background","341","0.0441622347485436","0.0401015375787419","0.0482229319183453","5"
"Bad ","1997","direct migration background","114","0.0473759793462668","0.0390283574907065","0.0557236012018272","5"
"Bad ","1997","indirect migration background","5","","","","5"
"Good","1997","no migration background","4136","0.378820317728975","0.369232754476221","0.388407880981728","2"
"Good","1997","direct migration background","1028","0.36729399881285","0.348351782310217","0.386236215315483","2"
"Good","1997","indirect migration background","292","0.479153857528158","0.438285765255939","0.520021949800377","2"
"Poor","1997","no migration background","1193","0.141223384997446","0.134340406664647","0.148106363330244","4"
"Poor","1997","direct migration background","386","0.170315853588067","0.155544957715638","0.185086749460496","4"
"Poor","1997","indirect migration background","34","0.0678303953210765","0.047259566616389","0.088401224025764","4"
"Satisfactory","1997","no migration background","3364","0.359783800138137","0.350298149594706","0.369269450681568","3"
"Satisfactory","1997","direct migration background","737","0.311523282891658","0.293325738503999","0.329720827279316","3"
"Satisfactory","1997","indirect migration background","87","0.192611279334006","0.160350538095383","0.22487202057263","3"
"Very good","1997","no migration background","800","0.0760102623868989","0.0707724169495846","0.0812481078242131","1"
"Very good","1997","direct migration background","223","0.103490885361158","0.0915220660999016","0.115459704622415","1"
"Very good","1997","indirect migration background","156","0.254628994885876","0.218989436004196","0.290268553767556","1"
"Bad ","1998","no migration background","418","0.0461085676333962","0.0422383638714109","0.0499787713953814","5"
"Bad ","1998","direct migration background","102","0.044961841218214","0.0366955278669263","0.0532281545695018","5"
"Bad ","1998","indirect migration background","5","","","","5"
"Good","1998","no migration background","4821","0.393757503995129","0.384741145920619","0.40277386206964","2"
"Good","1998","direct migration background","1019","0.396628027113604","0.377113244199119","0.41614281002809","2"
"Good","1998","indirect migration background","278","0.422110598550512","0.382624306970984","0.461596890130041","2"
"Poor","1998","no migration background","1346","0.13829895720963","0.131928343040555","0.144669571378704","4"
"Poor","1998","direct migration background","362","0.148649155192823","0.13445809093776","0.162840219447885","4"
"Poor","1998","indirect migration background","43","0.0746598779857741","0.0536460491942045","0.0956737067773438","4"
"Satisfactory","1998","no migration background","3607","0.330234386357557","0.321555457845617","0.338913314869496","3"
"Satisfactory","1998","direct migration background","717","0.30431358472298","0.285958901668831","0.322668267777129","3"
"Satisfactory","1998","indirect migration background","97","0.211557168354184","0.17890516501422","0.244209171694148","3"
"Very good","1998","no migration background","1088","0.091600584804288","0.0862772830223872","0.0969238865861888","1"
"Very good","1998","direct migration background","214","0.105447391752378","0.0931955798038802","0.117699203700876","1"
"Very good","1998","indirect migration background","178","0.285106039605311","0.249012050930192","0.321200028280429","1"
"Bad ","1999","no migration background","409","0.0471464486634135","0.0431696511073433","0.0511232462194837","5"
"Bad ","1999","direct migration background","89","0.0413066297219736","0.0330212397219886","0.0495920197219585","5"
"Bad ","1999","indirect migration background","6","","","","5"
"Good","1999","no migration background","4517","0.383606709659181","0.374483073430149","0.392730345888213","2"
"Good","1999","direct migration background","906","0.390665371332594","0.370351457710551","0.410979284954637","2"
"Good","1999","indirect migration background","293","0.45754919742584","0.418014151237885","0.497084243613796","2"
"Poor","1999","no migration background","1359","0.14377778629661","0.137194616540251","0.150360956052968","4"
"Poor","1999","direct migration background","343","0.163404090920463","0.148010053289846","0.178798128551081","4"
"Poor","1999","indirect migration background","31","0.0684437535930472","0.0484057419689049","0.0884817652171895","4"
"Satisfactory","1999","no migration background","3702","0.342364239905804","0.333461312733532","0.351267167078077","3"
"Satisfactory","1999","direct migration background","664","0.307122446429549","0.287915990310865","0.326328902548234","3"
"Satisfactory","1999","indirect migration background","112","0.207873921206419","0.175672107477074","0.240075734935763","3"
"Very good","1999","no migration background","925","0.0831048154749916","0.0779255418819599","0.0882840890680234","1"
"Very good","1999","direct migration background","214","0.0975014615954202","0.0851507486032522","0.109852174587588","1"
"Very good","1999","indirect migration background","168","0.259258568361879","0.22448229419516","0.294034842528598","1"
"Bad ","2000","no migration background","719","0.0418633521636685","0.0390914473531177","0.0446352569742192","5"
"Bad ","2000","direct migration background","133","0.0423805721658039","0.0355494864447517","0.0492116578868561","5"
"Bad ","2000","indirect migration background","9","","","","5"
"Good","2000","no migration background","8088","0.377582189512203","0.37087262486483","0.384291754159576","2"
"Good","2000","direct migration background","1318","0.379949026558507","0.363490679423293","0.396407373693721","2"
"Good","2000","indirect migration background","396","0.458662252753362","0.42476303315057","0.492561472356153","2"
"Poor","2000","no migration background","2506","0.13409068642065","0.12937458541234","0.13880678742896","4"
"Poor","2000","indirect migration background","44","0.0602479365180185","0.0440601757570829","0.0764356972789541","4"
"Poor","2000","direct migration background","468","0.138863458498114","0.127137729539943","0.150589187456286","4"
"Satisfactory","2000","no migration background","6650","0.342779049804128","0.336209881020302","0.349348218587953","3"
"Satisfactory","2000","direct migration background","1041","0.317658712938988","0.301872023541114","0.333445402336862","3"
"Satisfactory","2000","indirect migration background","159","0.221197287696568","0.192960670171513","0.249433905221622","3"
"Very good","2000","no migration background","2091","0.103684722099351","0.0994654710285665","0.107903973170135","1"
"Very good","2000","direct migration background","381","0.121148229838587","0.110083872193055","0.132212587484118","1"
"Very good","2000","indirect migration background","222","0.246866130877971","0.217531820057252","0.276200441698689","1"
"Bad ","2001","no migration background","670","0.0427387888094377","0.039809440826712","0.0456681367921635","5"
"Bad ","2001","direct migration background","117","0.0421240633444177","0.034863100974582","0.0493850257142534","5"
"Bad ","2001","indirect migration background","9","","","","5"
"Good","2001","no migration background","7311","0.373062394671392","0.366058372266049","0.380066417076734","2"
"Good","2001","direct migration background","1157","0.387877959216382","0.370264648946864","0.405491269485899","2"
"Good","2001","indirect migration background","372","0.454993696572847","0.419979752455577","0.490007640690118","2"
"Poor","2001","no migration background","2322","0.138449927706385","0.133448070862809","0.14345178454996","4"
"Poor","2001","direct migration background","425","0.15304305612077","0.14002902301803","0.166057089223511","4"
"Poor","2001","indirect migration background","39","0.0408826800678039","0.0269593497150375","0.0548060104205703","4"
"Satisfactory","2001","no migration background","6125","0.343824076034239","0.336945113920817","0.350703038147661","3"
"Satisfactory","2001","direct migration background","896","0.290505278488246","0.274094619379945","0.306915937596546","3"
"Satisfactory","2001","indirect migration background","159","0.243562674852285","0.213381966806529","0.273743382898042","3"
"Very good","2001","no migration background","1887","0.101924812778547","0.0975431299314479","0.106306495625646","1"
"Very good","2001","direct migration background","345","0.126449642830185","0.114435931230002","0.138463354430368","1"
"Very good","2001","indirect migration background","198","0.247513185841827","0.217168251732753","0.277858119950901","1"
"Bad ","2002","no migration background","653","0.0419188525167676","0.0391073642569674","0.0447303407765677","5"
"Bad ","2002","direct migration background","118","0.048623183002244","0.040679356675878","0.05656700932861","5"
"Bad ","2002","indirect migration background","8","","","","5"
"Good","2002","direct migration background","1076","0.367959325370061","0.35014767397133","0.385770976768791","2"
"Good","2002","no migration background","8054","0.378637850786243","0.371833058947317","0.385442642625168","2"
"Good","2002","indirect migration background","380","0.462246052873144","0.427279647898559","0.497212457847729","2"
"Poor","2002","no migration background","2389","0.139465868766844","0.134605732426322","0.144326005107365","4"
"Poor","2002","indirect migration background","49","0.0759196372812829","0.0573435387068025","0.0944957358557633","4"
"Poor","2002","direct migration background","478","0.163812853576227","0.150143200353617","0.177482506798838","4"
"Satisfactory","2002","no migration background","6515","0.35036472024925","0.343671649440796","0.357057791057704","3"
"Satisfactory","2002","direct migration background","874","0.32419641141414","0.306908357263046","0.341484465565234","3"
"Satisfactory","2002","indirect migration background","168","0.271690828119184","0.240493460361818","0.30288819587655","3"
"Very good","2002","no migration background","1907","0.0896127076808963","0.0856056247785861","0.0936197905832065","1"
"Very good","2002","direct migration background","270","0.0954082266373276","0.084557695576317","0.106258757698338","1"
"Very good","2002","indirect migration background","176","0.177256654983728","0.150473851307726","0.20403945865973","1"
"Bad ","2003","no migration background","658","0.0444194655702893","0.041476784180059","0.0473621469605197","5"
"Bad ","2003","direct migration background","119","0.0501501107573875","0.0418262016964594","0.0584740198183156","5"
"Bad ","2003","indirect migration background","12","","","","5"
"Good","2003","no migration background","7915","0.393205102229626","0.386228347370975","0.400181857088277","2"
"Good","2003","direct migration background","1005","0.359125320043351","0.340828590849672","0.377422049237029","2"
"Good","2003","indirect migration background","387","0.478621984219348","0.443721343196802","0.513522625241893","2"
"Poor","2003","direct migration background","415","0.155199300944806","0.141389548193467","0.169009053696145","4"
"Poor","2003","no migration background","2385","0.141327422954319","0.13635177153116","0.146303074377478","4"
"Poor","2003","indirect migration background","57","0.0978061543659494","0.0770525398111185","0.11855976892078","4"
"Satisfactory","2003","no migration background","6072","0.335793801349091","0.329048354406427","0.342539248291754","3"
"Satisfactory","2003","direct migration background","821","0.325973415018996","0.308096462167187","0.343850367870806","3"
"Satisfactory","2003","indirect migration background","155","0.213674426620699","0.185036722441858","0.24231213079954","3"
"Very good","2003","no migration background","1800","0.0852542078966752","0.0812655108368467","0.0892429049565038","1"
"Very good","2003","direct migration background","281","0.109551853235459","0.0976400346121406","0.121463671858778","1"
"Very good","2003","indirect migration background","176","0.194429273436217","0.166779384604974","0.22207916226746","1"
"Bad ","2004","no migration background","697","0.0497331405785911","0.0465862832303137","0.0528799979268685","5"
"Bad ","2004","direct migration background","118","0.0492546806432528","0.0408539119877704","0.0576554492987352","5"
"Bad ","2004","indirect migration background","11","","","","5"
"Good","2004","no migration background","7598","0.374510530198466","0.367504478465755","0.381516581931177","2"
"Good","2004","direct migration background","978","0.369917043761872","0.351175118133399","0.388658969390346","2"
"Good","2004","indirect migration background","410","0.453373125441973","0.419090114453974","0.487656136429972","2"
"Poor","2004","direct migration background","401","0.17954071891887","0.164641168323754","0.194440269513986","4"
"Poor","2004","no migration background","2415","0.152703222047367","0.147496394430747","0.157910049663988","4"
"Poor","2004","indirect migration background","42","0.0824143876804295","0.0634765496721706","0.101352225688688","4"
"Satisfactory","2004","no migration background","5875","0.33285644865964","0.326035112448152","0.339677784871129","3"
"Satisfactory","2004","direct migration background","781","0.28874890303618","0.27115610895619","0.30634169711617","3"
"Satisfactory","2004","indirect migration background","158","0.22788907636915","0.199001760910694","0.256776391827607","3"
"Very good","2004","no migration background","1748","0.0901966585159348","0.0860499805416444","0.0943433364902252","1"
"Very good","2004","direct migration background","271","0.112538653639825","0.100270230286272","0.124807076993378","1"
"Very good","2004","indirect migration background","189","0.226012384928419","0.197209319806989","0.254815450049849","1"
"Bad ","2005","no migration background","652","0.0459168973248","0.0428187694160324","0.0490150252335676","5"
"Bad ","2005","direct migration background","131","0.0543717378522903","0.0452562413428596","0.0634872343617209","5"
"Bad ","2005","indirect migration background","8","","","","5"
"Good","2005","no migration background","7033","0.373024366720244","0.365866000601217","0.38018273283927","2"
"Good","2005","direct migration background","884","0.352435902255215","0.333230873887524","0.371640930622905","2"
"Good","2005","indirect migration background","418","0.480899463316302","0.446949499713437","0.514849426919168","2"
"Poor","2005","no migration background","2441","0.157277879299918","0.151889030555594","0.162666728044242","4"
"Poor","2005","direct migration background","384","0.171355720284472","0.156207316531589","0.186504124037356","4"
"Poor","2005","indirect migration background","46","0.0813291203861172","0.0627558046926736","0.0999024360795608","4"
"Satisfactory","2005","no migration background","5830","0.338632174262441","0.331627214968613","0.345637133556269","3"
"Satisfactory","2005","direct migration background","774","0.336527539994994","0.31753184202025","0.355523237969739","3"
"Satisfactory","2005","indirect migration background","189","0.242205011404795","0.213094230563745","0.271315792245845","3"
"Very good","2005","no migration background","1577","0.0851486823925976","0.0810174064923507","0.0892799582928446","1"
"Very good","2005","direct migration background","204","0.0853090996130286","0.0740793943303763","0.0965388048956808","1"
"Very good","2005","indirect migration background","171","0.181869819534811","0.155659159783953","0.208080479285669","1"
"Bad ","2006","no migration background","771","0.049844365821048","0.04675710522974","0.0529316264123559","5"
"Bad ","2006","direct migration background","130","0.0535770261525652","0.0445643152492054","0.062589737055925","5"
"Bad ","2006","indirect migration background","12","","","","5"
"Good","2006","no migration background","7690","0.373283404012698","0.366421844784865","0.380144963240531","2"
"Good","2006","direct migration background","869","0.357329428114525","0.338149273634655","0.376509582594396","2"
"Good","2006","indirect migration background","438","0.477978136772765","0.444593456017479","0.511362817528052","2"
"Poor","2006","no migration background","2530","0.143618095561775","0.138642945316629","0.148593245806921","4"
"Poor","2006","direct migration background","383","0.169496391396461","0.154479691840579","0.184513090952344","4"
"Poor","2006","indirect migration background","63","0.0829908474838057","0.0645533998295694","0.101428295138042","4"
"Satisfactory","2006","no migration background","6375","0.344027594421486","0.337288410601627","0.350766778241345","3"
"Satisfactory","2006","direct migration background","782","0.318770200565148","0.300118897537106","0.33742150359319","3"
"Satisfactory","2006","indirect migration background","179","0.232331930492738","0.204106533802519","0.260557327182957","3"
"Very good","2006","no migration background","1722","0.0892265401829929","0.0851824569275308","0.093270623438455","1"
"Very good","2006","direct migration background","234","0.1008269537713","0.0887756657861486","0.112878241756452","1"
"Very good","2006","indirect migration background","168","0.189133265364092","0.162960020527574","0.21530651020061","1"
"Bad ","2007","no migration background","664","0.0422095890347939","0.0392658747267395","0.0451533033428483","5"
"Bad ","2007","direct migration background","111","0.0545145060434371","0.0449113155350092","0.064117696551865","5"
"Bad ","2007","indirect migration background","14","","","","5"
"Good","2007","no migration background","7221","0.379152671493388","0.372049466912594","0.386255876074183","2"
"Good","2007","indirect migration background","413","0.455930399673982","0.422329309115156","0.489531490232809","2"
"Good","2007","direct migration background","827","0.353630306026105","0.333407226016845","0.373853386035365","2"
"Poor","2007","no migration background","2484","0.15238132229315","0.147119684085962","0.157642960500337","4"
"Poor","2007","direct migration background","338","0.169579011283462","0.153705709363312","0.185452313203613","4"
"Poor","2007","indirect migration background","56","0.0854689189166031","0.0666072460612858","0.10433059177192","4"
"Satisfactory","2007","no migration background","6003","0.343813967240643","0.336860040624031","0.350767893857254","3"
"Satisfactory","2007","direct migration background","702","0.338496386711188","0.318480483247742","0.358512290174635","3"
"Satisfactory","2007","indirect migration background","196","0.242111108744157","0.213211830482028","0.271010387006286","3"
"Very good","2007","no migration background","1550","0.0824424499380255","0.0784157714393972","0.0864691284366539","1"
"Very good","2007","direct migration background","169","0.0837797899358068","0.0720604909028813","0.0954990889687324","1"
"Very good","2007","indirect migration background","165","0.20205273644203","0.174963527008663","0.229141945875398","1"
"Bad ","2008","no migration background","625","0.0415881270324014","0.038578935005276","0.0445973190595267","5"
"Bad ","2008","direct migration background","107","0.0578892707909977","0.0474351611896273","0.068343380392368","5"
"Bad ","2008","indirect migration background","12","","","","5"
"Good","2008","no migration background","6762","0.380077370434976","0.372761030420682","0.387393710449271","2"
"Good","2008","indirect migration background","397","0.452877500838629","0.419013231882614","0.486741769794644","2"
"Good","2008","direct migration background","703","0.340221870879353","0.319013021573593","0.361430720185114","2"
"Poor","2008","no migration background","2408","0.14853268772987","0.143172448919547","0.153892926540193","4"
"Poor","2008","direct migration background","337","0.18521409209258","0.167824243424245","0.202603940760916","4"
"Poor","2008","indirect migration background","59","0.0727486262434419","0.0550792920121786","0.0904179604747052","4"
"Satisfactory","2008","no migration background","5656","0.345342151003741","0.338175419843818","0.352508882163665","3"
"Satisfactory","2008","direct migration background","609","0.3226290257174","0.301702263270586","0.343555788164213","3"
"Satisfactory","2008","indirect migration background","179","0.239042357109303","0.210027080323158","0.268057633895447","3"
"Very good","2008","no migration background","1458","0.0844596637990108","0.0802683271528352","0.0886510004451863","1"
"Very good","2008","direct migration background","161","0.094045740519669","0.0809792266007217","0.107112254438616","1"
"Very good","2008","indirect migration background","183","0.223558481679787","0.195214621587212","0.251902341772361","1"
"Bad ","2009","no migration background","600","0.0420762005722515","0.0389546535427889","0.045197747601714","5"
"Bad ","2009","direct migration background","93","0.0481152115101191","0.0378633257714753","0.0583670972487628","5"
"Bad ","2009","indirect migration background","7","","","","5"
"Good","2009","direct migration background","598","0.349828311187418","0.326982221981421","0.372674400393414","2"
"Good","2009","no migration background","6191","0.369216309994848","0.361712759509692","0.376719860480004","2"
"Good","2009","indirect migration background","383","0.466593780043316","0.431031818855885","0.502155741230747","2"
"Poor","2009","no migration background","2222","0.145181042385768","0.1397035955611","0.150658489210435","4"
"Poor","2009","indirect migration background","59","0.076220534351757","0.0573054910456879","0.0951355776578261","4"
"Poor","2009","direct migration background","297","0.18867394628408","0.169931596358424","0.207416296209736","4"
"Satisfactory","2009","no migration background","5589","0.365043214945981","0.357557550302238","0.372528879589724","3"
"Satisfactory","2009","direct migration background","549","0.322106060106249","0.299721390544082","0.344490729668416","3"
"Satisfactory","2009","indirect migration background","162","0.24077446457171","0.210297071979703","0.271251857163717","3"
"Very good","2009","no migration background","1288","0.0784832321011521","0.0743017888857738","0.0826646753165303","1"
"Very good","2009","direct migration background","137","0.091276470912134","0.0774800742951773","0.105072867529091","1"
"Very good","2009","indirect migration background","145","0.203950023243099","0.175227721535664","0.232672324950534","1"
"Bad ","2010","no migration background","703","0.0436441958620153","0.0408313380204497","0.0464570537035809","5"
"Bad ","2010","direct migration background","124","0.0599810198504439","0.0513655159887468","0.068596523712141","5"
"Bad ","2010","indirect migration background","14","","","","5"
"Good","2010","no migration background","8213","0.367356294501931","0.360718892445975","0.373993696557887","2"
"Good","2010","direct migration background","1197","0.377010657734577","0.359426459564444","0.39459485590471","2"
"Good","2010","indirect migration background","551","0.396298472623957","0.368930152176477","0.423666793071436","2"
"Poor","2010","no migration background","2673","0.153403775704155","0.148442070298293","0.158365481110017","4"
"Poor","2010","direct migration background","370","0.160567295233275","0.147246598657487","0.173887991809064","4"
"Poor","2010","indirect migration background","102","0.0964487449882879","0.0799310098916545","0.112966480084921","4"
"Satisfactory","2010","no migration background","6371","0.34466654106955","0.338123110164357","0.351209971974742","3"
"Satisfactory","2010","direct migration background","812","0.292881385343707","0.276369469468121","0.309393301219293","3"
"Satisfactory","2010","indirect migration background","295","0.273554551090007","0.248611516697075","0.29849758548294","3"
"Very good","2010","no migration background","2305","0.0909291928623486","0.0869707415211837","0.0948876442035135","1"
"Very good","2010","direct migration background","415","0.109559641837997","0.0982269477160674","0.120892335959927","1"
"Very good","2010","indirect migration background","265","0.215969554188053","0.192945142640351","0.238993965735755","1"
"Bad ","2011","no migration background","892","0.0436921456696761","0.04112223104761","0.0462620602917421","5"
"Bad ","2011","direct migration background","140","0.0449596952963413","0.0378606880735438","0.0520587025191387","5"
"Bad ","2011","indirect migration background","24","","","","5"
"Good","2011","direct migration background","1294","0.377089692647985","0.360485790022145","0.393693595273824","2"
"Good","2011","no migration background","9862","0.372671013133101","0.366592062279349","0.378749963986852","2"
"Good","2011","indirect migration background","670","0.467257900237218","0.441206598444218","0.493309202030219","2"
"Poor","2011","no migration background","3287","0.152684593957226","0.148162513258616","0.157206674655837","4"
"Poor","2011","direct migration background","474","0.168329261776641","0.155510956557029","0.181147566996253","4"
"Poor","2011","indirect migration background","121","0.0845187595793211","0.069994504200977","0.0990430149576652","4"
"Satisfactory","2011","no migration background","7669","0.333005779986036","0.3270805519565","0.338931008015571","3"
"Satisfactory","2011","direct migration background","922","0.294290893159004","0.278678252617962","0.309903533700045","3"
"Satisfactory","2011","indirect migration background","316","0.237572277834847","0.215349936460714","0.259794619208979","3"
"Very good","2011","no migration background","2593","0.0979464672539608","0.0942094191204813","0.10168351538744","1"
"Very good","2011","direct migration background","443","0.115330457120029","0.104387426033554","0.126273488206504","1"
"Very good","2011","indirect migration background","278","0.1939988004722","0.173351657701435","0.214645943242965","1"
"Bad ","2012","no migration background","812","0.0398015255513705","0.0373182430967056","0.0422848080060355","5"
"Bad ","2012","direct migration background","128","0.0388844262820429","0.032046025371236","0.0457228271928497","5"
"Bad ","2012","indirect migration background","24","","","","5"
"Good","2012","no migration background","9811","0.378188805827389","0.372028825034018","0.384348786620759","2"
"Good","2012","direct migration background","1249","0.390519929254727","0.373262334806048","0.407777523703406","2"
"Good","2012","indirect migration background","627","0.444092482644146","0.417810942822471","0.47037402246582","2"
"Poor","2012","no migration background","3077","0.142996902698876","0.138550075368428","0.147443730029325","4"
"Poor","2012","direct migration background","447","0.162498555241459","0.149448978137799","0.175548132345119","4"
"Poor","2012","indirect migration background","128","0.0944142692324836","0.0789476132509808","0.109880925213986","4"
"Satisfactory","2012","no migration background","7681","0.343167255666452","0.337136439735545","0.349198071597359","3"
"Satisfactory","2012","direct migration background","877","0.300563838957782","0.284344942222249","0.316782735693315","3"
"Satisfactory","2012","indirect migration background","315","0.213760195573655","0.192075478764981","0.235444912382329","3"
"Very good","2012","no migration background","2426","0.0958455102559128","0.0921061013025063","0.0995849192093193","1"
"Very good","2012","direct migration background","369","0.107533250263989","0.0965748713782865","0.118491629149692","1"
"Very good","2012","indirect migration background","279","0.231346556183711","0.20904117597008","0.253651936397341","1"
"Bad ","2013","no migration background","810","0.0446110403598383","0.0419215553597008","0.0473005253599759","5"
"Bad ","2013","direct migration background","254","0.0460711479459257","0.0409446848669264","0.051197611024925","5"
"Bad ","2013","indirect migration background","39","0.0136740526560883","0.00885936431178744","0.0184887410003891","5"
"Good","2013","no migration background","8995","0.367539291700706","0.361258324815936","0.373820258585475","2"
"Good","2013","direct migration background","2554","0.365725715456541","0.353947984589702","0.37750344632338","2"
"Good","2013","indirect migration background","979","0.438604863862328","0.418032681199377","0.459177046525279","2"
"Poor","2013","no migration background","3159","0.15283724158738","0.148149584171922","0.157524899002838","4"
"Poor","2013","direct migration background","851","0.151886939143043","0.143110215663054","0.160663662623032","4"
"Poor","2013","indirect migration background","164","0.0668450355433691","0.0564907343952057","0.0771993366915325","4"
"Satisfactory","2013","no migration background","7366","0.342745161239577","0.336562002392407","0.348928320086747","3"
"Satisfactory","2013","direct migration background","1628","0.279213177471271","0.268242923058144","0.290183431884399","3"
"Satisfactory","2013","indirect migration background","489","0.229214337185693","0.211788364430934","0.246640309940451","3"
"Very good","2013","no migration background","2305","0.0922672651124992","0.0884970974485318","0.0960374327764667","1"
"Very good","2013","direct migration background","1137","0.157103019983218","0.148204355331956","0.16600168463448","1"
"Very good","2013","indirect migration background","564","0.251661710752522","0.233670231060884","0.269653190444161","1"
